'an'xing'zhe'zhi'zhao 暗行者之爪
'na'wo'li'xun'ren 纳沃利讯刃
'ni'ye'you'fen 你也有份
'nv'shen'zhi'lei 女神之泪
'nv'yao'mian'sha 女妖面纱
'po'bai'wang'zhe'zhi'ren 破败王者之刃
'po'jian'zhe 破舰者
'po'luo'jia'yao 魄罗佳肴
'po'sui'wang'hou'zhi'mian 破碎王后之冕
'po'sun'de'miao'biao 破损的秒表
'qi'shi'zhi'shi 骑士之誓
'qian'bian'zhe'jia'xiu 千变者贾修
'qie'fa'zhi'ren 窃法之刃
'qing'ling'zhi'xue 轻灵之靴
'ran'shao'bao'shi 燃烧宝石
'ri'yan'sheng'dun 日炎圣盾
'rui'lai'de'bing'jing'jie'zhang 瑞莱的冰晶节杖
'sai'rui'er'da'de'yuan'gen 赛瑞尔达的怨根
'shan'mai'bi'lei 山脉壁垒
'shen'sheng'fen'li'zhe 神圣分离者
'shen'yu'tou'jing 神谕透镜
'shen'yuan'mian'ju 深渊面具
'sheng'ming'yao'shui 生命药水
'sheng'wu'zhi'dun 圣物之盾
'shi'dong'de'miao'biao 始动的秒表
'shi'guang'zhi'zhang 时光之杖
'shi'jie'zhuan'zhu 视界专注
'shi'xiang'gui'shi'ban'jia 石像鬼石板甲
'shi'zi'gao 十字镐
'shou'hu'tian'shi 守护天使
'shou'hu'zhe'fa'qiu 守护者法球
'shou'hu'zhe'hao'jiao 守护者号角
'shou'hu'zhe'zhan'chui 守护者战锤
'shou'hu'zhe'zhi'ren 守护者之刃
'shou'ji'zhe 收集者
'shu'rui'ya'de'zhan'ge 舒瑞娅的战歌
'shui'yin'shi'dai 水银饰带
'shui'yin'wan'dao 水银弯刀
'shui'yin'zhi'xue 水银之靴
'shuo'ji'zhi'mao 朔极之矛
'si'te'la'ke'de'tiao'zhan'hu'shou 斯特拉克的挑战护手
'si'wang'zhi'nv'yin'she'bi 死亡之女银蛇币
'si'wang'zhi'wu 死亡之舞
'si'xing'xuan'gao 死刑宣告
'sui'yi'kai'huo'yin'she'bi 随意开火银蛇币
'suo'zi'jia 锁子甲
'ta'tai'xi'you'miao 踏苔蜥幼苗
'tan'suo'zhe'de'hu'bi 探索者的护臂
'tie'ban'xue 铁板靴
'tie'ci'bian 铁刺鞭
'ting'jin'po'huai'zhe 挺进破坏者
'wan'mei'shi'ji'miao'biao 完美时机秒表
'wan'shi'cui'hua'shi 万世催化石
'wang'zhe'de'ban'jia 亡者的板甲
'wo'lun'lian'jin'guan 涡轮炼金罐
'wu'jin'zhi'ren 无尽之刃
'wu'shu'he'ji 巫术合剂
'wu'yao'zhi'huo 巫妖之祸
'wu'yong'da'bang 无用大棒
'xi'xue'gui'jie'zhang 吸血鬼节杖
'xia'gu'zhi'zao'zhe 峡谷制造者
'xian'feng'zhi'yan 先锋之眼
'xian'nv'hu'fu 仙女护符
'xiao'bing'qu'zhi'qi 小兵去质器
'xie'zi 鞋子
'xing'jie'qu'chi 星界驱驰
'xing'shi 星蚀
'xu'kong'zhi'zhang 虚空之杖
'yan'hen'suo'lian 厌恨锁链
'yan'mie'bao'zhu 湮灭宝珠
'yan'zhao'mao'you'zai 焰爪猫幼崽
'yao'guang 耀光
'ye'zhi'feng'ren 夜之锋刃
'yi'shi'de'zhang'jie 遗失的章节
'yi'tai'jing'hun 以太精魂
'yin'xue'jian 饮血剑
'ying'yan 影焰
'yong'shuang 永霜
'yong'xu'yi'zhi'jia'xin'bing'gan 永续意志夹心饼干
'you'dian'shen'qi'zhi'xie 有点神奇之鞋
'you'hun'dou'peng 幽魂斗篷
'you'hun'lian'dao 幽魂镰刀
'you'meng'zhi'ling 幽梦之灵
'yuan'jian'gai'zao 远见改造
'yue'shi'zai'sheng'qi 月石再生器
'zeng'fu'bao'dian 增幅宝典
'zha'xue'pi'ni 榨血睥睨
'zhen'cha'shou'wei 侦查守卫
'zhen'fen'kai'jia 振奋铠甲
'zheng'wu'jian'dai 正午箭袋
'zhi'hui'mo'ren 智慧末刃
'zhi'liao'bao'zhu 治疗宝珠
'zhong'ya'sha'lou'ming'lang'zhi'xue 中娅沙漏明朗之靴
'zi'ran'zhi'li 自然之力
'zui'hou'de'qing'yu 最后的轻语
