'a'bu'ji'zhi 阿部记之
'ci'wu'bai'lian 次舞白涟
'da'bai 大白
'da'chuan'tou 大川透
'da'hong'lian'bing'lun'wan 大红莲冰轮丸
'da'hong'lian'bing'lun'wan 大红莲氷轮丸
'da'qian'tian 大前田
'da'qian'tian'xi'qian'he 大前田希千和
'da'xu 大虚
'da'yuan 大原
'da'zhong'fang'zhong 大冢芳忠
'da'zhong'ming'fu 大冢明夫
'dao'ben'xu'mei 岛本须美
'dao'tian'che 稲田彻
'di'er'fan'dui 第二番队
'di'er'shi'xi 第二十席
'di'fu'ling 地缚灵
'di'qi'xi 第七席
'di'san'xi 第三席
'di'san'xi'guan 第三席官
'di'si'xi 第四席
'di'si'xi'guan 第四席官
'ding'gong 钉宫
'ding'gong'bing 钉宫病
'ding'gong'li'hui 钉宫理惠
'dong'shi'lang 冬狮郎
'dong'xian 东仙
'dong'xian'yao 东仙要
'dong'yun 冻云
'dou'da'ren 都大人
'du'yan'zhao 独眼罩
'duan'de'feng 断地风
'duan'jie 断界
'duan'zuo'yu'shuang'tian'ba 端坐于霜天吧
'dui'ling'zi'de'li'shu 对灵子的隶属
'dui'ling'zi'de'shou'shu 对灵子的收束
'fan'dao'zhao 饭岛肇
'fan'gui'xiang'sha 反鬼相杀
'fan'mo 反膜
'fei'fei'wang'she'wei'wan 狒狒王蛇尾丸
'fei'lian'jiao 飞镰脚
'fei'mei 飞梅
'fei'tian'zhan'nan 飞田展男
'fei'zhen 绯真
'feng'jia 蜂家
'fu'dao 缚道
'fu'dao'min'xing 福岛敏行
'fu'li'duo 福利多
'fu'lu 浮露
'fu'mei'zi 富美子
'fu'shan'run 福山润
'fu'zhu 浮竹
'fu'zhu'dui'zhang 浮竹队长
'fu'zhu'shi'si'lang 浮竹十四郎
'ga'li'fan 咖喱饭
'gai'zao'hun'po 改造魂魄
'gao'mu'she 高木涉
'gao'mu'zuo'he'zi 高木佐和子
'ge'lu 葛露
'ge'wei 戈薇
'ge'zhi 葛织
'geng'mu'dui'zhang 更木队长
'geng'mu'jian'ba 更木剑八
'gong'qin 弓亲
'gong'teng'chang'shi 工藤昌史
'gong'tian'xing'ji 宫田幸季
'gou'gou 狗狗
'gu'ze'che 古泽彻
'guan'jun'yan 关俊彦
'guan'yin'si 观音寺
'guang'lai'zheng'zhi 广濑正志
'guang'ming'nv'shen 光明女神
'guang'zhi'nv'shen 光之女神
'gui'dao 鬼道
'gui'deng'wan 鬼灯丸
'gui'shan'xiu'zhi 桧山修之
'gui'zuo'mu'xiu'bing 桧佐木修兵
'guo'zhi'ling 国枝铃
'hai'lu 海露
'hai'yan 海燕
'hai'yan'da 海燕大
'hai'yan'da'ren 海燕大人
'hei'cao'mei 黑草莓
'hei'qi 黑崎
'hei'qi'cao'mei 黑崎草莓
'hei'qi'jun 黑崎君
'hei'qi'tong'xue 黑崎同学
'hei'qi'xia'li 黑崎夏梨
'hei'qi'yi'hu 黑崎一护
'hei'qi'yi'xin 黑崎一心
'hei'qi'you'zi 黑崎游子
'hei'qi'zhen'xiao 黑崎真咲
'hei'se'de'yue'ya'tian'chong 黑色的月牙天冲
'hei'sheng'tian'qian'ming'wang 黑绳天谴明王
'hong'xia 虹霞
'hong'zhen 红姫
'hu'che 虎彻
'hu'che'qing'yin 虎彻清音
'hu'che'yong'yin 虎彻勇音
'hu'fu'lin 壶府琳
'hu'huan'ni'de'ming'zi 呼唤你的名字
'hu'wan 瓠丸
'hua'lu 花露
'hua'tai'lang 花太郎
'hua'tian'kuang'gu 花天狂骨
'hua'yi'shen'tai 花刈甚太
'huang'juan'zhen'mu'zao 荒卷真木造
'hui'mao 灰猫
'hun'shou 魂兽
'hun'zang 魂葬
'huo'wu'ju 火无菊
'ji'li'an 基力安
'ji'liang 吉良
'ji'liang'yi'he 吉良伊鹤
'jia'mian 假面
'jia'mian'jun'tuan 假面军团
'jian'ba 剑八
'jian'jing 歼景
'jian'jing'qian'ben'ying'jing'yan 歼景千本桜景厳
'jian'jing'qian'ben'ying'jing'yan 歼景千本樱景严
'jian'jing'sheng'ren 樫井笙人
'jian'sheng'long'zhi 菅生隆之
'jiang'ri'fan'gu'dong'shi'lang'chu'xing 将日番谷冬狮郎处刑
'jie'cheng'bi'lv 结城比吕
'jin'cun 津村
'jin'se'pi'sha'di'zang 金色疋杀地蔵
'jin'yan 金彦
'jing'hua'shui'yue 镜花水月
'jing'le 京乐
'jing'le'chun'shui 京乐春水
'jing'ling'ting 静灵廷
'jing'lu 井露
'jing'men 镜门
'jing'shang 井上
'jing'shang'gong'zhu 井上公主
'jing'shang'min 井上旻
'jing'shang'zhi'ji 井上织姬
'jing'shen'ti 精神体
'jing'yue'dui'chang 京乐队长
'jiu'bao 酒饱
'jiu'bao 久保
'jiu'bao'da'ren 久保大人
'jiu'bao'dai'ren 久保带人
'jiu'bao'xuan'zhang 久保宣章
'jiu'chuan'ling 久川绫
'ju'chang'ban'yi 剧场版一
'ju'er 剧二
'ju'liu 拘流
'ju'san 剧三
'ju'tu 拘突
'ju'yi 剧一
'juan'juan 卷卷
'kong'he 空鹤
'kong'he'da'jie 空鹤大姐
'ku'nei'guang'xing 堀内广行
'lan'da 蓝大
'lan'lu 蓝露
'lan'ran 蓝染
'lan'ran'zong'you'jie 蓝染惣右介
'lan'tao 蓝桃
'lei'hou'pao 雷吼炮
'lei'ya 雷牙
'li'ji 理吉
'li'li 莉莉
'li'ling 莉玲
'li'mu'wen'yan 立木文彦
'li'ting'dui 里挺队
'lian'ci 恋次
'lian'lu 恋露
'lian'yi 恋一
'liang'tian'qing'zhi 梁田清之
'lie'feng 烈风
'lie'hua 捩花
'ling'lai'chuan'gong'qin 绫濑川弓亲
'ling'luo 灵络
'ling'wu'ba 凌舞吧
'ling'wu'ba'xiu'bai'xue 凌舞吧袖白雪
'ling'yi'ge'bing'lun'wan 另一个冰轮丸
'ling'zhu'he 灵珠核
'ling'zi'zhuan'huan'ji 灵子转换机
'liu'fan'dui 六番队
'liu'hun'jie 流魂街
'liu'li 琉璃
'liu'li'jiang 琉璃酱
'liu'li'qian'dai 琉璃千代
'liu'li'se'teng'kong'que 琉璃色藤孔雀
'liu'ren'ruo'huo 流刃若火
'liu'zhang'guang'lao 六丈光牢
'long'gui 龙贵
'long'wen'gui'deng'wan 龙纹鬼灯丸
'lu'chao'shi'lang 鹭巣诗郎
'lu'er 露儿
'lu'hou'gong 露后宫
'lu'jing 露井
'lu'lu 露露
'lu'lu'dian'xia 露露殿下
'lu'lu'jiang 露露酱
'lu'lu'mei'mei 露露美眉
'lu'nv'wang 露女王
'lu'qi'ya 露琪亚
'lu'qi'ya'jiang 露琪亚酱
'lu'qi'ya'jie 露琪亚节
'lu'qi'ya'mei'mei 露琪亚妹妹
'lu'qi'ya'xiao'jie 露琪亚小姐
'lu'yi 露一
'lu'zhi 露织
'lu'zong'shou 露总受
'luan'ju 乱菊
'luan'ju'da'jie 乱菊大姐
'luan'zhuang'tian'kui 乱装天傀
'lv'huo 旅祸
'mao'da'jie 卯大姐
'mao'xiong 茂雄
'mao'zhi'hua 卯之花
'mao'zhi'hua'dui'zhang 卯之花队长
'mao'zhi'hua'lie 卯之花烈
'mei'ding'min'sheng 梅定敏盛
'mei'yan 梅严
'mi'le'wan 弥勒丸
'mie'que'shi 灭却师
'mu'ji'mao'zi 木屐帽子
'na'jian'jia'rong 纳见佳容
'nie'jian'li 涅茧利
'nie'yin'meng 涅音梦
'nuo'mi'nian'gao'dou'zhou 糯米年糕豆粥
'nv'wang 女王
'pao'xiao'ba 咆哮吧
'pao'xiao'ba'she'wei'wan 咆哮吧蛇尾丸
'pi'sha'di'zang 疋杀地蔵
'pi'wu 劈乌
'piao'ling 漂灵
'ping'song'pin'zi 平松品子
'po'dao 破道
'po'mang'zhen 破芒阵
'po'mian 破面
'po'mian'lu 破面露
'po'qi'yong'chang 破弃咏唱
'pu'lu 浦露
'pu'lu'mei 朴璐美
'pu'yuan 浦原
'pu'yuan'xi'zhu 浦原喜助
'qi'mu'mei'fan 齐木美帆
'qi'teng'ci'lang 齐藤次郎
'qi'wu 启吾
'qi'xu 七绪
'qian'ben'ying 千本樱
'qian'ben'ying'jing'yan 千本桜景厳
'qian'ben'ying'jing'yan 千本樱景严
'qian'da 浅打
'qian'lei 茜泪
'qian'na 茜雫
'qian'xing'qian 牵星箝
'qian'ye 浅野
'qian'ye'fan 千叶繁
'qian'ye'jin'bu 千叶进步
'qian'ye'qi'wu 浅野启吾
'qian'ye'tong'xue 浅野同学
'qie'hun'zhi'wu 切魂之物
'qing'chong 清虫
'qing'chuan'yuan'meng 清川元梦
'qing'kong 晴空
'qing'shan 青山
'qing'yin 清音
'que'bu'chang'ci'lang 雀步长次郎
'que'feng 雀蜂
'ri'fan'gu 日番谷
'ri'fan'gu'dong'shi'lang 日番谷冬狮郎
'ri'lu 日露
'rou'na'sha 肉雫唼
'ruo'si'shen 若死神
'san'fan'dui 三番队
'san'ling'shou'tao 散灵手套
'san'luo'ba 散落吧
'san'luo'ba'qian'ben'ying 散落吧千本樱
'san'luo'ji'yi'zhong'de'sui'pian 散落记忆中的碎片
'san'mu'zhen'yi'lang 三木真一郎
'san'wu 叁舞
'san'zhai'jian'tai 三宅健太
'san'zhi'wu 三之舞
'sang'ta'lu'qi'ya 桑塔露琪亚
'sen'chuan'zhi'zhi 森川智之
'sen'tian 森田
'sen'tian'cheng'yi 森田成一
'sen'tian'shu'shu 森田叔叔
'sen'zhe 森折
'sen'zhe'wang'dao 森折王道
'sha'qi'shi 杀气石
'shan'ben'lao'tou 山本老头
'shan'ben'yuan'liu'zhai'zhong'guo 山本元柳斋重国
'shan'ben'zong'dui'zhang 山本总队长
'shan'kou'tai'lang 山口太郎
'shan'lao'tou 山老头
'shan'shan'ji'zhang 杉山纪彰
'shan'tian 杉田
'shan'tian'hua'tai'lang 山田花太郎
'shan'tian'zhi'he 杉田智和
'shang'gu'xiu'fu 上谷秀夫
'she'chang 射场
'she'chang'tie'zuo'wei'men 射场铁左卫门
'she'wei'fei'fei 蛇尾狒狒
'she'wei'wan 蛇尾丸
'shen'chang'ba 伸长吧
'shen'chang'ba'shen'qiang 伸长吧神枪
'shen'qiang 神枪
'shen'tai 甚太
'sheng'guang'hong'xia 圣光虹霞
'sheng'lu'qi'ya 圣露琪亚
'sheng'sheng'zhen'sha'zi 胜生真沙子
'sheng'tian'mu'ren'mei 生天目仁美
'shi'chuan'cheng'zhi 十川诚志
'shi'chuan'ying'lang 石川英郎
'shi'fan'dui 十番队
'shi'hun'jie 尸魂界
'shi'jie 始解
'shi'san'fan'dui 十三番队
'shi'tian 石田
'shi'tian'long'xian 石田龙弦
'shi'tian'yu'long 石田雨龙
'shi'tian'zong'xian 石田宗弦
'shi'wan 市丸
'shi'wan'dui'zhang 市丸队长
'shi'wan'yin 市丸银
'shi'yi'fan'dui 十一番队
'shou'kao 手铐
'shou'shi 狩矢
'shou'shi'shen 狩矢神
'shuang'chong'yong'chang 双重咏唱
'shuang'ji 双殛
'shuang'lian'cang'huo'zhui 双莲苍火坠
'shuang'yu'li 双鱼鲤
'shui'se 水色
'shun'bu 瞬步
'shun'hong 瞬閧
'shun'hua 瞬花
'shun'shen'ye'yi 瞬神夜一
'shun'ying 舜樱
'si'dan'fang 兕丹坊
'si'fan'dui 四番队
'si'feng'yuan'jia 四枫院家
'si'feng'yuan'ye'yi 四枫院夜一
'si'shen'ju'chang'ban'er 死神剧场版二
'si'shen'ju'chang'ban'san'xiao'shi'yu'hei'an'zhi'zhong'hu'huan'ni'de'ming'zi 死神剧场版三消失与黑暗之中呼唤你的名字
'si'shen'ju'er 死神剧二
'si'shen'ju'san 死神剧三
'si'shen'ju'yi 死神剧一
'si'shen'wu'tai'ju 死神舞台剧
'si'wu 死舞
'si'xing'zhi'xing'ren 死刑执行人
'song'ben'da 松本大
'song'ben'kao'ping 松本考平
'song'ben'luan'ju 松本乱菊
'song'gang'you'gui 松冈由贵
'song'gu'bi'zai 松谷彼哉
'su'shui'jiang 速水奖
'sui'feng 碎蜂
'sui'feng'dui'zhang 碎蜂队长
'tang'guan'yin'si 唐观音寺
'te'zhi'zi'yang'qiang'zhuang'ji 特制滋养强壮剂
'teng'kong'que 藤孔雀
'tian'qian 天谴
'tian'suo'zhan'yue 天锁斩月
'tian'ta'xuan 天踏绚
'tie'zhai 铁斋
'tong'ben'zuo'ye 桐本琢也
'tong'ting'zheng 通廷证
'tu'feng'lin 荼风林
'tu'wu 土屋
'wa'shi'tuo'de 瓦史托德
'wai'mian'fan'ying 歪面反应
'wan'jie 卍解
'wan'jie'xiu 卍解秀
'wan'shan'yong'er 丸山咏二
'wang'yue'jiu'dai 望月久代
'wei'shuang 为霜
'wo'ling'tie'zhai 握菱铁斋
'wu'fan'dui 五番队
'wu'fan'dui'lao'fan 五番队牢番
'wu'lu 乌露
'wu'xing'tou 五形头
'wu'zhi 乌织
'xi'cun 西村
'xi'cun'zhi'dao 西村知道
'xi'lin'tai'lang 西凛太郎
'xi'liu'hun'jie'de'zhang'lao 西流魂街的长老
'xi'zhu 喜助
'xia'da'lu'jia 霞大路家
'xia'da'lu'liu'li'qian'dai 霞大路琉璃千代
'xia'jing'zhen'hua 夏井真花
'xia'li 夏梨
'xia'wu'ze'zi 下屋则子
'xian'tai'lang 仙太郎
'xiang'ma'fang'ye 相马芳野
'xiao'bai 小白
'xiao'chang 小菖
'xiao'chuan 小川
'xiao'chun'xian'tai'lang 小椿仙太郎
'xiao'dao 小岛
'xiao'dao'shui'se 小岛水色
'xiao'dao'tong'xue 小岛同学
'xiao'guan 小关
'xiao'hua 小花
'xiao'ji'liang 小吉良
'xiao'li'zi 小梨子
'xiao'lian 小恋
'xiao'liu'li 小琉璃
'xiao'lu 小露
'xiao'lu'nv'wang 小露女王
'xiao'quan'yi'lang'tai 小泉一郎太
'xiao'sen'tian 小森田
'xiao'shi'yu'hei'an'zhi'zhong'hu'huan'ni'de'ming'zi 消失与黑暗之中呼唤你的名字
'xiao'shi'yu'hei'an'zhi'zhong'hu'huan'ni'de'ming'zi 消失于黑暗之中呼唤你的名字
'xiao'tao 小桃
'xiao'tao'zi 小桃子
'xiao'xi'ke'xing 小西克幸
'xiao'ye'jun'jie 咲野俊介
'xiao'yong 小永
'xiao'yu 小雨
'xiao'zhi 小织
'xiao'zhuang 小樁
'xing'jun 刑军
'xing'jun'bing'chang 刑军兵长
'xiong'zhang'da'ren 兄长大人
'xiu'bai'xue 袖白雪
'xiu'bing 修兵
'xiu'mu 朽木
'xiu'mu'bai'zai 朽木白哉
'xiu'mu'da'ren 朽木大人
'xiu'mu'dui'zhang 朽木队长
'xiu'mu'fei'zhen 朽木绯真
'xiu'mu'jia 朽木家
'xiu'mu'jia'de'jia'chen 朽木家的家臣
'xiu'mu'lu'qi'ya 朽木露琪亚
'xiu'mu'tong'xue 朽木同学
'xiu'mu'xiao'jie 朽木小姐
'xu'diao 戌吊
'xu'fu 虚浮
'xu'hua 虚化
'xu'quan 虚圈
'xu'wu 续舞
'xue'ye 雪野
'xue'ye'wu'yue 雪野五月
'xue'yue 血月
'ya'lu 亚露
'ya'luo'ni'luo 亚罗尼洛
'ya'luo'ni'luo'ai'lu'lu'ye'li 亚罗尼洛艾鲁鲁耶利
'ya'qiu'ka'si 亚丘卡斯
'ya'yi'yan'ling 压抑言灵
'ya'zhou 鸭州
'yan'ling'wan 厳霊丸
'yan'mo'xi'shuai 阎魔蟋蟀
'ye'sui 夜碎
'ye'tian'shun'zi 野田顺子
'ye'yi 夜一
'ye'yi'da'ren 夜一大人
'ye'yi'da'shen 夜一大婶
'ye'yi'jie 夜一姐
'ye'yi'xian'sheng 夜一先生
'ye'yun'zhong'qu 叶云终曲
'yi'ban'da'ye 伊板达也
'yi'fan'dui 一番队
'yi'ge 一哥
'yi'guan'ban'ci'lou'fang 一贯坂慈楼坊
'yi'hai 义骸
'yi'he 伊鹤
'yi'hu 一护
'yi'hu'ge 一护哥
'yi'hu'jun 一护君
'yi'hun'wan 义魂丸
'yi'jiang'cun 伊江村
'yi'jiao 一角
'yi'jing 一井
'yi'lian 一恋
'yi'lu 一露
'yi'lu'shen'dao 一露神道
'yi'lu'tian'dao 一露天道
'yi'lu'wang'dao 一露王道
'yi'lu'yu'zhou'dao 一露宇宙道
'yi'qian 一茜
'yi'shi'qi'xu 伊势七绪
'yi'teng 伊藤
'yi'teng'jian'tai'lang 伊藤健太郎
'yi'teng'shu'shu 伊藤叔叔
'yi'xin 一心
'yi'xin'bo'fu 一心伯父
'yi'xin'da'shu 一心大叔
'yi'zhi 一织
'yin'guo'zhi'suo 因果之锁
'yin'lu 银露
'yin'luan 银乱
'yin'meng 音梦
'yin'mi'ji'dong 隐秘机动
'yin'tong 银筒
'yin'yan 银彦
'yin'zi 银子
'ying'chuan'chao'hui 樱川朝惠
'ying'jing'min'zhi 樱井敏治
'ying'jing'xiao'hong 樱井孝宏
'ying'man 萤蔓
'yong'bie'le'lu'qi'ya 永别了露琪亚
'yong'shan 永山
'yong'yin 勇音
'you'ai'ju'san 有爱剧三
'you'ze'long'gui 有泽龙贵
'you'zi 游子
'you'zi'mei'mei 游子妹妹
'you'zuo'hao'er 游佐浩二
'yu'duo'ye'she 羽多野涉
'yu'long 雨龙
'yu'long'zhi'ji 雨龙织姬
'yu'tian'chuan'leng 宇田川稜
'yu'zhi 雨织
'yuan'cheng'si'chen'fang 圆乘寺辰房
'yuan'jin'xiao'yi 远近孝一
'yue'bai 月白
'yue'ya'tian'chong 月牙天冲
'yue'zhi'mei'yu 越智美谕
'zai'jian'lu'qi'ya 再见露琪亚
'zai'yan 再炎
'zang'ren 藏人
'zao'shui 早水
'zhai'teng'hui'ji'lang 斋藤惠吉郎
'zhai'teng'zhi'lang 斋藤志郎
'zhan'yue 斩月
'zhan'yue'da'shu 斩月大叔
'zhe'hun'mo 遮魂膜
'zhe'li 折笠
'zhe'li'fu'mei'zi 折笠富美子
'zhe'li'jie 折笠姐
'zhen'dian 震点
'zhen'dian'guang'zhao 真殿光昭
'zhen'hua 真花
'zhen'tian 真田
'zhen'xiao 真咲
'zhen'xiao'a'yi 真咲阿姨
'zhen'xiao'bo'mu 真咲伯母
'zheng'yin 整音
'zhi'ba 之芭
'zhi'bo'dou 志波都
'zhi'bo'hai'yan 志波海燕
'zhi'bo'jia 志波家
'zhi'bo'kong'he 志波空鹤
'zhi'bo'yan'jiu 志波岩鹫
'zhi'ji 织姬
'zhi'lu 织露
'zhi'nian 置鲇
'zhi'nian'long'tai'lang 置鲇龙太郎
'zhi'song'chun'yi 植松淳一
'zhong'dao'sha'shu 中岛沙树
'zhong'duo'he'hong 中多和宏
'zhong'jing 终景
'zhong'jing'bai'di'jian 终景白帝剑
'zhong'jing'jiang'gui 中井将贵
'zhong'tian'he'hong 中田和宏
'zhong'tian'zheng'zhao 冢田正昭
'zhong'wei'long'sheng 中尾隆圣
'zhong'yang'si'shi'liu'shi 中央四十六室
'zhu'tian'xing'ji'lang 竹添幸吉郎
'zong'dui'zhang'da'ren 总队长大人
'zuan'shi'xing'chen'de'fan'pan'ling'yi'ge'bing'lun'wan 钻石星尘的反叛另一个冰轮丸
'zui'ai'lu'lu 最爱露露
'zuo'jiu'jian'hong'mei 佐久间红美
'zuo'teng'mei'gui 佐藤美贵
'zuo'teng'zheng'zhi 佐藤正治
