'ai'dang'shi'xi'mo'zhi 哀当世兮莫知
'bei'xu'yan'zhi'wu'shi'xi 悲虚言之无实兮
'bei'yi'bu'ci'zhi'wei'ming 被以不慈之伪名
'bei'yi'wei'jiao'pei 备以为交佩
'bei'yi'you'er'ji'jin'xi 悲夷犹而冀进兮
'bei'yin'xi'fei'quan 北饮兮飞泉
'bei'ying'pan'yi'jiao'tong'xi 背膺牉以交痛兮
'bei'you'han'shan 北有寒山
'bei'you'qiong'qi'xi'du'chu'kuo 悲忧穷戚兮独处廓
'bei'yu'hou'xi'shi'ling 悲余后兮失灵
'bei'yu'men'yi'ben'wu'xi 背玉门以奔骛兮
'bei'yu'sheng'zhi'wu'huan'xi 悲余生之无欢兮
'bei'yu'xin'zhi'yuan'yuan'xi 悲余心之悁悁兮
'bei'zhi'hui'shui 北至回水
'bei'zhi'you'ling 北至幽陵
'bei'zhuo'zen'xi'xu'huo'you 被诼谮兮虚获尤
'ben'chao'wu'er'bu'zhi 本朝芜而不治
'ben'dian'xi'guang'huang 奔电兮光晃
'ben'dun'xi'yin'ju 奔遁兮隐居
'bi'de'hao'xian 比德好閒
'bi'gan'he'ni 比干何逆
'bi'gan'zhong'er'pou'xin 比干忠而剖心
'bi'gan'zhong'jian'er'pou'xin'xi 比干忠谏而剖心兮
'bi'gan'zu'hai 比干菹醢
'bi'hui'jun'zhi'cong'ming'xi 蔽晦君之聪明兮
'bi'jiang'zi'ran 彼将自然
'bi'jie'xi'zhi 彼皆習之
'bi'li'bai'xi'hui'chou 薜荔柏兮蕙绸
'bi'li'pan'er'peng'dang'xi 彼离畔而朋党兮
'bi'li'shi'er'lu'li'jian'xi 薜荔饰而陆离荐兮
'bi'ri'yue'xi'an'mei 彼日月兮闇昧
'bi'ri'yue'zhi'zhao'ming'xi 彼日月之照明兮
'bi'shan'chuan'yi'bei'yu'xi 俾山川以备御兮
'bi'sheng'ren'zhi'shen'de'xi 彼圣人之神德兮
'bi'wang'qiao'er'wei'ou 比王侨而为耦
'bi'wang'zhou'zhi'gong 彼王纣之躬
'bi'xin'zi'shen 闭心自慎
'bi'xiu'xi'xi'yuan'shi 毕休息兮远逝
'bi'yao'shun'zhi'geng'jie'xi 彼尧舜之耿介兮
'bi'yin'xi'ku'shu 庇廕兮枯树
'bi'zhe'e'er'cui'yuan 必折轭而摧辕
'bian'bai'yi'wei'hei'xi 变白以为黑兮
'bian'chou'ku'yi'wei'ying 编愁苦以为膺
'bian'feng'bo'shi'xian'qu'xi 鞭风伯使先驱兮
'bian'gu'yi'su'xi'shi'shuai 变古易俗兮世衰
'bian'juan'zhi'xiu'zhu'xi 便娟之修竹兮
'bian'ma'gu'er'bu'xing 边马顾而不行
'biao'du'li'xi'shan'zhi'shang 表独立兮山之上
'biao'yong'bi'ci'ming'yue 猋廱蔽此明月
'bin'liu'xi'ze'shi 滨流兮则逝
'bing'bian'zuo'mu 秉鞭作牧
'bing'de'wu'si 秉德无私
'bing'dian'ce'xi'wei'bian 秉电策兮为鞭
'bing'dong'xi'luo'ze 冰冻兮洛泽
'bing'gan'jiang'yi'ge'rou 秉干将以割肉
'bing'guang'ming'yu'lie'xing 并光明於列星
'bing'qu'ji'yi 并驱击翼
'bing'ren'mao'si'yi'wei'suo 并纫茅丝以为索
'bing'ri'ye'er'wu'zheng 并日夜而无正
'bing'tan'bu'ke'yi'xiang'bing'xi 冰炭不可以相并兮
'bing'yao'xi'ming'tiao 病殀兮鸣蜩
'bing'yu'ying'xi'jie'shi 秉玉英兮结誓
'bo'chan'yu'er'kuang'xie'xi 拨谄谀而匡邪兮
'bo'chang'hao'shuai 伯昌号衰
'bo'feng'xiong'yong'pen'yong'pang'xi 波逢汹涌濆壅滂兮
'bo'gui'ju'yi'bei'du'xi 播规矩以背度兮
'bo'han'zhi'zhong'ren 薄寒之中人
'bo'jiang'li'yu'zi'ju'xi 播江离与滋菊兮
'bo'le'ji'mei 伯乐既没
'bo'li'du'yu'kuang'lu 瓟蠡蠹於筐簏
'bo'li'li'er'yang'jiao'xi 波澧澧而扬浇兮
'bo'lin'zhi'jing 伯林雉经
'bo'mang'mang'er'wu'yin 泊莽莽而无垠
'bo'mang'mang'yu'ye'cao'tong'si 泊莽莽与野草同死
'bo'mu'lei'dian 薄暮雷电
'bo'qiang'he'chu 伯强何处
'bo'tao'tao'xi'lai'ying 波滔滔兮来迎
'bo'ya'zhi'jue'xian'xi 伯牙之绝弦兮
'bo'yi'e'yu'shou'yang 伯夷饿於首阳
'bo'yi'si'yu'shou'yang'xi 伯夷死於首阳兮
'bo'yin'yin'er'zhou'liu'xi 波淫淫而周流兮
'bo'yu'bi'gun 伯禹愎鲧
'bu'bi'ci'er'fu'yuan'xi 不毕辞而赴渊兮
'bu'bie'heng'zhi'yu'zong 不别横之与纵
'bu'bing'ying'xi'xing'qiu'a 步屏营兮行丘阿
'bu'chuo'yi'zhi 不歠役只
'bu'cong'rong'yu'shan'sou 步从容於山廋
'bu'cong'su'er'bi'xing'xi 不从俗而诐行兮
'bu'dan'hai'lai 不但还来
'bu'de'jian'xi'xin'shang'bei 不得见兮心伤悲
'bu'feng'tang'wu'yu'huan'miu'xi 不逢汤武与桓缪兮
'bu'fu'zhuang'er'qi'hui'xi 不抚壮而弃秽兮
'bu'gu'de'yi'tan'ming'xi 不顾地以贪名兮
'bu'gu'nan'yi'tu'hou'xi 不顾难以图後兮
'bu'gu'shen'zhi'bei'jian'xi 不顾身之卑贱兮
'bu'huo'shi'zhi'chen'gou 不获世之尘垢
'bu'ji'jun'er'cheng'shuo'xi 不及君而骋说兮
'bu'ji'zhou'chu'xi 步及骤处兮
'bu'jin'jin'xi'yu'shu 不浸近兮愈疏
'bu'ju'qu'yuan'ji'fang 卜居屈原既放
'bu'ju'ti'zhi 不遽惕只
'bu'kai'wu'er'nan'dao'xi 不开寤而难道兮
'bu'ke'chuan 不可传
'bu'ke'huo'er'fu'deng 不可获而复登
'bu'ke'yi'jiu'xie 不可以久些
'bu'ke'yi'jiu'yin'xie 不可以久淫些
'bu'ke'yi'tuo'xie 不可以讬些
'bu'liang'zao'er'zheng'rui'xi 不量凿而正枘兮
'bu'lie'xing'er'ji'ming 步列星而极明
'bu'lun'shi'er'gao'ju'xi 不论世而高举兮
'bu'neng'fu'yong'wu'yang'yan 不能复用巫阳焉
'bu'neng'gu'zang 不能固臧
'bu'qi'luo'xie 步骑罗些
'bu'qing'che'qi'ran'fou 不清澈其然否
'bu'ren'ci'xin'zhi'chang'chou 不忍此心之常愁
'bu'ren'gu'hong 不任汩鸿
'bu'ren'jian'jun'zhi'bi'yong 不忍见君之蔽壅
'bu'ru'fan'yu'zhi'gu'xiang 不如反余之故乡
'bu'ru'xia'you'hu'qing'bo 不如下游乎清波
'bu'se'ai'zhi 不涩嗌只
'bu'sheng'xin'fa'di 不胜心伐帝
'bu'tu'yi'er'yao'si'xi 步徒倚而遥思兮
'bu'wang'sheng'yi'zhui'qu'xi 不枉绳以追曲兮
'bu'wu'li'er'shun'qing 不吾理而顺情
'bu'wu'zhi'qi'yi'yi'xi 不吾知其亦已兮
'bu'yu'ma'xi'dong'ting 步余马兮洞庭
'bu'yu'ma'xi'fei'zhu 步余马兮飞柱
'bu'yu'ma'xi'shan'gao 步余马兮山皋
'bu'yu'ma'yu'lan'gao'xi 步余马於兰皋兮
'bu'zhan'bo'zhi 不沾薄只
'bu'zhi'jin'tui'zhi'yi'dang 不知进退之宜当
'bu'zhi'suo'cong 不知所从
'bu'zhong'shi'guo'xi 不终失过兮
'bu'zhou'gui'lin'xi 步骤桂林兮
'bu'zhou'liu'yu'jiang'pan 步周流於江畔
'cai'bi'li'xi'shui'zhong 采薜荔兮水中
'cai'de'yong'xi'lie'shi 才德用兮列施
'cai'fang'zhou'xi'du'ruo 采芳洲兮杜若
'cai'nian'zhi'yu'zhong'zhou 采撚支於中洲
'cai'nv'chu'er'chu'wei'xi 蔡女黜而出帷兮
'cai'pu'wei'ji'xi 材朴委积兮
'cai'san'xiu'xi'yu'shan'jian 采三秀兮於山间
'cai'zhong'shan'zhi'yu'ying 采锺山之玉英
'can'bai'ni'zhi'xi'xi'xi 骖白霓之習習兮
'can'chen'hui'xi'dian'dao 参辰回兮颠倒
'can'guang'jing'zhi'cheng'xin'xi 惭光景之诚信兮
'can'lian'quan'yi'jiao'ao 骖连蜷以骄骜
'can'liu'qi'er'yin'hang'xie'xi 餐六气而饮沆瀣兮
'can'mu'hu'shou 参目虎首
'can'qi'zeng'xi'xi 憯悽增欷兮
'can'tian'di'xi 参天地兮
'can'yu'yu'er'bu'tong'xi 惨郁郁而不通兮
'cang'geng'xi'jie'jie 鸧鹒兮喈喈
'cang'lang'zhi'shui'qing'xi 沧浪之水清兮
'cang'lang'zhi'shui'zhuo'xi 沧浪之水浊兮
'cang'long'you'qiu'yu'zuo'can'xi 苍龙蚴虬於左骖兮
'cang'min'shi'yu'jin'kui'xi 藏瑉石於金匮兮
'cang'niao'qun'fei 苍鸟群飞
'cao'gui'ju'er'wu'suo'shi 操规矩而无所施
'cao'ju'bi'er'bu'fang 草苴比而不芳
'cao'mu'mang'mang 草木莽莽
'cao'mu'xi'cang'tang 草木兮苍唐
'cao'mu'yao'luo'er'bian'shuai 草木摇落而变衰
'cao'mu'yao'luo'shi'gao'cui'xi 草木摇落时槁悴兮
'cao'sheng'mo'er'fang'qi'xi 操绳墨而放弃兮
'cao'wo'xi'mo'yang 操我兮墨阳
'cao'yu'hu'xi'fan'lun'jiang 操余弧兮反沦降
'cao'yu'jian'er'bu'shuai 操愈坚而不衰
'ce'mi'luo'zhi'xiang'shui'xi 测汨罗之湘水兮
'ce'mou'cong'xi'yi'ji'heng 策谋从兮翼机衡
'ce'nu'tai'er'qu'lu 策驽骀而取路
'ceng'ai'qi'xi'xin'li'li'xi 曾哀悽欷心离离兮
'ceng'bu'zhi'lu'zhi'qu'zhi'xi 曾不知路之曲直兮
'ceng'bu'zhi'xia'zhi'wei'qiu'xi 曾不知夏之为丘兮
'ceng'jia'yi'er 曾颊倚耳
'ceng'mo'xi'bie'zhu 曾莫兮别诸
'ceng'shang'yuan'ai 曾伤爰哀
'ceng'shi'xi'qing'ming 曾逝兮青冥
'ceng'tai'lei'xie 层台累榭
'ceng'xu'xi'yu'yu'yi'xi 曾歔欷余郁邑兮
'ceng'xu'xi'zhi'jie'jie'xi 曾歔欷之嗟嗟兮
'ceng'zhi'shan'ji 曾枝剡棘
'cha'du'yao'yin 察笃夭隐
'chai'lan'gui'shu 茝兰桂树
'chai'lang'dou'xi'wo'zhi'yu 豺狼斗兮我之隅
'chan'chan'shi'fu 谗谄是服
'chan'du'ru'yi'zi'dai 谗妒入以自代
'chan'fu'ai'ai'er'man'zhu'xi 谗夫蔼蔼而漫著兮
'chan'fu'dang'lv'qi'yi'zi'gu'xi 谗夫党旅其以兹故兮
'chan'ji'mo'er'wu'sheng 蝉寂漠而无声
'chan'jie'jie'er'bi'zhi 谗介介而蔽之
'chan'ren'gao'zhang 谗人高张
'chan'ren'jian'jian'shu'ke'shuo'xi 谗人諓諓孰可愬兮
'chan'yi'wei'zhong 蝉翼为重
'chan'yu'deng'hu'ming'tang 谗谀登乎明堂
'chan'yu'hui'er'zai'pang 谗谀毁而在旁
'chan'yu'jin'er'xiang'peng 谗谀进而相朋
'chan'yuan'jiao'ge'lei'dong'dian'fa'sa'gao'ju'xi 潺湲轇轕雷动电发馺高举兮
'chang'bei'jun'zhi'hou'de 尝被君之厚德
'chang'bei'jun'zhi'wo'qia 尝被君之渥洽
'chang'chang'wang'xi'zi'lian 怅敞罔兮自怜
'chang'chang'wang'yi'yong'si'xi 怅惝罔以永思兮
'chang'ci'yuan'shi'cheng'xiang'qu'xi 长辞远逝乘湘去兮
'chang'du'wei'ti 常度未替
'chang'fa'man'jian 长发曼鬋
'chang'fen'yuan'er'han'nu'xi 肠愤悁而含怒兮
'chang'fen'yun'yi'liao'zhuan'xi 肠纷纭以缭转兮
'chang'he'shi 昌何识
'chang'hui'hui'xi'pan'yu 肠回回兮盘纡
'chang'kan'han'yi'he'shang 长顑颔亦何伤
'chang'lai'tuan'liu 长濑湍流
'chang'li'yang'er'chou'ku 长离殃而愁苦
'chang'mei'fu'mian 长袂拂面
'chang'ren'he'shou 长人何守
'chang'ren'qian'ren 长人千仞
'chang'tai'xi'er'yan'ti 长太息而掩涕
'chang'tai'xi'er'zeng'xi 长太息而增欷
'chang'tai'xi'xi'jiang'shang 长太息兮将上
'chang'tai'xi'yi'yan'ti'xi 长太息以掩涕兮
'chang'wu'jue'xi'zhong'gu 长无绝兮终古
'chang'xiang'feng'er'shu'qing 长乡风而舒情
'chang'xu'xi'yi'yu'yi'xi 长嘘吸以於悒兮
'chang'yi'xi'er'jiu'yun 肠一夕而九运
'chang'yin'yong'xi'ti'jiu'jiu'xi 长吟永欷涕究究兮
'chang'yu'gu'er'mi'chun 长愈固而弥纯
'chang'yu'pei'zhi'lu'li 长余佩之陆离
'chang'yu'yuan'ye 长於原野
'chang'yuan'wang'ci'kuang'ye 怅远望此旷野
'chang'yue 倡曰
'chang'zhao'ju'ya 长爪踞牙
'chao'chang'huang'er'guai'huai 怊惝怳而乖怀
'chao'chen'fa'xi'yan'ying 朝晨发兮鄢郢
'chao'cheng'wu'xi'jiang'gao 朝骋骛兮江皋
'chao'chi'yu'ma'xi'jiang'gao 朝驰余马兮江皋
'chao'fa'ren'yu'cang'wu'xi 朝发軔於苍梧兮
'chao'fa'ren'yu'tai'yi'xi 朝发軔於太仪兮
'chao'fa'ren'yu'tian'jin'xi 朝发軔於天津兮
'chao'fa'wang'zhu'xi 朝发枉陼兮
'chao'fa'xi'ao'zong'ling 朝发兮艹总岭
'chao'fen'ai'er'shu'you'xi 超氛埃而淑郵兮
'chao'huang'hu'qi'yan'ji 怊荒忽其焉极
'chao'huang'hu'qi'yan'ru 超慌忽其焉如
'chao'hui'zhi'du 超回志度
'chao'mang'mang'er'wu'gui'xi 怊茫茫而无归兮
'chao'qian'pi'zhi'mu'lan'xi 朝搴阰之木兰兮
'chao'tang'tan'xi 巢堂坛兮
'chao'wang'wang'er'sui'xing 超惘惘而遂行
'chao'wu'jiang'ji'yu'bai'shui'xi 朝吾将济於白水兮
'chao'wu'ling'xi'cuo'e 超五岭兮嵯峨
'chao'wu'wei'yi'zhi'qing'xi 超无为以至清兮
'chao'xi'ling'yu'jiu'bin 朝西灵於九滨
'chao'xiang'juan'a 超骧卷阿
'chao'xiao'yao'xi'jin'yan'bo 超逍遥兮今焉薄
'chao'yin'mu'lan'zhi'zhui'lu'xi 朝饮木兰之坠露兮
'chao'yong'si'hu'gu'xiang 超永思乎故乡
'chao'zhuo'fa'hu'wei'pan 朝濯发乎洧盘
'chao'zhuo'fa'yu'tang'gu'xi 朝濯发於汤谷兮
'che'cuo'gu'xi'duan'bing'jie 车错毂兮短兵接
'che'ji'bi'er'ma'ba'xi 车既弊而马罢兮
'che'ji'fu'er'ma'dian'xi 车既覆而马颠兮
'che'ji'jia'xi'qie'er'gui 车既驾兮朅而归
'che'yue'zhe'xi'ma'hui'tui 车軏折兮马虺颓
'chen'bu'zhan'zhan'er'fu'wei 陈不占战而赴围
'chen'jiang'wei'wang'gu'zhi'de'shi'xi 沉江惟往古之得失兮
'chen'mo'mo'xi'wei'xi 尘莫莫兮未晞
'chen'ri'ye'xie 沉日夜些
'chen'wang'gong'xi'xiang'mi 沉王躬兮湘汨
'chen'wu'geng'xie 陈吴羹些
'chen'yu'se'xi'hao'chang 陈竽瑟兮浩倡
'chen'zhong'an'gu 陈锺按鼓
'cheng'bai'shui'er'gao'wu'xi 乘白水而高骛兮
'cheng'bai'yuan'xi'zhu'wen'yu 乘白鼋兮逐文鱼
'cheng'chi'bao'xi'cong'wen'li 乘赤豹兮从文狸
'cheng'e'zhu'er'fan'gu'xi 乘鄂渚而反顾兮
'cheng'er'fu'wang 称而弗忘
'cheng'fan'fu'yi'xia'liu'xi 乘氾泭以下流兮
'cheng'ge'he'xi'ou'yao 乘戈和兮讴谣
'cheng'gong'hui'er'bu'zu'xi 成功隳而不卒兮
'cheng'hong'can'ni'xi 乘虹骖蜺兮
'cheng'huang'kao'zhi'miao'yi 承皇考之妙仪
'cheng'hui'feng'er'yuan'you 乘回风而远游
'cheng'hui'feng'xi'zai'yun'qi 乘回风兮载云旗
'cheng'ji'yong'xi'you'yi'wu 诚既勇兮又以武
'cheng'jing'qi'zhi'tuan'tuan'xi 乘精气之抟抟兮
'cheng'lian'gai'fen'xi 惩连改忿兮
'cheng'ling'chuan'yu'shang'yuan'xi 乘舲船余上沅兮
'cheng'liu'jiao'xi'wan'chan 乘六蛟兮蜿蝉
'cheng'long'bo'er'nan'du'xi 乘隆波而南渡兮
'cheng'long'xi'lin'lin 乘龙兮辚辚
'cheng'long'xi'yan'jian 乘龙兮偃蹇
'cheng'mo'zhi'neng'shan'yu 诚莫之能善御
'cheng'qi'cheng'ji'shu'wu'qing'xi 乘骐骋骥舒吾情兮
'cheng'qi'ji'er'chi'cheng'xi 乘骐骥而驰骋兮
'cheng'qi'ji'yi'chi'cheng'xi 乘骐骥以驰骋兮
'cheng'qi'ji'yu'zhong'ting'xi 骋骐骥於中庭兮
'cheng'qi'ji'zhi'liu'liu'xi 乘骐骥之浏浏兮
'cheng'qing'qi'xi'yu'yin'yang 乘清气兮御阴阳
'cheng'qing'zhong'er'bu'cha 称轻重而不差
'cheng'qiu'xi'deng'yang 乘虬兮登阳
'cheng'ri'yue'xi'shang'zheng 乘日月兮上征
'cheng'shui'che'xi'he'gai 乘水车兮荷盖
'cheng'tang'dong'xun 成汤东巡
'cheng'wei'yu'qi'pi'he 诚未遇其匹合
'cheng'wu'wang'liang'zhi'shan'yu 诚无王良之善驭
'cheng'xi'fang'zhi'fei'fei'xi 诚惜芳之菲菲兮
'cheng'xian'wei'yi'fan'gu 乘閒维以反顾
'cheng'xiao'er'mou 成枭而牟
'cheng'yu'geng'zhe'er'chui'ji'xi 惩於羹者而吹齑兮
'cheng'yuan'cang'er'bu'ke'qian 诚原藏而不可迁
'cheng'yun'xi'hui'hui 乘云兮回回
'cheng'zhi'jiu'yu 逞志究欲
'chi'chan'fu'yu'pian'bi 斥谗夫与便嬖
'chi'diao'you'xi'hua'wu 殦雕游兮华屋
'chi'gui'ye'xian 鸱龟曳衔
'chi'jiao'qiu'qie'yan'zhi'xi 驰椒丘且焉止息
'chi'liu'jiao'xi'shang'zheng 驰六蛟兮上征
'chi'liu'long'yu'san'wei'xi 驰六龙於三危兮
'chi'long'bing'liu 螭龙并流
'chi'song'wang'qiao'jie'zai'pang 赤松王乔皆在旁
'chi'wei'yi'zhi'yan'zhi 驰委移之焉止
'chi'wu'yu'yao'ming'zhi'zhong'xi 驰骛於杳冥之中兮
'chi'xi'yi'xi'jin'gui'long 斥蜥蜴兮进龟龙
'chi'xiao'ji'yu'mu'lan 鸱鸮集於木兰
'chi'xiao'qun'er'zhi'zhi 鸱枭群而制之
'chi'yi'ruo'xiang 赤蚁若象
'chi'yu'che'xi'xuan'shi 驰余车兮玄石
'chi'zhu'hong'hu'xi 斥逐鸿鹄兮
'chong'feng'qi'xi'heng'bo 冲风起兮横波
'chong'feng'zhi'xi'shui'yang'bo 冲风至兮水扬波
'chong'hua'bu'ke'e'xi 重华不可遻兮
'chong'zhi'xi'jia'yu 虫豸兮夹余
'chong'zhong'zhen'xi'mi'jian 崇忠贞兮弥坚
'chou'ai'ai'er'lei'xi 愁哀哀而累息
'chou'bu'liao'xi'huang'sheng 愁不聊兮遑生
'chou'chang'xi 惆怅兮
'chou'chang'xi'zi'bei 惆怅兮自悲
'chou'chang'xi'zi'lian 惆怅兮自怜
'chou'du'ai'er'yuan'jie 愁独哀而冤结
'chou'hu'xi'rong'yi 鯈忽兮容裔
'chou'hu'yan'zai 鯈忽焉在
'chou'kong'zong'yu'shan'lu 愁倥傯於山陆
'chou'ku'lou'xi'zhuo'li 抽库娄兮酌醴
'chou'pu'xi'chen'zuo 抽蒲兮陈坐
'chou'qiao'qiao'zhi'chang'bei'xi 愁悄悄之常悲兮
'chou'ren'xi'nai'he 愁人兮奈何
'chou'si'xin'yu'yu'zhi'you'si'xi 抽思心郁郁之忧思兮
'chou'tan'ku'shen 愁叹苦神
'chou'xiu'ye'er'wan'zhuan'xi 愁修夜而宛转兮
'chou'yu'yu'zhi'wu'kuai'xi 愁郁郁之无快兮
'chou'yu'yu'zhi'yan'ji 愁郁郁之焉极
'chu'bu'ru'xi'wang'bu'fan 出不入兮往不反
