'ban'bao'liu'fu'zhi 半保留复制
'ban'guang'an'suan 半胱氨酸
'ban'guang'an'suan'an 半胱氨酸胺
'ban'guang'an'suan'dan'bai'mei'jie'kang'ji 半胱氨酸蛋白酶拮抗剂
'ban'guang'an'suan'dan'bai'mei'lei 半胱氨酸蛋白酶类
'ban'guang'an'suan'dan'bai'mei'yi'zhi'ji 半胱氨酸蛋白酶抑制剂
'ban'guang'an'suan'dan'bai'mei'yi'zhi'ji'nei'yuan'xing 半胱氨酸蛋白酶抑制剂内源性
'ban'guang'an'suan'dan'bai'mei'yi'zhi'ji'wai'yuan'xing 半胱氨酸蛋白酶抑制剂外源性
'ban'guang'an'suan'dan'bai'mei'yi'zhi'wu 半胱氨酸蛋白酶抑制物
'ban'guang'an'suan'dan'bai'shui'jie'mei'lei 半胱氨酸蛋白水解酶类
'ban'guang'an'suan'he'mei 半胱氨酸合酶
'ban'guang'an'suan'nei'tai'mei'lei 半胱氨酸内肽酶类
'ban'guang'an'suan'te'yi 半胱氨酸特异
'ban'guang'an'suan'tian'dong'an'suan'dan'bai'mei 半胱氨酸天冬氨酸蛋白酶
'ban'guang'an'suan'tuo'qiu'ji'mei 半胱氨酸脱巯基酶
'ban'guang'an'xian'duo'ba 半胱氨酰多巴
'ban'gui'guan 半规管
'ban'gui'guan'kai'chuang'shu 半规管开窗术
'ban'gui'guan'lou 半规管瘘
'ban'gui'guan'qing'tan 半规管轻瘫
'ban'gui'guan'tian'sai'shu 半规管填塞术
'ban'he'cheng'pei'yang'ji 半合成培养基
'ban'he'cheng'yi'miao 半合成疫苗
'ban'he'zi 半合子
'ban'hou'qie'chu'shu 半喉切除术
'ban'huan'bian'wei'she'du'su'lei 半环扁尾蛇毒素类
'ban'hun'mi 半昏迷
'ban'ji'e 半饥饿
'ban'ji'sheng 半寄生
'ban'ji'sheng'wu 半寄生物
'ban'ji'sheng'zhi'wu 半寄生植物
'ban'ji'sui'shu'zong'he'zheng 半脊髓束综合征
'ban'ji'zhi 扳机指
'ban'ji'zhuang'zhi 板机状指
'ban'jiao'huan'qi 半交换期
'ban'jiao'shu 半胶束
'ban'jie'chang'qie'chu'shu 半结肠切除术
'ban'jie'pou'shi'ya 半解剖式牙
'ban'jing'mi'zhi'tuo 半精密支托
'ban'kai'fang'zhuang'zhi 半开放装置
'ban'kang'yuan 半抗原
'ban'kang'yuan'kang'ti'ning'ju'wu 半抗原抗体凝聚物
'ban'kang'yuan'yi'zhi'shi'yan 半抗原抑制试验
'ban'kou'fan'liu'mian'ji 瓣口反流面积
'ban'kou'xian'chong'bing 板口线虫病
'ban'kou'xian'chong'mei'zhou 板口线虫美洲
'ban'kou'xian'chong'shu 板口线虫属
'ban'kou'yi'chi 半口义齿
'ban'kun 半醌
'ban'lan'gen 板兰根
'ban'lan'gen 板蓝根
'ban'lan'gen'cha 板蓝根茶
'ban'lan'gen'ke'li'tang'jiang'chong'ji'zui'jiao'pian 板蓝根颗粒糖浆冲剂咀嚼片
'ban'lan'gen'zui'jiao'pian 板蓝根咀嚼片
'ban'lian'xu'ju'he 半连续聚合
'ban'ma'yan'ye 班马眼液
'ban'ma'zui 半麻醉
'ban'mai'ru'heng'ru'shi'feng'he 半埋入横褥式缝合
'ban'mao 斑蝥
'ban'mao'pi'yan 斑蝥皮炎
'ban'mao'su 斑蝥素
'ban'mao'suan'na 斑蝥酸钠
'ban'mao'suan'na'wei'sheng'su'zhu'she'ye 斑蝥酸钠维生素注射液
'ban'mian'jing'luan 半面痉挛
'ban'mo 瓣膜
'ban'mo'bian'xing 瓣膜变形
'ban'mo'cheng'xing'shu 瓣膜成形术
'ban'mo'dao 瓣膜刀
'ban'mo'qie'kai'shu 瓣膜切开术
'ban'mo'que'sun 瓣膜缺损
'ban'mo'xia'xia'zhai'te'fa'xing'fei'da'xing 瓣膜下狭窄特发性肥大性
'ban'mo'xing'xin'bing 瓣膜性心病
'ban'mo'xing'xin'zang'bing 瓣膜性心脏病
'ban'mo'zhi'huan'shu'hou'xin'zang'ban'mo'shuai'jie 瓣膜置换术后心脏瓣膜衰竭
'ban'nei'he'qun 板内核群
'ban'pi'yi'zhi 半脾移植
'ban'qi'sheng'ti 半奇生体
'ban'qian'wei'sheng'she'shi 搬迁卫生设施
'ban'qiao'li 半桥粒
'ban'qie'ya'shu 半切牙术
'ban'qing'dan'bai 伴清蛋白
'ban'qiu 半球
'ban'qiu'xing'ru'fang 半球形乳房
'ban'qiu'xing'shi'ye'ji 半球形视野计
'ban'qiu'you'shi'da'nao 半球优势大脑
'ban'qu 半屈
'ban'qu'wei 半屈位
'ban'quan 版权
'ban'ri'hua'ke 半日花科
'ban'ru'ju'tang'lei 半乳聚糖类
'ban'ru'suan'xing'suan'zhong'du'de'yun'dong'shi'diao 伴乳酸性酸中毒的运动失调
'ban'ru'tang 半乳糖
'ban'ru'tang'an 半乳糖胺
'ban'ru'tang'an'mei 半乳糖胺酶
'ban'ru'tang'ban'ru'tang'ji'pu'tang'ji'shen'jing'xian'an'mei 半乳糖半乳糖基葡糖基神经酰胺酶
'ban'ru'tang'cha'xiang'yi'gou'mei 半乳糖差向异构酶
'ban'ru'tang'chun 半乳糖醇
'ban'ru'tang'gan'lei 半乳糖苷类
'ban'ru'tang'gan'mei 半乳糖苷酶
'ban'ru'tang'gan'mei'lei 半乳糖苷酶类
'ban'ru'tang'ji'mei 半乳糖激酶
'ban'ru'tang'ji'mei'que'fa'bing 半乳糖激酶缺乏病
'ban'ru'tang'ji'shen'jing'xian'an'lei 半乳糖基神经酰胺类
'ban'ru'tang'jiao'lin'suan'mei 半乳糖焦磷酸酶
'ban'ru'tang'lin'suan'lei 半乳糖磷酸类
'ban'ru'tang'lin'suan'niao'gan'xian'ji'zhuan'yi'mei'que'fa'bing 半乳糖磷酸尿苷酰基转移酶缺乏病
'ban'ru'tang'lin'suan'niao'gan'xian'zhuan'yi'mei 半乳糖磷酸尿苷酰转移酶
'ban'ru'tang'liu'pi'nan'tang'gan'lei 半乳糖硫吡喃糖苷类
'ban'ru'tang'nai'liang 半乳糖耐量
'ban'ru'tang'nai'liang'shi'yan 半乳糖耐量试验
'ban'ru'tang'nao'gan'zhi'lei 半乳糖脑苷脂类
'ban'ru'tang'nao'gan'zhi'mei 半乳糖脑苷脂酶
'ban'ru'tang'niao 半乳糖尿
'ban'ru'tang'qiao'an'chun 半乳糖鞘氨醇
'ban'ru'tang'shen'jing'xian'an'lei 半乳糖神经酰胺类
'ban'ru'tang'shen'jing'xian'an'mei 半乳糖神经酰胺酶
'ban'ru'tang'shen'jing'xian'an'mei'que'fa'bing 半乳糖神经酰胺酶缺乏病
'ban'ru'tang'tuo'qing'mei'lei 半乳糖脱氢酶类
'ban'ru'tang'xing'bai'nei'zhang 半乳糖性白内障
'ban'ru'tang'xue 半乳糖血
'ban'ru'tang'xue'zheng 半乳糖血症
'ban'ru'tang'yang'hua'hai'yuan'mei'lei 半乳糖氧化还原酶类
'ban'ru'tang'yang'hua'mei 半乳糖氧化酶
'ban'ru'tang'yi'xian'an'ji'pu'tao'tang'zhuan'yi'mei 半乳糖乙酰氨基葡萄糖转移酶
'ban'ru'tang'zhuan'yi'mei'lei 半乳糖转移酶类
'ban'sai'lei 板鳃类
'ban'sai'ya'gang 板鳃亚纲
'ban'sha'mo 半沙漠
'ban'shan'heng 板珊亨
'ban'she'qie'chu'shu 半舌切除术
'ban'shen'fu'she 半身辐射
'ban'shen'qie'chu'shu 半肾切除术
'ban'shen'shui'zhong 半身水肿
'ban'shen'sun'hai'de'tu'fa'xing'nao'mo'yan'qiu'jun'bai'xue'zheng 伴肾损害的突发性脑膜炎球菌败血症
'ban'shen'tou'shi 半渗透室
'ban'shen'zhao'she 半身照射
'ban'shi'xiang'pi'bing 班氏象皮病
'ban'shou'shu 半手术
'ban'shu'yi'zhi'nong'du 半数抑制浓度
'ban'shu'you'xiao'liang 半数有效量
'ban'shu'zhi'si'liang 半数致死量
'ban'shu'zhi'si'mian'ji 半数致死面积
'ban'shuai'qi 半衰期
'ban'sui'bing'du 伴随病毒
'ban'sui'fu'bian'hua 伴随负变化
'ban'sui'fu'dian'wei 伴随负电位
'ban'sui'mian'yi 伴随免疫
'ban'sui'xing'wei'yan 伴随性胃炎
'ban'suo'quan 半缩醛
'ban'ti'shi'zong'he'zheng 班替氏综合征
'ban'ti'zong'he'zheng 班替综合征
'ban'tian'dong'an'suan'quan'tuo'qing'mei 半天冬氨酸醛脱氢酶
'ban'tong'bao 半同胞
'ban'tong'bao'hun'pei 半同胞婚配
'ban'tong'yuan 半同源
'ban'tou'guo'xing 半透过性
'ban'tou'guo'xing'de 半透过性的
'ban'tou'mo 半透膜
'ban'tou'xing'de 半透性的
'ban'tuo'la 半脱拉
'ban'tuo'wei 半脱位
'ban'wei'liang'fen'xi 半微量分析
'ban'wu'nao 半无脑
'ban'xi'bao 伴细胞
'ban'xia 半夏
'ban'xia'bai'shu'tian'ma'tang 半夏白术天麻汤
'ban'xia'he'gu'qie'chu'shu 半下颌骨切除术
'ban'xia'he'ji'xing 半下颌畸形
'ban'xia'hou'pu'tang 半夏厚朴汤
'ban'xia'shu 半夏属
'ban'xia'shu'gen'jing 半夏属根茎
'ban'xia'tian'ma'wan 半夏天麻丸
'ban'xia'xie'xin'tang 半夏泻心汤
'ban'xia'zhi'ke'tang'jiang 半夏止咳糖浆
'ban'xian'xing 半显性
'ban'xiao'hua'de 半小花的
'ban'xing'de 伴性的
'ban'xing'de 伴行的
'ban'xing'fa'han 伴性发汗
'ban'xing'ji'yin 伴性基因
'ban'xing'jing'mai 伴行静脉
'ban'xing'xing'zhuang 伴性性状
'ban'xing'yi'chuan 伴性遗传
'ban'yan 瓣炎
'ban'ye'qian'nao'wu'lie'ji'xing 半叶前脑无裂畸形
'ban'yi'shi 半意识
'ban'yin'si'bing'fang 半隐私病房
'ban'yin'yang 半阴阳
'ban'you'pi'ceng'xia'geng'si'he'bai'zhi'nao'bing'de'da'qin'chang'ran'se'ti'xian'xing'dong'mai'bing 伴有皮层下梗死和白质脑病的大禽常染色体显性动脉病
'ban'you'po'sun'xing'hong'ji'qian'wei'bing'de'ji'zhen'luan'xing'dian'xian 伴有破损性红肌纤维病的肌阵挛型癫痫
'ban'you'xian'tian'xing'zong'he'zheng'de'mao'xi'guan'kuo'zhang 伴有先天性综合征的毛细管扩张
'ban'yue'ban 半月板
'ban'yue'ban 半月瓣
'ban'yue'ban'bu'fen'qie'chu'shu 半月板部分切除术
'ban'yue'ban'ce 半月板侧
'ban'yue'ban'fei'hou 半月板肥厚
'ban'yue'ban'jing'gu 半月板胫骨
'ban'yue'ban'nang'zhong 半月板囊肿
'ban'yue'ban'qie'chu'shu 半月扳切除术
'ban'yue'ban'qie'chu'shu 半月板切除术
'ban'yue'ban'song'chi 半月板松弛
'ban'yue'ban'xi'guan'jie'jing'xia'bu'fen'qie'chu'shu 半月板膝关节镜下部分切除术
'ban'yue'ban'xi'guan'jie'jing'xia'cheng'xing'shu 半月板膝关节镜下成形术
'ban'yue'ban'zheng'zhong 半月板正中
'ban'yue'jing 半月净
'ban'yue'qing 半月清
'ban'yue'shen'jing'jie 半月神经节
'ban'yue'ti 半月体
'ban'yue'xian'shan 半月线疝
'ban'yue'xing'de 半月形的
'ban'yue'zhuang'bao'zi'ti 半月状抱子体
'ban'zhen'shang'han 斑疹伤寒
'ban'zhen'shang'han'di'fang'xing'zao'chuan 斑疹伤寒地方性蚤传
'ban'zhen'shang'han'fu'xing 斑疹伤寒腹型
'ban'zhen'shang'han'liu'xing'xing'shi'chuan 斑疹伤寒流行性虱传
'ban'zhen'shang'han'sheng'bao'luo 斑疹伤寒圣保罗
'ban'zhen'shang'han'shu'xing 斑疹伤寒鼠型
'ban'zhen'shang'han'xiao'jie 斑疹伤寒小结
'ban'zhen'shang'han'yang'chong're 斑疹伤寒恙虫热
'ban'zhi 斑痣
'ban'zhi'ji'xing 半肢畸形
'ban'zhi'jun'gang 半知菌纲
'ban'zhi'jun'men 半知菌门
'ban'zhi'lian 半支莲
'ban'zhi'lian 半枝莲
'ban'zhi'si'ji'yin 半致死基因
'ban'zhi'xing'cuo'gou'liu'bing 斑痣性错构瘤病
'ban'zhi'xing'cuo'gou'liu'bing'si'te'ji'wei'bo 斑痣性错构瘤病斯特季韦伯
'ban'zhong 半种
'ban'zhong'ban'ren'gong'ban'zhi'ru'shu 瓣中瓣人工瓣植入术
'ban'zhou'lou 瓣周漏
'ban'zhuang'gen 板状根
'ban'zhuang'lei'yin'xie'bing 斑状类银屑病
'ban'zhuang'qiang'zhi 板状强直
'ban'zhuang'wei'suo 斑状萎缩
'ban'zhuang'ying'ban'bing 斑状硬斑病
'bang'di'pai'chuang'ke'tie 邦迪牌创可贴
'bang'di'xiao'du'dan'xing'chuang'ke'tie 邦迪消毒弹性创可贴
'bang'guang 膀胱
'bang'guang'ai 膀胱癌
'bang'guang'ai'shu'hou 膀胱癌术后
'bang'guang'ai'shu'hou'fang'she'zhi'liao 膀胱癌术后放射治疗
'bang'guang'ai'shu'hou'hua'xue'zhi'liao 膀胱癌术后化学治疗
'bang'guang'bai'ban'bing 膀胱白斑病
'bang'guang'bi'suo 膀胱闭锁
'bang'guang'bing'hai'qie'chu'shu 膀胱病害切除术
'bang'guang'bu'fen'qie'chu'shu 膀胱部分切除术
'bang'guang'ce'ya 膀胱测压
'bang'guang'chang'lou 膀胱肠瘘
'bang'guang'chang'shan 膀胱肠疝
'bang'guang'cheng'xing'shu 膀胱成形术
'bang'guang'chong'qi 膀胱充气
'bang'guang'chong'qi'zhao'xiang'pian 膀胱充气照相片
'bang'guang'chong'qi'zhao'xiang'shu 膀胱充气照相术
'bang'guang'chong'xi 膀胱冲洗
'bang'guang'chong'xi'fa 膀胱冲洗法
'bang'guang'chu'xue 膀胱出血
'bang'guang'chuan'ci'shu 膀胱穿刺术
'bang'guang'chuan'ci'zao'lou'shu 膀胱穿刺造瘘术
'bang'guang'cuo'shang 膀胱挫伤
'bang'guang'dao 膀胱刀
'bang'guang'dian'fen'yang'bian 膀胱淀粉样变
'bang'guang'dian'fen'yang'bian'xing 膀胱淀粉样变性
'bang'guang'dian'fen'yang'bing'bian 膀胱淀粉样病变
'bang'guang'e'xing'ru'tou'zhuang'liu 膀胱恶性乳头状瘤
'bang'guang'e'xing'zhong'liu 膀胱恶性肿瘤
'bang'guang'fan'she 膀胱反射
'bang'guang'gei'yao 膀胱给药
'bang'guang'geng'zu 膀胱梗阻
'bang'guang'gu'ding'shu 膀胱固定术
'bang'guang'guan'xi'shu 膀胱灌洗术
'bang'guang'guan'zhu 膀胱灌注
'bang'guang'guo'du'huo'dong'zheng 膀胱过度活动症
'bang'guang'guo'min 膀胱过敏
'bang'guang'huai'ju 膀胱坏疽
'bang'guang'huo'jian'shu 膀胱活检术
'bang'guang'ji'bing 膀胱疾病
'bang'guang'ji'bing'shen'jing'yuan'xing 膀胱疾病神经原性
'bang'guang'ji'fa'e'xing'zhong'liu 膀胱继发恶性肿瘤
'bang'guang'ji'fa'xing'e'xing'zhong'liu 膀胱继发性恶性肿瘤
'bang'guang'ji'liu 膀胱肌瘤
'bang'guang'ji'xing 膀胱畸形
'bang'guang'jia'qi'shi 膀胱假憩室
'bang'guang'jia'xing'qi'shi 膀胱假性憩室
'bang'guang'jian'zhi'liu 膀胱间质瘤
'bang'guang'jiao'jie'e'xing'zhong'liu 膀胱交界恶性肿瘤
'bang'guang'jie'he 膀胱结核
'bang'guang'jie'shi 膀胱结石
'bang'guang'jie'shi'zheng 膀胱结石症
'bang'guang'jing 膀胱镜
'bang'guang'jing'bu 膀胱颈部
'bang'guang'jing'cheng'xing'shu 膀胱颈成形术
'bang'guang'jing'dian'qie'shu 膀胱颈电切术
'bang'guang'jing'e'xing'zhong'liu 膀胱颈恶性肿瘤
'bang'guang'jing'fei'hou 膀胱颈肥厚
'bang'guang'jing'geng'zu 膀胱颈梗阻
'bang'guang'jing'jian'cha 膀胱镜检查
'bang'guang'jing'luan'suo 膀胱颈挛缩
'bang'guang'jing'mai'qu'zhang 膀胱静脉曲张
'bang'guang'jing'sui'shi'shu 膀胱镜碎石术
'bang'guang'jing'suo'zhai'shu 膀胱颈缩窄术
'bang'guang'jing'xi'rou 膀胱颈息肉
'bang'guang'jing'xia'zhai 膀胱颈狭窄
'bang'guang'jing'xuan'diao'shu 膀胱颈悬吊术
'bang'guang'jing'yan 膀胱颈炎
'bang'guang'jing'ying'hua'zheng 膀胱颈硬化症
'bang'guang'kuo'yue'ji'cheng'xing'shu 膀胱括约肌成形术
'bang'guang'lie 膀胱裂
'bang'guang'lin'ba'rou'liu 膀胱淋巴肉瘤
'bang'guang'lin'zhuang'xi'bao'ai 膀胱鳞状细胞癌
'bang'guang'lou 膀胱瘘
'bang'guang'luan'suo 膀胱挛缩
'bang'guang'mei'du 膀胱梅毒
'bang'guang'nei'fan'xing'ru'tou'zhuang'liu 膀胱内翻性乳头状瘤
'bang'guang'nei'ya'ce'liang'fa 膀胱内压测量法
'bang'guang'nei'yin'liu'shi'yi'xian'yi'zhi 膀胱内引流式胰腺移植
'bang'guang'niao'dao 膀胱尿道
'bang'guang'niao'dao'wen'he'shu 膀胱尿道吻合术
'bang'guang'pao'zhen 膀胱疱疹
'bang'guang'peng'chu 膀胱膨出
'bang'guang'pi'fu'zao'kou'shu 膀胱皮肤造口术
'bang'guang'ping'hua'ji'liu 膀胱平滑肌瘤
'bang'guang'ping'hua'ji'rou'liu 膀胱平滑肌肉瘤
'bang'guang'po'lie 膀胱破裂
'bang'guang'pu'tao'zhuang'rou'liu 膀胱葡萄状肉瘤
'bang'guang'qi'shi 膀胱憩室
'bang'guang'qi'shi'jie'shi 膀胱憩室结石
'bang'guang'qi'shi'qie'chu'shu 膀胱憩室切除术
'bang'guang'qian'lie'xian'qie'chu'shu 膀胱前列腺切除术
'bang'guang'qie'chu'shu 膀胱切除术
'bang'guang'qie'kai'qu'shi'shu 膀胱切开取石术
'bang'guang'qie'kai'shu 膀胱切开术
'bang'guang'qie'shi'shu 膀胱切石术
'bang'guang'qu'shen'jing'chao'guo'min'shi'yan 膀胱去神经超过敏试验
'bang'guang'quan'qie'chu'shu 膀胱全切除术
'bang'guang'que'ru 膀胱缺如
'bang'guang'rou'liu 膀胱肉瘤
'bang'guang'ru'tou'zhuang'ai 膀胱乳头状癌
'bang'guang'ru'tou'zhuang'liu 膀胱乳头状瘤
'bang'guang'ru'tou'zhuang'liu'bing 膀胱乳头状瘤病
'bang'guang'san'jiao'ji'shu'niao'guan'jian'ji'fei'da 膀胱三角及输尿管间嵴肥大
'bang'guang'san'jiao'qu'yan 膀胱三角区炎
'bang'guang'san'jiao'qu'yi'zhuang'jie'chang'wen'he'shu 膀胱三角区乙状结肠吻合术
'bang'guang'san'jiao'yan 膀胱三角炎
'bang'guang'shi 膀胱石
'bang'guang'shi'bing 膀胱石病
'bang'guang'shi'ge'xi'bao'liu 膀胱嗜铬细胞瘤
'bang'guang'shi'yan'sui'shu 膀胱石研碎术
'bang'guang'shu'niao'guan'fan'liu 膀胱输尿管反流
'bang'guang'shu'niao'guan'lou 膀胱输尿管瘘
'bang'guang'shu'niao'guan'yi'zhi'shu 膀胱输尿管移植术
'bang'guang'sui'shi'qi 膀胱碎石器
'bang'guang'sui'shi'xi'chu'shu 膀胱碎石洗出术
'bang'guang'sun'shang 膀胱损伤
'bang'guang'tong 膀胱痛
'bang'guang'tu'chu 膀胱突出
'bang'guang'tuo'chui 膀胱脱垂
'bang'guang'wai'fan 膀胱外翻
'bang'guang'xia'chui 膀胱下垂
'bang'guang'xian'ai 膀胱腺癌
'bang'guang'xian'liu 膀胱腺瘤
'bang'guang'xiao'chang'lie 膀胱小肠裂
'bang'guang'xiao'liang'xing'cheng 膀胱小梁形成
'bang'guang'xue 膀胱穴
'bang'guang'xue'guan'liu 膀胱血管瘤
'bang'guang'yan 膀胱炎
'bang'guang'yi'wu 膀胱异物
'bang'guang'yi'xing'xi'bao'ai 膀胱移行细胞癌
'bang'guang'yin'dao'lou 膀胱阴道瘘
'bang'guang'yu 膀胱俞
'bang'guang'yu'xue 膀胱俞穴
'bang'guang'yuan'wei'ai 膀胱原位癌
'bang'guang'zao'kou'shu 膀胱造口术
'bang'guang'zhao'pian 膀胱照片
'bang'guang'zhao'xiang'shu 膀胱照相术
'bang'guang'zhen'jun'bing 膀胱真菌病
'bang'guang'zhi'chang'lou 膀胱直肠瘘
'bang'guang'zhong'liu 膀胱肿瘤
'bang'guang'zhou'yan 膀胱周炎
'bang'guang'zhou'zu'zhi 膀胱周组织
'bang'guang'zi'dian 膀胱紫癜
'bang'guang'zi'gong'lou 膀胱子宫瘘
'bang'guang'zi'gong'nei'mo'yi'wei'zheng 膀胱子宫内膜异位症
'bang'lai'zhen 邦莱针
'bang'na'zui'jiao'pian 邦纳咀嚼片
'bang'ting'zhen 邦亭针
'bang'wei'er'san'jiao 邦威尔三角
'bang'yue'zhen 邦悦针
'bang'zhu'xing'wei 帮助行为
