'bei'bing'zhi 棓丙酯
'chang'zhou'shi'wu'jin'yao'ye'you'xian'gong'si 常州市武进药业有限公司
'chang'zhou'shi'xin'bei'qu'an'jia'wei'sheng'yuan 常州市新北区安家卫生院
'chang'zhou'shi'xin'bei'qu'bai'zhang'wei'sheng'yuan 常州市新北区百丈卫生院
'chang'zhou'shi'xin'bei'qu'he'hai'jie'dao'she'qu'wei'sheng'fu'wu'zhong'xin 常州市新北区河海街道社区卫生服务中心
'chang'zhou'shi'xin'bei'qu'long'hu'tang'jie'dao'wei'sheng'yuan 常州市新北区龙虎塘街道卫生院
'chang'zhou'shi'xin'bei'qu'luo'xi'zhen'wei'sheng'yuan 常州市新北区罗溪镇卫生院
'chang'zhou'shi'xin'bei'qu'meng'he'wei'sheng'yuan 常州市新北区孟河卫生院
'chang'zhou'shi'xin'bei'qu'san'jing'jie'dao'wei'sheng'yuan 常州市新北区三井街道卫生院
'chang'zhou'shi'xin'bei'qu'wei'cun'wei'sheng'yuan 常州市新北区魏村卫生院
'chang'zhou'shi'xin'bei'qu'wei'tang'wei'sheng'yuan 常州市新北区圩塘卫生院
'chang'zhou'shi'xin'bei'qu'wei'tang'yi'liao'qi'cai'chang 常州市新北区圩塘医疗器材厂
'chang'zhou'shi'xin'bei'qu'xi'xia'shu'zhen'wei'sheng'yuan 常州市新北区西夏墅镇卫生院
'chang'zhou'shi'xin'bei'qu'xiao'he'wei'sheng'yuan 常州市新北区小河卫生院
'chang'zhou'shi'xin'bei'qu'xin'qiao'zhen'wei'sheng'yuan 常州市新北区新桥镇卫生院
'chang'zhou'shi'xin'bei'qu'xue'jia'zhen'wei'sheng'yuan 常州市新北区薛家镇卫生院
'chang'zhou'shi'xin'ying'yao'ye'you'xian'gong'si 常州市新英药业有限公司
'chang'zhou'shi'xin'zhi'feng'yao'dian'you'xian'gong'si 常州市新之丰药店有限公司
'chang'zhou'shi'yi'le'zhu'she'qi'chang 常州市亿乐注射器厂
'chang'zhou'shi'yi'yuan'zhi'ji'gui'cheng'nian'ban 常州市医院制剂规程年版
'chang'zhou'shi'yuan'dong'yi'liao'qi'cai'chang'you'xian'gong'si 常州市远东医疗器材厂有限公司
'chang'zhou'shi'zhen'shi'hui'yao'pin'ling'shou'you'xian'gong'si 常州市真实惠药品零售有限公司
'chang'zhou'shi'zhen'xing'yi'liao'qi'cai'you'xian'gong'si 常州市振兴医疗器材有限公司
'chang'zhou'shi'zhong'lou'qu'bei'gang'jie'dao'wei'sheng'yuan 常州市钟楼区北港街道卫生院
'chang'zhou'shi'zhong'lou'qu'wu'xing'jie'dao'wei'sheng'yuan 常州市钟楼区五星街道卫生院
'chang'zhou'shi'zhong'lou'qu'xi'lin'jie'dao'wei'sheng'yuan 常州市钟楼区西林街道卫生院
'chang'zhou'shi'zhong'lou'qu'xin'zha'zhen'she'qu'wei'sheng'fu'wu'zhong'xin 常州市钟楼区新闸镇社区卫生服务中心
'chang'zhou'si'yao'zhi'yao'you'xian'gong'si 常州四药制药有限公司
'chang'zhou'tai'he'guo'yao'zhi'pin'you'xian'gong'si 常州泰和国药制品有限公司
'chang'zhou'tian'long'yao'pin'you'xian'gong'si 常州天龙药品有限公司
'chang'zhou'wan'ren'da'yao'fang'you'xian'gong'si 常州万仁大药房有限公司
'chang'zhou'wei'long'yao'ye'you'xian'gong'si 常州威龙药业有限公司
'chang'zhou'wu'jin'hua'xue'chang'you'xian'gong'si 常州武进化学厂有限公司
'chang'zhou'xiao'chun'yi'liao'qi'cai'you'xian'gong'si 常州晓春医疗器材有限公司
'chang'zhou'ya'bang'wu'zhou'yi'yao'you'xian'gong'si 常州亚邦五洲医药有限公司
'chang'zhou'ya'bang'zhi'yao'you'xian'gong'si 常州亚邦制药有限公司
'chang'zhou'yao'ye'gu'fen'you'xian'gong'si 常州药业股份有限公司
'chang'zhou'yao'ye'gu'fen'you'xian'gong'si'di'er'pi'fa'fen'gong'si 常州药业股份有限公司第二批发分公司
'chang'zhou'yao'ye'gu'fen'you'xian'gong'si'di'yi'pi'fa'fen'gong'si 常州药业股份有限公司第一批发分公司
'chang'zhou'yao'ye'gu'fen'you'xian'gong'si'xin'te'yao'pin'fen'gong'si 常州药业股份有限公司新特药品分公司
'chang'zhou'yao'ye'gu'fen'you'xian'gong'si'yi'yao'yao'cai'fen'gong'si 常州药业股份有限公司医药药材分公司
'chang'zhou'yi'liao'qi'cai'zong'chang'you'xian'gong'si 常州医疗器材总厂有限公司
'chang'zhou'zhi'yao'chang'you'xian'gong'si 常州制药厂有限公司
'chang'zhou'zhong'cheng'yi'yao'lian'suo'you'xian'gong'si 常州中诚医药连锁有限公司
'guo'jia'yao'pin'biao'zhun'di'ba'ce 国家药品标准第八册
'guo'jia'yao'pin'biao'zhun'di'er'ce 国家药品标准第二册
'guo'jia'yao'pin'biao'zhun'di'jiu'ce 国家药品标准第九册
'guo'jia'yao'pin'biao'zhun'di'liu'ce 国家药品标准第六册
'guo'jia'yao'pin'biao'zhun'di'qi'ce 国家药品标准第七册
'guo'jia'yao'pin'biao'zhun'di'san'ce 国家药品标准第三册
'guo'jia'yao'pin'biao'zhun'di'shi'ce 国家药品标准第十册
'guo'jia'yao'pin'biao'zhun'di'shi'er'ce 国家药品标准第十二册
'guo'jia'yao'pin'biao'zhun'di'shi'liu'ce 国家药品标准第十六册
'guo'jia'yao'pin'biao'zhun'di'shi'san'ce 国家药品标准第十三册
'guo'jia'yao'pin'biao'zhun'di'shi'si'ce 国家药品标准第十四册
'guo'jia'yao'pin'biao'zhun'di'shi'wu'ce 国家药品标准第十五册
'guo'jia'yao'pin'biao'zhun'di'shi'yi'ce 国家药品标准第十一册
'guo'jia'yao'pin'biao'zhun'di'si'ce 国家药品标准第四册
'guo'jia'yao'pin'biao'zhun'di'wu'ce 国家药品标准第五册
'guo'jia'yao'pin'biao'zhun'di'yi'ce 国家药品标准第一册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'ce 国家药品标准新药转正标准第册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'ba'ce 国家药品标准新药转正标准第二十八册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'ce 国家药品标准新药转正标准第二十册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'er'ce 国家药品标准新药转正标准第二十二册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'jiu'ce 国家药品标准新药转正标准第二十九册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'liu'ce 国家药品标准新药转正标准第二十六册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'qi'ce 国家药品标准新药转正标准第二十七册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'san'ce 国家药品标准新药转正标准第二十三册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'si'ce 国家药品标准新药转正标准第二十四册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'wu'ce 国家药品标准新药转正标准第二十五册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'shi'yi'ce 国家药品标准新药转正标准第二十一册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'ba'ce 国家药品标准新药转正标准第三十八册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'ce 国家药品标准新药转正标准第三十册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'er'ce 国家药品标准新药转正标准第三十二册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'jiu'ce 国家药品标准新药转正标准第三十九册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'liu'ce 国家药品标准新药转正标准第三十六册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'qi'ce 国家药品标准新药转正标准第三十七册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'san'ce 国家药品标准新药转正标准第三十三册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'si'ce 国家药品标准新药转正标准第三十四册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'wu'ce 国家药品标准新药转正标准第三十五册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'shi'yi'ce 国家药品标准新药转正标准第三十一册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'ba'ce 国家药品标准新药转正标准第十八册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'jiu'ce 国家药品标准新药转正标准第十九册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'liu'ce 国家药品标准新药转正标准第十六册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'qi'ce 国家药品标准新药转正标准第十七册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'shi'ba'ce 国家药品标准新药转正标准第四十八册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'shi'ce 国家药品标准新药转正标准第四十册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'shi'er'ce 国家药品标准新药转正标准第四十二册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'shi'liu'ce 国家药品标准新药转正标准第四十六册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'shi'qi'ce 国家药品标准新药转正标准第四十七册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'shi'san'ce 国家药品标准新药转正标准第四十三册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'shi'si'ce 国家药品标准新药转正标准第四十四册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'shi'wu'ce 国家药品标准新药转正标准第四十五册
'guo'jia'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'si'shi'yi'ce 国家药品标准新药转正标准第四十一册
'guo'jia'yao'pin'jian'du'guan'li'ju'guo'yao'jian'shi'hao'fu'jian 国家药品监督管理局国药监市号附件
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'fen'ce 国家中成药标准汇编分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'gu'shang'ke'fen'ce 国家中成药标准汇编骨伤科分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'jing'luo'zhi'ti'nao'xi'fen'ce 国家中成药标准汇编经络肢体脑系分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'kou'qiang'zhong'liu'er'ke'fen'ce 国家中成药标准汇编口腔肿瘤儿科分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'nei'ke'fei'xi'er'fen'ce 国家中成药标准汇编内科肺系二分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'nei'ke'fei'xi'yi'fen'ce 国家中成药标准汇编内科肺系一分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'nei'ke'gan'dan'fen'ce 国家中成药标准汇编内科肝胆分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'nei'ke'pi'wei'fen'ce 国家中成药标准汇编内科脾胃分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'nei'ke'qi'xue'jin'ye'fen'ce 国家中成药标准汇编内科气血津液分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'nei'ke'shen'xi'fen'ce 国家中成药标准汇编内科肾系分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'nei'ke'xin'xi'fen'ce 国家中成药标准汇编内科心系分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'wai'ke'fu'ke'fen'ce 国家中成药标准汇编外科妇科分册
'guo'jia'zhong'cheng'yao'biao'zhun'hui'bian'yan'ke'er'bi'hou'ke'pi'fu'ke'fen'ce 国家中成药标准汇编眼科耳鼻喉科皮肤科分册
'jiang'su'duo'bao'yao'ye'you'xian'gong'si 江苏多宝药业有限公司
'jiang'su'hai'wang'xing'chen'jian'kang'da'yao'fang'lian'suo'you'xian'gong'si 江苏海王星辰健康大药房连锁有限公司
'jiang'su'hai'wang'xing'chen'jian'kang'yao'fang'lian'suo'you'xian'gong'si'chang'zhou'cheng'zhong'dian 江苏海王星辰健康药房连锁有限公司常州城中店
'jiang'su'ji'chun'yi'liao'qi'cai'you'xian'gong'si 江苏吉春医疗器材有限公司
'jiang'su'jian'quan'yi'liao'qi'xie'you'xian'gong'si 江苏健泉医疗器械有限公司
'jiang'su'ju'rong'zhi'yao'ji'tuan'you'xian'gong'si 江苏聚荣制药集团有限公司
'jiang'su'kang'hua'yi'liao'qi'cai'you'xian'gong'si 江苏康华医疗器材有限公司
'jiang'su'kang'jin'yi'liao'qi'cai'you'xian'gong'si 江苏康进医疗器材有限公司
'jiang'su'kang'you'yi'yong'qi'xie'you'xian'gong'si 江苏康友医用器械有限公司
'jiang'su'lin'hai'yao'ye'you'xian'gong'si 江苏林海药业有限公司
'jiang'su'lin'hai'yao'ye'you'xian'gong'si'zhi'zao'fen'gong'si 江苏林海药业有限公司制造分公司
'jiang'su'run'de'yi'yong'cai'liao'you'xian'gong'si 江苏润德医用材料有限公司
'jiang'su'shen'li'yi'yong'zhi'pin'chang 江苏神力医用制品厂
'jiang'su'sheng'chang'zhou'jian'yu'yi'yuan 江苏省常州监狱医院
'jiang'su'sheng'li'yang'jian'yu'yi'yuan 江苏省溧阳监狱医院
'jiang'su'sheng'li'yang'jing'ji'kai'fa'qu'yi'yuan 江苏省溧阳经济开发区医院
'jiang'su'sheng'zhong'yao'yin'pian'pao'zhi'gui'fan'nian'ban 江苏省中药饮片炮制规范年版
'jiang'su'tian'he'zhi'yao'you'xian'gong'si 江苏天禾制药有限公司
'jiang'su'tian'shi'li'zhi'yao'you'xian'gong'si 江苏天士力制药有限公司
'jiang'su'tong'yong'yao'ye'you'xian'gong'si 江苏通用药业有限公司
'jiang'su'ya'bang'yao'ye'ji'tuan'gu'fen'you'xian'gong'si 江苏亚邦药业集团股份有限公司
'jiang'su'ya'bang'yao'ye'ji'tuan'gu'fen'you'xian'gong'si'zhi'zao'fen'gong'si 江苏亚邦药业集团股份有限公司制造分公司
'jiang'su'zhong'hua'duo'bao'ji'tuan'you'xian'gong'si 江苏中华多宝集团有限公司
'jin'tan'shi'chang'mao'shi'ye'you'xian'gong'si 金坛市昌茂实业有限公司
'jin'tan'shi'cheng'dong'wei'sheng'yuan 金坛市城东卫生院
'jin'tan'shi'di'er'ren'min'yi'yuan 金坛市第二人民医院
'jin'tan'shi'fu'you'bao'jian'yuan 金坛市妇幼保健院
'jin'tan'shi'he'tou'zhen'wei'sheng'yuan 金坛市河头镇卫生院
'jin'tan'shi'jian'chang'zhen'wei'sheng'yuan 金坛市建昌镇卫生院
'jin'tan'shi'jin'cheng'zhen'wei'sheng'yuan 金坛市金城镇卫生院
'jin'tan'shi'mao'lu'zhen'wei'sheng'yuan 金坛市茅麓镇卫生院
'jin'tan'shi'mao'shan'di'qu'ren'min'yi'yuan 金坛市茅山地区人民医院
'jin'tan'shi'min'zheng'shu'ye'qi'chang 金坛市民政输液器厂
'jin'tan'shi'ren'min'yi'yuan 金坛市人民医院
'jin'tan'shi'ru'lin'zhen'wei'sheng'yuan 金坛市儒林镇卫生院
'jin'tan'shi'she'tou'zhong'xin'wei'sheng'yuan 金坛市社头中心卫生院
'jin'tan'shi'shui'bei'zhong'xin'wei'sheng'yuan 金坛市水北中心卫生院
'jin'tan'shi'tao'xi'xiang'wei'sheng'yuan 金坛市洮西乡卫生院
'jin'tan'shi'xi'gang'zhen'wei'sheng'yuan 金坛市西岗镇卫生院
'jin'tan'shi'yao'tang'zhong'xin'wei'sheng'yuan 金坛市尧塘中心卫生院
'jin'tan'shi'zhi'qian'zhen'wei'sheng'yuan 金坛市指前镇卫生院
'jin'tan'shi'zhu'lin'zhen'wei'sheng'yuan 金坛市朱林镇卫生院
'ju'lv'yi'xi'gu'ti'yao'yong'ying'pian 聚氯乙烯固体药用硬片
'li'yang'shi'bie'qiao'zhen'wei'sheng'yuan 溧阳市别桥镇卫生院
'li'yang'shi'chou'mou'zhen'wei'sheng'yuan 溧阳市绸缪镇卫生院
'li'yang'shi'dai'tou'zhen'wei'sheng'yuan 溧阳市埭头镇卫生院
'li'yang'shi'di'er'ren'min'yi'yuan 溧阳市第二人民医院
'li'yang'shi'di'liu'ren'min'yi'yuan 溧阳市第六人民医院
'li'yang'shi'di'san'ren'min'yi'yuan 溧阳市第三人民医院
'li'yang'shi'di'si'ren'min'yi'yuan 溧阳市第四人民医院
'li'yang'shi'di'wu'ren'min'yi'yuan 溧阳市第五人民医院
'li'yang'shi'fu'you'bao'jian'yuan 溧阳市妇幼保健院
'li'yang'shi'heng'jian'zhen'wei'sheng'yuan 溧阳市横涧镇卫生院
'li'yang'shi'hou'zhou'zhen'wei'sheng'yuan 溧阳市后周镇卫生院
'li'yang'shi'ji'guang'zhuan'ke'yi'yuan 溧阳市激光专科医院
'li'yang'shi'kou'qiang'bing'fang'zhi'yi'yuan 溧阳市口腔病防治医院
'li'yang'shi'li'cheng'yi'yuan 溧阳市溧城医院
'li'yang'shi'ren'min'yi'yuan 溧阳市人民医院
'li'yang'shi'shang'huang'zhen'wei'sheng'yuan 溧阳市上黄镇卫生院
'li'yang'shi'shang'pei'zhen'wei'sheng'yuan 溧阳市上沛镇卫生院
'li'yang'shi'shang'xing'zhen'wei'sheng'yuan 溧阳市上兴镇卫生院
'li'yang'shi'tang'qiao'yi'yuan 溧阳市汤桥医院
'li'yang'shi'tian'mu'hu'zhen'wei'sheng'yuan 溧阳市天目湖镇卫生院
'li'yang'shi'xin'chang'zhen'wei'sheng'yuan 溧阳市新昌镇卫生院
'li'yang'shi'zhong'yi'yuan 溧阳市中医院
'li'yang'shi'zhou'cheng'zhen'wei'sheng'yuan 溧阳市周城镇卫生院
'li'yang'yao'ye'you'xian'gong'si 溧阳药业有限公司
'li'zhu'ji'tuan'chang'zhou'kang'li'zhi'yao'you'xian'gong'si 丽珠集团常州康丽制药有限公司
'wei'sheng'bu'yao'pin'biao'zhun'er'bu'di'liu'ce 卫生部药品标准二部第六册
'wei'sheng'bu'yao'pin'biao'zhun'hua'xue'yao'pin'ji'zhi'ji'di'yi'ce 卫生部药品标准化学药品及制剂第一册
'wei'sheng'bu'yao'pin'biao'zhun'kang'sheng'su'yao'pin'di'yi'ce 卫生部药品标准抗生素药品第一册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'ba'ce 卫生部药品标准新药转正标准第八册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'ce 卫生部药品标准新药转正标准第册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'er'ce 卫生部药品标准新药转正标准第二册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'jiu'ce 卫生部药品标准新药转正标准第九册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'liu'ce 卫生部药品标准新药转正标准第六册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'qi'ce 卫生部药品标准新药转正标准第七册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'san'ce 卫生部药品标准新药转正标准第三册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'ce 卫生部药品标准新药转正标准第十册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'er'ce 卫生部药品标准新药转正标准第十二册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'san'ce 卫生部药品标准新药转正标准第十三册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'si'ce 卫生部药品标准新药转正标准第十四册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'wu'ce 卫生部药品标准新药转正标准第十五册
'wei'sheng'bu'yao'pin'biao'zhun'xin'yao'zhuan'zheng'biao'zhun'di'shi'yi'ce 卫生部药品标准新药转正标准第十一册
