'a'long 阿隆
'guo'jia'xing'wei'ti 国家行为体
'guo'jia'zhong'xin'zhu'yi 国家中心主义
'ha'fo'xue'pai 哈佛学派
'he'xin'gai'nian 核心概念
'he'xin'jia'she 核心假设
'heng'pu'er 亨普尔
'hou'xian'dai'li'lun 后现代理论
'hou'xian'dai'zhu'yi 后现代主义
'hu'dong'zhu'yi 互动主义
'hu'ying'ji'zhi 互应机制
'hu'ying'luo'ji 互应逻辑
'huo'bu'si'wu'zheng'fu'wen'hua 霍布斯无政府文化
'huo'fu'man 霍夫曼
'ji'er'ping 吉尔平
'ji'jin'jian'gou'zhu'yi 激进建构主义
'ji'jin'zhu'yi 激进主义
'ji'ou'han 基欧汉
'ji'shu'li'xing 技术理性
'ji'ti'fei'li'xing 集体非理性
'ji'ti'ren'tong 集体认同
'ji'ti'shen'fen 集体身份
'ji'ti'shen'fen'xing'cheng 集体身份形成
'ji'ti'xing'dong'luo'ji 集体行动逻辑
'ji'ti'zhi'shi 集体知识
'jia'li'fu'ni'ya'zhou'li'da'xue'bo'ke'li'fen'xiao 加利福尼亚州立大学伯克利分校
'jia'zhi'zhong'li 价值中立
'jian'gou'guan'xi 建构关系
'jian'gou'zhu'yi 建构主义
'jie'gou'bian'hua'de'jian'gou'zhu'yi'mo'shi 结构变化的建构主义模式
'jie'gou'jue'ding'lun 结构决定论
'jie'gou'tiao'jian 结构条件
'jie'gou'xian'shi'zhu'yi'li'lun 结构现实主义理论
'jie'gou'zhu'yi 解构主义
'jie'gou'zhu'yi 结构主义
'jin'hua'ji'zhi 进化机制
'jing'ji'ben'neng 经济本能
'jing'ji'jin'cheng'jie'shi'mo'shi 经济进程解释模式
'jing'yan'ren'shi 经验认识
'jing'yan'shu'ju 经验数据
'jue'dui'shou'yi 绝对收益
'jun'shi'li'lun 均势理论
'kang'de'wu'zheng'fu'wen'hua 康德无政府文化
'ke'nu'cheng 克努成
'ke'shi'zheng'xing 可实证性
'ke'si'ding'li 科斯定理
'ke'xue'biao'zhun 科学标准
'ke'xue'ge'ming'de'jie'gou 科学革命的结构
'ke'xue'jian'gou'zhu'yi'li'lun 科学建构主义理论
'ke'xue'ren'yu'quan'li'zheng'zhi 科学人与权力政治
'ke'xue'shi'zai'lun 科学实在论
'ke'xue'xing'wei'zhu'yi 科学行为主义
'ke'xue'yan'jiu'gang'ling'fang'fa'lun 科学研究纲领方法论
'ku'en 库恩
'la'ka'tuo'si 拉卡托斯
'li'lun'jia'she 理论假设
'li'nian'zhu'yi 理念主义
'li'xiang'zhu'yi 理想主义
'li'xing 理性
'liang'ci'yue'du 两次阅读
'lu'jie 鲁杰
'luo'ji 逻辑
'luo'ji'shi'zheng'zhu'yi 逻辑实证主义
'luo'ke'wu'zheng'fu'wen'hua 洛克无政府文化
'ma'he 马赫
'mi'er 密尔
'mi'er'si'hai'mo 米尔斯海默
'min'gan'xing'xiang'hu'yi'lai 敏感性相互依赖
'min'zhu'he'ping'lun 民主和平论
'mo'gen'suo 摩根索
'mu'biao'de'li'xing'xing'dong 目标的理性行动
'nei'wai'hu'dong'shi 内外互动式
'nian'wei'ji 年危机
'nv'xing'zhu'yi 女性主义
'pa'lei'tuo'ci'you'jie 帕累托次优解
'pa'lei'tuo'zui'you'jie 帕累托最优解
'peng'jia'le 彭加勒
'pi'pan'li'lun 批判理论
'pi'ya'jie 皮亚杰
'qi'mei'er 齐美尔
'qi'meng'yun'dong 启蒙运动
'qin'she'hui'xing'xing'wei 亲社会性行为
'qiu'tu'kun'jing 囚徒困境
'quan'li'dao'de'guan 权力道德观
'quan'li'fen'pei 权力分配
'quan'li'fen'pei'jie'gou 权力分配结构
'quan'li'guan 权力观
'quan'li'jie'ding'de'guo'jia'li'yi 权力界定的国家利益
'quan'li'yu 权力欲
'quan'li'yu'gui'fan 权力与规范
'quan'li'yu'xiang'hu'yi'lai 权力与相互依赖
'quan'shi'xue'pai 诠释学派
'qun'wo'yi'shi 群我意识
'ren'guo'jia'yu'zhan'zheng 人国家与战争
'ren'shi'lun 认识论
'ren'xing'de'ke'guan'gui'lv 人性的客观规律
'ren'xing'xian'shi'zhu'yi 人性现实主义
'ren'zhi'jie'gou 认知结构
'ren'zhi'ping'heng 认知平衡
'she'hui'hua 社会化
'she'hui'jian'gou'zhu'yi 社会建构主义
'she'hui'jin'cheng'de'mo'shi 社会进程的模式
'she'hui'ke'xue'fang'fa'lun 社会科学方法论
'she'hui'shi'shi 社会事实
'she'hui'xi'de 社会习得
'she'hui'yan'jiu'fang'fa 社会研究方法
'sheng'cun'he'yun'xu'sheng'cun 生存和允许生存
'shi'chang'shi'ling'li'lun 市场失灵理论
'shi'dong'jie'gou 施动结构
'shi'dong'zhe'he'jie'gou'de'hu'gou 施动者和结构的互构
'shi'jie'jing'ji'ti'xi 世界经济体系
'shi'jie'ti'xi 世界体系
'shi'jie'zheng'zhi 世界政治
'shi'jie'zheng'zhi'jie'gou 世界政治结构
'shi'si'dian'fang'an 十四点方案
'shi'zheng'jian'yan 实证检验
'shi'zheng'zhe'xue'jiao'cheng 实证哲学教程
'shi'zheng'zhu'yi'de'shi'yong'ling'yu 实证主义的适用领域
'shi'zheng'zhu'yi'fang'fa'lun 实证主义方法论
'shi'zheng'zhu'yi'ren'shi'lun 实证主义认识论
'shi'zhi'guo'jia 实质国家
'shou'duan'mu'di'de'li'xing 手段目的的理性
'shou'yi'yu'qi 收益预期
'shun'ying 顺应
'si'nai'de 斯奈德
'su'ge'la'di 苏格拉底
'suo'you'ren'xiao'mie'suo'you'ren'de'zhan'zheng'zhuang'tai 所有人消灭所有人的战争状态
'tang'pu'sen 汤普森
'ti'xi'fen'xi 体系分析
'ti'xi'jie'gou 体系结构
'ti'xi'jin'cheng 体系进程
'ti'xi'te'zheng 体系特征
'tiao'jian'he'zuo'zhe 条件合作者
'tong'hua 同化
'tu'shi 图式
'wa'si'kui'zi 瓦斯奎兹
'wei'bo 韦伯
'wei'chi'xian'zhuang 维持现状
'wei'er'xun 威尔逊
'wei'er'xun'zhu'yi 威尔逊主义
'wei'ke 维柯
'wei'lie'lu'xue'pai 维列鲁学派
'wei'she'guan 威慑观
'wei'she'li'lun 威慑理论
'wei'si'te'fa'li'ya'tiao'yue 维斯特伐利亚条约
'wei'wang'zheng'ce 威望政策
'wei'ye'na'xue'pai 维也纳学派
'wen'ben 文本
'wen'ding'de'jun'heng'jie 稳定的均衡解
'wen'he'jian'gou'zhu'yi 温和建构主义
'wen'hua'xuan'ze 文化选择
'wen'te 温特
'wen'ti'jie'gou'jie'shi'mo'shi 问题结构解释模式
'wo'er'zi 沃尔兹
'wo'ke 沃克
'wo'le'si'tan 沃勒斯坦
'wu'tuo'bang'zhu'yi 乌托邦主义
'wu'zheng'fu'wen'hua 无政府文化
'wu'zheng'fu'zhuang'tai 无政府状态
'wu'zhi'yao'su 物质要素
'xi'fang'guo'ji'guan'xi'li'lun 西方国际关系理论
'xi'tong'shu'ju 系统数据
'xia'yi'guo'ji'guan'xi 狭义国际关系
'xian'dai'guo'ji'guan'xi 现代国际关系
'xian'dai'jian'gou'zhu'yi 现代建构主义
'xian'shi'zheng'zhi 现实政治
'xian'shi'zhu'yi'liu'yuan'ze 现实主义六原则
'xian'yan'zhu'yi 先验主义
'xiang'dui'shou'yi 相对收益
'xin'ge 辛格
'xin'ge'lan'xi'ma'ke'si'zhu'yi 新葛兰西马克思主义
'xin'gu'dian'jian'gou'zhu'yi 新古典建构主义
'xin'xian'shi'zhu'yi 新现实主义
'xin'yang 信仰
'xin'zi'you'zhi'du'zhu'yi 新自由制度主义
'xin'zi'you'zhu'yi 新自由主义
'xing'er'shang'xue 形而上学
'yan'jiu'gang'ling 研究纲领
'yan'jiu'shi'jiao 研究视角
'yan'jiu'wen'ti 研究问题
'yan'zheng 验证
'yi'bao'huan'yi'bao 一报还一报
'yi'tu'xing 意图性
'yin'guo'guan'xi 因果关系
'ying'guo'xue'pai 英国学派
'ying'ran'yan'jiu 应然研究
'yue'ding'shi'shi 约定事实
'yue'ding'zhu'yi 约定主义
'zhan'zheng'yu'he'ping 战争与和平
'zheng'lun'zhong'de'guo'ji'guan'xi'li'lun 争论中的国际关系理论
'zheng'ti'zhu'yi 整体主义
'zheng'zhi'xian'shi'zhu'yi 政治现实主义
'zheng'zhi'xue'fu'te'jiao'shou 政治学福特教授
'zhi'du'zhu'yi 制度主义
'zhi'liang'bu'que'ding'xing'qi 质量不确定性气
'zhi'yuan'cheng'fa'zhe 志愿惩罚者
'zhu'ke'liang'yuan'qu'fen 主客两元区分
'zhu'liu'guo'ji'ti'xi'li'lun'ping'shu 主流国际体系理论评述
'zhu'quan'guo'jia 主权国家
'zhu'ti'jian'ben'ti'lun 主体间本体论
'zhu'ti'jian'shi'jian'huo'dong 主体间实践活动
'zhu'ti'jian'xing 主体间性
'zi'ran'zhu'yi 自然主义
'zi'ran'zhu'yi'jian'gou'zhu'yi 自然主义建构主义
'zong'ti'quan'li'jie'gou'jie'shi'mo'shi 总体权力结构解释模式
'zui'you'zhan'lue 最优战略
