'bai'la'jiao'chao'la'huang'niu'rou 白辣椒炒腊黄牛肉
'ji'zhi'zheng'tong'jiang'mu'er 鸡汁蒸通江木耳
'ji'zhi'zheng'tong'zhou'mu'er 鸡汁蒸通州木耳
'jia'chang'xiao'chao'la'zhu'er'zhu'lian 家常小炒腊猪耳猪脸
'jia'xiang'cha'you'jian'dou'fu 家乡茶油煎豆腐
'jia'xiang'fan'shu'ta 家乡番薯挞
'jia'xiang'lu'e 家乡渌鹅
'jia'xiang'lu'e 家乡碌鹅
'jiang'jiao'fen'si'zheng'shou'si'ji 酱椒粉丝蒸手撕鸡
'jiang'xiang'luo'bo'pi 酱香萝卜皮
'jiang'zhi'dou'jiao 姜汁豆角
'jiao'yan'hai'bao'she 椒盐海豹蛇
'jiao'you'liang'gua 椒油凉瓜
'jie'mo'zhu'hua 芥末竹花
'jin'tang'tui'rong'shao'zhu'yan 金汤腿茸烧竹燕
'jin'yin'man'tou 金银馒头
'jin'zhan'bao'yu'ding 金盏鲍鱼丁
'jiu'cai'chao'he'xia 韭菜炒河虾
'jiu'cai'chao'wo'sun'si 韭菜炒莴笋丝
'jiu'cai'xiao'chao'yan'sun 韭菜小炒烟笋
'kai'wei'xiang'gan 开胃香干
'kui'ren'jin'gua'bing 葵仁金瓜饼
'la'wei'san'bao 腊味三宝
'lao'cu'suan'la'hai'zhe 老醋酸辣海蜇
'lao'cu'zhu'hua 老醋竹花
'lao'ji'men'ye'sheng'shui'yu 老鸡焖野生水鱼
'lao'qi'sheng'cai'you'dao 捞起生财有道
'liang'gua'huang'dou'dun'tang'pai 凉瓜黄豆炖唐排
'liang'gua'zha'tang'yuan 凉瓜炸汤圆
'ling'nan'xian'guo'zhu'hua'jiao 岭南鲜果煮花胶
'liu'yang'shou'si'huo'bei'yu 浏阳手撕火焙鱼
'lu'xiang'gan'chao'lu'er'jian 卤香干炒卤耳尖
'lu'xiang'zhu'shou 卤香猪手
'luo'bo'gan'chao'la'rou 萝卜干炒腊肉
'ma'jiang'jin'gou'zheng'qie'zi 麻酱金钩蒸茄子
'ma'la'niu'rou 麻辣牛肉
'mao'shi'hong'shao'rou 毛氏红烧肉
'mi'zhi'kou'wei'she 秘制口味蛇
'mi'zhi'ye'sheng'shui'yu 秘制野生水鱼
'mian'mo'xue'ya 面膜血鸭
'ming'ding'qing'yang'guo 明鼎青蛘锅
'mu'gua'pi'jiu'niu'zai'gu 木瓜啤酒牛仔骨
'nong'jia'ci'ba'yu 农家糍粑鱼
'nong'jia'gan'yan'cai'zheng'wu'hua'rou 农家干盐菜蒸五花肉
'nong'jia'qing'jiao'men'chang'dou'jiao 农家青椒焖长豆角
'nong'jia'qing'jiao'men'yu'tou 农家青椒焖鱼头
'nong'jia'xiao'chao'rou 农家小炒肉
'nong'tang'pao'zha'fan 浓汤泡炸饭
'nong'tang'xia'gan'zhu'wa'wa'cai 浓汤虾干煮娃娃菜
'pai'huang'gua 拍黄瓜
'pao'cai'zhu'gui'yu 泡菜煮桂鱼
'ping'guo'mi'dou'fu 平锅米豆腐
'qi'yi'dou'chao'ji'zhong'bao 奇异豆炒鸡中宝
'qiao'shou'ban'mu'er 巧手拌木耳
'qiao'shou'pai'huang'gua 巧手拍黄瓜
'qie'zi'qiang'dou'jiao 茄子炝豆角
'qing'chao'suan'rong'chao'shi'shu 清炒蒜蓉炒时蔬
'sha'bao'wa'wa'cai 沙煲娃娃菜
'sha'wan'jian'ju'yu'tou 沙湾煎焗鱼头
'sha'wo'yan'ju'hua'luo 沙窝盐焗花螺
'shan'shui'dong'dou'fu 山水冻豆腐
'shang'tang'shi'shu 上汤时蔬
'shao'jiao'ban'pi'dan 烧椒拌皮蛋
'sheng'chao'cai'xin 生炒菜心
'sheng'jian'rou'bao 生煎肉包
'sheng'shu'di'dun'long'gu 生熟地炖龙骨
'shi'hu'dun'hai'luo'xian'bao 石斛炖海螺鲜鲍
'shi'wo'shao'yuan'tiao'qie'zi 石窝烧原条茄子
'shou'si'huo'bei'yu 手撕火焙鱼
'shun'de'lao'jiang'gou'zi'ya 顺德老姜狗仔鸭
'si'ji'jin'gou'xiao'chao'huang 四季金钩小炒皇
'si'ji'yu'tou'wang 四季鱼头王
'suan'bao'cai'chao'fen'pi 酸包菜炒粉皮
'suan'cai'chao'ku'gua 酸菜炒苦瓜
'suan'la'jue'gen'fen 酸辣蕨根粉
'suan'ni'bai'rou 蒜泥白肉
'suan'rong'kai'bian'zheng'wa'wa'cai 蒜蓉开边蒸娃娃菜
'sui'chao'zhu'jiao'pi 随炒猪脚皮
'tai'shi'liu'lian'su 泰式榴莲酥
'tai'shi'qian'ceng'gao 泰式千层糕
'tai'shi'suan'la'feng'zhao 泰式酸辣凤爪
'tang'jian'niu'zai'gu 堂煎牛仔骨
'te'se'chao'fan 特色炒饭
'tian'jiu'tang'yuan 甜酒汤圆
'tian'mei'cai'jiang'rou'sheng'chao'liang'gua 甜梅菜酱肉生炒凉瓜
'tian'yuan'jin'wu 田园金屋
'tie'ban'te'zhi'fen'si 铁板特制粉丝
'tie'ban'you'xian'xiang'gan 铁板攸县香干
'wu'xiang'la'yu 五香腊鱼
'xian'bao'hui'zhu'hua 鲜鲍烩竹花
'xian'guo'bu'ding 鲜果布丁
'xian'huai'shan'yun'er'chao'tang'qin 鲜淮山云耳炒唐芹
'xian'sha'jiang'gan'bian'mo'yu'zi 鲜沙姜干煸墨鱼仔
'xian'sha'jiang'gan'po'mo'yu'zi 鲜沙姜干迫墨鱼仔
'xian'tian'bao'can 咸甜薄餐
'xian'xia'nan'gua'lao 鲜虾南瓜烙
'xian'xia'xie'rou'zheng'ru'lao 鲜虾蟹肉蒸乳酪
'xian'zhu'feng'wu'ye'shen'dun'rou'zhi 咸竹蜂五叶神炖肉汁
'xiang'cao'ju'tian'ji 香草焗田鸡
'xiang'cui'xian'tian'bao'can 香脆咸甜薄餐
'xiang'la'ba'wang'ya 香辣霸王鸭
'xiang'la'shou'si'niu'rou 香辣手撕牛肉
'xiang'mao'jiang'ju'da'xia 香茅酱焗大虾
'xiang'mao'ju'zhu'jing'rou 香茅焗猪颈肉
'xiang'wei'chai'gu'rou 湘味拆骨肉
'xiang'wei'mi'zhi'ru'ge 湘味秘制乳鸽
'xiang'xi'tan'zi'cai 湘西坛子菜
'xiao'chao'huang'niu'rou 小炒黄牛肉
'xiao'chao'suan'qiao'tou 小炒酸荞头
'xiao'chao'xin'xian'ji'za 小炒新鲜鸡杂
'xiao'chao'zhu'cui'gu 小炒猪脆骨
'xue'ha'nan'gua'dan'ta 雪蛤南瓜蛋挞
'yan'jian'jin'chang'yu 盐煎金鲳鱼
'ye'shan'jun'dun'tu'ji'tang 野山菌炖土鸡汤
'ye'zhi'xi'mi'gao 椰汁西米糕
'yin'er'bai'he'zheng'nan'gua 银耳百合蒸南瓜
'yin'guo'huang'gu'yu 银锅黄骨鱼
'yin'xing'bai'he'chao'xi'qin 银杏百合炒西芹
'yong'zhou'xue'jiang'ya 永州血酱鸭
'yu'xiang'hong'song'rou 芋香红松肉
'yuan'wei'zheng'la'chang 原味蒸腊肠
'yuan'wei'zheng'la'huang'niu'rou 原味蒸腊黄牛肉
'yuan'wei'zheng'la'zhu'du 原味蒸腊猪肚
'yuan'wei'zheng'lu'dou'fu 原味蒸卤豆腐
'yuan'wei'zheng'lu'xiang'gan 原味蒸卤香干
'yuan'zhi'mu'gua'dun'xue'ha 原只木瓜炖雪蛤
'zhou'shui'sheng'gua'jin'niu'rou'wan 粥水胜瓜浸牛肉丸
'zhu'gan'hua'ji'zheng'yu'tou 猪肝滑鸡蒸鱼头
'zhu'hua'lao'du'jian'hai'zhe 竹花捞肚尖海蜇
'zhu'jing'rou'bai'he'chao'tian'dou 猪颈肉百合炒甜豆
'zhu'sheng'xian'ren'shen'dun'lao'ji 竹笙鲜人参炖老鸡
'zhu'sheng'xian'ren'shen'dun'wu'ji 竹笙鲜人参炖乌鸡
'zhu'xi'hong'shao'rou 主席红烧肉
'zhu'yan'tian'xia 竹宴天下
'zi'run'shuang'pi'nai 滋润双皮奶
