'a'ka'lan'si'zhi'xing 阿卡蘭斯之星
'di'yu'mao'hu'yao 地獄貓護腰
'di'yu'mu'niu'zhang 地獄牧牛杖
'di'yu'xing'ju 地獄刑具
'ding'dui 釘鎚
'dou'peng 斗蓬
'dou'shi'hu'shou 鬥士護手
'du'jia 毒莢
'duan'kong 斷空
'duan'zhang 斷杖
'duo'qin'mu 奪禽目
'e'meng'mu'niu'zhang 惡夢牧牛杖
'e'mo 惡魔
'e'mo'fu'chou 惡魔復仇
'e'mo'ji'nu 惡魔機弩
'e'mo'yao'suo 惡魔腰鎖
'e'mo'zhi'lin 惡魔之鱗
'e'mo'zhi'pi 惡魔之皮
'e'mo'zhi'she 惡魔之舌
'e'mo'zhi'shou 惡魔之手
'e'mo'zhi'xiang 惡魔之翔
'e'mo'zhi'xin 惡魔之心
'e'tu'la'si'zhi'quan 厄圖拉斯之拳
'er'lang'shen'tian'yan 二郎神天眼
'fa'qi 法器
'fa'shi'zhi'quan 法師之拳
'fa'zhang 法杖
'fan'gong'guo'yao 番紅裹腰
'fen'huo'she'nu 焚火射弩
'feng'bao'wu'ya 風暴烏鴉
'feng'zhi'li 風之力
'fu'shou 副手
'gao'zu 高祖
'ge'li'si'wa'de'de'jie'zuo 格里斯瓦德的傑作
'gong'jiang'de'jiao'ao 弓匠的驕傲
'gong'shu'hu'wan 弓術護腕
'gu'dong'zhi'yan 鼓動之焰
'gu'wang'zhi'nu 骨王之怒
'guan'jun'zhi'zheng 冠軍之證
'gui'zi'shou 劊子手
'hai'gu'zhi'qiang 骸骨之牆
'han'dong'ji'feng 寒冬疾風
'han'mo'xuan'ku 漢默炫褲
'hao'jie 浩劫
'he'la'di'mu'han'bao 赫拉迪姆漢堡
'he'tong 核瞳
'he'yan'zhi'jie 核眼之戒
'hei'an'fa'shi'zhi'mao 黑暗法師之帽
'hei'fu'dou'peng 黑蝠斗篷
'hei'gu'jian 黑骨箭
'hei'jing'ji 黑荊棘
'hei'jing'ji'de'dun'ke'lei'ge'shi'zi'zhang 黑荊棘的敦克雷格十字章
'hei'jing'ji'de'ke'hen'yao'dai 黑荊棘的刻痕腰帶
'hei'jing'ji'de'ma'ci'xue 黑荊棘的馬刺靴
'hei'jing'ji'de'suo'jia'ma'ku 黑荊棘的鎖甲馬褲
'hei'jing'ji'de'zhan'pao 黑荊棘的戰袍
'hei'jing'ji'zhan'jia 黑荊棘戰甲
'hei'shou'zhi'yao 黑手之鑰
'hei'wei'shi 黑衛士
'hong'guang 虹光
'hu'hang 呼航
'hu'jian 護肩
'hu'shen'fu 護身符
'hu'wan 護腕
'hua'jie 华戒
'huang'dao'zhi'hei'yao'shi'jie 黃道之黑曜石戒
'huang'jin'guo'yao 黃金裹腰
'huang'jin'zhi'fu 黃金之膚
'hui'dang'kuang'nu 迴盪狂怒
'hui'ying'zhi'shi 晦影之誓
'ji'de'bin 吉德賓
'ji'he'na'si 基赫納斯
'ji'shi'yao'dai 騎士腰帶
'ji'si'dao 祭祀刀
'ji'si'zhi'yin 祭司之印
'ji'ta'zhi'chi 祭塔之齒
'ji'yuan'de'mian'rong 吉元的面容
'jia'tuo'duo 迦陀朵
'jia'tuo'duo'de'fa'neng 迦陀朵的法能
'jia'tuo'duo'de'gui'fan 迦陀朵的歸返
'jia'tuo'duo'de'wei'zhi 迦陀朵的遺志
'jian'bang 肩膀
'jian'guo'dui 堅果鎚
'jian'tong 箭筒
'jiang'heng'hu'wan 強橫護腕
'jiao'dan'zhi'shi 喬丹之石
'jie'sang'ni'ku 傑桑尼庫
'jie'shen 戒慎
'jie'zhi 戒指
'jin'bao'de'jin'pai 金寶的金牌
'jin'po'ding'ren 緊迫釘人
'jing'gu'diao'mao 鯨骨雕矛
'jing'jie'zhi'qiang 警戒之牆
'ju'da'lu'gu 巨大顱骨
'ju'ren'shu'yao 巨人束腰
'jue'bu 腳部
'jue'jie 絕截
'jun'heng 均衡
'ka'er'di'mu'zhi'shi 卡爾蒂姆之誓
'ka'xiu'si'zhi'ao 卡修斯之傲
'kai'en 凱恩
'kai'en'de'fa'pao 凱恩的法袍
'kai'en'de'hui'yi 凱恩的回憶
'kai'en'de'liang'xie 凱恩的涼鞋
'kai'en'de'ming'yun 凱恩的命運
'kai'en'de'xue'shi'shou'tao 凱恩的學士手套
'ke'li'sen 克里森
'ke'li'sen'chuan'chang'de'bu'jing'xue 克里森船長的捕鯨靴
'ke'li'sen'chuan'chang'de'duan'dai 克里森船長的緞帶
'ke'li'sen'chuan'chang'de'hua'fu 克里森船長的華服
'ke'li'sen'chuan'chang'de'xie'wei 克里森船長的斜桅
'kong'dong'di'yu'zhi'jie 空洞低語之戒
'kong'ling'mo'e 空靈無惡
'kou'tu'er'de'gu'dai 寇圖爾的箍帶
'ku'lou'kou'jie 骷髏扣戒
'ku'zi 褲子
'kua'xia'yang 夸夏仰
'kuang'ji 狂擊
'kuang'shi 狂石
'la'ku'ni'qian'lie'zhe 拉庫尼潛獵者
'la'te'suo'ke'zhi'xue 拉特索克之靴
'la'zi'pu'ting'zhi'zhang 拉茲普汀之杖
'lai'de'mu'zhi'pao 萊德姆之袍
'lei'shen'zhi'li 雷神之力
'li'ao'rui'ke'de'wang'guan 李奧瑞克的王冠
'li'ao'rui'ke'de'yin'xi 李奧瑞克的印璽
'li'ming 黎明
'li'yao'de'tai'ji'chu 麗瑤的太極杵
'lian'huan'jie 連環戒
'lian'qi'shi 練氣石
'lian'yu'mu'niu'zhang 煉獄牧牛杖
'lie'gu'zhe 裂骨者
'lie'rou'fu 裂肉斧
'lin'zhong'yi'xi 臨終一息
'liu'yun'qiao 流雲橋
'lue'ya'zhi'yi 掠鴉之翼
'luo'da'er'de'zhui'he 羅達爾的墜盒
'luo'gen'zhi'zhao 羅根之爪
'luo'pan'mei'gui 羅盤玫瑰
'lv'ren'qi'yuan 旅人祈願
'ma'la'de'wan'hua'tong 馬拉的萬花筒
'ma'na'dei'de 瑪那得的
'ma'na'zu'ma 馬那祖瑪
'ma'na'zu'ma'de'diao'gu'dao 馬那祖瑪的雕骨刀
'ma'na'zu'ma'de'ji'shi 馬那祖瑪的祭飾
'ma'na'zu'ma'de'xue'xing'ji'pin 馬那祖瑪的血腥祭品
'mai'xi'mu'si 麥西穆斯
'man'lao'si'de'ju'neng'fa'zhang 曼勞斯的聚能法杖
'mang'xin 盲信
'mei'xi'si'mi'te'zhi'jie'lue'zhe 梅希斯密特之劫掠者
'mi'shu'mao 秘術帽
'mi'xin'zhi'gu 秘辛指箍
'mie'wang'ning'shi 滅亡凝視
'mo'jin'chang'lu 無盡長路
'mo'jin'zhi'zhan 無盡之戰
'mo'nuo 磨難
'mo'ri'shi'zhe 末日使者
'mo'tai 魔胎
'mo'wei 無畏
'mo'wei'yong'zhe'zhi'dao'wen 無畏勇者之禱文
'mo'wu'lie'ren 魔物獵人
'mo'zhang 魔杖
'mu'guang'hu'mian 暮光護面
'mu'niu'zhang 牧牛杖
'na'ge'de'jie'zhi 拿各的戒指
'na'ta'ya 娜塔亞
'na'ta'ya'de'fan'si 娜塔亞的反思
'na'ta'ya'de'gao'wei 娜塔亞的告慰
'na'ta'ya'de'guan'shi 娜塔亞的觀視
'na'ta'ya'de'mie'tu 娜塔亞的滅屠
'na'ta'ya'de'xue'zu'yin 娜塔亞的血足印
'na'ta'ya'de'yong'bao 娜塔亞的擁抱
'ni'an'de'zhi'ta 尼安德之塔
'ning'xiao'si'shen 獰笑死神
'niu'huang'jie'shi 牛黃結石
'nu'dai'liao'kao 奴隸鐐銬
'nu'qiang 弩槍
'pan'bing'zhe 攀冰者
'pan'de'ge'la'si 潘德葛拉斯
'po'sui'liao'ya 破碎獠牙
'po'sui'shi'yan 破碎誓言
'po'sun'wang'guan 破損王冠
'qi'zong'zui 七宗罪
'qie'zhan'zhi'jie 竊占之戒
'qiong'cang'fen'duan 穹蒼分斷
'qiu'shou'zhi'yue 秋收之月
'qiu'zhi'huan 秋之喚
'quan'tao'wu'qi 拳套武器
'que'ji'zhi'wan 確擊之腕
'ri'er'man'da'jian 日耳曼大劍
'ri'guang'shou'ji 日光守祭
'rong'guang'zhi'nuo 榮光之諾
'rou'ba 肉耙
'sai'fei'li'an'hu'fu 賽菲里安護符
'san'bai'zhuang'mao 三百壯矛
'san'lian'bao'qiu 三連寶球
'sang'ji'shi'ran'fu 桑吉士燃斧
'sha'mie 殺滅
'sha'xing 煞星
'sha'zhu'dao 殺豬刀
'shan'shou 單手
'shen'li'hu'wan 神力護腕
'shen'long 神龍
'shen'long'de'chuan'qi'tie'quan 神龍的傳奇鐵拳
'shen'long'de'mo'qing'meng'xi 神龍的無情猛襲
'shen'long'sheng'dao 神龍聖道
'shen'pan'guan 審判官
'shen'pan'zhi'dui 審判之鎚
'shen'qu 身軀
'shen'sheng 神聖
'shen'sheng'feng'bao 神聖風暴
'shen'sheng'hu'yu 神聖護禦
'shen'sheng'jiu'shu 神聖救贖
'shen'sheng'qing'suan'zhe 神聖清算者
'shen'sheng'quan'zhang 神聖權杖
'shen'sheng'shen'pan'zhe 神聖審判者
'shen'sheng'shou'yu 神聖守禦
'shen'sheng'xin'biao 神聖信標
'shen'sheng'zhi'shou 神聖之手
'shen'yuan'mo'wu 深淵魔物
'shen'yuan'wa'jue'ku 深淵挖掘褲
'sheng'jian'shi 聖尖矢
'sheng'jiao'jun 圣教军
'sheng'yan'shi'shi 盛焰噬食
'shi'qia'fo'zhi'dui 史恰佛之鎚
'shi'shui'nian'hua 逝水年華
'shou'hu'zhe 守護者
'shou'hu'zhe'de'ying'bian 守護者的應變
'shou'hu'zhe'zhi'hu'qiao 守護者之護鞘
'shou'hu'zhe'zhi'wan'fang 守護者之腕防
'shou'hu'zhe'zhi'yu'zhao 守護者之預兆
'shou'hun'pi'jian 守魂披肩
'shou'tao 手套
'shou'wan 手腕
'shou'xiang 首相
'shou'zhang 手掌
'shu'wei'zhi'jie 戍衛之傑
'shuang'ran'hu'shou 霜燃護手
'shuang'shou 雙手
'shui'jing'zhi'quan 水晶之拳
'si'kao'en'ju'fu 斯考恩巨斧
'si'luo'la'ke'de'feng'kuang 斯洛拉克的瘋狂
'si'yan'jue'she 死眼絕射
'sui'di'zhe 碎地者
'sui'huo 碎禍
'sui'shi'lie'shi 燧石裂矢
'suo'zui'shi 索罪矢
'ta'huo'xing'xue 踏火行靴
'ta'la'xia 塔拉夏
'ta'la'xia'de'chan'yao 塔拉夏的纏腰
'ta'la'xia'de'jian'ding'nu'mu 塔拉夏的堅定怒目
'ta'la'xia'de'mo'qing'zhui'lie 塔拉夏的無情追獵
'ta'la'xia'de'rui'zhi'zhi'rong 塔拉夏的睿智之容
'ta'la'xia'de'shi'cheng 塔拉夏的誓誠
'ta'la'xia'de'xi'sheng 塔拉夏的犧牲
'ta'si'ke'yu'xi'ou 塔斯克與西歐
'tai'er'lun'deng'zhi'shou 泰爾倫登之手
'tai'rui'er'zhi'li 泰瑞爾之力
'te'yi'dian 特異點
'ti'ke'lan'zhi'mian 提克蘭之面
'ti'tou'shi 剃頭師
'tian'ming'lie'pian 天命裂片
'tian'shi'fa'bian 天使髮辮
'tian'ying'xiong'kai 天鷹胸鎧
'tie'zhi'xin 鐵之心
'tou'bu 頭部
'tou'kui 頭盔
'tu'fu'duo'dao 屠夫剁刀
'tu'fu'gou'lian 屠夫鉤鐮
'tu'nong'du'nu 吐膿毒弩
'tuan'jie 團結
'tui'bu 腿部
'wang'zhe'wei'chan 亡者遺產
'wei'bu'tie'kuai 畏怖鐵塊
'wu'du'mian'ju 巫毒面具
'wu'gang 兀鋼
'wu'shi'zhi'ci 巫師之刺
'wu'yi 巫医
'wu'yi'shi'ke 巫異時刻
'wu'zhang 武杖
'xia'wan'fen'ling'ren 峽灣分嶺刃
'xian'wei'she 銜尾蛇
'xian'zhe'zhong 賢者眾
'xiang'long 翔龍
'xiang'tian'shou 向天守
'xiang'ya'ta 象牙塔
'xie'meng'zhe'de'wei'li 邪夢者的遺禮
'xie'wei'shi 蠍尾獅
'xin'yan 心眼
'xing'huo 星火
'xing'ji 星脊
'xiong'jia 胸甲
'xuan'mang'sha'di'de'su'dan 眩盲沙地的蘇丹
'xuan'qiong'xin'shi 玄穹信使
'xue'mo'fa'zhi'ren 血魔法之刃
'xue'zi 靴子
'xun'zhan'yao'dai 迅戰腰帶
'ya'la'nuo'qi'hu'fu 亞拉挪奇護符
'ya'rui'te'zhi'lv'fa 亞瑞特之律法
'yan'shi'hu'shou 岩石護手
'yao'bu 腰部
'yao'dai 腰帶
'ye'man'ren 野蛮人
'ye'mu'lin 野木林
'yi'cui'you 伊崔尤
'yi'feng'lie'nu 夷峰烈怒
'yi'zhen'jian'dian 易鎮肩墊
'yi'zu'ka'bai 伊祖卡柏
'yin'chen 茵蔯
'yin'na 殷娜
'yin'na'de'cheng'jie 殷娜的懲戒
'yin'na'de'guang'hua 殷娜的光華
'yin'na'de'jie'zhi 殷娜的節制
'yin'na'de'juan'gu 殷娜的眷顧
'yin'na'de'kuan'rong 殷娜的寬容
'yin'na'de'xian'he 殷娜的顯赫
'yin'xing'guan'shi 銀星貫矢
'yong'heng'zhi'li 永恆之力
'yong'shi'xiang'shou 永世相守
'you'ka'pi'du'she 尤卡匹毒蛇
'yu'jin'wai'tao 餘燼外套
'yu'she'shen 羽蛇神
'yu'yan'zhi'ren 預言之刃
'yuan'cheng 遠程
'yuan'ji 遠擊
'yue'guang'zhi'hu 月光之護
'yue'tu 月屠
'zai'nue 災虐
'zhan'kuang 戰狂
'zhan'shen'zhi'ren 戰神之刃
'zhao'di'ba'she'zhe 沼地跋涉者
'zheng'shi'suo'jia 鄭式鎖甲
'zheng'yi'deng'jie 正義燈戒
'zhi'hui'tou'kui 指揮頭盔
'zhi'shi'zhi'yan 知識之眼
'zhi'zhe 智者
'zhi'zhe'jie'yin 智者結印
'zhi'zhe'zhi'jie 智者之劫
'zhi'zhe'zhi'lv'tu 智者之旅途
'zhi'zhe'zhi'xing 智者之星
'zhong'xing'wu'qi 重型武器
'zhong'xing'yao'dai 重型腰帶
'zhong'zhen'hui'yi 忠貞回憶
'zhou'wu 咒物
'zhu'bao 珠寶
'zu'jue'zhe 阻絕者
'zu'ma'ka'li'si'de'jiu'yuan'gu'ren 祖瑪卡利斯的久遠骨刃
'zu'ni 祖妮
'zu'ni'ma'sha 祖妮瑪莎
'zu'ni'ma'sha'de'di'yu 祖妮瑪莎的低語
'zu'ni'ma'sha'de'gu'chuan 祖妮瑪莎的骨串
'zu'ni'ma'sha'de'gu'sui 祖妮瑪莎的骨髓
'zu'ni'ma'sha'de'ling'shi 祖妮瑪莎的靈視
'zu'ni'ma'sha'de'zai'yi 祖妮瑪莎的災疫
'zu'ni'ma'sha'de'zong'ji 祖妮瑪莎的蹤跡
'zui'hen 罪痕
'zun'zhe 尊者
'zuo'ke'lin'de'ning'shi 左克林的凝視
