'a'ba 阿八
'chao'ji'hun'dan'zhuang'zai'ji 超级混蛋装载机
'chao'liang 超量
'chao'nao'bao'po 吵闹爆破
'chao'nong'zhi'qiu 嘲弄之球
'chao'xi'bo 潮汐波
'chen'ji'dai 沉积带
'chen'mo'gao'yang 沉默羔羊
'chen'xing 晨星
'cheng'de 橙的
'cheng'fa 惩罚
'cheng'jie 惩戒
'chi'ze 斥责
'chong'feng'qiang 宠蜂枪
'chong'ji'pao 冲击炮
'chong'kong'ji 冲孔机
'chong'neng'dun 充能盾
'chong'pi 虫皮
'chong'xi 虫息
'chong'xue 虫血
'chong'xue'shen'jing 充血神经
'chong'ya 虫牙
'chou'hen 仇恨
'chou'yuan'zhi'ying 仇怨之影
'chu'jue 处决
'chu'mei'shi 触媒师
'chu'qi'bu'yi 出其不意
'chuan'ci'zhe 穿刺者
'chuan'qi 传奇
'chuan'qi'bie'dong'dui 传奇别动队
'chuan'qi'chu'mei'shi 传奇触媒师
'chuan'qi'dun'ji'zhe 传奇炖鸡者
'chuan'qi'feng'zi 传奇疯子
'chuan'qi'gong'bing 传奇工兵
'chuan'qi'gu'dong'jia 传奇鼓动家
'chuan'qi'hu'shi 传奇护士
'chuan'qi'huo'ju 传奇火炬
'chuan'qi'ji'xie'shi 传奇机械师
'chuan'qi'ji'xie'shu'shi 传奇机械术士
'chuan'qi'ju'ji'shou 传奇狙击手
'chuan'qi'kuang'qiang 传奇狂枪
'chuan'qi'kuang'zhan'shi 传奇狂战士
'chuan'qi'lian'dao 传奇镰刀
'chuan'qi'lie'ren 传奇猎人
'chuan'qi'mao'nv 传奇猫女
'chuan'qi'mo'nv 传奇魔女
'chuan'qi'ren'zhe 传奇忍者
'chuan'qi'sha'shou 传奇杀手
'chuan'qi'shan'dong'zhe 传奇煽动者
'chuan'qi'shi'bing 传奇士兵
'chuan'qi'shou'ge'zhe 传奇收割者
'chuan'qi'tai'tan 传奇泰坦
'chuan'qi'tun'ji'zhe 传奇囤积者
'chuan'qi'zhi'dao'yuan 传奇指导员
'chuan'ran'bing 传染病
'chuan'shen'po'jia 穿身破甲
'chuan'xing'ru'feng 穿行如风
'chui'ji 锤击
'chun'ju'dan 纯狙蛋
'ci'bao 磁暴
'ci'ke 刺客
'ci'ke'ling 刺客零
'cong'lin'kai'lu'zhe 丛林开路者
'cui'qu'che'jian 萃取车间
'da'bing 大兵
'da'chui'de'xian'dan'qiang 大锤的霰弹枪
'da'chui'xian'dan 大锤霰弹
'da'chui'zhuang'hai 大锤壮孩
'da'er 达尔
'da'er'zhong'jie'zhe 达尔终结者
'da'heng 大亨
'da'huang'feng 大黄蜂
'da'hun'dan'de'hun'dan'da'dan'keng 大混蛋的混蛋大弹坑
'da'kong 打孔
'da'mang'guo 大芒果
'da'mo'chong'zhi'feng 大魔虫之峰
'da'qiang 大枪
'da'sha'chong 大鲨虫
'da'sha'chong'tu'lu'zhe 大鲨虫屠戮者
'da'sha'chong'zhi'pi 大鲨虫之皮
'da'sha'chong'zhi'xue 大鲨虫之血
'da'sha'chong'zhi'ya 大鲨虫之牙
'da'shuai'mai 大甩卖
'da'ying'xiong 大英雄
'da'zhong'wai'bao 大众外包
'dai'dao 带刀
'dai'duo 怠惰
'dai'ren'de 带刃的
'dan'dan 蛋蛋
'dan'jia'rong'liang 弹夹容量
'dan'su'de 弹速的
'dan'su'qiang'hua 弹速强化
'dan'wu'xu'fa 弹无虚发
'dan'zong 蛋总
'dao'dan 刀蛋
'dao'feng'chuan'zhang'de'ao'tuo'ren'ou 刀锋船长的奥托人偶
'dao'ti'cui'hua 导体催化
'dao'zei 盗贼
'deng'ji'ya'zhi 等级压制
'deng'li'pao 等离炮
'di'huo'chou'xi 地火臭息
'di'wang 帝王
'di'xing'sha 地形杀
'di'yu'huo 地狱火
'dian'bao 电爆
'dian'ci'qiang 电磁枪
'dian'feng 巅峰
'dian'guang'shi'huo 电光石火
'dian'hua'hui'yi 电话会议
'dian'huo'hua 电火花
'dian'huo'qi 点火器
'dian'ji 电击
'dian'ji'bing 电击兵
'dian'ji'de 电击的
'dian'ji'feng'bao 电击风暴
'dian'ji'shang'hai 电击伤害
'dian'man 电鳗
'dian'mian 电免
'dian'ran'yin'xian 点燃引线
'dian'shu'xing 电属性
'dian'yuan'su 电元素
'diao'bai 掉白
'diao'bao 碉堡
'diao'cheng 掉橙
'diao'fen 掉粉
'diao'hong'zi'lan 掉红字蓝
'diao'lv 掉绿
'diao'pin'hong 掉品红
'diao'qing 掉青
'diao'shou'lei 掉手雷
'diao'zi 掉紫
'die'ceng 叠层
'die'chao'liang 叠超量
'die'hun'luan 叠混乱
'die'man 叠满
'die'shi'xue 叠嗜血
'ding'ci'dun 钉刺盾
'ding'shi'po'chu 定式破除
'diu'hong 丢轰
'dong'liang'fan'zhuan 动量反转
'dong'wu'yuan 动物园
'dou'pi'gu 兜屁股
'dou'shi 斗士
'dou'zhi'ang'yang 斗志昂扬
'du'she 毒舌
'du'shu'xing 毒属性
'du'ye 毒液
'du'yuan'su 毒元素
'duan'xiao'jing'han 短小精悍
'duo'chong'fen'ji 多重分级
'duo'mian'shou 多面手
'duo'pian'de 多片的
'duo'tou'she 多头蛇
'e'mo 恶魔
'er'qi'qing 二期青
'er'zhou'mu 二周目
'fa'lv 法律
'fa'shao'you 发烧友
'fan'ge'yi'ji 反戈一击
'fan'jian'hua 繁笺花
'fan'pai 反派
'fan'sha 反杀
'fan'she'mo'shu'shi 反射魔术师
'fan'tan'ke'pao 反坦克炮
'fan'ying'zhi'jue 反应直觉
'fang'gao'shi'de 方锆石的
'fang'hu'qiang'hua 防护强化
'fang'nao'ke 方脑壳
'fang'wei'zhe 防卫者
'fang'zhen'hu'dun 方阵护盾
'fei'biao 飞标
'fei'chang'xi'you 非常稀有
'fei'cui'de 翡翠的
'fei'fu'kuang'bao 飞斧狂暴
'fei'fu'shang'hai 飞斧伤害
'fei'pang'bian'yi'quan 肥胖变异犬
'fei'pang'gu'jia 肥胖骨架
'fei'pang'la'ke 肥胖拉克
'fei'pang'qian'lie'zhe 肥胖潜猎者
'fei'pang'zhu'ru 肥胖侏儒
'fei'qu'lai 飞去来
'fei'qu'lai'qiang 飞去来枪
'fei'tu 废土
'fen'ge 分隔
'fen'lu'lue'duo'zhe 焚炉掠夺者
'fen'nu'rou'tuan 愤怒肉团
'fen'rao 纷扰
'fen'se 粉色
'fen'shen 分身
'fen'shui'jing 粉水晶
'fen'zhuang 粉装
'feng'bao 风暴
'feng'chao 蜂巢
'feng'du 风度
'feng'hou 蜂后
'feng'kuang'pai'dui 疯狂派对
'feng'ming'fu 蜂鸣斧
'feng'ren'yuan 疯人院
'feng'suo 封锁
'feng'wang 蜂王
'feng'wang'pao 蜂王炮
'feng'zi 疯子
'fo'luo'lun'sa'ren 佛罗伦萨人
'fu'chou'tian'shi 复仇天使
'fu'jing'zhang'jing'hui 副警长警徽
'fu'lei'ming'dun'qiao'bi 弗雷明顿峭壁
'fu'lin'te'de 弗林特的
'fu'shi 腐蚀
'fu'shi'de 腐蚀的
'fu'shi'shang'hai 腐蚀伤害
'fu'shi'yin'yun 腐蚀阴云
'fu'yin 福音
'fu'you 辅右
'fu'zhong 辅中
'fu'zuo 辅左
'gai'ji 盖姬
'gai'si'niu'zai 该死牛仔
'gan'cao'cha 干草叉
'gan'han'niu'dai'huang'di 干旱纽带荒地
'gan'han'niu'dai'mu'di 干旱纽带墓地
'gan'ou'zhe 干呕者
'gan'ran'bing 感染病
'gang'gan'qiang 杠杆枪
'gang'jin'tie'shou 钢筋铁手
'gang'qiang 钢枪
'gang'shao'bu'kong 岗哨布控
'gao'di 高地
'gao'di'da'qiao 高地大桥
'gao'ji'sha'shou 高级杀手
'gao'she'pao 高射炮
'gao'su'qiu 高速球
'ge'an'guan'huo 隔岸观火
'ge'lin'ji'qiang 格林机枪
'ge'wen'zhi'lu 格温之颅
'gen'yuan 根源
'gong'cheng'shi 工程师
'gong'jian'zhe 攻坚者
'gong'xiang'gui 共享柜
'gong'zheng 公正
'gou'er 狗儿
'gu'dong'jia 鼓动家
'gu'er'nv'quan 孤儿女拳
'gu'er'zhi'zao'zhe 孤儿制造者
'gu'yong'bing 雇佣兵
'gua'fu'zhi'zao'zhe 寡妇制造者
'gua'zha 挂渣
'guan'lu'zhe 贯颅者
'guan'xing'zuo'yong 惯性作用
'guang'jiao'jing 广角镜
'guang'xue'yun'yong 光学运用
'gui'di 跪地
'gui'dun 龟盾
'ha'luo'de 哈罗德
'ha'luo'de'qie'zui'jiu 哈罗德切醉酒
'ha'ma'luo'ke 哈马洛克
'ha'ma'luo'ke'de 哈马洛克的
'hai'bo'long 亥伯龙
'hai'dao'qi 海盗旗
'hai'lv 海绿
'hai'mian 海绵
'hai'te'de'hou'hua'yuan 海特的后花园
'han'jian 罕见
'hao'chu'gan 好触感
'hao'jiao'lian'dao 嚎叫镰刀
'hao'wu'zu'ge 毫无阻隔
'he'bao'da'ji 核爆打击
'he'jie 和解
'he'ping'di'zao'zhe 和平缔造者
'he'zi'gong'jue 核子公爵
'hei'dong 黑洞
'hen'la'bei'ci 狠辣背刺
'hong'ji'pao 轰击炮
'hong'kao'ji 烘烤机
'hong'long'da'bao'po 轰隆大爆破
'hong'long'gou'zai 轰隆狗仔
'hong'tian'lie'di 轰天裂地
'hong'zi 红字
'hong'zi'ban'ben 红字版本
'hong'zi'lan 红字蓝
'hong'zi'xiao'guo 红字效果
'hou'jin'shi'zu 后劲十足
'hou'yao 后摇
'hou'zuo'li'jian'mian 后坐力减免
'hu'dun 护盾
'hu'shen'fu 护身符
'hu'shi 护士
'huai'chu'gan 坏触感
'huan'xiang 幻象
'huang'di 荒地
'huang'jia'ke 黄夹克
'huang'yu'de 黄玉的
'hui'bao'zhe 回爆者
'hui'dun 回盾
'hui'fu'qiang'hua 回复强化
'hui'fu'zhuan'jing 恢复专精
'hui'mie'zhe 毁灭者
'hui'xue 回血
'hun'dan'da'dan'keng'jiu'ba 混蛋大弹坑酒吧
'hun'dan'jian'zao'ji 混蛋建造机
'hun'dan'zhuang'zai'ji 混蛋装载机
'hun'luan'ceng'shu 混乱层数
'hun'luan'luo'li 混乱萝莉
'hun'luan'shan'liang 混乱善良
'hun'luan'shan'liang'wu'seng 混乱善良武僧
'hun'luan'she'su 混乱射速
'hun'luan'xie'e 混乱邪恶
'hun'luan'zhong'li 混乱中立
'huo'feng 火疯
'huo'feng 火蜂
'huo'feng'zi 火疯子
'huo'gen 祸根
'huo'hua'xi'bao 活化细胞
'huo'ji 火鸡
'huo'jian'tiao 火箭跳
'huo'jian'tong 火箭筒
'huo'jian'zhuan'jia 火箭专家
'huo'ju 火炬
'huo'mian 火免
'huo'qiu 火球
'huo'rong'xiang 火绒箱
'huo'shan 火山
'huo'shang'jiao'you 火上浇油
'huo'shu'xing 火属性
'huo'xian'yin'bao 火线引爆
'huo'yan 火焰
'huo'yan'bao'fa'lei 火焰爆发雷
'huo'yan'bi'hu'zhen 火岩庇护镇
'huo'yan'de 火焰的
'huo'yan'e'mo 火炎恶魔
'huo'yan'feng'bao 火焰风暴
'huo'yan'ji'xian 火焰祭献
'huo'yan'shang'hai 火焰伤害
'huo'yan'yao'ban 火焰耀斑
'huo'ying'dun 火鹰盾
'huo'ying'zhi'yan 火鹰之焰
'huo'yuan'su 火元素
'ji'fa'qian'neng 激发潜能
'ji'fen 激奋
'ji'guan'suan'jin 机关算尽
'ji'guang'miao'zhun 激光瞄准
'ji'lao'bing 基佬兵
'ji'lao'sheng'wu 基佬圣物
'ji'lie'jiao'feng 激烈交锋
'ji'qi'bao'luan 机器暴乱
'ji'qi'ren'chang 机器人场
'ji'quan 击拳
'ji'shu'lei 集束雷
'ji'tui 击退
'ji'xie'luo'li 机械萝莉
'ji'xie'shi 机械师
'ji'yin'tu'bian 基因突变
'ji'yu'cheng 机遇城
'ji'yu'yi'fa 系于一发
'jia'chong 甲虫
'jia'nong'pao 加农炮
'jian'chi'dao'di 坚持到底
'jian'die 间谍
'jian'jia'li'bing 坚甲利兵
'jian'ren'qi'bing 坚忍骑兵
'jian'shou'lei 捡手雷
'jian'zao'ji 建造机
'jian'zha'jian'die 奸诈间谍
'jiang'zhi 僵直
'jiao'cha'huo'li 交叉火力
'jiao'hu 狡狐
'jiao'lian'qiang 教练枪
'jiao'rou'dun 绞肉盾
'jiao'she'zhe 嚼舌者
'jiao'tu'zhan'lue 焦土战略
'jie'cao'bao 节操爆
'jie'ke 杰克
'jie'mian 界面
'jin'gang'zhi'li 金刚之力
'jin'hu 金壶
'jin'hua 进化
'jin'rou'ren 筋肉人
'jin'shu'feng'bao 金属风暴
'jin'xi'gai 金膝盖
'jin'xue'tou'qiang 浸血透枪
'jin'yao'shi 金钥匙
'jin'zai'zhi'chi 近在咫尺
'jin'zhan 近战
'jin'zhan'shang'hai 近战伤害
'jing'li'chong'pei 精力充沛
'jing'mi'jian 精密件
'jing'she 劲射
'jing'zhang'jing'hui 警长警徽
'jing'zheng 竞争
'jing'zhun'chong'feng'qiang 精准冲锋枪
'jing'zhun'de 精准的
'jing'zhun'du 精准度
'jing'zi'mo'nv 镜子魔女
'jiu'di'chu'jue 就地处决
'jiu'ming'dao'cao 救命稻草
'ju'chi'guo'lu 锯齿锅炉
'ju'dan 狙蛋
'ju'han 巨汉
'ju'han'qing'lv 巨汉情侣
'ju'ji'dan 狙击蛋
'ju'ji'shou 狙击手
'jue'dui'zhong'li 绝对中立
'jue'dui'zhong'li'wu'seng 绝对中立武僧
'jue'ming'ju'ji'shou 绝命狙击手
'jue'mu'zhe 掘墓者
'jue'sha 绝杀
'jue'sha'ju'ji'shou 绝杀狙击手
'jue'yi'si'zhan 决一死战
'jun'dao'qiang'ta 军刀枪塔
'jun'lie'gao'di 龟裂高地
'ka'bin'qiang 卡宾枪
'kai'shuang'qiang 开双枪
'kao'pi'gu 烤屁股
'ke'ji'da'bing 客机大兵
'ke'li'ge 克里格
'kong'bu 恐怖
'kong'bu'zhan 恐怖展
'kong'huo'zheng 恐火症
'kong'jiang'wang'ming'tu 空降亡命徒
'kong'ju'zheng 恐惧症
'kong'xue'jing'luan 恐血痉挛
'kou'dai'huo'jian 口袋火箭
'kuai'ji 快击
'kuai'qiu 快球
'kuai'su'chong'neng 快速充能
'kuang'bao'bian'yi'quan 狂暴变异犬
'kuang'bao'gou'zi 狂暴狗子
'kuang'bao'ju'han 狂暴巨汉
'kuang'bao'qian'lie'zhe 狂暴潜猎者
'kuang'hong'lan'zha 狂轰滥炸
'kuang'mang 狂蟒
'kuang'qiang'shou 狂枪手
'kuang'ren 狂人
'kuang'zhan'shi 狂战士
'kun'huo'gong'jian'zhe 困惑攻坚者
'kun'rao 困扰
'kuo'rong'de 扩容的
'la'ji'jie'cao 垃圾节操
'la'si'ke 拉斯科
'lai'zhe'bu'ju 来者不拒
'lan'bao'shi'de 蓝宝石的
'lang'zi 浪子
'lao'bing 老兵
'le'qu'bei'zeng 乐趣倍增
'le'zai'qi'zhong 乐在其中
'lei'guan'pian 雷管片
'lei'qiu'quan 雷球拳
'lei'xing'she'dian'yuan 类星射电源
'lei'xing'ti 类星体
'leng'jing'liang'cheng 冷静两成
'leng'ku'wu'qing 冷酷无情
'li'chang 离场
'li'li'si 莉莉丝
'li'wan'kuang'lan 力挽狂澜
'li'xing'dong'luan 理性动乱
'li'zi'pen'she'qi 离子喷射器
'lian'dan'qiang 敛弹枪
'lian'dao 镰刀
'lian'fa'qiang 连发枪
'lian'gui 连跪
'lian'ju 链锯
'lian'suo'shan'dian 连锁闪电
'lian'tu 连屠
'lie'jiu'niang'zao'chang 劣酒酿造厂
'lie'jiu'pen'zui 烈酒喷嘴
'lie'shou'shi'ku 猎手石窟
'lie'shou'shi'ku'xiao'wu 猎手石窟小屋
'lie'xiang'qiang 猎象枪
'lie'ying 猎鹰
'ling'dun 零盾
'ling'dun'mo'nv 零盾魔女
'ling'hu 灵狐
'ling'xi'zhi'yan 灵犀之眼
'liu'cuan'fan 流窜犯
'liu'xing'yu 流星雨
'liu'yi'li 六翼力
'liu'yi'tian'shi'qun 六翼天使群
'liu'yi'tian'shi'zhi'li 六翼天使之力
'liu'yi'tian'shi'zhi'xi 六翼天使之息
'liu'yi'tian'shi'zhi'xue 六翼天使之血
'liu'yi'tian'shi'zhi'ying 六翼天使之影
'liu'yi'xi 六翼息
'liu'yi'xue 六翼血
'liu'yi'ying 六翼影
'long'bao 龙堡
'long'bao'mo'zu 龙堡模组
'long'xia 龙虾
'lu'bi 鲁比
'lu'cheng'jin'tou 路程尽头
'lu'da 鲁达
'luan'she'de 乱射的
'lue'duo'zhe 掠夺者
'luo'gen 罗根
'luo'gen'de'qiang 罗根的枪
'luo'lan 罗兰
'luo'li 萝莉
'luo'suo 啰嗦
'lv'ju'ren 绿巨人
'lv'zhou'zhen 绿洲镇
'ma'bu'ting'ti 马不停蹄
'ma'ge'nan'qiang 马格南枪
'ma'ge'ni'si'deng'ta 马格尼斯灯塔
'ma'huang 蚂蟥
'ma'ji 玛姬
'ma'ku'si 马库斯
'ma'ku'si'de'sheng'dan'shang'dian 马库斯的剩蛋商店
'ma'li'wan 玛丽湾
'ma'ya 玛雅
'mai'yi'song'yi 买一送一
'man'bian 满编
'man'da'man'suan 满打满算
'man'shou 慢手
'man'yi 满镒
'man'you'yu 漫游欲
'mao'mi 猫咪
'mao'nv 猫女
'mao'se'qiang 毛瑟枪
'mao'yi'wang 贸易网
'mao'zhua'luo'li 猫爪萝莉
'mei'shou'lei 没手雷
'mei'you'shang'hai 没有伤害
'meng'gu'wang 蒙古王
'meng'nan'hu'dun 猛男护盾
'mi'cang'lie'ren 秘藏猎人
'mi'cang'lie'ren'de'sheng'wu 秘藏猎人的圣物
'mi'feng 蜜蜂
'mi'ji'dan'mu 密集弹幕
'mian'ban'shang'hai 面板伤害
'mian'ju'feng'zi 面具疯子
'miao'ji 瞄击
'miao'ju 瞄具
'miao'sha 秒杀
'mo'de'kai 莫德凯
'mo'di'gai 末底改
'mo'fa'fei'dan 魔法飞弹
'mo'nv 魔女
'mo'shu'shi 魔术师
'mo'xi 莫西
'mo'xi'de'li'wu 莫西的礼物
'mo'xi'xiao'jie'de 莫西小姐的
'mo'zu 模组
'mu'biao'zhuan'yi 目标转移
'mu'di 墓地
'mu'shi 牧师
'nai'jing 奶精
'nan'bu'sai'dao 南部赛道
'nan'fang'bing'jia 南方冰架
'nan'gua 南瓜
'nao'nu 恼怒
'nao'shi'zhe 闹事者
'neng'shou 能手
'niu'nai 牛奶
'niu'niu'le 扭扭乐
'nu'bu'ke'e 怒不可遏
'nu'hao'cheng'jie 怒号惩戒
'nu'huo'shi'fang 怒火释放
'nuo'fa'lei 诺法雷
'nuo'fu'li'te 诺弗利特
'nv'shi'zhi'quan 女士之拳
'nv'wu 女巫
'nv'yao 女妖
'nv'zu'zhang 女族长
'pa'shan 爬山
'pai'di 拍地
'pai'huai'zhe 徘徊者
'pan'guo'zhe 叛国者
'pan'ni'zhe 叛逆者
'pang'dun'yi'shi 胖墩蚁狮
'pang'guai 胖怪
'pao'ta'ka'guai 炮塔卡怪
'pao'ta'shang'hai 炮塔伤害
'pao'tu'mo'nv 跑图魔女
'pei'jian 配件
'pen'jian'zhe 喷溅者
'peng'ke 朋克
'pi'cao'rou'hou 皮糙肉厚
'pian'yi'huo 便宜货
'pin'hong 品红
'pin'zhi 品质
'ping'fan'ma'tou 平凡码头
'po'dun 破盾
'po'huai'zhe 破坏者
'po'yao'dai 破腰带
'pu'tong 普通
'pu'tong'dun 普通盾
'qi'dian'lei 奇点雷
'qi'guan'chang'hong 气贯长虹
'qi'miao'shu'xue 奇妙数学
'qi'nu'ke 奇努克
'qi'nu'ke 妻奴氪
'qi'shen 起身
'qian'dan'feng'bao 铅弹风暴
'qian'lie'zhe 潜猎者
'qian'she 钱射
'qian'xian'feng'bao 前线风暴
'qian'xing'zhe 潜行者
'qian'yan'zhen'di 前沿阵地
'qiang'dan 枪蛋
'qiang'dao'chang 强盗场
'qiang'dao'zhi'zao 强盗制造
'qiang'feng 枪疯
'qiang'guan 枪管
'qiang'hua'zhuang'zai'ji 强化装载机
'qiang'lun'zhuan 枪轮转
'qiang'shen 枪身
'qiang'shou 枪手
'qiang'ta'qian'suo 枪塔嵌锁
'qiang'ta'yuan'bu 枪塔远布
'qiang'tuo 枪托
'qiang'xi'zhe 强袭者
'qiang'xie 枪械
'qiang'xie'ming 枪械名
'qiang'xie'qian'zhui 枪械前缀
'qiang'xie'shang'hai 枪械伤害
'qiao'ji 乔吉
'qing'dao'fu 清道夫
'qing'lv 青绿
'qing'se 青色
'qing'zhi'xian 清支线
'qing'zhu'xian 清主线
'qing'zhuang 青装
'qing'zi'xiao'guo 青字效果
'qiu'lin 丘林
'qu'yu'lei 区域雷
'quan'xi'you'er 全息诱饵
'quan'yuan'chang 全原厂
'ran'shao 燃烧
'ran'you'shui'pao 燃油水疱
'rang'zi'dan'fei 让子弹飞
'rao'dong'qian'lie'zhe 扰动潜猎者
'rao'she'zhe 饶舌者
'ren'qiang'he'yi 人枪合一
'ren'wu'jiang'li 任务奖励
'ren'zhe 忍者
'rong'yao 荣耀
'rong'zha 熔渣
'rong'zha'lu'bi 熔渣鲁比
'rong'zha'shang'hai 熔渣伤害
'rou'dun 肉盾
'rou'tuan 肉团
'ru'lei'guan'er 如雷贯耳
'ru'mao'yin'xue 茹毛饮血
'ru'qin'zhe 入侵者
'ru'you'tian'zhu 如有天助
'sa'er'wa'duo 萨尔瓦多
'san'guan 三管
'san'guan'de 三管的
'san'jiao'di'dai'fen'ge 三角地带分隔
'san'jiao'di'dai'shan'gu 三角地带山谷
'san'ye'jie 三叶结
'san'zhou'mu 三周目
'sao'dang'zhe 扫荡者
'sen'lin 森林
'sha'bi'qie'nv'quan 沙比切女拳
'sha'chong'shui'yu 沙虫水域
'sha'chong'tu'xi 鲨虫吐息
'sha'dou'mei'diao 啥都没掉
'sha'lu'sheng'yan 杀戮盛宴
'sha'lu'zhen'fen 杀戮振奋
'sha'mo 沙漠
'sha'qi 杀器
'sha'shou 杀手
'sha'shou'tian'cheng 杀手天成
'sha'wei'zhen 煞威镇
'sha'wu'she 杀无赦
'sha'ying 沙鹰
'sha'ying'qie'nv'quan 沙鹰切女拳
'sha'yu'tu'biao 鲨鱼图标
'shan'bian'ru'shui 善变如水
'shan'bian'xiao'ying 闪变效应
'shan'dian'dan 闪电弹
'shan'dian'lian 闪电链
'shan'dong'zhe 煽动者
'shan'gu 山谷
'shan'liang'tian'su 善良填速
'shan'yao'shi'ke 闪耀时刻
'shang'biao'ji 上标记
'shang'kou 伤口
'shang'shang'sa'yan 伤上撒盐
'shang'zha 上渣
'shao'ba'bao'bei 烧吧宝贝
'she'dian'bing 射电兵
'she'su 射速
'shen'jing'jue'yuan 神经绝缘
'shen'jing'ma'mu 神经麻木
'shen'mi'hu'shen'fu 神秘护身符
'shen'qing'ru'yan 身轻如燕
'shen'ru'zhe 渗入者
'shen'she'shou 神射手
'shen'ti'qiang'zhuang 身体强壮
'shen'tong 神童
'shen'tou'zhe 渗透者
'shen'zhi 神指
'sheng'jia'chong 圣甲虫
'sheng'long'quan 升龙拳
'sheng'ming'shou'ge 生命收割
'sheng'ming'zhi'yuan 生命之源
'sheng'wu 圣物
'sheng'wu'chang 生物场
'shi'ban'gong'bei 事半功倍
'shi'bu'ke'dang 势不可挡
'shi'er'bang 十二磅
'shi'jie 视界
'shi'liu'shi'de 石榴石的
'shi'ming'zhao'huan 使命召唤
'shi'nai'de 施耐德
'shi'qiang 石枪
'shi'ren'mo 食人魔
'shi'si'ru'gui 视死如归
'shi'xian'zhe 实现者
'shi'xue 嗜血
'shi'ying'de 石英的
'shi'ying'dun 适应盾
'shou'fa 首发
'shou'ge'zhe 收割者
'shou'ji'yan'kuai 手疾眼快
'shou'lei 手雷
'shou'lei'shang'hai 手雷伤害
'shou'lei'tiao 手雷跳
'shou'qiang'dan 手枪蛋
'shou'ren 兽人
'shou'ren'ha'luo'de 兽人哈罗德
'shou'ren'yu'lei 兽人鱼雷
'shou'tong 手统
'shou'wang'zhe 守望者
'shou'wang'zhen 守望镇
'shou'xing'da'fa 兽性大发
'shou'xu'jing'zhun 守序精准
'shou'xu'shan'liang 守序善良
'shou'xu'xie'e 守序邪恶
'shou'xu'zhong'li 守序中立
'shu'ma'feng 数码峰
'shu'ma'gou'jia'feng'fu'ben 数码构架峰副本
'shu'ma'gou'zhao 数码钩爪
'shua'ai'zi 刷矮子
'shua'zhi'xian 刷支线
'shua'zhu'xian 刷主线
'shuang'dan'qi'fa 双弹齐发
'shuang'fa'de 双发的
'shuang'guan 双管
'shuang'guan'de 双管的
'shuang'guan'qi'xia 双管齐下
'shuang'lei'tiao 双雷跳
'shuang'qiang'kuang'bao 双枪狂暴
'shuang'ya 双牙
'shuang'zi'qiang'ta 双子枪塔
'shui'niu 水牛
'shui'pao 水疱
'shui'zhi 水蛭
'shun'hei 瞬黑
'shun'jian'ba'qiang 瞬间拔枪
'si'cong'tian'jiang 死从天降
'si'guan 四管
'si'ji'dai'fa 伺机待发
'si'ku'te 斯库特
'si'la'jia 斯拉加
'si'lie 撕裂
'si'lie'zhe 撕裂者
'si'ling'fa'shi 死灵法师
'si'long 四龙
'si'lv 思虑
'si'tou'ji 四头肌
'si'wang'xian'jing 死亡陷阱
'si'wang'yin'ji 死亡印记
