'ai'li'ke'sen'de'ren'ge'fa'ju'li'lun 埃里克森的人格发遽理论
'luo'sen'ci'wei'ge'tu'pian'cuo'zhe'yan'jiu 罗森茨韦格图片挫折研究
'ma'si'luo'de'ren'ge'li'lun 马斯洛的人格理论
'mai'er'si'bu'li'ge'si'lei'xing'zhi'biao 迈尔斯布里格斯类型指标
'mi'er'lin'xue'pai'de'shen'jing'lei'xing'shuo 米尔林学派的神经类型说
'min'zu'te'xing 民族特性
'mo'li'de'xu'yao'ya'li'li'lun 默里的需要压力理论
'neng'he'wai'neng 能和外能
'pa'ke'de'zi'wo'fa'zhan'li'lun 帕克的自我发展理论
'pian'zhi'xing'ren'ge 偏执性人格
'qi'hou'yu'ge'xing 气候与个性
'qi'zhi 气质
'qi'zhi'de'shi'yan'pan'ding'fa 气质的实验判定法
'qi'zhi'ding'wei 气质定位
'qi'zhi'tiao'jie'li'lun 气质调节理论
'qi'zhi'yu'ren'ge 气质与人格
'qian'jing'shen'fen'xi'de'zi'wo'fa'zhan'li'lun 前精神分析的自我发展理论
'qian'nu 迁怒
'qiang'po'xing'ren'ge 强迫性人格
'qu'ge'xing'hua 去个性化
'quan'wei'ren'ge 权威人格
'ren'ge'bian'hua 人格变化
'ren'ge'de'ceng'ci 人格的层次
'ren'ge'diao'cha'biao 人格调查表
'ren'ge'fa'zhan'shi'yi 人格发展释义
'ren'ge'jie'ti 人格解体
'ren'ge'lei'xing 人格类型
'ren'ge'li'lun 人格理论
'ren'ge'mian'ju 人格面具
'ren'ge'ping'jia 人格评价
'ren'ge'te'zhi 人格特质
'ren'ge'yu'ji'bing 人格与疾病
'ren'ge'yu'zhi'ye'xing'qu 人格与职业兴趣
'ren'ge'zhang'ai 人格障碍
'ren'ge'zheng'quan 人格整全
'sai'er'men'de'zi'wo'fa'zhan'li'lun 塞尔门的自我发展理论
'sha'li'wen'de'ren'ji'li'lun 沙利文的人际理论
'sha'li'wen'de'zi'wo'fa'zhan'li'lun 沙利文的自我发展理论
'shen'ti'yi'xiang 身体意象
'sheng'huo'feng'ge 生活风格
'si'jin'na'de'ren'ge'li'lun 斯金纳的人格理论
'si'ren'wen'xian'dang'an 私人文献档案
'tao'bi'zi'you 逃避自由
'te'zhi'li'lun 特质理论
'ti'xing 体型
'tong'yi'xing'wei'ji 同一性危机
'tong'yi'xing'xing'cheng 同一性形成
'wai'qing'xing'he'nei'qing'xing 外倾性和内倾性
'wei'cheng'shu'ren'ge 未成熟人格
'wu'yi'shi'dong'ji 无意识动机
'xi'ju'ren'ge 戏剧人格
'xin'ba'fu'luo'fu'shen'jing'lei'xing'shuo 新巴甫洛夫神经类型说
'xin'jing'shen'fen'xi'de'zi'wo'fa'zhan'li'lun 新精神分析的自我发展理论
'xing'ren'ge 型人格
'yi'lai'xing'ren'ge 依赖性人格
'yi'qing 移情
'yin'su'fen'xi'ren'ge'wen'juan 因素分析人格问卷
'ying'ji 应激
'you'yin 诱因
'zao'kuang'yi'yu'xing'ren'ge 躁狂抑郁性人格
'zhan'mu'si'lan'ge'qing'xu'li'lun 詹姆斯兰格情绪理论
'zi'bei'gan 自卑感
'zi'bei'yu'chao'yue 自卑与超越
'zi'lian'ren'ge 自恋人格
'zi'wo'dong'ji 自我动机
'zi'wo'fa'zhan'de'xu'lie'shuo'he'lei'xing'shuo 自我发展的序列说和类型说
'zi'wo'gai'nian 自我概念
'zi'wo'jing'xiang'guan'nian 自我镜像观念
'zi'wo'kong'zhi 自我控制
'zi'wo'ping'jia 自我评价
'zui'jia'zuo'yong 最佳作用
'zun'feng'ren'ge 遵奉人格
