'an'dong 暗动
'bing'wu'si'zai'you 丙戊死在酉
'bing'wu'tai'zai'zi 丙戊胎在子
'bing'wu'yang'zai'chou 丙戊养在丑
'bing'xin'he 丙辛合
'bing'xin'he'hua'shui 丙辛合化水
'bing'xin'xiang'he 丙辛相合
'bing'xin'yin'shen'qi 丙辛寅申七
'bing'xu 丙戌
'bing'xu'ding'hai'wu'shang'tu 丙戌丁亥屋上土
'bing'yin 丙寅
'bing'yin'ding'mao'lu'zhong'huo 丙寅丁卯炉中火
'bing'zi 丙子
'bing'zi'ding'chou'jian'xia'shui 丙子丁丑涧下水
'bu'kong 不空
'bu'po 不破
'bu'san 不散
'bu'shi'zheng'zong 卜筮正宗
'bu'yu 不虞
'cai'bo 财帛
'cai'yun 财运
'cha'wei 察微
'chai'chuan'jin 钗钏金
'chai'ma'ji 拆马忌
'chang'liu'shui 常流水
'chang'liu'shui 长流水
'chang'sheng 长生
'chang'sheng'zai'zi 长生在子
'chao'shen 超神
'che'huo 车祸
'chen'cang'wu'yi'gui 辰藏戊乙癸
'chen'gong'xian 陈公献
'chen'ri 辰日
'chen'shi 辰时
'chen'si 辰巳
'chen'tu 辰土
'chen'tu'fu'mu 辰土父母
'chen'tu'fu'mu'chi'shi 辰土父母持世
'chen'tu'guan'gui 辰土官鬼
'chen'tu'guan'gui'chi'shi 辰土官鬼持世
'chen'tu'qi'cai 辰土妻财
'chen'tu'qi'cai'chi'shi 辰土妻财持世
'chen'tu'xiong'di 辰土兄弟
'chen'tu'xiong'di'chi'shi 辰土兄弟持世
'chen'tu'zi'sun 辰土子孙
'chen'tu'zi'sun'chi'shi 辰土子孙持世
'chen'wu'you'hai 辰午酉亥
'chen'xi'yi 陈希夷
'chen'xu 辰戌
'chen'xu'chong 辰戌冲
'chen'you 辰酉
'chen'you'he 辰酉合
'chen'you'he'hua'jin 辰酉合化金
'chen'yue 辰月
'cheng'qiang'tu 城墙土
'cheng'tou'tu 城头土
'chi'shi 持世
'chong'he'hui'xing'chuan 冲合会刑穿
'chong'kong 冲空
'chong'kong'tian'shi 冲空填实
'chong'san 冲散
'chong'shen 重审
'chou'cang'ji'gui'xin 丑藏己癸辛
'chou'ri 丑日
'chou'shen 仇神
'chou'shi 丑时
'chou'tu 丑土
'chou'tu'fu'mu 丑土父母
'chou'tu'fu'mu'chi'shi 丑土父母持世
'chou'tu'guan'gui 丑土官鬼
'chou'tu'guan'gui'chi'shi 丑土官鬼持世
'chou'tu'qi'cai 丑土妻财
'chou'tu'qi'cai'chi'shi 丑土妻财持世
'chou'tu'xiong'di 丑土兄弟
'chou'tu'xiong'di'chi'shi 丑土兄弟持世
'chou'tu'zi'sun 丑土子孙
'chou'tu'zi'sun'chi'shi 丑土子孙持世
'chou'wei 丑未
'chou'wei'chong 丑未冲
'chou'wei'xu 丑未戌
'chou'wu 丑午
'chou'wu'hai 丑午害
'chou'xu'wei 丑戌未
'chou'yue 丑月
'chu'chuan 初传
'chu'dian 触电
'chu'yao 初爻
'cuo'gong 错宫
'cuo'gua 错卦
'da'cai 大财
'da'fu 大父
'da'fu 大福
'da'ge 大格
'da'guan 大官
'da'hai'shui 大海水
'da'hao 大耗
'da'ji 大疾
'da'lin'mu 大林木
'da'ming 大命
'da'pu 大仆
'da'qi 大妻
'da'qian 大迁
'da'tian 大田
'da'xi'shui 大溪水
'da'xian 大限
'da'xiong 大兄
'da'yan'tu 大鄢土
'da'yi'tu 大驿土
'da'yi'yuan 大易源
'da'yun 大运
'da'zi 大子
'dai'jiu'lv'yi 戴九履一
'dai'zhan 代占
'dao'xie 盜泄
'de'ling 得令
'di'dun 地遁
'di'feng'sheng 地风升
'di'hu'feng'gui 地户逢鬼
'di'huo'ming'yi 地火明夷
'di'jie 地劫
'di'kong 地空
'di'lei'fu 地雷复
'di'pan 地盘
'di'shan'qian 地山谦
'di'shui'shi 地水师
'di'tian'sui 滴天髓
'di'tian'tai 地天泰
'di'wang 帝旺
'di'wang'gao'zhang 地网高张
'di'xing'xuan'wu 地刑玄武
'di'ze'lin 地泽临
'di'zhi 地支
'di'zhi'he'hua 地支合化
'ding'chou 丁丑
'ding'hai 丁亥
'ding'huo 丁火
'ding'ji'bing'zai'mao 丁己病在卯
'ding'ji'chang'sheng'zai'you 丁己长生在酉
'ding'ji'di'wang'zai 丁己帝旺在
'ding'ji'guan'dai'zai'wei 丁己冠带在未
'ding'ji'jue'zai'zi 丁己绝在子
'ding'ji'lin'guan'zai'wu 丁己临官在午
'ding'ji'lu'zai'wu 丁己禄在午
'ding'ji'mu'yu'zai'shen 丁己沐浴在申
'ding'ji'mu'zai'chou 丁己墓在丑
'ding'ji'ren'zai'si 丁己刃在巳
'ding'ji'shuai'zai'chen 丁己衰在辰
'ding'ji'si'zai'yin 丁己死在寅
'ding'ji'tai'hai 丁己胎亥
'ding'ji'yang'zai'xu 丁己养在戌
'ding'mao 丁卯
'ding'nian 丁年
'ding'qi 丁奇
'ding'ren'he 丁壬合
'ding'ren'he'hua'mu 丁壬合化木
'ding'ren'mao'you'liu 丁壬卯酉六
'ding'ren'xiang'he 丁壬相合
'ding'si 丁巳
'ding'wei 丁未
'ding'ying'qi 定应期
'ding'you 丁酉
'dong'ban 动绊
'dong'bian'zu'he 动变组合
'dong'fang'mu 东方木
'dong'gua 动卦
'dong'jing 动静
'dong'mu 动墓
'dong'pan 动盘
'dong'she'yan'mu 冬蛇掩目
'dong'si'ming 东四命
'dong'si'zhai 东四宅
'dong'xia'shui 洞下水
'dong'yao 动爻
'dong'zhai 动宅
'dou'jun 斗君
'du'chuan 杜传
'du'men 杜门
'du'zu 独足
'duan'gua 断卦
'dui'er 兑二
'dui'gong 兑宫
'dui'gong'ba'gua 兑宫八卦
'dui'gua 兑卦
'dui'qi'gong 兑七宫
'dui'shang'que 兑上缺
'dui'wei'ze 兑为泽
'dun'gan 遁干
'en'guang 恩光
'er'qi'wei'huo 二七为火
'er'si'wei'jian 二四为肩
'er'wu'yao 二五爻
'er'yao 二爻
'fa'yong 发用
'fan'gong'ji 反弓忌
'fan'yin 反吟
'fan'yin'fa 返吟法
'fan'yin'ke 返吟课
'fan'yin'she'xing 反吟蛇刑
'fei'hua 飞化
'fei'ke'fu 飞克伏
'fei'lian 蜚廉
'fei'niao'gui'chao 飞鸟归巢
'fei'ren 飞刃
'fen'lei'zhan'duan 分类占断
'feng'chong 逢冲
'feng'de'guan 风地观
'feng'dun 风遁
'feng'ge 凤阁
'feng'huo'jia'ren 风火家人
'feng'kong 逢空
'feng'lei'yi 风雷益
'feng'shan'jian 风山渐
'feng'shui 风水
'feng'shui'huan 风水涣
'feng'tian'xiao'chu 风天小畜
'feng'ze'zhong'fu 风泽中孚
'feng'zhi'feng'chong 逢值逢冲
'feng'zhi'feng'he 逢值逢合
'fo'deng'huo 佛灯火
'fu'de 福德
'fu'deng'huo 覆灯火
'fu'jian'teng'she 复见腾蛇
'fu'ke'fei 伏克飞
'fu'mu 父母
'fu'mu'chen'tu 父母辰土
'fu'mu'chen'tu'chi'shi 父母辰土持世
'fu'mu'chi'shi 父母持世
'fu'mu'chou'tu 父母丑土
'fu'mu'chou'tu'chi'shi 父母丑土持世
'fu'mu'hai'shui 父母亥水
'fu'mu'hai'shui'chi'shi 父母亥水持世
'fu'mu'mao'mu 父母卯木
'fu'mu'mao'mu'chi'shi 父母卯木持世
'fu'mu'shen'jin 父母申金
'fu'mu'shen'jin'chi'shi 父母申金持世
'fu'mu'si'huo 父母巳火
'fu'mu'si'huo'chi'shi 父母巳火持世
'fu'mu'wei'tu 父母未土
'fu'mu'wei'tu'chi'shi 父母未土持世
'fu'mu'wu'huo 父母午火
'fu'mu'wu'huo'chi'shi 父母午火持世
'fu'mu'xu'tu 父母戌土
'fu'mu'xu'tu'chi'shi 父母戌土持世
'fu'mu'yin'mu 父母寅木
'fu'mu'yin'mu'chi'shi 父母寅木持世
'fu'mu'you'jin 父母酉金
'fu'mu'you'jin'chi'shi 父母酉金持世
'fu'mu'zi'shui 父母子水
'fu'mu'zi'shui'chi'shi 父母子水持世
'fu'qi 夫妻
'fu'shen 伏神
'fu'wei'fu'bi'zhong'xing'xing 伏位辅弼中性星
'fu'yao 伏爻
'fu'yin 伏吟
'fu'yin'fa 伏吟法
'fu'yin'ke 伏吟课
'fu'yin'tian'ting 伏吟天庭
'gan'he'bei'shi 干合悖师
'gan'he'she'xing 干合蛇刑
'gan'zhi'de 干支的
'ge'ju 格局
'gen'ba'gong 艮八宫
'gen'fu'wan 艮覆碗
'gen'gong 艮宫
'gen'gong'ba'gua 艮宫八卦
'gen'gua 艮卦
'gen'qi 艮七
'gen'wei'shan 艮为山
'geng'bing'zai'hai 庚病在亥
'geng'chang'sheng'zai'si 庚长生在巳
'geng'chen 庚辰
'geng'chen'xin'si'bai'la'jin 庚辰辛巳白蜡金
'geng'di'wang'zai'you 庚帝旺在酉
'geng'guan'dai'zai'wei 庚冠带在未
'geng'jin 庚金
'geng'jue'zai'yin 庚绝在寅
'geng'lin'guan'zai'shen 庚临官在申
'geng'lu'zai'shen 庚禄在申
'geng'mu'yu'zai'wu 庚沐浴在午
'geng'mu'zai'chou 庚墓在丑
'geng'nian 庚年
'geng'ren'zai'you 庚刃在酉
'geng'shen 庚申
'geng'shen'xin'you'shi'liu'mu 庚申辛酉石榴木
'geng'shuai'zai'xu 庚衰在戌
'geng'si'zai'zi 庚死在子
'geng'tai'zai'mao 庚胎在卯
'geng'wu 庚午
'geng'wu'xin'wei'lu'pang'tu 庚午辛未路旁土
'geng'xin'feng'ma'hu 庚辛逢马虎
'geng'xu 庚戌
'geng'xu'xin'hai'chai'chuan'jin 庚戌辛亥钗钏金
'geng'yang'zai'chen 庚养在辰
'geng'yin 庚寅
'geng'yin'xin'mao'song'bai'mu 庚寅辛卯松柏木
'geng'zhu'xin'shu'ren'feng'hu 庚猪辛鼠壬逢虎
'geng'zi 庚子
'geng'zi'xin'chou'bi'shang'tu 庚子辛丑壁上土
'gong'ju 拱局
'gong'wei 宫位
'gong'yuan 宫垣
'gou'chen 勾陈
'gu'chen 孤辰
'gu'chen'he'gua'su 孤辰和寡宿
'gu'shi 古筮
'gua'li 卦理
'gua'su 寡宿
'gua'xiang 卦象
'gua'yi 卦意
'guan'dai 冠带
'guan'gui 官鬼
'guan'gui'chen'tu 官鬼辰土
'guan'gui'chen'tu'chi'shi 官鬼辰土持世
'guan'gui'chi'shi 官鬼持世
'guan'gui'chou'tu 官鬼丑土
'guan'gui'chou'tu'chi'shi 官鬼丑土持世
'guan'gui'hai'shui 官鬼亥水
'guan'gui'hai'shui'chi'shi 官鬼亥水持世
'guan'gui'mao'mu 官鬼卯木
'guan'gui'mao'mu'chi'shi 官鬼卯木持世
'guan'gui'shen'jin 官鬼申金
'guan'gui'shen'jin'chi'shi 官鬼申金持世
'guan'gui'si'huo 官鬼巳火
'guan'gui'si'huo'chi'shi 官鬼巳火持世
'guan'gui'wei'tu 官鬼未土
'guan'gui'wei'tu'chi'shi 官鬼未土持世
'guan'gui'wu'huo 官鬼午火
'guan'gui'wu'huo'chi'shi 官鬼午火持世
'guan'gui'xu'tu 官鬼戌土
'guan'gui'xu'tu'chi'shi 官鬼戌土持世
'guan'gui'yin'mu 官鬼寅木
'guan'gui'yin'mu'chi'shi 官鬼寅木持世
'guan'gui'you'jin 官鬼酉金
'guan'gui'you'jin'chi'shi 官鬼酉金持世
'guan'gui'zi'shui 官鬼子水
'guan'gui'zi'shui'chi'shi 官鬼子水持世
'guan'lu 官禄
'guan'yun 官运
'gui'bing'zai'you 癸病在酉
'gui'chang'sheng'zai'mao 癸长生在卯
'gui'chou 癸丑
'gui'di'wang'zai'hai 癸帝旺在亥
'gui'gu'zi 鬼谷子
'gui'guan'dai'zai'chou 癸冠带在丑
'gui'hai 癸亥
'gui'hun 归魂
'gui'jue'zai'wu 癸绝在午
'gui'lin'guan'zai'zi 癸临官在子
'gui'lu'zai'zi 癸禄在子
'gui'mao 癸卯
'gui'mu'yu'zai'yin 癸沐浴在寅
'gui'mu'zai'wei 癸墓在未
'gui'nian 癸年
'gui'ren 贵人
'gui'ren'jian'mao'ru'yun'ti 癸人见卯入云梯
'gui'ren'ru'yu 贵人入狱
'gui'ren'sheng'dian 贵人升殿
'gui'ren'zai'hai 癸刃在亥
'gui'shuai'zai'xu 癸衰在戌
'gui'shui 癸水
'gui'si 癸巳
'gui'si'zai'shen 癸死在申
'gui'tai'zai'si 癸胎在巳
'gui'wei 癸未
'gui'yang'zai'chen 癸养在辰
'gui'you 癸酉
'guo'yin 国印
'hai'cang'ren'jia 亥藏人甲
'hai'mao'wei 亥卯未
'hai'mao'wei'he'hua'mu 亥卯未合化木
'hai'mao'wei'jian'jia'wei'yue'de 亥卯未见甲为月德
'hai'mao'wei'jian'mao'wei'jiang'xing 亥卯未见卯为将星
'hai'mao'wei'jian'shen'wei'jie'sha 亥卯未见申为劫煞
'hai'mao'wei'jian'si'wei'yi'ma 亥卯未见巳为驿马
'hai'mao'wei'jian'wei'wei'hua'gai 亥卯未见未为华盖
'hai'mao'wei'jian'yin'wei'wang'shen 亥卯未见寅为亡神
'hai'mao'wei'jian'you'wei'zai'sha 亥卯未见酉为灾煞
'hai'mao'wei'jian'zi'wei'tao'hua 亥卯未见子为桃花
'hai'mao'wei'ma'zai'si 亥卯未马在巳
'hai'ri 亥日
'hai'shi 亥时
'hai'shui 亥水
'hai'shui'fu'mu 亥水父母
'hai'shui'fu'mu'chi'shi 亥水父母持世
'hai'shui'guan'gui 亥水官鬼
'hai'shui'guan'gui'chi'shi 亥水官鬼持世
'hai'shui'qi'cai 亥水妻财
'hai'shui'qi'cai'chi'shi 亥水妻财持世
'hai'shui'xiong'di 亥水兄弟
'hai'shui'xiong'di'chi'shi 亥水兄弟持世
'hai'shui'zi'sun 亥水子孙
'hai'shui'zi'sun'chi'shi 亥水子孙持世
'hai'yue 亥月
'hai'zhong'jin 海中金
'hai'zi'chou 亥子丑
'hai'zi'chou'ren'jian'yin'wei'gu'jian'xu'wei'gua 亥子丑人见寅为孤见戌为寡
'hao'shi 蒿矢
'hao'xie 耗泄
'he'ban 合拌
'he'ban 合绊
'he'hua 合化
'he'huo'ju 合火局
'he'jin'ju 合金局
'he'mu'ju 合木局
'he'qi 合起
'he'shui'ju 合水局
'hong'luan 红鸾
'hou'tian 后天
'hu'gong 互宫
'hu'gua 互卦
'hu'shi 虎视
'hu'tou 虎头
'hu'wei 虎尾
'hu'xing 互刑
'hu'yao 虎腰
'hu'zhong'zi 壶中子
'hua'ban 化绊
'hua'chong 化冲
'hua'gai 华盖
'hua'gai'bei'shi 华盖悖师
'hua'gai'di'hu 华盖地户
'hua'gai'feng'xing 华盖逢星
'hua'he 化合
'hua'hui'tou'ke 化回头克
'hua'hui'tou'sheng 化回头生
'hua'ji 化忌
'hua'jin 化进
'hua'ke 化克
'hua'ke 化科
'hua'kong 化空
'hua'lu 化禄
'hua'mu 化墓
'hua'po 化破
'hua'quan 化权
'hua'san 化散
'hua'sheng 化生
'hua'tui 化退
'huang'di'nei'jing 黄帝内经
'huang'ji'jing'shi 皇极经世
'huang'jin'ce 黄金策
'hui'tou'ke 回头克
'hui'tou'sheng 回头生
'hun'tian'jia'zi 浑天甲子
'hun'yin 婚姻
'huo'bei'di'hu 火悖地户
'huo'bei'ru'xing 火悖入刑
'huo'di'jin 火地晋
'huo'feng'ding 火风鼎
'huo'hai'lu'cun'tu'xing 祸害禄存土星
'huo'ju 火局
'huo'ke'jin 火克金
'huo'ku 火库
'huo'lei'shi'ke 火雷噬嗑
'huo'ren'shen'zi'ling'ren'jian 火人申子令人贱
'huo'ru'gou'chen 火入勾陈
'huo'ru'tian'luo 火入天罗
'huo'shan'lv 火山旅
'huo'sheng'tu 火生土
'huo'shui'wei'ji 火水未济
'huo'tian'da'you 火天大有
'huo'xing 火星
'huo'yao 火爻
'huo'zai 火灾
'huo'ze'gui 火泽癸
'huo'ze'kui 火泽睽
'huo'zhu'li 火主礼
'huo'zhu'lin 火珠林
'ji'bing 疾病
'ji'chou 己丑
'ji'e 疾厄
'ji'ge 吉格
'ji'hai 己亥
'ji'hua 吉化
'ji'mao 己卯
'ji'nian 己年
'ji'ru 忌入
'ji'shen 忌神
'ji'si 己巳
'ji'tu 己土
'ji'wei 己未
'ji'xing 击刑
'ji'xiong 吉凶
'ji'yao 吉耀
'ji'you 己酉
'jia'bing'wu'geng'ren 甲丙戊庚壬
'jia'bing'zai'si 甲病在巳
'jia'chang'sheng'zai'hai 甲长生在亥
'jia'chen 甲辰
'jia'chen'ren 甲辰壬
'jia'chen'yi'si'fu'deng'huo 甲辰乙巳覆灯火
'jia'di'wang'zai'mao 甲帝旺在卯
'jia'guan'dai'zai'chou 甲冠带在丑
'jia'ji'he 甲己合
'jia'ji'he'hua'tu 甲己合化土
'jia'ji'zi'wu'jiu 甲己子午九
'jia'jue'zai'shen 甲绝在申
'jia'lin'guan'zai'yin 甲临官在寅
'jia'lu'zai'yin 甲禄在寅
'jia'mu 甲木
'jia'mu'yu'zai'zi 甲沐浴在子
'jia'mu'zai'wei 甲墓在未
'jia'nian 甲年
'jia'ren'zai'mao 甲刃在卯
'jia'shen 甲申
'jia'shen'geng 甲申庚
'jia'shen'yi'you'jing'quan'shui 甲申乙酉井泉水
'jia'shuai'zai'chen 甲衰在辰
'jia'si'yi'wu'bao'jun'zhi 甲巳乙午报君知
'jia'si'zai'wu 甲死在午
'jia'tai'zai'you 甲胎在酉
'jia'wu 甲午
'jia'wu'bing'niu'yang 甲戊并牛羊
'jia'wu'geng'niu'yang 甲戊庚牛羊
'jia'wu'xin 甲午辛
'jia'wu'yi'wei'sha'zhong'jin 甲午乙未沙中金
'jia'xu 甲戌
'jia'xu'ji 甲戌己
'jia'xu'yi'hai'shan'tou'huo 甲戌乙亥山头火
'jia'yang'zai'xu 甲养在戌
'jia'yi'bing'ding'wu'ji'geng'xin'ren'gui 甲乙丙丁戊己庚辛壬癸
'jia'yin 甲寅
'jia'yin'gui 甲寅癸
'jia'yin'yi'mao'da'xi'shui 甲寅乙卯大溪水
'jia'zi 甲子
'jia'zi'wu 甲子戊
'jia'zi'yi'chou'hai'zhong'jin 甲子乙丑海中金
'jian'feng'jin 剑锋金
'jian'ji 见机
'jian'xia'shui 涧下水
'jiang'xing 将星
'jie'cai 劫财
'jie'kong 截空
'jie'lu 截路
'jie'mei 姐妹
'jie'qi 接气
'jie'sha 劫杀
'jie'sha 劫煞
'jin'bo'jin 金箔金
'jin'ju 金局
'jin'ke'mu 金克木
'jin'ku 金库
'jin'ma'ji 进马忌
'jin'mu'shui'huo'tu 金木水火土
'jin'ren'si'hai'shi'wei'xian 金人巳亥始为先
'jin'sheng'shui 金生水
'jin'si'ju 金四局
'jin'tui'ma 进退马
'jin'yao 金爻
'jin'yu 金舆
'jin'zhu'qi'you'lang 金猪岂有郎
'jin'zhu'yi 金主义
'jing'gua 静卦
'jing'lan'chong 井栏冲
'jing'lan'she 井栏射
'jing'men 惊门
'jing'men 景门
'jing'pan 静盘
'jing'quan'shui 井泉水
'jing'yao 静爻
'jing'zhai 静宅
'jiu'bing'shi'ju'yi 九丙十居乙
'jiu'chan'ji 纠缠忌
'jiu'di 九地
'jiu'er 九二
'jiu'san 九三
'jiu'si 九四
'jiu'tian 九天
'jiu'wu 九五
'jiu'yi 九一
'ju'men 巨门
'jue'ming'ji 绝命忌
'jue'ming'po'jun'jin'xing 绝命破军金星
'jun'yao 君爻
'kai'men 开门
'kan'gong 坎宫
'kan'gong'ba'gua 坎宫八卦
'kan'gua 坎卦
'kan'liu 坎六
'kan'wei'shui 坎为水
'kan'yi'gong 坎一宫
'kan'zhong'man 坎中满
'ke'ru 科入
'ke'xie 克泄
'kong'wang 空亡
'kun'ba 坤八
'kun'er'gong 坤二宫
'kun'gong 坤宫
'kun'gong'ba'gua 坤宫八卦
'kun'gua 坤卦
'kun'liu'duan 坤六断
'kun'long'bei'shang 困龙被伤
'kun'wei'di 坤为地
'kun'zao 坤造
'lao'yang 老阳
'lao'yin 老阴
'lei'di'yu 雷地豫
'lei'feng'heng 雷风恒
'lei'huo'feng 雷火丰
'lei'shan'xiao'guo 雷山小过
'lei'shui'jie 雷水解
'lei'tian'da'zhuang 雷天大壮
'lei'ze'gui'mei 雷泽归妹
'li'gong 离宫
'li'gong'ba'gua 离宫八卦
'li'gua 离卦
'li'jiu'gong 离九宫
'li'san 离三
'li'wei'huo 离为火
'li'xu'zhong 李虚中
'li'zhong'xu 离中虚
'lian'zhen 廉贞
'lian'zhu'ju 连珠局
'liang'yi 两仪
'lin'guan 临官
'ling'xing 铃星
'liu'ba'wei'zu 六八为足
'liu'cai 流财
'liu'chong 六冲
'liu'chong'gua 六冲卦
'liu'er 六二
'liu'fu 流父
'liu'fu 流福
'liu'guan 流官
'liu'hai 六害
'liu'ji 流疾
'liu'ming 流命
'liu'nian 流年
'liu'nian'tai'sui 流年太岁
'liu'pu 流仆
'liu'qi 流妻
'liu'qian 流迁
'liu'qin 六亲
'liu'ren 六壬
'liu'ri 流日
'liu'san 六三
'liu'sha'wen'qu'shui'xing 六煞文曲水星
'liu'shen 六神
'liu'shi'hua'jia 六十花甲
'liu'shi'jia'zi 六十甲子
'liu'shi'si'gua 六十四卦
'liu'shou 六兽
'liu'si 六四
'liu'tian 流田
'liu'wen'yuan 刘文元
'liu'wu 六五
'liu'xin'feng'hu'ma 六辛逢虎马
'liu'xiong 流兄
'liu'yao 六爻
'liu'yi 六一
'liu'yi'ji'xing 六仪击刑
'liu'yue 流月
'liu'zi 流子
'long'chi 龙池
'long'dun 龙遁
'long'tou 龙头
'long'wei 龙尾
'long'yao 龙腰
'lu'bang'tu 路傍土
'lu'cun 禄存
'lu'he 六合
'lu'he'gua 六合卦
'lu'ji'jiao'zhan 禄忌交战
'lu'lu'zi 路碌子
'lu'pang'tu 路旁土
'lu'ru 禄入
'lu'shen 禄神
'lu'sui'ji'zou 禄随忌走
'lu'zhong'huo 炉中火
'man'qian'zi 曼倩子
'mao'chen 卯辰
'mao'chen'hai 卯辰害
'mao'mu 卯木
'mao'mu'fu'mu 卯木父母
'mao'mu'fu'mu'chi'shi 卯木父母持世
'mao'mu'guan'gui 卯木官鬼
'mao'mu'guan'gui'chi'shi 卯木官鬼持世
'mao'mu'qi'cai 卯木妻财
'mao'mu'qi'cai'chi'shi 卯木妻财持世
'mao'mu'xiong'di 卯木兄弟
'mao'mu'xiong'di'chi'shi 卯木兄弟持世
'mao'mu'zi'sun 卯木子孙
'mao'mu'zi'sun'chi'shi 卯木子孙持世
'mao'ri 卯日
'mao'shi 卯时
'mao'xing'fa 昴星法
'mao'xing'ke 昴星课
'mao'xu 卯戌
'mao'xu'he 卯戌合
'mao'xu'he'hua'huo 卯戌合化火
'mao'you 卯酉
'mao'yue 卯月
'mei'hua'yi 梅花易
'men'ke'gong 门克宫
'men'po 门迫
'meng'zhong'ji 孟仲季
'ming'dong 明动
'ming'gong 命宫
'ming'gua 命卦
'ming'li 命理
'ming'li'tan'yuan 命理探原
'ming'yun 命运
'mo'chuan 末传
'mou'xing 谋星
'mu'hu'ding'ju'shuang 木虎定居孀
'mu'huo'she'wu'xu 木火蛇无婿
'mu'ju 木局
'mu'jue'tai'yang 墓绝胎养
'mu'ke'tu 木克土
'mu'ku 木库
'mu'ren'hai'mao'si'ye'yan 木人亥卯四野眼
'mu'san'ju 木三局
'mu'shen'bu'ming 墓神不明
'mu'sheng'huo 木生火
'mu'yao 木爻
'mu'yu 沐浴
'mu'yu'bai'di 沐浴败地
'mu'yu'tao'hua 沐浴桃花
'mu'zhu'ren 木主仁
'na'jia 纳甲
'na'yin 纳音
'nan'fang'huo 南方火
'nei'gua 内卦
'nei'wai 内外
'ni'shui'ji 逆水忌
'ni'zong'shun'ling 逆总顺零
'nian'gan 年干
'nian'ming 年命
'nian'yue'ri 年月日
'nian'zhu 年柱
'nian'zhu'guan'sui'yun'cheng 年柱管岁运程
'niao'die'xue 鸟跌穴
'pai'gua 排卦
'pang'tong'gua 旁通卦
'pao'qian 抛钱
'pi'lei'huo 霹雷火
'pi'li'huo 霹雳火
'pian'cai 偏财
'pian'guan 偏官
'ping'di'mu 平地木
'ping'tu'mu 平土木
'ping'xiang 平相
'po'cai 破财
'po'jun 破军
'po'sui 破碎
'pu'yi 仆役
'qi'cai 妻财
'qi'cai'chen'tu 妻财辰土
'qi'cai'chen'tu'chi'shi 妻财辰土持世
'qi'cai'chi'shi 妻财持世
'qi'cai'chou'tu 妻财丑土
'qi'cai'chou'tu'chi'shi 妻财丑土持世
'qi'cai'hai'shui 妻财亥水
'qi'cai'hai'shui'chi'shi 妻财亥水持世
'qi'cai'mao'mu 妻财卯木
'qi'cai'mao'mu'chi'shi 妻财卯木持世
'qi'cai'shen'jin 妻财申金
'qi'cai'shen'jin'chi'shi 妻财申金持世
'qi'cai'si'huo 妻财巳火
'qi'cai'si'huo'chi'shi 妻财巳火持世
'qi'cai'wei'tu 妻财未土
'qi'cai'wei'tu'chi'shi 妻财未土持世
'qi'cai'wu'huo 妻财午火
'qi'cai'wu'huo'chi'shi 妻财午火持世
'qi'cai'xu'tu 妻财戌土
'qi'cai'xu'tu'chi'shi 妻财戌土持世
'qi'cai'yin'mu 妻财寅木
'qi'cai'yin'mu'chi'shi 妻财寅木持世
'qi'cai'you'jin 妻财酉金
'qi'cai'you'jin'chi'shi 妻财酉金持世
'qi'cai'zi'shui 妻财子水
'qi'cai'zi'shui'chi'shi 妻财子水持世
'qi'gua 起卦
'qi'gui'ba'yin'zhong 七癸八寅中
'qi'men 奇门
'qi'men'dun'jia 奇门遁甲
'qi'pan 气盘
'qi'sha 七杀
'qi'shu 气数
'qi'yi'shun'sui 奇仪顺遂
