'ai'guo'zhu'yi 爱国主义
'da'sheng'ji'hu 大声疾呼
'dang'de'jian'du 党的监督
'dang'he'guo'jia'de'sheng'ming'xian 党和国家的生命线
'dao'de'wen'ti 道德问题
'di'dui'fen'zi 敌对分子
'di'dui'shi'li 敌对势力
'du'cai'tong'zhi 独裁统治
'du'cai'zhe 独裁者
'du'cai'zheng'quan 独裁政权
'du'cai'zhi'du 独裁制度
'du'li'zi'zhu 独立自主
'dui'li'tong'yi'ti 对立统一体
'duo'bian'xing 多变性
'duo'dang 多党
'duo'dang'min'zhu 多党民主
'duo'shu'dang 多数党
'duo'shu'pai 多数派
'duo'yuan 多元
'duo'yuan'hua 多元化
'duo'yuan'zheng'ti 多元政体
'duo'yuan'zheng'zhi 多元政治
'en'ge'si'zhu'yi 恩格斯主义
'fa'hui'ren'min'shou'chuang'jing'shen 发挥人民首创精神
'fa'lv'jian'du'gong'zuo 法律监督工作
'fa'lv'jian'du'neng'li'jian'she 法律监督能力建设
'fa'xi'si 法西斯
'fa'xi'si'tong'zhi 法西斯统治
'fa'xi'si'zheng'quan 法西斯政权
'fa'yang'guang'da 发扬光大
'fa'zhan'de'pu'bian'xing 发展的普遍性
'fa'zhan'guan 发展观
'fa'zhan'hao 发展好
'fa'zhan'qu'xiang 发展取向
'fa'zhi 法制
'fa'zhi 法治
'fa'zhi'si'xiang 法治思想
'fan'dui'dang 反对党
'fan'dui'pai 反对派
'fan'dui'tong'zhi 反对统治
'fan'fu'chang'lian'jian'she 反腐倡廉建设
'fang'fa'lun 方法论
'fang'fa'lun'yi'yi 方法论意义
'fang'fan'xing'guan'li 防范性管理
'fei'gong'you'zhi'jing'ji 非公有制经济
'fen'gong'he'li 分工合理
'feng'jian'zhuan'zhi'zhu'yi 封建专制主义
'fu'wu'da'ju 服务大局
'fu'wu'dang'he'guo'jia'gong'zuo'da'ju 服务党和国家工作大局
'fu'wu'wan'shan 服务完善
'fu'wu'xing'guan'li 服务性管理
'fu'xiu'wen'hua 腐朽文化
'gai'ge'bu'fa 改革步伐
'gai'ge'chuang'xin 改革创新
'gai'ge'chuang'xin'jing'shen 改革创新精神
'gai'ge'fa'zhan'wen'ding 改革发展稳定
'gai'ge'kai'fang 改革开放
'gai'ge'qu'xiang 改革取向
'gan'qing'ren'tong 感情认同
'gan'rao'ban'an 干扰办案
'gan'zhua'gan'guan 敢抓敢管
'ge'ji'dang'zu'zhi 各级党组织
'ge'ming'fan'ge'ming 革命反革命
'ge'ming'pi'pan'jing'shen 革命批判精神
'ge'ren'du'cai 个人独裁
'ge'sheng'chan'yao'su'an'gong'xian'can'yu'fen'pei 各生产要素按贡献参与分配
'gen'ben'bao'zheng 根本保证
'gen'ben'li'yi 根本利益
'gen'ben'ren'wu 根本任务
'gen'ben'yao'qiu 根本要求
'gen'ben'zhi'zhen 根本指针
'geng'chong'fen 更充分
'geng'guang'fan 更广泛
'geng'zhen'shi 更真实
'gong'chan 共产
'gong'chan'bao'zheng 共产暴政
'gong'chan'di'guo 共产帝国
'gong'chan'zhu'yi 共产主义
'gong'gu'cheng'guo 巩固成果
'gong'gu'zheng'quan 巩固政权
'gong'he'dang 共和党
'gong'he'guo 共和国
'gong'he'zhi 共和制
'gong'min'quan'li'he'yi'wu 公民权利和义务
'gong'min'zheng'zhi'sheng'huo 公民政治生活
'gong'ping'zheng'yi 公平正义
'gong'shi 共识
'gong'si'jing'ying'cheng'gong'de'yin'su 公司经营成功的因素
'gong'tong'li'xiang 共同理想
'gong'tong'li'yi 共同利益
'gong'you'zhi'jing'ji 公有制经济
'gong'zuo'cheng'xiao 工作成效
'gua'tou'zheng'zhi 寡头政治
'guan'bing'yi'zhi 官兵一致
'guan'che'luo'shi'ke'xue'fa'zhan'guan 贯彻落实科学发展观
'guan'jian'huan'jie 关键环节
'guan'li'you'xu 管理有序
'guang'da'gan'bu'qun'zhong 广大干部群众
'gui'fan'hua 规范化
'gui'fan'shi'chang'jing'ji'zhi'xu 规范市场经济秩序
'gui'fan'xing 规范性
'gui'lv'de'ke'guan'xing'he'pu'bian'xing 规律的客观性和普遍性
'guo'ji'xin'zhi'xu 国际新秩序
'guo'ji'zheng'zhi'jing'ji'xin'zhi'xu 国际政治经济新秩序
'guo'jia'fu'qiang 国家富强
'guo'jia'zheng'quan 国家政权
'guo'wai'liu'xue 国外留学
'guo'ying'cuo'shi 过硬措施
'han'wei'zhe 捍卫者
'he'xie'she'hui 和谐社会
'hong'guan'tiao'kong 宏观调控
'hui'ju'li'liang 汇聚力量
'huo'li'yuan'quan 活力源泉
'ji'ben'dian 基本点
'ji'ben'gang'ling 基本纲领
'ji'ben'guan'dian 基本观点
'ji'ben'guo'qing 基本国情
'ji'ben'jing'yan'jiao'yu 基本经验教育
'ji'ben'lu'xian 基本路线
'ji'ben'xing'shi'jing'zheng'he'zuo'chong'tu 基本形式竞争合作冲突
'ji'ceng'dang'wei 基层党委
'ji'ceng'jian'she 基层建设
'ji'cheng'xing'xiang'dui'wen'ding'xing 继承性相对稳定性
'ji'hua'jing'ji 计划经济
'ji'ji'ying'zao 积极营造
'ji'lv'zuo'feng 纪律作风
'ji'mi 机密
'ji'quan'zheng'zhi 集权政治
'ji'ti'zhu'yi 集体主义
'ji'zhi'xing 机制性
'jia'ge'bian'dong 价格变动
'jia'qiang'ling'dao 加强领导
'jia'zhi'guan 价值观
'jia'zhi'guan'jiao'yu 价值观教育
'jia'zhi'gui'lv 价值规律
'jia'zhi'jue'ding'jia'ge 价值决定价格
'jia'zhi'qu'xiang'duo'yuan'hua 价值取向多元化
'jian'cha'gong'zuo 检察工作
'jian'cha'gong'zuo'kao'he'ping'jia'ti'xi 检察工作考核评价体系
'jian'cha'gong'zuo'yi'ti'hua 检察工作一体化
'jian'chi'wen'hua'chuang'xin'si'ge'tu'jing 坚持文化创新四个途径
'jian'ding'xing 坚定性
'jian'du'you'li 监督有力
'jian'du'zhi'yue'ji'zhi 监督制约机制
'jian'du'zhi'yue'ji'zhi'jian'she 监督制约机制建设
'jian'ku'fen'dou 艰苦奋斗
'jian'li'gui'fan 建立规范
'jian'she'he'xie'wen'hua 建设和谐文化
'jian'she'she'hui'zhu'yi'jing'shen'wen'ming 建设社会主义精神文明
'jian'she'zhe 建设者
'jian'yan'xian'ce 建言献策
'jiang'xin'yu'de'zheng'fu 讲信誉的政府
'jiao'yu'lu'jing'shen 焦裕禄精神
'jie'he'dian 结合点
'jie'nan'shi 解难事
'jie'suan'fang'shi 结算方式
'jin'jiao'cai 进教材
'jin'ke'tang 进课堂
'jin'xue'sheng'tou'nao 进学生头脑
'jing'ji'jian'she 经济建设
'jing'ji'min'zhu 经济民主
'jing'ji'quan'qiu'hua 经济全球化
'jing'ji'ti'zhi 经济体制
'jing'shen'wen'ming 精神文明
'jing'ying 精英
'jing'ying'zheng'zhi 精英政治
'ju'ti'xing'dong 具体行动
'jue'ce'ke'xue 决策科学
'jue'ce'li'min 决策利民
'jue'xin'gan'jin 决心干劲
'jun'zhu'li'xian'zhi 君主立宪制
'jun'zhu'zhi 君主制
'kai'fang'xing'jing'ji'shui'ping 开放型经济水平
'kai'tuo'jin'qu 开拓进取
'kang'mei'yuan'chao 抗美援朝
'kang'mei'yuan'chao'zhan'zheng 抗美援朝战争
'ke'kao'jie'ban'ren 可靠接班人
'ke'xue'fa'zhan 科学发展
'ke'xue'fa'zhan'guan 科学发展观
'ke'xue'li'lun 科学理论
'ke'xue'nei'han 科学内涵
'ke'xue'wen'hua'jiao'yu 科学文化教育
'ke'xue'xing 科学性
'ke'xue'zhi'zheng 科学执政
'lao'dong'er'chong'xing 劳动二重性
'lao'dong'zhe'de'quan'yi 劳动者的权益
'li'guo'zhi'ben 立国之本
'li'jiu'mi'xin 历久弥新
'li'lun'gong'di'zha'shi 理论功底扎实
'li'lun'he'fang'fa 理论和方法
'li'lun'ji'chu 理论基础
'li'lun'ren'tong 理论认同
'li'lun'yi'ju 理论依据
'li'shi'de'bi'ran 历史的必然
'li'shi'de'chuang'zao'zhe 历史的创造者
'li'shi'wei'wu'zhu'yi 历史唯物主义
'li'shun'guan'xi 理顺关系
'li'xiang'guo 理想国
'li'yi'ge'ju 利益格局
'li'yi'ji'tuan 利益集团
'li'zu'ben'zhi 立足本职
'lian'bang'dang 联邦党
'lian'bang'gong'he'guo 联邦共和国
'lian'bang'zhi 联邦制
'lian'jie'gao'xiao 廉洁高效
'lian'xi'de'duo'yang'xing 联系的多样性
'lian'xi'de'ke'guan'xing 联系的客观性
'lian'xi'de'pu'bian'xing 联系的普遍性
'lian'zheng'qin'zheng 廉政勤政
'liang'bu'wu 两不误
'liang'cu'jin 两促进
'liang'dang'zhi 两党制
'liang'dian'lun 两点论
'liang'ge'ji'ben'dian 两个基本点
'liang'ru'wei'chu 量入为出
'lie'ning'shi'zheng'dang 列宁式政党
'lie'ning'zhu'yi 列宁主义
'liu'si'shi'jian 六四事件
'luo'hou'wen'hua 落后文化
'lv'xing'zhi'ze 履行职责
'ma'ke'si'zhu'yi 马克思主义
'ma'lie'zhu'yi 马列主义
'mao'dun'de'ci'yao'fang'mian 矛盾的次要方面
'mao'dun'de'han'yi 矛盾的含义
'mao'dun'de'pu'bian'xing 矛盾的普遍性
'mao'dun'de'te'shu'xing 矛盾的特殊性
'mao'dun'de'tong'yi'xing'yu'dou'zheng'xing 矛盾的同一性与斗争性
'mao'dun'de'zhu'yao'fang'mian 矛盾的主要方面
'mao'ze'dong'si'xiang 毛泽东思想
'meng'de'si'jiu 孟德斯鸠
'min'jin'dang 民进党
'min'yun'fen'zi 民运分子
'min'zhu'dang 民主党
'min'zhu'dang'pai 民主党派
'min'zhu'fa'zhi 民主法治
'min'zhu'gong'he'guo 民主共和国
'min'zhu'gong'he'zhi 民主共和制
'min'zhu'guo'jia 民主国家
'min'zhu'hua 民主化
'min'zhu'hua'jin'cheng 民主化进程
'min'zhu'ji'zhong'zhi 民主集中制
'min'zhu'jian'du 民主监督
'min'zhu'si'xiang 民主思想
'min'zhu'yi'shi 民主意识
'min'zhu'yun'dong 民主运动
'min'zhu'zheng'zhi 民主政治
'min'zhu'zhi'du 民主制度
'min'zhu'zhi'zheng 民主执政
'min'zu'qu'yu'zi'zhi'zhi'du 民族区域自治制度
'min'zu'zhen'xing 民族振兴
'nan'chang'qi'yi 南昌起义
'pei'yang'liang'hao'de'dao'de'feng'shang 培养良好的道德风尚
'pei'yang'wen'ming'feng'shang 培养文明风尚
'ping'deng'xing'guan'li 平等性管理
'qi'ye'lian'he 企业联合
'qian'jin'xing 前进性
'qiang'da'hong'liu 强大洪流
'qiang'guo'zhi'lu 强国之路
'qiang'hua'fa'lv'jian'du 强化法律监督
'qiang'qiang'lian'he 强强联合
'qie'ru'dian 切入点
'qie'shen'li'yi 切身利益
'qin'jian'jie'yue 勤俭节约
'qin'yu'xue'xi 勤于学习
'qing'zheng'lian'jie 清正廉洁
'qiu'shou'qi'yi 秋收起义
'qiu'zhen'wu'shi 求真务实
'qu'li'bi'hai 趋利避害
'qu'zhe'xing 曲折性
'quan'li'yu'yi'wu'tong'yi 权利与义务统一
'quan'li'yuan'ze 权利原则
'quan'li'zhi'heng 权力制衡
'quan'mian'gai'shan'ren'min'sheng'huo 全面改善人民生活
'quan'ze'yi'zhi 权责一致
'que'bao'qu'de'shi'xiao 确保取得实效
'qun'zhong'guan'dian 群众观点
'qun'zhong'jian'du 群众监督
'qun'zhong'lu'xian 群众路线
'ren'da'dai'biao'de'quan'li'he'yi'wu 人大代表的权利和义务
'ren'da'jian'du 人大监督
'ren'lei'she'hui 人类社会
'ren'min'min'zhu'zhuan'zheng 人民民主专政
'ren'min'quan'yi 人民权益
'ren'min'qun'zhong 人民群众
'ren'min'sheng'huo 人民生活
'ren'min'xing'fu 人民幸福
'ren'min'zheng'xie 人民政协
'ren'min'zheng'xie'de'xing'zhi'he'zhi'neng 人民政协的性质和职能
'ren'quan 人权
'ren'sheng'guan 人生观
'ren'sheng'jia'zhi'guan 人生价值观
'ren'shi'lun 认识论
'ren'xing 人性
'ren'zhi 人治
'rui'yi'jin'qu 锐意进取
'san'ge'dai'biao 三个代表
'san'quan'fen'li 三权分立
'shan'yu'lian'xi'shi'ji 善于联系实际
'shang'pin'er'yin'su 商品二因素
'she'hui'cun'zai 社会存在
'she'hui'gong'ping 社会公平
'she'hui'he'xie 社会和谐
'she'hui'jian'she 社会建设
'she'hui'jie'gou 社会结构
'she'hui'mao'dun 社会矛盾
'she'hui'sheng'huo'gong'tong'ti 社会生活共同体
'she'hui'ti'zhi 社会体制
'she'hui'yi'shi 社会意识
'she'hui'zheng'zhi 社会政治
'she'hui'zhu'yi 社会主义
'she'hui'zhu'yi'chu'ji'jie'duan 社会主义初级阶段
'she'hui'zhu'yi'fa'zhi 社会主义法制
'she'hui'zhu'yi'fa'zhi'li'lun 社会主义法制理论
'she'hui'zhu'yi'fa'zhi'li'nian 社会主义法治理念
'she'hui'zhu'yi'ge'ming 社会主义革命
'she'hui'zhu'yi'he'ge'jian'she'zhe 社会主义合格建设者
'she'hui'zhu'yi'he'xie'she'hui 社会主义和谐社会
'she'hui'zhu'yi'he'xin'jia'zhi'ti'xi 社会主义核心价值体系
'she'hui'zhu'yi'li'lun'ti'xi 社会主义理论体系
'she'hui'zhu'yi'min'zhu'fa'zhi 社会主义民主法治
'she'hui'zhu'yi'rong'ru'guan 社会主义荣辱观
'she'hui'zhu'yi'she'hui 社会主义社会
'she'hui'zhu'yi'shi'chang'jing'ji 社会主义市场经济
'she'hui'zhu'yi'shi'chang'jing'ji'ti'zhi 社会主义市场经济体制
'she'hui'zhu'yi'suo'you'zhi 社会主义所有制
'she'hui'zhu'yi'xian'dai'hua 社会主义现代化
'she'hui'zhu'yi'zheng'quan 社会主义政权
'she'hui'zhu'yi'zhi'du 社会主义制度
'shen'ke'bian'dong 深刻变动
'shen'ke'bian'ge 深刻变革
'shen'ke'bian'hua 深刻变化
'shen'ke'tiao'zheng 深刻调整
'shen'ru'guan'che'luo'shi 深入贯彻落实
'shen'sheng'shi'ming 神圣使命
'sheng'chan'jing'ying 生产经营
'sheng'chan'li 生产力
'sheng'cun'fa'zhan 生存发展
'shi'chang'jing'ji 市场经济
'shi'dai'nei'han 时代内涵
'shi'du'xiao'fei 适度消费
'shi'ji'de'kai'chuang'zhe 世纪的开创者
'shi'jian'yu'ren'shi'de'bian'zheng'guan'xi 实践与认识的辩证关系
'shi'jie'guan 世界观
'shi'jie'shi'yong'heng'fa'zhan'de 世界是永恒发展的
'shi'xian'hao 实现好
'shi'xian'zhong'hua'min'zu'wei'da'fu'xing 实现中华民族伟大复兴
'shi'xiao'xing 实效性
'shi'ye'wei'zhong 事业为重
'shi'yong'jia'zhi 使用价值
'shou'li'yi'qu'dong'ban'an 受利益驱动办案
'shou'ru'fen'pei 收入分配
'shou'ru'fen'pei'gong'ping 收入分配公平
'shu'li'zheng'que'de'si'xiang'guan'nian 树立正确的思想观念
'shuai'xian'chui'fan 率先垂范
'shun'fu'wang'fa 顺服王法
'si'fa'gong'zheng 司法公正
'si'xiang'dao'de'jian'she 思想道德建设
'si'xiang'guan'nian 思想观念
'si'xiang'ji'ben'yuan'ze 四项基本原则
'si'xiang'ti'xi 思想体系
'si'xiang'zheng'zhi'jian'she 思想政治建设
'te'quan 特权
'ti'gao'gong'gong'fu'wu'zhi'liang 提高公共服务质量
'ti'gao'xiao'neng 提高效能
'ti'zhi'xing 体制性
'tie'jin'shi'ji 贴近实际
'tong'chou'jian'gu 统筹兼顾
'tong'yi'bu'shu 统一部署
'tong'zhi 统治
'tong'zhi'jie'ji 统治阶级
'tong'zhi'quan 统治权
'tu'chu'wen'ti 突出问题
'tui'dong'li'shi 推动历史
'wai'hui'chu'bei'bian'zhi 外汇储备贬值
'wan'qiang'pin'bo 顽强拼搏
'wang'wo'gong'zuo 忘我工作
'wei'da'qi'zhi 伟大旗帜
'wei'fa'ban'an 违法办案
'wei'fa'zhi'ren 违法之人
'wei'hai'guo'jia'an'quan 危害国家安全
'wei'hu'gong'ping'zheng'yi 维护公平正义
'wei'hu'hao 维护好
'wei'lai'de'fang'xiang 未来的方向
'wei'min'zhang'quan 为民掌权
'wei'wu'lun 唯物论
'wei'wu'shi'guan 唯物史观
'wen'bu'fa'zhan 稳步发展
'wen'bu'tui'jin 稳步推进
'wen'hua'jian'she 文化建设
'wen'hua'ti'zhi 文化体制
'wen'ming'xiang'he 文明祥和
'wen'ming'zhi'fa 文明执法
'wu'chan'jie'ji 无产阶级
'wu'chang'xing'guan'li 无偿性管理
'wu'si'feng'xian 无私奉献
'wu'zhi'cheng'dan'zhe 物质承担者
'wu'zhi'wen'ming 物质文明
'wu'zhi'yu'yi'shi'bian'zheng'guan'xi'yuan'li 物质与意识辩证关系原理
'wu'zhong'jing'shen 五种精神
'wu'zhuang'tou'nao 武装头脑
'xi'fang'zheng'zhi 西方政治
'xi'fang'zheng'zhi'zhe'xue 西方政治哲学
'xi'tong'si'wei 系统思维
'xi'yin'li 吸引力
'xian'fa 宪法
'xian'jin'dian'xing 先进典型
'xian'jin'jie'suan 现金结算
'xian'ming'de'min'zu'xing 鲜明的民族性
'xian'ming'te'se 鲜明特色
'xian'shi'de'xuan'ze 现实的选择
'xian'zheng 宪政
'xiao'fei'guan 消费观
'xiao'fei'lei'xing 消费类型
'xiao'lv'yu'gong'ping 效率与公平
'xie'tiao'guan'xi 协调关系
'xie'tiao'xing 协调性
'xin'qi'dai 新期待
'xin'shi'dai'de'lao'dong'zhe 新时代的劳动者
'xin'xing'de'min'zu'guan'xi 新型的民族关系
'xin'xing'shi 新形势
'xin'yao'qiu 新要求
'xing'guo'zhi'yao 兴国之要
'xing'shi'zheng'ce'jiao'yu 形势政策教育
'xing'wang'fa'da 兴旺发达
'xing'wei'gui'fan 行为规范
'xuan'chuan'shan'dong 宣传煽动
'xuan'ze'xing 选择性
'xue'bang'yang 学榜样
'ya'an'bu'cha 压案不查
'yan'jiu'dui'xiang 研究对象
'yan'jiu'fang'fa 研究方法
'yan'jiu'qu'xiang 研究取向
'ye'wu'jing'tong 业务精通
'yi'bei'li'ren'min'wei'chi 以背离人民为耻
'yi'cheng'shi'xin'yong'wei'rong 以诚实信用为荣
'yi'chong'shang'ke'xue'wei'rong 以崇尚科学为荣
'yi'dang'zhi 一党制
'yi'dang'zhuan'zheng 一党专政
'yi'de'zhi'guo 以德治国
'yi'fa'xing'zheng'de'zheng'fu 依法行政的政府
'yi'fa'zhi'guo 以法治国
'yi'fa'zhi'guo 依法治国
'yi'fa'zhi'zheng 依法执政
'yi'fu'liang'yuan 一府两院
'yi'fu'wu'ren'min'wei'rong 以服务人民为荣
'yi'ge'zhong'xin 一个中心
'yi'hao'yi'wu'lao'wei'chi 以好逸恶劳为耻
'yi'hui'min'zhu 议会民主
'yi'hui'zheng'zhi 议会政治
'yi'hui'zhi 议会制
'yi'jian'ku'fen'dou'wei'rong 以艰苦奋斗为荣
'yi'jian'li'wang'yi'wei'chi 以见利忘义为耻
'yi'jiao'she'yin'yi'wei'chi 以骄奢淫逸为耻
'yi'jing'ji'jian'she'wei'zhong'xin 以经济建设为中心
'yi'kao'qun'zhong 依靠群众
'yi'qie'cong'shi'ji'chu'fa 一切从实际出发
'yi'quan'mou'si'ban'an 以权谋私办案
'yi're'ai'zu'guo'wei'rong 以热爱祖国为荣
'yi'ren'wei'ben 以人为本
'yi'ren'wei'ben'zhi'zheng'wei'min 以人为本执政为民
'yi'shi'de'neng'dong'zuo'yong 意识的能动作用
'yi'sun'ren'li'ji'wei'chi 以损人利己为耻
'yi'tuan'jie'hu'zhu'wei'rong 以团结互助为荣
'yi'wei'fa'luan'ji'wei'chi 以违法乱纪为耻
'yi'wei'hai'zu'guo'wei'chi 以危害祖国为耻
'yi'xin'qin'lao'dong'wei'rong 以辛勤劳动为荣
'yi'yi'ren'shi 异议人士
'yi'yu'mei'wu'zhi'wei'chi 以愚昧无知为耻
'yi'yuan'hua 一元化
'yi'yuan'hua'ling'dao 一元化领导
'yi'zun'ji'shou'fa'wei'rong 以遵纪守法为荣
'yong'yu'kai'tuo 勇于开拓
'yong'yu'kai'tuo'chuang'xin 勇于开拓创新
'you'an'bu'ban 有案不办
'you'hua'gong'gong'zi'yuan'pei'zhi 优化公共资源配置
'you'hua'jian'cha'zhi'neng'pei'zhi 优化检察职能配置
'you'hua'jie'gou 优化结构
'you'huan'yi'shi 忧患意识
'you'li'wu'qi 有力武器
'you'xiu'wen'hua'neng'feng'fu'ren'de'jing'shen'shi'jie 优秀文化能丰富人的精神世界
'you'xiu'wen'hua'neng'zeng'qiang'ren'de'jing'shen'li'liang 优秀文化能增强人的精神力量
'you'xiu'wen'hua'su'zao'ren'sheng 优秀文化塑造人生
'you'yue'xing 优越性
'yu'fang'wei'zhu 预防为主
'yu'lun'fen'wei 舆论氛围
'yuan'li'nei'rong'wu'zhi'jue'ding'yi'shi 原理内容物质决定意识
'zai'ti'kua'guo'gong'si 载体跨国公司
'ze'ren'yi'shi 责任意识
'zeng'jia'she'hui'wu'zhi'cai'fu 增加社会物质财富
'zeng'zhi'shui'de'zuo'yong 增值税的作用
'zhan'lue'si'wei 战略思维
'zhao'cha'ju 找差距
'zhen'dui'xing 针对性
'zhen'li'shi'ju'ti'de'you'tiao'jian'de 真理是具体的有条件的
'zhen'ya 镇压
'zheng'fa'dui'wu 政法队伍
'zheng'fa'gong'zuo 政法工作
'zheng'fa'ji'guan 政法机关
'zheng'jian 政见
'zheng'quan'yi'shi 政权意识
'zheng'que'dao'lu 正确道路
'zheng'que'fang'xiang 正确方向
'zheng'ti 政体
'zheng'ti'he'bu'fen'de'bian'zheng'guan'xi 整体和部分的辩证关系
'zheng'xie'jian'du 政协监督
'zheng'zhi'can'yu 政治参与
'zheng'zhi'fa'zhan 政治发展
'zheng'zhi'gua'tou 政治寡头
'zheng'zhi'ji'shi 政治基石
'zheng'zhi'jia'zhi 政治价值
'zheng'zhi'jian'ding 政治坚定
'zheng'zhi'jian'she 政治建设
'zheng'zhi'jie'gou 政治结构
'zheng'zhi'ke'kao 政治可靠
'zheng'zhi'li'chang 政治立场
'zheng'zhi'quan'li 政治权力
'zheng'zhi'ren'tong 政治认同
'zheng'zhi'shi'wu 政治事物
'zheng'zhi'si'xiang 政治思想
'zheng'zhi'ti'zhi 政治体制
'zheng'zhi'wen'ti 政治问题
'zheng'zhi'xian'shi 政治现实
'zheng'zhi'xian'xiang 政治现象
'zheng'zhi'xie'shang 政治协商
'zheng'zhi'xing 政治性
'zheng'zhi'yi'shi 政治意识
'zheng'zhi'zhe'xue 政治哲学
'zheng'zhi'zhi'du 政治制度
'zhi'du'hua 制度化
'zhi'du'she'ji 制度设计
'zhi'fa'ban'an'liu'cheng 执法办案流程
'zhi'fa'bu'yan 执法不严
'zhi'fa'gong'zheng 执法公正
'zhi'fa'shi'jian 执法实践
'zhi'fa'si'xiang 执法思想
'zhi'fa'wei'min 执法为民
'zhi'fa'zuo'feng 执法作风
'zhi'hui'he'li'liang 智慧和力量
'zhi'shu'dang'wei 直属党委
'zhi'xing'shun'chang 执行顺畅
'zhi'zheng'wei'min 执政为民
'zhong'da'zhan'lue'si'xiang 重大战略思想
'zhong'dian'lun 重点论
'zhong'guo'chuan'tong 中国传统
'zhong'guo'gong'chan'dang 中国共产党
'zhong'guo'te'se 中国特色
'zhong'guo'te'se'she'hui'zhu'yi 中国特色社会主义
'zhong'guo'te'se'she'hui'zhu'yi'shi'ye 中国特色社会主义事业
'zhong'hua'wen'hua'de'du'te'xing 中华文化的独特性
'zhong'jian'pian'you 中间偏右
'zhong'jian'pian'zuo 中间偏左
'zhong'yang'ji'quan 中央集权
'zhong'yang'ji'quan'zhi 中央集权制
'zhong'yang'xue'xi'shi'jian'huo'dong 中央学习实践活动
'zhong'yang'zhi'dao'jian'cha'zu 中央指导检查组
'zhong'yao'jiang'hua 重要讲话
'zhong'yao'ling'yu 重要领域
'zhong'yao'zhi'dao'fang'zhen 重要指导方针
'zhong'yao'zuo'yong 重要作用
'zhong'yi'yuan 众议院
'zhu'dong'xing 主动性
'zhu'liu'yi'shi 主流意识
'zhu'yao'mao'dun 主要矛盾
'zhu'zhong'shi'ji'xiao'guo 注重实际效果
'zhuan'zhang'jie'suan 转账结算
'zhuan'zheng 专政
'zhuan'zhi'guo'jia 专制国家
'zhuan'zhi'li'lun 专制理论
'zhuan'zhi'si'xiang 专制思想
'zhuan'zhi'tong'zhi 专制统治
'zhuan'zhi'yi'shi 专制意识
'zhuan'zhi'zheng'quan 专制政权
'zhuan'zhi'zheng'zhi 专制政治
'zhuan'zhi'zhi'du 专制制度
'zhuo'li'jie'jue 着力解决
'zi'ben'zhu'yi 资本主义
'zi'chan'jie'ji 资产阶级
'zi'jue'shou'fa 自觉守法
'zi'jue'xing 自觉性
'zi'jue'xue'fa 自觉学法
'zi'jue'yong'fa 自觉用法
'zi'li'geng'sheng 自力更生
'zi'min'dang 自民党
'zi'shen'jian'she 自身建设
'zi'wo'fu'wu 自我服务
'zi'wo'guan'li 自我管理
'zi'wo'jian'du 自我监督
'zi'wo'jiao'yu 自我教育
'zi'you'min'zhu'dang 自由民主党
'zi'you'ping'deng 自由平等
'zong'ti'xiao'kang 总体小康
'zong'tong'zhi 总统制
'zong'zhi'quan'xin'quan'yi'wei'ren'min'fu'wu 宗旨全心全意为人民服务
'zou'zhuan'gai 走转改
'zu'zhi'jian'she 组织建设
'zu'zhi'ling'dao 组织领导
