'a'er'tai'xue'ji 阿尔泰雪鸡
'bai'yao'cao'yu 白腰草鹬
'bai'yao'cha'wei'hai'yan 白腰叉尾海燕
'bai'yao'que'qu 白腰鹊鸲
'bai'yao'wen'niao 白腰文鸟
'bai'yao'xue'que 白腰雪雀
'bai'yao'yan'ou 白腰燕鸥
'bai'yao'yu'yan 白腰雨燕
'bai'yao'zhu'ding'que 白腰朱顶雀
'bai'zhen'he 白枕鹤
'bai'zui'duan'feng'tou'yan'ou 白嘴端凤头燕鸥
'ban'bei'da'wei'ying 斑背大尾莺
'ban'bei'qian'ya 斑背潜鸭
'ban'bei'yan'wei 斑背燕尾
'ban'bei'zao'mei 斑背噪鹛
'ban'chi'feng'tou'juan 斑翅凤头鹃
'ban'chi'liang'niao 斑翅椋鸟
'ban'chi'liao'mei 斑翅鹩鹛
'ban'chi'shan'chun 斑翅山鹑
'ban'chi'zhu'que 斑翅朱雀
'ban'dong 斑鸫
'ban'hou'xi'mei 斑喉希鹛
'ban'ji'di'jiu 斑姬地鸠
'ban'ji'weng 斑姬鹟
'ban'ji'zhuo'mu'niao 斑姬啄木鸟
'ban'jing'sui'mei 斑颈穗鹛
'ban'juan'ju 斑鹃鵙
'ban'lian'hai'fan'ya 斑脸海番鸭
'ban'liang'niao 斑椋鸟
'ban'lin'ge 斑林鸽
'ban'lu 斑鹭
'ban'pu'yu 半蹼鹬
'ban'tou'da'cui'niao 斑头大翠鸟
'ban'tou'qiu'sha'ya 斑头秋沙鸭
'ban'tou'xiu'liu 斑头鸺鹠
'ban'tou'yan 斑头雁
'ban'wei'cheng'yu 斑尾塍鹬
'ban'wei'juan'jiu 斑尾鹃鸠
'ban'wei'lin'ge 斑尾林鸽
'ban'wei'zhen'ji 斑尾榛鸡
'ban'wen'niao 斑文鸟
'ban'weng 斑鹟
'ban'xie'ji'mei 斑胁姬鹛
'ban'xie'tian'ji 斑胁田鸡
'ban'xiong'bin'yu 斑胸滨鹬
'ban'xiong'duan'chi'huang'ying 斑胸短翅蝗莺
'ban'xiong'gou'zui'mei 斑胸钩嘴鹛
'ban'xiong'tian'ji 斑胸田鸡
'ban'xiong'ya'que 斑胸鸦雀
'ban'xiong'zao'mei 斑胸噪鹛
'ban'yao'yan 斑腰燕
'ban'yu'gou 斑鱼狗
'ban'zui'ti'hu 斑嘴鹈鹕
'ban'zui'ya 斑嘴鸭
'bao'feng'hu 暴风鹱
'bao'xing'ge'dong 宝兴歌鸫
'bao'xing'mei'que 宝兴鹛雀
'bei'chang'wei'shan'que 北长尾山雀
'bei'duan'chi'huang'ying 北短翅蝗莺
'bei'hong'wei'qu 北红尾鸲
'bei'huang'ying 北蝗莺
'bei'hui'weng 北灰鹟
'bei'ji'ou 北极鸥
'bei'liang'niao 北椋鸟
'bei'ling'jiao'xiao 北领角鸮
'bei'liu 北鹨
'bei'zao'ya 北噪鸦
'bei'zhu'que 北朱雀
'bei'zong'fu'ying'juan 北棕腹鹰鹃
'bi'shi'weng'ying 比氏鹟莺
'bian'zui'hai'que 扁嘴海雀
'bo'ban'bao 波斑鸨
'bu'shi'liu 布氏鹨
'bu'shi'wei'ying 布氏苇莺
'cai'guan 彩鹳
'cai'hong'feng'hu 彩虹蜂虎
'cai'huan 彩鹮
'cai'yu 彩鹬
'cang'lu 苍鹭
'cang'mei'huang'ying 苍眉蝗莺
'cang'tou'yan'que 苍头燕雀
'cang'xiao 仓鸮
'cang'ying 苍鹰
'cao'di'liu 草地鹨
'cao'lu 草鹭
'cao'lv'li'ying 草绿篱莺
'cao'xiao 草鸮
'cao'yuan'bai'ling 草原百灵
'cao'yuan'diao 草原雕
'cao'yuan'shi 草原石
'cao'yuan'yao 草原鹞
'cha'wei'ou 叉尾鸥
'cha'wei'tai'yang'niao 叉尾太阳鸟
'chang'er'xiao 长耳鸮
'chang'jiao'yang'ji 长脚秧鸡
'chang'wei'di'dong 长尾地鸫
'chang'wei'feng'ye'ying 长尾缝叶莺
'chang'wei'kuo'zui'niao 长尾阔嘴鸟
'chang'wei'liao'mei 长尾鹩鹛
'chang'wei'lin'xiao 长尾林鸮
'chang'wei'qi'mei 长尾奇鹛
'chang'wei'que 长尾雀
'chang'wei'shan'jiao'niao 长尾山椒鸟
'chang'wei'ya 长尾鸭
'chang'wei'ye'ying 长尾夜鹰
'chang'wei'ying'que 长尾鹦雀
'chang'wei'zei'ou 长尾贼鸥
'chang'zhi'bin'yu 长趾滨鹬
'chang'zui'bai'ling 长嘴百灵
'chang'zui'ban'hai'que 长嘴斑海雀
'chang'zui'ban'pu'yu 长嘴半蹼鹬
'chang'zui'bu'zhu'niao 长嘴捕蛛鸟
'chang'zui'di'dong 长嘴地鸫
'chang'zui'gou'zui'mei 长嘴钩嘴鹛
'chang'zui'jian'heng 长嘴剑鸻
'chang'zui'liao'mei 长嘴鹩鹛
'chang'zui'wu'jiu 长嘴兀鹫
'cheng'ban'chi'liu'ying 橙斑翅柳莺
'cheng'chi'zao'mei 橙翅噪鹛
'cheng'fu'ye'bei 橙腹叶鹎
'cheng'jia'mei'hua'que 橙颊梅花雀
'cheng'tou'di'dong 橙头地鸫
'cheng'xiong'ji'weng 橙胸姬鹟
'cheng'xiong'lv'jiu 橙胸绿鸠
'cheng'xiong'yao'juan 橙胸咬鹃
'chi'bang'ya 赤膀鸭
'chi'fei'cui 赤翡翠
'chi'fu'ying 赤腹鹰
'chi'hong'shan'jiao'niao 赤红山椒鸟
'chi'jing'dong 赤颈鸫
'chi'jing'he 赤颈鹤
'chi'jing'ya 赤颈鸭
'chi'lu 池鹭
'chi'ma'ya 赤麻鸭
'chi'xiong'dong 赤胸鸫
'chi'xiong'ni'zhuo'mu'niao 赤胸拟啄木鸟
'chi'xiong'zhu'ding'que 赤胸朱顶雀
'chi'xiong'zhuo'mu'niao 赤胸啄木鸟
'chi'xu'ye'feng'hu 赤须夜蜂虎
'chi'zhu'que 赤朱雀
'chi'zui'qian'ya 赤嘴潜鸭
'chou'ya 丑鸭
'chun'lan'xian'weng 纯蓝仙鹟
'chun'se'shan'jiao'ying 纯色山鹪莺
'chun'se'yan'yan 纯色岩燕
'chun'se'zao'mei 纯色噪鹛
'chun'se'zhuo'hua'niao 纯色啄花鸟
'cui'jin'juan 翠金鹃
'da'bai'lu 大白鹭
'da'ban'zhuo'mu'niao 大斑啄木鸟
'da'bao 大鸨
'da'biao'yu 大杓鹬
'da'bin'yu 大滨鹬
'da'cao'mei 大草鹛
'da'chang'zui'di'dong 大长嘴地鸫
'da'du'juan 大杜鹃
'da'duan'zhi'bai'ling 大短趾百灵
'da'feng'tou'yan'ou 大凤头燕鸥
'da'hong'guan 大红鹳
'da'huang'guan'zhuo'mu'niao 大黄冠啄木鸟
'da'hui'zhuo'mu'niao 大灰啄木鸟
'da'jin'bei'zhuo'mu'niao 大金背啄木鸟
'da'juan'ju 大鹃鵙
'da'kuang 大鵟
'da'lv'que'bei 大绿雀鹎
'da'ma'zhan 大麻鳽
'da'ni'zhuo'mu'niao 大拟啄木鸟
'da'pan'wei 大盘尾
'da'sha'zhui 大沙锥
'da'shan'que 大山雀
'da'shi'heng 大石鸻
'da'shi'ji 大石鸡
'da'shu'ying 大树莺
'da'tian'e 大天鹅
'da'wei'ying 大苇莺
'da'wu'li'han'ya 达乌里寒鸦
'da'xian'weng 大仙鹟
'da'ying'juan 大鹰鹃
'da'zao'mei 大噪鹛
'da'zhu'que 大朱雀
'da'zi'xiong'ying'wu 大紫胸鹦鹉
'da'zui'wu'ya 大嘴乌鸦
'dai'ju 戴菊
'dai'sheng 戴胜
'dan'bei'di'dong 淡背地鸫
'dan'ding'he 丹顶鹤
'dan'fu'dian'chi'zhu'que 淡腹点翅朱雀
'dan'hou'liao'mei 淡喉鹩鹛
'dan'huang'yao'liu'ying 淡黄腰柳莺
'dan'hui'mei'yan'wu 淡灰眉岩鹀
'dan'jiao'liu'ying 淡脚柳莺
'dan'jiao'shu'ying 淡脚树莺
'dan'lv'ju'mei 淡绿鵙鹛
'dan'mei'liu'ying 淡眉柳莺
'dan'mei'que'mei 淡眉雀鹛
'dan'se'ya'sha'yan 淡色崖沙燕
'dan'wei'weng'ying 淡尾鹟莺
'dan'zu'hu 淡足鹱
'dao'tian'wei'ying 稻田苇莺
'di'di'xiu'yan'niao 低地绣眼鸟
'di'shan'que 地山雀
'di'shi'dong 蒂氏鸫
'dian'chi'zhu'que 点翅朱雀
'dian'xiong'ya'que 点胸鸦雀
'diao'xiao 雕鸮
'dong'fang'bai'guan 东方白鹳
'dong'fang'ban 东方斑
'dong'fang'da'wei'ying 东方大苇莺
'dong'fang'heng 东方鸻
'dong'fang'shou'dai 东方寿带
'dong'fang'tian'liu 东方田鹨
'dong'fang'zhong'du'juan 东方中杜鹃
'dong'ge'lin'ying 东歌林莺
'dong'ji 董鸡
'dong'ya'huang'ying 东亚蝗莺
'dong'ya'shi 东亚石
'dou'yan 豆雁
'du'ya 渡鸦
'duan'chi'shu'ying 短翅树莺
'duan'er'xiao 短耳鸮
'duan'wei'hu 短尾鹱
'duan'wei'jiao'mei 短尾鹪鹛
'duan'wei'xin'tian'weng 短尾信天翁
'duan'wei'ya'que 短尾鸦雀
'duan'wei'ying'wu 短尾鹦鹉
'duan'wei'zei'ou 短尾贼鸥
'duan'zhi'bai'ling 短趾百灵
'duan'zhi'diao 短趾雕
'duan'zui'dou'yan 短嘴豆雁
'duan'zui'jin'si'yan 短嘴金丝燕
'duan'zui'shan'jiao'niao 短嘴山椒鸟
'dun'chi'wei'ying 钝翅苇莺
'e'mei'liu'ying 峨眉柳莺
'e'mei'weng'ying 峨眉鹟莺
'fa'guan'juan'wei 发冠卷尾
'fan'bei'qian'ya 帆背潜鸭
'fan'shi'yu 翻石鹬
'fan'zui'yu 反嘴鹬
'fang'wei'weng 方尾鹟
'fei'lv'bin'ban'shan'wei'weng 菲律宾斑扇尾鹟
'fei'lv'bin'juan'jiu 菲律宾鹃鸠
'fei'xiong'ying'wu 绯胸鹦鹉
'fen'hong'fu'ling'que 粉红腹岭雀
'fen'hong'liang'niao 粉红椋鸟
'fen'hong'shan'jiao'niao 粉红山椒鸟
'fen'hong'xiong'liu 粉红胸鹨
'fen'hong'yan'ou 粉红燕鸥
'fen'mei'zhu'que 粉眉朱雀
'feng'tou'bai'ling 凤头百灵
'feng'tou'feng'ying 凤头蜂鹰
'feng'tou'mai'ji 凤头麦鸡
'feng'tou'qian'ya 凤头潜鸭
'feng'tou'que'ying 凤头雀莺
'feng'tou'que'zui'bei 凤头雀嘴鹎
'feng'tou'wu 凤头鹀
'feng'tou'ying 凤头鹰
'feng'tou'ying'diao 凤头鹰雕
'feng'tou'yu'yan 凤头雨燕
'fu'shi'ou 弗氏鸥
'gan'su'liu'ying 甘肃柳莺
'gao'qiao'yu 高跷鹬
'gao'shan'duan'chi'huang'ying 高山短翅蝗莺
'gao'shan'jin'chi'que 高山金翅雀
'gao'shan'ling'que 高山岭雀
'gao'shan'wu'jiu 高山兀鹫
'gao'shan'xuan'mu'que 高山旋木雀
'gao'shan'yu'yan 高山雨燕
'gao'yuan'shan'chun 高原山鹑
'gao'yuan'yan'liu 高原岩鹨
'ge'bai'ling 歌百灵
'gou'zui'lin'ju 钩嘴林鵙
'gou'zui'yuan'wei'hu 钩嘴圆尾鹱
'gu'sha'zhui 孤沙锥
'gu'tong'se'juan'wei 古铜色卷尾
'guan'ban'xi'niao 冠斑犀鸟
'guan'hai'que 冠海雀
'guan'wen'liu'ying 冠纹柳莺
'guan'xiao'zui'wu'ya 冠小嘴乌鸦
'guan'yu'gou 冠鱼狗
'guan'zui'fei'cui 鹳嘴翡翠
'gui'xiao 鬼鸮
'hai'lu'ci 海鸬鹚
'hai'nan'hua'mei 海南画眉
'hai'nan'kong'que'zhi 海南孔雀雉
'hai'nan'lan'xian'weng 海南蓝仙鹟
'hai'nan'liu'ying 海南柳莺
'hai'nan'shan'zhe'gu 海南山鹧鸪
'hai'nan'zhan 海南鳽
'han'ya 寒鸦
'he'bei'bo'lao 褐背伯劳
'he'bei'weng'ju 褐背鹟鵙
'he'bei'zhen'wei'yu'yan 褐背针尾雨燕
'he'chi'cha'wei'hai'yan 褐翅叉尾海燕
'he'chi'xue'que 褐翅雪雀
'he'chi'ya'juan 褐翅鸦鹃
'he'chi'ya'que 褐翅鸦雀
'he'chi'yan'ou 褐翅燕鸥
'he'ding'que'mei 褐顶雀鹛
'he'e'zhuo'mu'niao 褐额啄木鸟
'he'er'ying 褐耳鹰
'he'guan'juan'sun 褐冠鹃隼
'he'guan'shan'que 褐冠山雀
'he'he'wu 褐河乌
'he'hou'shi'mi'niao 褐喉食蜜鸟
'he'hou'xuan'mu'que 褐喉旋木雀
'he'hui'que 褐灰雀
'he'jian'niao 褐鲣鸟
'he'lan'shan'hong'wei'qu 贺兰山红尾鸲
'he'lan'shan'yan'liu 贺兰山岩鹨
'he'lian'que'mei 褐脸雀鹛
'he'lin'xiao 褐林鸮
'he'liu'ying 褐柳莺
'he'ma'ji 褐马鸡
'he'ping'niao 和平鸟
'he'que 禾雀
'he'tou'dong 褐头鸫
'he'tou'feng'mei 褐头凤鹛
'he'tou'que'mei 褐头雀鹛
'he'tou'shan'que 褐头山雀
'he'tou'wu 褐头鹀
'he'tou'zhu'que 褐头朱雀
'he'wu 河乌
'he'xie'que'mei 褐胁雀鹛
'he'xiong'shan'zhe'gu 褐胸山鹧鸪
'he'xiong'weng 褐胸鹟
'he'xiong'zao'mei 褐胸噪鹛
'he'ya'que 褐鸦雀
'he'yan'hu 褐燕鹱
'he'yan'liu 褐岩鹨
'he'yan'ou 河燕鸥
'he'yu 鹤鹬
'he'yu'xiao 褐渔鸮
'hei'bai'lin 黑白林
'hei'bai'ling 黑百灵
'hei'ban'huang'ying 黑斑蝗莺
'hei'bei'xin'tian'weng 黑背信天翁
'hei'bei'yan'wei 黑背燕尾
'hei'cha'wei'hai'yan 黑叉尾海燕
'hei'chang'wei'zhi 黑长尾雉
'hei'chi'chang'jiao'yu 黑翅长脚鹬
'hei'chi'que'bei 黑翅雀鹎
'hei'chi'yan'heng 黑翅燕鸻
'hei'chi'yuan 黑翅鸢
'hei'ding'lin'ying 黑顶林莺
'hei'ding'ma'que 黑顶麻雀
'hei'ding'qi'mei 黑顶奇鹛
'hei'ding'wa'kou'ye'ying 黑顶蛙口夜鹰
'hei'ding'zao'mei 黑顶噪鹛
'hei'duan'jiao'bei 黑短脚鹎
'hei'e'bo'lao 黑额伯劳
'hei'e'shan'zao'mei 黑额山噪鹛
'hei'e'shu'que 黑额树鹊
'hei'fu'bin'yu 黑腹滨鹬
'hei'fu'jun'jian'niao 黑腹军舰鸟
'hei'fu'ou 黑浮鸥
'hei'fu'sha'ji 黑腹沙鸡
'hei'fu'she'ti 黑腹蛇鹈
'hei'fu'yan'ou 黑腹燕鸥
'hei'guan 黑鹳
'hei'guan'huang'bei 黑冠黄鹎
'hei'guan'juan'sun 黑冠鹃隼
'hei'guan'liang'niao 黑冠椋鸟
'hei'guan'shan'que 黑冠山雀
'hei'guan'sou'mei 黑冠薮鹛
'hei'guan'zhan 黑冠鳽
'hei'hai'fan'ya 黑海番鸭
'hei'hou'dong 黑喉鸫
'hei'hou'feng'ye'ying 黑喉缝叶莺
'hei'hou'ge'qu 黑喉歌鸲
'hei'hou'hong'tun'bei 黑喉红臀鹎
'hei'hou'hong'wei'qu 黑喉红尾鸲
'hei'hou'mao'jiao'yan 黑喉毛脚燕
'hei'hou'qian'niao 黑喉潜鸟
'hei'hou'shan'jiao'ying 黑喉山鹪莺
'hei'hou'shan'que 黑喉山雀
'hei'hou'shi 黑喉石
'hei'hou'xue'que 黑喉雪雀
'hei'hou'ya'que 黑喉鸦雀
'hei'hou'yan'liu 黑喉岩鹨
'hei'hou'zao'mei 黑喉噪鹛
'hei'hu 黑鹱
'hei'jiao'xin'tian'weng 黑脚信天翁
'hei'jing'chang'wei'zhi 黑颈长尾雉
'hei'jing'he 黑颈鹤
'hei'jing'lu'ci 黑颈鸬鹚
'hei'juan'wei 黑卷尾
'hei'ke'feng'mei 黑颏凤鹛
'hei'ke'guo'jiu 黑颏果鸠
'hei'ke'sui'mei 黑颏穗鹛
'hei'lian'pi'lu 黑脸琵鹭
'hei'lian'weng'ying 黑脸鹟莺
'hei'lian'zao'mei 黑脸噪鹛
'hei'lin'ge 黑林鸽
'hei'ling'liang'niao 黑领椋鸟
'hei'ling'zao'mei 黑领噪鹛
'hei'mei'chang'wei'shan'que 黑眉长尾山雀
'hei'mei'liu'ying 黑眉柳莺
'hei'mei'ni'zhuo'mu'niao 黑眉拟啄木鸟
'hei'mei'wei'ying 黑眉苇莺
'hei'mei'ya'que 黑眉鸦雀
'hei'qin'ji 黑琴鸡
'hei'shui'ji 黑水鸡
'hei'tou'bai'huan 黑头白鹮
'hei'tou'bei 黑头鹎
'hei'tou'huang'li 黑头黄鹂
'hei'tou'jiao'zhi 黑头角雉
'hei'tou'jin'chi'que 黑头金翅雀
'hei'tou'la'zui'que 黑头蜡嘴雀
'hei'tou'pan'que 黑头攀雀
'hei'tou'qi'mei 黑头奇鹛
'hei'tou'sui'mei 黑头穗鹛
'hei'tou'wu 黑头鹀
'hei'tou'zao'ya 黑头噪鸦
'hei'wei'cheng'yu 黑尾塍鹬
'hei'wei'di'ya 黑尾地鸦
'hei'wei'la'zui'que 黑尾蜡嘴雀
'hei'wei'ou 黑尾鸥
'hei'wei'zhan 黑苇鳽
'hei'wu'jiu 黑兀鹫
'hei'xian 黑鹇
'hei'xiong'dong 黑胸鸫
'hei'xiong'ge'qu 黑胸歌鸲
'hei'xiong'ma'que 黑胸麻雀
'hei'xiong'tai'yang'niao 黑胸太阳鸟
'hei'xiong'xie'zui'sui'mei 黑胸楔嘴穗鹛
'hei'yan 黑雁
'hei'yao'bin'yu 黑腰滨鹬
'hei'yuan 黑鸢
'hei'zhen'huang'li 黑枕黄鹂
'hei'zhen'wang'weng 黑枕王鹟
'hei'zhen'yan'ou 黑枕燕鸥
'hei'zhuo'mu'niao 黑啄木鸟
'hei'zui'ou 黑嘴鸥
'hei'zui'song'ji 黑嘴松鸡
'heng'ban'fu'xiao'xiao 横斑腹小鸮
'heng'ban'lin'ying 横斑林莺
'hong'bei'bo'lao 红背伯劳
'hong'bei'hong'wei'qu 红背红尾鸲
'hong'chi'feng'tou'juan 红翅凤头鹃
'hong'chi'ju'mei 红翅鵙鹛
'hong'chi'lv'jiu 红翅绿鸠
'hong'chi'sha'que 红翅沙雀
'hong'chi'sou'mei 红翅薮鹛
'hong'chi'xuan'bi'que 红翅旋壁雀
'hong'chi'zao'mei 红翅噪鹛
'hong'ding'lv'jiu 红顶绿鸠
'hong'ding'mei 红顶鹛
'hong'ding'zao'mei 红顶噪鹛
'hong'e'jin'chi'que 红额金翅雀
'hong'er'bei 红耳鹎
'hong'fu'bin'yu 红腹滨鹬
'hong'fu'hong'wei'qu 红腹红尾鸲
'hong'fu'hui'que 红腹灰雀
'hong'fu'jiao'zhi 红腹角雉
'hong'fu'jin'ji 红腹锦鸡
'hong'fu'shan'que 红腹山雀
'hong'fu'yao'juan 红腹咬鹃
'hong'hou'ge'qu 红喉歌鸲
'hong'hou'ji'weng 红喉姬鹟
'hong'hou'liu 红喉鹨
'hong'hou'qian'niao 红喉潜鸟
'hong'hou'shan'zhe'gu 红喉山鹧鸪
'hong'hou'zhi'chun 红喉雉鹑
'hong'jiao'ban'yang'ji 红脚斑秧鸡
'hong'jiao'jian'niao 红脚鲣鸟
'hong'jiao'sun 红脚隼
'hong'jiao'tian'ji 红脚田鸡
'hong'jiao'yu 红脚鹬
'hong'jiao'zui'que 红交嘴雀
'hong'jing'ban'pu'yu 红颈瓣蹼鹬
'hong'jing'bin'yu 红颈滨鹬
'hong'jing'lv'zhuo'mu'niao 红颈绿啄木鸟
'hong'jing'wei'wu 红颈苇鹀
'hong'jue'xiao 红角鸮
'hong'lian'lu'ci 红脸鸬鹚
'hong'ling'lv'ying'wu 红领绿鹦鹉
'hong'mei'hua'que 红梅花雀
'hong'mei'jin'chi'que 红眉金翅雀
'hong'mei'song'que 红眉松雀
'hong'mei'zhu'que 红眉朱雀
'hong'sun 红隼
'hong'tou'chang'wei'shan'que 红头长尾山雀
'hong'tou'hui'que 红头灰雀
'hong'tou'qian'ya 红头潜鸭
'hong'tou'sui'mei 红头穗鹛
'hong'tou'ya'que 红头鸦雀
'hong'tou'yao'juan 红头咬鹃
'hong'tou'zao'mei 红头噪鹛
'hong'tui'xiao'sun 红腿小隼
'hong'wei'ban'dong 红尾斑鸫
'hong'wei'bo'lao 红尾伯劳
'hong'wei'ge'qu 红尾歌鸲
'hong'wei'meng 红尾鹲
'hong'wei'shui'qu 红尾水鸲
'hong'wei'zao'mei 红尾噪鹛
'hong'xie'lan'wei'qu 红胁蓝尾鸲
'hong'xie'xiu'yan'niao 红胁绣眼鸟
'hong'xiong'hei'yan 红胸黑雁
'hong'xiong'heng 红胸鸻
'hong'xiong'ji'weng 红胸姬鹟
'hong'xiong'jiao'zhi 红胸角雉
'hong'xiong'qiu'sha'ya 红胸秋沙鸭
'hong'xiong'shan'zhe'gu 红胸山鹧鸪
'hong'xiong'tian'ji 红胸田鸡
'hong'xiong'zhu'que 红胸朱雀
'hong'xiong'zhuo'hua'niao 红胸啄花鸟
'hong'yan 鸿雁
