'ai'ce'ban 矮侧板
'che'gou'huan'chong'zhuang'zhi'ya'suo'yu'la 车钩缓冲装置压缩与拉
'che'gou'jian'xi 车钩间隙
'che'gou'lian'jie'xian 车钩连接线
'che'gou'lun'kuo 车钩轮廓
'che'gou'san'tai'zuo'yong 车钩三态作用
'che'gou'tuo'liang 车钩托梁
'che'gou'zhong'xin'xian'gao'du 车钩中心线高度
'che'hao 车号
'che'liang'bao'fei'xian'du 车辆报废限度
'che'liang'biao'ji 车辆标记
'che'liang'chang'ju'bi 车辆长距比
'che'liang'chang'xiu 车辆厂修
'che'liang'chong'ji'shi'yan 车辆冲击试验
'che'liang'da'xiu 车辆大修
'che'liang'ding'ju 车辆定距
'che'liang'dong'li'xue'shi'yan 车辆动力学试验
'che'liang'duan'jian'xiu'tai'wei'li'yong'lv 车辆段检修台位利用率
'che'liang'duan'xiu 车辆段修
'che'liang'fen'san'gong'dian 车辆分散供电
'che'liang'fu'xiu 车辆辅修
'che'liang'gao'du 车辆高度
'che'liang'gou'zao'su'du 车辆构造速度
'che'liang'heng'xiang 车辆横向
'che'liang'hu'zhuang 车辆互撞
'che'liang'ji'shu'lv'li'bo 车辆技术履历薄
'che'liang'ji'suan'chang'du 车辆计算长度
'che'liang'ji'zhong'gong'dian 车辆集中供电
'che'liang'jian'xiu'lv 车辆检修率
'che'liang'jian'xiu'she'bei 车辆检修设备
'che'liang'jian'xiu'ting'liu'shi'jian 车辆检修停留时间
'che'liang'jian'xiu'xian'du 车辆检修限度
'che'liang'jian'xiu'zai'xiu'shi'jian 车辆检修在修时间
'che'liang'jiao'zhi'liu'gong'dian 车辆交直流供电
'che'liang'nian'xiu 车辆年修
'che'liang'ping'jun'chang'du 车辆平均长度
'che'liang'qiang'du'shi'yan 车辆强度试验
'che'liang'quan'chang 车辆全长
'che'liang'quan'zhou'ju 车辆全轴距
'che'liang'she'ji'gui'fan 车辆设计规范
'che'liang'xiu'li'chang 车辆修理厂
'che'liang'yun'ying 车辆运营
'che'liang'yun'yong'wei'xiu 车辆运用维修
'che'liang'yun'yong'xian'du 车辆运用限度
'che'liang'zhi'jian 车辆制检
'che'liang'zhi'zao'chang 车辆制造厂
'che'liang'zhong'xiu 车辆中修
'che'liang'zhou'jian 车辆轴检
'che'liang'zhuang'xie'xiu 车辆装卸修
'che'liang'zong'xiang 车辆纵向
'che'liang'zui'da'gao'du 车辆最大高度
'che'liang'zui'da'kuan'du 车辆最大宽度
'che'liang'zui'da'rong'xu'su'du 车辆最大容许速度
'che'lun 车轮
'che'lun'bu'yuan 车轮不圆
'che'lun'chang 车轮厂
'che'lun'jing'ping'heng'jian'yan 车轮静平衡检验
'che'lun'kou'huan 车轮扣环
'che'lun'tie'kao 车轮贴靠
'che'lun'zhi'jing 车轮直径
'che'shang'gei'shui'zhuang'zhi 车上给水装置
'che'shang'shui'xiang 车上水箱
'che'ti'ce'qing'zhuang'zhi 车体侧倾装置
'che'ti'chang'du 车体长度
'che'ti'gu'jia 车体骨架
'che'ti'kuan'du 车体宽度
'che'ti'nei'chang 车体内长
'che'ti'nei'gao 车体内高
'che'ti'nei'kuan 车体内宽
'che'ti'nei'zhong'xin'chu'gao'du 车体内中心处高度
'che'ti'wan'qu'zhen'dong'shi'yan 车体弯曲振动试验
'che'xia'dian'qi'cha'zuo 车下电气插座
'che'xia'gei'shui'zhuang'zhi 车下给水装置
'che'xia'shui'xiang 车下水箱
'che'zhan'da'ting 车站大厅
'che'zhang'fa 车长阀
'che'zhong 车种
'che'zhou'chao'sheng'tan'shang 车轴超声探伤
'che'zhou'dian'ci'tan'shang 车轴电磁探伤
'che'zhou'fa'dian'ji'kong'zhi'xiang 车轴发电机控制箱
'che'zhou'mo'ni'shi'yan'tai 车轴模拟试验台
'che'zhou'wan'qu 车轴弯曲
'cheng'zai'an 承载鞍
'cheng'zuo'shu'shi'du 乘座舒适度
'chong'bian'fa 冲便阀
'chong'dian'cha'tou 充电插头
'chong'ji'zuo 冲击座
'chou'ye'guan'zuo 抽液管座
'chu'cang'shi 储藏室
'chu'fa 出发
'chu'fang 厨房
'chu'fang'che 厨房车
'chuan'dong'zhou 传动轴
'chuang'dai 窗带
'chuang'jian'ban 窗间板
'chuang'juan'lian 窗卷帘
'chuang'kuang 窗框
'chuang'lian 窗帘
'chuang'suo 窗锁
'chuang'tai 窗台
'chuang'tou'deng 床头灯
'chui'shi'shi 炊事室
'chui'zhi'dong'zai'he 垂直动载荷
'chui'zhi'zai'he 垂直载荷
'cong'ban 从板
'cun'che'chang 存车场
'cun'xing'li 存行李
'da'heng'liang 大横梁
'da'qi'ya'shi'cai'nuan'zhuang'zhi 大气压式采暖装置
'da'qi'ya'shi'nuan'qi'tiao'zheng'fa 大气压式暖汽调整阀
'da'yao'dai 大腰带
'dan'ce'ta'mian'zhi'dong 单侧踏面制动
'dan'che'shi'yan 单车试验
'dan'che'shi'yan'qi 单车试验器
'dan'cheng'piao 单程票
'dan'guan'ni'bian'qi 单管逆变器
'dan'guan'ying'guang'deng 单管荧光灯
'dan'gui'tie'lu 单轨铁路
'dan'tong'bi'deng 单筒壁灯
'dan'xian'zhi 单线制
'dan'yuan'zhi'dong 单元制动
'dan'zhou'zhuan'xiang'jia 单轴转向架
'dao'ba'liang 刀把梁
'dao'ban 道班
'dao'ban'gong 道班工
'dao'cha 道岔
'dao'cha 道碴
'dao'cha'hou'du 道碴厚度
'dao'che'shi'ke'biao 到车时刻表
'dao'ding 道钉
'dao'ding'chui 道钉锤
'dao'kuang'shi'zhuan'xiang'jia 导框式转向架
'dao're'xi'shu 导热系数
'dao'zhan 到站
'deng'che 登车
'di'ban'mian'gao'du 地板面高度
'di'ban'mian'ji 地板面积
'di'ban'pai'shui'zhuang'zhi 地板排水装置
'di'bang 地磅
'di'er'xi'xuan'gua 第二系悬挂
'di'jia 底架
'di'jia'chang'du 底架长度
'di'jia'kuan'du 底架宽度
'di'mo'he'cheng'zha'wa 低摩合成闸瓦
'di'tie 地铁
'di'yi'di'er'xi'tan'huang'nao'du'bi 第一第二系弹簧挠度比
'di'yi'xi'xuan'gua 第一系悬挂
'dian'dong'shui'beng 电动水泵
'dian'dong'xin'hao 电动信号
'dian'huo'qi 点火器
'dian'jia're'qi 电加热器
'dian'jia'shi'qi 电加湿器
'dian'kong'zhi'dong'zhuang'zhi 电空制动装置
'dian'li'dian'lan'ji'lian'jie'qi 电力电缆及连接器
'dian'qi'xi'tong 电气系统
'dian're'cai'nuan'zhuang'zhi 电热采暖装置
'dian're'guan 电热管
'dian'shan 电扇
'dian'zhan'lie'che'che'zu 电站列车车组
'diao'che 调车
'diao'che'chang 调车场
'diao'du 调度
'diao'du'yuan 调度员
'die'ban'tan'huang 叠板弹簧
'ding'ce 定测
'ding'che 顶车
'ding'che'zuo 顶车座
'ding'deng 顶灯
'ding'gai'zuo 顶盖座
'ding'qi'xiu 定期修
'ding'xing'li'shui'fa 丁形离水阀
'ding'ya'feng'gang 定压风缸
'dong'ban 动板
'dong'li'shi'yan'che 动力试验车
'dong'li'xi'shu 动力系数
'du'ban 渡板
'du'pin'che 毒品车
'duan'bu'sai'men 端部塞门
'duan'gui 断轨
'duan'jie'guan 端接管
'duan'liang 端梁
'duan'men 端门
'duan'qiang'bao'ban 端墙包板
'duan'xiu'xun'huan'xi'shu 段修循环系数
'duan'zhu 端柱
'dui'jiao'cheng 对角撑
'dun'gui'zhuan'zhe'qi 钝轨转辙器
'dun'shi'bian'qi 蹲式便器
'duo'ci'mo'hao'che'lun 多次磨耗车轮
'duo'xian'tie'lu 多线铁路
'duo'zhou'zhuan'xiang'jia 多轴转向架
'er'deng'piao 二等票
'er'deng'wo'che 二等卧车
'er'san'ya'li'hun'he'ji'gou 二三压力混合机构
'er'wei'ce 二位侧
'er'wei'duan 二位端
'er'ya'li'ji'gou 二压力机构
'er'zhou'che 二轴车
'er'zhou'zhuan'xiang'jia 二轴转向架
'fa'che'shi'ke'biao 发车时刻表
'fa'che'xin'hao 发车信号
'fa'dian'shi 发电室
'fa'huo'ren 发货人
'fan'ban 翻板
'fang'chen'ban 防尘板
'fang'chen'ban'zuo 防尘板座
'fang'feng'fa 放风阀
'fang'fu'zhen'mu 防腐枕木
'fang'hua'qi 防滑器
'fei'nian'zhe'zhi'dong 非粘着制动
'fei'ta'mian'zhi'dong 非踏面制动
'fei'yun'yong'che'xi'shu 非运用车系数
'fen'jian'shi 分检室
'fen'mo'huo'wu'che 粉末货物车
'fen'pei'fa'shi'yan'tai 分配阀试验台
'feng'dang 风挡
'feng'dang'huan'chong'ban 风挡缓冲板
'feng'dang'mian'ban 风挡面板
'feng'dong'shi'cha'lou'dou'che 风动石碴漏斗车
'feng'kou 风口
'feng'lun 风轮
'fu'ban 辐板
'fu'ban'jing'xiang'lie'wen 辐板径向裂纹
'fu'ban'kong 辐板孔
'fu'ban'yuan'zhou'lie'wen 辐板圆周裂纹
'fu'feng'gang 副风缸
'fu'jia'feng'gang 附加风缸
'fu'shi'dao'cha 复式道岔
'fu'shou 扶手
'fu'zhu'liang 辅助梁
'gan'huo'che 赶火车
'gan'jian 杆件
'gan'mo'ca'shi'zhou'xiang'ding'wei'zhuang'zhi 干摩擦式轴箱定位装置
'gan'xian 干线
'gan'zao'qi 干燥器
'gan'zhe'che 甘蔗车
'gang'gan'shang'la'gan 杠杆上拉杆
'gang'gui'lian'jie 钢轨连接
'gang'xing'ding'wei'lun'dui 刚性定位轮对
'gang'zhen 钢枕
'gao'du'tiao'zheng'fa 高度调整阀
'gao'e'tou'wan'guan 高鹅头弯管
'gao'ji'bao'fang'wo'che 高级包房卧车
'gao'jia'lie'che 高架列车
'gao'jia'tie'lu 高架铁路
'gao'mo'he'cheng'zha'wa 高摩合成闸瓦
'gao'ya'guan'che 高压罐车
'ge're'peng'che 隔热棚车
'gei'qi'tiao'zheng'fa 给气调整阀
'gei'shui'feng'gang 给水风缸
'gei'shui'jian'ya'fa 给水减压阀
'gei'shui'tiao'zheng'fa 给水调整阀
'gei'shui'xi'tong 给水系统
'gong'ju'shi 工具室
'gong'wu'fen'duan 工务分段
'gou'er 钩耳
'gou'jia'ce'liang 构架侧梁
'gou'jia'duan'liang 构架端梁
'gou'jia'fu'zhu'liang 构架辅助梁
'gou'jia'heng'liang 构架横梁
'gou'jia'zong'liang 构架纵梁
'gou'jian 构件
'gou'jian 钩肩
'gou'jing 钩颈
'gou'she 钩舌
'gou'she'xiao 钩舌销
'gou'shen 钩身
'gou'suo 钩锁
'gou'suo'xiao 钩锁销
'gou'ti 钩体
'gou'tou'zheng'mian 钩头正面
'gou'wan'wai'bi 钩腕外臂
'gou'wei 钩尾
'gou'wei'xiao 钩尾销
'gu'ding'gang'gan 固定杠杆
'gu'ding'zhou'ju 固定轴距
'gu'ding'zuo'yi 固定座椅
'gua'che 挂车
'gua'wa'shi 挂瓦室
'guan'che 罐车
'guan'che'rong'ji'ji'biao 罐车容积计表
'guan'duan'ban 罐端板
'guan'ti 罐体
'guan'ti'an'zuo 罐体鞍座
'guan'ti'chang'du 罐体长度
'gui'cheng 轨撑
'gui'ding 轨顶
'gui'jie'luo'shuan 轨节螺栓
'gui'ju 轨距
'gui'tou 轨头
'gui'tou'jian'xi 轨头间隙
'gun'dong'yuan 滚动圆
'gun'dong'zhou'cheng'gu'zhang'zi'dong'jian'ce 滚动轴承故障自动检测
'gun'dong'zhou'cheng'jian 滚动轴承间
'gun'quan 滚圈
'gun'zhu'zhou'cheng'shi'yan'tai 滚柱轴承试验台
'guo'lv'qi 过滤器
'han'dong 涵洞
'he'bei'zuo 合背座
'he'zao'che 合造车
'he'zao'ke'che 合造客车
'heng'dai 横带
'heng'jia'shi'gang'jie'gou 桁架式钢结构
'heng'wen'peng'zhang'fa 恒温膨胀阀
'heng'xiang'la'gan 横向拉杆
'heng'xiang'wen'ding'xing 横向稳定性
'hong'wai'xian'zhou'wen'jian'ce'suo 红外线轴温检测所
'hong'wai'xian'zhou'wen'tan'ce'xi'tong 红外线轴温探测系统
'hou'che'shi 候车室
'hou'cong'ban'zuo 后从板座
'hou'dang'ban 后挡板
'hu'jiao'zhuang'zhi 呼叫装置
'hu'lu'gong'ren 护路工人
'hua'chuang 滑窗
'hua'fa 滑阀
'huan'che 换车
'huan'chong'gan 缓冲杆
'huan'chong'liang 缓冲梁
'huan'chong'qi 缓冲器
'huan'chong'qi'fan'tan 缓冲器反弹
'huan'chong'qi'neng'liang'xi'shou'lv 缓冲器能量吸收率
'huan'chong'qi'rong'liang 缓冲器容量
'huan'chong'qi'xiang'ti 缓冲器箱体
'huan'chong'qi'xing'cheng 缓冲器行程
'huan'chong'qi'yu'jin'li 缓冲器预紧力
'huan'chong'qi'zu'kang'li 缓冲器阻抗力
'huan'jie'bu 缓解部
'huan'jie'fa 缓解阀
'huang'shang'zhong'liang 簧上重量
'huang'xia'zhong'liang 簧下重量
'hui'feng'dao 回风道
'hun'he'lie'che 混合列车
'hun'ning'tu'zhen 混凝土枕
'huo'che 火车
'huo'che 货车
'huo'che'bao'you'liang 货车保有量
'huo'che'ji'shu'jiao'jie'suo 货车技术交接所
'huo'che'jiao'deng 货车脚蹬
'huo'che'men'suo 货车门锁
'huo'che'nei'qiang'ban 货车内墙板
'huo'che'shang'ce'liang 货车上侧梁
'huo'che'shang'kai'men 货车上开门
'huo'che'tou 火车头
'huo'che'xi'shua'suo 货车洗刷所
'huo'che'xia'kai'men 货车下开门
'huo'che'yao'zhen'dang 货车摇枕挡
'huo'che'zhan 火车站
'huo'che'zhan'xiu'suo 货车站修所
'huo'ding'gai 活顶盖
'huo'dong'cha'xin 活动岔心
'huo'dong'zhong'liang'di'jia 活动中梁底架
'huo'dong'zuo'yi 活动座椅
'huo'wu'ji'lei'sun'shang'zhi'shu 货物积累损伤指数
'huo'wu'lie'che'jian'xiu'suo 货物列车检修所
'huo'wu'lie'che'qu'duan'jian'xiu'suo 货物列车区段检修所
'huo'wu'lie'che'yi'ban'jian'xiu'suo 货物列车一般检修所
'huo'wu'lie'che'zhu'yao'jian'xiu'suo 货物列车主要检修所
'huo'yu'che 活鱼车
'huo'yun 货运
'huo'yun'zhan 货运站
'ji'che'ku 机车库
'ji'chen'qi 集尘器
'ji'chu'zhi'dong'zhuang'zhi 基础制动装置
'ji'dong'ya'dao'che 机动压道车
'ji'gui 挤轨
'ji'jian'ban'yun 计件搬运
'ji'piao 季票
'ji'shi'ban'yun 计时搬运
'ji'shu'zheng'bei 技术整备
'ji'xie'bao'wen'che'liang'duan 机械保温车辆段
'ji'xie'leng'cang'che'zu 机械冷藏车组
'ji'xie'tong'feng'zhuang'zhi 机械通风装置
'ji'xie'xin'hao 机械信号
'ji'zhong'shi'ni'bian'qi 集中式逆变器
'jia'che 架车
'jia'mei'zhan 加煤站
'jia'qin'che 家禽车
'jia'shi'shi 驾驶室
'jia'su'zhi'dong'fa'bu 加速制动阀部
'jia'wen'che 加温车
'jia'wen'tao 加温套
'jian'bi 间壁
'jian'gui'zhuan'zhe'qi 尖轨转辙器
'jian'heng'che 检衡车
'jian'piao 剪票
'jian'piao'kou 检票口
'jian'piao'yuan 检票员
'jian'ya'zhong'ji'fa 减压中继阀
'jian'zhen'qi'shi'yan'tai 减振器试验台
'jian'zhen'zhi'shu 减振指数
'jiang'ya'dian'zu 降压电阻
'jiang'ya'qi'shi 降压气室
'jiao'cha'dian 交叉点
'jiao'deng 角灯
'jiao'liu'gan'ying'zi'fa'dian'ji 交流感应子发电机
'jiao'yu'che 教育车
'jiao'zhu 角柱
'jie'duan'sai'men 截断塞门
'jie'gou'zhuang'zhi 解钩装置
'jie'xian'duan'zi 接线端子
'jie'xian'he 接线盒
'jin'feng'dao 进风道
'jin'ji'bu 紧急部
'jin'ji'feng'gang 紧急风缸
'jin'ji'zha 紧急闸
'jin'ji'zhi'dong'fa 紧急制动阀
'jin'qi'fa 进气阀
'jin'zhan 进站
'jin'zhan'xin'hao 进站信号
'jing'qiang'du'shi'yan'tai 静强度试验台
'jing'zhi'dong'lv 净制动率
'ju'le'bu'che 俱乐部车
'ju'ye'wo 聚液窝
'jun'heng'feng'gang 均衡风缸
'jun'heng'gang'gan 均衡杠杆
'jun'heng'la'gan 均衡拉杆
'ka'dai 卡带
'kai'chang'shi'wo'che 开敞式卧车
'kai'suo'wei'zhi 开锁位置
'kan'ce 勘测
'kang'ji'chu'wen'ding'xing 抗挤出稳定性
'kang'qing'fu'wen'ding'xing 抗倾覆稳定性
'kang'tuo'gui'wen'ding'xing 抗脱轨稳定性
'ke'che 客车
'ke'che'bai'men 客车摆门
'ke'che'bao'you'liang 客车保有量
'ke'che'ge'men 客车隔门
'ke'che'ji'shu'zheng'bei'suo 客车技术整备所
'ke'che'jiao'deng 客车脚蹬
'ke'che'jiao'deng'men 客车脚蹬门
'ke'che'men'suo 客车门锁
'ke'che'nei'qiang'ban 客车内墙板
'ke'che'pei'shu'liang'shu 客车配属辆数
'ke'che'shang'ce'liang 客车上侧梁
'ke'che'yao'men 客车摇门
'ke'che'zheng'bei'ku 客车整备库
'ke'che'zhou'wen'bao'jing 客车轴温报警
'ke'ding'di'ban 可钉地板
'ke'huo'che'chang'duan'xiu'gui'cheng 客货车厂段修规程
'ke'piao'gai'chuo'ji 客票盖戳机
'ke'shi 客室
'ke'shi'tong'dao 客室通道
'ke'tang'zuo'yi 可躺座椅
'ke'ting'che 客厅车
'ke'yun 客运
'kong'che 空车
'kong'qi'bao 空气包
'kong'qi'kong'zhi'zhuang'zhi 空气控制装置
'kong'qi'tiao'jie'zhuang'zhi 空气调节装置
'kong'qi'yu'leng'zhuang'zhi 空气预冷装置
'kong'qi'zhen'kong'liang'yong'zhi'dong'zhuang'zhi 空气真空两用制动装置
'kong'qi'zhi'dong'zhuang'zhi 空气制动装置
'kong'qi'zi'dong'kong'zhi'zhuang'zhi 空气自动控制装置
'kong'tiao'ke'che 空调客车
'kong'zhi'dian'lan'lian'jie'qi 控制电缆连接器
'kong'zhi'shi 控制室
'kong'zhi'xiang 控制箱
'kong'zhong'che'zhi'dong'zhuang'zhi 空重车制动装置
'kong'zhong'che'zhuan'huan'sai'men 空重车转换塞门
'kong'zou'ju'li 空走距离
'kong'zou'shi'jian 空走时间
'kou'che'tiao'jian 扣车条件
'ku'jian 库检
'ku'li 苦力
'kuai'che 快车
'kuai'su'jie'tou 快速接头
'kuan'gui'xian'lu 宽轨线路
'kuang'qu'tie'lu 矿区铁路
'la'ban'shi'zhou'xiang'ding'wei'zhuang'zhi 拉板式轴箱定位装置
'la'gan 拉杆
'la'gan'shi'zhou'xiang'ding'wei'zhuang'zhi 拉杆式轴箱定位装置
'la'gou'jian'cha'ju'li 拉钩检查距离
'la'men 拉门
'lai'hui'piao 来回票
'lan'gui 缆轨
'lan'suo'tie'lu 缆索铁路
'le'wang'che 了望车
'le'wang'chuang 了望窗
'leng'cang'che 冷藏车
'leng'cang'jia'wen'che 冷藏加温车
'leng'dong'ban'leng'cang'che 冷冻板冷藏车
'leng'ning'qi 冷凝器
'leng'ning'qi'feng'dao 冷凝器风道
'leng'zhu'tie'lun 冷铸铁轮
'li'shui'ge'zi 离水格子
'lian'gui'xian 联轨线
'lian'gui'zhan 联轨站
'lian'he'ji'chen'jie'duan'sai'men 联合集尘截断塞门
'lian'jie'la'gan 连接拉杆
'lian'suo 联锁
'lian'yun'ke'piao 联运客票
'lian'zi'gou 链子钩
'liang'xi'xuan'gua 两系悬挂
'lie'che'guan 列车管
'lie'che'wei'bu'feng'ya'fan'kui 列车尾部风压反馈
'lie'che'yuan 列车员
'lie'che'yuan'shi 列车员室
'lie'che'zhang 列车长
'lie'che'zhi'dong'jian'yi'shi'yan 列车制动简易试验
'lie'che'zhi'dong'liu'fang'shi'yan 列车制动溜放试验
'lie'che'zhi'dong'quan'bu'shi'yan 列车制动全部试验
'lie'che'zhi'dong'shi'yan'qi 列车制动试验器
'lie'che'zong'xiang'dong'li 列车纵向动力
'lie'jian 列检
'lin'jie'zu'ni 临界阻尼
'lin'jie'zu'ni'zhi 临界阻尼值
'lin'xiu 临修
'lin'xiu'xian 临修线
'ling'dan'ban'gong'che 零担办公车
'liu'xian'xing'che'ti 流线型车体
'liu'xian'xing'lie'che 流线型列车
'lou'dou 漏斗
'lou'dou'che 漏斗车
'lou'dou'men'feng'shou'dong'chuan'dong'zhuang'zhi 漏斗门风手动传动装置
'lu'di 路堤
'lu'pai 路牌
'lu'qian 路签
'lun'dui'cun'fang'chang 轮对存放场
'lun'dui'dong'ping'heng'jian'yan 轮对动平衡检验
'lun'dui'nei'ce'ju 轮对内侧距
'lun'gu 轮毂
'lun'gu'chang'du 轮毂长度
'lun'gu'hou'du 轮毂厚度
'lun'gu'hou'du 轮箍厚度
'lun'gu'kong 轮毂孔
'lun'gu'kong'zhi'jing 轮毂孔直径
'lun'gu'po'lie 轮毂破裂
'lun'gu'song'dong 轮毂松动
'lun'gu'zhi'jing 轮毂直径
'lun'wang 轮辋
'lun'wang'kuan'du 轮辋宽度
'lun'wang'shao'shang 轮辋烧伤
'lun'wang'zhan'chu 轮辋辗出
'lun'xin 轮心
'lun'yuan 轮缘
'lun'yuan'chui'zhi'mo'hao 轮缘垂直磨耗
'lun'yuan'gao'du 轮缘高度
'lun'yuan'hou'du 轮缘厚度
'lun'zhong'jian'zai'lv 轮重减载率
'lun'zhuang'pan'xing'zhi'dong 轮装盘形制动
'lun'zuo 轮座
'luo'chui'shi'yan 落锤试验
'luo'gan'shi'zhi'leng'ya'suo'ji 螺杆式制冷压缩机
'lv'ke'lie'che'jian'xiu'suo 旅客列车检修所
'lv'ke'pi'lao'shi'jian 旅客疲劳时间
'ma'deng'ti 马镫梯
'man'che 慢车
'mao'jin'gan 毛巾杆
'mei'gan'shang'huo'che 没赶上火车
'mei'shui'che 煤水车
'mei'yan'mi'zhong'liang 每延米重量
'men'hua'lun 门滑轮
'men'kong'kuan'du 门孔宽度
'men'zhu 门柱
'mi'feng'quan 密封圈
'mi'gong'shi'mi'feng 迷宫式密封
'mi'jie'shi'che'gou 密接式车钩
'mian'fei'xing'li 免费行李
'mian'piao 免票
'mo'ban 膜板
'mo'ca'ban 磨擦板
'mo'ca'shi'jian'zhen'qi 磨擦式减振器
'mo'ca'zhi'dong 摩擦制动
'mo'hao'ban 磨耗板
'mo'hao'xing'ta'mian 磨耗型踏面
'mo'shi'kong'qi'tan'huang 膜式空气弹簧
'mu'che 母车
'mu'qian'zhen 木前枕
'mu'zi'hou'che'shi 母子候车室
'nang'shi'kong'qi'tan'huang 囊式空气弹簧
'nao'du'yu'liang'xi'shu 挠度裕量系数
'nei'ding'ban 内顶板
'nei'duan'qiang 内端墙
'nei'gou'jia'zhuan'xiang'jia 内构架转向架
'nei'ran'ji'che'tou 内燃机车头
'nei'ti 内梯
'nian'zhe'tie'lu 粘着铁路
'nian'zhe'zhi'dong 粘着制动
'niu'gan'tan'huang 扭杆弹簧
'niu'wai'gui'dao 扭歪轨道
'nuan'qi'duan'fa 暖汽端阀
'nuan'qi'ruan'guan 暖汽软管
'nuan'qi'ruan'guan'lian'jie'qi 暖汽软管连接器
'nuan'qi'zhi'guan 暖汽支管
'nuan'qi'zhu'guan 暖汽主管
'pa'gui 爬轨
'pai'feng'dao 排风道
'pai'qi'feng'shan 排气风扇
'pan'xing'huan'chong'qi 盘形缓冲器
'pang'cheng'cheng'zai 旁承承载
'pang'cheng'jian'xi 旁承间隙
'pang'cheng'zai'he 旁承载荷
'pang'cheng'zhi'zhong'zhuan'xiang'jia 旁承支重转向架
'pang'wan 旁弯
'pei'dian'gui 配电柜
'pei'dian'pan 配电盘
'peng'che 棚车
'pi'lie'zhen'mu 劈裂枕木
'piao'jia 票价
'ping'ban'che 平板车
'ping'ban'di'ban 平板地板
'ping'di'gui 平底轨
'ping'jun'jian'su'du 平均减速度
'ping'wen'xing'zhi'biao 平稳性指标
'po'dao 坡道
'po'dao'xiang'jing'xiang'zhuan'xiang'jia 迫导向径向转向架
'pu'dao'cha 铺道碴
'pu'gui 铺轨
'pu'gui'ji 铺轨机
'pu'tong'lie'che 普通列车
'qi'cheng 启程
'qi'dao'ding'qi 起道钉器
'qi'mi'xing 气密性
'qi'ya'xin'hao 气压信号
'qi'zha 气闸
'qian'cong'ban'zuo 前从板座
'qian'xing'liang 钳形梁
'qian'yin'gou 牵引钩
'qian'yin'liang 牵引梁
'qiang'ban'ya'jin 墙板压筋
'qiao'liang'zhen'mu 桥梁枕木
'qing'bian'gui'dao'lun'che 轻便轨道轮车
'qing'bian'tie'lu 轻便铁路
'qiu'xin'zhe'jiao'sai'men 球芯折角塞门
'qiu'xing'gun'zi'zhou'cheng 球形滚子轴承
'qiu'xing'xin'pan 球形心盘
'qiu'xing'zhou'xiang'ding'wei'zhuang'zhi 球形轴箱定位装置
