'ba'ji'chu'de'dong'xi 把积储的东西
'wo'yu'hu'han'que'an'ya'wu'yan 我欲呼喊却暗哑无言
'wo'zhi'dao'ni'xin'yue'wo'de'song'chang 我知道你欣悦我的颂唱
'wo'zhu 我主
'wu'bian'de'yin'yue'luo'wang'de'fu'lu 无边的音乐罗网的俘虏
'xiang'ni'de'yuan'wang'yi'yang 像你的愿望一样
'xiang'ni'hu'huan'de'ai'ren 向你呼唤的爱人
'xiang'zhe'wu'xian'de'guang'ming 向着无限的光明
'yang'fan'qian'jin 扬帆前进
'yao'luo'le 摇落了
'ye'hui'yin'wu'fa'ren'de'ya'yi 也会因无法忍的压抑
'ye'xu'zhe'shi'jie'jiu'hui'long'long'de 也许这世界就会隆隆的
'ye'zai'wo'de'xue'ye'li 也在我的血液里
'yi'ta'men'de'jie'zou'huan'xing'le 以它们的节奏唤醒了
'ying'feng'wu'dao 迎风舞蹈
'yong'heng'de'you'si 永恒的游思
'you'bu'duan'zhu'ru'xin'sheng 又不断注入新生
'you'si'ji 游思集
'you'yi'ge'xing'ti 又一个形体
'zai'bei'tan'he'huan'ge'sheng'zhong 在悲叹和欢歌声中
'zai'ni'wu'dao'de'si'zhi'li 在你舞蹈的四肢里
'zai'ni'wu'xing'de'chong'ji'xia 在你无形的冲击下
'zai'tao'tao'bu'jue'de 在滔滔不绝的
'zai'zhe'shen'bu'ke'ce'de 在这深不可测的
'zhe'bu'ke'kui'jian'de'shuang'zu 这不可窥见的双足
'zhe'cui'ruo'de'ling'hun'zhi'bei 这脆弱的灵魂之杯
'zhe'shi'ni'de'le'qu 这是你的乐趣
'zhe'yi'ye'xiao'zhou 这一叶小舟
'zhi'di'da'wo'zhi'ruo'de'shuang'shou 只抵达我稚弱的双手
'zhi'you'zuo'wei'ge'zhe 只有作为歌者
'zhou'wei'si'shui'ban'de'kong'jian 周围死水般的空间
'zong'zai'chen'mo'yu'jing'qi'zhong'ling'ting 总在沉默与惊奇中聆听
'zu'nao'zi'ji'de'qian'jin 阻挠自己的前进
'zuo'pian'ke'de'ting'liu 作片刻的停留
