'a'mang 阿芒
'ren'xing'deng'ji 韧性等级
'ri'yue'dao 日月刀
'ri'yue'dao'xin'fa 日月刀心法
'ri'yue'ru'suo 日月如梭
'rong'jin 荣金
'rong'jin'tan'jiu'juan 荣金探究卷
'rou'xian'shui 柔纤水
'ru'lei'guan'er 如雷贯耳
'ru'ting'ru'lei 如霆如雷
'rui'xue 瑞雪
'sai'ma 赛马
'san'chun'hu 三春湖
'san'die'lang 三叠浪
'san'huan'tao 三环套
'san'ji'mian'bu'ran'ji 三级棉布染剂
'san'ji'xuan'jing'ti'lian'ji 三级玄晶提炼剂
'san'jie'shang'ren 三界商人
'san'jue'xia 三绝峡
'san'pu'hu 三扑虎
'san'ru'di'yu 三入地狱
'san'wang'mu 三王墓
'san'xian 散仙
'san'xin'fa 伞心法
'sao'ye 扫叶
'sha'men'dian'jiang'fei'sha'zou'shi 沙门点将飞沙走石
'shan'tong'bei 闪通背
'shan'zei'dong'xue 山贼洞穴
'shan'zi 扇子
'shang'hai 伤害
'shang'jun'xiang 尚君香
'shang'jun'xiang'tan'jiu'juan 尚君香探究卷
'shang'wu 尚武
'shang'wu'shen'bing 尚武神兵
'she'xing'jiao'jian'tui 蛇形绞剪腿
'shen'fa 身法
'sheng'ming'yuan'bo 声名远播
'sheng'ming'zhi'shang'xian 生命值上限
'sheng'yang'duan'hun 昇阳锻魂
'sheng'yang'tian'zhu 昇阳天铸
'shi'cai 石材
'shi'e'chang'chuan 势扼长川
'shi'jia'zhi'xiang 释迦掷象
'shi'qiao'zhen 石桥镇
'shi'ren'ben 十人本
'shi'ri'ju 弑日狙
'shi'xian'shui 石纤水
'shi'zi'bo'tu 狮子搏兔
'shi'zi'hou 狮子吼
'shou'tou'shi 兽头式
'shu'guo'liang 鼠过梁
'shuai'bei'shou 摔碑手
'shuang'da'hong'ye 霜打红叶
'shuang'qing'ci 双青刺
'shuang'wen'he'zong 霜问何踪
'shui'long'ling 水龙呤
'shui'yue'cha'na 水月刹那
'shui'yue'gu'cha 水月古刹
'shui'yue'gu'cha'mo'yu 水月古刹魔域
'shun'bu'dao'shi 瞬步刀式
'shun'feng'che'qi 顺风扯旗
'shun'ying 瞬影
'shun'ying'shen'bing 瞬影神兵
'su'mei 苏梅
'su'mei'tan'jiu'juan 苏梅探究卷
'sui'jin 碎金
'sui'sha'duan'hun 岁杀锻魂
'sui'sha'tian'zhu 岁杀天铸
'tai'xu'ying'huo 太虚萤火
'tan'lang 贪狼
'tang'dao 唐刀
'tang'dao'xin'fa 唐刀心法
'tang'hu'lu 糖葫芦
'tang'lang'dao'xin'fa 螳螂刀心法
'tao'yuan'cun 桃源村
'teng'luo'gua'bi 藤萝挂壁
'teng'nuo 腾挪
'teng'nuo'xiao'guo 腾挪效果
'teng'wan 藤蔓
'teng'yu 腾玉
'ti'hu'gu'jiu 提壶沽酒
'ti'po 体魄
'tian'bian'gua'yue 天边挂月
'tian'gang'shan 天罡扇
'tian'ji 天机
'tian'ling'qi'po 天灵气破
'tian'ling'shen'bing 天灵神兵
'tian'luo'di'wang 天罗地网
'tian'wai'shi 天外石
'tian'wei'han'tie'jing'hua 天微寒铁精华
'tian'xiong'han'tie'sui'pian 天雄寒铁碎片
'tian'ya 天涯
'tian'ya'tu'zhi 天涯图纸
'tiao'shui 挑水
'tiao'yue 跳跃
'tiao'zhan 挑战
'tie'hua'bao 铁花豹
'tie'men'shuan 铁门栓
'tong'bai'ming 童百明
'tong'bai'ming'tan'jiu'juan 童百明探究卷
'tong'shen 通神
'tou'bu'san'zhan 偷步三斩
'tou'jing'sha 透晶沙
'tou'shi'wen'lu 投石问路
'tui'bing 推冰
'tui'hai'shi'lei 退海石雷
'wa'dang'cang'ku 瓦当仓库
'wa'dang'cheng'wai 瓦当城外
'wa'dang'chuan'song 瓦当传送
'wa'dang'jiu'tian'shen'ta 瓦当九天神塔
'wa'dang'qian'zhuang 瓦当钱庄
'wa'dang'qun'mo'ku 瓦当群魔窟
'wa'luo'gu'dao 瓦洛古道
'wan'gu'lei 万鼓雷
'wang'shen'duan'hun 亡神锻魂
'wang'shen'tian'zhu 亡神天铸
'wei'ling'ta 威灵塔
'wei'ling'ta'sheng'wang 威灵塔声望
'wen'he'zong 问何踪
'wen'ji'hu'jia 文姬胡笳
'wen'ming'xia'er 闻名遐迩
'wu'ding'kai'shan 五丁开山
'wu'du'duan'hun 无渡锻魂
'wu'du'tian'zhu 无渡天铸
'wu'fan'bao 吴范保
'wu'fan'bao'tan'jiu'juan 吴范保探究卷
'wu'gui'duan'hun 五鬼锻魂
'wu'gui'tian'zhu 五鬼天铸
'wu'li'fang'yu 物理防御
'wu'li'fang'yu'deng'ji 物理防御等级
'wu'li'gong'ji'deng'ji 物理攻击等级
'wu'li'hui'xin'deng'ji 物理会心等级
'wu'li'shang'hai'shang'xian 物理伤害上限
'wu'li'shang'hai'xia'xian 物理伤害下限
'wu'long'an'du 五龙暗渡
'wu'ming'xiao'zu 无名小卒
'wu'que'shan 乌鹊山
'wu'ren'ben 五人本
'wu'ying'ji 无影击
'xi'shui'chuan'yu 溪水穿鱼
'xia'ke'lei'tai 侠客擂台
'xia'qiang'shen'bing 侠枪神兵
'xia'shi 侠士
'xian'juan'yin'xi 仙卷银席
'xian'yun'chu'xiu 闲云出岫
'xiang'long'fu'hu 降龙伏虎
'xiao'bi'sha 小必杀
'xiao'tao'hong 小桃红
'xiao'wu'lang 枭五郎
'xiao'wu'lang'tan'jiu'juan 枭五郎探究卷
'xiao'you'ming'qi 小有名气
'xie'wei'jian'mo'jiao'dao 蝎尾剑抹脚刀
'xie'wei'jian'xin'fa 蝎尾剑心法
'xin'fa'cang'ku 心法仓库
'xin'xiu'lei'tai 新秀擂台
'xing'yun'dai'yu 行云带雨
'xiu'lian 修炼
'xuan'feng'lian'huan'tui 旋风连环腿
'xuan'feng'lin'di 宣风林地
'xuan'jing'sha 玄晶沙
'xuan'wu'xing'pai 玄武星牌
'xuan'yin'duan'hun 炫音锻魂
'xuan'yin'tian'zhu 炫音天铸
'xue'dao'shi'hu'lu'xin'fa 削刀式葫芦心法
'xue'di'zi 血滴子
'xue'di'zi'xin'fa 血滴子心法
'xue'hua'gai'ding 雪花盖顶
'xue'zhan'dao'di 血战到底
'ya'biao 押镖
'yan'chao'shui 燕抄水
'yan'chuan'yun 燕穿云
'yan'hui'feng 雁回峰
'yan'liu'lian'cheng'zhuang 烟柳连城装
'yang'chun'mian 阳春面
'yang'qing 杨青
'yang'qing'tan'jiu'juan 杨青探究卷
'yao'mo'gong'shan 妖魔攻山
'yao'mo'ru'qin 妖魔入侵
'yao'shi 钥匙
'ye'cha'tan'hai 夜叉探海
'ye'ma'tiao'jian 野马跳涧
'ye'shi'yi'tiao'jie 夜市一条街
'ye'zhan'ba'fang 夜战八方
'ye'zhan'wa'dang'xia'lu'xiang'feng 夜战瓦当狭路相逢
'ye'zi'jin 叶梓衿
'ye'zi'jin'tan'jiu'juan 叶梓衿探究卷
'yi'bu'ru'zhong'yuan 一步入中原
'yi'chu'sha 一触沙
'yi'feng'hai'an 遗风海岸
'yi'ma'wen'lu 依马问路
'yi'qi'hua'san'qing 一气化三清
'yi'rong'xia 易容匣
'yi'wu'hui'you 以武会友
'yi'xian'qian'yun 一线牵云
'yi'zhang'xue 一丈雪
'yin'she'tu'xin 银蛇吐信
'yin'wei'shi 隐微式
'yin'yang'chui 阴阳锤
'yin'yang'chui'xin'fa 阴阳锤心法
'yin'yang'kou 阴阳扣
'yin'yu'tian'xia 饮誉天下
'ying'chuan'liu'dai 莺穿柳带
'ying'dao'shi 迎刀式
'ying'feng'die'wu 迎风蝶舞
'ying'ke'song 迎客松
'ying'mian'hua 迎面花
'yong'wu'ling 勇武令
'you'ji 游击
'you'ji'shen'bing 游击神兵
'you'xuan'sui'mu 幽玄岁木
'yu'lan'dai'lu 玉兰带露
'yu'wang'zhi'zhan 禹王掷盏
'yuan'shen 元神
'yuan'shen'fang'yu 元神防御
'yuan'zun 元尊
'yuan'zun'shen'bing 元尊神兵
'yue'hu'guan'feng 月狐观风
'yun'ding'tian 云顶天
'yun'ding'tian'tan'jiu'juan 云顶天探究卷
'yun'ding'xia'qi'xing 云顶下七星
'yun'hong'zhen'yu 云鸿振羽
'zai'qing'dao 再请刀
'zhan'bu 占卜
'zhan'hong 斩虹
'zhan'li'ping'fen 战力评分
'zhan'zhuang 站桩
'zhang'xin'lei 掌心雷
'zhao'ge 朝歌
'zhao'ge'cang'ku 朝歌仓库
'zhao'ge'cheng'wai 朝歌城外
'zhao'ge'qian'zhuang 朝歌钱庄
'zhao'ge'sheng'wang 朝歌声望
'zhe'shan'xin'fa 折扇心法
'zhen'ying'ru'qin 阵营入侵
'zhen'ying'sheng'wang 阵营声望
'zheng'yang'guan 正阳关
'zhi'fu'zhang'ben 致富账本
'zhi'ming 致命
'zhi'nan'jue 指南诀
'zhi'ye 职业
'zhong'ren'zhi'li 众人之力
'zhou'peng 周鹏
'zhou'peng'tan'jiu'juan 周鹏探究卷
'zhou'yu'da'qing'he 骤雨打青荷
'zhu'liu'yun'duan'hun 逐流云锻魂
'zhu'liu'yun'tian'zhu 逐流云天铸
'zhu'que'xing'pai 朱雀星牌
'zhua'ma 抓马
'zhuo'jing'sha 琢晶沙
'zhuo'ma 捉马
'zou'fu'wu'di 走伏无地
'zou'ma'sao'cheng 走马扫城
'zui'da'shan'men 醉打山门
'zui'fu'gu'song 酔扶古松
'zui'wang'yue 醉望月
'zuo'qi'shang 坐骑商
'zuo'tian'cheng 左天成
'zuo'tian'cheng'tan'jiu'juan 左天成探究卷
