'a'fu'ta'kui'yang 阿弗他溃疡
'cheng'ya'ben'zhi'xi'bao'ceng'kong'pao'xing'bian 成牙本质细胞层空泡性变
'cheng'ya'ben'zhi'xi'bao'tu 成牙本质细胞突
'cheng'ya'gu'zhi'xi'bao 成牙骨质细胞
'cheng'you'qi 成釉器
'cheng'you'qi'xing'wang'zhuang'ceng 成釉器星网状层
'cheng'you'qi'zhong'jian'ceng 成釉器中间层
'cheng'you'xi'bao 成釉细胞
'cheng'you'xi'bao'ai 成釉细胞癌
'cheng'you'xi'bao'liu 成釉细胞瘤
'cheng'you'xi'bao'rou'liu 成釉细胞肉瘤
'cheng'you'xi'bao'xian'wei'liu 成釉细胞纤维瘤
'cheng'you'xi'bao'xian'wei'rou'liu 成釉细胞纤维肉瘤
'cheng'you'xi'bao'xian'wei'ya'liu 成釉细胞纤维牙瘤
'cheng'you'xi'bao'ya'liu 成釉细胞牙瘤
'cheng'you'xi'bao'ya'rou'liu 成釉细胞牙肉瘤
'chi'meng 迟萌
'chong'chen 重衬
'chong'jiao'ban 虫胶板
'chong'tian'qi 充填器
'chu'jin'chi 储金池
'chu'mo'xing 初模型
'chu'xie'zhi'shu 出血指数
'chu'xing'jie'zhi'qi 锄形洁治器
'chu'yin'mo 初印模
'chuan'nian'mo'zhong'zhi'ti 穿粘膜种植体
'chuan'tong'xian'wei 穿通纤维
'chuan'tong'xing'qu 穿通性龋
'chuan'xia'he'zhong'zhi'ti 穿下颌种植体
'chuang'shang'xing'kou'yan 创伤性口炎
'chui'zao'guan 锤造冠
'chui'zao'jin'shu'quan'guan 锤造金属全冠
'chui'zhi'jie'gu'shu 垂直截骨术
'chui'zhi'ju'li 垂直距离
'chui'zhi'xiang'song'chi'qie'kou'fan'ban'shu 垂直向松弛切口翻瓣术
'chui'zhi'zhou 垂直轴
'chui'zhi'zu'sheng 垂直阻生
'chun'ce'yi'yuan 唇侧翼缘
'chun'dang 唇挡
'chun'gan 唇杆
'chun'gong 唇弓
'chun'gou'ban 唇沟板
'chun'hong'yuan 唇红缘
'chun'jing'ji 唇颈嵴
'chun'lie 唇裂
'chun'lie'xiu'fu'shu 唇裂修复术
'chun'mian 唇面
'chun'pao'zhen 唇疱疹
'chun'qian'kai'qi 唇牵开器
'chun'she'gong'jiao'zhi'qi 唇舌弓矫治器
'chun'xi'dai 唇系带
'chun'xian 唇腺
'chun'xiang'cuo'wei 唇向错位
'chun'yan 唇炎
'chun'yuan 唇缘
'ci'jia'guan 瓷甲冠
'ci'qiao'ji 次桥基
'ci'ti'zhong'zhi'ti 磁体种植体
'ci'xing'gu'wei 磁性固位
'ci'xing'xian'tie 磁性衔铁
'ci'ya 瓷牙
'cong'zhuang'xing'cheng'you'xi'bao'liu 丛状型成釉细胞瘤
'cu'si'qie'duan'qian 粗丝切断钳
'cui'huo'zhuang'zhi 淬火装置
'cui'xian'ji 催涎剂
'da'lian'jie'ti 大连接体
'dai'huan 带环
'dai'huan'jiu'wei'qi 带环就位器
'dai'huan'qu'chu'qian 带环去除钳
'dai'kong'ya 带孔牙
'dai'shi'zhen 带石针
'dai'xing 代型
'dai'zhuang'ban 袋状瓣
'dai'zhuang'gong 带状弓
'dan'bi'ka'huan 单臂卡环
'dan'ce'ping'heng 单侧平衡
'dan'duan'gu'ding'qiao 单端固定桥
'dan'he'quan'kou'yi'chi 单颌全口义齿
'dan'mian'dong 单面洞
'dan'xing'xing'xian'liu 单形性腺瘤
'dao'ao'qu 倒凹区
'dao'gou'ka'huan 倒钩卡环
'dao'guan'nei'ru'tou'zhuang'liu 导管内乳头状瘤
'dao'guan'ru'tou'zhuang'liu 导管乳头状瘤
'dao'ping'mian 导平面
'dao'zhi'zu'sheng 倒置阻生
'dao'zhui'zuan 倒锥钻
'di'san'mo'ya 第三磨牙
'di'wei'ya 低位牙
'dian'di 垫底
'dian'jiao 点角
'dian'xi 点隙
'diao'ke'qi 雕刻器
'die'an'dian 蝶鞍点
'die'gai'xian 叠盖线
'ding'ban'xing'zhong'zhi'ti 钉板型种植体
'ding'dong 钉洞
'ding'gai 顶盖
'ding'qian'ti 钉嵌体
'ding'wei'ping'mian 定位平面
'ding'wei'ping'mian'xie'du 定位平面斜度
'ding'xiang'you'fen 丁香油酚
'ding'xing'gu'wei 钉形固位
'ding'xing'gu'wei'ti 钉形固位体
'ding'zhuang'ya 钉状牙
'dong'chen'ji 洞衬剂
'dong'mian'jiao 洞面角
'dong'xie'mian 洞斜面
'dui'ban'ka'huan 对半卡环
'duo'fa'xing'xian'wei'shang'pi'zeng'sheng 多发性纤维上皮增生
'duo'gu'si 多股丝
'duo'ju'jia'quan'gan'sui'ji 多聚甲醛干髓剂
'duo'xi'bao'ceng 多细胞层
'duo'xian 多涎
'duo'xing'xing'di'du'e'xing'xian'ai 多形性低度恶性腺癌
'duo'xing'xing'xian'liu 多形性腺瘤
'e'ao 腭凹
'e'da'kong'zhu'she'fa 腭大孔注射法
'e'gan 腭杆
'e'lie 腭裂
'e'lie'xi'lie'zhi'liao 腭裂系列治疗
'e'lie'xiu'fu'shu 腭裂修复术
'e'long'tu 腭隆凸
'e'mian 腭面
'e'qian'kong'zhu'she'fa 腭前孔注射法
'e'ru'tou'nang'zhong 腭乳头囊肿
'e'wai'ya 额外牙
'e'xian 腭腺
'e'xing'cheng'you'xi'bao'liu 恶性成釉细胞瘤
'e'xing'duo'xing'xing'xian'liu 恶性多形性腺瘤
'e'yan'bi'he 腭咽闭合
'e'yan'bi'he'bu'liang 腭咽闭合不良
'e'zheng'zhong'nang'zhong 腭正中囊肿
'e'zhou 腭皱
'er'dian 耳点
'er'gen'fen'cha'bu 二根分叉部
'er'lie'she 二裂舌
'er'qi'yu'he'qian'ting'cheng'xing'shu 二期愈合前庭成形术
'er'tong'kou'qiang'yi'xue 儿童口腔医学
'er'tong'kou'qiang'zheng'ji'xue 儿童口腔正畸学
'fa'lan'ke'fu'ping'mian 法兰克福平面
'fa'yu'gou 发育沟
'fan'dai'xing 反代型
'fan'hui'li'ka'huan 反回力卡环
'fang'si'gong'jiao'zhi'qi 方丝弓矫治器
'fang'xing'guan 方形管
'fang'xing'si 方形丝
'fei'dao'ao'qu 非倒凹区
'fei'gong'zuo'ce 非工作侧
'fei'jie'pou'shi'ya 非解剖式牙
'fei'zheng'zhong'guan'xi 非正中关系
'fei'zheng'zhong'he'gu'guan'xi 非正中颌骨关系
'fen'duan'jie'gu'shu 分段截骨术
'fen'duan'yin'mo 分段印模
'fen'li'ji 分离剂
'fen'lie 分裂
'fen'ya'qi 分牙器
'fen'ya'shu 分牙术
'fu'fa'xing'a'fu'ta'kui'yang 复发性阿弗他溃疡
'fu'fa'xing'huai'si'xing'nian'mo'xian'zhou'yan 复发性坏死性粘膜腺周炎
'fu'gai'yi'chi 覆盖义齿
'fu'he'gu'ding'qiao 复合固定桥
'fu'he'shu'zhi 复合树脂
'fu'lan'ke'er'jiao'zhi'qi 弗兰克尔矫治器
'fu'mian'dong 复面洞
'fu'shi'fen 浮石粉
'fu'ya'zheng 氟牙症
'fu'zhuo'yin 附着龈
'fu'zhuo'zeng'jia 附着增加
'gai'ji'shi'qiao'ti 盖嵴式桥体
'gai'liang'shi'jian'tou'ka'huan 改良式箭头卡环
'gai'liang'wei'de'man'fan'ban'shu 改良威德曼翻瓣术
'gai'sui 盖髓
'gan'cao'zheng 干槽症
'gan'dan'yuan 杆单元
'gan'guan'jie 杆关节
'gan'guo'xing'cheng'zuo 坩埚形成座
'gan'sui'shu 干髓术
'gan'xing'ka'huan 杆形卡环
'gao'qian'ti 高嵌体
'gao'tong'gong'he'jin 高铜汞合金
'gao'wei'ya 高位牙
'ge'bie'tuo'pan 个别托盘
'ge'lei'xi'gua'zhi'qi 格雷西刮治器
'ge'te'shi'gong'miao'ji'qi 哥特式弓描记器
'gen'ce'ya'zhou'nang'zhong 根侧牙周囊肿
'gen'gu'wei'ti 根固位体
'gen'guan'bi'se 根管闭塞
'gen'guan'chang'du'ce'liang'yi 根管长度测量仪
'gen'guan'chong'tian'yin'jian 根管充填银尖
'gen'guan'cuo 根管锉
'gen'guan'feng'bi 根管封闭
'gen'guan'kou 根管口
'gen'guan'nei'feng'yao 根管内封药
'gen'guan'nei'yu'bei 根管内预备
'gen'guan'nei'zhong'zhi'ti 根管内种植体
'gen'guan'zhi'liao'shu 根管治疗术
'gen'guan'zuan 根管钻
'gen'jian'jie'gu'shu 根间截骨术
'gen'jian'pian 根尖片
'gen'jian'qie'chu'shu 根尖切除术
'gen'jian'xia'jie'gu'shu 根尖下截骨术
'gen'jian'xian'wei 根尖纤维
'gen'jian'xian'wei 根间纤维
'gen'jian'you'dao'xing'cheng'shu 根尖诱导形成术
'gen'jian'zhou'nang'zhong 根尖周囊肿
'gen'jian'zhou'nong'zhong 根尖周脓肿
'gen'jian'zhou'rou'ya'zhong 根尖周肉芽肿
'gen'jian'zhou'xi'shou 根尖周吸收
'gen'jian'zhou'ya'gu'zhi'yi'chang'zeng'sheng 根尖周牙骨质异常增生
'gen'jian'zhou'yan 根尖周炎
'gen'mian'ping'zheng'shu 根面平整术
'gen'nei'gu'wei'ti 根内固位体
'gen'xiang'fu'wei'ban'shu 根向复位瓣术
'gen'zhi'xing'jing'qing'sao'shu 根治性颈清扫术
'gong'du'xing'kou'yan 汞毒性口炎
'gong'gan 弓杆
'gong'gong'wei'sheng'kou'qiang'yi'xue 公共卫生口腔医学
'gong'he'jin'chi 汞合金匙
'gong'he'jin'chong'tian'qi 汞合金充填器
'gong'he'jin'jiao'ban'ji 汞合金搅拌机
'gong'he'jin'shu'song'qi 汞合金输送器
'gong'he'jin'xuan'tu'mo'chu'qi 汞合金悬突磨除器
'gong'he'jin'ya'suo'qi 汞合金压缩器
'gong'neng'xing'jiao'zhi'qi 功能性矫治器
'gong'neng'xing'jing'qing'sao'shu 功能性颈清扫术
'gong'neng'yin'mo 功能印模
'gong'si'cheng'xing'qi 弓丝成型器
'gong'ti 弓体
'gong'zuo'ce 工作侧
'gu'cheng'xing'ban 骨成形瓣
'gu'ding'jiao'zhi'qi 固定矫治器
'gu'ding'lian'jie'ti 固定连接体
'gu'ding'qiao 固定桥
'gu'ding'xiu'fu'shu 固定修复术
'gu'ding'yi'chi'xiu'fu'xue 固定义齿修复学
'gu'mo'shang'jin'run'ma'zui 骨膜上浸润麻醉
'gu'mo'xia'jin'run'ma'zui 骨膜下浸润麻醉
'gu'mo'xia'zhi'ru'qiao'ji 骨膜下植入桥基
'gu'mo'xia'zhong'zhi'ti 骨膜下种植体
'gu'nei'dai 骨内袋
'gu'nei'gu'ding'qi'zhong'zhi'ti 骨内固定器种植体
'gu'nei'ye'zhuang'bi'kou'zhong'zhi'ti 骨内叶状闭口种植体
'gu'nei'ye'zhuang'kai'kou'zhong'zhi'ti 骨内叶状开口种植体
'gu'nei'zhong'zhi'shu 骨内种植术
'gu'nei'zhong'zhi'ti 骨内种植体
'gu'wai'cheng'you'xi'bao'liu 骨外成釉细胞瘤
'gu'wei 固位
'gu'wei'ti 固位体
'gu'wei'xing 固位形
'gu'wei'zhi 固位指
'gu'xia'dai 骨下袋
'gu'xia'dai'zhi'gu'shu 骨下袋植骨术
'gu'xing'nie'xia'he'guan'jie'qiang'zhi 骨性颞下颌关节强直
'gu'ya'zhan'lian 骨牙粘连
'gu'yang'ya'ben'zhi 骨样牙本质
'gu'yin'wo 骨隐窝
'gu'you'ya'cao'gu 固有牙槽骨
'gua'chi 刮匙
'gua'zhi 刮治
'guan'ce'xian 观测线
'guan'jie'dian 关节点
'guan'jie'jie'jie 关节结节
'guan'jie'pan 关节盘
'guan'jie'wo 关节窝
'guan'nei'gu'wei 冠内固位
'guan'nei'gu'wei'ti 冠内固位体
'guan'qiao'xue 冠桥学
'guan'wai'gu'wei 冠外固位
'guan'xiang'fu'wei'ban 冠向复位瓣
'guan'xing'ya 管形牙
'guan'zhou'yan 冠周炎
'guan'zhuang'xian'liu 管状腺瘤
'guang'gu'hua'fu'he'shu'zhi 光固化复合树脂
'guang'gu'hua'shu'zhi 光固化树脂
'guang'gu'hua'zhuang'zhi 光固化装置
'guang'hua'sui'zhen 光滑髓针
'gui'suan'yan'zhan'gu'ji 硅酸盐粘固剂
'gui'tong 硅酮
'gui'xiang'jiao'yin'mu'cai'liao 硅橡胶印模材料
'ha'nao'yao'he'guan'xi'zu'he'tu 哈瑙咬合关系组合图
'ha'qin'sen'ya 哈钦森牙
'han'fu'mo'guang'hu'ji 含氟磨光糊剂
'han'ya'nang'zhong 含牙囊肿
'hang'kong'ya'teng 航空牙疼
'hao'shi'qian 豪氏钳
'he'cheng'xiang'jiao'yin'mu'cai'liao 合成橡胶印模材料
'he'dao'ban 颌导板
'he'gu'jian'guan'xi 颌骨间关系
'he'gu'jian'zheng'zhong'guan'xi 颌骨间正中关系
'he'gu'zheng'zhong'guan'xi 颌骨正中关系
'he'gu'zhong'shu'ai 颌骨中枢癌
'he'hou'suo 颌后缩
'he'jian'chui'zhi'guan'xi 颌间垂直关系
'he'jian'gu'ding 颌间固定
'he'jian'jian'xi 颌间间隙
'he'jian'ju'li 颌间距离
'he'jian'luan'suo 颌间挛缩
'he'jian'qian'yin 颌间牵引
'he'jian'shui'ping'guan'xi 颌间水平关系
'he'jian'zhi'kang 颌间支抗
'he'li'ji 颌力计
'he'lie 颌裂
'he'mian'ce'wei'tou'zhao'shu 颌面侧位投照术
'he'mian'xiu'fu'xue 颌面修复学
'he'nei'zhi'kang 颌内支抗
'he'she'gu'ji 颌舌骨嵴
'he'tiao'fan'she 颌跳反射
'he'wai'zhi'kang 颌外支抗
'he'xia'xian'yan 颌下腺炎
'he'xia'xian'zao'ying'ce'wei'tou'ying'shu 颌下腺造影侧位投影术
'he'xue 颌学
'he'zhuang'guan 核桩冠
'hei'mao'she 黑毛舌
'hei'se'su'shen'jing'wai'pei'liu 黑色素神经外胚瘤
'heng'ji 横嵴
'heng'ji'tuo 恒基托
'heng'xian'wei 横纤维
'heng'ya 恒牙
'heng'ya'lie 恒牙列
'hou'tui'jie'chu'wei 后退接触位
'hou'tui'shu 后推术
'hou'ya 后牙
'hua'dong'qi'xie'tai 滑动器械台
'hua'nong'xing'sai'xian'yan 化脓性腮腺炎
'hua'xing'jie'gu'shu 滑行截骨术
'huai'ju'xing'kou'yan 坏疽性口炎
'huai'si'xing'xian'xian'hua'sheng 坏死性涎腺化生
'huan'chong'qu 缓冲区
'huan'rao'jie'za'shu 环绕结扎术
'huan'rao'quan'gu'jie'za'shu 环绕颧骨结扎术
'huan'rao'quan'gu'xuan'diao'shang'he'shu 环绕颧骨悬吊上颌术
'huan'rao'xia'he'jie'za'shu 环绕下颌结扎术
'huan'xing'ka'huan 环形卡环
'huan'xing'xian'wei 环行纤维
'huang'mao'she 黄毛舌
'hui'li'ka'huan 回力卡环
'hui'tu 喙突
'hui'tu'hou'zhu'she'fa 喙突后注射法
'hui'xuan'shou'ji 回旋手机
'hun'he'xing'ka'huan 混合型卡环
'hun'he'xing'ya'liu 混合性牙瘤
'hun'he'ya'lie 混合牙列
'huo'dong'lian'jie'ti 活动连接体
'huo'li'bao'chi'qi 霍利保持器
'ji'cheng'ya 继承牙
'ji'cheng'ya'ban 继承牙板
'ji'cun'mo'xing 记存模型
'ji'dai'qie'duan'shu 系带切断术
'ji'di'xi'bao'xian'ai 基底细胞腺癌
'ji'di'xi'bao'xian'liu 基底细胞腺瘤
'ji'di'xi'bao'xing'cheng'you'xi'bao'liu 基底细胞型成釉细胞瘤
'ji'fa'qu 继发龋
'ji'fa'xing'ya'ben'zhi 继发性牙本质
'ji'gong'neng'jiao'zhi'qi 肌功能矫治器
'ji'jian'kong'yi 肌监控仪
'ji'ke'yi'chi 即刻义齿
'ji'neng'xiu'zheng 肌能修整
'ji'pi'liu'xing'cheng'you'xi'bao'liu 棘皮瘤型成釉细胞瘤
'ji'rou'wei 肌肉位
'ji'shang'pi'ai 肌上皮癌
'ji'shang'pi'dao 肌上皮岛
'ji'shang'pi'liu 肌上皮瘤
'ji'tuo'cheng'xing'qi 基托成形器
'ji'tuo'la'pian 基托蜡片
'ji'xi'qie'dao'miao'ji'qi 吉西切道描记器
'ji'xing'duo'fa'xing'yin'nong'zhong 急性多发性龈脓肿
'ji'xing'fei'te'yi'xing'yin'yan 急性非特异性龈炎
'ji'xing'hua'nong'xing'ya'sui'yan 急性化脓性牙髓炎
'ji'xing'huai'si'kui'yang'xing'yin'yan 急性坏死溃疡性龈炎
'ji'xing'jiang'ye'xing'ya'sui'yan 急性浆液性牙髓炎
'ji'xing'lian'qiu'jun'xing'yin'kou'yan 急性链球菌性龈口炎
'ji'xing'she'ce'jian 畸形舌侧尖
'ji'xing'she'ce'wo 畸形舌侧窝
'jia'ban 夹板
'jia'ban'ka'huan 夹板卡环
'jia'ban'qu 颊板区
'jia'ce'yi'yuan 颊侧翼缘
'jia'guan 甲冠
'jia'guan'jie'xing'cheng 假关节形成
'jia'huan 架环
'jia'ji'bing'xi'suan'jia'zhi'shu'zhi 甲基丙烯酸甲酯树脂
'jia'jian'xi 颊间隙
'jia'jing'ji 颊颈嵴
'jia'mian 颊面
'jia'mian'guan 颊面管
'jia'quan'mei'fen 甲醛煤酚
'jia'xi'dai 颊系带
'jia'xian 颊线
'jia'xian 颊腺
'jia'xiang'zu'sheng 颊向阻生
'jia'zhi'dian 颊脂垫
'jia'zu'xing'ju'he'zheng 家族性巨颌症
'jian'dan'zhi'kang 简单支抗
'jian'jie'gai'sui'shu 间接盖髓术
'jian'jie'gu'wei'ti 间接固位体
'jian'tai 肩台
'jian'xi'ka'huan 间隙卡环
'jian'ya 尖牙
'jian'ya'ka'huan 尖牙卡环
'jiang'xi'bao'yin'yan 浆细胞龈炎
'jiang'ye'xing'gen'jian'zhou'yan 浆液性根尖周炎
'jiao'hu'zhi'kang 交互支抗
'jiao'ji'fei'da 嚼肌肥大
'jiao'ji'jian'xi 嚼肌间隙
'jiao'lian'wei 铰链位
'jiao'lian'yun'dong 铰链运动
'jiao'lian'zhou 铰链轴
'jiao'lian'zhou'dian 铰链轴点
'jiao'xing'li 矫形力
'jiao'zheng'gu'wei'qi 矫正固位器
'jiao'zhi'qi 矫治器
'jie'chu'dian 接触点
'jie'chu'mian 接触面
'jie'chu'qu 接触区
'jie'chu'xing'du'xing'kou'yan 接触性毒性口炎
'jie'gen'shu 截根术
'jie'he'shang'pi 结合上皮
'jie'he'ya 结合牙
'jie'jie'xing'bai'ban 结节性白斑
'jie'pou'gen 解剖根
'jie'pou'guan 解剖冠
'jie'pou'shi'ya 解剖式牙
'jie'za'si'qie'duan'qian 结扎丝切断钳
'jie'zhi'qi 洁治器
'jie'zhi'shu 洁治术
'jin'gang'sha'lun 金钢砂轮
'jin'gang'sha'shi 金钢砂石
'jin'gang'sha'zuan 金钢砂钻
'jin'shu'bei'ya 金属背牙
'jin'shu'ji'tuo 金属基托
'jin'shu'mo'dai 金属磨带
'jin'shu'tao'ci 金属陶瓷
'jin'shu'zhi'jia 金属支架
'jin'zhong'cuo'wei 近中错位
'jin'zhong'mian 近中面
'jin'zhong'xiang'zu'sheng 近中向阻生
'jing'mi'fu'zhuo'ti 精密附着体
'jing'mi'zhi'tuo 精密支托
'jing'zhi'kang 颈支抗
'jing'zhi'qu 静止龋
'jing'zhi'xing'ya'zhou'yan 静止性牙周炎
'jiu'wei'dao 就位道
'jiu'wei'xia 鸠尾峡
'jiu'wei'xing 鸠尾形
'ju'chun'zheng 巨唇症
'ju'da'ya'gu'zhi'liu 巨大牙骨质瘤
'ju'he'zheng 巨颌症
'ju'jue'nian'mo 咀嚼粘膜
'ju'jue'sheng'li'xue 咀嚼生理学
'ju'jue'xi'tong 咀嚼系统
'ju'jue'xiao'neng 咀嚼效能
'ju'jue'xing 咀嚼型
'ju'jue'xun'huan 咀嚼循环
'ju'jue'yun'dong 咀嚼运动
'ju'kou'ji'xing 巨口畸形
'ju'mi'xiang'jiao'yin'mu'cai'liao 聚醚橡胶印模材料
'ju'she'zheng 巨舌症
'ju'suo'suan'yan'zhan'gu'ji 聚羧酸盐粘固剂
'ju'xi'bao'rou'ya'zhong 巨细胞肉芽肿
'ju'xi'bao'tou'ming'xue'guan'bing 巨细胞透明血管病
'ju'xi'bao'xing'ya'yin'liu 巨细胞性牙龈瘤
'ju'ya'zheng 巨牙症
'ju'zao'xing'hei'bian'zheng 局灶性黑变症
'ju'zao'xing'shang'pi'zeng'sheng 局灶性上皮增生
'jun'ban'kong'zhi 菌斑控制
'jun'ban'xian'shi'ji 菌斑显示剂
'jun'ban'zhi'shu 菌斑指数
'jun'zhi'xing'bai'ban 均质性白斑
'ka'huan 卡环
'ka'huan'bi 卡环臂
'ka'huan'gu'wei 卡环固位
'ka'huan'ti 卡环体
'kai'kou'yin'mo 开口印模
'kai'mian'guan 开面冠
'kang'ji'wan'qu 抗基弯曲
'kang'li'xing 抗力形
'kao'ci'rong'fu'jin'shu'xiu'fu'ti 烤瓷熔附金属修复体
'ke'cao 髁槽
'ke'ce'fang'zhi'biao'ke'du 髁侧方指标刻度
'ke'cheng'xing'shu 颏成形术
'ke'dao 髁导
'ke'dao 髁道
'ke'dao'xie'du 髁导斜度
'ke'dao'xie'du 髁道斜度
'ke'ding'dian 颏顶点
'ke'dong'ya'ke'zhi'liao'tai 可动牙科治疗台
'ke'dou 颏兜
'ke'er'fu'xian'wei 科尔夫纤维
'ke'gan 髁杆
'ke'guan 壳冠
'ke'huan 髁环
'ke'jie'jie 颏结节
'ke'li'si'tan'sen'xian'xiang 克里斯坦森现象
'ke'li'xi'bao'xing'cheng'you'xi'bao'liu 颗粒细胞型成釉细胞瘤
'ke'liang 髁梁
'ke'luo'zha'jiao'zhi'qi 克罗扎矫治器
'ke'qian'dian 颏前点
'ke'qian'shen'zhi'biao'ke'du 髁前伸指标刻度
'ke'qiu 髁球
'ke'si'teng'zong'he'zheng 科斯滕综合征
'ke'tu 髁突
'ke'tu'jian'ju'li 髁突间距离
'ke'tu'xia'jie'gu'shu 髁突下截骨术
'ke'tu'yun'dong 髁突运动
'ke'xia'dian 颏下点
'ke'xia'jian'xi 颏下间隙
'ke'zhai'jiao'zhi'qi 可摘矫治器
'ke'zhai'ju'bu'yi'chi 可摘局部义齿
'ke'zhai'ju'bu'yi'chi'xiu'fu'xue 可摘局部义齿修复学
'ke'zhai'yi'chi'xiu'fu'xue 可摘义齿修复学
'ke'zhu 髁柱
'ke'zhuang'ya 壳状牙
'ken'ni'di'fen'lei'fa 肯尼迪分类法
'kou'chou 口臭
'kou'gan'zao'zheng 口干燥症
'kou'he'xi'tong 口颌系统
'kou'jiao'chun'yan 口角唇炎
'kou'jiao'xian 口角线
'kou'jing 口镜
'kou'nei'miao'ji'qi 口内描记器
'kou'nei'zhi'kang 口内支抗
'kou'qiang'bai'ban'zheng 口腔白斑症
'kou'qiang'bing'li'xue 口腔病理学
'kou'qiang'bing'zao 口腔病灶
'kou'qiang'bing'zao'gan'ran 口腔病灶感染
'kou'qiang'cai'liao'xue 口腔材料学
'kou'qiang'fa'yi'xue 口腔法医学
'kou'qiang'fang'she'xue 口腔放射学
'kou'qiang'gong'gong'wei'sheng 口腔公共卫生
'kou'qiang'he'mian'jie'pou'xue 口腔颌面解剖学
'kou'qiang'he'mian'wai'ke'xue 口腔颌面外科学
'kou'qiang'hei'ban'zheng 口腔黑斑症
'kou'qiang'hong'ban 口腔红斑
'kou'qiang'ji'gong'xue 口腔技工学
'kou'qiang'ji'zhen'xue 口腔急诊学
'kou'qiang'kang'fu 口腔康复
'kou'qiang'lin'ba'shang'pi'nang'zhong 口腔淋巴上皮囊肿
'kou'qiang'lun'li'xue 口腔伦理学
'kou'qiang'ma'zui'xue 口腔麻醉学
