'an'shi'zu'e'fa'fang 按时足额发放
'qi'ye'tou'bao 企业投保
'qian'fei 欠费
'qian'fei'qi'jian 欠费期间
'qian'jiao 欠缴
'qian'jiao'she'bao'fei 欠缴社保费
'qian'jiao'she'hui'bao'xian'fei 欠缴社会保险费
'quan'sheng'tong'chou 全省统筹
'quan'shi'zai'gang'zhi'gong'yue'ping'jun'gong'zi 全市在岗职工月平均工资
'ruo'gan'nian'ben'ren'jiao'fei'gong'zi'zhi'shu 若干年本人缴费工资指数
'san'zi'qi'ye'tou'bao 三资企业投保
'sang'fu'fei 丧抚费
'sang'zang'fei 丧葬费
'shang'nian'du'quan'shi'zai'gang'zhi'gong'yue'ping'jun'gong'zi 上年度全市在岗职工月平均工资
'shang'nian'du'zai'gang'zhi'gong'yue'ping'jun'gong'zi 上年度在岗职工月平均工资
'shang'ye'ju 商业局
'shang'ye'xi'tong 商业系统
'she'bao'fei 社保费
'she'bao'fei'lv 社保费率
'she'bao'ju 社保局
'she'bao'qian'fei 社保欠费
'she'bao'ye'wu 社保业务
'she'bao'zheng'ce 社保政策
'she'hui'bao'xian'bu'tie 社会保险补贴
'she'hui'bao'xian'dai'yu 社会保险待遇
'she'hui'bao'xian'fei 社会保险费
'she'hui'bao'xian'fei'lv 社会保险费率
'she'hui'bao'xian'ji'jin 社会保险基金
'she'hui'bao'xian'shi'ye'guan'li'ju 社会保险事业管理局
'she'hui'bao'xian'zheng'ce 社会保险政策
'she'hui'bao'zhang 社会保障
'she'hui'fa'fang 社会发放
'she'hui'hua'fa'fang 社会化发放
'she'hui'tong'chou'zhang'hu 社会统筹账户
'she'hui'yang'lao'bao'xian'fei 社会养老保险费
'she'ping'gong'zi 社平工资
'she'qu'lao'dong'bao'zhang 社区劳动保障
'sheng'gao'fei'lv 升高费率
'sheng'lao'dong'bao'zhang'ting 省劳动保障厅
'sheng'yu'bao'xian 生育保险
'sheng'yu'bao'xian'fei 生育保险费
'sheng'yu'bao'xian'tong'chou'ji'jin 生育保险统筹基金
'sheng'yu'bao'xian'zhi'du 生育保险制度
'shi'ji'jiao'fei'gong'zi'ping'jun'zhi'shu 实际缴费工资平均指数
'shi'ji'jiao'fei'nian'xian 实际缴费年限
'shi'lao'dong'bao'zhang'ju 市劳动保障局
'shi'tong'jiao'fei 视同缴费
'shi'tong'jiao'fei'gong'ling 视同缴费工龄
'shi'tong'jiao'fei'nian'xian 视同缴费年限
'shi'ye'bao'xian 失业保险
'shi'ye'bao'xian'fei 失业保险费
'shi'ye'bao'xian'tong'chou'ji'jin 失业保险统筹基金
'shi'ye'bao'xian'zhi'du 失业保险制度
'shi'ye'dan'wei'tui'xiu'ren'yuan 事业单位退休人员
'shi'ye'dan'wei'tui'xiu'zhi'gong 事业单位退休职工
'shi'ye'zhuan'xiang'zi'jin 失业专项资金
'shi'ye'zu'zhi 事业组织
'shu'ju'zheng'li 数据整理
'shui'li'xi'tong 水力系统
'si'ying'qi'ye'tou'bao 私营企业投保
'si'ying'tou'bao 私营投保
'te'kun'qi'ye 特困企业
'te'shu'gong'zhong 特殊工种
'ti'qian'tui'xiu 提前退休
'ti'qian'tui'xiu'ren'yuan 提前退休人员
'ti'qian'tui'xiu'zhi'gong 提前退休职工
'tiao'ji'jin 调济金
'tiao'zi 调资
'tong'chou'ji'jin 统筹基金
'tong'chou'nei 统筹内
'tong'chou'wai 统筹外
'tui'xiu'fei 退休费
'tui'xiu'jin 退休金
'tui'xiu'nian'ling 退休年龄
'tui'xiu'ren'yuan 退休人员
'tui'xiu'ren'yuan'si'wang 退休人员死亡
'tui'xiu'shen'bao 退休申报
'tui'xiu'shen'pi 退休审批
'tui'xiu'zheng'nian'jian 退休证年检
'tui'xiu'zhi'gong'nian'jian 退休职工年检
'tui'zhi 退职
'tui'zhi'ren'yuan 退职人员
'tuo'guan'zhong'xin 托管中心
'tuo'qian'bao'xian'fei 拖欠保险费
'tuo'qian'gong'shang'bao'xian'fei 拖欠工伤保险费
'tuo'qian'sheng'yu'bao'xian'fei 拖欠生育保险费
'tuo'qian'shi'ye'bao'xian'fei 拖欠失业保险费
'tuo'qian'yang'lao'bao'xian'fei 拖欠养老保险费
'tuo'qian'yang'lao'jin 拖欠养老金
'tuo'qian'yi'liao'bao'xian'fei 拖欠医疗保险费
'wai'shang'qi'ye'tou'bao 外商企业投保
'wai'zi'qi'ye'tou'bao 外资企业投保
'wan'cheng'qing'kuang 完成情况
'wu'bao'he'yi 五保合一
'xia'gang'fu'wu'zhong'xin 下岗服务中心
'xia'gang'shi'ye'ren'yuan 下岗失业人员
'xia'gang'zhong'xin 下岗中心
'xiang'guan'she'bao'ye'wu 相关社保业务
'xie'bao 协保
'xu'bao 续保
'yan'wu'bu'cha 延五补差
'yang'lao'bao'xian 养老保险
'yang'lao'bao'xian'fei 养老保险费
'yang'lao'bao'xian'tong'chou'ji'jin 养老保险统筹基金
'yang'lao'bao'xian'zhi'du 养老保险制度
'yang'lao'jin 养老金
'yang'lao'jin'yue'biao'zhun 养老金月标准
'yang'lao'jin'zhuan'xiang'bu'zhu 养老金专项补助
'yi'ci'xing'zhi'fu 一次性支付
'yi'liao'bao'xian 医疗保险
'yi'liao'bao'xian'fei 医疗保险费
'yi'liao'bao'xian'tong'chou'ji'jin 医疗保险统筹基金
'yi'liao'bao'xian'zhi'du 医疗保险制度
'yin'bing'tui'xiu 因病退休
'yin'hang'dai'fa 银行代发
'yin'hang'dai'fa'gong'zi 银行代发工资
'yin'hang'dai'fa'tui'xiu'fei 银行代发退休费
'yin'hang'fa'fang 银行发放
'yu'qi'shou'ming 预期寿命
'yue'biao'zhun 月标准
'zai'gang'zhi'gong'yue'ping'jun'gong'zi 在岗职工月平均工资
'zai'zhi'si'wang 在职死亡
'zai'zhi'zhi'gong 在职职工
'zai'zhi'zhi'gong'si'wang 在职职工死亡
'zeng'jia'fei'lv 增加费率
'zeng'jia'tui'xiu'fei 增加退休费
'zeng'jia'tui'xiu'jin 增加退休金
'zeng'zi 增资
'zhang'hu'yu'e 帐户余额
'zheng'ce'xing'po'chan 政策性破产
'zheng'jiao 征缴
'zheng'jiao'ren'wu 征缴任务
'zheng'jiao'she'bao'qian'fei 征缴社保欠费
'zhi'na'jin 滞纳金
'zhi'na'jin'bu'fen 滞纳金部分
'zhi'shu'hua 指数化
'zhi'shu'hua'yue'ping'jun'gong'zi 指数化月平均工资
'zhi'shu'hua'yue'ping'jun'jiao'fei'gong'zi 指数化月平均缴费工资
'zhong'duan'jiao'fei 中断缴费
'zhong'duan'jiao'fei'gong'ling 中断缴费工龄
'zhong'duan'jiao'fei'nian'xian 中断缴费年限
'zhong'duan'jiao'fei'nian'yue 中断缴费年月
'zhong'duan'jiao'fei'qi'jian 中断缴费期间
'zhong'duan'jiao'fei'shi'duan 中断缴费时段
'zhong'zhi'bao'xian'guan'xi 终止保险关系
'zhong'zhi'gong'shang'bao'xian'guan'xi 终止工伤保险关系
'zhong'zhi'sheng'yu'bao'xian'guan'xi 终止生育保险关系
'zhong'zhi'shi'ye'bao'xian'guan'xi 终止失业保险关系
'zhong'zhi'tou'bao 终止投保
'zhong'zhi'yang'lao'bao'xian'guan'xi 终止养老保险关系
'zhong'zhi'yi'liao'bao'xian'guan'xi 终止医疗保险关系
'zhu'nian'di'jian 逐年递减
'zhu'nian'di'zeng 逐年递增
'zhuan'xiang'zi'jin 专项资金
'zi'shou'zi'zhi'shi'ye'dan'wei 自收自支事业单位
'zu'e'fa'fang 足额发放
'zu'e'jiao'fei 足额缴费
'zu'e'zhi'fu 足额支付
