'a'bu'shi 阿布石
'ao'bo'si'jie 奥伯斯阶
'ao'cao 凹槽
'ao'chang'gu'tong'wu'qiu'yun'yan 奥长古铜无球陨岩
'ao'chang'hua'gang'yan 奥长花岗岩
'ao'chang'shan'chang'yan 奥长闪长岩
'ao'chang'shi 奥长石
'ao'chang'yan 奥长岩
'ao'chang'ying'an'yan 奥长英安岩
'ao'de 凹的
'ao'di'xing'di're'tian 凹地型地热田
'ao'fu'te'fa 奥福特法
'ao'he'di'ding 螯合滴定
'ao'he'ji 螯合剂
'ao'he'zhuo 螯合酌
'ao'kuai 坳块
'ao'po'fa'yu 凹坡发育
'ao'si'tei 奥斯忒
'ao'tao'ji 奥陶纪
'ao'tu'bu'ping'de 凹凸不平的
'ao'xia'zheng'chang'yan 奥霞正长岩
'ao'xian 凹陷
'ao'xian'xing'ju'mei'pen'di 坳陷型聚煤盆地
'ao'xing'hua'he'wu 螯形化合物
'ao'xing'xia'po 凹形下坡
'ao'zhou'si'hei'yao'yan 澳洲似黑曜岩
'ba'di 耙地
'ba'en 靶恩
'ba'er'dun'jie 巴尔顿阶
'ba'jin 钯金
'ba'lie'mu'jie 巴列姆阶
'ba'mian'fei'shi 八面沸石
'ba'mian'peng'sha 八面硼砂
'ba'mian'shi 八面石
'ba'mian'ti 八面体
'ba'rou'jie 巴柔阶
'ba'shi'fen'ji'ji 耙式分级机
'ba'tong'jie 巴通阶
'ba'wei'jing 巴潍晶
'ba'ye'yun'mu 八叶云母
'ba'zhu'shi 钯柱石
'bai'chi'si'deng 白炽丝灯
'bai'di'jin'yin'kuang 白碲金银矿
'bai'du 白度
'bai'e'ji 白垩纪
'bai'e'ji'hai'jin 白垩纪海进
'bai'e'ruan'ni 白垩软泥
'bai'fang'fa 摆方法
'bai'fei'shi 白沸石
'bai'gai'mei'fei'shi 白钙镁沸石
'bai'gang'yan 白岗岩
'bai'gui'gai'shi 白硅钙石
'bai'jia'xia'shi 白假霞石
'bai'lin'jian'lv'gai'shi 白磷碱铝钙石
'bai'lin'tie'kuang 白磷铁矿
'bai'liu'ban'yan 白榴斑岩
'bai'liu'cu'mian'yan 白榴粗面岩
'bai'liu'gan'hui'yan 白榴橄辉岩
'bai'liu'jian'xuan'xiang'yan 白榴碱玄响岩
'bai'liu'jian'xuan'yan 白榴碱玄岩
'bai'liu'rong'yan 白榴熔岩
'bai'liu'shi 白榴石
'bai'liu'shi'huo'hui 白榴石火灰
'bai'liu'xia'ban'yan 白榴霞斑岩
'bai'liu'xiang'yan 白榴响岩
'bai'liu'yan 白榴岩
'bai'liu'zheng'chang'yan 白榴正长岩
'bai'lv'qian'kuang 白氯铅矿
'bai'meng'fan 白锰矾
'bai'na'mei'fan 白钠镁矾
'bai'ni'xia'ban'yan 白霓霞斑岩
'bai'ni'xia'yan 白霓霞岩
'bai'nian'tu 白粘土
'bai'peng'gai'shi 白硼钙石
'bai'peng'mei'meng'kuang 白硼镁锰矿
'bai'pi'shi 白铍石
'bai'qian'kuang 白铅矿
'bai'she'wen'shi 白蛇纹石
'bai'shen'nie'kuang 白砷镍矿
'bai'shen'shi 白砷石
'bai'tai'shi 白钛石
'bai'tan 白炭
'bai'tao'shi 白陶石
'bai'tie'kuang 白铁矿
'bai'tou'hui'shi 白透辉石
'bai'tou'yan 白头岩
'bai'wan'fen'lv 百万分率
'bai'wan'fen'zhi'dang'liang 百万分之当量
'bai'wu'kuang 白钨矿
'bai'xia'shi 白霞石
'bai'yan 白岩
'bai'yun'hui'yan 白云灰岩
'bai'yun'mu 白云母
'bai'yun'mu'pian'yan 白云母片岩
'bai'yun'shi 白云石
'bai'yun'shi'hua 白云石化
'bai'zhen'zhu'shi 白针柱石
'bai'zhu'luo'tong 白侏罗统
'ban'an'mei 半暗煤
'ban'bo'ou'ji'zi 半波偶极子
'ban'bo'tian'xian 半波天线
'ban'bo'zhi'de 半玻质的
'ban'chi'qiao 半翅鞘
'ban'chu're'ceng 半储热层
'ban'dao 半岛
'ban'dian'ban'yan 斑点板岩
'ban'dian'kuang 斑点矿
'ban'dian'zhuang'de 斑点状的
'ban'dian'zhuang'gou'zao 斑点状构造
'ban'dong'cao'zong 半动操纵
'ban'hua'da'li'shi 斑花大理石
'ban'hua'shi 半化石
'ban'huang'mo 半荒漠
'ban'ji'xing'jian 半极性键
'ban'jia'ceng 半价层
'ban'jiao'ti 半胶体
'ban'jin'shu 半金属
'ban'jin'shu'guang'ze 半金属光泽
'ban'jing 斑晶
'ban'jing'bi 半径比
'ban'jing'bian'jing 斑晶变晶
'ban'jing'zhi'ban'zhuang'de 半晶质斑状的
'ban'jing'zhi'de 半晶质的
'ban'jing'zhi'jie'gou 半晶质结构
'ban'kuai'bian'yuan 板块边缘
'ban'kuai'di'ceng'xue 板块地层学
'ban'kuai'gou'zao 板块构造
'ban'kuai'nei'bu'di'zhen 板块内部地震
'ban'kuai'peng'zhuang 板块碰撞
'ban'kuai'yun'dong 板块运动
'ban'kuai'yun'dong'xue 板块运动学
'ban'li'qing'mei 半沥青煤
'ban'liang'mei 半亮煤
'ban'lie 斑烈
'ban'lin'gai'shi 板磷钙石
'ban'lin'tie'kuang 板磷铁矿
'ban'mian'xing 半面形
'ban'nian'xing'lian 半粘性怜
'ban'ning'jiao'hua'zu'fen 半凝胶化组分
'ban'peng'shi 板硼石
'ban'pi'li 板劈理
'ban'pian'yan 半片岩
'ban'qian'shi'zuan'tan'ping'tai 半潜式钻探平台
'ban'qian'you'kuang 板铅铀矿
'ban'qiu 半球
'ban'ri'bo 半日波
'ban'sai'lei 瓣鳃类
'ban'shen'cheng'de 半深成的
'ban'shen'hai'dai 半深海带
'ban'shen'hai'xiang 半深海相
'ban'sheng'gou'zao 伴生构造
'ban'sheng'kuang 伴生矿
'ban'sheng'kuang'wu 伴生矿物
'ban'sheng'zhong 伴生种
'ban'shuai'qi 半衰期
'ban'si'zhi'ti 半丝质体
'ban'su'xuan'wu'yan 斑苏玄武岩
'ban'tai'kuang 板钛矿
'ban'ti'shuang'jing 半体双晶
'ban'tong'kuang 斑铜矿
'ban'tuo'yan 斑脱岩
'ban'tuo'ye'yan 斑脱页岩
'ban'wu'yan'mei 半无烟煤
'ban'xia'zheng'chang'xi'jing'yan 斑霞正长细晶岩
'ban'xian'shui'hu 半咸水湖
'ban'xian'wei'su 半纤维素
'ban'yan 斑岩
'ban'yan 板岩
'ban'yan'tong'kuang'chuang 斑岩铜矿床
'ban'yan'tu'rang 板岩土壤
'ban'yuan'yang'xing'chen'ji'wu 半远洋性沉积物
'ban'yun 搬运
'ban'yun'chen'ji 搬运沉积
'ban'za'hui'lv'jie'gou 斑杂辉绿结构
'ban'za'yan 斑杂岩
'ban'zhao'ze'tu 半沼泽土
'ban'zhou 半周
'ban'zhu 半柱
'ban'zhuang'bian'jing 斑状变晶
'ban'zhuang'bian'jing'de 斑状变晶的
'ban'zhuang'de 斑状的
'ban'zhuang'de 板状的
'ban'zhuang'gou'zao 板状构造
'ban'zhuang'hua'gang'yan 斑状花岗岩
'ban'zhuang'jie'gou 斑状结构
'ban'zhuang'jie'li 板状节理
'ban'zhuang'lin'xin'kuang 板状磷锌矿
'ban'zhuang'mai 板状脉
'ban'zi'dong'de 半自动的
'ban'zi'xing'de 半自形的
'ban'zi'xing'gou'zao 半自形构造
'ban'zi'xing'jie'gou 半自形结构
'ban'zi'xing'jing'li'zhuang'jie'gou 半自形晶粒状结构
'ban'zi'xing'li'zhuang'de 半自形粒状的
'bang'jin'kuang 磅金矿
'bang'mo'ji 棒磨机
'bang'tie'kuang 磅铁矿
'bang'zhou'jing 棒皱晶
'bang'zhuang'de 棒状的
'bang'zhuang'jing'ti 棒状晶体
'bao'ba 堡坝
'bao'ba'quan 堡坝泉
'bao'bi 孢壁
'bao'bi'bao'zi'ti 薄壁孢子体
'bao'biao'bi 孢表壁
'bao'ceng 薄层
'bao'ceng'mian 薄层面
'bao'chi'ji'dian'qi 保持继电器
'bao'cun 保存
'bao'cun'cha'de'hua'shi 保存差的化石
'bao'de 苞的
'bao'fa'gao'chao 暴发高潮
'bao'fa'jiao'li'yan 爆发角砾岩
'bao'fen'di'ceng'xue 孢粉地层学
'bao'fen'xue 孢粉学
'bao'fen'zhi'wu'qun 孢粉植物群
'bao'he 饱和
'bao'he'cha 饱和差
'bao'he'ci'hua 饱和磁化
'bao'he'dian 饱和点
'bao'he'du 饱和度
'bao'he'fen'bu 饱和分布
'bao'he'jue're'di'jian'lv 饱和绝热递减率
'bao'he'kong'qi 饱和空气
'bao'he'lian 饱和怜
'bao'he'qing'kuang 饱和情况
'bao'he'rong'ye 饱和溶液
'bao'he'ya'li 饱和压力
'bao'he'yan 饱和岩
'bao'he'yu 饱和阈
'bao'hong 暴洪
'bao'hu'jiao'ti 保护胶体
'bao'hu'tao 保护套
'bao'jiao 堡礁
'bao'jing 包晶
'bao'jing'de 抱茎的
'bao'jing'dian 包晶点
'bao'jing'jie'jing 包晶结晶
'bao'lie 爆裂
'bao'lie'fa 爆裂法
'bao'lie'huo'kou 爆裂火口
'bao'lie'ju'huo'kou 爆裂巨火口
'bao'lie'zhuo 爆裂酌
'bao'lin'zao'shi 包林皂石
'bao'lu 暴露
'bao'lu'nian'ling 暴露年岭
'bao'luo'ceng 包络层
'bao'nang 胞囊
'bao'nang'bing 孢囊柄
'bao'pian 薄片
'bao'po 爆破
'bao'po'jing 爆破井
'bao'po'zhi'shu 爆破指数
'bao'qi'dai 饱气带
'bao'qiu'chong'lei 抱球虫类
'bao'qiu'chong'ruan'ni 抱球虫软泥
'bao'shi 宝石
'bao'shi'xue 宝石学
'bao'shui'dai 饱水带
'bao'ti 包体
'bao'ti'jie'gou 包体结构
'bao'tou'kuang 包头矿
'bao'xi'dian 包析点
'bao'xi'fan'ying 包析反应
'bao'xian'zhuang'zhi 保险装置
'bao'zha'dian 爆炸点
'bao'zhen'xing 保真性
'bao'zi 孢子
'bao'zi'can'zhi'mei 孢子残殖煤
'bao'zi'chong'lei 孢子虫类
'bao'zi'guo 孢子果
'bao'zi'mei 孢子煤
'bao'zi'nang 孢子囊
'bao'zi'qun 孢子群
'bao'zi'ti 孢子体
'bao'zi'wai'bi 孢子外壁
'bao'zi'ye 孢子叶
'bao'zi'zhi'wu 孢子植物
'bei'ban'an'shan'yan 倍斑安山岩
'bei'bing'chang'shi 钡冰长石
'bei'bu 背部
'bei'bu'a'er'bei'si'qian'yan'di 北部阿尔卑斯前沿地
'bei'chang'hui'chang'yan 倍长辉长岩
'bei'chang'shi 钡长石
'bei'chang'shi 倍长石
'bei'chang'su'xuan'yan 倍长苏玄岩
'bei'da'wu'di'kuai 北大误地块
'bei'dao'bo 被导波
'bei'de 北的
'bei'de'shi 贝得石
'bei'dong'shi'yao'gan 被动式遥感
'bei'dou'de 背钭的
'bei'duan'rou'mao'de 被短柔毛的
'bei'fei'shi 钡沸石
'bei'ji 北极
'bei'ji 焙剂
'bei'ji'feng 北极锋
'bei'ji'feng 北极峰
'bei'ji'gao'shan'de 北极高山的
'bei'ji'qi'tuan 北极气团
'bei'ji'quan 北极圈
'bei'ji'ya'qu 北极亚区
'bei'ji'zhi'wu 北极植物
'bei'jian 备件
'bei'jie'shi 钡解石
'bei'jing'zhi 背景值
'bei'ke'duan'kou 贝壳断口
'bei'ke'gou'zao 贝壳构造
'bei'ke'hui'yan 贝壳灰岩
'bei'ke'huo'men 贝壳活门
'bei'ke'jia 贝壳甲
'bei'ke'xian 贝克线
'bei'lei'xue 贝类学
'bei'li'xing'ban'kuai 背离型板块
'bei'lin'lv'shi 钡磷铝石
'bei'long'lei 杯龙类
'bei'mei'meng'kuang 钡镁锰矿
'bei'mian'de 背面的
'bei'shao'kuang'shi 焙烧矿石
'bei'ta'shi 贝塔石
'bei'tian'qing'shi 钡天青石
'bei'tou'shi 北投石
'bei'wei 北纬
'bei'wei'ping'yang'hai'ling 北潍平洋海岭
'bei'xiao'shi 钡硝石
'bei'xie 背斜
'bei'xie'chang'yan 钡斜长岩
'bei'xie'dai 背斜带
'bei'xie'ding 背斜顶
'bei'xie'duan'ceng 背斜断层
'bei'xie'gu 背斜谷
'bei'xie'ji 背斜脊
'bei'xie'li'lun 背斜理论
'bei'xie'long'qi 背斜隆起
'bei'xie'quan'bi 背斜圈闭
'bei'xie'wan'qu 背斜弯曲
'bei'xie'xing'gou'zao 背斜型构造
'bei'xie'xing'xiang'xie 背斜型向斜
'bei'xie'yi 背斜翼
'bei'xie'zhou 背斜轴
'bei'ying'meng'kuang 钡硬锰矿
'bei'you'yun'mu 钡铀云母
'bei'zhen'zhong 背震中
'bei'zhong 贝冢
'bei'zhuang 被状
'bei'zi'de 被子的
'bei'zi'zhi'wu 被子植物
'bei'zi'zhi'wu'shi'dai 被子植物时代
'ben'di 本底
'ben'ou'yin'wo 苯偶姻肟
'ben'san'fen 苯三酚
'ben'zhe'liang 本哲量
'beng'ji'po'di 崩积坡地
'beng'luo 崩落
'beng'luo'xian 崩落线
'beng'ta'zhuo 崩塌酌
'beng'zhan 泵站
'bi'dian'dao'lv 比电导率
'bi'dian'he 比电荷
'bi'dian'li 比电离
'bi'fan 碧矾
'bi'gu 鼻骨
'bi'guan'fen'xi 闭管分析
'bi'he'duan'ceng 闭合断层
'bi'he'wu'cha 闭合误差
'bi'he'zhe'zhou 闭合褶皱
'bi'hua 铋华
'bi'jia 鼻甲
'bi'jiao'qi 比较器
'bi'jiao'sheng'hua'xue 比较生化学
'bi'jiao'xing'xing'xue 比较行星学
'bi'li 比例
'bi'li'fa'ze 比例法则
'bi'li'mo'xing 比例模型
'bi'lin'hui'shi 铋磷灰石
'bi'lv 比率
'bi'mi'du 比密度
'bi'niao'fu'dai 毕鸟夫带
'bi'qiang 鼻腔
'bi're 比热
'bi'rong 比容
'bi'se 闭塞
'bi'se'fa 比色法
'bi'se'fa'ding'liang 比色法定量
'bi'se'fen'xi 比色分析
'bi'se'ji 比色计
'bi'se'qi 比色器
'bi'shi'jie'li 闭式节理
'bi'shi'lei 笔石类
'bi'suo'zhi'wu'qun'luo 闭锁植物群落
'bi'tan'tie'kuang 铋钽铁矿
'bi'tong'kuang 铋铜矿
'bi'tu 铋土
'bi'xuan'yan 碧玄岩
'bi'ye'mian'xia'jiang 比液面下降
'bi'yu 碧玉
'bi'yu'hua 碧玉化
'bi'yu'tie'zhi'yan 碧玉铁质岩
'bi'zhong 比重
'bi'zhong'ji 比重计
'bi'zhong'ping 比重瓶
'bian'an'shan'yan'hua 变安山岩化
'bian'bai'yun'mu 变白云母
'bian'bo'ying'an'yan 变玻英安岩
'bian'cheng'hua'shi 变成化石
'bian'cheng'jiao'dai'shuo 变成交代说
'bian'dou'zhuang'de 扁豆状的
'bian'dou'zhuang'jia'ceng 扁豆状夹层
'bian'dou'zhuang'kuang'mai 扁豆状矿脉
'bian'dou'zhuang'kuang'ti 扁豆状矿体
'bian'dou'zhuang'shuang'jing 扁豆状双晶
'bian'du'dian 边渡点
'bian'du'ke 边渡壳
'bian'du'qu 边渡区
'bian'fang'san'si'mian'ti 扁方三四面体
'bian'ge 变革
'bian'hua'gang'yan 变花岗岩
'bian'hua'xi'shu 变化系数
'bian'huan'pi'li 变换劈理
'bian'hui'lv'yan 变辉绿岩
'bian'jiao'zhuang'gou'zao 变胶状构造
'bian'jie 边界
'bian'jie'ceng 边界层
'bian'jie'mian 边界面
'bian'jie'pin'wei 边界品位
'bian'jie'tiao'jian 边界条件
'bian'jing 变晶
'bian'jing'de 变晶的
'bian'jing'jie'gou 变晶结构
'bian'jing'xi'lie 变晶系列
'bian'jing'yan 变晶岩
'bian'li'shi 扁砾石
'bian'mao 鞭毛
'bian'mao'chong'lei 鞭毛虫类
'bian'qian'jing 变嵌晶
'bian'qian'jing'jie'gou 变嵌晶结构
'bian'qian'jing'zhuang'de 变嵌晶状的
'bian'ren 辨认
'bian'rong'ti 变熔体
'bian'se'zhu'shi 变色柱石
'bian'shan'chang'yan 变闪长岩
'bian'shui 边水
'bian'shui'fang'peng'shi 变水方硼石
'bian'shui'gao'shi 变水锆石
'bian'sui'shi 变燧石
'bian'tai 变态
'bian'wei 变位
'bian'wen'ceng 变温层
'bian'wen'de 变温的
'bian'wen'dong'wu 变温动物
'bian'xian 边限
'bian'xing'chong 变形虫
'bian'xing'dai 变形带
'bian'xing'gou'zao 变形构造
'bian'xing'tuo'qiu'ti 变形椭球体
'bian'xing'zu'gou 变形组构
'bian'xuan'wu'yan 变玄武岩
'bian'ya'qu 变压区
'bian'yi 变异
'bian'yi'tu'jie 变异图解
'bian'yi'xing 变异性
'bian'yu'ban'jing'gou'zao 变余斑晶构造
'bian'yu'ban'zhuang'chang'ying'ma'li'yan 变余斑状长英麻粒岩
'bian'yu'ban'zhuang'de 变余斑状的
'bian'yu'gou'zao 变余构造
'bian'yu'hua'gang'zhuang'jie'gou 变余花岗状结构
'bian'yu'hui'lv'yan'de 变余辉绿岩的
'bian'yu'hui'lv'zhuang'jie'gou 变余辉绿状结构
'bian'yu'li'zhuang'de 变余砾状的
'bian'yu'li'zhuang'jie'gou 变余砾状结构
'bian'yu'mi'ling'yan 变余糜陵岩
'bian'yu'sha'zhuang'jie'gou 变余砂状结构
'bian'yuan 边缘
'bian'yuan'dai 边缘带
'bian'yuan'di'cao 边缘地槽
'bian'yuan'duan'ceng 边缘断层
'bian'yuan'gao'yuan 边缘高原
'bian'yuan'hai 边缘海
'bian'yuan'jie'li 边缘节理
'bian'yuan'long'qi 边缘隆起
'bian'yuan'pian'li 边缘片理
'bian'zhen'fan'gai'shi 变针钒钙石
'bian'zhi 变质
'bian'zhi'chen'ji'wu 变质沉积物
'bian'zhi'cheng'du 变质程度
'bian'zhi'dai 变质带
'bian'zhi'de 变质的
'bian'zhi'fan'ying 变质反应
'bian'zhi'fen'yi'zhuo 变质分异酌
'bian'zhi'hei'tu 变质黑土
'bian'zhi'kuang'chuang 变质矿床
'bian'zhi'kuo'san'zhuo 变质扩散酌
'bian'zhi'quan 变质圈
'bian'zhi'shi'jian 变质事件
'bian'zhi'shui 变质水
'bian'zhi'tu 变质图
'bian'zhi'xiang 变质相
'bian'zhi'xuan'hui 变质旋回
'bian'zhi'yan 变质岩
'bian'zhi'ying'li 变质营力
'bian'zhong 变种
'biao'ben 标本
'biao'ceng 表层
'biao'ceng'tao'guan 表层套管
'biao'cheng'zhi'jing 标称直径
'biao'chi'ce'gan 标尺测杆
'biao'ding 标定
'biao'du'yin'shu 标度因数
'biao'guan'bi'zhong 表观比重
'biao'ji'hua'he'wu 标记化合物
'biao'mian'ceng 表面层
'biao'mian'dian'he 表面电荷
'biao'mian'fan'ying 表面反应
'biao'mian'huo'du 表面活度
'biao'mian'huo'xing'ji'fa 表面活性剂法
'biao'mian'jing'liu 表面径流
'biao'mian'kuo'san 表面扩散
'biao'mian'kuo'zhang 表面扩张
'biao'mian'lou'xie 表面漏泄
'biao'mian'mi'du 表面密度
'biao'mian'mo 表面膜
'biao'mian'neng 表面能
'biao'mian'nian'xing 表面粘性
'biao'mian'qin'shi 表面侵蚀
'biao'mian'shang 表面熵
'biao'mian'shen'tou 表面渗透
'biao'mian'shi'bian 表面蚀变
'biao'mian'xi'shu 表面系数
'biao'mian'zhang'li 表面张力
'biao'mian'zi'you'neng 表面自由能
'biao'nei'chu'liang 表内储量
'biao'pi 表皮
'biao'pi'de 表皮的
'biao'pi'tu 表皮土
'biao'pi'zhe'zhou 表皮褶皱
'biao'qi 表碛
'biao'qi'shi 表碛石
'biao'qian'biao'ji 标签标记
'biao'sheng'cheng'yan'zhuo 表生成岩酌
'biao'sheng'de 表生的
'biao'sheng'gou'zao 表生构造
'biao'tu'fu'gai'yan'ceng'gai'yan'ceng 表土复盖岩层盖岩层
'biao'wai'chu'liang 表外储量
'biao'xian 飑线
'biao'xian 标线
'biao'xing'kuang'wu 标型矿物
'biao'zhun 标准
'biao'zhun'ceng 标准层
'biao'zhun'ceng'wei 标准层位
'biao'zhun'chuan'cha'shi'yan 标准穿插试验
'biao'zhun'deng'ya'mian 标准等压面
'biao'zhun'di'zhi'nian'dai'xue 标准地质年代学
'biao'zhun'dian'ce'jing 标准电测井
'biao'zhun'dian'chi 标准电池
'biao'zhun'hua'shi 标准化石
'biao'zhun'kuang'wu 标准矿物
'biao'zhun'kuang'wu'cheng'fen 标准矿物成分
'biao'zhun'mian 标准面
'biao'zhun'pian'cha 标准偏差
'biao'zhun'qu'xian 标准曲线
'biao'zhun'rong'ye 标准溶液
'biao'zhun'wen'du'biao 标准温度表
'biao'zhun'yang'pin 标准样品
'biao'zhun'yuan'su 标准元素
'biao'zhun'zhui 标准锥
'biao'zhun'zuan'kai'gong'ju 标准钻开工具
'bie'er'ni'sa'er'jie 别尔尼萨尔阶
'bin'hai'di'cao 滨海地槽
'bin'hai'han'shui'ceng 滨海含水层
'bin'wai'zhou 滨外洲
'bin'xi'fa'ni'ya'xi 宾夕法尼亚系
'bing'chang'shi 冰长石
'bing'chuan 冰川
'bing'chuan'ca'hen 冰川擦痕
'bing'chuan'cao 冰川槽
'bing'chuan'chen'ji 冰川沉积
'bing'chuan'di'zhi'xue 冰川地质学
'bing'chuan'dong'xue'xue 冰川洞穴学
'bing'chuan'hu 冰川湖
'bing'chuan'lin'ji 冰川临计
'bing'chuan'ou'xue 冰川瓯穴
'bing'chuan'piao'li 冰川漂砾
'bing'chuan'piao'li'fa 冰川漂砾法
'bing'chuan'ru'jiang 冰川乳浆
'bing'chuan'she 冰川舌
'bing'chuan'xing'hai'mian'sheng'jiang'shuo 冰川性海面升降说
'bing'chuan'xue 冰川学
'bing'chuan'xue'guo 冰川穴锅
'bing'chuan'zhi'wu'qun 冰川植物群
'bing'chuan'zhou'qi 冰川周期
'bing'chuan'zhuo 冰川酌
'bing'di'qi 冰底碛
'bing'dian 冰点
'bing'dou 冰斗
'bing'dou'hu 冰斗湖
'bing'gai 冰盖
'bing'he 冰核
'bing'hou'qi 冰后期
'bing'hou'qi'hai'qin 冰后期海侵
'bing'hou'xi 冰后隙
'bing'ji'tu 冰积土
'bing'jing'shi 冰晶石
'bing'li'fu 冰砾阜
'bing'liang're'ji 冰量热计
'bing'mao 冰帽
'bing'pu 冰瀑
'bing'pu'bu 冰瀑布
'bing'qi 冰期
'bing'qi 冰碛
'bing'qi'chen'ji 冰碛沉积
'bing'qi'dui'ji 冰碛堆积
'bing'qi'hou'de'shi'qi 冰期后的时期
'bing'qi'hu 冰碛湖
'bing'qi'jie'di 冰碛阶地
'bing'qi'jing'guan 冰碛景观
'bing'qi'nian'tu 冰碛粘土
'bing'qi'ping'yuan 冰碛平原
'bing'qi'tu 冰碛土
'bing'qi'wu 冰碛物
'bing'qi'yan 冰碛岩
'bing'shan 冰山
'bing'shi 冰蚀
'bing'shi'gao'yuan 冰蚀高原
'bing'shi'gu 冰蚀谷
'bing'shi'gu'hu 冰蚀谷湖
'bing'shi'hu 冰蚀湖
'bing'shi'lun'hui 冰蚀轮回
'bing'shui'chen'ji 冰水沉积
'bing'shui'chen'ji'ping'yuan 冰水沉积平原
'bing'shui'hun'he'yun 冰水混合云
'bing'shui'jie'di 冰水阶地
'bing'shui'li 冰水砾
'bing'tai 冰台
'bing'tong 冰铜
'bing'xi'chan'sheng'lie'feng 冰隙产生裂缝
'bing'xia'pen'fa 冰下喷发
'bing'xiao 冰消
'bing'xue'qi'hou 冰雪气候
'bing'xue'zhi'wu 冰雪植物
'bing'yong'de 冰用的
'bing'yuan 冰原
'bing'yuan'shi'shan 冰原石山
'bing'yuan'xi'jun 病源细菌
'bing'yuan'xian'xiang 冰缘现象
'bing'yun 冰云
'bing'zhang 冰障
'bing'zhao'qian'yu'tu 冰沼潜育土
'bing'zhen 冰针
'bing'zhou'shi 冰洲石
'bo'ban'zhuang'jie'gou 玻斑状结构
'bo'bao 波包
'bo'bei'ke 波倍克
'bo'chang 波长
'bo'de'bian'xing 波的变形
'bo'de'chuan'bo 波的传播
'bo'de'fan'she 波的反射
'bo'de'tong'she 波的统射
'bo'di'cao 薄地槽
'bo'dong 波动
'bo'dong'dian'liu 波动电流
'bo'dong'xiao'guang 波动消光
'bo'er'di'jie 波尔迪阶
'bo'hen 波痕
'bo'ji'ban'yan 玻基斑岩
'bo'ji'ban'zhuang'de 玻基斑状的
'bo'ji'cu'li'xuan'wu'yan 玻基粗粒玄武岩
'bo'ji'hui'gan'yan 玻基辉橄岩
'bo'jing'fan'gai'shi 薄晶钒钙石
'bo'jing'jiao'zhi'de 玻晶交织的
'bo'jing'zhi'de 玻晶质的
'bo'lang'zhuang'xiang'qian'gou'zao 波浪状镶嵌构造
'bo'li 剥理
'bo'li 玻璃
'bo'li'cu'mian'yan 玻璃粗面岩
'bo'li'dan'bai'shi 玻璃蛋白石
'bo'li'guang'ze 玻璃光泽
'bo'li'ning'hui'yan 玻璃凝灰岩
'bo'li'si'tan 玻璃丝炭
'bo'li'zhi'de 玻璃质的
'bo'li'zhuo 剥离酌
'bo'lu'zhun'ping'yuan 剥露准平原
'bo'luo'de'di'dun 波罗的地盾
'bo'mei'ceng 薄煤层
'bo'mo 薄膜
'bo'mo'shui 薄膜水
'bo'qian 波前
'bo'shi 剥蚀
'bo'shi'jiao'li'yan 剥蚀角砾岩
'bo'shi'jing 勃氏镜
'bo'shi'ping'yuan 剥蚀平原
'bo'shu 波数
'bo'shui'mu 钵水母
'bo'si'tuo'tou'ying 波斯托投影
'bo'su 波速
'bo'te'lan'jie 波特兰阶
