'bai'bu'chuan'yang 百步穿杨
'ka'bing 卡兵
'ka'wei 卡位
'kong'she 控蛇
'kong'xian 控线
'ku'rou'ji 苦肉计
'kuang'nu'ji 狂怒击
'kuang'qi 狂气
'kuang'zhan'shi 狂战士
'kuang'zhan'shi'zhi'fu 狂战士之斧
'kun'ta 捆他
'kun'xian'sheng 捆仙绳
'la'ji'ying'xiong 垃圾英雄
'lei'ji 雷击
'lei'ming'zhan'gu 雷鸣战鼓
'lei'ting'ji 雷霆击
'lei'ting'yi'ji 雷霆一击
'lei'yu 雷玉
'li'liang'hu'wan 力量护腕
'li'liang'qiang'hua 力量强化
'li'liang'shou'tao 力量手套
'li'liang'zhi'fu 力量之斧
'liao'yu'jie'jie 疗愈结界
'lie'yan'feng'bao 烈焰风暴
'lie'yu 烈玉
'ling'hun'ran'shao 灵魂燃烧
'ling'tong 凌统
'liu'bei 刘备
'liu'mang 流氓
'liu'mang'ci'ke 流氓刺客
'long'juan'feng 龙卷风
'long'juan'xuan'feng'zhan 龙捲旋风斩
'long'zhi'xin 龙之心
'long'zhi'xue 龙之血
'lu'su 鲁肃
'lu'xun 陆逊
'luan'shi'zhi'jian'xiong 乱世之奸雄
'luo'da 落大
'lv'meng 吕蒙
'ma'chao 马超
'ma'dai 马岱
'ma'fei'san 麻沸散
'ma'liang 马良
'ma'liang'zhan'shu 马良战术
'mai'bang 买棒
'mai'yan 买眼
'mei'huo'shu 魅惑术
'mei'mo 没魔
'meng'de 孟德
'meng'de'xin'shu 孟德新书
'meng'huo 孟获
'meng'long'zhi'wu 朦胧之舞
'meng'qin'yin'ji 猛禽印记
'mi'huo'shu 迷惑术
'mi'li'wu'bu 迷离舞步
'mi'zhu 麋竺
'miao'tui 秒退
'min'jie'jie'zhi 敏捷戒指
'min'jie'zhi'jie 敏捷之戒
'mo'fa'chang'pao 魔法长袍
'mo'fa'fang'yu 魔法防御
'mo'fa'mian'yi 魔法免疫
'mo'fa'suo'lian 魔法锁链
'mo'jian 魔箭
'mo'kang 魔抗
'mo'li'fan'shi 魔力反噬
'mu'jing'zhao'huan 木精召唤
'nai'li'tou'kui 耐力头盔
'ni'lin 逆鳞
'ni'shang'yu'yi'wu 霓裳羽衣舞
'ning'jing 宁静
'pang'tong 庞统
'pang'zi 胖子
'po'cheng 破城
'po'liang 破粮
'po'liang'cang 破粮仓
'po'shang 破上
'po'xia 破下
'po'zhong 破中
'qi'lin'xin 麒麟心
'qi'men'dun'jia 奇门遁甲
'qi'shu 骑术
'qi'xing'jian 七星剑
'qiang'dao 强盗
'qiang'ji'guang'huan 强击光环
'qing'hong 青虹
'qing'hong'jian 青虹剑
'qing'long'dan 青龙胆
'qing'long'fan'jiang'zhan 青龙翻江斩
'qing'long'yan'yue'dao 青龙偃月刀
'qing'nang 青囊
'qing'nang'fang 青囊方
'qing'nang'shu 青囊书
'qu'san 驱散
'ren'shu 忍术
'ren'zhe'de'fen'nu 仁者的愤怒
'ruo'dian'gong'ji 弱点攻击
'san'hua 散华
'san'zhuang'shan'dian 散状闪电
'sha'chuan'zhang 杀船长
'shan'bi 闪避
'shan'dian'dun 闪电盾
'shan'dian'lian 闪电链
'shan'dian'qiu 闪电球
'shan'ji 闪击
'shan'shuo 闪烁
'shang'lu 上路
'shang'xia'you 上下游
'shao'gang'shou'wei 哨岗守卫
'she'hun'qu 摄魂曲
'she'xing'jie'jie 蛇形结界
'shen'hai'qian'long 深海潜龙
'shen'long'bai'wei 神龙摆尾
'shen'nong 神农
'shen'nong'ben'cao 神农本草
'shen'sheng'hu'jia 神圣护甲
'shen'su 神速
'shen'su'fu 神速符
'sheng'guang'shu 圣光术
'sheng'long'da'ji 升龙打击
'sheng'ming'zhi'jie 生命之戒
'shi'bao 尸爆
'shi'cao'shu 尸操术
'shi'fang'yuan'wu'qu 十方圆舞曲
'shi'fu'qun 食腐群
'shi'huan 饰环
'shi'zi'fen'xun 狮子奋迅
'shi'zi'lian'zhan 十字连斩
'shou'li'jian 手里剑
'shu'xing'liu 属性流
'shua'che 刷车
'shua'qing'nang 刷青囊
'shuang'kong 双控
'shui'dan'chong'ji 水弹冲击
'shui'dun'zhi'shu 水遁之术
'shui'jing'ling'wang 水精灵王
'shui'lao'jin'gu 水牢禁锢
'shui'lao'zhi'shu 水牢之术
'shui'qiang 水墙
'shui'qiang'shu 水墙术
'shui'ren 水人
'shui'shi'shen 水式神
'shui'ti'bao'po 水体爆破
'shui'tu'feng'bao 水土风暴
'shui'wen'zhen'dang 水纹震荡
'si'ma'yi 司马懿
'si'wang'shi'zi 死亡十字
'su'du'lai 速度来
'su'du'zhi'xue 速度之靴
'su'yan 速眼
'suan'yu'yu'shan 酸与羽扇
'sui'han'zhi'cuo 岁寒之锉
'sun'quan 孙权
'sun'shang'xiang 孙尚香
'sun'zi'bing'fa 孙子兵法
'suo'ta 锁他
'tai'ping'yao'shu 太平要术
'tai'shi'ci 太史慈
'teng'jia 藤甲
'teng'jia'kai 藤甲铠
'ti'ta 踢他
'tian'da'lei'pi'tu'zhen'long 天打雷劈屠真龙
'tian'huo'hu'lai 天火呼来
'tian'lei'ji 天雷击
'tian'luo'di'wang 天罗地网
'tian'sheng'ling'min 天生灵敏
'tiao'yue'shui'zhu 跳跃水柱
'tie'huo 贴火
'tie'ji 铁戟
'tie'mu'shu'zhi 铁木树枝
'tie'qiang 铁枪
'tong'gui'yu'jin 同归於尽
'tou'shi'che 投石车
'tuan'jie'yi'xin 团结一心
'tui'liang 退粮
'tui'mo 退魔
'tui'mo'dao 退魔刀
'tui'mo'ji 退魔击
'tui'shang 推上
'tui'xia 推下
'tui'zhong 推中
'tun'shi'mo'fa 吞食魔法
'wan'ma'ben'teng 万马奔腾
'wan'mei'da 完美大
'wan'mei'diao'da 完美掉大
'wan'mei'xing'luo 完美星落
'wei'yan 魏延
'wei'zhuang'qi'xi 伪装奇袭
'wo'long'guang'xian 卧龙光线
'wu'shi'dao 武士刀
'wu'shu'mo'zhang 巫术魔杖
'wu'shuang 无双
'wu'xian'la 无限拉
'wu'yue'yu'zhan 五月雨斩
'xi'qu'sheng'ming 吸取生命
'xi'xue'bi'shou 吸血匕首
'xi'xue'jie'jie 吸血结界
'xia'hou'dun 夏侯惇
'xia'hou'yuan 夏侯渊
'xia'lu 下路
'xia'zi 虾子
'xian'dan 仙丹
'xian'yin 显隐
'xian'yin'bao'shi 显隐宝石
'xiang'xue 翔靴
'xiao'bing 小冰
'xiao'qiao 小乔
'xiao'ri'ben 小日本
'xiao'shui'ren 小水人
'xiao'xia'hou 小夏侯
'xie'e'xin'yang 邪恶信仰
'xing'dong'po'huai 行动破坏
'xing'luo 星落
'xing'luo'dan'wei 星落单位
'xing'zhi'ji 星之击
'xiong'mao'huo'yan 熊猫火焰
'xu'chu 许褚
'xu'huang 许晃
'xu'huang 徐晃
'xu'shu 徐庶
'xuan'feng'zhan 旋风斩
'xuan'hu'ji'shi 悬壶济世
'xuan'tie'bi'shou 玄铁匕首
'xuan'wu 玄武
'xuan'wu'fu 玄武斧
'xuan'wu'jia 玄武甲
'xue'fu 血斧
'xue'jian 血溅
'xue'xi'cai'yao 学习采药
'xue'xi'chong'sheng 学习重生
'xun'yu 荀彧
'yan'ji'bo 焰击波
'yan'wu'dan 烟雾弹
'yan'yu 炎玉
'yang'zhang 羊杖
'yao'huo 妖火
'yao'mu'fa'guang 耀目法光
'yao'shu 妖术
'yao'xiao'zhuan'huan 药效转换
'ye'huo'liao'yuan 野火燎原
'ye'ming'zhu 夜明珠
'ye'tai'huo 液态火
'ye'wai'sheng'cun 野外生存
'ye'xing'zhan'hun 野性战魂
'yi'liao 医疗
'yi'liao'ji 医疗剂
'yi'liao'shou'wei 医疗守卫
'yi'ren'mian'zhao 艺人面罩
'yi'tian'jian 倚天剑
'yi'tian'zhi'jian'jian 倚天之奸剑
'yin'jian 银剑
'yin'qiang 银枪
'yin'xian'di'lei 引线地雷
'yin'xian'zha'dan 引线炸弹
'yin'yue'fei'dao 银月飞刀
'yin'zhan 隐斩
'ying'fen'shen 影分身
'ying'hua'pi'fu 硬化皮肤
'ying'yan 鹰眼
'you'da 有大
'you'zou 游走
'yu'jian'zhi'ling 御剑之灵
'yu'jin 于禁
'yuan'jian'shu 远箭术
'yuan'shi 源式
'yuan'shi'zhi'kai 源式之铠
'yuan'yang'po 鸳鸯破
'yue'guang'qiang 月光枪
'yue'xia'mei'ren 月下美人
'yue'ying 月瑛
'yun'chui 晕锤
'yun'ta 晕他
'zai'sheng'zhi'jie 再生之戒
'zha'dan 炸弹
'zha'dan'ren 炸弹人
'zha'dan'tou'zhi 炸弹投掷
'zha'yao'tong 炸药桶
'zhan'chang'fa'ze 战场法则
'zhan'dou'min'rui 战斗敏锐
'zhan'dou'min'zu 战斗民族
'zhan'dou'xun'lian 战斗训练
'zhan'yi 战意
'zhan'zheng'jian'ta 战争践踏
'zhang'ba'she'mao 丈八蛇矛
'zhang'fei 张飞
'zhang'he 张颌
'zhang'he 张合
'zhang'liao 张辽
'zhang'zhao 张昭
'zhao'huan'bian'fu 召唤蝙蝠
'zhao'huan'hai'yuan'su 召唤海元素
'zhao'huan'huo'shen 召唤火神
'zhao'huan'lao'hu 召唤老虎
'zhao'huan'mao'tou'ying 召唤猫头鹰
'zhao'huan'rou'kui'lei 召唤肉傀儡
'zhao'huan'shui'jing'ling'wang 召唤水精灵王
'zhao'huan'xuan'wu 召唤玄武
'zhao'huan'zhan'xiang 召唤战象
'zhao'huan'zhu'que 召唤朱雀
'zhao'yun 赵云
'zhen'di'ji 震地击
'zhen'ji 甄姬
'zhen'jiu 针灸
'zhen'tian'gong 震天弓
'zhen'zuo 振作
'zheng'dun'jun'ji 整顿军纪
'zhi'li'dou'peng 智力斗篷
'zhi'liao'bang 治疗棒
'zhi'liao'bo 治疗波
'zhi'liao'pen'wu 治疗喷雾
'zhi'liao'shou'wei 治疗守卫
'zhi'liao'zhi'feng 治疗之风
'zhi'ming'jie'jie 致命结界
'zhi'ming'yi'ji 致命一击
'zhong'ji 重击
'zhong'lu 中路
'zhou'yu 周瑜
'zhu'ge 诸葛
'zhu'ge'liang 诸葛亮
'zhu'que'yi 朱雀翼
'zhu'rong 祝融
'zhu'rong'fu'ren 祝融夫人
'zhu'zao'chui 铸造锤
'zhu'zao'yong'chui 铸造用锤
'zhu'zao'zhi'chui 铸造之锤
'zhuan'shu 专属
'zhuan'shu 专署
'zhuan'zhu'guang'huan 专注光环
'zhui'hun 追魂
'zi'bao 自爆
'zi'ran 自燃
'zui'quan 醉拳
'zui'wo'sha'chang 醉卧沙场
