'ba'tai 吧台
'la'gan'xiang 拉杆箱
'la'li 拉力
'la'xian'lei'yue'qi 拉弦类乐器
'lan'qiu'xie 篮球鞋
'lan'qiu'yong'pin 篮球用品
'lei'qiu'yong'pin 垒球用品
'lian'gong'xie 练功鞋
'liu'bing 溜冰
'lv'xing'bao 旅行包
'lv'you 旅游
'lv'you'fu'wu 旅游服务
'ma'jiang 麻将
'ma'jiang'zhuo 麻将桌
'ma'shu'yong'ju 马术用具
'man'pao'xie 慢跑鞋
'mu'tan 木炭
'pai'qiu'yong'pin 排球用品
'pan'deng'jia 攀登架
'pan'yan'yong'pin 攀岩用品
'pao'bu'ji 跑步机
'peng'peng'che 碰碰车
'piao'liu'yong'pin 漂流用品
'piao'wu'fu'wu 票务服务
'ping'pang'qiu'yong'pin 乒乓球用品
'pu'ke 扑克
'qi'dong'hua'ban'che 汽动滑板车
'qi'pai 棋牌
'qi'pai'zhuo 棋牌桌
'qi'ta'chong'wu'yong'pin 其他宠物用品
'qi'ta'gao'er'fu'yong'pin 其他高尔夫用品
'qi'ta'hu'wai'yong'pin 其他户外用品
'qi'ta'hua'ban'che 其他滑板车
'qi'ta'ji'xian'yun'dong'yong'pin 其他极限运动用品
'qi'ta'jian'shen'qi'cai 其他健身器材
'qi'ta'jiu'dian'jia'ju 其他酒店家具
'qi'ta'liu'bing 其他溜冰
'qi'ta'qi'pai 其他棋牌
'qi'ta'shao'kao'yong'ju 其他烧烤用具
'qi'ta'ti'yu'yun'dong'pei'tao'chan'pin 其他体育运动配套产品
'qi'ta'xiu'xian'jia'ju 其他休闲家具
'qi'ta'you'yi'she'shi 其他游艺设施
'qi'ta'yue'qi 其他乐器
'qi'ta'yun'dong'fu'zhuang 其他运动服装
'qi'ta'yun'dong'hu'ju 其他运动护具
'qi'ta'yun'dong'mao 其他运动帽
'qi'ta'yun'dong'xie 其他运动鞋
'qian'shui'yong'pin 潜水用品
'qiao'qiao'ban 跷跷板
'qiu'fu 球服
'qiu'ku 球裤
'qiu'lei'da'qi'tong 球类打气筒
'qiu'qian 秋千
'qu'gun'qiu 曲棍球
'quan'ji'qi'xie 拳击器械
'rou'dao'fu 柔道服
'sai'che'mao 赛车帽
'sang'na 桑拿
'sha'hu'qiu'yong'pin 沙狐球用品
'sha'tan'xi 沙滩席
'sha'tan'yi 沙滩椅
'shao'kao'cha 烧烤叉
'shao'kao'jia 烧烤架
'shao'kao'lu 烧烤炉
'shao'kao'wang 烧烤网
'shao'kao'yong'ju 烧烤用具
'she'ji 射击
'she'jian'yong'pin 射箭用品
'sheng'dai 绳带
'shi'nei'jian'shen'fu'zhuang 室内健身服装
'shou'cang'pin 收藏品
'shou'dian'tong 手电筒
'shou'qiu'yong'pin 手球用品
'shuai'zhi'ji 甩脂机
'shui'dai 睡袋
'shui'hu 水壶
'shui'shang'you'yi'she'shi 水上游艺设施
'shui'shang'yun'dong'yong'pin 水上运动用品
'shui'zu'qi'cai 水族器材
'ta'bu'ji 踏步机
'tai'qiu'yong'pin 台球用品
'tai'quan'dao 跆拳道
'tai'yang'jing 太阳镜
'tan'bo'lei'yue'qi 弹拨类乐器
'tao'qi'bao 淘气堡
'tao'quan 套圈
'ti'cao'yong'pin 体操用品
'ti'yu'yong'pin 体育用品
'ti'yu'yun'dong'chan'pin'dai'li 体育运动产品代理
'ti'yu'yun'dong'chan'pin'jia'gong 体育运动产品加工
'ti'yu'yun'dong'pei'tao'chan'pin 体育运动配套产品
'ti'yu'yun'dong'xiang'mu'he'zuo 体育运动项目合作
'tian'jing'yong'pin 田径用品
'tiao'chuang 跳床
'tiao'sheng 跳绳
'tou'zi 骰子
'wang'qiu'yong'pin 网球用品
'wang'yu'yun'dong'xie 网羽运动鞋
'wang'yuan'jing 望远镜
'wei'qi 围棋
'wo'li'qi 握力器
'wu'dao 舞蹈
'wu'dao'xie 舞蹈鞋
'wu'shu'yong'pin 武术用品
'xi'ju'yong'pin 戏剧用品
'xing'li'che 行李车
'xing'li'xiang 行李箱
'xiu'xian'jia'ju 休闲家具
'xue'jing 雪镜
'ya'ling 哑铃
'yao'bai'ji 摇摆机
'ye'ying'deng 野营灯
'yong'ku 泳裤
'yong'zhuang 泳装
'you'xi'qi 游戏棋
'you'yi'she'shi 游艺设施
'you'yong'mao 游泳帽
'yu'le'xiu'xian'chan'pin'dai'li 娱乐休闲产品代理
'yu'le'xiu'xian'chan'pin'jia'gong 娱乐休闲产品加工
'yu'le'xiu'xian'xiang'mu'he'zuo 娱乐休闲项目合作
'yu'le'xiu'xian'yong'pin 娱乐休闲用品
'yu'mao'qiu'yong'pin 羽毛球用品
'yue'qi 乐器
'yue'qi'pei'jian 乐器配件
'yun'dong'ce'shi'yi'qi 运动测试仪器
'yun'dong'dian'zi 运动垫子
'yun'dong'fu'shi 运动服饰
'yun'dong'fu'zhuang 运动服装
'yun'dong'hu'ju 运动护具
'yun'dong'mao 运动帽
'yun'dong'xie 运动鞋
'zhang'peng 帐篷
'zhe'die'chuang'xing'jun'chuang 折叠床行军床
'zhe'die'yi 折叠椅
'zhe'die'zhuo 折叠桌
'zhi'nan'zhen 指南针
'zhong'guo'xiang'qi 中国象棋
'zhong'shi'wu'shu'fu'zhuang 中式武术服装
'zhuan'yi 转椅
'zi'xing'che'mao 自行车帽
'zu'he'hua'ti 组合滑梯
'zu'he'jian'shen'qi'xie 组合健身器械
'zu'he'kao'ju 组合烤具
'zu'he'yun'dong'hu'ju 组合运动护具
'zu'qiu'xie 足球鞋
'zu'qiu'yong'pin 足球用品
'zu'yu'she'bei 足浴设备
