'ben'ju'you'er'qin'yu'bi 本具有而勤于彼
'fa'xin'wu'yu'wu'xiang'si'gu 发心无喻无相似故
'fa'xin'wu'yuan'zeng'zhang'da'ci'gu 发心无愿增长大慈故
'fa'xin'xian'ming'xing'chang'jing'gu 发心鲜明性常净故
'fa'xin'xiang'xu'bu'xi'yu'cheng'gu 发心相续不希余乘故
'fa'xin'zeng'zhang'sui'yi'shi'yu'gu 发心增长随意施与故
'fa'xin'zhi'chang'you'wei'fa'wu'chang'gu 发心至常有为法无常故
'fa'xin'zhuang'yan'yi'qie'gong'de'xi'cheng'jiu'gu 发心庄严一切功德悉成就故
'fa'yin'xiang'ying'fa'xin'yi'ru'shi 法印相应发心亦如是
'fan'nao'sui'ta'zhuan 烦恼随他转
'fang'bian'xiang'ying'fa'xin'yi'ru'shi 方便相应发心亦如是
'fei'bang'she'qi'sheng'wen'cheng 诽谤舍弃声闻乘
'fu'zhi'fa'cai'zhi'suo'ju'gu 福智法财之所聚故
'gong'de'fa'bao'cong'bi'sheng'gu 功德法宝从彼生故
'gong'fo'pu'sa'yu'yuan'jue 供佛菩萨与缘觉
'gong'tong'yuan'man'pu'ti'guo 共同圆满菩提果
'gu'fang'bian'shan'qiao'jing'shuo'shi'gen'ben'zui'yun 故方便善巧经说是根本罪云
'guang'da'xing'pai'e'zuo'zui 广大行派恶作罪
'he'yi'xiang'si 何义相似
'heng'shi'dang'yi'yi'nian'xiu 恒时当以忆念修
'huo'zhi'er'bing'ci'neng'po'gu 惑智二病此能破故
'ji'yi'xiang'ying'fa'xin'yi'ru'shi 极依相应发心亦如是
'ji'yue 偈曰
'jia'ye 迦叶
'jia'ye'qing'wen'jing 迦叶请问经
'jiang'yi'qie'zhong'sheng'an'zhi'yu'da'cheng 将一切众生安置于大乘
'jiao'wang'jing 教王经
'jie'tuo'yi'qie'zhong'sheng'ren'shou'e'yan 解脱一切众生忍受恶言
'ju'jue'jie'shou'jin'zi'deng 拒绝接受金子等
'ju'xiang'ying'fa'xin'yi'ru'shi 聚相应发心亦如是
'ju'you'ci'xin'wu'bu'shan 具有慈心无不善
'jue'fen'xiang'ying'fa'xin'yi'ru'shi 觉分相应发心亦如是
'li'yi'an'le'bu'tui'huai'gu 利益安乐不退坏故
'li'yi'zhong'sheng'xing'wei'shao 利益众生行为少
'liang'xiang'ying'fa'xin'yi'ru'shi 量相应发心亦如是
'nei'xin'bu'si'li'lun'hui 内心不思离轮回
'nei'xin'gen'sui'chen'hui'zhuan 内心跟随嗔恚转
'nei'xin'gen'sui'yu'wang'zhuan 内心跟随欲望转
'neng'qian'ta'ku'bu'qian'chu 能遣他苦不遣除
'neng'wei'zheng'dao'bu'huai'yin'gu 能为正道不坏因故
'pi'bi'fa'xin 譬彼发心
'pi'li'ye'bo'luo'mi'xiang'ying'fa'xin'yi'ru'shi 毗梨耶波罗蜜相应发心亦如是
'pi'ru'bao'qie 譬如宝箧
'pi'ru'cang'ku 譬如仓库
'pi'ru'che'cheng 譬如车乘
'pi'ru'da'di 譬如大地
'pi'ru'da'hai 譬如大海
'pi'ru'da'yun'neng'cheng'shi'jie 譬如大云能成世界
'pi'ru'da'zang 譬如大藏
'pi'ru'guo'wang 譬如国王
'pi'ru'he'liu 譬如河流
'pi'ru'jin'gang 譬如金刚
'pi'ru'jing'jin 譬如净金
'pi'ru'mei'yue 譬如美乐
'pi'ru'ru'yi'zhu 譬如如意珠
'pi'ru'shan'wang 譬如山王
'pi'ru'shan'you 譬如善友
'pi'ru'sheng'ri 譬如盛日
'pi'ru'sheng'wen'yu'you'yu'yi'nie'pan'er'bu'kan'ren 譬如声闻于有余依涅盘而不堪任
'pi'ru'wang'lu 譬如王路
'pi'ru'xi'sheng 譬如喜声
'pi'ru'xin'yue 譬如新月
'pi'ru'xu'kong'bu'ke'qiong'jin 譬如虚空不可穷尽
'pi'ru'yao'wang 譬如药王
'pi'ru'yong'quan 譬如涌泉
'pi'ru'zeng'huo 譬如增火
'pu'sa'jie'er'shi'song 菩萨戒二十颂
'pu'sa'ru'shi'wei'yi'qie'zhi'fa'pu'ti'xin 菩萨如是为一切智发菩提心
'qi'ke'jin'ye 岂可尽耶
'qi'zhong'di'yi'fen'liu'lei 其中第一分六类
'qin'xiang'ying'fa'xin'yi'ru'shi 勤相应发心亦如是
'qin'xing'wai'dao'le'yu'bi 勤行外道乐于彼
'qiu'jie'tuo'zhe'suo'le'wen'gu 求解脱者所乐闻故
'ran'fa'yu'qiu'yuan'jue'luo'han'xin 然发欲求缘觉罗汉心
'ru'cang'ru'bao'qie 如藏如宝箧
'ru'ci'deng'ji'er'shi'er'pi 如此等及二十二譬
'ru'ci'fa'xin'yu'zhu'pi'yu 如此发心与诸譬喻
'ru'dao'ru'che'cheng 如道如车乘
'ru'di'ru'jing'jin 如地如净金
'ru'hai'ru'jin'gang 如海如金刚
'ru'liu'yi'ru'yun 如流亦如云
'ru'quan'ru'xi'sheng 如泉如喜声
'ru'ri'ru'mei'yue 如日如美乐
'ru'ri'shu'gu'cheng'shu'zhong'sheng'gu 如日熟谷成熟众生故
'ru'shan'ru'yao'wang 如山如药王
'ru'sheng'zhe'wu'jin'hui'jing'guang'shuo'ying'zhi 如圣者无尽慧经广说应知
'ru'wang'ru'ku'cang 如王如库仓
'ru'you'ru'ru'yi 如友如如意
'ru'yue'ru'zeng'huo 如月如增火
'ruo'ju'si'fa 若具四法
'ruo'yu'sheng'wen'pi'zhi'fo'xing'xiang'ying'zuo'yi 若于声闻辟支佛行相应作意
'san'men'bu'gong'san'bao'zun 三门不供三宝尊
'shan'gen'hui'xiang'zhu'zhong'sheng 善根回向诸众生
'shan'nan'zi 善男子
'she'li'fu'yan 舍利弗言
'she'qi'pu'ti'xin 舍弃菩提心
'she'qi'yi'qie'chen'hen'zhe 舍弃一切嗔恨者
'she'qi'yi'qie'po'jie'zhe 舍弃一切破戒者
'she'xiang'ying'fa'xin'yi'ru'shi 摄相应发心亦如是
'shen'shen'jian'pai'zhong'gen'zhe'si'zhong'zui 甚深见派中根者四重罪
'shen'tong'xiang'ying'fa'xin'yi'ru'shi 神通相应发心亦如是
'sheng'zhe'wu'jin'hui'jing 圣者无尽慧经
'shi'bo'luo'mi'xiang'ying'fa'xin'yi'ru'shi 尸波罗蜜相应发心亦如是
'shi'chan'ding'wei'wei'gong'de 视禅定味为功德
'shi'ji'xiang'yi'bu'chan'chu 时机相宜不铲除
'shi'ming'pu'sa'gen'ben'zhong'zui 是名菩萨根本重罪
'shi'xian'ba'xiang'cheng'dao'hua'zhong'sheng'gu 示现八相成道化众生故
'shi'yue 释曰
'shuo'fa'jiao'hua'she'zhong'sheng'gu 说法教化摄众生故
'sui'suo'yu'xian'neng'cheng'jiu'gu 随所欲现能成就故
'sui'you'fan'nao'bu'dui'zhi 虽有烦恼不对治
'sui'yu'ju'zhi'jie'zhong'hang'shi'shan 虽于俱胝劫中行十善
'suo'yi'zhe'he 所以者何
'suo'zuo'suo'wei'shu'zhong'duo 所作所为数众多
'ta'ren'man'ma'hai'ma'deng 他人谩骂还骂等
'tan'bo'luo'mi'xiang'ying'fa'xin'yi'ru'shi 檀波罗蜜相应发心亦如是
'tui'shi'li'ta'si'e'zuo 退失利他四恶作
'wei'qiu'ming'li'she'juan'shu 为求名利摄眷属
'wei'shan'nan'zi 唯善男子
'wei'she'li'fu 唯舍利弗
'wei'ta'xin'yang'bu'xiu'xue 为他信仰不修学
'wei'yi'an'li'bu'she'yuan'xin'yi'tiao 唯一安立不舍愿心一条
'wei'yi'qie'zhi'fa'pu'ti'xin 为一切智发菩提心
'wei'zhuang'ru'fa'shuo 伪装如法说
'wen'zhe'sui'duo'fa'wu'jin'gu 闻者虽多法无尽故
'wu'jin'yi'pu'sa'jing 无尽意菩萨经
'wu'jin'yi'yan 无尽意言
'wu'liang'xiang'ying'fa'xin'yi'ru'shi 无量相应发心亦如是
'wu'sheng'ren'dao'zi'ran'er'liu'bu'zuo'yi'gu 无生忍道自然而流不作意故
'wu'wu'neng'dong'yi'bu'luan'gu 物无能动以不乱故
'xi'qiu'xin'yang'yu'xian'mu 希求信仰与羡慕
'xiang'wei'an'ren'si'e'zuo 相违安忍四恶作
'xiang'wei'bu'shi'qi'e'zuo 相违布施七恶作
'xiang'wei'chan'ding'san'e'zuo 相违禅定三恶作
'xiang'wei'chi'jie'jiu'e'zuo 相违持戒九恶作
'xiang'wei'jing'jin'san'e'zuo 相违精进三恶作
'xiang'wei'zhi'hui'ba'e'zuo 相违智慧八恶作
'xin'ran'jie'shou'xie'ming'shi 欣然接受邪命事
'xing'zhu'zuo'wo'wei'yi'zhong 行住坐卧威仪中
'yi'cai'zhou'gei'yi'wu'jin'gu 以财周给亦无尽故
'yi'chen'da'you'qing 以嗔打有情
'yi'qie'fo'fa'neng'sheng'chi'gu 一切佛法能生持故
'yi'qie'shan'fa'jian'jian'zeng'gu 一切善法渐渐增故
'yi'qie'shi'zhong'bu'she'zhong'sheng'gu 一切时中不舍众生故
'yi'qie'sui'ran'bu'neng'xing 一切虽然不能行
'yi'qie'zhu'fa'bu'ke'jin'gu 一切诸法不可尽故
'yi'qie'zhu'fa'yin'yuan'guo'bao'ming'wu'jin'yi 一切诸法因缘果报名无尽意
'yi'shuo'fa'xin 已说发心
'yi'tan'yan'shuo'wu'ji'tan 以贪言说无稽谈
'yi'wu'jin'tan'lin 以无尽贪吝
'yi'xiang'ying'fa'xin'yi'ru'shi 依相应发心亦如是
'yi'xin'huo'chi'ji'xing'yi'ji'gu 益薪火炽积行依极故
'yi'ying'cheng'xin'sui'xi'yi 亦应诚心随喜已
'yong'meng'jian'lao'bu'ke'huai'gu 勇猛坚牢不可坏故
'yu'fang'yi'zhe'bu'shuo'li 于放逸者不说理
'yu'fo'di'nie'pan'er'bu'kan'ren 于佛地涅盘而不堪任
'yu'li'yi'you'qing'xiang'wei'shi'er'jie 与利益有情相违十二戒
'yu'pu'sa'zuo'ben'shi'xiang 于菩萨作本师想
'yu'qi'bu'bu'shi 于乞不布施
'yu'qiu'cai'zhe'bu'bu'shi 于求财者不布施
'yu'qiu'fa'zhe'bu'shi'yu 于求法者不施予
'yu'she'shan'fa'jie'xiang'wei'san'shi'si 与摄善法戒相违三十四
'yu'ti'wen'zhe'bu'da'fu 于提问者不答复
'yu'xie'dai'deng'bu'qian'chu 于懈怠等不遣除
'yu'you'en'zhe'bu'hui'bao 于有恩者不回报
'yu'zheng'fa'yi'bu'qu'ru 于正法义不趋入
'yu'zhong'bu'an'ren 于众不安忍
'yu'zhong'sheng'wu'chan'kuang'er'yi'jing'xin'an'zhu 于众生无谄诳而以净心安住
'yu'zhu'huan'zhe'bu'cheng'shi 于诸患者不承侍
'yu'zhu'zhang'zhe'bu'gong'jing 于诸长者不恭敬
'yuan'ren'dang'shuo'wu'jin'fa'men 愿仁当说无尽法门
'yun'he'si'fa 云何四法
'zan'tan'zi'ji'di'hui'ta 赞叹自己诋毁他
'ze'bu'wang'pu'ti'xin 则不忘菩提心
'zhen'shi'yuan'man'zhi'pu'ti 真实圆满之菩提
'zhi'guan'xiang'ying'fa'xin'yi'ru'shi 止观相应发心亦如是
'zhu'lai'wei'ni'xin'bu'dong'gu 诸来违逆心不动故
'zi'xing'xiang'ying'fa'xin'yi'ru'shi 自性相应发心亦如是
'zong'chi'xiang'ying'fa'xin'yi'ru'shi 总持相应发心亦如是
'zui'chu'fa'xin'yi'ru'shi 最初发心亦如是
