'a'gu'tai'xing 阿古泰兴
'mei'sha'li 美纱莉
'meng'huan'mo'lin 梦幻魔林
'meng'ti'ta 蒙提塔
'mi'lin'da 米琳达
'mi'xia'yi'ti'si 米霞依提斯
'mo'fa'di'guo 魔法帝国
'mo'fa'huang'di 魔法皇帝
'mo'fa'xie'hui 魔法协会
'mo'fa'xue'tu 魔法学徒
'mo'huan'sen'lin 魔幻森林
'mo'ni'sha 莫妮纱
'mo'ri'hao'jie 末日浩劫
'mo'si'te 莫斯特
'mo'si'te'ka'suo'mi'lei'si 莫斯特卡所弥雷斯
'mo'si'te'la'ka'ao'fei'si 莫斯特拉卡奥费斯
'mo'su'ya 墨苏亚
'na'jia 纳加
'ning'xue'dong'qiang 凝血冻枪
'pa'si'ting 帕斯廷
'pai'luo 派罗
'pei'an 培安
'pu'er'duo'ke 普尔多可
'qi'si'la'shan'gu 齐斯拉山谷
'qu'ai'fei'ke 屈埃菲克
'sai'gen'te 塞根特
'sai'na'si 赛纳斯
'sai'wei'na 塞维纳
'san'tou'mo'lang 三头魔狼
'sang'te 桑特
'sen'lin'yao'jing 森林妖精
'shan'dian'feng'bao 闪电风暴
'she'ge'rui 舍格瑞
'shen'sheng'shou'hu 神圣守护
'sheng'li'ri 胜利日
'sheng'ming'sheng'shui 生命圣水
'shui'zhi'jing'bi 水之晶壁
'shui'zhi'wen'zhang 水之纹章
'si'cui'er 斯崔尔
'si'de'bu 斯德布
'si'li'er'chang'mao 思利尔长矛
'si'ling'mo'pu 死灵魔仆
'si'ling'shen'pu 死灵神仆
'si'ta'te 斯塔特
'si'tai'te'li 斯泰特利
'si'xian'zhe 四贤者
'suo'de 索德
'suo'fei'en 索菲恩
'suo'mi'lei'te 索米雷特
'ta'na'de 塔纳德
'tai'er'bo'te 泰尔波特
'tai'mi'er 泰米尔
'tai'si'jin'ke 泰斯金克
'te'luo'de 特罗德
'tian'di'beng'ta 天地崩塌
'tuo'de 托德
'tuo'mu'er 托木尔
'wa'er'ke'si'shan'mai 瓦尔克斯山脉
'wei'de'si'ke 维德斯克
'wei'er'duan'jian 维尔短剑
'wei'ka'duo'li 维卡多利
'wei'ke'duo 维克多
'wei'si'dun 韦斯顿
'wei'xue 维雪
'wu'ti'fu 乌提夫
'xi'bei'er 席贝尔
'xi'lai'ya 希莱娅
'xi'li'ni'si'ai'lian'na 希里妮丝爱莲娜
'xi'ling 希玲
'xi'qian'li'ya 希茜莉亚
'xin'luo'an 辛洛安
'xin'na 新拿
'xing'pan 星盘
'xu'ri'cheng 旭日城
'xue'hu 血狐
'xue'mi'er 雪蜜儿
'xue'zhi'jin'zhou 血之禁咒
'yi'de'te 依德特
'yi'kou'na'mei 夷寇纳美
'yi'si'kai'pu 依斯开普
'yin'chao'cheng 银潮城
'yin'po'si 因珀斯
'yin'sai'jie'en'te 因塞杰恩特
'yin'ta 因塔
'ying'zhi'rui'yan 鹰之锐眼
'you'de'shi 由德士
'you'ming'zhi'jin 幽冥之禁
'you'si'pu 由斯普
'yun'zhong'zhi'cheng 云中之城
'zhan'shen'nu'hou 战神怒吼
'zhang'kong'zhe 掌控者
'zhen'shi'huan'ying 真实幻影
'zhi'cai'zhi'jie 制裁之戒
'zhuo're'li'shi 灼热砾石
