'an'huo 暗火
'dan'xi'shi 氮稀释
'dao'huan'gan'zao'qi 倒换干燥器
'dao're 导热
'deng'shang'peng'zhang 等熵膨胀
'deng'wen'jie'liu'xiao'ying 等温节流效应
'deng'wen'xiao'lv 等温效率
'di'wen'fa 低温法
'di'wen'huan're'qi 低温换热器
'di'wen'ji'shu 低温技术
'di'wen'ye'ti'chu'cun'rong'qi 低温液体储存容器
'di'ya'chu'cun'rong'qi 低压储存容器
'di'ya'fan'ying'rong'qi 低压反应容器
'di'ya'rong'qi 低压容器
'dian'chu'chen 电除尘
'dian'ci'fa 电磁阀
'dian'guang'yuan'hun'he'qi'ti 电光源混合气体
'dian'guang'yuan'qi 电光源气
'dian'jie'cao 电解槽
'dian'jie'dian'shui'yin'wen'du'ji 电接点水银温度计
'dian'jie'xiao'shi 电解小室
'die'fa 蝶阀
'ding'xi 丁烯
'dong'jie'fa 冻结法
'dong'neng'bu'chang 动能补偿
'dui'liu 对流
'dui'qi'ti'yu'leng 对气体预冷
'dui'qi'ti'zuo'gong 对气体作功
'er'ci'kong'qi 二次空气
'er'liu'hua'tan 二硫化碳
'er'yang'hua'dan 二氧化氮
'er'yang'hua'tan 二氧化碳
'er'yi'ji'liu'mi 二乙基硫醚
'fang'bao 防爆
'fang'du'kou'zhao 防毒口罩
'fang'du'mian'ju 防毒面具
'fang'kong'fa 放空阀
'fang're'mian'xing'zhuang 放热面形状
'fang'shui'fa 放水阀
'fei'qi 废气
'fei'shi'fen'zi'shai 沸石分子筛
'fen'liu'ta 分馏塔
'fen'xi'shi 分析室
'fen'ya'li 分压力
'fen'zi'shai 分子筛
'fen'zi'shai'chun'hua'qi 分子筛纯化器
'feng'lou'dai 封漏袋
'fu're 复热
'fu're'bu'zu'leng'sun 复热不足冷损
'gan'bing 干冰
'gan'shi'guo'lv'qi 干式过滤器
'gan'zao'du'gao 干燥度高
'gan'zao'qi 干燥器
'gang'ping'jian'yan'zhou'qi 钢瓶检验周期
'gang'ping'shou'tui'che 钢瓶手推车
'gao'chun'dan'qi 高纯氮气
'gao'chun'qi'ti 高纯气体
'gao'chun'qing'qi 高纯氢气
'gao'chun'ya'qi 高纯氩气
'gao'chun'yang'qi 高纯氧气
'gao'ya'rong'qi 高压容器
'gong'xi'fu'neng'li 共吸附能力
'gong'yi'liu'cheng 工艺流程
'guan'jian'fei'teng 管间沸腾
'guan'nei'fei'teng 管内沸腾
'guan'xing'li'chu'chen 惯性力除尘
'guang'hua'xue'yan'wu 光化学烟雾
'gui'jiao 硅胶
'gui'wan 硅烷
'gui'zheng'tian'liao 规整填料
'guo'du'ceng 过渡层
'guo'liu'fa 过流阀
'guo'lv'chu'chen 过滤除尘
'guo'lv'qi 过滤器
'hai'qi 氦气
'han'jie'bao'hu'qi 焊接保护气
'hei'yan 黑烟
'hua'xue'bao'zha 化学爆炸
'hua'xue'zhong'guo 化学中国
'huan'bing'wan 环丙烷
'huan'chong'guan 缓冲罐
'huan'jing'wu'ran'jian'ce'qi 环境污染检测气
'huan'liu'chu'kou'wen'du 环流出口温度
'huan'liu'liang 环流量
'huan're'xi'tong 换热系统
'huan'yang'yi'wan 环氧乙烷
'hui'qi'pai 汇气排
'huo'sai'shi'ya'suo'ji 活塞式压缩机
'huo'xing'tan 活性炭
'ji'fen'jie'liu'xiao'ying 积分节流效应
'ji'guang'qi 激光气
'ji'qi 机器
'ji'qian'wen'du 机前温度
'ji'qian'ya'li 机前压力
'jia'ben 甲苯
'jia'quan 甲醛
'jia'shui'beng 加水泵
'jia'wan'zhao'huo 甲烷着火
'jia'wen'gan'zao'qi 加温干燥器
'jia'wen'zai'sheng 加温再生
'jian'beng 碱泵
'jian'ce'dian 检测点
'jian'lou'qi 检漏器
'jian'ya'fa 减压阀
'jian'ya'zheng'fa 减压蒸发
'jian'ye 碱液
'jian'ye'guo'lv'qi 碱液过滤器
'jian'ye'xun'huan'beng 碱液循环泵
'jiang'di'neng'hao 降低能耗
'jiang'ya'zai'sheng 降压再生
'jie'liu 节流
'jie'liu'fa 节流阀
'jie'liu'qian'hou'de'ya'cha 节流前后的压差
'jie'xi'ji'shu 解吸技术
'jie'zhi'fa 截止阀
'jin'ji'qie'duan'fa 紧急切断阀
'jing'hua'xi'tong 净化系统
'jing'liu'gong'kuang 精馏工况
'jing'liu'ta 精镏塔
'jing'liu'xi'tong 精馏系统
'jing'xia'you'hai'kong'qi 井下有害空气
'jing'ya 精氩
'ju'bei'zhi'leng'neng'li 具备制冷能力
'jue'dui'zhi'da'yu 绝对值大于
'jue'dui'zhi'xiao'yu 绝对值小于
'jue're'fang'qi 绝热放气
'jue're'jie'liu 绝热节流
'jue're'jie'liu'deng'shang'peng'zhang 绝热节流等熵膨胀
'jue're'tui'ci 绝热退磁
'jue're'ya'suo 绝热压缩
'kai'guan'shi 开关室
'ke'ning'xing'qi'ti 可凝性气体
'ke'qi 氪气
'ke'ran'cheng'fen 可燃成分
'ke'ran'de 可燃的
'ke'ran'qi 可燃气
'ke'ran'wu 可燃物
'kong'fen'gong'chang 空分工厂
'kong'fen'kong'zhi'shi 空分控制室
'kong'qi'leng'que'ta 空气冷却塔
'kong'ya'ji 空压机
'kong'zhi'tiao'jie'neng'li 控制调节能力
'lan'yan 蓝烟
'leng'liang'ping'heng 冷量平衡
'leng'ning'zheng'fa'qi 冷凝蒸发器
'leng'que'shui'xun'huan'beng 冷却水循环泵
'leng'shui'ji'zu 冷水机组
'li'xin'li'chu'chen 离心力除尘
'li'xin'shi'ya'suo'ji 离心式压缩机
'li'xin'shi'ye'yang'beng 离心式液氧泵
'lian'ben 联苯
'lian'dai'shi'you'jin'kong'qi'guo'lv'qi 链带式油浸空气过滤器
'lin'jie'zhuang'tai 临界状态
'lin'wan 磷烷
'ling'dian'qi 零点气
'liu'fu'hua'liu 六氟化硫
'liu'hua'qing 硫化氢
'liu'liang'bian'hua 流量变化
'liu'liang'da 流量大
'liu'liang'ji 流量计
'liu'su'kuai 流速快
'liu'ti'de'liu'dong'zhuang'tai 流体的流动状态
'liu'ti'de'liu'su 流体的流速
'liu'ti'li'xue 流体力学
'lou'qi 漏气
'lu'dian 露点
'luo'gan'shi'ya'suo'ji 螺杆式压缩机
'lv'fang 氯仿
'lv'hua'qing 氯化氢
'lv'jia'wan 氯甲烷
'lv'jiao 铝胶
'lv'qi 氯气
'lv'tong 滤筒
'lv'yi'xi 氯乙烯
'mai'chong'fan'chui'zi'jie'shi'kong'qi'guo'lv'qi 脉冲反吹自洁式空气过滤器
'ming'huo 明火
'mo'fen'li'fa 膜分离法
'mo'shi'zheng'fa'qi 膜式蒸发器
'mo'zhuang'leng'ning 膜状冷凝
'nai'mo'kang'chong'ji 耐磨抗冲击
'nei'bu'guo'lv 内部过滤
'nei'ya'suo'liu'cheng 内压缩流程
'ni'ka'nuo'xun'huan 逆卡诺循环
'ni'liu'wen'cha 逆流温差
'nong'du'ji'xian 浓度极限
'pai'fang'nong'du 排放浓度
'pai'qi'jing'hua 排气净化
'pai'qi'pai'fang'wu'kong'zhi'xi'tong 排气排放物控制系统
'pai'qi'yan'du 排气烟度
'pai'qi'you'hai'cheng'fen 排气有害成分
'pai'wu'fa 排污阀
'pang'tong'fa 旁通阀
'pao'leng'sun'shi 跑冷损失
'pei'jian 配碱
'pei'suan 配酸
'pen'lin'shi 喷淋式
'peng'suan 硼酸
'peng'wan 硼烷
'peng'zhang'huo'beng'lie 膨胀或崩裂
'peng'zhang'ji 膨胀机
'peng'zhang'ji'de'xiao'lv 膨胀机的效率
'peng'zhang'ji'zhi'leng'liang 膨胀机制冷量
'peng'zhang'liang'yue'da 膨胀量越大
'peng'zhang'shi'wen'du'ji 膨胀式温度计
'ping'heng'qi 平衡气
'pu'qing 普氢
'pu'qing'huan'chong'guan 普氢缓冲罐
'qi'dong'bao'mo'tiao'jie'fa 气动薄膜调节阀
'qi'dong'gan'zao'qi 启动干燥器
'qi'ti'chun'hua'zhuang'zhi 气体纯化装置
'qi'ti'de'deng'shang'peng'zhang 气体的等熵膨胀
'qi'ti'nei'wei'neng'zeng'da 气体内位能增大
'qi'wei 气味
'qi'ye'cha'ya'bian'song'qi 气液差压变送器
'qi'ye'chu'li'qi 气液处理器
'qian're 潜热
'qian're'jiao'huan 潜热交换
'qie'huan'shi'huan're'qi 切换式换热器
'qie'huan'zhou'qi'duan 切换周期短
'qing'qi'chun'hua'zhuang'zhi 氢气纯化装置
'qing'qi'guan'dao 氢气管道
'qing'qi'zhao'huo 氢气着火
'qing'yang'hua'na 氢氧化钠
'qiu'xing'chu'guan 球形储罐
'qu'chu'hui'chen'he'ji'xie'za'zhi 去除灰尘和机械杂质
'qu'yang'dian 取样点
'quan'jing'liu'wu'qing'zhi'ya 全精馏无氢制氩
'ran'shao'ji'xian 燃烧极限
'ran'shao'xing 燃烧性
're'dian'ou'wen'du'ji 热电偶温度计
're'dian'zu'wen'du'ji 热电阻温度计
're'fu'he 热负荷
're'fu'she 热辐射
're'zhi'jiao'huan 热质交换
'san'dui'tian'liao 散堆填料
'shai'ban'ta 筛板塔
'shang'xian'zhi 上限值
'shen'lou'lv 渗漏率
'shen'wan'dian'zi'hun'he'qi 砷烷电子混合气
'sheng'chan'ye'ti'chan'pin'dai'zou'de'leng'liang 生产液体产品带走的冷量
'sheng'yu'ya'li 剩余压力
'shi'tou'xu'leng'qi 石头蓄冷器
'shi'you'hua'gong'biao'zhun'qi 石油化工标准气
'shou'po'dui'liu 受迫对流
'shu'zhi'zai'sheng 树脂再生
'shui'chu'li'shi 水处理室
'shui'leng'que'ta 水冷却塔
'shui'leng'ta 水冷塔
'shui'yin'wen'du'ji 水银温度计
'shun'liu'wen'cha 顺流温差
'si'tong'dian'ci'fa 四通电磁阀
'si'yang'hua'er'dan 四氧化二氮
'song'qi'fa 送气阀
'su'du'neng 速度能
'suan'beng 酸泵
'suan'ye 酸液
'ta'ban'shi 塔板式
'tan'qing'hua'he'wu 碳氢化合物
'tan'yan 碳烟
'ti'chun 提纯
'ti'gao'jing'ji'xing 提高经济性
'ti'gao'neng'liang 提高能量
'ti'gao'peng'zhang'ji'qian'wen'du 提高膨胀机前温度
'tian'liao'ta 填料塔
'tian'ran'qi 天然气
'tiao'zheng'chuan're'mian'ji 调整传热面积
'tiao'zheng'wen'cha 调整温差
'tie'lu'guan'che 铁路罐车
'tou'ping'kong'ya'ji 透平空压机
'tou'ping'peng'zhang'ji 透平膨胀机
'tuo'yang'qi 脱氧器
'wa'si 瓦斯
'wai'gong'shu'chu 外功输出
'wei'chi'leng'liang'ping'heng 维持冷量平衡
'wei'fen'deng'shang'xiao'ying 微分等熵效应
'wei'fen'jie'liu'xiao'ying 微分节流效应
'wei'li'wu 微粒物
'wei'xiu'gong'zuo 维修工作
'wei'xiu'xi'tong 维修系统
'wei'xiu'yi'qi 维修仪器
'wen'cha 温差
'wen'cha'dian'zhi'leng 温差电制冷
'wen'du'ji 温度计
'wen'du'jiang'di 温度降低
'wen'du'sheng'gao 温度升高
'wen'liu 紊流
'wen'qiu'li'guan 文丘里管
'wo'liu'zhi'leng 涡流制冷
'wu'du'de 无毒的
'wu'jia'wan'tan'qing'hua'he'wu 无甲烷碳氢化合物
'wu'li'bao'zha 物理爆炸
'wu'yang'hua'er'fan 五氧化二钒
'xi'di'chu'chen 洗涤除尘
'xi'fu'fa 吸附法
'xi'fu'ping'heng 吸附平衡
'xi'fu'qi 吸附器
'xi'shi'kong'qi'qu'yang'tan'tou 稀释空气取样探头
'xia'xian'zhi 下限值
'xian'qi 氙气
'xian're 显热
'xian're'jiao'huan 显热交换
'xiang'bian 相变
'xiang'bian'zhi'leng 相变制冷
'xiang'dui'shi'du 相对湿度
'xiao'du'sha'jun'qi 消毒杀菌气
'xiao'zheng'qi 校正气
'xie'lou 泄漏
'xiu'jia'wan 溴甲烷
'xu'leng'qi 蓄冷器
'xuan'ze'xi'fu 选择吸附
'ya'er'yang'hua'tan'hun'he'qi 氩二氧化碳混合气
'ya'li'biao'jiao'yan'zhou'qi 压力表校验周期
'ya'li'rong'qi 压力容器
'ya'li'shi'wen'du'ji 压力式温度计
'ya'li'sun'shi 压力损失
'ya'qi 氩气
'ya'qi'chun'hua'zhuang'zhi 氩气纯化装置
'ya'song'xi'tong 压送系统
'ya'suo'ji 压缩机
'ya'suo'jian 压缩间
'ya'suo'qi'ti 压缩气体
'yan'du'ji 烟度计
'yan'nong'du 烟浓度
'yan'suan 盐酸
'yan'zhong'shi'gu 严重事故
'yang'qi 氧气
'yang'qi'chu'li'xi'tong 样气处理系统
'yang'qi'guan'dao 氧气管道
'yang'qi'guan'dao'bao'zha 氧气管道爆炸
'yang'qi'hua'qi 氧气化器
'yang'qi'shou'tui'che 氧气手推车
'yang'qi'zhao'huo 氧气着火
'yang'ti'qu'lv'yue'di 氧提取率越低
'yang'ye'wei'tiao'jie'qi 氧液位调节器
'ye'dan 液氮
'ye'dan'guan 液氮罐
'ye'hua'kong'qi 液化空气
'ye'hua'qi 液化器
'ye'hua'xun'huan 液化循环
'ye'kong'gan'zao'qi 液空干燥器
'ye'kong'xi'fu'qi 液空吸附器
'ye'tai'yang'qi 液态氧气
'ye'wei'ji 液位计
'ye'yang 液氧
'ye'yang'de'zheng'fa'neng'li 液氧的蒸发能力
'ye'yang'fei'teng 液氧沸腾
'ye'yang'guan 液氧罐
'ye'yang'xi'fu'qi 液氧吸附器
'yi'biao'jiao'yang'qi 仪表校样气
'yi'ci'jie'liu'xun'huan 一次节流循环
'yi'ding'wan 异丁烷
'yi'ding'xi 异丁烯
'yi'dong'shi'ya'li'rong'qi 移动式压力容器
'yi'liao'yong'qi 医疗用气
'yi'que 乙炔
'yi'ran'de 易燃的
'yi'ran'qi'ti 易燃气体
'yi'ran'xia'xian 易燃下限
'yi'ran'xing'ji'xian 易燃性极限
'yi'ran'xing'xia'xian 易燃性下限
'yi'wan 乙烷
'yi'wu'wan 异戊烷
'yi'xi 乙烯
'yi'yang'hua'dan 一氧化氮
'yi'yang'hua'er'dan 一氧化二氮
'yi'zhong'fen'li'fang'fa 一种分离方法
'ying'ji'chu'li 应急处理
'ying'ji'qing'kuang 应急情况
'yu'leng 预冷
'yu'leng'qi 预冷器
'zai'zhong'li'zuo'yong'xia'qi'ye'fen'li 在重力作用下气液分离
'zeng'da'peng'zhang'bi 增大膨胀比
'zha'fa 闸阀
'zhao'qi'han'liang 沼气含量
'zhao'qi'jian'cha 沼气检查
'zhao'qi'kong'qi'hun'he'wu 沼气空气混合物
'zhao'qi'xie'chu 沼气泄出
'zheng'ding'wan 正丁烷
'zheng'liu'shi 整流室
'zheng'wu'wan 正戊烷
'zhi'hui'fa 止回阀
'zhi'leng'xi'tong 制冷系统
'zhi'qing'gong'chang 制氢工厂
'zhi'qing'jian 制氢间
'zhi'qing'kong'zhi'shi 制氢控制室
'zhi'si'de 致死的
'zhi'si'xing 致死性
'zhi'yang'ji 制氧机
'zhong'da'jin'ji'shi'jian 重大紧急事件
'zhong'ya'chu'cun'rong'qi 中压储存容器
'zhong'ya'fan'ying'rong'qi 中压反应容器
'zhong'ya'rong'qi 中压容器
'zhu'cun'ji'qi'hua'xi'tong 贮存及汽化系统
'zhu'huan're'qi 主换热器
'zhu'leng 主冷
'zhu'leng'wen'cha 主冷温差
'zhu'ping 逐瓶
'zhu'ping'fen'xi 逐瓶分析
'zhu'ping'jian'yan 逐瓶检验
'zhu're'jiao'huan'qi 主热交换器
'zhu'zhuang'leng'ning 珠状冷凝
'zhuan'hua'wen'du 转化温度
'zi'dui'liu 自对流
'zi'jie'shi'guo'lv'qi 自洁式过滤器
'zi'qing'chu 自清除
'zong'he'pai'fang'nong'du 综合排放浓度
'zu'huo'qi 阻火器
