'an'fa'zhi'zhi'er'zeng'ju 按法治之而增剧
'bian'tai'yang'bing'mai'zheng'bing'zhi'zhong'di'liu 辨太阳病脉证并治中第六
'bian'tai'yin'bing'mai'zheng'bing'zhi'di'shi 辨太阴病脉证并治第十
'bian'wei'feng'wen 变为风温
'bian'wei'jue 便为厥
'bian'wei'ta'bing'zhe 变为他病者
'bian'wei'wen'bing 变为温病
'bian'wei'wen'du 变为温毒
'bian'wei'wen'yi 变为温疫
'bian'wu'jing'chang 变无经常
'bian'yang'ming'bing'mai'zheng'bing'zhi'fa'di'ba 辨阳明病脉证并治法第八
'bian'yu 便愈
'bian'zi'han'chu'yu 便自汗出愈
'biao'jie'er'bu'liao'le'zhe 表解而不了了者
'biao'jie'nai'ke'gong'pi 表解乃可攻痞
'biao'jie'zhe 表解者
'biao'li'bu'jie'zhe 表里不解者
'biao'li'ju're 表里俱热
'biao'li'ju'xu 表里俱虚
'biao'li'ju'xu'jie 表里俱虚竭
'biao'qi'wei'xu 表气微虚
'biao'qiang'ye 表强也
'biao're'li'han 表热里寒
'biao'wei'jie'gu'ye 表未解故也
'biao'wei'jie'ye 表未解也
'biao'xu'li'shi 表虚里实
'biao'you'bing'zhe 表有病者
'biao'zheng'reng'zai 表证仍在
'bie'dao'gan'sui'mo'yi'qian'bi 别捣甘遂末一钱匕
'bie'zhu'qu'ji 别煮取计
'bie'zuo'zhi 别作脂
'bing'bi'bu'chu 病必不除
'bing'bu'jie 病不解
'bing'chang'zi'han'chu'zhe 病常自汗出者
'bing'cong'yao'yi'xia'bi'zhong'er'bi 病从腰以下必重而痹
'bing'dang'e'han 病当恶寒
'bing'fa're 病发热
'bing'fa'yu'yang'er'fan'xia'zhi 病发于阳而反下之
'bing'fa'yu'yin'er'fan'xia'zhi 病发于阴而反下之
'bing'fu'zhong'man'tong'zhe 病腹中满痛者
'bing'ge'yi'duan 病各异端
'bing'guo'shi'ri 病过十日
'bing'ji'chuan'bian 病即传变
'bing'jia'ren'lai'qing'yun 病家人来请云
'bing'jia'ren'qing'yun 病家人请云
'bing'liu'qi'ri 病六七日
'bing'mai 病脉
'bing'nan'zhi 病难治
'bing'qian'liu'ri 并前六日
'bing're'yi'wei 病热亦微
'bing're'you'qing 病热犹轻
'bing're'ze'zhong 病热则重
'bing'ren'bi'wei'jue 病人必微厥
'bing'ren'bu'da'bian'wu'liu'ri 病人不大便五六日
'bing'ren'bu'e'han'er'ke'zhe 病人不恶寒而渴者
'bing'ren'cang'wu'ta'bing 病人藏无他病
'bing'ren'fa're 病人发热
'bing'ren'fan're 病人烦热
'bing'ren'jing'shen'shuang'hui'ye 病人精神爽慧也
'bing'ren'jiu'wei'tang'zhe 病人旧微溏者
'bing'ren'mai'shu 病人脉数
'bing'ren'mai'wei'er'se'zhe 病人脉微而涩者
'bing'ren'mai'yi'jie 病人脉已解
'bing'ren'mai'yi'zhi 病人脉一至
'bing'ren'mai'yin'yang'ju'jin 病人脉阴阳俱紧
'bing'ren'nai'da'tu 病人乃大吐
'bing'ren'qian'zhe 病人欠者
'bing'ren'ruo'fa're 病人若发热
'bing'ren'shen'da're 病人身大热
'bing'ren'shen'liang'he'zhe 病人身凉和者
'bing'ren'shou'cha'zi'mao'xin 病人手叉自冒心
'bing'ren'shou'zu'jue'leng 病人手足厥冷
'bing'ren'wu'biao'li'zheng 病人无表里证
'bing'ren'xiang'bi'wo 病人向壁卧
'bing'ren'xiao'bian'bu'li 病人小便不利
'bing'ren'you'han 病人有寒
'bing'ren'yun 病人云
'bing'ren'zi'wo 病人自卧
'bing'ren'zi'zuo 病人自坐
'bing'reng'bu'jie 病仍不解
'bing'ru'gui'zhi'zheng 病如桂枝证
'bing'shen're'zu'han 病身热足寒
'bing'shou'nian'zuo'ting 并手捻作挺
'bing'wei'zai'li 病为在里
'bing'wei'zhe'nan'cha 病微者难差
'bing'xie'xia'su'you'pi 病胁下素有痞
'bing'xiong'shang'zhu'shi 病胸上诸实
'bing'ye 病也
'bing'yi'cha 病已差
'bing'you'bu'zhan 病有不战
'bing'you'bu'zhan'er'han'chu'jie'zhe 病有不战而汗出解者
'bing'you'de'zhi'yi'ri 病有得之一日
'bing'you'fa're'e'han'zhe 病有发热恶寒者
'bing'you'huo'luan'zhe 病有霍乱者
'bing'you'jie'xiong 病有结胸
'bing'you'sa'xi'e'han'er'fu'fa're'zhe 病有洒淅恶寒而复发热者
'bing'you'tai'yang'yang'ming 病有太阳阳明
'bing'you'zhan'er'han'chu 病有战而汗出
'bing'zai'biao 病在表
'bing'zai'biao'ye 病在表也
'bing'zai'ge'shang'bi'tu 病在膈上必吐
'bing'zai'li'ye 病在里也
'bing'zai'tou'zhong'han'shi 病在头中寒湿
'bing'zai'xiong'zhong 病在胸中
'bing'zai'yang 病在阳
'bing'zhe'gai'yi 病辄改易
'bing'zhe'shou'zu'jue'leng 病者手足厥冷
'bing'zhe'yi'shen'jin'teng 病者一身尽疼
'bing'zhe'ze'ji 病者则饥
'bing'zheng'bing'zai'di'er'juan'nei 病证并在第二卷内
'bing'zheng'bing'zai'di'liu'juan'nei 病证并在第六卷内
'bing'zheng'bing'zai'di'san'juan'nei 病证并在第三卷内
'bing'zheng'bing'zai'di'si'juan'nei 病证并在第四卷内
'bing'zheng'xiang'gui'zhi 病证象桂枝
'bing'zheng'you'zai 病证犹在
'bing'zheng'you'zai'zhe 病证犹在者
'bing'zhong'sui'ye 并中髓也
'bing'zhu'xia'li 并主下痢
'bu'bi'jin'ji 不必尽剂
'bu'bi'jin'ji'ye 不必尽剂也
'bu'bi'xi'ju 不必悉具
'bu'cha 不差
'bu'cha'zhe 不差者
'bu'da'bian 不大便
'bu'da'bian'er'ou 不大便而呕
'bu'da'bian'wu'liu'ri 不大便五六日
'bu'da'bian'zhe 不大便者
'bu'dang'yu'ye 不当与也
'bu'de'fu'you'wai'zheng 不得复有外证
'bu'de'han 不得汗
'bu'de'mian 不得眠
'bu'de'mian'ye 不得眠也
'bu'de'mian'zhe 不得眠者
'bu'de'niao 不得尿
'bu'de'qu'shen 不得屈伸
'bu'de'wei'shao'yin'bing 不得为少阴病
'bu'de'wo 不得卧
'bu'de'wo'mei'zhe 不得卧寐者
'bu'de'xi'zhe 不得息者
'bu'de'xiao'bian 不得小便
'bu'de'zhong'fa'han'ye 不得重发汗也
'bu'deng'zao'wan 不等早晚
'bu'e'han 不恶寒
'bu'e'han'fa're 不恶寒发热
'bu'e'han'zhe 不恶寒者
'bu'er 不尔
'bu'er'zhe 不尔者
'bu'fa'han 不发汗
'bu'fa're'er'e'han'zhe 不发热而恶寒者
'bu'fa're'zhe 不发热者
'bu'fa'zhan'ye 不发战也
'bu'fan'er'zao'zhe 不烦而躁者
'bu'fu 不浮
'bu'geng'yi 不更衣
'bu'geng'yi'shi'ri 不更衣十日
'bu'guo'yi'ri 不过一日
'bu'han'chu'er'fan'zao'zhe 不汗出而烦躁者
'bu'han'chu'er'jie'zhe 不汗出而解者
'bu'ji'bing'zhe 不即病者
'bu'ji'yi'ran 不及亦然
'bu'jia'yi'qi'zhe 不加异气者
'bu'jie 不解
'bu'jie'gu'ye 不解故也
'bu'jie'xiong 不结胸
'bu'jie'xiong'zhe 不结胸者
'bu'jie'zhe 不解者
'bu'jing'qi'er'pan'shi 不惊起而盼视
'bu'jue'zhe 不厥者
'bu'ke'bi'chen'ye 不可避晨夜
'bu'ke'fa'han 不可发汗
'bu'ke'fu 不可服
'bu'ke'fu'shu 不可复数
'bu'ke'geng'fa'han'geng'xia'geng'tu'ye 不可更发汗更下更吐也
'bu'ke'geng'han 不可更汗
'bu'ke'geng'xing'gui'zhi'tang 不可更行桂枝汤
'bu'ke'geng'yu'cheng'qi'tang'ye 不可更与承气汤也
'bu'ke'gong'biao 不可攻表
'bu'ke'gong'pi 不可攻痞
'bu'ke'gong'ye 不可攻也
'bu'ke'gong'zhi 不可攻之
'bu'ke'jin'zhe 不可近者
'bu'ke'ling'ru'shui'liu'li 不可令如水流漓
'bu'ke'sheng'shu 不可胜数
'bu'ke'tu'xia 不可吐下
'bu'ke'tu'ye 不可吐也
'bu'ke'xia 不可下
'bu'ke'xia'ye 不可下也
'bu'ke'xia'zhi 不可下之
'bu'ke'yu 不可与
'bu'ke'yu'bai'hu'tang 不可与白虎汤
'bu'ke'yu'fu'zhi 不可与服之
'bu'ke'yu'gua'di'san 不可与瓜蒂散
'bu'ke'yu'gui'zhi'tang 不可与桂枝汤
'bu'ke'yu'yao 不可余药
'bu'ke'yu'zhi 不可与之
'bu'ke'yu'zhi'ye 不可与之也
'bu'ke'yu'zhu'ling'tang 不可与猪苓汤
'bu'ke'zhe 不渴者
'bu'ke'zhi 不可治
'bu'ke'zhi'ye 不可治也
'bu'ke'zhuan'ce'zhe 不可转侧者
'bu'li 不利
'bu'li'jin're'zhou'yi'bei 不利进热粥一杯
'bu'ling'fa'han 不令发汗
'bu'ling'sou'shu 不令溲数
'bu'neng'fa'huang 不能发黄
'bu'neng'fa'huang'ye 不能发黄也
'bu'neng'sheng'leng 不能胜冷
'bu'neng'sheng're 不能胜热
'bu'neng'shi 不能食
'bu'neng'shi'zhe 不能食者
'bu'neng'wei'huo'ye 不能为祸也
'bu'neng'wo 不能卧
'bu'neng'xiao'gu 不能消谷
'bu'neng'xiao'gu'yin'shi 不能消谷引食
'bu'neng'xiao'zhi 不能消之
'bu'neng'yu'yan 不能语言
'bu'neng'zhi'shui 不能制水
'bu'neng'zi'hai 不能自还
'bu'neng'zi'wen 不能自温
'bu'neng'zi'zhuan'ce 不能自转侧
'bu'neng'zuo'han 不能作汗
'bu'ou 不呕
'bu'ou'bu'ke 不呕不渴
'bu'shi'heng'quan 不失衡铨
'bu'shi'ji'zhi 不时即治
'bu'shi'zhu'fen 不失铢分
'bu'shu'yang'ming'ye 不属阳明也
'bu'si 不死
'bu'tu'bu'xia 不吐不下
'bu'tu'zhe 不吐者
'bu'wang'lai'han're 不往来寒热
'bu'wei'ni 不为逆
'bu'xi'mi'zhou 不喜糜粥
'bu'xia'ji'ri 不暇计日
'bu'xia'li 不下利
'bu'xia'zai'fu 不下再服
'bu'xu'chuo'zhou 不须啜粥
'bu'xu'fa'han 不须发汗
'bu'xu'zhi'zhi 不须治之
'bu'ying'zhe 不硬者
'bu'yong'shui'zhe 不用水者
'bu'yu 不愈
'bu'yu'jin'yi 不欲近衣
'bu'yu'shi 不欲食
'bu'yu'shi'zhe 不欲食者
'bu'yu'zhe 不愈者
'bu'yu'zhi 不与之
'bu'zai'zheng'zhi 不在证治
'bu'zhi 不治
'bu'zhi'ren'zhe 不知人者
'bu'zhi'tong'chu 不知痛处
'bu'zhi'wei'qi'leng 不知胃气冷
'bu'zhuan'shi'qi'zhe 不转矢气者
'bu'zu'yan'yang'qi'fu'yu'bu'de'yue 不足言阳气怫郁不得越
'cai'jian'ci'wei'tiao'mai 才见此为调脉
'can'ju'yi'yi 餐居亦异
'cang'fu'xiang'lian 藏府相连
'cang'jie'wu'yang'zheng 藏结无阳证
'cang'qi'xiang'xun 藏气相熏
'cang'zu'xun'an 仓卒寻按
'ceng'wei'ren'suo'nan 曾为人所难
'cha'chi 差迟
'cha'se'guan'mai 察色观脉
'chai'hu'ban'jin 柴胡半斤
'chai'hu'bu'zhong'yu'zhi 柴胡不中与之
'chai'hu'gui'zhi'gan'jiang'tang'fang 柴胡桂枝干姜汤方
'chai'hu'gui'zhi'gan'jiang'tang'zhu'zhi 柴胡桂枝干姜汤主之
'chai'hu'gui'zhi'tang'fang 柴胡桂枝汤方
'chai'hu'jia'gui'zhi'tang'zhu'zhi 柴胡加桂枝汤主之
'chai'hu'jia'long'gu'mu'li'tang'fang 柴胡加龙骨牡蛎汤方
'chai'hu'jia'long'gu'mu'li'tang'zhu'zhi 柴胡加龙骨牡蛎汤主之
'chai'hu'jia'mang'xiao'tang'fang 柴胡加芒硝汤方
'chai'hu'si'liang 柴胡四两
'chai'hu'tang'bu'zhong'yu'ye 柴胡汤不中与也
'chai'hu'tang'zheng'ba 柴胡汤证罢
'chai'hu'tang'zheng'ju 柴胡汤证具
'chai'hu'zheng'reng'zai'zhe 柴胡证仍在者
'chang'er'cun'xu 长二寸许
'chang'ming'er'zhuan 肠鸣而转
'chang'shen'yi'shen 常审以慎
'chang'wei'han'chu'zi'ou'zhe 常微汗出自呕者
'chang'xu'shi'ci 常须识此
'chang'yang'bu'de'mian 怅怏不得眠
'chao're 潮热
'chao're'fa'ke 潮热发渴
'chao're'zhe'shi'ye 潮热者实也
'chao'shi'mu'tu 朝食暮吐
'che'tong 掣痛
'chen'er'chi'zhe 沉而迟者
'chen'qian'shui'chu 沉潜水畜
'chen'wei'chun'yin 沉为纯阴
'chen'wei'shi 沉为实
'chen'wei'zai'li 沉为在里
'chen'zhe 沉者
'cheng'jie'xiong 成结胸
'cheng'qi'ru'wei 承气入胃
'chi'cun'cen'ci 尺寸参差
'chi'cun'ji'guan 尺寸及关
'chi'cun'ju'chen'xi'zhe 尺寸俱沉细者
'chi'cun'ju'chen'zhe 尺寸俱沉者
'chi'cun'ju'fu'zhe 尺寸俱浮者
'chi'cun'ju'wei'huan'zhe 尺寸俱微缓者
'chi'cun'ju'xian'zhe 尺寸俱弦者
'chi'cun'ju'zhang'zhe 尺寸俱长者
'chi'cun'xian'zhe 尺寸陷者
'chi'huan'xiang'bo 迟缓相搏
'chi'mai'jin 尺脉紧
'chi'mai'ruo'se'zhe 尺脉弱涩者
'chi'mai'shang'bu'zhi'guan 尺脉上不至关
'chi'shi'ji'qiang 持实击强
'chi'shi'zhi'yi'jin 赤石脂一斤
'chi'shi'zhi'yi'jin'sui 赤石脂一斤碎
'chi'shi'zhi'yu'yu'liang'tang'fang 赤石脂禹余粮汤方
'chi'shi'zhi'yu'yu'liang'tang'zhu'zhi 赤石脂禹余粮汤主之
'chi'wei'wu'yang 迟为无阳
'chi'wei'zai'cang 迟为在藏
'chi'xiao'dou'yi'sheng 赤小豆一升
'chi'yi'sheng'mian'guo 豉一升绵裹
'chi'yu'cong'hou'jiu 迟欲从后救
'chi'ze'yin'qi'sheng 迟则阴气盛
'chi'zhe'rong'zhong'han 迟者荣中寒
'chi'zhong'mai'wei 尺中脉微
'chi'zhong'yi'wei'er'se 尺中亦微而涩
'chi'zhong'zi'se'zhe 尺中自涩者
'chu'chi'mai 初持脉
'chu'er'qian'xia 杵二千下
'chu'fen'wei'si'wan 杵分为四丸
'chu'fu'de'wei'han'ze'jie 初服得微汗则解
'chu'fu'gui'zhi'tang 初服桂枝汤
'chu'fu'tang 初服汤
'chu'fu'wei'fan 初服微烦
'chu'mao'zhi'zhe 触冒之者
'chu'ru'sheng'jiang 出入升降
'chu'ru'zang'fu 出入藏府
'chu'tou'ying 初头硬
'chu'yan'ru'bing'da'zhong 处言汝病大重
'chu'yan'yi'yu 处言已愈
'chu'zai'zhu'ke'yu'bu'ke'zhong'ye 出在诸可与不可中也
'chu'zao'hou'jing 初躁后静
'chuan'bu'xiu'zhe 喘不休者
'chuan'er'bu'xiu 喘而不休
'chuan'er'han'chu'zhe 喘而汗出者
'chuan'er'xiong'man'zhe 喘而胸满者
'chuan'han'er'bu'de'hu'xi 喘汗而不得呼吸
'chuan'jia'zuo'gui'zhi'tang 喘家作桂枝汤
'chuan'man'zhe'si 喘满者死
'chuan'mao'bu'neng'wo'zhe 喘冒不能卧者
'chuan'xi'wei'nan 喘息为难
'chuan'yu'xian'ren 传与贤人
'chuang'jia'sui'shen'teng'tong 疮家虽身疼痛
'chun'bi'bing'wen 春必病温
'chun'kou'gan'zao 唇口干燥
'chun'kou'gan'zao'ye 唇口干燥也
'chun'qi'wen'he 春气温和
'chun'qiu'er'fen 春秋二分
'chun'shi'ying'nuan 春时应暖
'chun'tu 春吐
'chun'wen'fan'qing 唇吻反青
'chun'xia'duo'wen're'bing 春夏多温热病
'chun'xia'fa'han 春夏发汗
'chun'xian'qiu'fu 春弦秋浮
'chuo're'xi'zhou'yi'sheng'yu 啜热稀粥一升余
'ci'ben'chai'hu'zheng 此本柴胡证
'ci'ben'you'han'fen'ye 此本有寒分也
'ci'bi'liang'er'long'wu'wen'ye 此必两耳聋无闻也
'ci'bi'nv 此必衄
'ci'bi'ran'zhi'dao 此必然之道
'ci'biao'jie'li'wei'he'ye 此表解里未和也
'ci'biao'you're'li'you'han 此表有热里有寒
'ci'bing'shang'yu'han'chu'dang'feng 此病伤于汗出当风
'ci'chu'chi'ru'ji 此出迟入疾
'ci'chu'ji'ru'chi 此出疾入迟
'ci'da'bian'bi'ying'gu'ye 此大便必硬故也
'ci'da'bian'yi'ying'ye 此大便已硬也
'ci'dan'chu'tou'ying 此但初头硬
'ci'dang'fa'qi'han 此当发其汗
'ci'di'shi'juan 此第十卷
'ci'fei'ben'bing 此非本病
'ci'fei'chai'hu'zheng 此非柴胡证
'ci'fei'jie're 此非结热
'ci'fei'qi'shi'er'you'qi'qi 此非其时而有其气
'ci'gan'cheng'fei'ye 此肝乘肺也
'ci'gan'cheng'pi'ye 此肝乘脾也
'ci'han'qu'yu'jie'ye 此寒去欲解也
'ci'jie'bing'mai 此皆病脉
'ci'jie'bu'zhi 此皆不治
'ci'jie'yu'zheng'ye 此皆愈证也
'ci'jun'zi'chun'xia'yang'yang 此君子春夏养阳
'ci'ke'fa'han 此可发汗
'ci'ke'tu'zhi 此可吐之
'ci'leng'jie'zai'pang'guang'guan'yuan'ye 此冷结在膀胱关元也
'ci'li'xu 此里虚
'ci'li'zai'xia'jiao 此利在下焦
'ci'liu'zhe'ming'can'zei 此六者名残贼
'ci'mai'yin'yang'wei'he'ping 此脉阴阳为和平
'ci'ming'cang'jie 此名藏结
'ci'ming'chu'zhong 此名除中
'ci'ming'feng'shi 此名风湿
'ci'ming'huo'luan 此名霍乱
'ci'ming'shi'bi 此名湿痹
'ci'ming'wei'ge 此名为革
'ci'ming'yang'ming'ye 此名阳明也
'ci'ming'yang'ye 此名阳也
'ci'ming'yin'ye 此名阴也
'ci'qi'men 刺期门
'ci're'chu'ye 此热除也
'ci're'yi'qu'ye 此热已去也
'ci'ren'ben'bu'xu 此人本不虚
'ci'san'jiao'shang'ye 此三焦伤也
'ci'san'jing'jie'shou'bing 此三经皆受病
'ci'shu'chun'shi'yang'qi 此属春时阳气
'ci'shu'he'bing 此属何病
'ci'shu'shao'yin 此属少阴
'ci'shu'wei 此属胃
'ci'shui'bu'sheng'gu'qi 此水不胜谷气
'ci'sui'yi'xia'zhi 此虽已下之
'ci'wai'yu'jie 此外欲解
'ci'wang'jin'ye 此亡津液
'ci'wei'ban'zai'li'ban'zai'wai'ye 此为半在里半在外也
'ci'wei'ben'xu 此为本虚
'ci'wei'bu'zhi 此为不治
