'an'qu 暗区
'nei'bu'tou'sheng'jia 内部透声佳
'nei'bu'wei'deng'hui'sheng 内部为等回声
'nei'jian'mi'ji'guang'dian 内见密集光点
'nei'jing 内径
'nei'jing'shao'zeng'kuan 内径稍增宽
'nei'mo'bo'er'guang'hua 内膜薄而光滑
'nei'shang 内上
'nei'shang'xiang'xian 内上象限
'nei'wai'xian 内外腺
'nei'wei'jian'jie'shi'he'zhong'kuai 内未见结石和肿块
'nei'wei'jian'yi'chang'hui'sheng 内未见异常回声
'nei'xia 内下
'nei'xia'xiang'xian 内下象限
'nei'xian 内腺
'nei'you'xi'xiao'jun'yun'hui'sheng 内有细小均匀回声
'ni'xiang'yun'dong 逆向运动
'nie'chuang 颞窗
'niu'yan'zheng 牛眼征
'pai'ji'pang'guang'shi 拍击膀胱时
'pang'guang'bi'hui'sheng'ling'luan'bu'qing 膀胱壁回声零乱不清
'pang'guang'chong'ying'hao 膀胱充盈好
'pang'guang'chong'ying'jia 膀胱充盈佳
'pang'guang'ru'kou'chu 膀胱入口处
'pang'guang'ye'xing'an'qu'nei 膀胱液性暗区内
'pang'guang'zhi'chang'wo 膀胱直肠窝
'pang'guang'zhong'liu 膀胱肿瘤
'pen'qiang'tan'cha 盆腔探查
'pen'qiang'wei'jian'ming'xian'ye'xing'an'qu 盆腔未见明显液性暗区
'pen'qiang'wei'jian'ye'an'qu 盆腔未见液暗区
'pen'qiang'wei'jian'ye'xing'an'qu 盆腔未见液性暗区
'peng'da 膨大
'pi'chang'jing 脾长径
'pi'hou 脾厚
'pi'jing'mai'nei'jing'wu'kuo'zhang 脾静脉内径无扩张
'pi'jing'mai'zeng'kuan 脾静脉增宽
'pi'nei'hui'sheng'jun'yun 脾内回声均匀
'pi'pian'da 脾偏大
'pi'shen'yin'wo 脾肾隐窝
'pi'shi'zhi'hui'sheng'jun'yun 脾实质回声均匀
'pi'sui'zhi'fen'jie'qing 皮髓质分界清
'pi'zhi 皮质
'pi'zhong'da 脾肿大
'pian'zhuang 片状
'pin'pu 频谱
'pin'pu'duo'pu'le 频谱多普勒
'qi'dai'ya'ji 脐带压迹
'qi'guan'yi'wei 气管移位
'qi'kua'du'yue 骑跨度约
'qi'kua'yu'shi'jian'ge'zhi'shang 骑跨于室间隔之上
'qi'nei'wei'jian'guang'tuan'ji'ji'ye 其内未见光团及积液
'qia'wai'dong'mai 髂外动脉
'qia'wai'jing'mai 髂外静脉
'qian'guang'hua 欠光滑
'qian'hou'jing 前后径
'qian'lie'xian'chuan'ci 前列腺穿刺
'qian'lie'xian'da'xiao 前列腺大小
'qian'lie'xian'nang'zhong 前列腺囊肿
'qian'lie'xian'zeng'da 前列腺增大
'qian'lie'xian'zeng'da'cheng'qiu'zhuang 前列腺增大呈球状
'qian'zhi'tai'pan 前置胎盘
'qiang'guang'dai 强光带
'qiang'guang'dian 强光点
'qiang'guang'tuan 强光团
'qiang'hui'sheng 强回声
'qiang'hui'sheng'gai'hua'ban 强回声钙化斑
'qiang'hui'sheng'guang'ban 强回声光斑
'qiang'hui'sheng'tuan 强回声团
'qiang'hui'sheng'tuan'kuai 强回声团块
'qiang'nei'chao'sheng 腔内超声
'qie'mian'xing'tai'zheng'chang 切面形态正常
'qing'du'fan'liu 轻度返流
'qing'du'xia'zhai 轻度狭窄
'qing'du'zeng'da 轻度增大
'qing'xi'wei'jian'zhan'wei 清晰未见占位
'qing'zhong'du'fan'liu 轻中度返流
'qing'zhong'du'xia'zhai 轻中度狭窄
'rong'mao'mo'yu'tui'mo'fen'li 绒毛膜与蜕膜分离
'ru'xian'dao'guan'wei'jian'kuo'zhang 乳腺导管未见扩张
'ru'xian'wei'jian'yi'chang 乳腺未见异常
'ru'xian'xian'wei'liu 乳腺纤维瘤
'rui'li 锐利
'ruo'hui'sheng 弱回声
'ruo'sheng'ying 弱声影
'san'jian'ban'fan'liu 三尖瓣返流
'sha'shi 沙石
'shan'xing 扇形
'shang'jia 尚佳
'shang'qiang'jing'mai 上腔静脉
'shang'xia'jing 上下径
'shao'qiang'hui'sheng 稍强回声
'she'jing'guan'nang'zhong 射精管囊肿
'she'xue'fen'shu 射血分数
'shen'ai 肾癌
'shen'bei'mo'hui'sheng'zhong'duan 肾被膜回声中断
'shen'dou 肾窦
'shen'dou'hui'sheng'bian'xing 肾窦回声变形
'shen'duo'fa'xing'nang'zhong 肾多发性囊肿
'shen'fa'yu'bu'quan 肾发育不全
'shen'huo'dong'bu'shou'xian 肾活动不受限
'shen'ji'shui 肾积水
'shen'jie'shi 肾结石
'shen'jie'xian'xiao'shi 肾界线消失
'shen'jing'mai 肾静脉
'shen'men 肾门
'shen'nang'zhong 肾囊肿
'shen'nei'chong'man 肾内充满
'shen'pi'zhi 肾皮质
'shen'pi'zhi'bian'bao 肾皮质变薄
'shen'shang'ji 肾上极
'shen'shang'xian'xian'ti 肾上腺腺体
'shen'shang'xian'zhong'liu 肾上腺肿瘤
'shen'shi'zhi 肾实质
'shen'shi'zhi'hou'du'zheng'chang 肾实质厚度正常
'shen'shi'zhi'hui'sheng 肾实质回声
'shen'shu'niao'guan'pang'guang'qian'lie'xian'wei'jian'yi'chang 肾输尿管膀胱前列腺未见异常
'shen'sui'zhi 肾髓质
'shen'wai'xing 肾外形
'shen'yu 肾盂
'shen'yu'fen'li 肾盂分离
'shen'zhan'kuo'zhang 肾盏扩张
'shen'zhan'yu'shen'yu'xiang'lian'xu 肾盏与肾盂相连续
'shen'zhui'ti 肾锥体
'sheng'shuai'jian 声衰减
'sheng'ying 声影
'sheng'ying'bu'ming'xian 声影不明显
'sheng'yun 声晕
'shi'jian'ge 室间隔
'shi'jian'ge'ji 室间隔嵴
'shi'jian'ge'shang'duan 室间隔上段
'shi'que 室缺
'shi'xing'zhong'kuai 实性肿块
'shi'zhi'an'qu 实质暗区
'shi'zhi'nei 实质内
'shi'zhi'xing'hui'sheng 实质性回声
'shi'zhi'xing'zhong'kuai 实质性肿块
'shi'zhuang'bu 矢状部
'shou'ya'bian'xing 受压变形
'shu'luan'guan'ji'shui 输卵管积水
'shu'niao'guan'jie'shi'shen'ji'shui 输尿管结石肾积水
'shu'niao'guan'kuo'zhang 输尿管扩张
'shuai'jian'an'qu 衰减暗区
'shuang'ce'fu'jian'qu 双侧附件区
'shuang'ce'fu'jian'wei'jian'ming'xian'zhong'kuai 双侧附件未见明显肿块
'shuang'ce'jia'zhuang'xian'nei 双侧甲状腺内
'shuang'ce'ru'xian 双侧乳腺
'shuang'ce'shu'niao'guan'wei'jian'kuo'zhang 双侧输尿管未见扩张
'shuang'ce'shu'niao'guan'wu'kuo'zhang 双侧输尿管无扩张
'shuang'ding'jing 双顶径
'shuang'fu'jian'wei'jian'ming'xian'zhong'kuai'hui'sheng 双附件未见明显肿块回声
'shuang'huan'zheng 双环征
'shuang'jing'dong'mai 双颈动脉
'shuang'qia'wai'jing'mai 双髂外静脉
'shuang'shen'wai'zhou'hua 双肾外周滑
'shuang'shen'xing'tai'zheng'chang 双肾形态正常
'shuang'shen'zhan'ke'jian'duo'ge'qiang'guang'tuan 双肾盏可见多个强光团
'shuang'tai'ren'shen 双胎妊娠
'shuang'xia'zhi'dong'mai'zou'xing'zheng'chang 双下肢动脉走行正常
'shuang'zi'gong 双子宫
'si'tai 死胎
'sui'hu'xi'de'gai'bian'jian'ruo 随呼吸的改变减弱
'sui'ti'wei'gai'bian'bu'yi'dong 随体位改变不移动
'sui'ti'wei'gai'bian'er'yi'dong 随体位改变而移动
'sui'xie 碎屑
'suo'xiao 缩小
'tai'er 胎儿
'tai'er'hui'sheng 胎儿回声
'tai'pan 胎盘
'tai'pan'fu'gai 胎盘覆盖
'tai'pan'zao'bo 胎盘早剥
'tai'tou 胎头
'tai'xin'lv 胎心率
'tan'tou'jia'ya 探头加压
'tao'shi'wo'wei'jian'ye'an'qu'nei'jian'duo'ge 陶氏窝未见液暗区内见多个
'ti'ji'ming'xian'zeng'da 体积明显增大
'tu'xiang'pang'guang'qiang 凸向膀胱腔
'tu'xiang'zhi'liang'bu'jia 图像质量不佳
'tu'xiang'zhi'liang'cha 图像质量差
'tu'xiang'zhi'liang'jiao'jia 图像质量较佳
'tu'xiang'zhi'liang'qian'jia 图像质量欠佳
'tuan'kuai'bian'jie'qing 团块边界清
'tuan'kuai'zhuang'hui'sheng 团块状回声
'tuan'liu'pin'pu 湍流频谱
'tuo'feng'zheng 驼峰征
'tuo'yuan'xing 椭圆形
'wai'shang 外上
'wai'shang'xiang'xian 外上象限
'wai'xia 外下
'wai'xia'xiang'xian 外下象限
'wai'xian 外腺
'wan'yun 晚孕
'wei'jian'ban'kuai'hui'sheng 未见斑块回声
'wei'jian'bao'kuai'hui'sheng 未见包块回声
'wei'jian'guo'ge'xue'liu'xin'hao 未见过隔血流信号
'wei'jian'jie'shi'hui'sheng 未见结石回声
'wei'jian'ming'xian'zhan'wei 未见明显占位
'wei'jian'ming'xian'zhong'kuai'hui'sheng 未见明显肿块回声
'wei'jian'yi'chang 未见异常
'wei'jian'yi'chang'hui'sheng 未见异常回声
'wei'jian'zeng'hou 未见增厚
'wei'jian'zhan'wei 未见占位
'wei'jian'zhan'wei'xing'bing'bian 未见占位性病变
'wei'suo 萎缩
'wei'xian'shi'jie'shi'hui'sheng 未显示结石回声
'wu'bao'mo 无包膜
'wu'di 无蒂
'wu'hui'sheng 无回声
'wu'hui'sheng'qu 无回声区
'wu'hui'sheng'sheng'ying 无回声声影
'wu'ming'xian'sheng'ying 无明显声影
'wu'sheng'ying 无声影
'xi'dian'zhuang 细点状
'xi'shu'san'zai 稀疏散在
'xi'xiao'dian'zhuang'hui'sheng 细小点状回声
'xia'fu'qiang 下腹腔
'xia'fu'wei'jian'ye'xing'an'qu 下腹未见液性暗区
'xia'qiang'jing'mai 下腔静脉
'xia'zhi'dong'mai'wei'jian'yi'chang 下肢动脉未见异常
'xia'zhi'dong'mai'ying'hua 下肢动脉硬化
'xia'zhi'jing'mai 下肢静脉
'xia'zhi'shen'jing'mai'xue'shuan'xing'cheng 下肢深静脉血栓形成
'xian'shi 显示
'xian'shi'bu'qing 显示不清
'xian'shi'qing'xi 显示清晰
'xian'ti'ceng 腺体层
'xian'ti'zu'zhi'hui'sheng'zheng'chang 腺体组织回声正常
'xian'tiao'zhuang'hui'sheng 线条状回声
'xiang'wai'tu'qi 向外凸起
'xiao'yin'jing'mai 小隐静脉
'xin'bao'ji'ye 心包积液
'xin'geng 心梗
'xin'lv 心率
'xin'zang'zheng'chang 心脏正常
'xing'shen 形肾
'xing'tai 形态
'xing'tai'lun'kuo'zheng'chang 形态轮廓正常
'xing'zhuang'bu'gui'ze 形状不规则
'xing'zhuang'qian'gui'ze 形状欠规则
'xiong'qiang'ji'ye 胸腔积液
'xiu'bu'shu'hou 修补术后
'xue'guan'liu 血管瘤
