'an'huan'ke 安环科
'chu'zha'qing'jiao'ji 除渣清焦剂
'chu'zhi 出汁
'chu'zhi'bi 出汁比
'chu'zhi'cao 出汁槽
'chu'zhi'liang 出汁量
'chuan'ding 穿钉
'chuan'shui'chuan'qi 串水串汽
'chuan'xiao 穿销
'chuan'xiao'zhou 穿销轴
'chuan'zhou 串轴
'chuan'zhu'lv'ji 串助滤剂
'chui'du 锤度
'chui'du'ji 锤度计
'chui'guan 吹管
'chui'guan'ji'hua 吹管计划
'chui'guan'ji'lu 吹管记录
'chui'hui 吹灰
'chun'du'cha 纯度差
'ci'xuan'ji 磁选机
'cu'tang'jiang 粗糖浆
'da'bao'jian 打包间
'da'ma'ji 打码机
'da'san'ji 打散机
'da'shui 打水
'da'shui'liang 打水量
'da'shui'wen'du 打水温度
'da'shui'ya'li 打水压力
'da'tang'dou 大糖斗
'dai'fu'he 带负荷
'dai'liao 待料
'dai'tang'gao 待糖膏
'dai'xiang 待箱
'dai'ya'bu'lou 带压补漏
'dai'ya'du'lou 带压堵漏
'dan'ji'shi'ji 单机试机
'dang'jiao'ban 挡胶板
'dang'you'huan 挡油环
'dao'gong 倒供
'dao'gu 刀鼓
'dao'guan 倒罐
'dao'pian 刀片
'dao'zhe 倒蔗
'deng'wai'bai'sha'tang 等外白砂糖
'deng'wai'tang 等外糖
'deng'wai'tang'dai 等外糖袋
'deng'zhe'bai'sha'tang 等折白砂糖
'deng'zhe'bai'sha'tang'chan'lv 等折白砂糖产率
'deng'zhe'chan'lv 等折产率
'di'bang 地磅
'di'shu 底梳
'di'wang 底网
'di'yi'zuo'zha'ji 第一座榨机
'dian'ban 垫板
'dian'ci'fa 电磁阀
'dian'dao'hui'fen 电导灰分
'dian'huo'nuan'lu 点火暖炉
'dian'li'zhu'li 电力助理
'dian'pai 电排
'dian'xiu 电修
'dian'xiu'gong 电修工
'diao'che 吊车
'diao'che'gong 吊车工
'diao'xie'gong 吊卸工
'diao'zhe 吊蔗
'diao'zhe'che 吊蔗车
'diao'zhe'lian'tiao 吊蔗链条
'die'bao'dai 叠包带
'die'zhe 叠蔗
'ding'bang 顶磅
'ding'gun 顶辊
'ding'gun'sheng'gao 顶辊升高
'ding'liang'zhuang'bao 定量装包
'ding'long 顶笼
'dong'ping'heng 动平衡
'duan'cao 断槽
'duan'cao'xi'ji 断槽洗机
'duan'kai'wai'dian 断开外电
'dui'bi'chou'chu'lv 对比抽出率
'dui'bi'zhu'lian'hui'shou'lv 对比煮炼回收率
'dui'bi'zong'hui'shou'lv 对比总回收率
'dui'jiang'ji 对讲机
'dui'liu 对流
'dui'liu'bu'hao 对流不好
'dun'tang 吨糖
'dun'tang'cheng 吨糖秤
'dun'tang'dai 吨糖袋
'dun'tang'hao'dian 吨糖耗电
'dun'tang'hao'dian'liang 吨糖耗电量
'dun'tang'hao'qi 吨糖耗汽
'dun'tang'hao'qi'liang 吨糖耗汽量
'dun'zhe'hao'dian 吨蔗耗电
'dun'zhe'hao'dian'liang 吨蔗耗电量
'dun'zhe'hao'qi 吨蔗耗汽
'dun'zhe'hao'qi'liang 吨蔗耗汽量
'dun'zhe'qi'hao 吨蔗汽耗
'dun'zhe'qi'hao'lv 吨蔗汽耗率
'dun'zhe'yong'qi 吨蔗用汽
'dun'zhe'yong'qi'liang 吨蔗用汽量
'duo'da'dian'shui 多打点水
'duo'da'shui 多打水
'duo'xiao'zheng'fa 多效蒸发
'er'ci'feng'ji 二次风机
'er'ji'beng 二级泵
'er'ji'tang 二级糖
'er'ji'tang'dai 二级糖袋
'er'lv'zhi 二滤汁
'er'lv'zhi'xiang 二滤汁箱
'er'xiao 二效
'er'xiao'guan 二效罐
'er'xiao'han'tang 二效含糖
'er'xiao'qi 二效汽
'er'xiao'qi'fa 二效汽阀
'er'xiao're'shui'beng 二效热水泵
'er'xiao'shui 二效水
'er'xiao'shui'beng 二小水泵
'er'xiao'zheng'fa 二效蒸发
'er'xiao'zheng'fa'guan 二效蒸发罐
'er'xiao'zhi'qi 二效汁汽
'er'yang'hua'tan'beng 二氧化碳泵
'fa'pai 阀拍
'fa'pei'dian 发配电
'fan'ban 翻板
'fan'ban'dai 翻板带
'fan'ban'duan'dai 翻板短带
'fan'ban'ji 翻板机
'fan'ban'ji'gong 翻板机工
'fan'ban'luo'zhe'gong 翻板落蔗工
'fan'cang 翻仓
'fan'di 反底
'fang'kong 放空
'fang'kong'fa 放空阀
'fang'lian'zhou'qi 方联轴器
'fang'tang 放糖
'fang'tang 方糖
'fang'tang'chui'du 放糖锤度
'fang'tang'chui'du'di 放糖锤度低
'fang'tang'chui'du'gao 放糖锤度高
'fang'tang'fa 放糖阀
'fang'zhou 方轴
'fei'mi 废蜜
'fei'mi'chan'liang 废蜜产量
'fei'mi'chan'lv 废蜜产率
'fei'mi'cheng 废蜜秤
'fei'mi'chui'du 废蜜锤度
'fei'mi'liang 废蜜量
'fei'mi'qi'song'guan 废蜜气送罐
'fei'mi'sun'shi 废蜜损失
'fei'mi'zhong'li'chun'du 废蜜重力纯度
'fei'qi 废汽
'fei'qi'fa 废汽阀
'fei'sha 废砂
'fei'tang'mi 废糖蜜
'fei'tang'mi'chan'liang 废糖蜜产量
'fei'tang'mi'chui'du 废糖蜜锤度
'fei'tang'mi'yu'zhe'bi 废糖蜜与蔗比
'fei'tang'mi'zhong'li'chun'du 废糖蜜重力纯度
'fen'lei'shai 分类筛
'fen'mi 分蜜
'fen'mi'ji 分蜜机
'fen'mi'ji'da'shui 分蜜机打水
'fen'mi'ji'gong 分蜜机工
'fen'mi'ji'pai'mi 分蜜机排蜜
'fen'mi'ji'shang'tang'fa 分蜜机上糖阀
'fen'mi'ji'tan'liao'qi 分蜜机探料器
'fen'pei'cao 分配槽
'fen'pei'qi 分配器
'fen'pei'zhao 分配罩
'fen'san'du 分散度
'fen'xi'ke 分析科
'feng'bao'ji 缝包机
'feng'bao'xian 缝包线
'fu'he 负荷
'fu'li'tang 福利糖
'fu'lian 副链
'fu'shu'dai 附属带
'fu'zha 复榨
'fu'zhu'you'beng 辅助油泵
'gan'guan'zhi'biao 感官指标
'gan'lv'ni 干滤泥
'gan'lv'ni'tang'du 干滤泥糖度
'gan'you'zhan 干油站
'gan'zao'chuang 干燥床
'gan'zao'ji 干燥机
'gan'zao'shi'zhong 干燥失重
'gan'zha'shi'yan 干榨试验
'gan'zhe 甘蔗
'gan'zhe'che 甘蔗车
'gan'zhe'chui'du 甘蔗锤度
'gan'zhe'chun'du 甘蔗纯度
'gan'zhe'duan'cao 甘蔗断槽
'gan'zhe'dui'chang 甘蔗堆场
'gan'zhe'ni'sha 甘蔗泥沙
'gan'zhe'po'sui 甘蔗破碎
'gan'zhe'po'sui'du 甘蔗破碎度
'gan'zhe'qing'jing 甘蔗清净
'gan'zhe'tang'fen 甘蔗糖分
'gan'zhe'xian'wei'fen 甘蔗纤维分
'gan'zhe'zeng'chan'bu 甘蔗增产部
'gang'wei'gong 岗位工
'gao'pin'zhen'shai 高频振筛
'gao'wei'cao 高位槽
'gao'wei'cao'liao'wei 高位槽料位
'gao'yuan'chun'du'cha 膏原纯度差
'gei'shui'beng 给水泵
'geng'gai'chui'du 更改锤度
'geng'huan'lv'bu 更换滤布
'geng'huan'lv'dai 更换滤袋
'gong'dian'chang'dian'liang 供电厂电量
'gong'duan 工段
'gong'duan'zhang 工段长
'gong'jing'tang'dian'liang 供精糖电量
'gong'qi'ta'dian'liang 供其他电量
'gong'qi'ta'zheng'qi'chan'liang 供其他蒸汽产量
'gong'shui'gong'duan 供水工段
'gong'wai'dian'liang 供外电量
'gong'yi'zhi'biao 工艺指标
'gou'ji 勾机
'gu'feng'ji 鼓风机
'gua'ban'dai 刮板带
'gua'ni 刮泥
'guan'shi 罐时
'guan'shu 罐数
'guang'gun 光辊
'gun'tong'gan'zao'ji 滚筒干燥机
'gun'tong'qu'shai 滚筒曲筛
'gun'tong'shai 滚筒筛
'gun'tong'ya'lv'ji 滚筒压滤机
'guo'bang 过磅
'guo'bao'chong 过饱充
'guo'liu 过流
'guo'liu'tiao'zha 过流跳闸
'guo'lu 锅炉
'guo'lu'bao'guan 锅炉爆管
'guo'lu'chui'hui 锅炉吹灰
'guo'lu'fu'he 锅炉负荷
'guo'lu'hui'zha 锅炉灰渣
'guo'lu'qing'xi'ji 锅炉清洗剂
'guo'lu'zhi'shui 锅炉制水
'guo'lv'dai 过滤袋
'guo'zhe 过蔗
'guo'zheng'fa 过蒸发
'guo'zhi 过汁
'guo'zhi'fa 过汁阀
'ha'fu'jie 哈夫节
'han'tang 含糖
'han'tang'fen 含糖分
'han'zai'zhi'pin 含在制品
'hao'dian'chang'zheng'qi 耗电厂蒸汽
'hao'dian'chang'zheng'qi'liang 耗电厂蒸汽量
'hao'qi'liang 耗汽量
'hao'qi'ta'zheng'qi'chan'liang 耗其他蒸汽产量
'hao'qi'ta'zheng'qi'liang 耗其他蒸汽量
'hao'wai'dian 耗外电
'hao'wai'dian'liang 耗外电量
'hao'zheng'qi'liang 耗蒸汽量
'he'ge'yuan'tang 合格原糖
'he'shang'tou 和尚头
'he'zi'cheng 核子秤
'hei'dian 黑点
'hou'gun 后辊
'hua'yan'xi'tong 化验系统
'huan'shai'wang 换筛网
'huan'shi'zu'gou'ji 缓蚀阻垢剂
'huan'yuan'tang 还原糖
'huan'yuan'tang'fen 还原糖分
'huang'dian 黄点
'huang'hei'dian 黄黑点
'hui'diao 灰吊
'hui'fen 灰分
'hui'rong 洄溶
'hui'rong'cang 回溶仓
'hui'rong'ji 回溶机
'hui'rong'ji'gong 回溶机工
'hui'rong'liang 回溶量
'hui'rong'tang 回溶糖
'hui'rong'tang'jiang 回溶糖浆
'hui'rong'tang'jiang'se'zhi 回溶糖浆色值
'hui'shou'beng 回收泵
'hui'shou'bu'ji 回收不及
'hui'shou'chi 回收池
'hui'shou'dai 回收带
'hui'shou'lv 回收率
'hui'shui 回水
'hui'shui 灰水
'hui'shui'beng 灰水泵
'hui'shui'guan 回水管
'hui'shui'guan 灰水管
'hui'zha 灰渣
'hui'zhu 回煮
'hui'zhu'liang 回煮量
'hun'he'chan'tang'lv 混合产糖率
'hun'he'tang 混合糖
'hun'he'tang'chan'lv 混合糖产率
'hun'he'zhi 混合汁
'hun'he'zhi'yu'zhe'bi 混合汁与蔗比
'hun'he'zhi'zhong'li'chun'du 混合汁重力纯度
'hun'zhi 混汁
'hun'zhi'beng 混汁泵
'hun'zhi'chui'du 混汁锤度
'hun'zhi'chun'du 混汁纯度
'hun'zhi'guan 混汁管
'hun'zhi'xiang 混汁箱
'hun'zhuo'du 浑浊度
'ji'di'tang 机底糖
'ji'feng 机封
'ji'feng'lou 机封漏
'ji'jia 机架
'ji'shou'zhe 机收蔗
'ji'tang 积糖
'ji'xie'leng'que'shui 机械冷却水
'ji'xie'leng'que'shui'beng 机械冷却水泵
'ji'xie'leng'que'shui'chi 机械冷却水池
'ji'xie'leng'que'ta 机械冷却塔
'ji'xie'mi'feng'lou 机械密封漏
'ji'xie'shui 机械水
'ji'xie'shui'beng 机械水泵
'ji'xie'shui'chi 机械水池
'ji'xie'shui'chi'yi'liu 机械水池溢流
'ji'xie'shui'han'tang 机械水含糖
'ji'xie'shui'hui'shui 机械水回水
'ji'xie'shui'hui'shui'guan 机械水回水管
'ji'xie'shui'shang'shui 机械水上水
'ji'xie'shui'shang'shui'guan 机械水上水管
'ji'xie'shui'yi'liu 机械水溢流
'ji'xie'zhu'li 机械助理
'jia'da'hui'zhu 加大回煮
'jia'da'hui'zhu'liang 加大回煮量
'jia'da'zha'liang 加大榨量
'jia'gao 甲膏
'jia'gao'chun'du 甲膏纯度
'jia'gao'jia'yuan'chun'du'cha 甲膏甲原纯度差
'jia'hui 加灰
'jia'hui'gong 加灰工
'jia'hui'zhi 加灰汁
'jia'hui'zhi'beng 加灰汁泵
'jia'hui'zhi'xiang 加灰汁箱
'jia're'shi 加热室
'jia'tang 甲糖
'jia'tang'fen'mi'ji 甲糖分蜜机
'jia'tang'gao 甲糖膏
'jia'tang'gao'ti'tang'lv 甲糖膏提糖率
'jia'tang'gong 甲糖工
'jia'tang'hu 甲糖糊
'jia'tang'ji 甲糖机
'jia'tang'ji'gong 甲糖机工
'jia'xi 甲洗
'jia'xi'mi 甲洗蜜
'jia'xin'zhe 夹心蔗
'jia'yuan 甲原
'jia'yuan'chun'du 甲原纯度
'jia'yuan'mi 甲原蜜
'jia'zha'liang 加榨量
'jia'zhong 甲种
'jian'chun'du 简纯度
'jian'chun'du'cha 简纯度差
'jian'shai 兼筛
'jian'shao'hui'zhu 减少回煮
'jian'shao'hui'zhu'liang 减少回煮量
'jian'shao'zha'liang 减少榨量
'jian'su'ji 减速机
'jian'xie'guan 间歇罐
'jian'xiu'qi 检修期
'jian'zha'liang 减榨量
'jian'zha'liang'sheng'chan 减榨量生产
'jiang'di'bei'ya 降低背压
'jiao'ban'bu 交班簿
'jiao'ban'ye 搅拌叶
'jiao'cheng 校秤
'jie'jing'guan 结晶罐
'jie'jing'lv 结晶率
'jie'lie 解列
'jie'lie'ting'ji 解列停机
'jie'lie'wai'dian 解列外电
'jie'ti 解体
'jie'zhong 接种
'jin'ji'ting'ji 紧急停机
'jin'ji'ting'lu 紧急停炉
'jing'li'zhu'li 经理助理
'jing'tang 精糖
'jing'tang'bu 精糖部
'jing'tang'cang 精糖仓
'jing'tang'chan'lv 精糖产率
'jing'tang'cheng'tang 精糖成糖
'jing'tang'dai 精糖袋
'jing'tang'rong'tang 精糖溶糖
'jing'tang'zhuang'bao 精糖装包
'jing'you'bai'sha'tang 精幼白砂糖
'jing'zhi'bai'sha'tang 精制白砂糖
'jing'zhi'tang 精制糖
'jiu'xian 旧线
'jiu'xian'cheng'qing 旧线澄清
'jiu'xian'dian'xiu 旧线电修
'jiu'xian'fen'mi 旧线分蜜
'jiu'xian'ya'zha 旧线压榨
'jiu'xian'yi'biao 旧线仪表
'jiu'xian'zhu'tang 旧线煮糖
'ju'shui 桔水
'ju'shui'cheng 桔水秤
'ju'shui'chui'du 桔水锤度
'ju'shui'guan 桔水罐
'ju'shui'qi'song'guan 桔水气送罐
'ju'shui'shi'chun'du 桔水视纯度
'ju'shui'sun'shi 桔水损失
'ju'shui'ta 桔水塔
'ju'shui'zhong'li'chun'du 桔水重力纯度
'jun'heng'jin'zha 均衡进榨
'jun'heng'jin'zha'xi'tong 均衡进榨系统
'jun'heng'zha'zhe 均衡榨蔗
'kai'hui'shou 开回收
'kai'shai 开筛
'kai'sheng'qi 开生汽
'kai'zha 开榨
'kai'zha'ji'hua 开榨计划
'kai'zha'qi 开榨期
'ke'li'du 颗粒度
'ke'li'jun'yun'du 颗粒均匀度
'ke'li'wu 颗粒物
'kong'bang 空磅
'kong'zhi'da'shui 控制打水
'kong'zhi'da'shui'liang 控制打水量
'kou'za 扣杂
'kuai'chen 快沉
'kuai'chen'fan'di 快沉反底
'kuai'jin'kuai'chu 快进快出
'kuai'su'chen'dian'chi 快速沉淀池
'kuai'su'dai 快速带
'kuai'su'jiao'dai 快速胶带
'kun'bang'dai 捆绑带
'kun'zhe 捆蔗
'lao'hui 捞灰
'lao'hui'lao'bu'ji 捞灰捞不及
'lei'tang 类糖
'leng'ning'qi 冷凝器
'leng'que'ta 冷却塔
'leng'you'qi 冷油器
'li'fang'shu 立方数
'li'ping'ji 理平机
'li'shi'zhu'jing 立式助晶
'li'shi'zhu'jing'ji 立式助晶机
'li'shi'zhu'jing'xiang 立式助晶箱
'li'xin'fen'mi'ji 离心分蜜机
'li'zi'jiao'huan'shu'zhi 离子交换树脂
'lian'dong'shi'ji 联动试机
'lian'jing'tang 炼精糖
'lian'tang 炼糖
'lian'tang'qi 炼糖期
'lian'tiao 链条
'lian'tiao'chuan'xiao 链条穿销
'lian'xu'guan 连续罐
'lian'xu'guan'bu'dui'liu 连续罐不对流
'lian'xu'pai'wu 连续排污
'lian'xu'zhu'tang'guan 连续煮糖罐
'liang'piao 两票
'liang'piao'jian'shai 两票兼筛
'liang'piao'tang 两票糖
'liang'xian'an'quan'sheng'chan 两线安全生产
'lie'guan'shi 列管式
'lin'suan'yu'zhe'bi 磷酸与蔗比
'liu'bu'ji 流不及
'liu'hua'chuang 流化床
'liu'hua'chuang'gan'zao'ji 流化床干燥机
'liu'huang'yu'zhe'bi 硫磺与蔗比
'liu'liang'ji 流量计
'liu'xun 硫熏
'liu'xun'qiang'du 硫熏强度
'liu'xun'zhong'he 硫熏中和
'lou'zha 漏渣
'lou'zhen'kong 漏真空
'lou'zhi 漏汁
'lu'di 炉底
'lu'di'feng 炉底风
'lu'hua 炉化
'lu'hua'shi 炉化室
'lu'pai 炉排
'lu'shui'han'tang 炉水含糖
'luo'xuan'cao 螺旋槽
'luo'xuan'shu'song'ji 螺旋输送机
'luo'zhe 落蔗
'luo'zhe'gong 落蔗工
'lv'bu 滤布
'lv'dai 滤袋
'lv'ni 滤泥
'lv'ni'dai 滤泥带
'lv'ni'dou 滤泥斗
'lv'ni'sun'shi 滤泥损失
'lv'ni'tang'du 滤泥糖度
'lv'ni'tang'fen 滤泥糖分
'lv'ni'zhuan'guang'du 滤泥转光度
'lv'qing'zhi 滤清汁
'lv'you'chi 滤油池
'lv'zhi 滤汁
'lv'zhi'beng 滤汁泵
'lv'zhi'xiang 滤汁箱
'mai'dian 卖电
'mai'dian'liang 卖电量
'man'rong 慢溶
'man'zha 慢榨
'mei'dun'gan'zhe'hao'dian'liang 每吨甘蔗耗电量
'mei'jian'lou 没见漏
'mei'you'liao'wei 没有料位
'mi'cheng 蜜秤
'mian'gun 面辊
'mian'gun'sheng'gao 面辊升高
'mian'hou'shu 面后梳
'mian'shu 面梳
'mian'wang 面网
'mo'duan 末端
'mo'duan'chu'li 末端处理
'mo'duan'shui 末端水
'mo'duan'shui'beng 末端水泵
'mo'duan'shui'chi 末端水池
'mo'duan'shui'wen 末端水温
'mo'duan'shui'wen'du 末端水温度
'mo'duan'shui'wen'du'gao 末端水温度高
'mo'duan'shui'ya 末端水压
'mo'shu 磨梳
'mo'xiao 末效
'mo'xiao'guan 末效罐
'mo'xiao'qi 末效汽
'mo'xiao're'shui 末效热水
'mo'xiao're'shui'beng 末效热水泵
'mo'xiao'shui 末效水
'mo'xiao'shui'beng 末效水泵
'mo'xiao'zhen'kong 末效真空
'mo'xiao'zhen'kong'du 末效真空度
'mo'xiao'zheng'fa 末效蒸发
'mo'xiao'zheng'fa'guan 末效蒸发罐
'mo'xiao'zhi'qi 末效汁汽
'mo'ya'zhi 末压汁
'mo'zhong 磨种
'mo'zhong'ji 磨种机
'mu'ye 母液
'nan'pai'mi 难排蜜
'nan'shai 难筛
'nan'shai'tang 难筛糖
'nei'dian 内电
'ni'ceng 泥层
'ni'ceng'bo 泥层薄
'ni'ceng'hou 泥层厚
'ni'ceng'hou'du 泥层厚度
'ni'zhi 泥汁
'ni'zhi'xiang 泥汁箱
'nong'suo'tang'jiang 浓缩糖浆
'nong'suo'tang'jiang'se'zhi 浓缩糖浆色值
'nong'wu 农务
'nong'wu'yuan 农务员
'nuan'lu 暖炉
'pa'chi 耙齿
'pa'chi'ji 耙齿机
'pa'chi'lian 耙齿链
'pa'chi'lian'tiao 耙齿链条
'pai'an 排氨
'pai'an'fa 排氨阀
'pai'dao 排刀
'pai'di'fa 排底阀
'pai'di'guan 排底管
'pai'jie 排街
'pai'jie'fa 排接阀
'pai'mi 排蜜
'pai'shui'wei 排水位
'pai'tang 排糖
'pai'tang'fa 排糖阀
'pai'tang'guan 排糖管
'pai'tang'zhu'shui 排糖煮水
'pai'wu'beng 排污泵
'pai'zhi 排汁
'pai'zhi'gou 排汁沟
'pai'zhi'kong 排汁孔
'pan'che 盘车
'pao'tang 跑糖
'pei'dian 配电
'pei'dian'gong 配电工
'pei'dian'shi 配电室
'pen'zha'feng'ji 喷渣风机
'ping'heng'xiang 平衡箱
'ping'jun'fa'dian'liang 平均发电量
'ping'jun'ri'zha'liang 平均日榨量
'ping'jun'she'bei'ri'zha'liang 平均设备日榨量
'po'sui'du 破碎度
'qi'bao 期报
'qi'bao 汽包
'qi'bao'biao 期报表
'qi'bi'suo 气闭锁
'qi'bu'gou 汽不够
'qi'gang 气缸
'qi'hao'lv 汽耗率
'qi'ji 汽机
'qi'ji'fu'he 汽机负荷
'qi'ji'gong 汽机工
'qi'ji'jie'lie 汽机解列
'qi'jing 起晶
'qi'lun'ji 汽轮机
'qi'lun'ji'dai'fu'he 汽轮机带负荷
'qi'lun'ji'fu'he 汽轮机负荷
'qi'lun'ji'gong 汽轮机工
'qi'lun'ji'jie'lie 汽轮机解列
'qi'ning'shui 汽凝水
'qi'ning'shui'beng 汽凝水泵
'qi'ning'shui'xiang 汽凝水箱
'qi'shao 汽少
'qi'song'guan 气送罐
'qi'xi 汽洗
'qi'xi'fa 汽洗阀
'qi'ya'bo'dong 汽压波动
'qi'yuan 汽源
'qian'gun 前辊
'qian'hou'gun 前后辊
'qian'hou'gun'chu'zhi 前后辊出汁
'qian'hou'gun'chu'zhi'bi 前后辊出汁比
'qian'hou'gun'chu'zhi'bi'shi'yan 前后辊出汁比试验
'qian'hou'gun'chu'zhi'liang 前后辊出汁量
'qiang'xiu'jie 抢修节
'qiang'zhi'jiao'ban 强制搅拌
'qiang'zhi'jiao'ban'qi 强制搅拌器
'qie'si'ji 切撕机
'qie'zhe'ji 切蔗机
'qing'du 清度
'qing'hun'zhi 清混汁
'qing'hun'zhi'chun'du'cha 清混汁纯度差
'qing'jing'xiao'lv 清净效率
'qing'li'ji'tang 清理积糖
'qing'tang'jiang 清糖浆
'qing'tang'jiang'beng 清糖浆泵
'qing'xi'lv'dai 清洗滤袋
'qing'xing'wei'liao'qi 轻型喂料器
'qing'zhe'chang 清蔗场
'qing'zhi 清汁
'qing'zhi'beng 清汁泵
'qing'zhi'chun'du 清汁纯度
'qu'shai 曲筛
'qu'shai'lv'bu 曲筛滤布
'quan'chang'tiao'zha 全厂跳闸
'que'zhong 缺种
'ran'liu'lu 燃硫炉
're'he'ji 热合机
're'rong'ji 热熔机
're'shui'beng 热水泵
're'shui'lv'dai 热水滤袋
're'shui'ping'heng'xiang 热水平衡箱
're'shui'shao 热水少
'ren'zi'wen 人字纹
'ri'bao 日报
'ri'bao'biao 日报表
'ri'chan'bai'tang 日产白糖
'ri'chan'bai'tang'liang 日产白糖量
'ri'chan'tang'liang 日产糖量
'ri'chan'yuan'tang 日产原糖
'ri'chan'yuan'tang'liang 日产原糖量
'ri'fa'dian'liang 日发电量
'ri'hui'rong'liang 日回溶量
'ri'mai'dian'liang 日卖电量
'ri'rong'tang'liang 日溶糖量
'ri'rong'yuan'tang 日溶原糖
