'a'ba'la'qi'ya'ji'you'jun 阿巴拉契亚鸡油菌
'an'huang'lin'san 暗黄鳞伞
'an'huang'si'mo'jun 暗黄丝膜菌
'an'hui'ban'zhi'pan'jun 安徽斑痣盘菌
'an'hui'bing'xiu'jun 安徽柄锈菌
'an'hui'chong'wen'mei 安徽虫瘟霉
'an'hui'chong'yi'mei 安徽虫疫霉
'an'hui'guang'bing'gu 暗灰光柄菇
'an'hui'hei'fen'jun 安徽黑粉菌
'an'hui'ni'ceng'kong'jun 安徽拟层孔菌
'an'hui'san'ban'ke 安徽散斑壳
'an'hui'zhi'hu'jun 暗灰枝瑚菌
'an'hun'shu'hua 安魂树花
'an'jin'qian'jun'shu 暗金钱菌属
'an'kong'jun'shu 暗孔菌属
'an'lan'ci'pi'er 暗蓝刺皮耳
'an'lan'fen'zhe'jun 暗蓝粉褶菌
'an'lan'fen'zhe'xun 暗蓝粉褶蕈
'an'lan'guang'gai'san 暗蓝光盖伞
'an'lan'ya'ce'er 暗蓝亚侧耳
'an'lie'ya'hei'wu'gong'yi 暗裂芽黑蜈蚣衣
'an'lin'bai'gui'san 暗鳞白鬼伞
'an'lin'huan'bing'gu 暗鳞环柄菇
'an'lin'rou'chi'jun 暗鳞肉齿菌
'an'lin'yin'si'e'gao 暗鱗隐丝鹅膏
'an'luo'gai'gu 暗裸盖菇
'an'luo'xiao'pi'san 安络小皮伞
'an'lv'ding'cong'ge'bao 暗绿顶丛格孢
'an'lv'ru'gu 暗绿乳菇
'an'mao'si'gai'san 暗毛丝盖伞
'an'mei'yan'huang'qi'dan'bao'xiu'jun 暗昧岩黄芪单胞锈菌
'an'mo'jun'ke 暗膜菌科
'an'pi'san'shu 暗皮伞属
'an'ping'kou'yi 暗瓶口衣
'an'pu'tao'jiu'se'pan'jun 暗葡萄酒色盘菌
'an'qi'fen'zhe'xun 安琪粉褶蕈
'an'qiu'qiang'jun'shu 暗球腔菌属
'an'rou'mo'jun'shu 暗柔膜菌属
'an'ru'gu 暗乳菇
'an'ru'tou'yi'shu 暗乳头衣属
'an'se'ji'zong'jun 暗色鸡枞菌
'an'se'jiao'jiao'er 暗色胶角耳
'an'se'la'chang'yi 暗色腊肠衣
'an'se'ni'la'kong'jun 暗色拟蜡孔菌
'an'se'si'gai'san 暗色丝盖伞
'an'se'xiao'pi'san 暗色小皮伞
'an'se'zuo'qiang'bao'shu 暗色座腔孢属
'an'sheng'xiao'gu'shu 岸生小菇属
'an'shi'zhen'kong'jun 安氏针孔菌
'an'shuang'bao'shu 暗双孢属
'an'shun'jia'long'tou'jun 安顺假笼头菌
'an'si'gai'san 暗丝盖伞
'an'si'lan'si'pan'jun 暗丝兰斯盘菌
'an'tian'ci'ge'jun 安田刺革菌
'an'tian'di'hua'kong'jun 安田地花孔菌
'an'tian'shi'shu'hua 安田氏树花
'an'xi'xiang'peng'jia'xiu'jun 安息香膨痂锈菌
'an'xi'xiang'wei'bao 安息香尾孢
'an'xiao'chi'ke'shu 暗小赤壳属
'an'xiao'pi'san'shu 暗小皮伞属
'an'xiao'tuo'lei'pan'jun 桉小托雷盘菌
'an'ya'ling'bao 暗哑铃孢
'an'yan'dou'jun'shu 暗烟斗菌属
'an'ye'xuan'gou'zi'duo'bao'xiu'jun 桉叶悬钩子多胞锈菌
'an'yuan'kong'niu'gan'jun'shu 暗圆孔牛肝菌属
'an'zhe'jun 暗褶菌
'an'zhe'san'shu 暗褶伞属
'an'zhe'se'xiu'ge'jun 暗赭色锈革菌
'an'zhi'ding'bao'shu 暗枝顶孢属
'an'zhou'zhe'xiao'cui'bing'gu 暗皱褶小脆柄菇
'an'zi'niu'gan'jun 暗紫牛肝菌
'an'zi'pan'jun 暗紫盘菌
'an'zi'tan'tuan'jun 暗紫炭团菌
'an'zi'yuan'kong'niu'gan'jun 暗紫圆孔牛肝菌
'an'zong'rong'gai'niu'gan'jun 暗棕绒盖牛肝菌
'an'zong'you'shuang'bao'xiu'jun 暗棕疣双胞锈菌
'ao'bo'shi'fu'ge'jun 奥伯氏伏革菌
'ao'di'duo'nian'wo'kong'jun 奥地多年卧孔菌
'ao'di'hong'gu 奥地红菇
'ao'ding'san'shu 凹顶伞属
'ao'dun'yi 凹盾衣
'ao'fu'jun'shu 奥腹菌属
'ao'hen'fen'bao'ge'jun 凹痕粉孢革菌
'ao'keng'bai'fu'jun 凹坑白腹菌
'ao'keng'qiu'nang'mei 凹坑球囊霉
'ao'keng'wu'geng'nang'mei 凹坑无梗囊霉
'ao'lai'si'mo'jun 奥来丝膜菌
'ao'li'gen'xiao'gu 奥力根小菇
'ao'lie'wang'nei'nang'mei 奥列罔内囊霉
'ao'lin'pi'ya'lin'san 奥林匹亚鱗伞
'ao'lin'pi'ya'yan'si'san 奥林匹亚沿丝伞
'ao'lin'wang'yi 凹鳞网衣
'ao'mei'fen'zhe'xun 奥美粉褶蕈
'ao'mian'ping'kou'yi 凹面瓶口衣
'ao'mian'rong'zhi'yi 凹面茸枝衣
'ao'pan'yi'ke 凹盘衣科
'ao'pan'yi'shu 凹盘衣属
'ao'pi'ci'bing'xiu'jun 奥皮茨柄锈菌
'ao'ping'cha'zi 凹平茶渍
'ao'qiu'ke'shu 凹球壳属
'ao'rui'jin'qian'jun 奥瑞金钱菌
'ao'san'pan'yi 凹散盘衣
'ao'shi'da'ye'mei 奥氏大叶梅
'ao'shi'gao'fu'jun 奥氏高腹菌
'ao'shi'xie'bao'hei'fen'jun 奥氏楔孢黑粉菌
'ao'tu'gai'wu'zhi 凹凸盖乌芝
'ao'tu'xiao'jiao'yi 凹突小角衣
'ao'wen'ping'kou'yi 凹纹瓶口衣
'ao'xian'kuai'jun 凹陷块菌
'ao'zhou'qiu'nang'mei 澳洲球囊霉
'ao'zhou'yin'er 澳洲银耳
'ba'bao'bai'chi'jun 八孢白齿菌
'ba'bao'pan'jun 八孢盘菌
'ba'bao'pan'jun'shu 八孢盘菌属
'ba'bao'san'pan'yi 八孢散盘衣
'ba'chi'jun 耙齿菌
'ba'duan'mao'she'jun 八段毛舌菌
'ba'er'di'mo'zhou'yi 巴尔迪莫皱衣
'ba'er'ka'shi'mo'gu 巴尔喀什蘑菇
'ba'hen'ji'pi'yi 疤痕鸡皮衣
'ba'jiao'mu'ceng'kong'jun 八角木层孔菌
'ba'jiao'sheng'san'ban'ke 八角生散斑壳
'ba'jun'shu 耙菌属
'ba'ke'li'bing'xiu'jun 巴克利柄锈菌
'ba'ke'li'duo'bao'xiu'jun 巴克利多胞锈菌
'ba'ke'si'mei'ke 巴克斯霉科
'ba'ke'si'mei'shu 巴克斯霉属
'ba'mo'yi 疤膜衣
'ba'na'ma'wei'pi'san 巴拿马微皮伞
'ba'qia'bing'xiu 菝葜柄锈
'ba'qia'nang'bao'xiu 菝葜囊孢锈
'ba'qia'sheng'pi'xia'pan'jun 菝葜生皮下盘菌
'ba'sen'shi'cheng'yi 把森氏橙衣
'ba'shi'ban'shi'yi 巴氏半实衣
'ba'shi'cao'gu 巴氏草菇
'ba'shi'cha'ke'xiu'jun 巴氏查科锈菌
'ba'shi'duo'bao'xiu 巴氏多胞锈
'ba'shi'duo'bao'xiu'jun 八室多胞锈菌
'ba'shi'hou'pan'jun 巴氏厚盘菌
'ba'shi'mo'gu 巴氏蘑菇
'ba'te'le'si'hei'fen'jun 巴特勒丝黑粉菌
'ba'wang'ling'shu'she 坝王岭树舌
'ba'xi'an'sheng'xiao'gu 巴西岸生小菇
'ba'xi'bing'bei'jun 巴西柄杯菌
'ba'xi'chong'cao 巴西虫草
'ba'xi'dan'bao'xiu'jun 巴西单胞锈菌
'ba'xi'ke'shu 巴西壳属
'ba'xi'lei'qiu'nang'mei 巴西类球囊霉
'ba'xi'li'mao'pan'jun 巴西粒毛盘菌
'ba'xi'mo'gu 巴西蘑菇
'ba'xi'yin'er 巴西银耳
'ba'xian'hua'dian'pan'jun 八仙花点盘菌
'ba'ying'cai'qiao'xiu'jun 芭英菜鞘锈菌
'bai'ban'cheng'yi 白斑橙衣
'bai'ban'gui'san 白斑鬼伞
'bai'bao'ji'pi'yi 白孢鸡皮衣
'bai'bei'hei'dan'chao'jun 白被黑蛋巢菌
'bai'bei'san 白杯伞
'bai'bei'ye'xing'dun'tai 白背叶星盾炱
'bai'bei'yun'zhi 白贝云芝
'bai'bian'cha'si'kong'jun 白扁叉丝孔菌
'bai'bian'dao'yi 白边岛衣
'bai'bian'huang'lin'san 白边黄鳞伞
'bai'bian'ji'you'jun 白边鸡油菌
'bai'bian'ling'zhi 白边灵芝
'bai'bian'lou'dou'jun 白边漏斗菌
'bai'bian'mei'yi 白边梅衣
'bai'bian'ping'cha'zi 白边平茶渍
'bai'bian'tu'pan'jun 白边土盘菌
'bai'bian'zhi'hu'jun 白变枝瑚菌
'bai'bing'guang'bing'gu 白柄光柄菇
'bai'bing'hong'gu 白柄红菇
'bai'bing'huang'gai'e'gao 白柄黄盖鹅膏
'bai'bing'ji'zong'jun 白柄鸡枞菌
'bai'bing'ma'an'jun 白柄马鞍菌
'bai'bing'ru'niu'gan'jun 白柄乳牛肝菌
'bai'bing'si'mo'jun 白柄丝膜菌
'bai'bing'wei'pi'san 白柄微皮伞
'bai'bing'xiao'cui'bing'gu 白柄小脆柄菇
'bai'bo'kong'jun 白薄孔菌
'bai'cao'bao'kong'jun 白糙孢孔菌
'bai'ce'er 白侧耳
'bai'ceng'fu'jun 白层腹菌
'bai'che'zhou'cao'dan'bao'xiu'jun 白车轴草单胞锈菌
'bai'chen'fen'bao 白尘粉孢
'bai'chi'jun'shu 白齿菌属
'bai'chi'xing'yi 白赤星衣
'bai'chu'mo'gu 白杵蘑菇
'bai'chun'yi'shu 白唇衣属
'bai'ci'hua'dan'bao'xiu'jun 白刺花单胞锈菌
'bai'ci'jiao'er 白刺胶耳
'bai'ci'ma'bo 白刺马勃
'bai'ci'mao'hei'wu'gong'yi 白刺毛黑蜈蚣衣
'bai'ci'pi 白刺皮
'bai'ci'you'hei'fen'jun 稗刺疣黑粉菌
'bai'cong'zhi'jun 白丛枝菌
'bai'dan'chao'jun 白蛋巢菌
'bai'dan'chao'jun'shu 白蛋巢菌属
'bai'di'xue'hua'yi 白底雪花衣
'bai'dian'shi'rui 白点石蕊
'bai'dian'xiao'he'yi 白点小核衣
'bai'ding'li'gu 白顶丽菇
'bai'dong'bao'jiao'mu'ke 白冬孢酵母科
'bai'dong'bao'jiao'mu'mu 白冬孢酵母目
'bai'dong'bao'jiao'mu'shu 白冬孢酵母属
'bai'dou'bei'ge'jun 白斗杯革菌
'bai'dou'ma'bo 白豆马勃
'bai'du'san 白毒伞
'bai'dun'fen'zhe'xun 白盾粉褶蕈
'bai'e'bo'shi'kong'jun 白垩泊氏孔菌
'bai'e'gao 白鹅膏
'bai'er'ke 白耳科
'bai'er'shu 白耳属
'bai'fen'bao'niu'gan'jun 白粉孢牛肝菌
'bai'fen'e'gao 白粉鹅膏
'bai'fen'hong'shi'zhe'xiao'gu 白粉红实褶小菇
'bai'fen'ji'sheng'bao'shu 白粉寄生孢属
'bai'fen'jun'ke 白粉菌科
'bai'fen'jun'shu 白粉菌属
'bai'fen'shi'rui 白粉石蕊
'bai'fen'zhe'xun 白粉褶蕈
'bai'fu'di'juan 白腹地卷
'bai'fu'jun'shu 白腹菌属
'bai'fu'pian'bao 白辐片包
'bai'fu'ya'ling'bao 白腹哑铃孢
'bai'gai'xiao'cui'bing'gu 白盖小脆柄菇
'bai'gai'yuan'kong'niu'gan'jun 白盖圆孔牛肝菌
'bai'gao'yao'jun 白膏药菌
'bai'ge'bao'fu'ge'jun 白隔孢伏革菌
'bai'ge'dan'er 白隔担耳
'bai'gou'wen'fen'zhe'xun 白沟纹粉褶蕈
'bai'guang'bing'gu 白光柄菇
'bai'gui'bi 白鬼笔
'bai'gui'san'shu 白鬼伞属
'bai'guo'bai'chun'yi 白果白唇衣
'bai'he'ban'qiu'gai'gu 白褐半球盖菇
'bai'he'dan'bao'xiu'jun 百合单胞锈菌
'bai'he'ge'bao'fu'ge'jun 白褐隔孢伏革菌
'bai'he'li'zhe'san 白褐离褶伞
'bai'he'rong'gai'niu'gan'jun 白褐绒盖牛肝菌
'bai'hei'fen'jun 稗黑粉菌
'bai'hei'ni'niu'gan'kong'jun 白黑拟牛肝孔菌
'bai'hong'gu 白红菇
'bai'hong'si'gai'san 白红丝盖伞
'bai'hua'shan'bing'xiu'jun 百花山柄锈菌
'bai'huan'bing'gu 白环柄菇
'bai'huan'mo'shu 白环蘑属
'bai'huang'ce'er 白黄侧耳
'bai'huang'e'gao'jun 白黄鹅膏菌
'bai'huang'fen'zhe'xun 白黄粉褶蕈
'bai'huang'mi'huan'jun 白黄蜜环菌
'bai'huang'ni'bian'kong'jun 白黄拟变孔菌
'bai'huang'ru'gu 白黄乳菇
'bai'huang'wei'pi'san 白黄微皮伞
'bai'huang'xiao'mi'kong'jun 白黄小密孔菌
'bai'ji'qiao'xiu'jun 白及鞘锈菌
'bai'ji'you'jun 白鸡油菌
'bai'jiang'bing'xiu'jun 败酱柄锈菌
'bai'jiang'jun'shu 白僵菌属
'bai'jiao'yi 白角衣
'bai'jiao'yi'shu 白角衣属
'bai'jin'si'gai'san 白锦丝盖伞
'bai'jing'bei'jun 白晶杯菌
'bai'jing'bei'pan'jun 白井杯盘菌
'bai'jing'hei'fen'jun 白井黑粉菌
'bai'jing'mao'bao'xiu'jun 白井帽孢锈菌
'bai'juan'bao'mo'ge'jun 白绢薄膜革菌
'bai'juan'dan'jun 白卷担菌
'bai'juan'mao'gu 白卷毛菇
'bai'jun'suo'ni'bian'kong'jun 白菌索拟变孔菌
'bai'ke'bai'mao'pan'jun 白壳白毛盘菌
'bai'ke'jun'shu 白壳菌属
'bai'ke'shu 白壳属
'bai'kong'tan'tuan'jun 白孔炭团菌
'bai'kou'mo 白口蘑
'bai'la'duo'nian'wo'kong'jun 白蜡多年卧孔菌
'bai'la'mo 白蜡蘑
'bai'la'san 白蜡伞
'bai'la'shu'hua 白蜡树花
'bai'la'shu'shai'kong'xiu'jun 白蜡树筛孔锈菌
'bai'lei'mo 白雷蘑
'bai'li'hei'fen'bing 稗粒黑粉病
'bai'li'hei'fen'jun 稗粒黑粉菌
'bai'lian'ke'xiu 白蔹壳锈
'bai'liang'qiu'gai'gu 白亮球盖菇
'bai'lie'shi'bai'gui'san 柏列氏白鬼伞
'bai'lie'ya'rou'you'yi 白裂芽肉疣衣
'bai'lin'bing'e'gao'jun 白鳞柄鹅膏菌
'bai'lin'cu'bing'gu 白鳞粗柄菇
'bai'lin'di'gu 白林地菇
'bai'lin'di'mo'gu 白林地蘑菇
'bai'lin'gu 白鳞菇
'bai'lin'ma'bo 白鳞马勃
'bai'lin'san 白鳞伞
'bai'lin'san'shu 白鳞伞属
'bai'ling'ce'er 白灵侧耳
'bai'ling'miao'lie'zui'ke 百灵庙裂嘴壳
'bai'liu'shan'xiu'jun 白柳栅锈菌
'bai'ma'bo 白马勃
'bai'mai'di'juan 白脉地卷
'bai'mai'fu'jun'shu 白脉腹菌属
'bai'mao'ci'yi 白毛刺衣
'bai'mao'kou'mo 白毛口蘑
'bai'mao'li'mao'pan'jun 白毛粒毛盘菌
'bai'mao'pan'jun'shu 白毛盘菌属
'bai'mao'rou'bei'jun 白毛肉杯菌
'bai'mao'xiao'kou'pan'jun 白毛小口盘菌
'bai'mi'zhe'bei'san 白密褶杯伞
'bai'mian'fu'yi 白绵腹衣
'bai'ming'wang'yi 白明网衣
'bai'mo'si'mo'jun 白膜丝膜菌
'bai'nei'nang'mei 白内囊霉
'bai'ni'zhi'hu'jun 白拟枝瑚菌
'bai'ni'zhu'bao 白拟蛛包
'bai'nian'san 白黏伞
'bai'pao'lin'yi 白泡鳞衣
'bai'pi'bing'hui'bao 白皮柄灰孢
'bai'pi'bing'hui'bao 白皮柄灰抱
'bai'pi'jing'hui'qiu 白皮静灰球
'bai'pi'song'san'ban'ke 白皮松散斑壳
'bai'pi'wei'pi'san 白皮微皮伞
'bai'ping'da'bao'yi 白平大孢衣
'bai'qi'san 白脐伞
'bai'qi'tu'fen'xun'zhe 白脐突粉蕈褶
'bai'qu'cai'bai'pi'liu'shan'xiu'jun 白屈菜白皮柳栅锈菌
'bai'quan'yuan'yi 白全缘衣
'bai'rong'gui'san 白绒鬼伞
'bai'rong'ru'gu 白绒乳菇
'bai'rou'chi'jun 白肉齿菌
'bai'rou'se'e'gao 白肉色鹅膏
'bai'rou'yin'er 白肉银耳
'bai'se'bu'le'zhi'bao'jiao'mu 白色布勒掷孢酵母
'bai'se'chuan'dan'ge'jun 白色串担革菌
'bai'se'hong'qu'mei 白色红曲霉
'bai'se'hua'niu'gan'jun 白色华牛肝菌
'bai'se'lai'xie'yi 白色癞屑衣
'bai'se'mao'ding'jun 白色毛钉菌
'bai'se'qiu'nang'mei 白色球囊霉
'bai'se'rou'bei'jun 白色肉杯菌
'bai'se'ru'zui'yi 白色乳嘴衣
'bai'se'wei'hu'dan'jun 白色伪壶担菌
'bai'shan'hu'jun 白珊瑚菌
'bai'shan'jiao'yi 白山胶衣
'bai'shan'zhi 白扇芝
'bai'shou'pan'jun 白瘦盘菌
'bai'shu'jia'yi 白树痂衣
'bai'shua'ba'jun 白刷把菌
'bai'shuan'jun 白栓菌
'bai'shuang'bei'san 白霜杯伞
'bai'shuang'yuan'yi 白双缘衣
'bai'si'bo'pi'kong'jun 白丝薄皮孔菌
'bai'si'chi'jun 白丝齿菌
'bai'si'mo'jun 白丝膜菌
'bai'si'mo'jun'shu 白丝膜菌属
'bai'si'pi'jun 白丝皮菌
'bai'song'luo 白松萝
'bai'song'mao'she'jun 柏松毛舌菌
'bai'tiao'gai'e'gao 白条盖鹅膏
'bai'tou'bing'xiu'jun 白头柄锈菌
'bai'tou'weng'qiao'xiu'jun 白头翁鞘锈菌
'bai'tou'weng'tiao'hei'fen'jun 白头翁条黑粉菌
'bai'tou'xin'xiao'di'chui'jun 白头新小地锤菌
'bai'tu'ma'bo 白秃马勃
'bai'tui'he'ma'an'jun 白腿褐马鞍菌
'bai'tuo'bing'gu 白托柄菇
'bai'tuo'luo'jun 白陀螺菌
'bai'wang'qiu'jun 白网球菌
'bai'wei'ji'pi'yi 白围鸡皮衣
'bai'wen'hong'gu 白纹红菇
'bai'wen'xian'kong'jun 白纹线孔菌
'bai'xiang'mo 白香蘑
'bai'xiao'ce'er 白小侧耳
'bai'xiao'cui'bing'gu 白小脆柄菇
'bai'xiao'gu 白小菇
'bai'xiao'pi'san 白小皮伞
'bai'xiao'yan'pan'jun 柏小艳盘菌
'bai'xiao'yan'pan'jun'shu 柏小艳盘菌属
'bai'xiao'you'bing'niu'gan'jun 白小疣柄牛肝菌
'bai'xing'hei'fen'jun 稗腥黑粉菌
'bai'xue'xiao'he'yi 白穴小核衣
'bai'xun'shu 白蕈属
'bai'ya'ling'bao 白哑铃孢
'bai'yan'pan'jun 白艳盘菌
'bai'yang'ru'gu 白杨乳菇
'bai'yi'chong'cao 白蚁虫草
'bai'you'bing'niu'gan'jun 白疣柄牛肝菌
'bai'you'hei'fen'jun 稗疣黑粉菌
'bai'yu'cao'bing'xiu'jun 白玉草柄锈菌
'bai'yuan'chi'lin'san 白圆齿鳞伞
'bai'yuan'luo'pan'jun 白缘裸盘菌
'bai'yuan'mao'xuan'yi 白缘毛旋衣
'bai'yuan'zhu'jun'shu 白圆炷菌属
'bai'zhu'jie'yi 摆珠节衣
'bai'zhuang'gu'shu 白桩菇属
'bai'zi'si'mo'jun 白紫丝膜菌
'bai'zong'kou'mo 白棕口蘑
'ban'bai'ban'you'bing'niu'gan'jun 半白半疣柄牛肝菌
'ban'bai'niu'gan'jun 半白牛肝菌
'ban'bao'cong'zhi'hu 斑孢丛枝瑚
'ban'bei'jun 半杯菌
'ban'bei'jun'shu 半杯菌属
'ban'bian'lian'bing'xiu'jun 半边莲柄锈菌
'ban'biao'wei'pi'san 伴标微皮伞
'ban'bing'hong'gu 斑柄红菇
'ban'bing'ru'niu'gan'jun 斑柄乳牛肝菌
'ban'cang'si'bao'jiao'mu 板仓丝孢酵母
'ban'cha'yi'shu 瓣茶衣属
'ban'cu'mao'bing'jin'qian'jun 半粗毛柄金钱菌
'ban'dian'bing'xiu'jun 斑点柄锈菌
'ban'dian'dan'bao'xiu'jun 斑点单胞锈菌
'ban'dian'dan'nang'ke 斑点单囊壳
'ban'dian'hong'gu 斑点红菇
'ban'dian'hua'er 斑点花耳
'ban'dian'ji'pi'yi 斑点鸡皮衣
'ban'dian'jun'shu 斑点菌属
'ban'dian'kuai'jun 斑点块菌
'ban'dian'ma'an'jun 斑点马鞍菌
'ban'dian'mao'ding'gu 斑点铆钉菇
'ban'dian'qiu'nang'mei 斑点球囊霉
'ban'dian'si'gai'jun 斑点丝盖菌
'ban'dian'wen'ge'jun 斑点纹革菌
'ban'dian'xiao'he'yi 斑点小核衣
'ban'dian'ye'zhi'jun 斑点叶痣菌
'ban'dian'zhen'ceng'kong'jun 斑点针层孔菌
'ban'fen'mo'niu'gan'jun 半粉末牛肝菌
'ban'gai'zhe'hong'gu 斑盖赭红菇
'ban'gui'hua'dan'bao'xiu'jun 半桂花单胞锈菌
'ban'gui'san 斑鬼伞
'ban'he'fen'bao'niu'gan'jun 斑褐粉孢牛肝菌
'ban'he'kong'jun 斑褐孔菌
'ban'huan'shuan'jun 瓣环栓菌
'ban'jiao'kong'jun'shu 半胶孔菌属
'ban'jiao'wei'pi'san 半焦微皮伞
'ban'jin'qian'jun 斑金钱菌
'ban'jiu'ju'jia'wei'bao 斑鸠菊假尾孢
'ban'jiu'ju'qiao'xiu'jun 斑鸠菊鞘锈菌
'ban'kai'wu'gong'yi 半开蜈蚣衣
'ban'kai'yang'du'jun 半开羊肚菌
