'a'ji'mi'de'wo'gan 阿基米德蜗杆
'chuan'lian'shi'zu'he'ji'gou 串联式组合机构
'chuang'xin 创新
'chuang'xin'she'ji 创新设计
'chui'zhi'zai'he 垂直载荷
'chun'xing'xiang'jiao'mi'feng 唇形橡胶密封
'ci'liu'ti'zhou'cheng 磁流体轴承
'cong'dong'dai'lun 从动带轮
'cong'dong'jian 从动件
'cong'dong'jian'ping'di'kuan'du 从动件平底宽度
'cong'dong'jian'ting'xie 从动件停歇
'cong'dong'jian'yun'dong'gui'lv 从动件运动规律
'cong'dong'lun 从动轮
'cu'xian 粗线
'cu'ya'luo'wen 粗牙螺纹
'da'bao'ji 打包机
'da'chi'lun 大齿轮
'da'hua 打滑
'dai'chuan'dong 带传动
'dai'shi'zhi'dong'qi 带式制动器
'dan'lie'zhou'cheng 单列轴承
'dan'wan'xiang'lian'zhou'jie 单万向联轴节
'dan'wei'shi'liang 单位矢量
'dan'xiang'tui'li'zhou'cheng 单向推力轴承
'dang'liang'chi'lun 当量齿轮
'dang'liang'chi'shu 当量齿数
'dang'liang'mo'ca'xi'shu 当量摩擦系数
'dang'liang'zai'he 当量载荷
'dao'cheng 导程
'dao'cheng'jiao 导程角
'dao'jian 导键
'dao'jiao 倒角
'dao'ju 刀具
'dao're'xing 导热性
'dao'shu 导数
'deng'jia'deng'jian'su'yun'dong'gui'lv 等加等减速运动规律
'deng'jing'tu'lun 等径凸轮
'deng'kuan'tu'lun 等宽凸轮
'deng'su'yun'dong'gui'lv 等速运动规律
'deng'xiao'dong'li'xue'mo'xing 等效动力学模型
'deng'xiao'gou'jian 等效构件
'deng'xiao'li 等效力
'deng'xiao'li'ju 等效力矩
'deng'xiao'liang 等效量
'deng'xiao'zhi'liang 等效质量
'deng'xiao'zhuan'dong'guan'liang 等效转动惯量
'di'fu 低副
'di'zuo 底座
'dian'hua'xian 点划线
'dian'pian'mi'feng 垫片密封
'dian'quan 垫圈
'die'xing'tan'huang 碟形弹簧
'ding'xi 顶隙
'ding'zhou'lun'xi 定轴轮系
'dong'li'nian'du 动力粘度
'dong'li'run'hua 动力润滑
'dong'li'xue 动力学
'dong'mi'feng 动密封
'dong'neng 动能
'dong'ping'heng 动平衡
'dong'ping'heng'ji 动平衡机
'dong'tai'fen'xi'she'ji 动态分析设计
'dong'tai'te'xing 动态特性
'dong'ya'li 动压力
'dong'zai'he 动载荷
'duan'mian 端面
'duan'mian'can'shu 端面参数
'duan'mian'chi'ju 端面齿距
'duan'mian'chong'he'du 端面重合度
'duan'mian'mo'shu 端面模数
'duan'mian'ya'li'jiao 端面压力角
'duan'zao 锻造
'dui'chen'xun'huan'ying'li 对称循环应力
'dui'xin'gun'zi'cong'dong'jian 对心滚子从动件
'dui'xin'qu'bing'hua'kuai'ji'gou 对心曲柄滑块机构
'dui'xin'yi'dong'cong'dong'jian 对心移动从动件
'dui'xin'zhi'dong'cong'dong'jian 对心直动从动件
'duo'lie'zhou'cheng 多列轴承
'duo'lun 惰轮
'duo'xiang'shi'yun'dong'gui'lv 多项式运动规律
'duo'xie'dai 多楔带
'duo'zhi'liang'zhuan'zi 多质量转子
'e'ding'shou'ming 额定寿命
'e'ding'zai'he 额定载荷
'fa'mian 法面
'fa'mian'can'shu 法面参数
'fa'mian'chi'ju 法面齿距
'fa'mian'mo'shu 法面模数
'fa'mian'ya'li'jiao 法面压力角
'fa'sheng'mian 发生面
'fa'sheng'xian 发生线
'fa'xiang'chi'ju 法向齿距
'fa'xiang'chi'kuo 法向齿廓
'fa'xiang'li 法向力
'fa'xiang'ying'li 法向应力
'fa'xiang'zhi'kuo'wo'gan 法向直廓蜗杆
'fan'cheng'fa 范成法
'fan'kui'shi'zu'he 反馈式组合
'fan'xiang'yun'dong'xue 反向运动学
'fan'zheng'qie 反正切
'fan'zhuan'fa 反转法
'fang'an'she'ji 方案设计
'fang'xing'fa 仿形法
'fang'zhen'zhuang'zhi 防振装置
'fei'biao'zhun'chi'lun 非标准齿轮
'fei'jie'chu'shi'mi'feng 非接触式密封
'fei'lun'ju 飞轮矩
'fei'yuan'chi'lun 非圆齿轮
'fei'zhou'qi'xing'su'du'bo'dong 非周期性速度波动
'fen'du'xian 分度线
'fen'du'yuan 分度圆
'fen'du'yuan'zhu'dao'cheng'jiao 分度圆柱导程角
'fen'du'yuan'zhu'luo'xuan'jiao 分度圆柱螺旋角
'fen'du'yuan'zhui 分度圆锥
'fen'mo'he'jin 粉末合金
'fen'mu 分母
'fen'xi'fa 分析法
'fen'zi 分子
'feng'bi'cha'dong'lun'xi 封闭差动轮系
'fu'he'jiao'lian 复合铰链
'fu'he'lun'xi 复合轮系
'fu'he'ping'dai 复合平带
'fu'he'shi'zu'he 复合式组合
'fu'he'ying'li 复合应力
'fu'shi'luo'xuan'ji'gou 复式螺旋机构
'fu'za'ji'gou 复杂机构
'gai'nian'she'ji 概念设计
'gan'she 干涉
'gan'zu 杆组
'gang'du'xi'shu 刚度系数
'gang'lun 刚轮
'gang'si'ruan'zhou 钢丝软轴
'gang'ti'dao'yin'ji'gou 刚体导引机构
'gang'xing'chong'ji 刚性冲击
'gang'xing'lian'zhou'qi 刚性联轴器
'gang'xing'zhou'cheng 刚性轴承
'gang'xing'zhuan'zi 刚性转子
'gao'du'xi'lie 高度系列
'gao'fu 高副
'gao'su'dai 高速带
'ge'la'xiao'fu'ding'li 格拉晓夫定理
'gen'qie 根切
'gong'cheng'ying'li 公称应力
'gong'cheng'zhi'jing 公称直径
'gong'e'chi'kuo 共轭齿廓
'gong'e'tu'lun 共轭凸轮
'gong'fa'xian 公法线
'gong'gong'yue'shu 公共约束
'gong'kuang'xi'shu 工况系数
'gong'lv 功率
'gong'neng'fen'xi'she'ji 功能分析设计
'gong'yi'she'ji 工艺设计
'gong'zhi'chi'lun 公制齿轮
'gong'zuo'ji'gou 工作机构
'gong'zuo'kong'jian 工作空间
'gong'zuo'xun'huan'tu 工作循环图
'gong'zuo'ying'li 工作应力
'gong'zuo'zai'he 工作载荷
'gong'zuo'zu'li 工作阻力
'gong'zuo'zu'li'ju 工作阻力矩
'gou'jian 构件
'gou'tou'xie'jian 钩头楔键
'gu'ding'gou'jian 固定构件
'gu'feng'ji 鼓风机
'gu'ti'run'hua'ji 固体润滑剂
'guan'jie'xing'cao'zuo'qi 关节型操作器
'guan'lun 冠轮
'guan'xing'li 惯性力
'guan'xing'li'bu'fen'ping'heng 惯性力部分平衡
'guan'xing'li'ju 惯性力矩
'guan'xing'li'ping'heng 惯性力平衡
'guan'xing'li'wan'quan'ping'heng 惯性力完全平衡
'guan'xing'zhu'ju 惯性主矩
'guan'xing'zhu'shi 惯性主失
'guang'yi'ji'gou 广义机构
'guang'yi'zuo'biao 广义坐标
'gui'ji'fa'sheng'qi 轨迹发生器
'gui'ji'sheng'cheng 轨迹生成
'gun'dao 滚刀
'gun'dao 滚道
'gun'dong'ti 滚动体
'gun'dong'zhou'cheng 滚动轴承
'gun'dong'zhou'cheng'dai'hao 滚动轴承代号
'gun'zhen 滚针
'gun'zhen'zhou'cheng 滚针轴承
'gun'zhu'shi'dan'xiang'chao'yue'li'he'qi 滚柱式单向超越离合器
'gun'zhu'si'gan 滚珠丝杆
'gun'zi 滚子
'gun'zi'ban'jing 滚子半径
'gun'zi'cong'dong'jian 滚子从动件
'gun'zi'lian 滚子链
'gun'zi'lian'lian'zhou 滚子链联轴
'gun'zi'zhou'cheng 滚子轴承
'guo'du'qie'ge 过度切割
'han'shu'fa'sheng'qi 函数发生器
'han'shu'sheng'cheng 函数生成
'han'you'zhou'cheng 含油轴承
'hao'you'liang 耗油量
'hao'you'liang'xi'shu 耗油量系数
'he'cheng'wan'ju 合成弯矩
'he'li 合力
'he'li'ju 合力矩
'he'zi'gong'shi 赫兹公式
'hei'xiang 黑箱
'heng'zuo'biao 横坐标
'hu'huan'xing'chi'lun 互换性齿轮
'hu'qian 虎钳
'hua'dong'lv 滑动率
'hua'dong'zhou'cheng 滑动轴承
'hua'jian 滑键
'hua'jian 花键
'hua'kuai 滑块
'huan'chong'zhuang'zhi 缓冲装置
'huan'mian'wo'gan 环面蜗杆
'huan'xing'tan'huang 环形弹簧
'hui'cheng 回程
'hui'zhu'tie 灰铸铁
'hui'zhuan'ti'ping'heng 回转体平衡
'hun'he'lun'xi 混合轮系
'ji'ben'e'ding'shou'ming 基本额定寿命
'ji'chu'ji'gou 基础机构
'ji'dian'yi'ti'hua'xi'tong'she'ji 机电一体化系统设计
'ji'fen 积分
'ji'gou 机构
'ji'gou'fen'xi 机构分析
'ji'gou'ping'heng 机构平衡
'ji'gou'xue 机构学
'ji'gou'yun'dong'jian'tu 机构运动简图
'ji'gou'yun'dong'she'ji 机构运动设计
'ji'gou'zong'he 机构综合
'ji'gou'zu'cheng 机构组成
'ji'hui'ji'gou 急回机构
'ji'hui'te'xing 急回特性
'ji'hui'xi'shu 急回系数
'ji'hui'yun'dong 急回运动
'ji'jia 机架
'ji'jia'bian'huan 机架变换
'ji'lun 棘轮
'ji'lun'ji'gou 棘轮机构
'ji'qi 机器
'ji'qi'ren 机器人
'ji'qi'ren'cao'zuo'qi 机器人操作器
'ji'qi'ren'xue 机器人学
'ji'shu'guo'cheng 技术过程
'ji'shu'jing'ji'ping'jia 技术经济评价
'ji'shu'xi'tong 技术系统
'ji'suan'ji'fu'zhu'she'ji 计算机辅助设计
'ji'suan'ji'fu'zhu'zhi'zao 计算机辅助制造
'ji'suan'ji'ji'cheng'zhi'zao'xi'tong 计算机集成制造系统
'ji'suan'wan'ju 计算弯矩
'ji'wei'jia'jiao 极位夹角
'ji'xian'wei'zhi 极限位置
'ji'xie 机械
'ji'xie'chuang'xin'she'ji 机械创新设计
'ji'xie'de'xian'dai'she'ji 机械的现代设计
'ji'xie'dong'li'fen'xi 机械动力分析
'ji'xie'dong'li'she'ji 机械动力设计
'ji'xie'dong'li'xue 机械动力学
'ji'xie'li'yi 机械利益
'ji'xie'ping'heng 机械平衡
'ji'xie'she'ji 机械设计
'ji'xie'shou 机械手
'ji'xie'te'xing 机械特性
'ji'xie'tiao'su 机械调速
'ji'xie'wu'ji'bian'su 机械无级变速
'ji'xie'xi'tong 机械系统
'ji'xie'xi'tong'she'ji 机械系统设计
'ji'xie'xiao'lv 机械效率
'ji'xie'yuan'li 机械原理
'ji'xie'yun'zhuan'bu'jun'yun'xi'shu 机械运转不均匀系数
'ji'yu'shi'li'she'ji 基于实例设计
'ji'yuan 基圆
'ji'yuan'ban'jing 基圆半径
'ji'yuan'chi'ju 基圆齿距
'ji'yuan'ya 基圆压
'ji'yuan'zhu 基圆柱
'ji'yuan'zhui 基圆锥
'ji'zhua 棘爪
'jia'quan'xi'shu 加权系数
'jia'su'du 加速度
'jia'su'du'fen'xi 加速度分析
'jia'su'du'qu'xian 加速度曲线
'jian'cao 键槽
'jian'di'cong'dong'jian 尖底从动件
'jian'dian 尖点
'jian'kai'xian 渐开线
'jian'kai'xian'chi'kuo 渐开线齿廓
'jian'kai'xian'chi'lun 渐开线齿轮
'jian'kai'xian'fa'sheng'xian 渐开线发生线
'jian'kai'xian'fang'cheng 渐开线方程
'jian'kai'xian'han'shu 渐开线函数
'jian'kai'xian'hua'jian 渐开线花键
'jian'kai'xian'wo'gan 渐开线蜗杆
'jian'kai'xian'ya'li'jiao 渐开线压力角
'jian'mo'xing 减摩性
'jian'su'bi 减速比
'jian'su'chi'lun 减速齿轮
'jian'su'qi 减速器
'jian'su'zhuang'zhi 减速装置
'jian'xi 间隙
'jian'xie'yun'dong 简谐运动
'jian'xie'yun'dong'ji'gou 间歇运动机构
'jiao'bian'ying'li 交变应力
'jiao'bian'zai'he 交变载荷
'jiao'cha'dai'chuan'dong 交叉带传动
'jiao'cuo'zhou'xie'chi'lun 交错轴斜齿轮
'jiao'he 胶合
'jiao'jia'su'du 角加速度
'jiao'jie'chu'qiu'zhou'cheng 角接触球轴承
'jiao'jie'chu'tui'li'zhou'cheng 角接触推力轴承
'jiao'jie'chu'xiang'xin'zhou'cheng 角接触向心轴承
'jiao'jie'chu'zhou'cheng 角接触轴承
'jiao'lian 铰链
'jiao'su'bi 角速比
'jiao'su'du 角速度
'jiao'zheng'ping'mian 校正平面
'jie'chu'shi'mi'feng 接触式密封
'jie'chu'ying'li 接触应力
'jie'dian 节点
'jie'gou 结构
'jie'gou'she'ji 结构设计
'jie'ju 节距
'jie'mian 截面
'jie'ti'zhou 阶梯轴
'jie'xi'she'ji 解析设计
'jie'xian 节线
'jie'yuan 节圆
'jie'yuan'chi'hou 节圆齿厚
'jie'yuan'zhi'jing 节圆直径
'jie'yuan'zhui 节圆锥
'jie'yuan'zhui'jiao 节圆锥角
'jin'bian 紧边
'jin'gu'jian 紧固件
'jing'jie 径节
'jing'li 静力
'jing'mi'feng 静密封
'jing'ping'heng 静平衡
'jing'xiang 径向
'jing'xiang'dang'liang'dong'zai'he 径向当量动载荷
'jing'xiang'dang'liang'jing'zai'he 径向当量静载荷
'jing'xiang'ji'ben'e'ding'dong'zai'he 径向基本额定动载荷
'jing'xiang'ji'ben'e'ding'jing'zai'he 径向基本额定静载荷
'jing'xiang'jian'xi 径向间隙
'jing'xiang'jie'chu'zhou'cheng 径向接触轴承
'jing'xiang'ping'mian 径向平面
'jing'xiang'you'xi 径向游隙
'jing'xiang'zai'he 径向载荷
'jing'xiang'zai'he'xi'shu 径向载荷系数
'jing'zai'he 静载荷
'ju'bu'zi'you'du 局部自由度
'ju'chi'xing'luo'wen 锯齿形螺纹
'ju'xing'luo'wen 矩形螺纹
'ju'xing'ya'qian'shi'li'he'qi 矩形牙嵌式离合器
'jue'dui'chi'cun'xi'shu 绝对尺寸系数
'jue'dui'su'du 绝对速度
'jue'dui'yun'dong 绝对运动
'jun'heng'zhuang'zhi 均衡装置
'kai'kou'chuan'dong 开口传动
'kai'lian'ji'gou 开链机构
'kai'shi'lian 开式链
'kang'ya'qiang'du 抗压强度
'ke'kao'du 可靠度
'ke'kao'xing 可靠性
'ke'kao'xing'she'ji 可靠性设计
'kong'jian'ji'gou 空间机构
'kong'jian'lian'gan'ji'gou 空间连杆机构
'kong'jian'tu'lun'ji'gou 空间凸轮机构
'kong'jian'yun'dong'fu 空间运动副
'kong'jian'yun'dong'lian 空间运动链
'kong'qi'tan'huang 空气弹簧
'kong'zhuan 空转
'kuan'du'xi'lie 宽度系列
'lei'nuo'fang'cheng 雷诺方程
'li'duo'bian'xing 力多边形
'li'feng'bi'xing'tu'lun'ji'gou 力封闭型凸轮机构
'li'he'qi 离合器
'li'jiao 力角
'li'ju 力矩
'li'lun'kuo'xian 理论廓线
'li'lun'nie'he'xian 理论啮合线
'li'ou 力偶
'li'ou'ju 力偶矩
'li'ping'heng 力平衡
'li'shu'du 隶属度
'li'xin'li 离心力
'li'xin'mi'feng 离心密封
'li'xin'ying'li 离心应力
'lian'chuan'dong'zhuang'zhi 链传动装置
'lian'gan 连杆
'lian'gan'ji'gou 连杆机构
'lian'gan'qu'xian 连杆曲线
'lian'lun 链轮
'lian'xin'xian 连心线
'lian'zhou'qi 联轴器
'liang'wei'tu'lun 两维凸轮
'lin'jie'zhuan'su 临界转速
'liu'gan'ji'gou 六杆机构
'long'men'bao'chuang 龙门刨床
'lun'pi 轮坯
'lun'xi 轮系
'luo'ding 螺钉
'luo'gan 螺杆
'luo'ju 螺距
'luo'mu 螺母
'luo'shuan 螺栓
'luo'wen 螺纹
'luo'wen'dao'cheng 螺纹导程
'luo'wen'xiao'lv 螺纹效率
'luo'xuan'chuan'dong 螺旋传动
'luo'xuan'fu 螺旋副
'luo'xuan'ji'gou 螺旋机构
'luo'xuan'jiao 螺旋角
'luo'xuan'mi'feng 螺旋密封
'luo'xuan'xian 螺旋线
'luo'xuan'zhui'chi'lun 螺旋锥齿轮
'lv'se'she'ji 绿色设计
'ma'er'ta'ji'gou 马耳他机构
'ma'er'ta'shi'zi 马耳他十字
'mai'dong'wu'ji'bian'su 脉动无级变速
'mai'dong'xun'huan'ying'li 脉动循环应力
'mai'dong'zai'he 脉动载荷
'mao'ding 铆钉
'mi'feng 密封
'mi'feng'dai 密封带
'mi'feng'jiao 密封胶
'mi'feng'yuan'jian 密封元件
'mi'feng'zhuang'zhi 密封装置
'mi'gong'mi'feng 迷宫密封
'mian'dui'mian'an'zhuang 面对面安装
'mian'xiang'chan'pin'sheng'ming'zhou'qi'she'ji 面向产品生命周期设计
'ming'yi'ying'li 名义应力
'mo'ca 摩擦
'mo'ca'jiao 摩擦角
'mo'ca'li 摩擦力
'mo'ca'li'ju 摩擦力矩
'mo'ca'xi'shu 摩擦系数
'mo'ca'xue'she'ji 摩擦学设计
'mo'ca'yuan 摩擦圆
'mo'ca'zu'li 摩擦阻力
'mo'duan'zhi'xing'qi 末端执行器
'mo'fu'xiang 模幅箱
'mo'hu'ji 模糊集
'mo'hu'ping'jia 模糊评价
'mo'kuai'hua'she'ji 模块化设计
'mo'kuai'shi'chuan'dong'xi'tong 模块式传动系统
'mo'shu 模数
'mo'sun 磨损
'mu'biao'han'shu 目标函数
'nai'fu'shi'xing 耐腐蚀性
'nai'mo'xing 耐磨性
'nao'xing'ji'gou 挠性机构
'nao'xing'zhuan'zi 挠性转子
'nei'chi'lun 内齿轮
'nei'chi'quan 内齿圈
'nei'li 内力
'nei'quan 内圈
'neng'liang 能量
'neng'liang'zhi'shi'tu 能量指示图
'ni'shi'zhen 逆时针
'nie'chu 啮出
'nie'he 啮合
'nie'he'dian 啮合点
'nie'he'jiao 啮合角
'nie'he'xian 啮合线
'nie'he'xian'chang'du 啮合线长度
'nie'ru 啮入
'ning'gu'dian 凝固点
'niu'huang 扭簧
'niu'ju 扭矩
'niu'tou'bao'chuang 牛头刨床
'niu'zhuan'ying'li 扭转应力
'nuo'mo'tu 诺模图
'pan'xing'tu'lun 盘形凸轮
'pan'xing'zhuan'zi 盘形转子
'pao'wu'xian'yun'dong 抛物线运动
'pi'lao'dian'shi 疲劳点蚀
'pi'lao'ji'xian 疲劳极限
'pi'lao'qiang'du 疲劳强度
'pian'ju'yuan 偏距圆
'pian'xin'ju 偏心距
'pian'xin'lv 偏心率
'pian'xin'pan 偏心盘
'pian'xin'zhi'liang 偏心质量
'pian'zhi'gun'zi'cong'dong'jian 偏置滚子从动件
'pian'zhi'jian'di'cong'dong'jian 偏置尖底从动件
'pian'zhi'qu'bing'hua'kuai'ji'gou 偏置曲柄滑块机构
'pian'zhi'shi 偏置式
'pin'jie 拼接
'pin'lv 频率
'ping'dai 平带
'ping'dai'chuan'dong 平带传动
'ping'di'cong'dong'jian 平底从动件
'ping'di'kuan'du 平底宽度
'ping'fen'xian 平分线
'ping'heng 平衡
'ping'heng'ji 平衡机
'ping'heng'pin'zhi 平衡品质
'ping'heng'ping'mian 平衡平面
'ping'heng'zhi'liang 平衡质量
'ping'heng'zhong 平衡重
'ping'heng'zhuan'su 平衡转速
'ping'jia'yu'jue'ce 评价与决策
'ping'jun'su'du 平均速度
'ping'jun'ying'li 平均应力
'ping'jun'zhong'jing 平均中径
'ping'mian'fu 平面副
'ping'mian'ji'gou 平面机构
'ping'mian'lian'gan'ji'gou 平面连杆机构
'ping'mian'tu'lun 平面凸轮
'ping'mian'tu'lun'ji'gou 平面凸轮机构
'ping'mian'yun'dong'fu 平面运动副
'ping'mian'zhou'xie'chi'lun 平面轴斜齿轮
'pu'tong'ping'jian 普通平键
'qi'dong'ji'gou 气动机构
'qi'dong'jie'duan 起动阶段
'qi'dong'li'ju 启动力矩
'qi'shi'nie'he'dian 起始啮合点
'qi'ta'chang'yong'ji'gou 其他常用机构
'qi'ti'zhou'cheng 气体轴承
'qi'yi'wei'zhi 奇异位置
'qian'jin'ding 千斤顶
'qian'ru'jian 嵌入键
'qiang'po'zhen'dong 强迫振动
'qie'chi'shen'du 切齿深度
'qiu'mian'fu 球面副
'qiu'mian'gun'zi 球面滚子
'qiu'mian'jian'kai'xian 球面渐开线
'qiu'xiao'fu 球销副
'qiu'zhou'cheng 球轴承
'qiu'zuo'biao'cao'zuo'qi 球坐标操作器
'qu'bing 曲柄
'qu'bing'cun'zai'tiao'jian 曲柄存在条件
'qu'bing'dao'gan'ji'gou 曲柄导杆机构
'qu'bing'hua'kuai'ji'gou 曲柄滑块机构
'qu'bing'yao'gan'ji'gou 曲柄摇杆机构
'qu'chi'zhui'chi'lun 曲齿锥齿轮
'qu'dong'li 驱动力
'qu'dong'li'ju 驱动力矩
'qu'lv 曲率
'qu'mian'cong'dong'jian 曲面从动件
'qu'xian'pin'jie 曲线拼接
'qu'xian'yun'dong 曲线运动
'qu'zhou 曲轴
'quan'chi'gao 全齿高
'quan'zhong 权重
'ran'dian 燃点
're'ping'heng 热平衡
'ren'zi'chi'lun 人字齿轮
'rong'yu'zi'you'du 冗余自由度
'rou'lun 柔轮
'rou'xing'chong'ji 柔性冲击
'rou'xing'zhi'zao'xi'tong 柔性制造系统
'rou'xing'zi'dong'hua 柔性自动化
'run'hua 润滑
'run'hua'ji 润滑剂
'run'hua'you'mo 润滑油膜
'run'hua'zhuang'zhi 润滑装置
'san'jiao'xing'hua'jian 三角形花键
'san'jiao'xing'luo'wen 三角形螺纹
'san'wei'tu'lun 三维凸轮
'san'xin'ding'li 三心定理
'sha'lou 砂漏
'sha'lun'yue'cheng'cao 砂轮越程槽
'shao'chi'cha'xing'xing'chuan'dong 少齿差行星传动
'she'ji'bian'liang 设计变量
'she'ji'fang'fa'xue 设计方法学
'she'ji'yue'shu 设计约束
'shen'gou'qiu'zhou'cheng 深沟球轴承
'sheng'chan'zu'li 生产阻力
'sheng'cheng 升程
'sheng'ju 升距
'shi'ji'kuo'xian 实际廓线
'shi'ji'nie'he'xian 实际啮合线
'shi'liang 矢量
'shi'zi'hua'kuai'lian'zhou'qi 十字滑块联轴器
'shu'chu'gong 输出功
'shu'chu'gou'jian 输出构件
'shu'chu'ji'gou 输出机构
'shu'chu'li'ju 输出力矩
'shu'chu'zhou 输出轴
'shu'niu 枢纽
'shu'ru'gou'jian 输入构件
'shu'xue'mo'xing 数学模型
'shuang'hua'kuai'ji'gou 双滑块机构
'shuang'lie'zhou'cheng 双列轴承
'shuang'qu'bing'ji'gou 双曲柄机构
'shuang'qu'mian'chi'lun 双曲面齿轮
'shuang'tou'luo'zhu 双头螺柱
'shuang'wan'xiang'lian'zhou'jie 双万向联轴节
'shuang'xiang'tui'li'zhou'cheng 双向推力轴承
'shuang'yao'gan'ji'gou 双摇杆机构
'shuang'zhuan'kuai'ji'gou 双转块机构
'shun'shi'zhen 顺时针
'shun'xin 瞬心
'si'dian 死点
'si'gan'ji'gou 四杆机构
'song'bian 松边
'su'du 速度
'su'du'bo'dong 速度波动
'su'du'bu'jun'yun'bo'dong'xi'shu 速度不均匀波动系数
'su'du'qu'xian 速度曲线
'su'du'shun'xin 速度瞬心
'ta'ban 踏板
'ta'lun 塔轮
'tai'qian 台钳
'tai'yang'lun 太阳轮
'tan'xing'hua'dong 弹性滑动
'tan'xing'lian'zhou'qi 弹性联轴器
'tan'xing'tao'zhu'xiao'lian'zhou'qi 弹性套柱销联轴器
'tao'tong 套筒
'te'shu'yun'dong'lian 特殊运动链
'te'xing 特性
'ti'dai'ji'gou 替代机构
'ti'xing'luo'wen 梯形螺纹
'tiao'jie 调节
'tiao'su 调速
'tiao'su'dian'dong'ji 调速电动机
'tiao'su'qi 调速器
'tiao'su'xi'tong 调速系统
'tiao'xin'gun'zi'zhou'cheng 调心滚子轴承
'tiao'xin'qiu'zhou'cheng 调心球轴承
'tiao'xin'zhou'cheng 调心轴承
'tiao'ya'tiao'su 调压调速
'tie'ci'liu'ti'mi'feng 铁磁流体密封
'ting'che'jie'duan 停车阶段
'ting'xie 停歇
'tong'bu'dai 同步带
'tong'bu'dai'chuan'dong 同步带传动
'tu'ce 图册
'tu'de 凸的
'tu'jie'fa 图解法
'tu'lun 凸轮
