'a'nu'bi'si 阿努比斯
'shuang'ren'men 双人门
'shui'mu'jiao 水母叫
'shui'mu'tou 水母头
'shui'mu'tu 水母图
'si'long'tu 四龙图
'si'ren'men 四人门
'si'ren'qian'shou 四人牵手
'song'xin 送心
'song'xin'huo 送心火
'tai'yang'jing 太阳镜
'tan'qin 弹琴
'te'guan 特关
'ti'xing'chong'su 体型重塑
'tou'shi'ji 投石机
'wan'sheng'jie 万圣节
'wang'yi 网易
'wu'gui'ke 乌龟壳
'wu'yi 无翼
'xia'gu 霞谷
'xia'gu'zhong'dian'yin'cang'tu 霞谷终点隐藏图
'xia'gui 下跪
'xian'ji 献祭
'xian'zu 先祖
'xiang'lian 项链
'xiao'fei'xiang 小飞象
'xiao'hei 小黑
'xiao'jin'ren 小金人
'xiao'jiu'jiu 小揪揪
'xiao'shi'zi 小狮子
'xiao'song'da 小送大
'xin'huo 心火
'xin'ji'jie 新季节
'xuan'fu'mo'fa 悬浮魔法
'ya'zi'mian'ju 鸭子面具
'yan'hua'bang 烟花棒
'yao'kun 遥鲲
'yao'shui 药水
'yi'dian 伊甸
'yi'zi 椅子
'yin'cang'tu 隐藏图
'yin'yun'ji 音韵季
'you'ke'li'li 尤克里里
'you'shu'mian'ju 鼬鼠面具
'you'yin'cang'tu 右隐藏图
'yu'jing 遇境
'yu'jing'da'fa 遇境大法
'yu'lin 雨林
'yu'ma 雨妈
'yu'mao'qiu 羽毛球
'yu'yan'ji 预言季
'yuan'qin 圆琴
'yun'ye 云野
'yun'ye'ba'ren'men 云野八人门
'zai'zai 崽崽
'zang'bian'tou 脏辫头
'zha'hua 炸花
'zhan'chang'tu 战场图
'zhang'da'cheng'ren 长大成人
'zheng'jiu 拯救
'zheng'tai 正太
'zhong'dian 终点
'zhong'jian'si'tu 中间四图
'zhu'huo 烛火
'zhui'guang'ji 追光季
'zi'shi 姿势
'zong'cai 总裁
'zuo'yin'cang'tu 左隐藏图
