'an'hong'se 暗红色
'shi'yu'xia'jiang 食欲下降
'shou'zu'chou'chu 手足抽搐
'shu'qian'zhun'bei 术前准备
'shu'xue 输血
'shu'xue'jiang 输血浆
'shu'ye'xian'su 输液限速
'tang'niao'bing'yin'shi 糖尿病饮食
'ti'wen'xia'jiang 体温下降
'ti'zhong'xia'jiang 体重下降
'tiao'suo'zhuang 条索状
'ting'zhi'pai'qi'pai'bian 停止排气排便
'tong'chang 通畅
'tong'kong'dui'guang'fan'she'xiao'shi 瞳孔对光反射消失
'tong'kong'san'da 瞳孔散大
'tou'di'jiao'gao'wei 头低脚高位
'wai'lu'chang'guan 外露肠管
'wan'shan 完善
'wei'chang'dao'zao'ying 胃肠道造影
'wei'chang'jian'ya 胃肠减压
'wei'guan 胃管
'wei'jing 胃镜
'wei'nei'rong'wu 胃内容物
'wei'ye 胃液
'wen'yan'shui'qing'jie'xi'chang 温盐水清洁洗肠
'wo'chuang'xiu'xi 卧床休息
'wu'su'bu'shi 无诉不适
'wu'zhang'li'shan'xiu'bu'shu 无张力疝修补术
'xi'tan 吸痰
'xi'yang 吸氧
'xiao'shi'chu'ru'liang 小时出入量
'xiao'shi'niao'liang 小时尿量
'xin'dian'jian'hu 心电监护
'xin'fei'fu'su 心肺复苏
'xin'lv 心率
'xin'lv'kuai 心率快
'xin'tiao'hu'xi'ting'zhi 心跳呼吸停止
'xiong'qiang'bi'shi'yin'liu 胸腔闭式引流
'xiong'qiang'yin'liu'guan 胸腔引流管
'xiong'qiang'yin'liu'ye 胸腔引流液
'xue'tang 血糖
'xue'tang'di 血糖低
'xue'tang'gao 血糖高
'xue'ya 血压
'xue'ya'di 血压低
'xue'ya'gao 血压高
'xue'yang'bao'he'du 血氧饱和度
'xue'yun'liang'hao 血运良好
'yao'ma 腰麻
'yi'ji'hu'li 一级护理
'yi'shi'mo'hu 意识模糊
'yi'suan 抑酸
'yin'liu 引流
'yin'liu'tong'chang 引流通畅
'yin'nang'wu'zhong'da 阴囊无肿大
'ying'mo'wai'ma 硬膜外麻
'ying'mo'wai'zhong'zhuan'quan'ma 硬膜外中转全麻
'yong'yao'zhi'dao 用药指导
'you'ce 右侧
'zao'lou'hu'li 造瘘护理
'zao'lou'kou 造瘘口
'zao'qi'xia'chuang'huo'dong 早期下床活动
'zhen'jian'yang 针尖样
'zhi'dao'kou'fu'yong'yao 指导口服用药
'zhi'tu 止吐
'zhong'xin'jing'mai'ya 中心静脉压
'zhong'yao'bao'liu'guan'chang 中药保留灌肠
'zhong'zhang 肿胀
'zhu'yi'shi'xiang 注意事项
'zhuan'yi'xing'you'xia'fu'tong 转移性右下腹痛
'zi'gan 紫绀
'zu'bei'dong'mai 足背动脉
'zuo'ce 左侧
