'ai'jing'zhi'bi'gu 爱敬治彼故
'ci'ding'cong'ta'sheng 此定从他生
'ci'er'fu'he'yuan 此二复何缘
'ci'er'ruo'shi'wu 此二若是无
'ci'fa'fei'neng'mie 此法非能灭
'ci'fei'wu'nie'pan 此非无涅槃
'ci'fen'zhong'fen'gu 此分中分故
'ci'jian'yi'wu'sun 此间亦无损
'ci'jie'wu'zi'zai 此皆无自在
'ci'ju'fei'xiang'deng 此具非相等
'ci'li'ruo'zhen'shi 此理若真实
'ci'nai'zui'nan'xing 此乃最难行
'ci'ping'wu'shao'de 此瓶无少德
'ci'qi'shi'fei'you 此奇实非有
'ci'she'chi'he'wei 此摄持何为
'ci'shi'fei'you'sheng 此时非有生
'ci'wu'yu'rong'you 此无余容有
'ci'yi'bu'ying'li 此亦不应理
'ci'yi'wei'sheng'sheng 此亦未生生
'ci'you'bi'fei'you 此有彼非有
'ci'yu'ta'qu'xiang 此欲他去相
'ci'ze'heng'wei'lai 此则恒未来
'ci'zhong'wu'quan'shi 此终无权势
'ci'zhong'yi'fei'you 此中亦非有
'ci'zhong'yi'shu'deng 此中异数等
'cong'ming'zhi'ming'zhe 从明至明者
'cong'sheng'chu'zui'sheng 从胜出最胜
'cong'ta'yuan'zhu'mie 从他缘住灭
'cong'xin'zi'zai'sheng 从心自在生
'cong'yuan'suo'qi'tan 从缘所起贪
'cong'zhu'e'lie'ren 从诸恶劣人
'cun'huo'zhe'nan'de 存活者难得
'da'shi'xin'yi'zhe 大势心意者
'dan'bing'bu'ju'qi 胆病不俱起
'dan'you'wu'zhi'gu 但由无智故
'dang'gan'da'guo'bao 当感大果报
'dang'gao'yi'sheng'shuo 当告异生说
'dang'guan'ta'you'shi 当观他有势
'dang'jin'fan'nao'ji 当尽烦恼际
'dao'zei'bian'hai'ta 盗贼便害他
'deng'tong'bei'zai'chu 等同备宰处
'di'lun'ruo'fei'ta 敌论若非他
'di'san'yi'fei'you 第三亦非有
'di'shang'dou'fei'you 地上都非有
'di'shang'e'yi'shu 地上恶异熟
'ding'bu'le'xie'zong 定不乐邪宗
'ding'de'ru'shi'ye 定得如是业
'ding'e'zuo'da'zui 定恶作大罪
'ding'fei'you'ta'you 定非由他有
'ding'ru'zhu'yuan'hai 定如诸怨害
'ding'you'shao'fen'zhi 定由少分知
'ding'zhi'zhen'shi'zhe 定知真实者
'dong'zuo'yi'ru'shi 动作亦如是
'dou'bu'sheng'yi'huo 都不生疑惑
'dou'bu'yi'ta'cheng 都不依他成
'dou'fei'wu'yin'yuan 都非无因缘
'dou'fei'zheng'fa'qi 都非正法器
'dou'wu'ke'ai'yue 都无可爱乐
'dou'wu'ru'he'sheng 都无如何生
'dou'wu'shao'gong'de 都无少功德
'dou'wu'tong'xi'fu 都无同系缚
'dui'wo'yi'li'ran 对我已离染
'duo'chi'bu'shan'pin 多持不善品
'duo'duo'yu'e'qu 多堕于恶趣
'duo'fen'shun'yu'chi 多分顺愚痴
'duo'ling'xing'kuang'zha 多令行诳诈
'duo'luo'yu'e'qu 堕落于恶趣
'duo'ti'yi'ying'wu 多体亦应无
'duo'zhe'he'bu'wei 多者何不畏
'e'hui'bu'fen'li 恶慧怖分离
'e'hui'ru'he'tan 恶慧汝何贪
'e'jian'wei'zhen'chang 恶见谓真常
'e'ren'fa'e'yu 恶人发恶语
'er'bu'le'shuai'lao 而不乐衰老
'er'bu'zhi'shou'yong 而不知受用
'er'ding'you'zhu'zhe 而定有住者
'er'er'ji'wei'wu 二二既为无
'er'hang'bu'ji'mie 二行不寂灭
'er'ju'bu'ke'shuo 二俱不可说
'er'qi'yu'wu'chang 而起于无常
'er'sheng'jue'ding'xin 而生决定信
'er'sheng'yu'bu'wei 而生于怖畏
'er'sheng'yu'ta'shi 而生于他世
'er'shi'ai'qi'fu 尔时爱其夫
'er'shi'qi'tan'ai 尔时起贪爱
'er'shi'sheng'yu'mie 尔时生与灭
'er'shi'suo'neng'zhi 二识所能知
'er'ta'lun'zi'huai 而他论自坏
'er'wu'li'ji'zong 而无立己宗
'er'wu'sui'qu'xin 而无随趣心
'er'yan'yi'neng'zhi 耳眼意能知
'er'you'wei'lai'ti 而有未来体
'er'zhe'shi'xiang'tong 二者实相同
'fa'kong'ying'bu'li 法空应不立
'fa'ruo'zai'wei'lai 法若在未来
'fa'shi'ying'fei'you 法实应非有
'fa'xin'jin'zhu'ye 发心尽诸业
'fa'ying'fei'you'zhu 法应非有住
'fa'yu'wu'chang'yi 法与无常一
'fa'yu'wu'chang'yi 法与无常异
'fa'ze'fei'wu'chang 法则非无常
'fan'cheng'zhong'ku'qi 反成众苦器
'fan'nao'zhong'bu'zhu 烦恼终不住
'fan'nao'zhu'jiang'ren 烦恼诸匠人
'fang'bian'zhu'shi'zhong 方便诸时中
'fang'de'shuo'wei'xing 方得说为行
'fang'zuo'yu'sheng'yin 方作余生因
'fei'bian'ti'he'he 非遍体和合
'fei'bu'kong'guan'kong 非不空观空
'fei'cong'wei'lai'sheng 非从未来生
'fei'er'shi'ze'tong 非尔是则同
'fei'hou'neng'sheng'xin 非后能生心
'fei'huo'xi'zhong'sheng 非惑系众生
'fei'jie'shuo'kong'xing 非皆说空性
'fei'jin'chu'e'yu 非仅出恶语
'fei'li'ning'guo'ci 非理宁过此
'fei'li'yu'ta'xing 非离于他性
'fei'ming'zhe'neng'zao 非命者能造
'fei'neng'chang'shi'you 非能常时有
'fei'neng'jian'yi'qie 非能见一切
'fei'neng'sui'yuan'wang 非能随愿往
'fei'nuan'ru'he'shao 非暖如何烧
'fei'nv'fei'fei'er 非女非非二
'fei'qiu'yu'sheng'yi 非求于胜义
'fei'ru'shi'jing'wai 非如是净外
'fei'shi'bu'ying'li 非是不应理
'fei'shi'suo'bei'min 非是所悲愍
'fei'shi'wei'cun'huo 非是为存活
'fei'shuo'wu'wo'li 非说无我理
'fei'suo'hua'shen'shao 非所化甚少
'fei'wei'ju'de'zhe 非唯具德者
'fei'wei'yi'you'fen 非唯一有分
'fei'wu'yin'you'xing 非无因有性
'fei'wu'you'chu'ti 非无有触体
'fei'yi'ping'ju'se 非异瓶具色
'fei'yi'ping'you'se 非依瓶有色
'fei'yi'se'ji'ping 非一色即瓶
'fei'you'fei'wu'bian 非有非无边
'fei'you'ping'yi'se 非有瓶依色
'fei'you'yu'neng'xiang 非由于能相
'fei'you'zhong'xing'sheng 非由种姓生
'fei'yu'bu'de'wang 非愚不得王
'fei'yu'shu'wang'zhi 非愚孰妄执
'fei'yu'yi'wu'tan 非愚亦无贪
'fei'zhen'ye'fei'su 非真也非俗
'fen'bie'sui'ku'zhuan 分别随苦转
'fen'li'ze'fei'li 分离则非理
'fo'jiao'you'tan'zhe 佛教有贪者
'fo'yi'wei'xu'wu 佛亦未许无
'fo'zhi'zuo'bu'zuo 佛知作不作
'fu'cheng'wei'you'fen 复成为有分
'fu'guo'wei'cai'fu 福果为财富
'fu'nv'ru'e'zheng 妇女如恶症
'fu'nv'ying'wu'yong 妇女应无用
'fu'xian'jian'si'zhe 复现见死者
'fu'you'xian'yu'qian 复又现于前
'fu'you'yi'qie'xiang 复有一切相
'gao'yu'shi'jian'deng 高与世间等
'ge'bie'you'you'fen 各别有有分
'gen'jing'li'tong'ran 根境理同然
'geng'wu'da'li'zhe 更无大力者
'geng'wu'you'yu'zhe 更无有余者
'gong'jing'po'luo'men 恭敬婆罗门
'gu'bi'bu'ying'li 故彼不应理
'gu'bi'shi'san'you 故彼视三有
'gu'bu'ming'jie'tuo 故不名解脱
'gu'bu'si'yi'li 故不思议力
'gu'cheng'suo'sheng'guo 故成所生果
'gu'chu'fo'wu'you 故除佛无有
'gu'ci'yi'qie'li 故此一切力
'gu'cong'fen'bie'sheng 故从分别生
'gu'cong'zi'ta'ju 故从自他俱
'gu'fo'fa'shen'xi 故佛法深细
'gu'he'he'yi'ti 故和合一体
'gu'ji'wei'shi'chang 故极微是常
'gu'le'yu'ci'shen 故乐于此身
'gu'li'shen'you'wo 故离身有我
'gu'mie'ying'ru'sheng 故灭应如生
'gu'ming'wei'di'zi 故名为弟子
'gu'nan'sheng'tian'qu 故难生天趣
'gu'ping'ti'fei'yi 故瓶体非一
'gu'ru'suo'jian'sheng 故如所见生
'gu'ruo'yi'se'deng 故若异色等
'gu'san'shi'fei'you 故三事非有
'gu'se'deng'zhu'fa 故色等诸法
'gu'se'ti'fei'ping 故色体非瓶
'gu'sheng'shi'bu'sheng 故生时不生
'gu'sheng'yi'bu'qi 故生亦不起
'gu'shuo'fan'wu'chang 故说凡无常
'gu'shuo'ji'nan'de 故说极难得
'gu'si'neng'ren'shuo 故思能仁说
'gu'ti'er'wu'duan 故体而无断
'gu'ti'yi'fei'chang 故体亦非常
'gu'wei'xu'wang'nian 故唯虚妄念
'gu'wo'fei'chang'zhu 故我非常住
'gu'wo'jian'ci'fa 故我见此法
'gu'wo'wu'ding'xiang 故我无定相
'gu'wu'chang'zhu'fa 故无常诸法
'gu'wu'ke'tan'yi 故无可贪义
'gu'wu'shi'fang'wu 故无时方物
'gu'wu'yin'yu'cheng 故无因欲成
'gu'xin'ti'wei'wu 故薪体为无
'gu'yan'shuo'wen'zi 故言说文字
'gu'ye'guo'nan'si 故业果难思
'gu'yi'qie'fan'nao 故一切烦恼
'gu'yi'qie'you'qing 故一切有情
'gu'yi'ti'wei'wu 故一体为无
'gu'yi'wei'sun'nao 故意为损恼
'gu'ying'ru'le'deng 故应如乐等
'gu'ying'wei'sheng'sheng 故应未生生
'gu'you'qi'neng'sheng 故有岂能生
'gu'you'wo'wu'si 故有我无思
'gu'yu'bi'yuan'hai 故于彼怨害
'gu'yu'ci'zhong'sheng 故于此众生
'gu'zhi'yi'yi'fen 故知一一分
'gu'zi'zhi'ji'shao 故自知极少
'guan'kong'zheng'nie'pan 观空证涅槃
'guan'xian'shang'you'wang 观现尚有妄
'guo'li'yin'wu'yong 果立因无用
'guo'qi'zai'mou'ni 过岂在牟尼
'guo'qu'bu'guo'qu 过去不过去
'guo'qu'ji'wu'huai 过去既无坏
'guo'qu'ruo'guo'qu 过去若过去
'guo'qu'shi'jiu'yuan 过去时久远
'guo'qu'wu'you'shi 过去无有始
'guo'qu'yu'xian'zai 过去与现在
'guo'qu'ze'wu'le 过去则无乐
'guo'ruo'neng'wei'yin 果若能违因
'guo'wang'bian'wei'fa 国王便为法
'guo'wang'hu'shi'jian 国王护世间
'guo'wang'ming'zhong'hou 国王命终后
'guo'wang'sui'hu'zhe 国王虽护者
'guo'wang'wu'zui'zhe 国王无罪者
'guo'wang'you'ke'he 国王尤可诃
'guo'xian'wu'yi'er 果先无亦尔
'guo'ze'fei'heng'you 果则非恒有
'guo'ze'fei'xian'you 果则非先有
'han'leng'deng'dui'zhi 寒冷等对治
'he'bi'kuang'yu'shi 呵彼况余事
'he'bu'cheng'shuo'zhe 何不成说者
'he'bu'jian'wu'fa 何不见无法
'he'bu'shuo'gong'yang 何不说供养
'he'bu'si'he'hui 何不思呵毁
'he'bu'wei'wu'ping 何不谓无瓶
'he'bu'xi'bi'li 何不喜彼离
'he'bu'xin'wu'wo 何不欣无我
'he'bu'yi'fen'ming 何不亦分明
'he'bu'yi'yu'ping 何不异于瓶
'he'cheng'shi'jian'you 何成世间有
'he'fei'po'luo'men 何非婆罗门
'he'gu'bu'you'shen 何故不由身
'he'gu'bu'zi'li 何故不自立
'he'gu'ci'yan'gen 何故此眼根
'he'gu'ru'jian'he 何故汝见合
'he'gu'yan'bu'qu 何故眼不取
'he'gu'zi'wei'zhi 何故自为质
'he'he'shuo'ming'sheng 和合说名生
'he'jing'shuo'sheng'yi 何经说胜义
'he'jing'shuo'shi'jian 何经说世间
'he'le'tan'ta'shi 何乐谈他失
'he'neng'zuo'bu'shan 何能作不善
'he'shi'dang'you'sheng 何时当有生
'he'wei'ta'bu'shou 何为他不受
'he'wei'ti'fei'chang 何为体非常
'he'wu'da'ming'cheng 何无大名称
'he'yan'jian'fei'yu 何眼见非余
'he'yin'bi'bu'cheng 何因彼不成
'he'yin'xu'wei'zheng 何因许为正
'he'you'er'sun'deng 何忧儿孙等
'he'yuan'bi'wu'chang 何缘彼无常
'he'yuan'bu'cheng'fa 何缘不成法
'he'yuan'sheng'bi'jie 何缘生彼解
'he'yuan'yan'su'you 何缘言俗有
'hou'chu'cheng'bu'jing 后触成不净
'hou'dang'wang'lin'jian 后当往林间
'hou'fa'wu'ke'zhi 后罚无可治
'hou'jian'cheng'dian'dao 后见成颠倒
'hou'mie'yi'fei'you 后灭亦非有
'hou'nai'fei'chang'zhu 后乃非常住
'hou'sheng'wu'gong'yong 后生无功用
'hou'sheng'yi'bu'cheng 后生亦不成
'hou'ying'wu'bian'shuai 后应无变衰
'hou'zhe'yi'qie'jian 后遮一切见
'hu'shi'ru'ai'zi 护世如爱子
'hu'zhe'zi'wu'zhu 怙者自无助
'hua'deng'zhi'bu'jing 花等治不净
'huai'gu'fei'chang'zhe 坏故非常者
'huan'yu'bu'ying'cheng 幻喻不应成
'huo'bi'fa'xian'chang 或彼法先常
'huo'bi'ru'jue'qi 获彼汝觉奇
'huo'guan'wo'zhou'bian 或观我周遍
'huo'jian'liang'tong'shen 或见量同身
'huo'ming'suo'yu'jian 或名所欲见
'huo'qiao'li'pu'sa 获巧力菩萨
'huo'shi'chu'you'yin 或是处有因
'huo'wei'you'xin'zhe 火微有薪者
'huo'yi'qie'jie'chang 或一切皆常
'huo'ze'ying'yi'qie 或则应一切
'huo'zhe'bi'si'fa 或者彼四法
'huo'zhi'ru'ji'wei 或执如极微
'huo'zhu'xiang'ying'xu 或住相应虚
'huo'zuo'bi'di'zi 或作彼弟子
'huo'zuo'bi'shi'zhang 或作彼师长
'ji'bu'xu'you'yu 既不许有余
'ji'cheng'sha'di'li 既成刹帝利
'ji'fei'xian'you'ti 即非先有体
'ji'fei'yi'qie'guo 既非一切果
'ji'fei'you'guo'xian 即非有过现
'ji'ji'jia'fa'zhong 积集假法中
'ji'jian'wu'chang'you 既见无常有
'ji'jian'xi'shi'hen 既见昔时痕
'ji'ju'yu'fen'li 集聚与分离
'ji'ke'deng'bi'po 饥渴等逼迫
'ji'shi'suo'dong'zuo 饥时所动作
'ji'wei'fen'you'wu 极微分有无
'ji'wei'ruo'you'fen 极微若有分
'ji'wei'yu'ping'se 即唯于瓶色
'ji'wu'he'neng'sheng 既无何能生
'ji'wu'you'bu'kong 既无有不空
'ji'xian'qu'xian'se 即显取显色
'ji'xian'you'wei'lai 既现有未来
'ji'xu'you'zi'ran 既许有自然
'ji'yi'qie'jian'zhe 即一切见者
'ji'yi'qie'kong'xing 即一切空性
'ji'ying'cheng'zhong'zhong 即应成种种
'ji'you'ci'er'ku 即由此二苦
'ji'zhi'zi'sun'nao 既知自损恼
'jia'bi'sheng'huan'xi 假鼻生欢喜
'jian'di'ming'wei'jian 见地名为坚
'jian'jing'wu'wo'shi 见境无我时
'jian'kong'you'he'de 见空有何德
'jian'ru'xing'wei'shan 见汝行为善
'jian'suo'zuo'wu'chang 见所作无常
'jian'tan'wei'lai'bian 见贪未来边
'jian'zhen'zhe'shui'shuo 见真者谁说
'jian'zhu'shang'you'sun 间住尚有损
'jian'zhu'wai'dao'zhong 见诸外道众
'jie'bu'cheng'wu'chang 皆不成无常
'jie'cheng'suo'sheng'guo 皆成所生果
'jie'cheng'wei'sheng'shi 皆成为生时
'jie'fei'suo'bi'hu 皆非所庇护
'jie'fei'you'he'wei 皆非有何为
'jie'sheng'da'bu'wei 皆生大怖畏
'jie'shi'jian'you'zhe 皆世间有者
'jie'tuo'wu'wei'lai 解脱无未来
'jie'wu'chang'suo'qi 皆无常所起
'jie'wu'you'he'he 皆无有和合
'jie'wu'you'zi'ti 皆无有自体
'jin'he'you'cao'deng 今何有草等
'jin'ru'lu'kuang'ye 今如鹿旷野
'jin'sheng'zhi'zhen'xing 今生知真性
'jing'chen'ru'shi'zhu 敬嗔如事主
'jing'shi'shi'suo'xing 境是识所行
'jing'wu'qiong'jin'ji 境无穷尽际
'jing'you'shan'ke'ai 境由善可爱
'jing'yu'jing'fang'bian 净与净方便
'jiu'jing'nie'pan'shi 究竟涅槃时
'jiu'yuan'suo'ji'fu 久远所集福
'jiu'zhu'yu'shi'jian 久住于世间
'ju'de'ze'jue'ai 具德则觉爱
'ju'hou'zhi'tang'juan 居后智唐捐
'ju'jie'jiu'cun'huo 具戒久存活
'juan'shu'yong'ke'de 卷舒用可得
'jue'ding'neng'cheng'ban 决定能成办
'jue'ding'wei'tan'yin 决定为贪因
'ke'duo'yu'wu'jian 可堕于无见
'ke'guan'you'li'ku 可观由离苦
'ke'shuo'wei'shi'you 可说为实有
'ke'yi'wu'xiang'kong 可依无相空
'kong'fu'cong'he'qi 空复从何起
'kong'wu'wo'miao'li 空无我妙理
'kong'xing'ze'wei'wu 空性则为无
'kong'yi'ying'xian'li 空义应先立
'kong'yin'fei'you'neng 空因非有能
'ku'he'wei'ku'xing 苦何为苦行
'ku'qi'yi'he'le 苦起亦何乐
'ku'xing'ji'wu'wo 苦性及无我
'ku'yin'yuan'zhong'duo 苦因缘众多
'kuang'chen'bu'shi'shuo 况嗔不实说
'kuang'zhen'xin'qi'chen 况真心起嗔
'lao'bing'ke'zhi'gu 老病可治故
'lao'shi'bu'le'bi 老时不乐彼
'le'cong'yu'yuan'sheng 乐从余缘生
'le'qi'neng'ru'yu 乐岂能如欲
'le'shi'suo'qi'she 乐是所弃舍
'le'you'fen'bie'sheng 乐由分别生
'le'zhe'shi'nan'de 乐者实难得
'li'ai'jie'tuo'shi 离爱解脱时
'li'bi'wu'sheng'shi 理必无生时
'li'bie'xiang'wu'ping 离别相无瓶
'li'bu'ying'shi'chang 理不应是常
'li'ci'huo'fei'you 离此火非有
'li'feng'deng'fei'you 离风等非有
'li'fu'suo'fu'yin 离缚所缚因
'li'jiao'ying'zhong'qian 理教应重遣
'li'jie'bu'ke'cheng 理皆不可成
'li'xi'wai'dao'fa 离系外道法
'li'xian'se'you'xing 离显色有形
'li'ying'wu'fu'er 理应勿复尔
'li'yu'zhe'ze'jian 离欲者则见
'li'zhu'fa'fei'kong 例诸法非空
'liang'yao'bu'dui'zheng 良药不对症
'lie'zhe'cong'shen'sheng 劣者从身生
'ling'xin'wang'qu'chen 令心妄取尘
'ling'you'qing'tong'da 令有情通达
'liu'fen'gu'gong'pu 六分雇公仆
'lue'jian'sheng'shan'qu 略见生善趣
'lue'yan'wei'er'zhong 略言唯二种
'mei'nv'ru'he'wei 美女汝何为
'mei'ri'san'shi'qi 每日三时起
'mie'yi'wu'suo'wang 灭亦无所往
'min'nian'li'xi'zhe 愍念离系者
'ming'cheng'wu'shao'de 名称无少德
'mo'hou'sheng'tan'yu 末后生贪欲
'mou'ni'zhen'shi'shuo 牟尼真实说
'nai'ke'shuo'ming'di 乃可说名地
'nai'you'sheng'shi'sheng 乃有生时生
'nai'zhi'chu'ru'xi 乃至出入息
'nai'zhi'ji'wei'ti 乃至极微体
'nai'zhi'wei'wen'sheng 乃至未闻声
'nan'chu'ci'san'you 难出此三有
'nan'de'bu'sheng'wei 难得不生畏
'nei'shi'zhu'deng'xiang 内识住等相
'nei'wo'shi'fei'nan 内我实非男
'nei'wo'tong'wu'hei 内我同乌黑
'neng'ai'min'xing'shi 能哀愍行施
'neng'cheng'qi'suo'xiang 能成其所相
'neng'de'da'fu'de 能得大福德
'neng'huai'zhong'e'jian 能坏众恶见
'neng'jing'xi'zuo'e 能净昔作恶
'neng'le'yu'er'yi 能了于二义
'neng'qu'ru'sheng'wei 能趣入胜位
'neng'ren'guan'fan'nao 能仁观烦恼
'neng'ren'shuo'he'fa 能仁说何法
'neng'sheng'zhu'xiu'de 能生诸修德
'neng'suo'shuo'ruo'you 能所说若有
'neng'zhi'yun'he'cheng 能治云何成
'neng'zuo'da'fu'de 能作大福德
'nie'pan'bu'er'men 涅槃不二门
'nie'pan'wu'ai'nian 涅槃无碍念
'nie'pan'wu'cha'bie 涅槃无差别
'ning'fei'jie'cheng'yao 宁非皆成药
'ning'hui'fan'shi'luo 宁毁犯尸罗
'ning'you'si'wei'xiao 宁犹思惟小
'ning'zai'shi'jian'qiu 宁在世间求
'nuan'huo'yi'fei'you 暖火亦非有
'nuan'ji'shi'huo'xing 暖即是火性
'nv'xing'yi'dong'yao 女性意动摇
'ou'tu'sheng'huan'xi 呕吐生欢喜
'pi'ru'wu'yi'shi 譬如无一识
'ping'deng'ding'wei'wu 瓶等定为无
'ping'deng'ji'wu'yin 瓶等既无因
'ping'deng'zai'wei'lai 瓶等在未来
'ping'ti'shi'wei'wu 瓶体实为无
'ping'ti'yi'fei'duo 瓶体亦非多
'ping'wei'ke'xian'jian 瓶为可现见
'ping'ying'bu'ming'yi 瓶应不名一
'po'luo'men'li'xi 婆罗门离系
'po'luo'men'suo'zong 婆罗门所宗
'pu'sa'chu'fa'xin 菩萨初发心
'pu'sa'you'yi'le 菩萨由意乐
'pu'wei'shi'jian'mu 普为世间母
'qi'bu'wei'he'wei 岂不畏何为
'qi'bu'yu'wu'chang 岂不于无常
'qi'chen'jiao'ying'li 起嗔较应理
'qi'cheng'you'hui'zhe 岂成有慧者
'qi'de'ming'chang'zhu 岂得名常住
'qi'fan'xiu'hu'yin 岂烦修护因
'qi'fei'fan'cheng'du 岂非反成毒
'qi'fei'ju'shi'you 岂非俱时有
'qi'fei'suo'ying'he 岂非所应呵
'qi'fei'te'ying'li 岂非特应离
