'a'zi'wu'sheng'zhi'fa'men 阿字无生之法门
'ci'yi'jia'li'yin'yun'you 此义假立因蕴有
'ci'yi'le'yi'zhi'jiao'zheng 此依了义之教证
'ci'yi'you'ru'deng'huo'mie 此亦犹如灯火灭
'ci'zhong'guan'dian'bu'he'li 此种观点不合理
'cong'er'xian'jian'bi'wei'shui 从而现见彼为水
'cu'da'shi'fa'wu'fen'chen 粗大实法无分尘
'cu'xi'yin'guo'huo'xin'zhi 粗细因果或心智
'cui'hui'pian'tan'ta'zong'man 摧毁偏袒他宗慢
'cui'hui'yi'huo'chong'chong'an 摧毁疑惑重重暗
'cun'zai'neng'yi'ji'suo'yi 存在能依及所依
'da'dao'shi'xiang'ru'ding'yu 达到实相入定于
'da'de'nan'zheng'ci'nan'ti 大德难证此难题
'da'xiao'zhong'guan'zhi'cha'bie 大小中观之差别
'da'yuan'man'zhong'wu'fen'lei 大圆满中无分类
'da'zhong'guan'deng'bu'tong'ming 大中观等不同名
'dan'you'yao'wen'jiao'zi'ye 担忧咬文嚼字也
'dang'wu'qu'she'er'shou'chi 当无取舍而受持
'dang'xu'shang'shang'wei'zheng'liang 当许上上为正量
'dang'yi'guan'cha'pin'qi'wei 当以观察品其味
'dao'fo'zhong'sheng'deng'jun'wu 道佛众生等均无
'dao'fo'zhong'sheng'deng'shuo'you 道佛众生等说有
'dao'guo'xi'fa'yu'shuang'yun 道果息法与双运
'dao'guo'yuan'qi'zong'pai'li 道果缘起宗派理
'de'di'pu'sa'jian'fa'jie 得地菩萨见法界
'de'ming'wan'tong'zhuan'xie'ye 德名玩童撰写也
'de'zi'shen'shen'zhi'hui'men 德字甚深智慧门
'deng'xing'yu'ci'xi'wu'you 等性于此悉无有
'di'er'zheng'liang'bu'ke'you 第二正量不可有
'di'si'guan'ding'zhu'zhi'hui 第四灌顶诸智慧
'dian'dao'zhi'zhuo'zi'xing'zhe 颠倒执著自性者
'dian'liang'neng'de'da'wei'li 点亮能得大威力
'ding'jie'qi'neng'sheng'qi'ye 定解岂能生起耶
'ding'jie'yi'ji'zeng'yi'xin 定解以及增益心
'ding'jie'you'ru'ming'liang'deng 定解犹如明亮灯
'ding'jie'yu'lai'yu'ming'xian 定解愈来愈明显
'ding'jie'yu'lai'yu'zeng'shang 定解愈来愈增上
'ding'jie'zheng'jian'ci'er'zhe 定解正见此二者
'ding'jie'zi'ran'sheng'qi'shi 定解自然生起时
'ding'xie'bao'deng'lun 定解宝灯论
'ding'zheng'zhi'hui'guang'kuo'hai 定证智慧广阔海
'du'li'zi'zhu'zhi'zhu'fa 独立自主之诸法
'du'yi'wu'er'wei'yi'xing 独一无二唯一性
'duan'chu'er'bian'jie'bu'zhu 断除二边皆不住
'duan'chu'yi'qie'zhang'ai'gu 断除一切障碍故
'duan'ci'fei'cong'sheng'yi'li 断此非从胜义立
'duan'zheng'zeng'jin'er'le'zhi 断证增进而了知
'dui'yu'miao'hui'yin'zhong'guan 对于妙慧因中观
'dui'yu'xian'zong'ji'mi'zong 对于显宗及密宗
'dun'gen'ji'zheng'bu'que'ding 钝根即证不确定
'dun'shi'xian'jian'kun'nan'gu 顿时现见困难故
'dun'xian'fen'bie'liu'lang'zhe 顿现分别流浪者
'dun'xian'yi'wei'liu'lang'zhe 顿现一位流浪者
'duo'wen'neng'yan'yi'bu'zheng 多闻能言亦不证
'duo'wen'ru'bi'sui'chang'shen 多闻如鼻虽长伸
'e'gui'qian'yi'bu'cheng'li 饿鬼前亦不成立
'er'di'cheng'ren'jun'zi'zong 二谛承认均自宗
'er'di'cheng'xu'zi'xiang'wei 二谛承许自相违
'er'di'fang'bian'fang'bian'sheng 二谛方便方便生
'er'di'fen'bie'heng'liang'shi 二谛分别衡量时
'er'di'ge'zi'zhi'zheng'liang 二谛各自之正量
'er'di'he'zhe'wei'zhu'yao 二谛何者为主要
'er'di'hu'bu'xiang'wei'gu 二谛互不相违故
'er'di'miao'hui'dao'zhong'guan 二谛妙慧道中观
'er'di'tuo'li'ge'zi'shang 二谛脱离各自上
'er'di'wu'bie'zhi'shi'xiang 二谛无别之实相
'er'di'wu'gou'zhi'miao'hui 二谛无垢之妙慧
'er'di'zhi'zhong'jie'wu'sheng 二谛之中皆无生
'er'hui'suo'sheng'shuang'yun'zhi 二慧所生双运智
'er'jian'wu'she'duan'she'zhi 而见无蛇断蛇执
'er'liang'lun'fan'heng'liang'shi 二量轮番衡量时
'er'liang'yi'shi'xiang'si'liang 二量亦是相似量
'er'qu'bu'ying'fen'you'wu 二取不应分有无
'er'shi'guan'cha'zhi'xiang'zhi 尔时观察之相执
'er'shi'ru'shi'qian'xu'kong 尔时如视前虚空
'er'shi'ruo'yin'jie'wei'jian 尔时若因皆未见
'er'shi'si'bi'jia'chi'li 尔时思彼加持力
'er'shi'wu'you'zhi'zhuo'xiang 尔时无有执著相
'er'shi'xian'xian'yu'kong'xing 尔时显现与空性
'er'zhang'shang'wei'duan'jin'qian 二障尚未断尽前
'er'zhe'dui'jing'fei'bu'tong 二者对境非不同
'er'zhe'jun'wei'zi'cheng'ren 二者均为自承认
'er'zhe'tang'ruo'guan'dai'yu 二者倘若观待于
'er'zhe'tong'deng'er'xian'xian 二者同等而显现
'er'zhe'wu'you'cha'bie'ye 二者无有差别也
'er'zhe'xi'cheng'kan'guan'cha 二者悉成堪观察
'er'zhe'xiang'hu'mao'dun'gu 二者相互矛盾故
'er'zhe'yi'fei'wei'ge'ti 二者亦非为各体
'er'zhe'yi'jing'zheng'kong'xing 二者已经证空性
'er'zhe'yuan'qi'xing'xiang'tong 二者缘起性相同
'er'zhe'zi'xing'jun'bu'cheng 二者自性均不成
'er'zhi'deng'wu'zhi'guan'dian 二智等无之观点
'fa'jie'jue'xing'wu'he'li 法界觉性无合离
'fa'jie'xian'fen'zhi'hui'shen 法界现分智慧身
'fa'jie'zhi'hui'xiang'yuan'rong 法界智慧相圆融
'fa'li'ji'wei'shen'shen'gu 法理极为甚深故
'fa'wo'ren'wo'ge'zi'fen 法我人我各自分
'fa'xian'zhi'hui'er'guan'cha 法贤智慧而观察
'fa'xing'fan'yi'zhu'zi'kong 法性反以柱子空
'fa'xing'he'zhe'jun'bu'cheng 法性何者均不成
'fa'xing'shuang'yun'da'zhi'hui 法性双运大智慧
'fan'de'kuai'le'zhen'xi'qi 反得快乐真稀奇
'fan'fu'xin'qian'ci'er'di 凡夫心前此二谛
'fan'guan'qing'jing'zhi'xiu'fa 反观清净之修法
'fan'shi'sheng'qi'gong'de'zhang 反是生起功德障
'fan'wei'ren'zhe'jun'ju'gu 凡为人者均具故
'fan'yu'yu'he'sheng'tan'xin 凡愚于何生贪心
'fan'zhi'yu'bing'chi'zhou'shi 梵志于病持咒时
'fang'bian'guan'cha'yin'ding'jie 方便观察引定解
'fang'ke'gen'chu'wo'zhi'jian 方可根除我执见
'fang'shuo'zhi'gu'qi'you'guo 方说之故岂有过
'fei'dan'bu'sheng'shi'wang'xin 非但不生失望心
'fei'li'yi'qie'jun'bu'xian 非理一切均不现
'fei'wei'duan'zheng'gong'de'yin 非为断证功德因
'fei'wei'jiu'jing'shi'xiang'gu 非为究竟实相故
'fei'wei'shuang'yun'yu'li'xi 非为双运与离戏
'fei'wei'zhu'fo'zhi'mi'yi 非为诸佛之密意
'fei'xin'xin'suo'zhi'ti'xiang 非心心所之体相
'fei'you'fei'wu'da'yuan'man 非有非无大圆满
'fen'bie'cheng'wei'da'shou'yin 分别称为大手印
'fen'bie'xian'jian'zhu'qi'qing 分别现见诸器情
'fen'lei'ci'kong'yi'ci'kong 分类此空以此空
'fen'lei'yi'cheng'bu'ying'li 分类亦成不应理
'fen'lei'yi'ti'yu'yi'ti 分类一体与异体
'fen'wei'gao'di'bu'he'li 分为高低不合理
'fen'wei'xin'jie'qiao'jue'bu 分为心界窍诀部
'fen'wei'zheng'xiu'yu'mang'xiu 分为正修与盲修
'fen'xi'ge'zi'er'cheng'ren 分析各自而承认
'fen'xi'li'xi'da'zhong'guan 分析离戏大中观
'feng'wei'dong'ran'xian'ren'xin 风微动然仙人心
'fo'cheng'jiu'zhe'tong'mi'yi 佛成就者同密意
'fo'fa'shen'li'ru'xu'kong 佛法深理如虚空
'fo'jiao'guang'kuo'xu'kong'zhong 佛教广阔虚空中
'fo'shuo'fei'bang'shuang'yun'jie 佛说诽谤双运界
'fo'tuo'suo'shi'zhi'zheng'dao 佛陀所示之正道
'fo'tuo'suo'shuo'yi'qie'fa 佛陀所说一切法
'fo'tuo'xuan'shuo'ren'wu'wo 佛陀宣说人无我
'fou'ze'chu'mi'xian'xiang'zhong 否则处迷现相中
'fou'ze'ji'wei'shen'shen'yao 否则极为甚深要
'fou'ze'ru'tun'jin'ji'shi 否则如吞禁忌食
'fu'nei'bu'shi'cheng'zhong'liu 腹内不适成肿瘤
'fu'shuo'suo'zheng'sui'yi'zheng 复说所证虽已证
'ga'dan'jian'jie'shuo'wu'zhe 嘎单见解说无遮
'gan'lu'zhi'wei'suo'jian'ji 甘露执为所见基
'gao'du'zan'tan'ru'dao'zhe 高度赞叹入道者
'ge'bie'zi'zheng'zhi'zhi'hui 各别自证之智慧
'ge'de'jian'yi'cheng'er'di 各得见义称二谛
'ge'zi'bu'tong'suo'jian'qian 各自不同所见前
'ge'zi'jun'you'suo'cheng'ren 各自均有所承认
'ge'zong'jun'you'gong'yu'guo 各宗均有功与过
'gen'chu'yu'bi'xiang'wei'bei 根除与彼相违背
'geng'wei'shen'ru'er'gui'na 更为深入而归纳
'gong'tong'suo'jian'bu'neng'you 共同所见不能有
'gong'tong'suo'jian'bu'rong'you 共同所见不容有
'gong'tong'suo'jian'jin'shi'xing 共同所见仅湿性
'gong'tong'suo'jian'wei'ming'fen 共同所见为明分
'gong'tong'suo'jian'zhi'shi'wu 共同所见之事物
'gu'bi'ruo'shi'suo'cheng'ren 故彼若是所承认
'gu'dang'fen'xi'wu'miu'shuo 故当分析无谬说
'gu'er'jiu'jing'zhi'zi'zong 故而究竟之自宗
'gu'er'ren'lei'suo'jian'zhe 故而人类所见者
'gu'fo'chuan'cheng'da'de'shuo 故佛传承大德说
'gu'jian'wu'li'wu'he'shi 故见无离无合时
'gu'ju'er'di'ge'cheng'ren 故具二谛各承认
'gu'li'xu'bu'cheng'ci'di 故立续部乘次第
'gu'ru'han'cha'guo'lv'qi 故如汉茶过滤器
'gu'sui'yi'li'er'jue'ze 故虽以理而抉择
'gu'wei'xiang'si'zhi'jian'jie 故为相似之见解
'gu'xiu'da'cheng'jian'jie'shi 故修大乘见解时
'gu'xu'wu'you'he'cheng'ren 故许无有何承认
'gu'xu'wu'you'zhi'zhuo'xiang 故许无有执著相
'gu'yi'er'di'ge'zi'fen 故以二谛各自分
'gu'yi'er'di'wu'bie'shi 故以二谛无别式
'gu'yi'guan'cha'suo'yin'sheng 故依观察所引生
'gu'yi'guan'dai'liang'cheng'li 故以观待量成立
'gu'yi'liang'li'er'jian'li 故以量理而建立
'gu'yi'long'qin'ba'guan'dian 故依龙钦巴观点
'gu'yi'nan'you'cheng'ren'bian 故亦难有承认边
'gu'yi'nei'zai'zhi'zhi'li 故依内在之智力
'gu'yi'wu'gou'miao'hui'liang 故以无垢妙慧量
'gu'yu'wei'jia'fou'ding'ci 故于微加否定词
'gu'yu'wu'pian'zhi'zi'xian 故于无偏之自现
'gu'yu'wu'shang'jin'gang'cheng 故于无上金刚乘
'gu'yu'zhi'zhe'mi'yi'wei 故与智者密意违
'gu'zhi'ru'ci'guan'dian'zhe 固执如此观点者
'gu'zi'ran'mie'zhi'zhuo'xiang 故自然灭执著相
'gu'zi'zong'xu'guan'shui'yue 故自宗许观水月
'guan'cha'an'zhu'he'ying'li 观察安住何应理
'guan'cha'an'zhu'zhi'yi'bian 观察安住之一边
'guan'cha'er'po'yun'suo'po 观察而破蕴所破
'guan'cha'er'yin'ding'jie'sheng 观察而引定解生
'guan'cha'wu'shi'zhi'li'zhi 观察无实之理智
'guan'cha'xiu'huo'an'zhi'xiu 观察修或安置修
'guan'cha'yi'cheng'he'xu'li 观察已成何需立
'guan'cha'yin'sheng'ding'jie'zhong 观察引生定解中
'guan'cha'ze'hui'sheng'ding'jie 观察则会生定解
'guan'cha'zhe'zhang'ben'xing'yi 观察遮障本性义
'guan'cha'zhu'yun'wei'kong'xing 观察诸蕴为空性
'guan'dai'an'li'suo'jian'wai 观待安立所见外
'guan'dai'bi'zhe'yi'cun'zai 观待彼者亦存在
'guan'dai'jiu'jing'jia'sheng'yi 观待究竟假胜义
'guan'dai'ren'jian'er'an'li 观待人见而安立
'guan'dai'ren'jian'wei'zheng'liang 观待人见为正量
'guan'dai'shi'su'wei'sheng'yi 观待世俗为胜义
'guan'dai'ta'yuan'zhen'xi'qi 观待他缘真稀奇
'guan'dai'tian'ren'er'an'li 观待天人而安立
'guan'dai'xia'mian'suo'jian'yan 观待下面所见言
'guan'dai'xian'jian'zhen'yi'zhi 观待现见真义智
'guan'xiang'wu'bing'fei'zheng'jian 观想无病非正见
'guan'xiang'wu'she'wu'you'li 观想无蛇无有利
'guan'xin'sheng'zhu'yu'lai'qu 观心生住与来去
'hao'wu'suo'duan'deng'guo'shi 毫无所断等过失
'he'li'yi'qie'ze'ke'xian 合理一切则可现
'he'shi'wu'li'yi'wu'he 何时无离亦无合
'he'shi'xiu'dang'sheng'ding'jie 何时修当生定解
'he'shuo'xian'kong'bu'xiang'wei 何说现空不相违
'he'yan'zhu'yi'zhu'bu'kong 何言柱以柱不空
'he'zhe'xian'kong'bu'yuan'rong 何者现空不圆融
'he'zhe'xian'kong'ruo'yuan'rong 何者现空若圆融
'heng'liang'sheng'yi'shi'xiang'shi 衡量胜义实相时
'heng'wu'e'mo'zuo'zhang'gu 恒无恶魔作障故
'heng'xiu'yu'jia'shi'jing'jie 恒修瑜伽士境界
'hou'de'dao'guo'zhu'an'li 后得道果诸安立
'hou'de'fen'xian'er'di'shi 后得分现二谛时
'hou'de'zhi'hui'ding'jie'deng 后得智慧定解灯
'hou'zhe'shi'ji'yi'cheng'ren 后者实际已承认
'hu'bu'hun'za'er'cheng'xu 互不混杂而承许
'hu'chi'zheng'jian'xiu'xing'shi 护持正见修行时
'hu'wei'yuan'rong'yi'xiao'hua 互为圆融易消化
'hua'yue'shui'yue'tian'yue'yu 画月水月天月喻
'hui'ci'da'hai'zhen'xi'qi 汇此大海真稀奇
'huo'ben'wu'you'zi'xing'gu 或本无有自性故
'huo'de'cheng'xin'wei'yi'men 获得诚信唯一门
'huo'de'da'cheng'jian'dao'shi 获得大乘见道时
'huo'de'er'shen'shuang'yun'zhi 获得二身双运智
'huo'de'shuang'yun'zhi'hui'guo 获得双运智慧果
'huo'de'shuang'yun'zhi'hui'shi 获得双运智慧时
'huo'de'xian'kong'er'ben'ti 获得现空二本体
'huo'zhe'ru'tong'xia'xu'bu 或者如同下续部
'ji'bu'gan'shuo'cun'zai'you 既不敢说存在有
'ji'dao'guo'san'bu'ke'fen 基道果三不可分
'ji'dao'guo'zhi'zhu'fa'ming 基道果之诸法名
'ji'kan'wei'cheng'yi'wei'da 既堪为乘亦为大
'ji'ke'yi'ju'shan'shuo'yi 即刻依据善说义
'ji'qi'tong'fen'er'jue'ze 及其同分而抉择
'ji'qi'zheng'zhong'er'xuan'shuo 极其郑重而宣说
'ji'sheng'ci'yu'jie'tuo'dao 即生赐予解脱道
'ji'shi'ci'yi'dui'zhi'gu 即是此一对治故
'ji'shi'da'le'zhi'yi'ming 即是大乐之异名
'ji'shi'fen'bie'er'guan'cha 即是分别而观察
'ji'shi'guang'ming'jin'gang'cheng 即是光明金刚乘
'ji'shi'guang'ming'zhi'fa'shen 即是光明之法身
'ji'shi'li'yi'ben'fa'jie 即是离意本法界
'ji'shi'shan'miao'zhi'ding'jie 即是善妙之定解
'ji'shi'sheng'cheng'zhong'guan'lun 即是胜乘中观论
'ji'shi'shi'xiang'zhi'suo'xu 即是实相之所许
'ji'shi'suo'wei'zhi'xin'shi 即是所谓之心识
'ji'shi'wei'yi'zhen'ru'xing 即是唯一真如性
