'an'dao 暗道
'han'feng'man'lou 寒风满楼
'han'hai'jian 瀚海剑
'han'ji 寒疾
'han'yi 寒医
'han'yi'xun'zhen 寒医荀珍
'han'zhong'guan 寒钟观
'han'zhou 汉州
'han'zi'hao'fang 寒字号房
'han'zi'hao'lao'fang 寒字号牢房
'han'zi'hao'yuan 寒字号院
'hao'qiu'zhi'zheng 好逑之争
'he'da'shao'ye 何大少爷
'he'jing'zhong 何敬中
'he'ling'zhi'dian 贺岭之巅
'he'tao 河套
'he'wen'xin 何文新
'he'you'he'qiu 何忧何求
'he'zhou 合州
'heng'guo'gong 衡国公
'hong'xiu 红袖
'hong'xiu'zhao 红袖招
'hong'yan'jiu 红颜旧
'hou'fu 侯府
'hou'gong 后宫
'hou'hong'liang 侯鸿亮
'hu'bu'shang'shu 户部尚书
'hu'ge 胡歌
'hu'gong'hu'po 胡公胡婆
'hu'guo'zhu'shi 护国柱石
'hu'lu'gu 葫芦谷
'hu'lu'gu'zhi'zhan 葫芦谷之战
'hu'qiu'wei'bo 狐裘围脖
'hu'qiu'wen'quan 虎丘温泉
'hu'wei 护卫
'hu'xin'wan 护心丸
'hua'bu'cheng 画不成
'hua'fu'gong'zi 华服公子
'hua'mei'mei 华妹妹
'hua'rong'xiu'fang 华容绣坊
'hua'shan 华山
'hua'zheng'wei'ling 化整为零
'hua'zu 滑族
'hua'zu'mo'dai 滑族末代
'hua'zu'mo'dai'gong'zhu 滑族末代公主
'hua'zu'ren 滑族人
'huai'wang 淮王
'huai'yi'hou 淮翼侯
'huang'bai'kong'fang 黄白孔方
'huang'cheng 皇城
'huang'di'shou'yi 皇帝寿仪
'huang'gai'si'lun'che 黄盖四轮车
'huang'gang'yu'pai 黄岗玉牌
'huang'hou 皇后
'huang'hou'niang'niang 皇后娘娘
'huang'jin'bai'yin 黄金白银
'huang'jin'jiao 黄金饺
'huang'men'guan 黄门官
'huang'qi'zi 皇七子
'huang'quan 皇权
'huang'shan'ren 黄衫人
'huang'wei 皇位
'huang'wei'de 黄维德
'huang'xiong 皇兄
'huang'yuan'yi'hai 荒园疑骸
'huang'zhang'zi 皇长子
'huang'zi 皇子
'huang'zu 皇族
'huang'zu'chun'lie 皇族春猎
'hui'yao 灰鹞
'huo'han'qi'du 火寒奇毒
'huo'han'zhi'du 火寒之毒
'huo'lei 火雷
'huo'yao 火药
'huo'yao'zhi'shi 火药之事
'huo'zhou'fu'xian'hu 霍州抚仙湖
'ji'bo 吉伯
'ji'cheng 继承
'ji'jiang'jun'liu'can'shi'wei'xun'jian 季将军刘参史魏巡检
'ji'li 祭礼
'ji'shen 吉婶
'ji'shi'ye 季师爷
'ji'wang 纪王
'ji'wang'fu'huang 纪王府皇
'ji'wang'ye 纪王爷
'jia'bin'yun'ji 嘉宾云集
'jian'guo'tai'zi 监国太子
'jian'han 简函
'jian'ren 奸人
'jian'zheng'da'ren 监正大人
'jiang'hu 江湖
'jiang'hu'er'nv 江湖儿女
'jiang'hu'ren 江湖人
'jiang'ling 将领
'jiang'nan'pi'li'tang 江南霹雳堂
'jiang'pan 江畔
'jiang'shan 江山
'jiang'shi 将士
'jiang'tang'cao'yao 姜汤草药
'jiang'zi'liu 江自流
'jiang'zuo 江左
'jiang'zuo'mei'lang 江左梅郎
'jiang'zuo'meng 江左盟
'jiang'zuo'meng'gan'ju 江左盟柑橘
'jiang'zuo'meng'lang'zhou 江左盟廊州
'jiang'zuo'meng'zong'zhu 江左盟宗主
'jiao'hang'bang 脚行帮
'jiao'jiao'wo'xin 皎皎我心
'jie'hou'yu'sheng 劫后余生
'jin'chuang'yao 金创药
'jin'diao 金雕
'jin'diao'chai'ming 金雕柴明
'jin'ding'yun'long 金顶云龙
'jin'hua'shang'ci 金花赏赐
'jin'jie'kuang'lan 金阶狂澜
'jin'jun 禁军
'jin'jun'da'tong'ling 禁军大统领
'jin'jun'tong'ling 禁军统领
'jin'ling 金陵
'jin'ling'di'du 金陵帝都
'jin'ling'fu'pai'yuan 金陵府派员
'jin'ling'jie'shi 金陵街市
'jin'ling'xie'shi 金陵谢氏
'jin'nian'gong'da'liang 进年贡大梁
'jin'xie'wei'chang 槿榭围场
'jin'yang'zhang'gong'zhu 晋阳长公主
'jin'yin 金印
'jin'yuan 禁苑
'jing'cheng 京城
'jing'fei 静妃
'jing'fei'min'hui 静妃敏慧
'jing'fei'niang'niang 静妃娘娘
'jing'gui'fei 静贵妃
'jing'huan 景桓
'jing'hun'jie'sha 惊魂截杀
'jing'ji'jiu'men 京畿九门
'jing'kui 敬奎
'jing'ning 景宁
'jing'ning'gong'zhu 景宁公主
'jing'nu 劲弩
'jing'pin 静嫔
'jing'rui 景睿
'jing'tian'yi'zhen 惊天一震
'jing'wang 靖王
'jing'wang'dian'xia 靖王殿下
'jing'wang'fu 靖王府
'jing'wang'mou'shi 靖王谋士
'jing'yan 景琰
'jing'yu 景禹
'jing'yue'fu 京越府
'jing'zhao'ya'men 京兆衙门
'jing'zhao'yin'fu 京兆尹府
'jing'zhong 京中
'jiu'an'shan 九安山
'jiu'jia 救驾
'jiu'ri'zhi'hen 旧日之痕
'ju'zi 橘子
'juan'niang 隽娘
'jue'hun'gu 绝魂谷
'jun'sheng'wo'wei'sheng 君生我未生
'jun'wang 郡王
'jun'ying 军营
'jun'zhu 郡主
'jun'zi'ke'qi'zhi'yi'fang 君子可欺之以方
'kang'xian'sheng 康先生
'kang'zhi 抗旨
'ku'jing'cang'shi 枯井藏尸
'kun'shou'you'dou 困兽犹斗
'lan'yuan 兰园
'lang'ya'bang 琅琊榜
'lang'ya'bang'shou 琅琊榜首
'lang'ya'fu'hao'bang 琅琊富豪榜
'lang'ya'gao'shou'bang 琅琊高手榜
'lang'ya'ge 琅琊阁
'lang'ya'gong'zi 琅琊公子
'lang'ya'gong'zi'bang 琅琊公子榜
'lang'ya'shan 琅琊山
'lang'ya'shan'ding 琅琊山顶
'lang'yan 狼烟
'lang'zhou 廊州
'lao'huang'tou 老黄头
'lao'xiu'shu 老修书
'le'yao 乐瑶
'lei'huo'tang 雷火堂
'li'bu'shang'shu 吏部尚书
'li'chong 黎崇
'li'chong'shou'gao 黎崇手稿
'li'da'zong'guan 黎大总管
'li'gang 黎纲
'li'lao'xian'sheng 黎老先生
'li'lin 李林
'li'mu'kang'zhuo 梨木炕桌
'li'nan'hua'jia 黎南花家
'li'xiao 李逍
'li'yang'fu 莅阳府
'li'yang'gong'zhu 莅阳公主
'li'yang'zhang'gong'zhu 莅阳长公主
'liang'bai'ju'shang 两败俱伤
'liang'chu'lian'yin'zhi'shi 梁楚联姻之事
'liang'di 梁帝
'liang'er'bu'wen'hong'chen'shi 两耳不闻红尘事
'liang'guo 梁国
'liang'hou 梁侯
'liang'huang 梁皇
'liang'ren 梁人
'liang'sheng 梁圣
'liao'ting'jie 廖廷杰
'lie'gong 猎宫
'lie'jiang'jun 列将军
'lie'zhan'ying 列战英
'lin'chen 蔺晨
'lin'chen'ge'ge 蔺晨哥哥
'lin'gong'zi 蔺公子
'lin'hai'zhu'zhou 临海诸州
'lin'le'yao 林乐瑶
'lin'ling'ge 霖铃阁
'lin'shi'zong'ci 林氏宗祠
'lin'shu 林殊
'lin'shu'ge'ge 林殊哥哥
'lin'shuai 林帅
'lin'xiang'ru 蔺相如
'lin'xie 林燮
'ling'dan'xian'yao 灵丹仙药
'ling'luo'jin'duan 绫罗锦缎
'ling'nan 岭南
'ling'shan'bie'gong 灵山别宫
'ling'shan'yao'quan 灵山药泉
'ling'shu 灵术
'ling'yin'si 灵隐寺
'ling'zhi 领旨
'liu'bu'da'dou 六部大都
'liu'bu'guan'yuan 六部官员
'liu'cheng 柳澄
'liu'gong'dou'zong'guan 六宫都总管
'liu'tao 刘涛
'liu'yi'jun 刘奕君
'long'jin'wei 龙禁尉
'long'nian 龙辇
'long'xian'xiang 龙涎香
'lou'zhi'jing 楼之敬
'lou'zhi'jing'dao'tai 楼之敬倒台
'lu'zhong'fei'nan'jin 露重飞难进
'lun'zhong'shu'zhi 论中枢治
'luo'shi 螺市
'luo'shi'jie 螺市街
'lv'dou'cui'gao 绿豆翠糕
'ma'qiu 马球
'ma'qiu'sai 马球赛
'mao'ting 茅亭
'mei'chang'su 梅长苏
'mei'gong'zi 梅公子
'mei'ling 梅岭
'mei'ling'tu'sha 梅岭屠杀
'mei'shi'nan 梅石楠
'mei'zong'zhu 梅宗主
'meng'da'ge 蒙大哥
'meng'da'tong'ling 蒙大统领
'meng'li'zhi'pai 盟里指派
'meng'nei'tian'ji'tang 盟内天机堂
'meng'shi 盟誓
'meng'tong'ling 蒙统领
'meng'zhi 蒙挚
'mi'dao 密道
'mi'li'wang'shi 迷离往事
'mi'ren 秘忍
'mi'shi 密室
'mi'shi'chu'qi 密室初启
'mi'shu 秘术
'mi'tan 密探
'mian'ju 面具
'miao'yin'fang 妙音坊
'miao'yin'fang'tou'pai 妙音坊头牌
'ming'man'jiang'hu 名满江湖
'ming'zhu 明珠
'mo'dai'gong'zhu 末代公主
'mo'gao'dao'gao 魔高道高
'mo'ni'xiang'zhi 莫逆相知
'mo'shan'xian'sheng 墨山先生
'mou'chen 谋臣
'mou'ni 谋逆
'mou'shi 谋士
'mu'fei 母妃
'mu'fu 穆府
'mu'liao 幕僚
'mu'ni'huang 穆霓凰
'mu'qing 穆青
'mu'rong'huang'zu 慕容皇族
'mu'rong'shi 慕容氏
'mu'shen 穆深
'mu'shi 穆氏
'mu'wang'fu 穆王府
'mu'wang'fu'xi'ma 穆王府洗马
'mu'wang'ye 穆王爷
'mu'xiao'wang'ye 穆小王爷
'nan'chu 南楚
'nan'chu'wang'ye 南楚王爷
'nan'hai 南海
'nan'jing 南境
'nan'jing'jun 南境军
'nan'jing'nv'shuai 南境女帅
'nan'juan 南绢
'nan'yue 南越
'nei'ge'zhong'shu 内阁中书
'nei'jian 内监
'nei'jian'bei'sha'an 内监被杀案
'nei'xi 内息
'ni'an 逆案
'ni'huang 霓凰
'ni'huang'jie'jie 霓凰姐姐
'ni'huang'jun'zhu 霓凰郡主
'nian'shou'nan'yong 年寿难永
'nian'wei'ji'li 年尾祭礼
'nie'duo 聂铎
'nie'feng 聂峰
'nie'feng 聂锋
'nie'zhen 聂真
'ning'guo'hou 宁国侯
'ning'guo'hou'fu 宁国侯府
'nu'shou 弩手
'nuan'ge 暖阁
'nv'xuan'jing'shi 女悬镜史
'nv'zhang'jing 女掌镜
'nv'zhang'jing'shi 女掌镜使
'ou'yang'shi'lang 欧阳侍郎
'pei'ji 陪祭
'ping'fan 平反
'ping'fan'yuan'an 平反冤案
'pu'ti'jin'ying 菩提金影
'qi'bing'jue'mou 奇兵绝谋
'qi'cai 奇才
'qi'chu 齐楚
'qi'du 奇毒
'qi'du'shuai 齐督帅
'qi'er 绮儿
'qi'huang'zi 七皇子
'qi'jiang'jun 戚将军
'qi'li'xiang 七里香
'qi'lin'cai'zi 麒麟才子
'qi'lin'zhi'cai 麒麟之才
'qi'mei 绮妹
'qi'meng 戚猛
'qi'min 齐敏
'qi'shi 奇石
'qi'shi'chen'da'ren 戚使臣大人
'qi'wang 祁王
'qi'wang'dian'xia 祁王殿下
'qi'wang'fu 祁王府
'qi'wang'mou'ni'an 祁王谋逆案
'qi'wang'yi'gu 祁王遗孤
'qi'xue'ning'zhi'zhi'zheng 气血凝滞之症
'qi'zhou 淇州
'qi'zhu'qin'wang 七珠亲王
'qian'dai'hong'ru 前代鸿儒
'qian'feng 前锋
'qian'feng'ying 前锋营
'qian'men 乾门
'qian'men'xin'fa 乾门心法
'qian'shu 谦叔
'qian'teng'gua'man 牵藤挂蔓
'qian'yi'dian 乾怡殿
'qian'yi'zheng'dian 乾怡正殿
'qian'zhou'lu 黔州路
'qiang'di 强敌
'qiang'nu'dui 强弩队
'qiao'long'bang 峭龙帮
'qin'bo 芹伯
'qin'bo're 秦般若
'qin'de 秦德
'qin'di'an 侵地案
'qin'ling 秦岭
'qin'shang'zhi 秦尚志
'qin'wang 亲王
'qin'zhou 秦州
'qing'er 青儿
'qing'feng'guan 清风观
'qing'gao 清高
'qing'gao'ming'shi 清高名士
'qing'guo'gong 庆国公
'qing'jiang'zhou 青江州
'qing'jue'yi'duan 情绝义断
'qing'li'jun 庆历军
'qing'li'yuan 清黎院
'qing'lin 庆林
'qing'ming'guan 青冥关
'qing'ming'han'shi 清明寒食
'qing'shen'nan'shou 情深难寿
'qing'si'rao 情丝绕
'qing'yao'da'ge 青遥大哥
'qing'yi 青怡
'qing'yi'qian'qiu 情义千秋
'qing'yue'fang 清乐坊
'qing'yun'lou 庆云楼
'qing'zhu'yue 卿朱樾
'qiu'gong'zi 邱公子
'qiu'jin'di 囚禁地
'qiu'jue 秋决
'qiu'ma'ma 邱妈妈
'qiu'qin'lian'yin 求亲联姻
'qiu'xiong 秋兄
'qiu'zheng'ping 邱正平
'quan'mou 权谋
'quan'shu 权术
'ren'sheng'he'chu'bu'xiang'feng 人生何处不相逢
'ren'tian'ge 仁天阁
'rong'xiu'lian'wei 绒绣帘纬
'ruan'hui'cao'zhi'du 软惠草之毒
'ruan'hui'cao'zhi'du 软蕙草之毒
'rui'er 睿儿
'rui'shan 睿山
'san'guo'lian'meng 三国联盟
'san'si'hui'shen 三司会审
'sha'chang 沙场
'sha'ji 杀机
'sha'ji'jian'jin 杀机渐近
'sha'shou 杀手
'shan'yu'yu'lai 山雨欲来
'shang'xu'shi 上墟市
'shang'yang'jun 尚阳军
'shang'yuan'jie 上元节
'shao'nian'jiang'jun 少年将军
'shao'shuai 少帅
'shao'zhang'shi 少掌使
'shen'ce'shang'jiang 神策上将
'shen'shi 身世
'shen'zhui 沈追
'sheng'quan'zai'wo 胜券在握
'sheng'wang 晟王
'sheng'wang'yu'wen'lin 晟王宇文霖
'sheng'wen'di 圣文帝
'shi'da'gao'shou'bang 十大高手榜
'shi'da'gong'zi'bang 十大公子榜
'shi'dou'guan 史都管
'shi'san 十三
'shi'san'shu 十三叔
'shi'san'xian'sheng 十三先生
'shi'xi'gui'xun'jia 世袭贵勋家
'shi'yi'zu 氏一族
'shi'zhi'zi'yu 失之子羽
'shou'ling 首领
'shou'zun 首尊
'shou'zun'zheng'tang 首尊正堂
'shu'ji'wang 叔纪王
'shu'qing'tian 束擎天
'shu'ren'yuan 树人院
'shu'zhong'tian 束中天
'shuang'yun'yan'wen 双云焰纹
'shui'niu 水牛
'shui'wei'biao'yu'xin 谁为表予心
'shui'zhan 水战
'shuo'feng'jian'jin 朔风渐紧
'si'jie 四姐
'si'li'jian 司礼监
'si'ma'gong'zi 司马公子
'si'ma'lei 司马雷
'si'miao 寺庙
'si'pao'fang 私炮坊
'si'pao'fang'dong'chuang'shi'fa 私炮坊东窗事发
'si'pin'can'jiang 四品参将
'si'sheng'zi 私生子
'si'tian'jian 司天监
'si'zhang 私章
'song'shan'shu'yuan 松山书院
'su'fu 苏府
'su'ge'ge 苏哥哥
'su'gu'zhu 素谷主
'su'jia 素佳
'su'qing 苏卿
'su'ru 宿儒
'su'tian'shu 素天枢
'su'xian'sheng 苏先生
'su'xiong 苏兄
'su'zhai 苏宅
'su'zhe 苏哲
'sui'gu'ba'du 碎骨拔毒
'suo'hou 锁喉
'tai'fu 太傅
'tai'fu'zhi'nv 太傅之女
'tai'huang'tai'hou 太皇太后
'tai'jian'xu'yi'zai'gong'zhong'zong'huo'de'shi'jian 太监蓄意在宫中纵火的事件
'tai'shi'yuan 太史院
'tai'wei'gong'zi 太尉公子
'tai'zi 太子
'tai'zi'jia'mian'li 太子加冕礼
'tai'zi'tai'fu 太子太傅
'tan'zhou 潭州
'tang'su'nian'gao 糖酥年糕
'ti'xing'si 提刑司
'tian'fan'di'fu 天翻地覆
'tian'lao 天牢
'tian'lao'han'zi'hao 天牢寒字号
'tian'lao'mo'lu 天牢末路
'tian'lao'mo'lu'jing'xi'shang'gu'si 天牢末路京西上古寺
'tian'lao'tian'zi'hao'fang 天牢天字号房
'tian'quan'jian'fa 天泉剑法
'tian'quan'shan'zhuang 天泉山庄
'tian'quan'shan'zhuang'gong'yu 天泉山庄宫羽
'tian'ruo'you'qing 天若有情
'tian'xia 天下
'tian'xia'di'yi'da'bang 天下第一大帮
'tian'xia'di'yi'de'meng'gu'dai'fu 天下第一的蒙古大夫
'tian'xia'shi'da'bang'pai 天下十大帮派
'tian'xia'shi'da'fu'hao 天下十大富豪
'tian'xia'shi'da'gao'shou 天下十大高手
'tian'xia'shi'da'gao'shou'bang 天下十大高手榜
'tian'xia'shi'da'gong'zi 天下十大公子
'tian'xia'shi'da'gong'zi'bang 天下十大公子榜
'tian'xia'shi'da'mei'ren 天下十大美人
'tiao'zhan'sai 挑战赛
'tie'qi 铁骑
'tie'shen'hu'wei 贴身护卫
'ting'sheng 庭生
'ting'wei'fu 廷尉府
'tong'ling'fu 统领府
'tong'lu 童路
'tong'shuai 统帅
'tou'pai 头牌
'tui'xin'zhi'fu 推心置腹
'tuo'ba'hao 拓跋昊
'tuo'ba'jiang'jun 拓跋将军
'wang'du 王都
'wang'fei 王妃
'wang'fu 王府
'wang'guo'zhi'hen 亡国之恨
'wang'jin'song 王劲松
'wang'kai 王凯
'wang'ou 王鸥
'wang'shi 王室
'wang'wei 王位
'wang'zhang'zhi'jie 王杖栉节
'wei'da'ren 魏大人
'wei'fu'ren 卫夫人
'wei'jing'an 魏静庵
'wei'ming 未名
'wei'zheng 卫峥
'wen'ding'zhi'xi 文定之喜
'wen'shi 文试
'wen'yi 瘟疫
'wen'yuan'bo 文远伯
'wen'yuan'bo'jue 文远伯爵
'wo'sheng'jun'yi'lao'tu'zhou 我生君已老涂州
'wu'dang 武当
'wu'jin'wan 乌金丸
'wu'lei 吴磊
'wu'li 武力
'wu'lin'gao'shou 武林高手
'wu'ren'xin'gao'jie 无人信高洁
'wu'shi 武士
'wu'wan'cheng'zhu 邬丸城主
'wu'xiao'yi 吴小乙
'wu'ying'dian 武英殿
'wu'zhu'qin'wang 五珠亲王
'xi'cheng'men 西城门
'xi'chui 西陲
'xi'jing 西境
'xi'li 西厉
'xi'mo 西漠
'xi'niu'zhen 犀牛镇
'xi'ri'jue 熙日诀
'xi'yuan'chi 洗愿池
'xi'yue'yao'wang'gu 西越药王谷
'xia'chun 夏春
'xia'chun'da'ren 夏春大人
'xia'da'ren 夏大人
'xia'di'yi'qi'du 下第一奇毒
'xia'dong 夏冬
'xia'dong'da'ren 夏冬大人
'xia'dong'duo'di 夏冬夺嫡
'xia'gu'rou'chang 侠骨柔肠
'xia'jiang 夏江
'xia'qiu 夏秋
'xia'shou'zun 夏首尊
'xian'an'dian 咸安殿
'xian'dai'jun'zhu 娴玳郡主
'xian'guo 鲜果
'xian'lu'cha 仙露茶
'xian'wang 贤王
'xiang'de'ji 翔地记
'xiang'fu'sha'dan 香符砂丹
'xiang'liao 香料
'xiang'rui 祥瑞
'xiang'si 相思
'xiang'zhu'zhi'cao 香烛纸草
'xiao'da'gong'zi 萧大公子
'xiao'dian 孝殿
'xiao'fei'liu 小飞流
'xiao'gong'zi 萧公子
'xiao'huo'ren 小火人
'xiao'jin 小津
'xiao'jing'huan 萧景桓
'xiao'jing'ning 萧景宁
'xiao'jing'rui 萧景睿
'xiao'jing'xuan 萧景宣
'xiao'jing'yan 萧景琰
'xiao'jing'yu 萧景禹
'xiao'ling 小灵
'xiao'pi'cuo'gu 削皮挫骨
'xiao'qi 小绮
'xiao'qin'ying 萧溱潆
'xiao'rui 小睿
'xiao'shu 小殊
'xiao'su 小苏
'xiao'xian'zheng'rong 小显峥嵘
'xiao'yan'gong'zi 小言公子
'xie'bi 谢弼
'xie'fu 谢府
'xie'fu'ren 谢夫人
'xie'hou 谢侯
'xie'jia'san'shao 谢家三少
'xie'qi 谢绮
'xie'shi 谢氏
'xie'xu 谢绪
'xie'yu 谢玉
'xin'er 新儿
'xin'ke'zuo'shi'zhi'wei 新科座师之位
'xin'liu 心柳
'xin'san'yi 莘三姨
'xin'yang 心杨
'xing'bing 兴兵
'xing'bing'bu'zhen 行兵布阵
'xing'bu 刑部
'xing'bu'shang'shu 刑部尚书
'xing'yu'ji'gou 刑狱机构
'xiu'mi'dao 修密道
'xiu'tong 秀童
'xu'an'mo 徐安谟
'xu'shu'fei 许淑妃
'xu'zhou 旭州
'xuan'ji 璇玑
'xuan'ji'gong'zhu 璇玑公主
'xuan'jing'men 悬镜门
'xuan'jing'shi 悬镜史
'xuan'jing'si 悬镜司
'xuan'jing'si'shi 悬镜司使
'xuan'jing'si'yan'fu 悬镜司言府
'xue'ha'geng 雪蛤羹
'xue'hai'shen'chou 血海深仇
'xue'lei 血泪
'xue'lu 雪庐
