'bao'er'jing'zhi 保而敬之
'er'zhong'xing'gong'zhi 而众星拱之
'er'zuo'gao'zuo 而作高座
'er'zuo'shi'yan 而作是言
'fa'tian'xiang'di 法天象地
'fan'fu'zai'shi 凡夫在世
'fan'jian'bei'dou'zhen'xing 凡见北斗真形
'fan'ren'xing'ming'wu'ti 凡人性命五体
'fan'su'wu'zhi 凡俗无知
'fan'you'ji'nan 凡有急难
'fan'you'jian'wen 凡有见闻
'fan'you'nan'nv 凡有男女
'fan'you'shang'shi 凡有上士
'fang'huo'an'tai 方获安泰
'fei'ren'wu'shi 非人勿示
'fen'shen'jiao'hua 分身教化
'fen'xiang'chi'ci'zhen'wen 焚香持此真文
'fu'ben'ming'xing'guan 夫本命星官
'fu'de'zeng'chong 福德增崇
'fu'gui'cong'ming 富贵聪明
'fu'li'wu'bian 福利无边
'fu'mu'bao'chang'sheng 父母保长生
'fu'shou'ke'cheng 福寿可称
'fu'shou'zi'ming 福寿资命
'fu'yi'yu'ju 扶一玉局
'gao'shang'yu'huang 高上玉皇
'gao'shen'zhong'yuan'chen'yi'ma 告身中元辰驿马
'geng'neng'xin'xiu'zhi'dao 更能心修至道
'geng'you'shen'miao 更有深妙
'gong'de'shen'zhong 功德深重
'gong'zhan'shui'lu 功沾水陆
'gu'chui'jiao'fa 故垂教法
'gu'wo'shi'ru'miao'fa 故我示汝妙法
'guan'jian'zhong'sheng 观见众生
'guang'chen'gong'yang 广陈供养
'guang'xuan'yao'fa 广宣要法
'gui'bi'yin'bi'fan'ti 鬼毕音毕繁体
'gui'feng'zhen'zong 皈奉真宗
'gui'fu'yin'fu 鬼甫音甫
'gui'huan'yin'quan 鬼雚音全
'gui'piao'yin'piao 鬼票音飘
'gui'shao'yin'shao 鬼勺音勺
'gui'xing'yin'heng 鬼行音横
'gui'zhen'zhi'ming 归真知命
'hai'yu'yu'jing 还于玉京
'hao'dao'qiu'ling 好道求灵
'he'fu'bu'zhen 何福不臻
'he'men'zi'kang'jian 阖门自康健
'he'zai'bu'mie 何灾不灭
'heng'shi'yong'bu'qi 横事永不起
'hu'wo'shen'xing 护我身形
'hua'shen'xia'jiang 化身下降
'huai'bu'xin'xin 怀不信心
'hui'bang'zhen'wen 毁谤真文
'hui'guo'qian'gong 悔过虔恭
'hun'xi'yin'si 魂系阴司
'huo'fu'huo'gui 或富或贵
'huo'fu'wu'liang 获福无量
'huo'huan'lai'chan 祸患来缠
'huo'jian'huo'pin 或贱或贫
'huo'ju'ren'dao 或居人道
'huo'shang'tian'qian'ze 或上天谴责
'huo'sheng'man'rong'zhi'nei 或生蛮戎之内
'huo'sheng'qin'chong'zhi'shu 或生禽虫之属
'huo'sheng'yi'di'zhi'zhong 或生夷狄之中
'huo'xia'gui'su'wu 或下鬼诉诬
'huo'xie'yao'ke'hai 或邪妖克害
'huo'yu'guan'yu 或于观宇
'huo'zai'jia'ting 或在家庭
'huo'zhong'bing'bu'quan 或重病不痊
'ji'bing'de'quan'chai 疾病得痊瘥
'ji'du'zhu'e'nan 济度诸厄难
'ji'shuo'bei'dou'zhou'yue 即说北斗咒曰
'ji'xi'ren'shen 击系人身
'ji'xu'tou'gao'bei'dou 急须投告北斗
'ji'zhu'zhai'ri 及诸斋日
'ji'zhuan'zhen'jing 及转真经
'jia'shi'de'sheng 假使得生
'jia'you'bei'dou'jing 家有北斗经
'jian'deng'miao'guo 渐登妙果
'jian'fu'xiao'zai 荐福消灾
'jian'ru'xian'zong 渐入仙宗
'jian'suan'chu'nian 减算除年
'jiang'ri'wei'ben'ming'xian'qi 降日为本命限期
'jiang'zai'ren'jian 降在人间
'jiao'xie'zhen'jun 醮谢真君
'jie'dao'xin'shen'zhong 皆道心深重
'jie'de'yan'sheng'zhu'fu 皆得延生注福
'jie'de'zi'zai 皆得自在
'jie'e'ying'yan'yue 解厄应验曰
'jie'ping'dao'sheng 皆凭道生
'jie'shu'tian'si 皆属天司
'jie'yin'ci'jing 皆因此经
'jie'you'feng'qi'xing 皆由奉七星
'jin'ping'sheng'bai'fu 尽凭生百福
'jing'ling'fu'ni 精灵伏匿
'jiu'fu'si'si 九府四司
'ju'lai'wei'hu 俱来卫护
'ju'men'lu'cun 巨门禄存
'kai'de'xing'jun 开德星君
'kai'zhuan'zhen'jing 开转真经
'ke'yi'ben'ming'zhi'ri 可以本命之日
'ke'yi'fen'xiang'song'jing 可以焚香诵经
'ke'yi'xiao'zai'chan'zui 可以消灾忏罪
'kei'qi'an'tai 剋期安泰
'kuai'le'zi'zai 快乐自在
'lai'he'wo'shen 来合我身
'lao'jun'er'shuo'zan'yue 老君而说赞曰
'lao'jun'gao'tian'shi'yue 老君告天师曰
'lao'jun'sheng'yu'ju'zuo 老君升玉局座
'lao'jun'shuo'jing'jiang'bi 老君说经将毕
'lao'jun'yue 老君曰
'lao'jun'zhong'gao'tian'shi'yue 老君重告天师曰
'lei'sui'zhun'zhan 累岁迍邅
'lian'nian'kun'du 连年困笃
'liao'wu'ci'yin 了悟此因
'ling'du'tian'min 令度天民
'ling'shi'zhi'dao 令使知道
'liu'chu'bao'xing'sheng 六畜保兴生
'liu'chun'qu'sheng 六淳曲生
'long'he'tian'xian'lai'ying 龙鹤天仙来迎
'lun'mo'san'tu 沦没三途
'mei'sui'liu'du 每岁六度
'mi'huo'zhe'duo 迷惑者多
'mi'miu'zhe'duo 迷谬者多
'mi'wu'zhi'zhe 迷误之者
'ming'fen'ju'wu'cha'bie 命分俱无差别
'ming'xin'wang'bei'ji 冥心望北极
'ming'you'tian'fu 命由天府
'mo'gui'qian'xiao 魔鬼潜消
'mo'ke'cheng'liang 莫可称量
'mo'xiao'gui'yi'zhi'lu 莫晓皈依之路
'mo'yue'xiu'feng 莫越修奉
'nai'de'sheng'zhi'yuan'tong 乃得圣智圆通
'nai'xiu'zhen'zhi'jing'lu 乃修真之径路
'nai'yi'ai'min'zhi'xin 乃以哀悯之心
'nan'fu'ren'shen 难复人身
'nei'an'zhen'xing 内安真性
'neng'chi'nian'zhe 能持念者
'neng'jie'ba'nan'e 能解八难厄
'neng'jie'chan'sheng'e 能解产生厄
'neng'jie'chong'she'e 能解虫蛇厄
'neng'jie'dao'bing'e 能解刀兵厄
'neng'jie'di'wang'e 能解地网厄
'neng'jie'fu'lian'e 能解复连厄
'neng'jie'fu'qi'e 能解夫妻厄
'neng'jie'heng'si'e 能解横死厄
'neng'jie'hu'lang'e 能解虎狼厄
'neng'jie'ji'bing'e 能解疾病厄
'neng'jie'jia'bang'e 能解枷棒厄
'neng'jie'jie'zei'e 能解劫贼厄
'neng'jie'jing'xie'e 能解精邪厄
'neng'jie'jiu'xing'e 能解九星厄
'neng'jie'liu'hai'e 能解六害厄
'neng'jie'nan'nv'e 能解男女厄
'neng'jie'qi'shang'e 能解七伤厄
'neng'jie'san'zai'e 能解三灾厄
'neng'jie'shui'huo'e 能解水火厄
'neng'jie'si'sha'e 能解四煞厄
'neng'jie'tian'luo'e 能解天罗厄
'neng'jie'wu'xing'e 能解五行厄
'neng'jie'yi'li'e 能解疫疬厄
'neng'jie'yi'qie'e 能解一切厄
'neng'jie'zhou'shi'e 能解咒誓厄
'neng'xiu'zhai'jiao 能修斋醮
'neng'zhuo'shui'xian'hua 能酌水献花
'nian'ben'ming'zhen'jun'ming'hao'zhe 念本命真君名号者
'nian'ci 念此
'pan'ren'jian'shan'e'zhi'qi 判人间善恶之期
'piao'chen'zhu'qu 漂沉诸趣
'pin'qiong'xia'jian 贫穷下贱
'pu'ji'zhong'sheng 普及众生
'pu'ji'zhong'sheng 普济众生
'qi'fu'qi'sheng 祈福祈生
'qi'fu'wu'bian 其福无边
'qi'gong'de'li 其功德力
'qi'qian'shen'jiang 七千神将
'qi'shou'li'bai 稽首礼拜
'qi'you'ben'ming'xian'qi'jiang'zhi 其有本命限期将至
'qi'you'sheng'shen'guo'bo 其有生身果薄
'qi'zheng'tong'ke 七政同科
'qi'zhu'bei'dou 启祝北斗
'qian'cheng'xian'li 虔诚献礼
'qian'zhen'jing'li 千真敬礼
'qing'fu'yan'sheng 请福延生
'qing'jing'shen'xin 清净身心
'qing'jing'tan'yu 清净坛宇
'qing'xing'fa'shi 请行法事
'ren'ben'ming'zhen'jun 认本命真君
'ren'dao'jiang'wei 人道将违
'ren'shen'nan'de 人身难得
'ren'zhong'shu'sheng 人中殊胜
'ru'ci'chen'lun 如此沉沦
'ru'ci'deng'yuan 如此等缘
'ru'ci'zhi'ren 如此之人
'ru'he'jiu'jie 如何救解
'ru'ke'xuan'yang'zheng'jiao 汝可宣扬正教
'ru'shi'zhen'jun'ming'hao 如是真君名号
'ru'xi'yi'men 入希夷门
'ruo'ben'ming'zhi'ri 若本命之日
'ruo'yi'ci'wei'e 若以此危厄
'ruo'you'ji'gao'zhe 若有急告者
'ruo'you'nan'nv 若有男女
'ruo'zheng'xin'nan'nv 若正信男女
'san'guan'wu'di 三官五帝
'san'hun'de'an'jian 三魂得安健
'san'tai'xu'jing 三台虚精
'san'yuan'shen'gong'hu 三元神共护
'shan'da'tian'si 善达天司
'shan'gong'yuan'man 善功圆满
'shan'guo'zhen'shen 善果臻身
'shan'ji'cun'wang 善及存亡
'shan'si'guang'zhong'ying 善似光中影
'shan'wu'bu'ying 善无不应
'shan'zai'shan'zai 善哉善哉
'shang'chao'jin'que 上朝金阙
'shang'tai'xu'jing 上台虚精
'shang'zhi'di'wang 上至帝王
'shen'chao'san'jie 身超三界
'shen'ke'bei'ai 深可悲哀
'shen'xie'zhi'hou 身谢之后
'sheng'ju'chu'shou'zhi'zhong 生居畜兽之中
'sheng'ru'jin'men 升入金门
'sheng'sheng'shen'zi'zai 生生身自在
'sheng'wo'yang'wo 生我养我
'sheng'zai'zhong'hua 生在中华
'shi'bao'tian'nian 使保天年
'shi'ming'bei'dou'ben'ming'yan'sheng'jing'jue 是名北斗本命延生经诀
'shi'ren'zui'fu'shan'e 世人罪福善恶
'shi'san'sheng'chang'wei'nan'zi'shen 使三生常为男子身
'shi'shi 是时
'shi'shi'bao'shen'qing 世世保神清
'shi'shi'sheng'sheng 世世生生
'shi'shi'tian'shi'shou'de'miao'fa 是时天师受得妙法
'shi'shi'wei'ren 世世为人
'shi'xin'wu'guo 时新五果
'shi'you'zai'yang 世有灾殃
'shi'yuan'liu'xing 誓愿流行
'shou'chi'du'song 受持读诵
'shou'ci'lun'hui 受此轮回
'shou'ku'man'zu 受苦满足
'shou'liang'wu'qiong 寿量无穷
'shou'yu'tian'shi 授与天师
'si'kong'xing'jun 司空星君
'si'lu'xing'jun 司禄星君
'si'yin'fu'shi'fei'zhi'mu 司阴府是非之目
'su'ju'xiao'ren 俗居小人
'su'you'shan'yuan 宿有善缘
'sui'li'jian'gong 随力建功
'sui'li'zhang'jiao 随力章醮
'sui'shi'wei'yi 随世威仪
'sui'xin'dao'zhu 随心祷祝
'sui'yu'jing'jue 虽遇经诀
'sui'zai'ren'zhong 虽在人中
'suo'shu'zun'hao 所属尊号
'suo'zai'yong'hu 所在拥护
'tai'ji'gong'zhong 太极宫中
'tai'shang'lao'jun 太上老君
'tai'shang'xuan'ling'bei'dou'ben'ming'yan'sheng'zhen'jing 太上玄灵北斗本命延生真经
'tian'gang'suo'zhi 天罡所指
'tian'guan'po'jun'guan'xing'jun 天关破军关星君
'tian'shi'huan'xi 天师欢喜
'tian'shi'qi'shou'li'xie 天师稽首礼谢
'tian'si'duo'lu 天司夺禄
'tiao'li'gang'ji 调理纲纪
'tong'yu'wan'ling 统御万灵
'tong'zhi'qian'kun 统制乾坤
'wai'fu'mo'jing 外伏魔精
'wan'fu'zi'lai'pian 万福自来骈
'wan'sheng'hu'chi 万圣护持
'wan'sheng'yan'tong'ming 万圣眼同明
'wan'xie'zi'gui'zheng 万邪自归正
'wei'shuo'liang'yuan 为说良缘
'wei'wu'ding'gu 为无定故
'wei'xian'shi'mi'zhen'zhi'gu 为先世迷真之故
'wei'zao'hua'zhi'shu'ji 为造化之枢机
'wen'qu'lian'zhen 文曲廉贞
'wo'dang'yu'shi'jie'xian'guan 我当与十戒仙官
'wo'jin'ai'jian'ci'deng'zhong'sheng 我今哀见此等众生
'wu'fang'jiang'zhen'qi 五方降真炁
'wu'li'xiu'chong 无力修崇
'wu'lu'zi'tong'da 五路自通达
'wu'qu'po'jun 武曲破军
'wu'xing'gong'bing 五行共禀
'wu'zai'yi'wu'zhang 无灾亦无障
'xi'jie'xiao'mie 悉皆消灭
'xi'ru'wei'chen 细入微尘
'xi'shu'ben'ming'xing'guan'zhi'zhu'zhang 悉属本命星官之主掌
'xia'fu'kun'lun 下覆崑崙
'xia'ji'shu'ren 下及庶人
'xia'tai'qu'sheng 下台曲生
'xian'qi'yu'wu'xing 咸契于五行
'xian'wang'fu'lian 先亡复连
'xiao'yao'yun'ji 逍遥云际
'xie'mei'bu'neng'ting 邪魅不能停
'xin'shou'feng'xing 信受奉行
'xiu'zhai'she'jiao 修斋设醮
'xuan'ming'wen'qu'niu'xing'jun 玄冥文曲纽星君
'xuan'wei'san'jie 宣威三界
'xue'luo'san'zai'jiu'e 削落三灾九厄
'yan'zhi'tan'chang 严置坛场
'yang'ming'tan'lang'tai'xing'jun 阳明贪狼太星君
'yi'bu'xu'guo 亦不虚过
'yi'chuan'shan'shi 以传善士
'yi'jiang'ji'xiang 亦降吉祥
'yi'jie'piao'chen 亿劫漂沉
'yi'shi'yu'ben'ming'xian'qi 一世于本命限期
'yi'yi'xing'dao 依仪行道
'yi'yong'shou'yuan'nian 以永寿元年
'yi'zhi'kang'rong 以至康荣
'yin'guang'nei'bi'xing'jun 隐光内弼星君
'yin'jing'ju'men'yuan'xing'jun 阴精巨门元星君
'yin'xian'mo'ce 隐显莫测
'ying'ru'gu'li'sheng 应如谷里声
'ying'ye'de'cheng'qing 营业得称情
'yong'bao'chang'sheng 永保长生
'yong'bao'dao'xin'ning 永保道心宁
'yong'bu'lun'zhuan 永不轮转
'yong'li'lun'hui 永离轮回
'yong'shi'ren'shen 永失人身
'yong'wei'shen'bao 永为身宝
'yong'yue'zuo'li 踊跃作礼
'yong'zhan'sheng'shan 永沾胜善
'you'hui'si'zhu'sheng'zhi'gong 有回死注生之功
'you'nan'ling'shi'zhe'san'qian'ren 有南陵使者三千人
'you'xiao'zai'du'e'zhi'li 有消灾度厄之力
'you'zai'you'huan 有灾有患
'yu'ben'ming'sheng'chen 于本命生辰
'yu'ben'ming'sheng'chen 遇本命生辰
'yu'san'yuan'ba'jie 于三元八节
'yu'sheng'he'zhen 与圣合真
'yu'shi 于是
'yu'shi'qi'yuan'jun 于是七元君
'yu'shi'shuo 于是说
'yu'shi'zai'bai 于是再拜
'yuan'huang'zheng'qi 元皇正炁
'yuan'jian'zun'yi 愿见尊仪
'zai'e'juan'chu 灾厄蠲除
'zai'shuai'xi'dang 灾衰洗荡
'zai'tai'qing'jing'shang 在太清境上
'zai'zui'xiao'chu 灾罪消除
'zan'jia'yin'yuan 暂假因缘
'zan'tan'nan'ke'de'yu'wu'shang'fa'qiao 赞叹难可得遇无上法桥
'zhai'she'de'an'ning 宅舍得安宁
'zhen'ren'lu'cun'zhen'xing'jun 真人禄存贞星君
'zheng'fa'nan'yu 正法难遇
'zheng'sheng'cheng'zhen 证圣成真
'zheng'xu'wu'dao 证虚无道
'zheng'yue'qi'ri 正月七日
'zhi'ci'zhen'jing 值此真经
'zhi'gan'wan'sheng'qian'zhen 致感万圣千真
'zhi'hui'xing'yuan 智慧性圆
'zhi'shen'xing'ming 知身性命
'zhi'shi'hun'shen'bei'xi 致使魂神被系
'zhi'yu'shu'du 至于蜀都
'zhong'e'yong'xiao'mie 众恶永消灭
'zhong'li'xuan'gong 重立玄功
'zhong'shen'bu'wu 终身不悟
'zhong'sheng'bu'wu 众生不悟
'zhong'song'zheng'hu 冢讼徵呼
'zhong'tai'liu'chun 中台六淳
'zhong'tian'da'shen 中天大神
'zhong'tu'nan'sheng 中土难生
'zhong'zhen'xi'lai'yong'hu 众真悉来拥护
'zhong'zhong'xiang'hua 种种香花
'zhong'zi'bu'jue 种子不绝
'zhou'hui'sheng'si 周回生死
'zhou'ye'chang'lun 昼夜常轮
'zhu'chi'ren'ming 主持人命
'zhu'yan'hua'wei'chen 诸厌化为尘
'zhuan'guai'ren'dao 转乖人道
'zhuan'jing'zhai'jiao 转经斋醮
'zi'ren'bei'ji 自认北极
'zi'shen'bu'zhi 自身不知
'zi'sun'bao'rong'sheng 子孙保荣盛
'zi'wei'di'jun 紫微帝君
'zi'zhi'si'ku 自致斯苦
'zong'zhi'ben'ming 纵知本命
'zou'zhang'ken'yuan 奏章恳愿
'zui'ye'qian'chan 罪业牵缠
'zun'bei'sui'ze'shu'tu 尊卑虽则殊途
'zun'di'ji'ji'ru'lv'ling 尊帝急急如律令
'zuo'ren'shen'zhi'zhu'zai 作人神之主宰
