'a'di'sen'shi'bing 阿狄森氏病
'jing'zhui'gu'zhi'zeng'sheng'jing'zhui'gu'guan'jie'yan 颈椎骨质增生颈椎骨关节炎
'jing'zhui'tui'xing'xing'bian 颈椎退行性变
'jun'xue'zheng 菌血症
'kou'qiang'yan 口腔炎
'kuan'guan'jie'tuo'wei 髋关节脱位
'kui'yang'xing'jie'chang'yan 溃疡性结肠炎
'lei'gu'e'xing'zhong'liu 肋骨恶性肿瘤
'liu'xing'xing'gan'mao 流行性感冒
'ma'bi'xing'chang'geng'zu 麻痹性肠梗阻
'man'xing'hou'yan'yan 慢性喉咽炎
'man'xing'jie'chang'yan 慢性结肠炎
'man'xing'qian'yan'xing'bing'xing'bing'du'xing'gan'yan 慢性迁延性丙型病毒性肝炎
'man'xing'shen'gong'neng'shuai'jie 慢性肾功能衰竭
'mian'bu'feng'wo'zhi'yan 面部蜂窝织炎
'mu'jiang'shi'shui'he'hun'mi 木僵嗜睡和昏迷
'nao'cu'zhong 脑卒中
'nao'mo'yan 脑膜炎
'nao'shuan'sai 脑栓塞
'nao'yan'hou'yi'zheng 脑炎后遗症
'nei'zhi 内痔
'niao'dao'yan 尿道炎
'pa'jin'sen'bing 帕金森病
'pi'da 脾大
'rao'gu'jing'gu'zhe 桡骨颈骨折
'rao'gu'xia'duan'gu'zhe 桡骨下端骨折
'rao'shen'jing'sun'shang 桡神经损伤
'ruan'zu'zhi'feng'shi 软组织风湿
'ruo'shi 弱视
'shang'zhi'jing'mai'yan 上肢静脉炎
'she'gen'ai 舌根癌
'shen'gong'neng'bu'quan 肾功能不全
'shen'jing'shuai'ruo 神经衰弱
'shi'er'zhi'chang'qi'shi 十二指肠憩室
'shi'wang'mo'jing'mai'bi'se 视网膜静脉闭塞
'shi'wu'zhong'du 食物中毒
'tang'niao'bing'bing'mi'niao'xi'gan'ran 糖尿病并泌尿系感染
'wai'yin'bai'ban 外阴白斑
'wai'yin'yan 外阴炎
'wei'ai'shu'hou'hua'liao 胃癌术后化疗
'wei'chang'shen'jing'guan'neng'zheng 胃肠神经官能症
'wei'dou'yan 胃窦炎
'wu'yue'jing 无月经
'xiao'hua'xing'kui'yang 消化性溃疡
'xin'ji 心悸
'xin'jiao'tong 心绞痛
'xin'yuan'xing'xiu'ke 心源性休克
'xuan'yun 眩晕
'xue'guan'shen'jing'xing'tou'tong 血管神经性头痛
'xue'guan'xing'pian'tou'tong 血管性偏头痛
'xue'xi'chong'xing'gan'yan 血吸虫性肝炎
'ya'ji'xing'gan'yan 亚急性肝炎
'yan'wai'zhi'ji'ma'bi 眼外直肌麻痹
'yao'wu'xing'gan'sun'hai 药物性肝损害
'yao'zhui'bing'bian 腰椎病变
'yao'zhui'jian'pan'tuo'chu 腰椎间盘脱出
'yao'zhui'xia'bu'duan'lie'bing'hua'tuo 腰椎峡部断裂并滑脱
'yi'bing'jing'luan'fa'zuo 癔病痉挛发作
'yi'chuan'xing'gong'ji'shi'tiao 遗传性共济失调
'yi'gan'hou'gan'ying'hua 乙肝后肝硬化
'yi'xian'yan 胰腺炎
'yin'dao'e'xing'hei'se'su'liu 阴道恶性黑色素瘤
'yin'jing'bo'qi'gong'neng'zhang'ai 阴茎勃起功能障碍
'ying'yang'bu'liang 营养不良
'you'men'geng'zu 幽门梗阻
'you'men'xia'zhai 幽门狭窄
'yun'jue 晕厥
'zhen'fa'xing'xin'fang'xian'chan 阵发性心房纤颤
'zheng'zhuang'xing'dian'xian 症状性癫痫
'zhi'chang'qian'qie'chu'shu'hou'zhuang'tai 直肠前切除术后状态
'zhi'chang'qian'tu 直肠前突
'zhi'fang'huai'si 脂肪坏死
'zhong'du'xing'li'ji 中毒性痢疾
'zhou'wei'dong'mai'shuan'sai 周围动脉栓塞
'zi'gong'jing'mi'lan 子宫颈糜烂
'zu'se'xing'fei'qi'zhong 阻塞性肺气肿
