'a'ba'ke 阿巴克
'da'jiu'bao'da'jie 大久保大介
'da'kun 大坤
'da'la'ta 大邋遢
'da'li'na 达丽娜
'da'men 大门
'da'mi'hu 大迷糊
'da'ni'la 达尼拉
'da'wan'cha'tan'zhu 大碗茶摊主
'da'wu 大武
'da'you 大祐
'da'yu 大鱼
'da'zhuang 大壮
'dai'li 代理
'dan'di 丹迪
'dao'bao'tuan 盗宝团
'dao'bao'tuan'cheng'yuan 盗宝团成员
'dao'cheng'ying'mei 稻城萤美
'dao'jiang 刀匠
'dao'qi'ju'min 稻妻居民
'dao'qi'yu'shi 稻妻渔师
'dao'ye'jiu'cang 稻叶久藏
'dao'zheng'xing 岛政兴
'de'an'gong 德安公
'de'chang 德长
'de'gui 德贵
'de'mi'shu 的秘书
'di'ao'na 迪奥娜
'di'jia 岻伽
'di'lu'ke 迪卢克
'di'ma'wu'si 蒂玛乌斯
'di'ya 蒂亚
'di'ya 蒂雅
'dian'yuan 店员
'dian'zhu 店主
'dong'dong 东东
'dong'sheng 东升
'dong'tian 洞天
'dong'ya 东雅
'du'bian 渡边
'du'gu'shuo 独孤朔
'du'jin'lv'tuan 镀金旅团
'du'la'fu 杜拉夫
'du'lan 杜兰
'duan'qian'fang 段钱方
'dui'zhang 队长
'duo'jia 多加
'duo'li 多莉
'e'sang 厄桑
'en'nei'si'te 恩内斯特
'fa'bo'de 法伯德
'fa'la 法拉
'fa'li'ba 法里芭
'fan'er'ye 范二爷
'fan'mi'er 梵米尔
'fei'er'bi 费尔比
'fei'er'ge'dai'te 菲尔戈黛特
'fei'li'si'you'ge 菲利斯尤格
'fei'liao'fen'fa'yuan 肥料分发员
'fei'luo'zi 费罗兹
'fei'xie'er 菲谢尔
'fei'yan 飞燕
'fei'yun'shang'hui 飞云商会
'fen'de 芬德
'fen'hang'chang 分行长
'feng'che'guan'li'yuan 风车管理员
'feng'yan 逢岩
'feng'yuan'wan'ye 枫原万叶
'fu'ben 福本
'fu'gui 富贵
'fu'la'de 弗拉德
'fu'la'te 富拉特
'fu'lai'qi 弗莱琪
'fu'lang'xi'si 弗朗西斯
'fu'luo'la 芙萝拉
'fu'ze'ren 负责人
'gai'man 盖曼
'gai'yi 盖伊
'gan'le 甘乐
'gan'shi 干事
'gan'tian'chuan'zhu 绀田传助
'gan'yu 甘雨
'gang'qi'hui'li'xiang 冈崎绘里香
'gang'qi'lu'dou 冈崎陆斗
'gang'wu'mi'shu'guan 港务秘书官
'gang'wu'zhu'guan 港务主管
'gao'ban 高坂
'gao'mei 高美
'gao'qiao 高桥
'ge'de 歌德
'ge'de'da'jiu'dian 歌德大酒店
'ge'luo'li 葛罗丽
'ge'rui'si 葛瑞丝
'gen'fu'zhi'yuan 根付之源
'gong'dao 宫岛
'gong'di 宫地
'gong'fang'zhu'ren 工坊主人
'gong'ming 公明
'gong'qi'san'lang 宫崎三朗
'gong'ren 工人
'gong'yi 公义
'gou'san'er 狗三儿
'gu'de'wen 古德温
'gu'er'gen 古尔根
'gu'gu'sheng 古谷升
'gu'guai'de'tan'zhu 古怪的摊主
'gu'hua'pai'di'zi 古华派弟子
'gu'si'ta'si'pu 古思塔斯普
'gu'tian 古田
'gu'wen 顾问
'gu'yong'bing 雇佣兵
'gu'yuan 雇员
'guan'hai 观海
'guan'hong 关宏
'guan'jia 管家
'guang'hai 广海
'gui'bo'bo 鬼伯伯
'ha'li 哈里
'ha'li'sen 哈里森
'ha'li'si 哈里斯
'ha'ma'wei 哈马维
'ha'wa'de 哈瓦德
'ha'zi'mu 哈兹姆
'hai'di'fu 海迪夫
'hai'lao'ming'quan'si'lang 海老名权四郎
'hai'li 海莉
'hai'long 海龙
'hai'lun 海伦
'han'feng 寒锋
'hang'hai'shi 航海士
'hao'qi'de'pa'qi 好奇的帕琪
'hao'zai'hui'hui 浩仔卉卉
'he'er'de'lin 荷尔德林
'he'er'man 赫尔曼
'he'li 鹤立
'he'mo 贺摩
'he'quan'na'xi 和泉那希
'he'ta 赫塔
'he'yu'cha'guan 和裕茶馆
'hei'quan 黑犬
'hei'tian 黑田
'hei'yan'chang 黑岩厂
'hei'yan'chang'guan'shi 黑岩厂管事
'hei'ze'jing'zhi'jie 黑泽京之介
'heng'shan 横山
'hong'da 宏达
'hong'dou 红豆
'hong'ru 鸿如
'hong'yi 宏一
'hong'yi 弘毅
'hong'yu 宏宇
'hou'qin 后勤
'hu'lu 葫芦
'hu'sai'ni 胡塞尼
'hu'tao 胡桃
'hu'tian 户田
'hu'zhi'zhu 虎之助
'hua'chu 花初
'hua'jiang 花匠
'hua'shan 桦山
'hua'tou'gui 滑头鬼
'hua'yu 花语
'huai'an 淮安
'huang'gu 荒谷
'huang'jin'wu 黄金屋
'huang'ju'gu 黄巨贾
'huang'long'hao'gu'ji'fan'kui'da'shi 荒泷豪鼓祭反馈大使
'huang'long'hao'gu'ji'fen'wei'da'shi 荒泷豪鼓祭氛围大使
'huang'long'hao'gu'ji'jie'yin'da'shi 荒泷豪鼓祭接引大使
'huang'long'yi'dou 荒泷一斗
'huang'shan 黄衫
'hui'shao 辉少
'hui'xin 慧心
'hui'xing 绘星
'hui'zhang 会长
'hui'zhen 绘真
'hui'zi 辉子
'huo'fu'man 霍夫曼
'huo'lang 货郎
'huo'ya'zi 豁牙子
'ji'fang 纪芳
'ji'gai'ke'si 吉盖克斯
'ji'guan'qi'tan 机关棋谭
'ji'li'an'na 吉丽安娜
'ji'shu'guan 技术官
'ji'tong 季同
'ji'weng 基翁
'ji'yuan'kai 几原凯
'ji'zhe 记者
'jia'ding 家丁
'jia'fei'tian'long'ma 甲斐田龙马
'jia'han'ji'er 贾汉吉尔
'jia'ming 嘉铭
'jia'si'dun 加斯顿
'jia'wei 嘉玮
'jia'yang'te 贾扬特
'jia'yi 嘉义
'jia'zha'li 加扎里
'jia'zhu'ming'dai 家主名代
'jian'cha 监察
'jian'qiu 鉴秋
'jiang'cheng 江城
'jiang'mu 江木
'jiang'xue 江雪
'jiang'zhou 江舟
'jiao'ling'guan 教令官
'jie'cui'xing 解翠行
'jie'dai'yuan 接待员
'jie'ke 杰克
'jie'li 杰里
'jie'tou'yi'ren 街头艺人
'jie'ye 婕叶
'jin'gu'san'lang 今谷三郎
'jin'qi'dian'zhu 金器店主
'jin'sha'zhi'lv 金砂之旅
'jin'wu 瑾武
'jin'ye'ling'ling 锦野玲玲
'jin'zhong 金钟
'jing'da 竟达
'jing'jing'hua 鲸井椛
'jing'jing'xiao'di 鲸井小弟
'jing'li 经理
'jing'ming 景明
'jing'shang 井上
'jiu'bao 酒保
'jiu'guan'lao'ban 酒馆老板
'jiu'guan'zhao'dai 酒馆招待
'jiu'jin 鹫津
'jiu'li'xu 久利须
'jiu'li'you'mai 久利由卖
'jiu'mei 久美
'jiu'qi'ren 久岐忍
'jiu'shi'jiu'wu 九十九物
'jiu'tiao'jia'chen 九条家臣
'jiu'tiao'lian'zhi 九条镰治
'jiu'tiao'sha'luo 九条裟罗
'jiu'tiao'zheng'ren 九条政仁
'jiu'ye'hang'hui'zhi'xing'hui'zhang 酒业行会执行会长
'ju'xing 驹形
'ka'mu'la 卡姆拉
'ka'mu'lan 卡姆兰
'ka'pi'li'ya 卡琵莉亚
'ka'qi'mu 卡齐姆
'ka'si'pa 卡斯帕
'ka'ta'lin'na 卡塔琳娜
'ka'wu'si 卡乌斯
'kai'sa 凯撒
'kai'se'lin 凯瑟琳
'kai'shu 凯叔
'kai'ya 凯亚
'kan'di'si 坎蒂丝
'kan'ding'feng'xing'fan'tou 勘定奉行番头
'kan'ding'feng'xing'yi'ren 勘定奉行役人
'kang'na 康纳
'ke'lai 柯莱
'ke'li 可莉
'ke'li'tuo'fu 克里托夫
'ke'luo'li'si 克罗丽丝
'ke'qing 刻晴
'ke'zhan'nv'shi 客栈女侍
'ku'la'shi 库拉什
'ku'ma 库马
'ku'ta 库塔
'kuai'dao'chen 快刀陈
'kuai'ji 会计
'kuai'quan'a'ling 快拳阿凌
'kuai'tui'luo'si 快腿罗斯
'kuang'gong 矿工
'kuang'gong'ling'ban 矿工领班
'kun'en 昆恩
'la'duo'mi'er 拉多米尔
'la'jia'wei 拉贾维
'la'ma 拉玛
'la'mu'qi 拉姆齐
'lai'la 莱拉
'lan'ba'de 兰巴德
'lan'chuan'cheng 蓝川丞
'lan'da 兰达
'lan'jie 岚姐
'lan'ma'ni 兰玛尼
'lan'na'luo 兰那罗
'lao'ban 老板
'lao'ban'niang 老板娘
'lao'chou 老臭
'lao'fen'qi 老芬奇
'lao'gao 老高
'lao'he 老何
'lao'liu'bo 老刘伯
'lao'lun'si 劳伦斯
'lao'sun 老孙
'lao'tu 老图
'lao'zhang 老章
'lao'zhao 老赵
'lao'zhou'shu 老周叔
'lei'dian'jiang'jun 雷电将军
'lei'meng'de 雷蒙德
'lei'sa 雷萨
'lei'ze 雷泽
'li'ben 立本
'li'cai 璃彩
'li'chui'zi 李锤子
'li'hui 梨绘
'li'jiu'lang 李九郎
'li'ke'liu 离可琉
'li'luo 蛎罗
'li'qi'tai'yu'xu 里栖太御须
'li'se 里瑟
'li'sha 丽莎
'li'shi 理事
'li'shi'xue'zhe 历史学者
'li'wen'si'tong'bo'shi 利文斯通博士
'li'xiang 梨香
'li'xiao 李晓
'li'xiao'hu 李小虎
'li'yue'hua'chuan'fu'wu'yuan 璃月花船服务员
'li'yue'ju'min 璃月居民
'li'yue'shang'fan 璃月商贩
'li'yue'xue'zhe 璃月学者
'li'yue'yu'shi 璃月渔师
'li'yue'zong'wu'si 璃月总务司
'li'zi 莉兹
'lian'jin'xue'zhe 炼金学者
'liang'zi 凉子
'liao'li'shang'dian 料理商店
'lie'hu 猎户
'lie'ren 猎人
'lie'ren'shou'ling 猎人首领
'lin'lang 琳琅
'lin'ling 霖铃
'lin'xing'zhe 林行者
'liu'de'mi'la 柳德米拉
'liu'li'ting 琉璃亭
'liu'yan'ban 留言板
'liu'zhi'qiao'se 六指乔瑟
'long'er 龙二
'lu'da'bei 鲁达贝
'lu'hua'chi'tan'zhu 渌华池摊主
'lu'ke 卢克
'lu'ke'sha 鲁克沙
'lu'mei'la 鲁梅拉
'lu'ye 路爷
'lu'ye'yuan'ping'cang 鹿野院平藏
'lu'zi 露子
'luo'bo'te 罗伯特
'luo'feng 骆丰
'luo'sha'li'ya 罗莎莉亚
'luo'sha'na 罗莎娜
'luo'si'ma'li 罗斯玛丽
'luo'xia 落霞
'luo'xiao'mei 罗小妹
'luo'ya 罗娅
'lv'guan'nv'shi 旅馆女侍
'lv'xing'hua'jia 旅行画家
'lv'xing'shang'ren 旅行商人
'ma'ge'li'te 玛格丽特
'ma'ji 麻纪
'ma'ke'xi'mu 马克西姆
'ma'la 玛拉
'ma'qi'er 马齐尔
'ma'qiao'li 玛乔丽
'ma'si'lu'er 马斯鲁尔
'ma'su'di 马苏迪
'ma'ta'li 玛塔莉
'ma'tou'gong'ren 码头工人
'ma'tou'guan'li'yuan 码头管理员
'ma'wen 玛文
'ma'xi'de 玛希德
'ma'ya'mu 玛亚姆
'mai'er'si 麦尔斯
'mai'ke 麦克
'man'da'na 曼达娜
'mao'cai'gong 茂才公
'mao'qi'yi'qing 茅葺一庆
'mao'shi'fu 卯师傅
'mao'wei 猫尾
'mao'wei'jiu'guan 猫尾酒馆
'mao'xian'jia 冒险家
'mao'xian'jia'xie'hui'diao'cha'yuan 冒险家协会调查员
'mao'xian'jia'xie'hui'fen'hui'zhang 冒险家协会分会长
'mao'xian'jia'xie'hui'gan'bu 冒险家协会干部
'mao'xian'jia'xie'hui'jie'dai'yuan 冒险家协会接待员
'mao'xian'jia'xie'hui'qing'bao'yuan 冒险家协会情报员
'mao'xian'jia'xie'hui'xuan'chuan'yuan 冒险家协会宣传员
'mao'xian'zhe 冒险者
'mei'shi'jia 美食家
'mei'wei'si 梅薇丝
'mei'yu 美羽
'men'luo 门罗
'meng'de'bai'huo'ding'huo'ban 蒙德百货订货板
'meng'de'ju'min 蒙德居民
'meng'de'yu'shi 蒙德渔师
'meng'meng 蒙蒙
'mi'gong'yi'shu'jia 迷宫艺术家
'mi'ha'yi'er 米哈伊尔
'mi'sheng'qi'qi 弥生漆器
'mi'sheng'qi'yue 弥生七月
'mi'shu 秘书
'mi'xie'er 米歇尔
'ming'shi 明石
'ming'xing'zhai 明星斋
'mo'dai'de'zou'guan 末代地走官
'mo'dai'tu'shu'guan'li'yuan 末代图书管理员
'mo'fang'zhu 磨坊主
'mo'ke 摩可
'mo'li 茉莉
'mo'na 莫娜
'mo'tian 墨田
'mu'chen'gao'fei 沐晨高斐
'mu'fu'jun'guan 幕府军官
'mu'fu'jun'shi 幕府军士
'mu'hu 木户
'mu'jiang 木匠
'mu'lou'cha'shi 木漏茶室
'mu'nai 木奈
'mu'nan'liao'ting 木南料亭
'mu'nan'xing'nai 木南杏奈
'mu'ning 沐宁
'mu'sheng 慕胜
'mu'zhen 慕珍
'na'ba'ti 纳巴提
'na'di'ya 娜蒂亚
'na'li'man 纳里曼
'na'si'lin 娜丝琳
'na'si'mi'er 娜斯米儿
'na'wa'zi 纳瓦兹
'na'xi'er 纳西尔
'na'ze'ning 娜泽宁
'na'zha'fa'lin 娜扎法琳
'nan'ta'ke 楠塔克
'ni'da'er 尼达尔
'ni'ka 尼卡
'ni'lu 妮露
'ni'wei'da 妮维妲
'niang'jiu'shi 酿酒师
'ning'guang 凝光
'ning'lu 宁禄
'nong'min 农民
'nuo'ai'er 诺艾尔
'nuo'la 诺拉
'nuo'ma 诺玛
'nv'pu'chang 女仆长
'nv'shi 女侍
'pa'li'sha 帕丽莎
'pa'sen 帕森
'pa'si'li 帕斯里
'pan'guan'er 判官儿
'pan'yang 盘羊
'pei'pei 佩佩
'pi'ka 皮卡
'pi'li'shan'lei'zhen'jun 霹雳闪雷真君
'pian'shan 片山
'ping'ba 平八
'ping'hai 平海
'ping'jing 平井
'ping'ye 平野
'ping'zhong 平冢
'po'mu 珀姆
'pu'li'ya 普里亚
'qi'ben'wu'jiang 旗本武将
'qi'ge'fu'li'ya 齐格芙丽雅
'qi'la 奇拉
'qi'ling'bi'yu 栖令比御
'qi'ming 绮命
'qi'qi 七七
'qian'ceng'yan'ju'yuan'kuang'gong 前层岩巨渊矿工
'qian'dao'bao'tuan'cheng'yuan 前盗宝团成员
'qian'lai'shen'she'dai'gong'si 浅濑神社代宫司
'qian'xian'ling'zhi'you 前仙灵之友
'qian'yan'er 钱眼儿
'qian'yan'jun 千岩军
'qian'yan'jun'bing'shi 千岩军兵士
'qian'yan'jun'dui'chang 千岩军队长
'qian'yan'jun'jiao'tou 千岩军教头
'qian'yan'jun'zhong'dui'zhang 千岩军中队长
'qian'ye 千叶
'qian'zi 乾子
'qiang'shu'a'wei 强叔阿伟
'qiao'er 乔尔
'qiao'se'fu 乔瑟夫
'qiao'xi 桥西
'qiao'yi 乔姨
'qin'fu'ren 秦夫人
'qin'zi 寝子
'qing'bao'jiao'yi'yuan 情报交易员
'qing'ce'zhuang'guan'shi 轻策庄管事
'qing'ce'zhuang'ju'min 轻策庄居民
'qing'lian 青莲
'qing'zhou 清昼
'qing'zi 清子
'qiong'si 琼斯
'qiu'ge 秋歌
'qiu'qiu'ren'yu'yan'jiu'xue'zhe 丘丘人语研究学者
'qiu'sha'qian'tang'lao'ban 秋沙钱汤老板
'qiu'wei 秋蔚
'qiu'yue 秋月
'qun'yu'ge 群玉阁
'rong'guang'zhi'feng 荣光之风
'rui'jin 瑞锦
'ruo'tuo'long'wang 若陀龙王
'ruo'xin 若心
'ruo'zi 若紫
'sa'er'mu 萨尔姆
'sa'gu 萨古
'sa'ji 萨基
'sa'la'er 萨拉尔
'sa'yi'de 萨义德
'sai'ku'la 塞库菈
'sai'liu'si 塞琉斯
'sai'nuo 赛诺
'san'he'qian 三河茜
'san'shi'ren'tuan 三十人团
'san'tian 三田
'san'wan'bu'guo'gang 三碗不过港
'sen'kou 森口
'sha'fei 莎菲
'sha'fei'ya 莎菲亚
'sha'la 莎拉
'sha'mei'ye 莎梅耶
'sha'sha 莎莎
'sha'sha'ni 莎莎妮
'sha'shan 杉山
'sha'tang 砂糖
'sha'xin 沙欣
'shan'cheng'jian'tai 山城健太
'shan'hu 珊瑚
'shan'hu'gong'jun'guan 珊瑚宫军官
'shan'hu'gong'jun'shi 珊瑚宫军士
'shan'hu'gong'xia'shi 珊瑚宫下士
'shan'hu'gong'xin'hai 珊瑚宫心海
'shan'shang 山上
'shan'tian 山田
'shang'chuan'chuan'zhang 商船船长
'shang'ren 商人
'shang'shan 上杉
'she'feng'xing'dai'xing 社奉行代行
'she'ji'ren 设计人
'she'ji'shi 设计师
'she'wan 舍万
'shen'he 申鹤
'shen'li'ling'hua 神里绫华
'shen'li'ling'ren 神里绫人
'shen'qi'de'huo'pu'jin'si 神奇的霍普金斯
'shi'chuan 石川
'shi'di'wen'si 史蒂文斯
'shi'liu 石榴
'shi'pin'dian'zhu 食品店主
'shi'ren 诗人
'shi'tian 石田
'shi'tian'xing'xi 矢田幸喜
'shi'tou 石头
'shi'xi'mu'tuo'quan 实习牧驮犬
'shi'zhe 侍者
'shi'zhuang 石壮
'shou'dao 手岛
'shou'ju'you'xi 手鞠游戏
'shou'ta'ren 守塔人
'shou'wang'feng'bao'de'shi'nv 守望风暴的仕女
'shou'wei 守卫
'shu'ci 舒茨
'shu'guo'fan 蔬果贩
'shu'zhi 淑之
'shuang'ye 双叶
'shui'guo'shang'fan 水果商贩
'shui'shou 水手
'shun'ji 顺吉
'shuo'shu'ren 说书人
'si'si 思思
'si'tan'li 斯坦利
'si'tian 寺田
'si'wan 斯万
'si'yu 思妤
'si'zhao'xing'hao 死兆星号
'si'zhao'xing'hao'chuan'yuan 死兆星号船员
'song'ben 松本
'song'chuan'zong'quan 松川宗全
'song'ping 松平
'song'tian 松田
'sou'mu 薮木
'su'da'bei 素达蓓
'su'er'niang 苏二娘
'su'er'ta'ni 苏尔塔尼
'su'xi 苏西
'sun'yu 孙宇
'suo'la'ya 索拉雅
'ta'la'nei 塔拉内
'ta'lie'xin 塔列辛
'tai'lang'wan 太郎丸
'tai'tian'tai'lang 太田太郎
'tan'fan 摊贩
'tang'mi 汤米
'tang'na 唐娜
'tang'wen 汤雯
'tang'wu'chou 唐无仇
'tao'zi 桃子
'teng'yuan'jun'zi 藤原俊子
'ti'mi 提米
'ti'mo'er 提莫尔
'ti'na'li 提纳里
'ti'ye 笹野
'tian'ding'wu 天顶屋
'tian'mu'duan'ye'wu 天目锻冶屋
'tian'mu'duan'zhi'wu'dian'zhu 天目鍛治屋店主
'tian'mu'shi'wu 天目十五
'tian'shi'de'kui'zeng 天使的馈赠
'tian'shu 天叔
'tian'shu'xing 天枢星
'tian'tian 甜甜
'tian'tie'zui 田铁嘴
'tian'wen'xue'zhe 天文学者
'tian'ye 天野
'tian'yi 天奕
'tie'bang'zi 铁膀子
'tie'hong 铁弘
'tie'jiang 铁匠
'tie'jiang'pu 铁匠铺
'tie'jiang'xue'tu 铁匠学徒
'tie'kuai'er 铁块儿
'tie'shan 铁衫
'ting'ting 婷婷
'tong'ren'tan'tan'zhu 同人摊摊主
'tong'xin 同心
'tu'man 图曼
'tu'men 土门
'tuo'ma 托马
'tuo'shou'si'yang'yuan 驮兽饲养员
'wa'er'tan 瓦尔坦
'wa'ge'na 瓦格纳
'wa'xi'de 瓦希德
'wan'guo'shang'hui 万国商会
'wan'guo'shang'hui'men'yi 万国商会门役
'wan'huo'tong 万货通
'wan'ju'tan'tan'zhu 玩具摊摊主
'wan'shi'tong 万事通
'wan'wen'ji'she 万文集舍
'wan'you'pu'zi 万有铺子
'wang'ban'zi 王扳子
'wang'long'cun'zhang'lao 望泷村长老
'wang'ping'an 王平安
'wang'sheng'tang 往生堂
'wang'shu'ke'zhan 望舒客栈
'wang'shu'ke'zhan'lao'ban 望舒客栈老板
'wang'yue 望月
'wei'duo'li'ya 维多利亚
'wei'er 薇尔
'wei'ke'duo 维克多
'wei'la'ge 威拉格
'wei'lai 未来
'wei'mo'zhuang'cun'chang 维摩庄村长
'wei'si'ke 维斯科
'wei'xiu'gong 维修工
'wen'di 温迪
'wen'yuan 文员
'wen'ze 文泽
'wu'bai'cang 五百藏
'wu'chuan'zhang 吴船长
'wu'da'de 乌达德
'wu'de 伍德
'wu'er'ban 乌尔班
'wu'er'fa 乌尔法
'wu'er'man 乌尔曼
'wu'lang 五郎
'wu'mao'zi 乌帽子
'wu'mu 乌姆
'wu'nv 巫女
'wu'qi'zhu'zao'shi 武器铸造师
'wu'shi 武士
'wu'tian 武田
'wu'you'ting 乌有亭
'wu'yuan 无怨
'xi'er 喜儿
'xi'feng'qi'shi 西风骑士
'xi'feng'qi'shi'tuan 西风骑士团
'xi'gu'ju 希古居
'xi'kou 西口
'xi'ling 汐零
'xi'xi 西西
'xia'mu 夏姆
'xian'yi'ren 嫌疑人
'xiang'chuan 香川
'xiang'liao'shang'ren 香料商人
'xiang'ling 香菱
'xiang'ming 向明
'xiang'tai 翔太
'xiao'an 小安
'xiao'bai 小白
'xiao'cang'ling 小仓澪
'xiao'cang'wu'dian'zhu 小仓屋店主
'xiao'cang'you 小仓优
'xiao'chi'tan 小吃摊
'xiao'chi'tan'tan'zhu 小吃摊摊主
'xiao'chun 小春
'xiao'deng 霄灯
'xiao'dong 晓东
'xiao'fan 小贩
'xiao'gong 宵宫
'xiao'jiang 小姜
'xiao'juan 小卷
'xiao'lin 小林
'xiao'liu 小六
'xiao'lv 小绿
'xiao'man 小漫
'xiao'meng 小猛
'xiao'qian 小千
'xiao'qian 小茜
'xiao'que'er 小雀儿
'xiao'shan 小山
'xiao'shuo'jia 小说家
'xiao'shuo'zuo'jia 小说作家
'xiao'tian 小畑
'xiao'tou 小偷
'xiao'xing 小星
'xiao'ye 咲耶
'xiao'ye 小野
'xiao'ye'si 小野寺
'xiao'yu 小羽
'xiao'yu 小雨
'xiao'yue 小月
'xiao'zhao 小昭
'xiao'zheng 小征
'xiao'zhong 篠冢
'xiao'zong'guan 枭总管
'xin'sheng 信盛
'xin'tu 信徒
'xin'yan 辛焱
'xin'yue'xuan 新月轩
'xin'zhi'cheng 新之丞
'xing'chen'jun 星辰君
'xing'huo 星火
'xing'qiu 行秋
'xing'xi 星稀
'xing'xiong 幸雄
'xiong'san 雄三
'xiu'hua 秀华
'xiu'nv 修女
'xiu'si 修斯
'xu'liu'shi 徐六石
'xu'mei 须美
'xu'mi'yu'shi 须弥渔师
'xu'po'da'zhi'yan 须婆达之彦
'xuan'dong'lin'qin 玄冬林檎
'xuan'fan 悬帆
'xuan'san 玄三
'xue'sheng 学生
'xue'tu 学徒
