'a'qi'na 阿奇那
'ran'cheng'qing'dai'de'tian 染成青黛的天
'rang'can'xue'rong'jie 让残雪融解
'ren'jia'lun 任嘉伦
'ren'sheng'ru'qiu 人生如秋
'ren'xue'hai 任学海
'rong'yao 荣耀
'rong'yao'qing'song 荣耀青松
'ru'guo'bu'shi'cong'cong'de'li'bie 如果不是匆匆的离别
'ru'yan 如烟
'ruo'yin'ban'yin 若银斑隐
'sa'zai're'xue'gun'tang'de'xiong'kou 洒在热血滚烫的胸口
'shan'yi'cheng 山一程
'shen'an 沈安
'shen'bao'ping 沈保平
'shen'yi'zhi 沈易直
'shen'zhen'zhu 沈珍珠
'shi'fang'de'xia'li'san 是放得下离散
'shi'gu'fu'le'yuan'man 是辜负了圆满
'shi'na'bai'ju'guo'xi'de'xiang'yong 是那白驹过隙的相拥
'shi'qian'wan'li'zhao'yan'he'mu'xue 是千万里朝颜和暮雪
'shi'run'le'xin'jian 湿润了心间
'shi'si'ming 史思明
'shi'yi'le'yuan'fang 诗意了远方
'shou'zhong'de'mei'jiu 手中的美酒
'shu'chang 舒畅
'shui'liu'zhi'wen'yin'mo'zhen'cang 谁留指纹印抹珍藏
'shui'yi'cheng 水一程
'si'tan'hua'jing'yan 似昙花惊艳
'su'ci 素瓷
'su'nian 夙念
'su'yan 素颜
'sui'you'zeng 岁又增
'sun'nan 孙楠
'sun'zhong'huai 孙忠怀
'suo'you'de'sui'yue 所有的岁月
'tai'cong'cong 太匆匆
'tai'jian'xian 太艰险
'tan'jing 谭晶
'tan'xuan 谭旋
'tang'jing'mei 汤晶媚
'tang'shui'yu 汤水雨
'tang'su'zong 唐肃宗
'tang'wen'qi 唐文奇
'tang'xuan'zong 唐玄宗
'tang'yun 唐韵
'tu'liu'can'tao'yu'kong'yin'bei 徒留残陶余空吟悲
'wan'qian 万茜
'wan'qian'rong'chong'jing'mu 万千荣宠惊慕
'wan'shi'tong 万事通
'wan'yan 蜿蜒
'wang'bo'qing 王铂清
'wang'jin'song 王劲松
'wang'jiu'sheng 王九胜
'wang'juan 王娟
'wang'kai 王凯
'wang'shi'fan'you 往事烦忧
'wang'xiao'wei 王小伟
'wei'chao 魏超
'wei'fei 韦妃
'wei'jian 韦坚
'wei'jian'su 韦见素
'wei'jiang'shan 为江山
'wei'ni'cheng'quan 为你成全
'wei'ni'cheng'quan'le'shi'jie 为你成全了世界
'wen'xiang'ruan'yu'gu'pan 温香软玉顾盼
'wo'diu'shi'le'yu'yan 我丢失了语言
'wu'hao 吴濠
'wu'xiu'lan 吴秀岚
'wu'ying'wu'zong 无影无踪
'xi'fan'hua'yi'cang'wu 昔繁华已苍芜
'xian'chen'dian'de'shi'guang 现沉淀的时光
'xiang'qu'qian 想去牵
'xiao'san'niang 萧三娘
'xiao'yi'di'jian 小移地建
'xie'bu'xia 卸不下
'xie'xia'zhe'hou'zhong'de'kai'jia 卸下这厚重的铠甲
'xu'jia'qi 徐佳琦
'xu'shuo 许烁
'xu'si'yu 徐思雨
'xuan'ran'le 渲染了
'xue'song 薛嵩
'yan'ji'xuan 晏积瑄
'yan'ming 严明
'yan'wei 闫巍
'yang'guo'zhong 杨国忠
'yang'ming'na 杨明娜
'yang'tian'xiang 杨天翔
'yang'xi 杨希
'yang'yu'huan 杨玉环
'yao'er 瑶儿
'ye'hu 叶护
'yi'bu'yi'yao'yi'duan'hui'mou'zhong 一步一摇一段回眸中
'yi'shen'gan'dan 一身肝胆
'yi'sheng'de'bei'huan 一生的悲欢
'yi'sheng'de'cheng'bai 一生的成败
'yi'sheng'de'ju'san 一生的聚散
'yi'sheng'lian'ku'yu'tian 一生恋苦与甜
'yi'zhao'yi'xi 一朝一夕
'yin'e 银娥
'yin'tao 尹涛
'you'shao 釉烧
'yu'ke'wei 郁可唯
'yu'qing 俞庆
'yu'shu 玉书
'yu'xiao'wei 于小伟
'yuan'wei'ni'qu'cheng'quan 愿为你去成全
'zai'ni'hui'mou'jian'chong'die 在你回眸间重叠
'zai'ren'jian'zhong'bu'jian 在人间终不见
'zai'ye'wu'fa'shuo'fen'bie 再也无法说分别
'zen'hui'pin'ming'xiang'zai'jian 怎会拼命想再见
'zen'nai'dui'ni'qing'shen'qie 怎奈对你情深切
'zeng'li 曾黎
'zhan'ke'ming 詹可明
'zhang'chun'zhong 张春仲
'zhang'de'yu 张得玉
'zhang'fei 张妃
'zhang'gong'zhu 长公主
'zhang'hai'feng 张海峰
'zhang'heng 张恒
'zhang'jing 张静
'zhang'kai 张凯
'zhang'wei'na 张维娜
'zhang'xin'rong 张莘荣
'zhang'yao'han 张遥函
'zhang'zhen 张震
'zhao'dong'ze 赵东泽
'zhao'wei'jie 赵伟杰
'zhe'bei'chuang'de'nian'hua 这悲怆的年华
'zhe'mi'yi 哲米依
'zheng'xun 郑巽
'zhi'ci'yi'sheng 至此一生
'zhi'pan'ban'lai'sheng'gong'wei 只盼伴来生共偎
'zhi'wei'ni'de'rong'yan 只为你的容颜
'zhi'yin'dang'chu'yu'jian'yi'shun'jian 只因当初遇见一瞬间
'zhong'cong'hai 钟聪海
'zhong'xu'bie 终须别
'zhong'yi'de'mian'chou 忠义的绵绸
'zhou'jie'ying 周洁颖
'zhou'zhi'guang 周之光
'zhu'hong'luo'dian'chun 朱红落点唇
'zhu'li'qing 朱礼庆
'zhu'yi 朱祎
'zhuang'bao'bin 庄宝斌
'zui'liu'lian 最留恋
