'an'zi'duan'dian'dao'le 案子断颠倒了
'dai'nv'xu'de'gu'shi 呆女婿的故事
'dang'ka'zi'yong'bu'zhao'nao'zi 当喀孜用不着脑子
'dao'bie'ren'jia'qu'teng 到别人家去疼
'dao'lv'quan'qu 到驴圈去
'di'zhu'he'lao'ying 地主和老鹰
'diao'yan 吊唁
'dong'tian'mei'ku'chuan 冬天没裤穿
'dou'shi'zhen'hua 都是真话
'dou'you'ci'li 豆有此理
'du'bie'zi 读别字
'dui'bu'qi 对不起
'dui'dui'zi 对对子
'dun'dun'chi'dong'gua 顿顿吃冬瓜
'e'le'ji'tian 饿了几天
'fa'shi'dui'lian 发誓对联
'fan'de'wei'dao'he'qian'de'sheng'yin 饭的味道和钱的声音
'fan'guo'lai 翻过来
'fang'xie'he'shui 放蟹喝水
'fei'ji'he'xian'sun 肥鸡和鲜笋
'fen'yin 分银
'feng'shui'xian'sheng 风水先生
'fu'qi'hao 福气好
'fu'weng'he'pu'ren 富翁和仆人
'gan'wen'fu 赶蚊符
'gao'sheng'le 高升了
'ge'le'niu'tou'za'wa'guan 割了牛头砸瓦罐
'gei'wo'hu'de 给我糊的
'gen'zai'hou'mian 跟在后面
'guan'cai'ye'yao 棺材也要
'guan'mai'jin 官买金
'guan'zhang'xian'sheng 管帐先生
'guo'wang'de'zuo'wei 国王的座位
'han'dao'na'li'qu'le 汗到哪里去了
'hao'ji'la 好极啦
'hao'xue'bu'juan 好学不倦
'he'huo'mai'xue'zi 合伙买靴子
'he'jia'na'si'er'he'ke'han 和加纳斯尔和可汗
'he'ming'de'ren 喝名的人
'he'qiang'dao'jiang'li'mao 和强盗讲礼貌
'he'zuo'jiu 合做酒
'hou'lian'pi 厚脸皮
'hu'da'shi'fang'gao'li'dai'de 胡大是放高利贷的
'hu'pi 虎皮
'hu'tu'chong 糊涂虫
'hu'tu'de'xian'guan 糊涂的县官
'hua'bing 画饼
'hua'cai'shen'xiang 画财神像
'hua'de'zhe 划得着
'hua'fu 画符
'hua'hu 画虎
'hua'jiang'zhi'bing 画匠治病
'hua'xiang 画像
'huan'ban 换班
'huang'di'de'shen'fen 皇帝的身份
'huang'shu'lang 黄鼠狼
'ji'li'hua 吉利话
'jia'hang'jia'he'quan'bu'dong 假行家和全不懂
'jia'hua 假话
'jia'tui 假腿
'jia'xin 家信
'jian'duo'zi'zhu'zhen 箭垛子助阵
'jian'ji'er'zuo 见鸡而作
'jian'mian'qian 见面钱
'jiang'hu'hua'ji'xiao'hua'yi'juan 江湖滑稽笑话一卷
'jiao'zhe'wu'shang'chi 角者无上齿
'jie'chui 借锤
'jie'guo 借锅
'jie'zhi 戒指
'jin'hu'lu 金葫芦
'jin'lao'shu 金老鼠
'jin'qian'he'zheng'yi 金钱和正义
'jin'shi'yan 近视眼
'jing'ming'qiang'han'de'sui'cong 精明强悍的随从
'jiu'huo 救火
'ju'jiu'hu 锯酒壶
'juan'qian'cheng 捐前程
'kan'jing 看镜
'kan'pi'gu 看屁股
'kan'xi 看戏
'kan'zai'jia'xiong'mian'shang 看在家兄面上
'kang'he'ma'lu 糠和马鹿
'ke'han'de'shen'jia 可汗的身价
'kong'cheng'ji 空城计
'kong'zi'zhi'hou'you'kong'ming 孔子之后有孔明
'ku'xiao'bu'de 哭笑不得
'kua'nv'xu 夸女婿
'lai'tai'zao'zao'bu'lai 来太早早不来
'lan'fu 懒妇
'lao'shu'he'mao 老鼠和猫
'lao'ye'bi'gou'xiong 老爷比狗凶
'liang'ge'lan'shao'ye'shang'tian 两个懒少爷上天
'liang'gong'po 两公婆
'liang'tiao'liang 两条梁
'liang'tou'lv'de'dong'xi 两头驴的东西
'liang'tou'lv'de'xing'nang 两头驴的行囊
'lin'se'de'cai'zhu 吝啬的财主
'lin'se'gui'he'shou 吝啬鬼贺寿
'ling'zhu'ai'zou 领主挨揍
'liu'zhi 柳枝
'liu'zhi'jiao'geng'kuai 六只脚更快
'luan'yong'zi'yan 乱用字眼
'luo'di 落地
'ma'ka'lao'ye 吗咖老爷
'mai'bing 卖饼
'mai'dian'xin 买点心
'mai'ju'zi 买桔子
'mai'nian'huo 买年货
'mai'nong 卖弄
'mai'yi'rao'yi 买一饶一
'mai'yu'fang'sheng 买鱼放生
'man'xing'zi 慢性子
'mao'ming 猫名
'mao'na'qu'la 猫哪去啦
'mei'you'sheng'hu'zi'de'ba'yan 没有生胡子的巴彦
'meng'jian'zhou'gong 梦见周公
'mi'shi'zai'shu'shang'jie'de 米是在树上结的
'miao'chu'nan'xue 妙处难学
'mo'dao 磨刀
'mu'xian 木锨
'na'mao'lv'zuo'bang'yang 拿毛驴做榜样
'nan'dao'dou'tai'shi 难倒窦太师
'niu'bing 牛病
'niu'du'zi 牛肚子
'niu'pi 牛皮
'nong'qiao'cheng'zhuo 弄巧成拙
'nuo'yan'pan'an 诺彦判案
'pan'ju'ya'men 盘踞牙门
'pan'yin'zi 判银子
'pao'diao'yi'bi'li'xi 跑掉一笔利息
'pi'gu'hai'zai 屁股还在
'pu'sa'zheng'rou 菩萨争肉
'qi'guai'de'gu'shi 奇怪的故事
'qi'miao'de'yao'fang 奇妙的药方
'qi'yu'qi 七与漆
'qiang'tou'cao 墙头草
'qiang'zhen'tou 抢枕头
'qiao'xi'fu'zuo'yi'shang 巧媳妇做衣裳
'qiao'zui'xi'fu 巧嘴媳妇
'qing'da'lao'ye'gong'duan 请大老爷公断
'qing'qia'pan'chi 请袷袢吃
'qing'xian'sheng 请先生
'qiu'chan 秋蝉
'qu'ming'zi 取名字
'quan'gou'zhi'bie 犬狗之别
'quan'tou'hao 拳头好
'rang'wang'ye'xia'jiao 让王爷下轿
'ren'duo'de'di'fang'bu'yao'qu 人多的地方不要去
'san'ge'hu'tu'chong 三个糊涂虫
'san'ge'nv'xu'dui'shi 三个女婿对诗
'san'jian'shi 三件事
'san'tian'shi'dao 三天使道
'san'zhi'shen'jian 三支神箭
'sha'ji'qu'dan 杀鸡取蛋
'shan'guan'shi'gou 山官是狗
'shang'bian'chang 上边长
'shang'guan'hua 上关花
'shao'cha 烧茶
'sheng'ge'qiong'hua'zi 剩个穷花子
'sheng'na'liang'nian'kao'shui'yang'huo 剩那两年靠谁养活
'sheng'xian'chou 圣贤愁
'shi'jian'gu'ren'de'hua 实践古人的话
'shi'lou'jiao 拾耧脚
'shi'na'tiao'mao'kou'dai'ya'si'de 是哪条毛口袋压死的
'shu'dai'zi'yu'hua'hu'li 书呆子与花狐狸
'shu'shi'yin'cheng'de 书是印成的
'shui'bi'ke'han'de'li'liang'da 谁比可汗的力量大
'shui'da'guan'si 睡打官司
'shui'yao'ni'xu'ta'ri'zi 谁要你许他日子
'si'bu'ming'mu 死不瞑目
'si'cuo'le'ren 死错了人
'si'ge'ji'xing'ren 四个急性人
'si'ge'tong'qian 四个铜钱
'si'le'ye'bu'hui'wang'xia'zou 死了也不会往下走
'si'luo'tuo'de'huo 四骆驼的货
'song'li 送礼
'song'shou'li 送寿礼
'suan'gua 算卦
'suo'zhe'de'qian'gui 锁着的钱柜
'ta'bi'ni'geng'you'li 他比你更有理
'tai'shi'ye'wen'lu 太师爷问路
'tai'yang'he'yue'liang 太阳和月亮
'tan'chi'de'xi'fu 贪吃的媳妇
'tan'xin'de'tou'ren 贪心的头人
'ti'tou 剃头
'tian'bu'guan 天不管
'tian'ji'bu'ke'xie'lou 天机不可泄漏
'tian'ta'xia'lai'de'shi'hou 天塌下来的时候
'tong'guo'sheng'er 铜锅生儿
'tu'di'zhu 秃地主
'tu'tang 兔汤
'tui'mo 推磨
'tun'zhi'huo'mao 吞只活猫
'wa'jing 挖井
'wan'zi 万字
'wang'ba'zai'zi 王八崽子
'wang'guo'li'fang'yan 往锅里放盐
'wang'lao'san'zou'lu 王老三走路
'wang'pao 王袍
'wang'san'zuo'sheng'yi 王三做生意
'wang'sun'zi'chu'qi 望孙子出气
'wen'chu'zui 闻锄嘴
'wo'die'sheng'wo'wo'sheng'ni 我爹生我我生你
'wo'diu'la 我丢啦
'wo'jia'mei'de'liang'xin 我家没得良心
'wo'ni'ta 我你他
'wo'zi'ji'qu 我自己去
'wu'da'she'tou'kan'qiu'sai 吴大舌头看球赛
'wu'da'tian'di 五大天地
'xi'hua 喜话
'xi'huan'feng'ying 喜欢逢迎
'xi'li 喜礼
'xi'nong'chun'guan 戏弄蠢官
'xi'zao 洗澡
'xia'dao'zi 下刀子
'xian'guan'de'san'ge'pu'ren 县官的三个仆人
'xian'guan'duan'an 县官断案
'xian'guan'he'gou 县官和狗
'xian'guan'kan'xi 县官看戏
'xian'tai'ye'ai'da 县太爷挨打
'xiao'dong'bian'da'dong 小洞变大洞
'xin'guan'shang'ren 新官上任
'xin'ren'xian'guan'mai'yue'liang 新任县官买月亮
'xue'guai 学乖
'xun'zhao'zhi'hui 寻找智慧
'ya'ba'shuo'hua 哑巴说话
'ya'yi'shou'hui 衙役受贿
'yao'cai 要菜
'yi'bei'he'tong'nian 一倍和同年
'yi'bu'dong'er'bu'chi 一不动二不吃
'yi'dai'yan'de'gong'fu 一袋烟的工夫
'yi'de'miao'yong 一的妙用
'yi'mei'tong'bi 一枚铜币
'yi'mian'jing'zi 一面镜子
'yi'qian'bu'jiu 一钱不救
'yi'qian'liang'po'ti 一千两破题
'yi'shou'da'you'shi 一首打油诗
'you'chu'yi'mei'shi'wu 有初一没十五
'you'pao'hui'lai'la 又跑回来啦
'you'tian'wu'ri 有天无日
'yu'tou'yu'wei 鱼头鱼尾
'yue'ye'fei'tiao'ye 跃也非跳也
'zai'da'bian'yi'ci 再大便一次
'zao'bing 糟饼
'zhan'zai'zhuo'shang'chi 站在桌上吃
'zhao'tu'hao'de'xia'chang 赵土豪的下场
'zhe'bang'la'ma 哲蚌喇嘛
'zhe'lu'zou'na'li'qu 这路走哪里去
'zhen'ben'shi 真本事
'zhen'jian'he'mai'mang 针尖和麦芒
'zheng'yan 争雁
'zhi'cha'yi'jian'xiao'shi 只差一件小事
'zhi'chi'mi'fan'de'gou 只吃米饭的狗
'zhi'fu'qi'shu 致富奇书
'zhi'hui'nang 智慧囊
'zhi'kan'jian'qian 只看见钱
'zhi'li'ming'yan 至理名言
'zhi'ping'san'lan 只凭散篮
'zhi'you'shuo'huang'le 只有说谎了
'zhong'jin'zi 种金子
'zhong'mao'lv 种毛驴
'zhu'dian'chi'rou 住店吃肉
'zhu'lao'ye 朱老爷
'zhu'zhu'lou 煮竹篓
'zhuo'shi'zi 捉虱子
'zi'shi'qi'guo 自食其果
'zi'yuan'qi'shuo 自圆其说
'zu'niu 租牛
'zuan'he'ci 钻和刺
'zuo'shi'qian'da 作诗欠打
'zuo'wen'zhang'he'sheng'zai'zi 作文章和生崽子
