'a'guai 阿怪
'wu'xing'ji'po'bao 五星级迫爆
'wu'xing'lian'zhu 五星连珠
'xi'lu 细路
'xi'mi'qing'ren 戏迷情人
'xi'yang'wu'xian'hao 夕阳无限好
'xia'zhou'tong'yang'shi'jian 下周同样时间
'xian'chang'zhi'bo 现场直播
'xiang'ku 想哭
'xiang'ting 想听
'xiang'yi'ju'guang'gao 像一句广告
'xiao'hai'bu'dong'pa 小孩不懂怕
'xiao'hai'bu'yao'pa 小孩不要怕
'xie'ting'feng'chen'yi'xun 谢霆锋陈奕迅
'xie'xie 谢谢
'xie'xie'nong 谢谢侬
'xin'li'you'gui 心里有鬼
'xin'mei'ren'zhu'yi 新美人主意
'xin'shen'shang'tou 心深伤透
'xin'sheng'huo 新生活
'xin'xin'hua'she 信心花舍
'xing'fu 幸福
'xing'fu'mo'tian'lun 幸福摩天轮
'xing'zai'le'huo 幸灾乐祸
'xiong'di 兄弟
'xiong'mei 兄妹
'xue'hui'ai 学会爱
'xun'ren 寻人
'ya'bian'ge'bian'ge 呀边个边个
'yan'chang'hui 演唱会
'yan'mei'tiao 眼眉调
'yan'wei 烟味
'yang'xing'fan'ying 阳性反应
'yao'ni'de 要你的
'yao'yuan'de'ta 遥远的她
'yi'di'yan'lei 一滴眼泪
'yi'ge'ren 一个人
'yi'pi'bu 一疋布
'yi'qie'hai'hao 一切还好
'yi'sheng'zhong'zui'ai 一生中最爱
'yi'ye'xiao'hun 一夜销魂
'ying'huang'gang'qin're'lian'xi'lie 英皇钢琴热恋系列
'yong'bao'zhe'fen'zhong 拥抱这分钟
'yong'yuan'dou'tian'ming 永远都天明
'you'le'ni 有了你
'you'li'fen'zi 游离分子
'you'yi'wu'yi 有意无意
'yu'gan 预感
'yu'jian'le'ni 遇见了你
'yu'wo'chang'zai 与我常在
'yuan'jia 冤家
'yuan'lai'zhe'yang'mei'you'ni 原来这样没有你
'yuan'qi 冤气
'yue'hei'feng'gao 月黑风高
'yue'qiu'shang'de'ren 月球上的人
'yue'ri'qing 月日晴
'yue'yu'can'pian 粤语残片
'yun'niang 酝酿
'zao'kai'de'chang'tu'ban 早开的长途班
'zen'mo'yang 怎麼样
'zhi'shi'jin'huang'hun 只是近黄昏
'zhong'yu'yi'liao'bai'liao 终于一了百了
'zhuan'ji 转机
'zhuan'jia'hua 专家话
'zui'hou'de'xi'pi'shi 最后的嬉皮士
'zui'jia'sun'you 最佳损友
'zuo'ri 昨日
