'ba'wu'jian'dao'shi'er'si 八无间道十二思
'de'sheng'yi'fei'wei'yin'ye 得绳亦非为引业
'deng'chi'suo'sheng'wu'biao'se 等持所生无表色
'deng'liu'suo'sheng'you'ji'bie 等流所生有记别
'deng'liu'zhi'shou'da'zhong'sheng 等流执受大种生
'di'jiu'si'mie'za'bai'ye 第九思灭杂白业
'di'qi'ming'xian'yi'cun'zai 第七明显亦存在
'di'si'pin 第四品
'di'si'pin'zhong 第四品终
'di'yu'bei'ju'lu'zhou'chu 地狱北俱卢洲除
'di'yu'qi'yu'yu'cu'yu 地狱绮语与粗语
'di'yu'shan'yin'ye'you'san 地狱善引业有三
'duan'dao'you'lou'ye'wu'guo 断道有漏业五果
'duan'po'jie'e'fo'zhi'zui 断破戒恶佛制罪
'dun'shi'yi'tong'er'chan'sheng 顿时一同而产生
'duo'seng'he'shi'hui'fo'ta 夺僧合食毁佛塔
'e'jie'nai'you'de'jie'si 恶戒乃由得戒死
'e'jie'ze'yi'zhu'zhong'sheng 恶戒则依诸众生
'e'jie'ze'you'xing'bi'shi 恶戒则由行彼事
'e'tian'yi'you'yue'yi'guo 恶田亦有悦意果
'er'se'jie'ju'si'jing'de 二色戒具四净德
'er'shi'zhi'xin'zhi'hui'du 尔时之心智慧度
'fa'shi'fei'wei'ran'wu'xing 法施非为染污性
'fan'zui'ju'er'ru'zhai'cai 犯罪具二如债财
'fei'bang'yin'guo'er'duan'jue 诽谤因果而断绝
'fei'duan'bi'deng'yi'er'si 非断彼等一二四
'fei'fan'nao'xing'wu'ji'fa 非烦恼性无记法
'fei'li'ye'ji'ran'wu'xing 非理业即染污性
'fei'wei'er'li'bu'shi'si 非为二利布施四
'fei'yu'yi'ba'wu'ju'sheng 非与一八五俱生
'fen'bie'ye'pin 分别业品
'fo'shuo'ge'you'shi'ye'dao 佛说各有十业道
'fo'yi'nie'pan'wei'jie'jie 佛已涅槃未结界
'fo'zhi'zui'zhong'wei'jie'jiu 佛制罪中唯戒酒
'fu'de'fei'fu'bu'dong'yao 福德非福不动摇
'fu'de'yu'jie'zhi'shan'ye 福德欲界之善业
'fu'mu'bing'ren'shuo'fa'zhe 父母病人说法者
'gan'shu'jie'zhu'shan'qu'gu 感数劫住善趣故
'gen'ben'can'kui'ben'xing'shan 根本惭愧本性善
'gen'zu'zhuan'nan'yi'su'shi 根足转男忆宿世
'gong'fo'ta'yin'suo'sheng'fu 供佛塔因所生福
'gong'yang'gong'de'wu'you'liang 供养功德无有量
'gu'yi'yuan'man'wu'hui'xin 故意圆满无悔心
'guan'xian'liang'fo'si'suo'sheng 观现量佛思所生
'guo'qu'yi'qie'ju'si'guo 过去一切具四果
'guo'wei'lai'ze'wei'san'guo 果未来则为三果
'hai'jie'yi'ji'si'wang'shi 还戒以及死亡时
'hai'xin'ji'yu'zhong'sheng'chen 害心即于众生嗔
'he'yan'xing'chi'yi'fen'deng 何言行持一分等
'he'zhe'neng'she'ming'wei'shi 何者能舍名为施
'he'zhong'li'tan'wen'fan'fu 何中离贪稳凡夫
'heng'ju'guo'qu'yu'wei'lai 恒具过去与未来
'heng'zao'sha'fu'mu'ye'ding 恒造杀父母业定
'hou'ju'guo'qu'wu'wei'lai 后具过去无未来
'hou'you'guo'qu'da'zhong'sheng 后由过去大种生
'hui'fu'ze'yi'yi'you'jian 恢复则依疑有见
'huo'chu'wu'ji'zheng'xin'shan 或初无记正心善
'huo'de'li'tan'zhi'guo'wei 获得离贪之果位
'huo'you'cheng'nuo'er'huo'de 或由承诺而获得
'ji'hai'xin'yi'er'shi'ju 及害心以二式具
'ji'hou'de'luo'han'yi'fei 击后得罗汉亦非
'ji'jie'e'jie'yu'zhong'jie 即戒恶戒与中戒
'ji'ming'zhu'ding'zhi'pu'sa 即名住定之菩萨
'ji'shan'bu'shan'yu'ta'ye 即善不善与他业
'ji'shi'gui'yi'neng'cheng'fo 即是皈依能成佛
'ji'shi'suo'wei'zhi'xie'jian 即是所谓之邪见
'ji'suan'shi'ge'yu'shu'mu 计算诗歌与数目
'ji'wei'zhong'sheng'yu'shou'yong 基为众生与受用
'ji'yi'ri'nei'zhen'shou'jie 及一日内真受戒
'ji'yin'bi'shi'zhi'deng'qi 即因彼时之等起
'ji'yu'you'sheng'zhi'nian'zhong 即于有生之年中
'ji'zhi'yu'yan'zhi'sheng'yin 即指语言之声音
'ji'zhu'zhi'de'fei'zhu'yin 及诸支得非诸因
'jia'hang'san'gen'ben'suo'sheng 加行三根本所生
'jian'duan'bi'deng'san'si'yi 见断彼等三四一
'jian'duan'zhi'shi'wei'jia'hang 见断之识为加行
'jian'xing'duan'zhi'bu'ju'shan 见行断至不具善
'jiang'gan'shou'le'deng'san'zhong 将感受乐等三种
'jie'sheng'yu'jie'zhong'you'shen 结生欲界中有身
'jie'shu'shun'xian'fa'shou'ye 皆属顺现法受业
'jie'tuo'ji'shi'sheng'yi'shan 解脱即是胜义善
'jie'tuo'nai'wei'zui'wu'shang 解脱乃为最无上
'jie'tuo'shi'tuo'huo'pu'sa 解脱施脱或菩萨
'jie'yi'yi'qie'you'qing'de 戒依一切有情得
'jie'you'chen'xin'er'jiu'jing 皆由嗔心而究竟
'jie'you'suo'wei'bie'jie'tuo 戒有所谓别解脱
'jie'you'zhong'sheng'ye'suo'sheng 皆由众生业所生
'jing'shuo'san'zhong'wu'gou'se 经说三种无垢色
'jing'zhong'suo'shuo'qu'hui'zhuo 经中所说曲秽浊
'ju'de'li'ming'wei'lv'yi 俱得立名为律仪
'ju'tan'sui'ran'duan'zhi'ti 具贪虽然断肢体
'ju'xian'zai'zhi'wu'biao'se 具现在之无表色
'ju'you'bie'jie'tuo'jie'zhe 具有别解脱戒者
'ju'you'chan'ding'jie'lv'zhe 具有禅定戒律者
'ju'you'chan'ding'suo'sheng'jie 具有禅定所生戒
'ju'you'er'shi'er'yin'ye 具有二十二引业
'ju'zu'zhai'jie'zhi'fen'zhi 具足斋戒之分支
'jun'bing'deng'wei'tong'yi'shi 军兵等为同一事
'jun'you'tan'xin'er'yuan'man 均由贪心而圆满
'jun'you'wu'tan'chen'chi'sheng 均由无贪嗔痴生
'kan'ren'ta'shi'yu'ta'dao 堪忍他师与他道
'ke'ju'e'jie'jie'yi'er 可具恶戒戒亦尔
'ke'shi'mi'er'lun'shi'xu 克什米尔论师许
'li'jian'ji'wei'fen'ta'zhe 离间即为分他者
'li'tan'chan'wu'jian'mo'mie 离贪禅无间末灭
'li'yi'gong'de'zhi'cha'bie 利益功德之差别
'liang'xing'chu'wai'yi'qie'ren 两性除外一切人
'liu'zhong'bu'shan'wu'biao'se 六种不善无表色
'luo'han'guo'zhong'chu'ding'zhe 罗汉果中出定者
'man'ye'ze'ke'you'duo'zhong 满业则可有多种
'mei'yi'miao'xiang'bai'fu'sheng 每一妙相百福生
'miao'xing'yi'ji'ye'jie'lv 妙行以及业戒律
'ming'se'yi'ji'ming'cheng'ye 名色以及名称也
'nai'bie'jie'tuo'yu'ye'dao 乃别解脱与业道
'nai'zhi'jing'ran'qiang'lie'jian 乃至净染强烈间
'nai'zhi'shou'bie'jie'tuo'zhe 乃至守别解脱者
'neng'mie'bi'ji'wu'lou'ye 能灭彼即无漏业
'neng'ren'chu'xin'zheng'xin'tong 能仁初心正心同
'neng'xun'ran'xin'zhi'yuan'gu 能熏染心之缘故
'neng'yin'tong'lei'you'san'ye 能引同类有三业
'ping'jie'hei'bai'deng'cha'bie 凭借黑白等差别
'po'fa'lun'seng'bu'chu'xian 破法轮僧不出现
'po'jie'bi'zhu'jin'yi'ri 破界彼住仅一日
'po'jie'mo'seng'san'zhou'you 破羯磨僧三洲有
'po'jie'yin'guo'wei'chu'xian 破戒因过未出现
'po'jie'yu'ye'ji'ye'dao 破戒与业及业道
'po'seng'ji'ling'bu'he'mu 破僧即令不和睦
'po'yu'ta'chu'fan'fu'zhong 破于他处凡夫众
'qi'yi'chu'xin'er'zheng'xin 其一初心二正心
'qi'yu'ye'ze'you'san'zhong 其余业则有三种
'qi'yu'yu'jie'shi'bu'shan 其余欲界十不善
'qi'zhong'bu'shi'di'ba'sheng 其中布施第八胜
'qi'zhong'shan'ye'ju'er'zhong 七种善业具二种
'qiang'huo'jing'xin'gong'de'tian 强惑净心功德田
'qiang'lie'fan'nao'yu'e'qu 强烈烦恼与恶趣
'qing'chen'yu'ta'qian'shou'jie 清晨于他前受戒
'que'shao'en'de'shao'can'gu 缺少恩德少惭故
'ran'wei'gui'yi'zhe'wu'you 然未皈依者无有
'ran'wu'mu'yi'wu'xue'ni 染污母亦无学尼
'ran'wu'xing'xin'zhi'ci'yu 染污性心之词语
'ren'zhong'san'zhou'nan'nv'duan 人中三洲男女断
'ru'ding'ji'zhu'sheng'dao'er 入定及住圣道二
'ru'ding'zhi'shan'ji'wei'xiu 入定之善即为修
'ru'li'san'ye'ju'deng'qi 如理三业具等起
'ru'shi'kai'shi'qi'jing'deng 如实开示契经等
'ru'wang'ge'xi'yu'e'lun 如妄歌戏与恶论
'ru'ying'shan'yu'bu'shan'ye 如应善与不善业
'ruo'wu'mie'yin'bu'ying'mie 若无灭因不应灭
'ruo'zuo'ze'ju'you'biao'se 若作则具有表色
'san'a'seng'qi'jie'mo'chu 三阿僧祇劫末出
'san'fu'cheng'wei'fu'de'ye 三福称为福德业
'san'shan'ye'ze'yu'yi'qie 三善业则于一切
'se'deng'yuan'man'zhi'shi'wu 色等圆满之施物
'se'jie'yi'you'wu'biao'se 色界亦有无表色
'seng'zhong'yi'ji'nie'pan'fa 僧众以及涅槃法
'sha'ding'pu'sa'you'xue'sheng 杀定菩萨有学圣
'sha'sheng'hai'xin'yu'cu'yu 杀生害心与粗语
'sha'sheng'ji'shi'gu'yi'zhong 杀生即是故意中
'shan'bu'zhou'you'jiu'deng'cheng 赡部洲有九等成
'shan'ye'jia'hang'ji'hou'xing 善业加行及后行
'shan'ye'zhi'guo'wei'shan'deng 善业之果为善等
'she'qi'ling'bi'wu'you'gu 舍弃令彼无有故
'she'qi'you'biao'shang'wei'sheng 舍弃有表尚未生
'she'ruo'tan'tu'zi'ju'yin 设若贪图资具引
'she'ruo'yi'qie'jun'wei'jie 设若一切均为戒
'shen'ju'di'chu'chong'fu'shuo 身居低处重复说
'shen'you'biao'ye'xu'xing'zhuang 身有表业许形状
'shen'yu'qi'zhong'yi'wei'ye 身语七种亦为业
'shen'yu'zhi'ye'ji'deng'qi 身语之业及等起
'shen'zhi'ye'deng'bu'shan'ye 身之业等不善业
'sheng'chan'ding'zhe'ju'chan'jie 生禅定者具禅戒
'sheng'yin'yi'cheng'huai'mie'zhe 生因亦成坏灭者
'sheng'yu'wu'biao'ze'yi'tian 剩余无表则依田
'sheng'zhe'di'yi'cha'na'shi 圣者第一刹那时
'sheng'zhe'ju'you'wu'lou'jie 圣者具有无漏戒
'sheng'zhe'yi'bu'zao'shun'hou 圣者亦不造顺后
'sheng'zhe'ze'wu'you'biao'se 圣者则无有表色
'shi'gu'hou'shou'da'zun'zhong 是故后受大尊重
'shi'ji'jie'ti'wei'you'si 实际戒体唯有四
'shi'shan'bu'shan'bu'cun'zai 视善不善不存在
'shi'shou'gen'ben'zhong'duan'she 事寿根本中断舍
'shi'wei'shou'hu'ta'jie'gu 是为守护他戒故
'shi'wu'yi'ji'fu'tian'sheng 施物以及福田胜
'shi'ze'ji'shi'san'qing'jing 实则即是三清净
'shi'zhu'fei'se'fan'nao'xing 失诸非色烦恼性
'shi'zhu'shu'sheng'ju'xin'deng 施主殊胜具信等
'shou'chi'duan'chu'wu'ba'shi 受持断除五八十
'shou'e'jie'ju'shan'wu'biao 守恶戒具善无表
'shou'e'jie'zhe'yi'fu'ran 守恶戒者亦复然
'shou'jie'zhe'ju'e'wu'biao 守戒者具恶无表
'shou'zhong'jie'zhe'ru'ruo'you 守中戒者如若有
'shou'zhong'jie'zhe'xin'ruo'gu 守中戒者心弱故
'shun'bu'ku'bu'le'shou'ye 顺不苦不乐受业
'shun'ku'wei'ci'bu'shan'ye 顺苦唯此不善业
'shun'le'shou'ye'bi'yi'shang 顺乐受业彼以上
'shun'xian'fa'deng'san'ding'ye 顺现法等三定业
'si'fa'zhi'ren'li'tan'yu 四法智忍离贪欲
'si'ye'ji'shi'yi'zhi'ye 思业即是意之业
'si'yu'bu'shan'yi'zhi'ba 思与不善一至八
'si'yu'yi'le'zhi'da'xiao 思与意乐之大小
'si'zhong'fan'tian'zhi'fu'de 四种梵天之福德
'si'zuo'ye'wei'shen'yu'ye 思作业为身语业
'sui'fei'sheng'zhe'ran'er'yu 虽非圣者然而于
'sui'fu'de'fen'sui'jie'tuo 随福德分随解脱
'sui'jue'ze'fen'san'zhong'shan 随抉择分三种善
'sui'shi'jie'chu'an'le'shen 随时接触安乐身
'sui'wu'jie'shou'ru'ci'deng 虽无接受如慈等
'suo'duan'yu'jie'ju'sheng'shan 所断欲界俱生善
'suo'shuo'zhi'ye'you'si'zhong 所说之业有四种
'suo'wei'ba'zhong'bie'jie'tuo 所谓八种别解脱
'suo'wei'bie'jie'tuo'jie'zhe 所谓别解脱戒者
'suo'wei'deng'qi'fen'er'zhong 所谓等起分二种
'suo'wei'gui'yi'san'bao'zun 所谓皈依三宝尊
'suo'wei'kuang'xin'wei'yi'shi 所谓狂心唯意识
'suo'wei'san'zhong'wu'biao'se 所谓三种无表色
'suo'wei'san'zhong'zhu'miao'xing 所谓三种诸妙行
'suo'wei'shun'xian'fa'shou'ye 所谓顺现法受业
'suo'wei'yu'zhi'you'biao'ye 所谓语之有表业
'suo'xing'xie'yin'you'si'zhong 所行邪淫有四种
'suo'you'jia'hang'ju'you'biao 所有加行具有表
'suo'you'jun'shi'ci'di'duan 所有均是次第断
'suo'you'ran'wu'jie'qi'yu 所有染污皆绮语
'suo'you'shi'jian'shan'ye'zhong 所有世间善业中
'suo'zuo'deng'wei'deng'qi'shan 所作等为等起善
'ta'cai'ju'wei'ji'suo'you 他财据为己所有
'ta'di'ze'wei'san'huo'er 他地则为三或二
'ta'xu'chu'ci'ran'wu'xing 他许除此染污性
'ta'zhe'sui'yi'ju'zhai'jie 他者虽亦具斋戒
'tan'deng'bi'hou'ji'sheng'gu 贪等彼后即生故
'tan'xin'deng'sui'fei'wei'ye 贪心等虽非为业
'tan'xin'dian'dao'tu'ta'cai 贪心颠倒图他财
'tan'xin'suo'sheng'shen'yu'ye 贪心所生身语业
'tan'xin'xie'jian'yin'bi'ju 贪心邪见隐蔽具
'tang'ruo'yi'wei'zhu'xue'chu 倘若已违诸学处
'ti'qian'tong'shi'er'si'wang 提前同时而死亡
'tian'shu'sheng'you'qu'tong'ku 田殊胜由趣痛苦
'tian'yi'ju'jie'ren'san'zhong 天亦具戒人三种
'tong'ku'zhi'gu'sha'hai'gu 痛苦之故杀害故
'tou'sheng'shan'qu'gui'zu'jia 投生善趣贵族家
'wang'yu'ji'zhuan'ta'xiang'fa 妄语即转他想法
'wei'de'shan'qu'jie'zhong'yao 为得善趣戒重要
'wei'li'fan'nao'xiu'zhong'yao 为离烦恼修重要
'wei'neng'mie'jin'hei'zhi'ye 唯能灭尽黑之业
'wei'po'seng'zhong'shuo'wang'yu 为破僧众说妄语
'wei'she'jian'ju'xian'wu'biao 未舍间具现无表
'wei'yi'xie'jian'duan'shan'gen 唯以邪见断善根
'wei'zhi'ding'zhong'cheng'duan'chu 未至定中称断除
'wei'zi'ta'li'wei'er'li 为自他利为二利
'wu'biao'bu'ding'hou'xing'fan 无表不定后行反
'wu'biao'se'wei'wu'zhi'shou 无表色为无执受
'wu'biao'ye'wu'wu'ji'fa 无表业无无记法
'wu'gen'shi'ze'wei'zheng'hang 五根识则为正行
'wu'ji'fa'ji'qian'suo'shuo 无记法即前所说
'wu'ji'ye'sheng'shan'fa'deng 无记业生善法等
'wu'jian'dao'zhong'sheng'bi'er 无间道中生彼二
'wu'jian'deng'chi'jing'lv'du 无间等持静虑度
'wu'jian'zui'ye'san'zhou'you 无间罪业三洲有
'wu'jian'zui'zhi'zhu'ye'zhang 无间罪之诸业障
'wu'lou'chan'ding'suo'sheng'jie 无漏禅定所生戒
'wu'lou'jie'chu'shu'sheng'chan 无漏戒除殊胜禅
'wu'lou'jie'yi'sheng'dao'huo 无漏戒依圣道获
'wu'lou'shan'ye'wei'shan'miao 无漏善业为善妙
'wu'lou'sui'sheng'chu'da'zhong 无漏随生处大种
'wu'lou'ye'ze'ju'si'guo 无漏业则具四果
'wu'lou'yu'wu'ji'ju'san 无漏余无记具三
'wu'se'suo'she'yi'fu'ran 无色所摄亦复然
'wu'se'wu'xiang'tian'zhong'sheng 无色无想天众生
'wu'wei'yan'gu'guo'san'zhong 无威严故果三种
'wu'wu'sha'hai'ta'zhong'sheng 无误杀害他众生
'wu'xiang'tian'zhong'bei'ju'zhou 无想天众北俱洲
'wu'xiang'zhong'sheng'wu'se'ju 无想众生无色具
'wu'xin'zhi'ding'fei'yin'ye 无心之定非引业
'wu'xue'fa'yu'you'wu'xue 无学法与有无学
'wu'xue'shen'yu'ye'yi'san 无学身语业意三
'wu'xue'ye'guo'you'xue'deng 无学业果有学等
'wu'xun'shan'ye'zhi'yi'shu 无寻善业之异熟
'wu'you'dui'zhi'ju'cong'shu 无有对治具从属
'wu'you'qian'hou'cheng'shu'san 无有前后成熟三
'wu'you'yi'ri'zhi'e'jie 无有一日之恶戒
'xia'pin'jie'deng'ze'sui'xin 下品戒等则随心
'xian'ye'er'guo'wei'sheng'ye 现业二果未生业
'xian'ye'wei'lai'yi'fu'ran 现业未来亦复然
'xiang'fan'bu'shan'you'sheng'yi 相反不善有胜义
'xiang'ying'bi'deng'xiang'ying'shan 相应彼等相应善
'xie'jian'you'chi'er'jiu'jing 邪见由痴而究竟
'xie'ming'nan'jing'gu'ling'shuo 邪命难净故另说
'xie'yin'ji'shou'qian'ze'gu 邪淫极受谴责故
'xie'yin'tan'xin'bu'yu'qu 邪淫贪心不予取
'xing'xing'se'se'shi'jian'jie 形形色色世间界
'xiu'duan'ye'sheng'bi'deng'guo 修断业生彼等果
'xu'bi'wei'po'fa'lun'seng 许彼为破法轮僧
'xu'wei'xin'shou'bu'shan'shen 许唯心受不善身
'xuan'shuo'jie'lv'ru'bi'qiu 宣说戒律如比丘
'yan'er'yi'shi'san'jue'zhi 眼耳意识三觉知
'ye'le'bu'le'yu'qi'ta 业乐不乐与其他
'ye'yi'bian'wei'qing'yu'zhong 业亦变为轻与重
'yi'bi'dui'zhi'yu'ji'mie 依彼对治与寂灭
'yi'bi'ze'hui'shi'zheng'nian 依彼则会失正念
'yi'bu'fang'yi'san'jin'xing 一不放逸三禁行
'yi'bu'xin'luan'ren'jie'du 亦不心乱忍戒度
'yi'cha'na'hou'ju'guo'qu 一刹那后具过去
'yi'chan'chen'xin'tan'xin'sheng 依谄嗔心贪心生
'yi'ci'ju'er'san'si'guo 依次具二三四果
'yi'ci'li'ming'wei'ju'shi 依次立名为居士
'yi'ci'nai'wei'san'neng'ren 依次乃为三能仁
'yi'ci'yuan'man'bu'shi'du 以此圆满布施度
'yi'da'bei'xin'shi'yi'qie 以大悲心施一切
'yi'da'fo'xin'fei'wu'jian 以打佛心非无间
'yi'er'zhe'yu'xian'zhong'de 依二者与现众得
'yi'gong'jing'deng'zuo'bu'shi 以恭敬等作布施
'yi'huo'yi'jing'guo'yi'ye 抑或已经过一夜
'yi'ji'cheng'wei'jiao'ao'zhe 以及成为骄傲者
'yi'ji'yi'qie'zhu'suo'duan 以及一切诸所断
'yi'kao'zheng'hang'zhu'shi'de 依靠正行诸时得
'yi'qie'qu'you'si'yin'ye 一切趣有四引业
'yi'qie'ren'jun'ru'zuo'zhe 一切人均如作者
'yi'san'wei'yi'nai'shi'dao 意三唯一乃是道
'yi'shi'yi'zhi'san'e'xing 亦是意之三恶行
'yi'shou'bu'zuo'de'jie'gu 易守不作得戒故
'yi'shu'sheng'xin'fei'er'zhe 异熟生心非二者
'yi'shu'shou'ye'ding'bu'ding 异熟受业定不定
'yi'shu'xian'qian'wu'shou'ye 异熟现前五受业
'yi'shu'zuo'yi'ji'ji'ye 异熟作已积集业
'yi'ta'you'biao'se'deng'de 依他有表色等得
'yi'tian'yi'le'zhi'cha'bie 依田意乐之差别
'yi'wei'shou'hai'bu'tiao'you 依畏受害不调忧
'yi'wei'xiu'duan'nai'er'zhe 意为修断乃二者
'yi'ye'neng'yin'yi'sheng'shi 一业能引一生世
'yi'yi'yin'bi'xian'xing'shi 亦以隐蔽现行式
'yi'yin'bi'shi'ju'qi'ye 以隐蔽式具七业
'yi'yu'gong'yang'rao'yi'xin 以欲供养饶益心
'yi'zhao'cheng'nuo'er'de'jie 依照承诺而得戒
'yin'er'bi'zi'zuo'yi'ran 淫二彼自做亦然
'yin'wu'zheng'hang'sheng'ta'shen 因无正行生他身
'yin'xu'cheng'xu'shu'sheng'chan 因需承许殊胜禅
'yin'yu'bi'deng'di'zhi'zhong 因于彼等地之中
'yin'zhong'sheng'guo'wu'miu'gu 因中生果无谬故
'ying'shi'wu'you'wei'yuan'de 应时无有违缘得
'yong'li'bi'di'tan'yu'gu 永离彼地贪欲故
'you'bi'mei'mao'ju'ming'sheng 由彼美貌具名声
'you'biao'se'ze'yu'yi'qie 有表色则于一切
'you'biao'ye'yu'ju'xun'chu 有表业于具寻处
'you'cong'zhuan'sheng'tui'shi'she 由从转生退失舍
'you'ding'chan'xin'guo'zui'da 有顶禅心果最大
'you'duan'shan'gen'zhuan'shang'she 由断善根转上舍
'you'fu'xia'lie'yu'ju'zui 有覆下劣与具罪
'you'jie'xing'tian'ji'jia'hang 由结行田基加行
'you'lou'shen'ji'yu'zhi'ye 有漏身及语之业
'you'san'mo'di'suo'chan'sheng 由三摩地所产生
'you'shuo'di'yu'shou'hei'ye 有说地狱受黑业
'you'shuo'fan'zui'yi'she'jie 有说犯罪亦舍戒
'you'shuo'xia'yi'you'she'shou 有说下亦有舍受
'you'wei'cha'na'huai'mie'gu 有为刹那坏灭故
'you'wei'shan'fa'dang'jing'yi 有为善法当敬依
'you'wei'shi'gui'yi'fu'ran 有谓失轨亦复然
'you'wei'wu'ye'yu'shuo'si 有谓五业余说四
'you'wu'fu'yi'wu'guo'qu 有无覆亦无过去
'you'xue'you'xue'deng'san'guo 有学有学等三果
'yu'bai'jie'zhong'fang'neng'yin 余百劫中方能引
'yu'chu'ze'yi'xian'xing'shi 余处则以现行式
'yu'cong'mie'ding'wu'fan'nao 于从灭定无烦恼
'yu'de'wu'lai'luo'han'ren 于得无来罗汉忍
'yu'ding'bu'wen'zhe'yi'fei 欲顶不稳者亦非
'yu'jie'she'shan'wei'za'ye 欲界摄善为杂业
'yu'jie'suo'she'fei'se'shan 欲界所摄非色善
'yu'jie'suo'she'wu'biao'se 欲界所摄无表色
'yu'jie'suo'she'yi'qie'jie 欲界所摄一切戒
'yu'jie'suo'sheng'hei'bai'ye 欲界所生黑白业
'yu'jing'wei'gu'fei'ru'shi 与经违故非如是
'yu'li'yi'ji'gong'de'tian 于利益及功德田
