'a'da'ri'ge 阿达日格
'ban'gang'xing'ji'ceng 半刚性基层
'ban'gui'zha 扳轨闸
'ban'he'zhan 拌和站
'ban'huo'chang 拌和厂
'ban'huo'wu 拌和物
'ban'mao'jing 班猫箐
'ban'qi 板其
'ban'shi'gui'dao 板式轨道
'ban'shi'he 板石河
'ban'tao 板桃
'ban'tian'ban'wa 半填半挖
'ban'yuan'zhen'mu 半圆枕木
'ban'yun'gong'ren 搬运工人
'ban'zhan'tang 半占塘
'ban'zhang'zi 板杖子
'ban'zi'dong'bi'se 半自动闭塞
'ban'zi'dong'bi'se'ji 半自动闭塞机
'bang'ning 蚌宁
'bang'shi'jue'yuan'zi 棒式绝缘子
'bao'bai'xian 包白线
'bao'bi'tong'zhuang 薄壁筒桩
'bao'cheng'cheng'yu'xian 宝成成渝线
'bao'cheng'xian 宝成线
'bao'er'hai 包尔海
'bao'guan'ying 包官营
'bao'hu'qu'duan 保护区段
'bao'huan'xian 包环线
'bao'jin 保津
'bao'la'ge 宝拉格
'bao'lan'er'xian 宝兰二线
'bao'lan'xian 包兰线
'bao'lan'xian 宝兰线
'bao'lao'shan 宝老山
'bao'long'shan 宝龙山
'bao'men'xiang 宝门乡
'bao'mu'tu 宝木吐
'bao'nan 包南
'bao'quan'sheng'yu 保全盛誉
'bao'shi'tu 堡石图
'bao'shi'xian 包石线
'bao'tou'bei 包头北
'bao'tou'dong 包头东
'bao'tou'xi 包头西
'bao'wen'lie'che 保温列车
'bao'xi'xian'shen'zhong'duan 包西线神钟段
'bao'xia 鲍峡
'bao'yuan 葆园
'bao'yun 包运
'bao'zhong'xian 宝中线
'bei'dai'he'lian'xian 北戴河连线
'bei'deng 北磴
'bei'gan'qi 北甘旗
'bei'hei'xian 北黑线
'bei'jiao'dao 被交道
'bei'jiao'dao'lu 被交道路
'bei'jing'nan 北京南
'bei'jing'tie'lu'ju 北京铁路局
'bei'ke'man'liang 贝克曼梁
'bei'kong'dian 被控点
'bei'ma'quan'zi 北马圈子
'bei'mou 北牟
'bei'piao'nan 北票南
'bei'rao'yang 北绕阳
'bei'san'jia 北三家
'bei'tai'zi 北台子
'bei'tian'shou 北田受
'bei'tong'pu'xian 北同蒲线
'bei'tou'he 北头河
'bei'xing'an 北兴安
'bei'yi'jing 北义井
'bei'yin'he 背荫河
'bei'zhao'dian 北召店
'ben'hong 贲红
'ben'wu 本务
'ben'zhuang'li'yong 本桩利用
'bi'ban 臂板
'bi'ban'jie'chu'qi 臂板接触器
'bi'ban'shi'xin'hao'ji 臂板式信号机
'bi'ban'xin'hao 臂板信号
'bi'ban'xin'hao'ji 壁板信号机
'bi'ban'zhuan'ji'qi 臂板转极器
'bi'jiao'fang'an 比较方案
'bi'ke'qi 毕克齐
'bi'nan'xian 避难线
'bi'se'fen'qu 闭塞分区
'bi'se'ji 闭塞机
'bi'zhou 碧州
'bian'dao 便道
'bian'gou 边沟
'bian'po'fang'hu 边坡防护
'bian'po'jia'gu 边坡加固
'bian'ya'qi 变压器
'bian'zhao 边昭
'biao'chu 表处
'biao'guan'mi'du 表观密度
'biao'zhun'bian'gou 标准边沟
'biao'zhun'cha 标准差
'biao'zhun'gui'ju 标准轨距
'biao'zhun'heng'duan'mian 标准横断面
'biao'zhun'kua'jing 标准跨径
'biao'zhun'sui'shi'shai 标准碎石筛
'biao'zhun'yang'hu'shi 标准养护室
'bie'shan 别山
'bin'bei'xian 滨北线
'bin'bo'gao'su'gong'lu 滨博高速公路
'bin'jiang 彬江
'bin'sui'xian 滨绥线
'bing'fu'qi'hou 禀赋奇厚
'bing'gu 丙谷
'bing'zhi'xin'hao'dian 并置信号点
'bo'dao 拨道
'bo'dao'ji 拨道机
'bo'ke'tu 博克图
'bo'lang'mo'hao 波浪磨耗
'bo'li'shan 玻璃山
'bo'lin'xian 博林线
'bo'luo'chi 波罗赤
'bo'ming 播明
'bo'qi'xian 勃七线
'bo'shan'xian 博山线
'bo'xing'hu'lan 波形护栏
'bo'xing'mo'hao 波形磨耗
'bo'zhong'cao'zi 播种草籽
'bu'dun'hua 布敦化
'bu'hai 布海
'bu'ji 补机
'bu'kong 部控
'bu'long'nao 补隆淖
'bu'tian'bu'wa 不填不挖
'bu'xi'tou 埠西头
'bu'zi'wan 堡子湾
'ca'er 擦耳
'cai'jia'gou 蔡家沟
'cai'liao 材料
'cai'liao'gong'ying'ji'hua 材料供应计划
'cai'shi'chang 采石场
'cai'yuan'zeng'xiao 裁员增效
'cai'zhi'bu'liang 材质不良
'can'chang'tun 蚕厂屯
'can'hao 惨嗥
'can'xing'ming'mie 残星明灭
'cang'shan'zhen 仓山镇
'cao'dian 草店
'cao'gui 操规
'cao'he'kou 草河口
'cao'jia'ba 曹家坝
'cao'jia'bao 曹家堡
'cao'jia'huo'chang 曹家伙场
'cao'jia'wan 曹家湾
'cao'jia'ying'zi 曹家营子
'cao'liu'ge'er 草六格尔
'cao'miao'zi 草庙子
'cao'zhe 槽辙
'cao'zi'li 曹子里
'ce'chang 测长
'ce'shi'huan'xian 测试环线
'ce'su'chuan'gan'qi 测速传感器
'ce'su'fa'dong'ji 测速发动机
'ce'su'lei'da 测速雷达
'ce'zhong 测重
'ce'zhuang 侧撞
'ce'zu 测阻
'cha'bai'hu 叉百户
'cha'bu'ga 查布嘎
'cha'dian 茶淀
'cha'er'han 察尔汗
'cha'gan'ha'da 查干哈达
'cha'gan'mang'he 查干芒和
'cha'gan'nuo'er 查干诺尔
'cha'gan'te'ge 查干特格
'cha'jiang 岔江
'cha'jie'bu'liang 插接不良
'cha'piao'yuan 查票员
'cha'qie'xiao 插切销
'cha'qu 岔区
'cha'su'qi 察素齐
'cha'tan 岔滩
'cha'tiao'gou 茶条沟
'cha'xi'tan 岔西滩
'cha'xian 岔线
'cha'xin 岔心
'cha'xin'hu 岔心护
'cha'xun'ying'da'qi 查询应答器
'cha'zhen 岔枕
'cha'zhong'jue'yuan 岔中绝缘
'chai'gang 柴岗
'chai'he 柴河
'chan'hui 掺灰
'chang'bai'xian 长白线
'chang'ban'fa'shi'gong 厂拌法施工
'chang'chang 长常
'chang'cheng'liang 长城梁
'chang'chong 长冲
'chang'chun 长春
'chang'chun'dong 长春东
'chang'chun'nan 长春南
'chang'di'ying'hua 场地硬化
'chang'dian 长甸
'chang'fa'liao 厂发料
'chang'fa'tun 长发屯
'chang'gang'gui 长钢轨
'chang'gang'ling 长岗岭
'chang'gui 长轨
'chang'gui'lie'che 长轨列车
'chang'gui'tiao'han'jie 长轨条焊接
'chang'han 厂汗
'chang'he'ba 长河坝
'chang'he'bian 长河碥
'chang'jian'lian'xi'dian'lu 场间联系电路
'chang'jiang'bu 长江埠
'chang'jing'xian 长荆线
'chang'kao'yi 长靠椅
'chang'nong 长农
'chang'ping'bei 昌平北
'chang'po'ling 长坡岭
'chang'sha'ba 长沙坝
'chang'sha'geng 长沙埂
'chang'shan'bao 长山堡
'chang'shan'tun 长山屯
'chang'sheng'gou 长胜沟
'chang'si 长四
'chang'tan'gou 长潭沟
'chang'ting'zhen 长汀镇
'chang'tu'xian 长图线
'chang'ying 长营
'chang'zhen 长畛
'chang'zhi'bei 长治北
'chao'bei 巢北
'chao'chang'lie'che 超长列车
'chao'gao 超高
'chao'ge'wen'duo'er 朝格温多尔
'chao'guan 超灌
'chao'gui 超规
'chao'wu'xian 朝乌线
'chao'xian'che 超限车
'chao'xian'huo'wu'lie'che 超限货物列车
'chao'xian'lie'che 超限列车
'chao'yuan 朝原
'chao'zai'yu'ya 超载预压
'che'hao'yuan 车号员
'che'ji'lian'kong 车机联控
'che'jia'ying'zi 车家营子
'che'liang'duan 车辆段
'che'lie 车列
'che'tong 车统
'che'wu'duan 车务段
'che'zhan'biao 车站表
'che'zhan'da'ting 车站大厅
'che'zhan'kong'zhi 车站控制
'che'zhan'she'ji 车站设计
'che'zhan'zhi'ban'yuan 车站值班员
'che'zhuan'wan 车转湾
'chen'chun 沉椿
'chen'dian'hou'du 沉淀厚度
'chen'guan'ying 陈官营
'chen'jia'hu 陈家湖
'chen'jiang 沉降
'chen'jiang'feng 沉降缝
'chen'ming 晨明
'chen'qing 辰清
'chen'xiang'tun 陈相屯
'cheng'an'pu 承安铺
'cheng'de'dong 承德东
'cheng'du'dong 成都东
'cheng'du'nan 成都南
'cheng'du'rao'cheng'gao'su 成都绕城高速
'cheng'gao'zi 成高子
'cheng'gui 城轨
'cheng'guo'biao 成果表
'cheng'ji'xian 城鸡线
'cheng'jia 程家
'cheng'jia'bao 程家堡
'cheng'ju'gui'duan 成局贵段
'cheng'ju'yu'duan 成局渝段
'cheng'li'suo 承力索
'cheng'shi'dao'lu'biao'xian 城市道路标线
'cheng'shi'gui'dao'jiao'tong 城市轨道交通
'cheng'shi'zao'sheng 城市噪声
'cheng'tai 承台
'cheng'wu 成五
'cheng'wu'yuan 乘务员
'cheng'yu'xian 成渝线
'cheng'zai'bi 承载比
'cheng'zai'li 承载力
'cheng'zi'tan 城子坦
'chi'feng'dong 赤峰东
'chi'feng'xi 赤峰西
'chi'he 池河
'chi'mu'ling 赤木岭
'chong'qing'bei 重庆北
'chong'qing'xi 重庆西
'chong'zai'huo'wu'lie'che 重载货物列车
'chou'dong 筹洞
'chu'lu'tu 楚鲁图
'chu'ning'shi'jian 初凝时间
'chu'shan 楚山
'chuan'gong 川弓
'chuan'qian'xian 川黔线
'chuan'shu'ji'dian'qi 传输继电器
'chuan'xin'dian 穿心店
'chuan'zi'gou 串子沟
'chuang'dai 窗带
'chuang'ye'cun 创业村
'chun'ting'ge 春亭阁
'chun'wan 春湾
'ci'chang'xue'ruo 磁场削弱
'ci'chong 茨冲
'ci'ka'che'piao 磁卡车票
'ci'ka'piao 磁卡票
'ci'lai'xian 磁莱线
'ci'shan 磁山
'ci'xi 磁西
'cu'li'shi 粗粒式
'cu'li'tu 粗粒土
'cu'luo'xuan 粗螺旋
'cu'ning'ji 促凝剂
'cui'gang 翠岗
'cui'huang'kou 崔黄口
'cun'liang'chang 存梁场
'cun'xing'li 存行李
'cuo'gang 嵯岗
'cuo'wu'ban'li 错误办理
'cuo'wu'guan'bi'xin'hao 错误关闭信号
'cuo'wu'jie'suo 错误解锁
'cuo'wu'kai'fang'xin'hao 错误开放信号
'cuo'wu'suo'bi 错误锁闭
'cuo'wu'xian'shi 错误显示
'da'an'bei 大安北
'da'ban 搭板
'da'ban'cheng 达板城
'da'chai'gou 打柴沟
'da'chang'xian 大厂县
'da'cheng'xian 达成线
'da'deng'gou 大磴沟
'da'dian 大甸
'da'gai 达盖
'da'gu'jia 大姑家
'da'guan'chong 大关冲
'da'guan'ling 大观岭
'da'guan'tun 大官屯
'da'han 大罕
'da'he'bian 大河边
'da'he'cha 大河岔
'da'he'qiao 大河桥
'da'hu'shan 大虎山
'da'huang'di 大荒地
'da'jia'gou 达家沟
'da'jian 大涧
'da'jiu'zhuang 大旧庄
'da'kou'qin 大口钦
'da'kou'tun 大口屯
'da'kun'lun 大昆仑
'da'la'bin 达拉滨
'da'la'hai 打拉亥
'da'lai'long'tie'lu 大莱龙铁路
'da'li'bao 大里堡
'da'li'zi 大栗子
'da'lian 大连
'da'lian'tie'dao'xue'yuan 大连铁道学院
'da'lin 大临
'da'lin 大凛
'da'liu'jia 大刘家
'da'lu'hao 大陆号
'da'mi'xi 大米溪
'da'min'tun 大民屯
'da'ni 大拟
'da'pan'shi 大盘石
'da'ping'fang 大平房
'da'qi'la'ha 大其拉哈
'da'qiao 大桥
'da'quan'yan 大泉眼
'da'ri'qi'ga 达日其嘎
'da'rong'jiang 大溶江
'da'shi'zhai 大石寨
'da'song'shu 大松树
'da'tian'bian 大田边
'da'tong'dong 大同东
'da'tu'shan 大土山
'da'wan'xian 达万线
'da'wan'zi 大湾子
'da'wang'tan 大王滩
'da'wu'su 大乌苏
'da'xia 大峡
'da'xing'gou 大兴沟
'da'xing'yang'lu'ji'xie 大型养路机械
'da'xiu'dui 大修队
'da'xu'tun 大徐屯
'da'yang 打羊
'da'yang'cha 大阳岔
'da'yang'qi 大扬气
'da'yang'shu'dong 大杨树东
'da'ying'bian 大应变
'da'ying'zi 大营子
'da'zhang'zi 大杖子
'da'zheng'xian 大郑线
'da'zhou'dong 达州东
'dai'dong'dao'cha 带动道岔
'dai'lei'gang'jin 带肋钢筋
'dai'ma'gou 代马沟
'dai'wan 代湾
'dai'wang 待王
'dai'zhuang'sha'jing 袋装砂井
'dan'cao 单操
'dan'dong'dao'cha 单动道岔
'dan'gui'tie'lu 单轨铁路
'dan'han'zhan'chu 胆寒战怵
'dan'ji'pei 单级配
'dan'kai'dao'cha 单开道岔
'dan'la 丹拉
'dan'la'gao'su'gong'lu 丹拉高速公路
'dan'pin'gan'ying'qi 单频感应器
'dan'tiao'shi'kou'jian 弹条式扣件
'dan'wei'gong'cheng 单位工程
'dan'xiang'gong'cheng 单项工程
'dan'xiang'zi'dong'bi'se 单向自动闭塞
'dan'yuan'mo'kuai 单元模块
'dan'zhi'xin'hao'dian 单置信号点
'dan'zhou'kang'ya'qiang'du 单轴抗压强度
'dang'di'liao 当地料
'dang'feng'qiang 挡风墙
'dang'tu'qiang 挡土墙
'dang'tu'qiang'dang'qiang 挡土墙挡墙
'dang'zha 宕渣
'dao'ban'gong 道班工
'dao'bao 到保
'dao'cha 道岔
'dao'cha 道碴
'dao'cha'biao'shi 道岔表示
'dao'cha'biao'shi'dian'yuan 道岔表示电源
'dao'cha'biao'shi'qi 道岔表示器
'dao'cha'cuo'wu'biao'shi 道岔错误表示
'dao'cha'ding'wei'biao'shi 道岔定位表示
'dao'cha'dong'zuo'dian'yuan 道岔动作电源
'dao'cha'fan'wei'biao'shi 道岔反位表示
'dao'cha'feng'suo 道岔封锁
'dao'cha'fu'dai'qu'xian 道岔附带曲线
'dao'cha'geng'huan 道岔更换
'dao'cha'geng'huan 道碴更换
'dao'cha'geng'huan'ji 道碴更换机
'dao'cha'hou'du 道碴厚度
'dao'cha'kong'zhi'dian'lu 道岔控制电路
'dao'cha'kong'zhi'dian'yuan 道岔控制电源
'dao'cha'mi'tie 道岔密贴
'dao'cha'pu'she 道岔铺设
'dao'cha'qi'dong 道岔启动
'dao'cha'qing'shai 道碴清筛
'dao'cha'qing'shai'ji 道碴清筛机
'dao'cha'qu'duan 道岔区段
'dao'cha'ren'gong'jie'suo 道岔人工解锁
'dao'cha'she'ji 道岔设计
'dao'cha'shi'qu'biao'shi 道岔失去表示
'dao'cha'shun'xu'qi'dong 道岔顺序启动
'dao'cha'shun'xu'zhuan'huan 道岔顺序转换
'dao'cha'suo'bi'biao'shi 道岔锁闭表示
'dao'cha'wo'bing 道岔握柄
'dao'cha'yang'hu 道岔养护
'dao'cha'zhong'tu'zhuan'huan 道岔中途转换
'dao'che'shi'ke'biao 到车时刻表
'dao'cheng'xian'qu 道成仙去
'dao'chi 道尺
'dao'chuang 道床
'dao'chuang'ban'jie 道床板结
'dao'chuang'fu'gai 道床覆盖
'dao'chuang'hang'pai'ji 道床夯拍机
'dao'chuang'qing'sao'ji 道床清扫机
'dao'chuang'zang'wu 道床脏污
'dao'chuang'zheng'xing 道床整形
'dao'chuang'zu'li 道床阻力
'dao'chuang'zuo'ye 道床作业
'dao'ding'chui 道钉锤
'dao'ding'ji 道钉机
'dao'er'deng 刀尔登
'dao'gu'che 捣固车
'dao'hong'xi 倒虹吸
'dao'hong'xi'guan'han 倒虹吸管涵
'dao'hu 倒湖
'dao'kou 道口
'dao'kou'da'xiu 道口大修
'dao'kou'jie'jin'qu'duan 道口接近区段
'dao'kou'lu'mian 道口路面
'dao'kou'shan'guang'xin'hao 道口闪光信号
'dao'kou'xin'hao'ji 道口信号机
'dao'kou'zhe'duan'xin'hao 道口遮断信号
'dao'lao'du 道老杜
'dao'lu'biao'xian 道路标线
'dao'lu'biao'zhi 道路标志
'dao'lu'fu'wu'she'shi 道路服务设施
'dao'lu'gong'cheng 道路工程
'dao'lu'huan'jing 道路环境
'dao'lu'jiao'tong'biao'zhi 道路交通标志
'dao'lu'jing'guan 道路景观
'dao'lu'lv'hua 道路绿化
'dao'lu'mei'hua'she'shi 道路美化设施
'dao'lu'she'shi 道路设施
'dao'lu'you'dao'she'shi 道路诱导设施
'dao'lun'guo'le 道仑郭勒
'dao'qing 道清
'dao'qu'xian 导曲线
'dao'zha 道渣
'dao'zha'dian'rong 道渣电容
'dao'zha'dian'zu 道渣电阻
'dao'zhen 道镇
'de'bo'si 德伯斯
'de'er'bu'er 得耳布尔
'de'ri'si'tu 德日斯图
'de'sheng'cun 得胜村
'de'sheng'tai 得胜台
'de'tian'xian 德天线
'deng'guang'zhuan'yi 灯光转移
'deng'ji'gong'lu 等级公路
'deng'ji'lu 等级路
'deng'jia'wan 邓家湾
'deng'qiao 灯桥
'deng'sha'he 登沙河
'deng'si'duan'si 灯丝断丝
'deng'si'duan'si'bao'jing 灯丝断丝报警
'deng'wai'gong'lu 等外公路
'deng'wai'lu 等外路
'deng'ying'ya 登瀛崖
'di'dui'xin'hao 敌对信号
'di'ji'ceng 底基层
'di'jie'tou 低接头
'di'liu 底流
'di'mian'she'bei 地面设备
'di'mian'xin'hao 地面信号
'di'tie 地铁
'di'wo'pu 低窝铺
'di'xia'lian'xu'qiang 地下连续墙
'di'zhuang 低庄
'dian'cha'qi'dao 垫碴起道
'dian'ding 垫顶
'dian'dong'xin'hao 电动信号
'dian'dong'zhuan'zhe'ji 电动转辙机
'dian'hua'bi'se 电话闭塞
'dian'kong'zhuan'zhe'ji 电空转辙机
'dian'li'gong'qu 电力供区
'dian'li'ji'che 电力机车
'dian'li'xian'lu'she'bei 电力线路设备
'dian'ma'hua 电码化
'dian'po 店坡
'dian'qi'hua'qu'duan 电气化区段
'dian'qi'hua'tie'lu 电气化铁路
'dian'qi'lu'pai'bi'se 电气路牌闭塞
'dian'qi'suo'bi 电气锁闭
'dian'wu 电务
'dian'wu'chu 电务处
'dian'wu'duan 电务段
'dian'xin 甸心
'dian'ya'guo'di 电压过低
'dian'ye'zhuan'zhe'ji 电液转辙机
'dian'yuan'duan'zi 电源端子
'diao'che 调车
'diao'che'biao'shi'qi 调车表示器
'diao'che'chang 调车场
'diao'che'xin'hao'ji 调车信号机
'diao'che'yuan 调车员
'diao'che'zuo'ye 调车作业
'diao'du 调度
'diao'du'ji'che 调度机车
'diao'du'ji'zhong 调度集中
'diao'du'ji'zhong'fen'ji 调度集中分机
'diao'du'ji'zhong'zong'ji 调度集中总机
'diao'du'jian'du'xi'tong 调度监督系统
'diao'du'kong'zhi 调度控制
'diao'du'ming'ling 调度命令
'diao'du'yuan 调度员
'diao'du'zhi'hui 调度指挥
'diao'jia'duan 刁家段
'die'jia'gui'dao'dian'lu 叠加轨道电路
'ding'biao 定标
'ding'ce 定测
'ding'e'ku 定额库
'ding'fan'wei 定反位
'ding'gang'gan'bu 盯岗干部
'ding'jia'yuan 丁家园
'ding'tui'shi'gong 顶推施工
'ding'wei'guan 定位管
'ding'wei'jie'dian 定位接点
'ding'wei'suo'bi 定位锁闭
'dong'bian'jing 东边井
'dong'che'zu'jian'ce'che 动车组检测车
'dong'cheng 动程
'dong'da'ba 东大坝
'dong'da'dao 东大道
'dong'feng'bei 东丰北
'dong'fu'xin 东阜新
'dong'gou'men 东沟门
'dong'hao 东壕
'dong'jia'mu'si 东佳木斯
'dong'jia'ping 董家坪
'dong'jie'dian 动接点
'dong'kou'pu'qi 洞口铺砌
'dong'li'che'zu 动力车组
'dong'li'wen'ding'che 动力稳定车
'dong'liang 东梁
'dong'nan'ying'zi 东南营子
'dong'quan 氡泉
'dong'sheng'ba 东升坝
'dong'shui'xia 东水峡
'dong'tai'chang'du 动态长度
'dong'tian'liang 东田良
'dong'tong'hua 东通化
'dong'tu'lu'ji 冻土路基
'dong'xu 东戌
'dong'yu'di 东淤地
'dong'yu'lin 东榆林
'dong'yuan'yu'fu'kuan 动员预付款
'dong'zhang 冻胀
'dong'zi'cun 洞子村
'dong'zi'ya 洞子崖
'dou'ba 豆坝
'dou'gou'zi 斗沟子
'dou'hai 豆海
'dou'hu'tun 斗虎屯
'dou'la'ying 都拉营
'dou'lun 都伦
'dou'luo 豆罗
'dou'yu 窦妪
'dou'zhang'zhuang 豆张庄
'du'er'ji 杜尔基
'du'feng'ding 独峰顶
'du'kou 渡口
'du'kou'xian 渡口线
'du'li'tun 独立屯
'du'shi 渡市
'du'shu'pu 读书铺
'du'zhao 杜赵
'duan'guan'xian 段管线
'duan'gui 断轨
'duan'gui'jian'cha 断轨检查
'duan'jia'ling 段甲岭
'duan'mian'chi'cun 断面尺寸
'duan'mian'xing'shi 断面形式
'duan'xi 段细
'duan'zhuang 断桩
'dui'qing'shan 对青山
'dui'tian'meng'shi 对天盟誓
'dui'zhen 兑镇
'dun'gui'zhuan'zhe'qi 钝轨转辙器
'dun'huang'xian 敦煌线
'dun'tai 墩台
'duo'fei'chun'she 多费唇舌
'duo'xian'tie'lu 多线铁路
'er'cha 二岔
'er'dao'sha'he 二道沙河
'er'dao'yan 二道岩
'er'deng'piao 二等票
'er'deng'wo'che 二等卧车
'er'hui'tu 二灰土
'er'ji'gong'lu 二级公路
'er'long'shan'tun 二龙山屯
'er'mi'he 二密河
'er'sai'he 尔塞河
'er'tang'qu 二塘区
'er'ying 二营
'er'ying'zi 二营子
'fa'che 发车
'fa'che'jin'lu 发车进路
'fa'che'shi'ke'biao 发车时刻表
'fa'che'wei 发车位
'fa'che'xin'hao 发车信号
'fa'dian'che 发电车
'fa'er 发耳
'fan'chang'bei 繁昌北
'fan'guang'tu'liao 反光涂料
'fan'jia'tun 范家屯
'fan'jia'yao 范家窑
'fan'jiang'mao'ni 翻浆冒泥
'fang'feng'zhi'zhu 防风支柱
'fang'fu'zhen'mu 防腐枕木
'fang'hong'yu'qiang'gong'cheng 防洪预抢工程
'fang'hu'gong'cheng 防护工程
'fang'jian'da'xiu 房建大修
'fang'jian'duan 房建段
'fang'jian'gong'cheng 房建工程
'fang'jian'jian'xiu 房建检修
'fang'jian'wei'xiu 房建维修
'fang'lei'dan'yuan 防雷单元
'fang'liu 防溜
'fang'pa'zhi'cheng 防爬支撑
'fang'san'wen'du'li 放散温度力
'fang'shan'zhen 芳山镇
'fang'shui'lin 防水林
'fang'xuan'ban 防眩板
'fang'xuan'wang 防眩网
'fang'xue'shan 防雪栅
'fang'xue'shu'li 防雪树篱
'fang'xue'zhang 防雪障
'fang'zhang 放张
'fang'zhen'gui'dao 防振轨道
'fang'zhuang'hu'lan 防撞护栏
'fang'zhuang'po'ling 防撞破凌
'fei'biao'zhun'gui'ju 非标准轨距
'fei'shu'li'tong'ji 非数理统计
'fei'zhu'fa 沸煮法
'fen'bu'gong'cheng 分部工程
'fen'duan'jue'yuan'qi 分段绝缘器
'fen'guang'dao'ying 分光蹈影
'fen'kai'shi'kou'jian 分开式扣件
'fen'li'shi'li'jiao 分离式立交
'fen'liu 分流
'fen'mei'hui 粉煤灰
'fen'pen'zhuang 粉喷桩
'fen'pi 分劈
'fen'qi'ren'kong 分歧人孔
'fen'shui'si 分水寺
'fen'xiang'gong'cheng 分项工程
'fen'xiang'jue'yuan'qi 分相绝缘器
'feng'bang 封浜
'feng'ceng 封层
'feng'cheng'nan 丰城南
'feng'dong 峰洞
'feng'duan 封端
'feng'fu'xian 峰福线
'feng'gang 风缸
'feng'gao'pu 峰高铺
'feng'jia'ba 冯家坝
'feng'jia'shan 冯家山
'feng'ku 丰库
'feng'lin 丰林
'feng'sha'xian 丰沙线
'feng'shang'xian 凤上线
'feng'shui'cun 丰水村
'feng'shui'gou 风水沟
'feng'suo'qu'jian 封锁区间
'feng'tun 冯屯
'feng'wo 蜂窝
'feng'wo'ma'mian 蜂窝麻面
'feng'ye'ling 枫叶岭
'feng'yi'cun 凤仪村
'feng'zhou 凤州
'fo'yu 佛峪
'fu'ban 腹板
'fu'feng'gang 副风缸
'fu'gua 附挂
'fu'huai'xian 阜淮线
'fu'jia'tun 傅家屯
'fu'jia'xian 符夹线
'fu'jiang'zhen 富江镇
'fu'ju 福巨
'fu'kun 福昆
'fu'li'tun 福利屯
'fu'lin'bao 福临堡
'fu'ling'xi 涪陵西
'fu'ma'xian 福马线
'fu'niu'xi 伏牛溪
'fu'qian'xian 福前线
'fu'quan 福泉
'fu'shan'kou 福山口
'fu'shan'si 福山寺
'fu'sheng'zhuang 福生庄
'fu'shi'dao'cha 复式道岔
'fu'shi'jiao'fen'dao'cha 复式交分道岔
'fu'shun'xian 抚顺线
'fu'tai'ha 富太哈
'fu'tu'yu 浮图峪
'fu'wu'she'shi 服务设施
'fu'xi'xian 富西线
'fu'xing'di 福兴地
'fu'yin 福银
'fu'zhou'bei 抚州北
'fu'zhou'dong 福州东
'fu'zhu'biao'zhi 辅助标志
'fu'zhu'che'dao 辅助车道
'fu'zhu'xin'hao 辅助信号
'fu'zhuang'zi 富庄子
'ga'la'de'si'tai 嘎拉德斯汰
'ga'shen'dian'zi 嘎什甸子
'gai'ban'han 盖板涵
'gai'ban'xiang'han 盖板箱涵
'gai'liang'tu 改良土
'gai'mao 改貌
'gai'qu 改渠
'gai'suan'fen'pi 概算分劈
'gan'ba'zi 干坝子
