'a'lai'ye'shi 阿赖耶识
'jia'zhan'yan 迦旃延
'jian'chen 见尘
'jian'fen 见分
'jian'huo 见惑
'jian'jing 见精
'jian'xing 见性
'jian'xing'bu'shi 见性不失
'jiao'chen'na 憍陈那
'jie'duan'zhong'liu 截断众流
'jie'wu 解悟
'jin'lin'shi'yu 金鳞始遇
'jing'fa 净法
'jing'fan'wang 净饭王
'ju'sheng'fa'zhi 俱生法执
'ju'yuan 聚缘
'jue'xing 觉性
'jue'yuan 觉缘
'jue'zhao 觉照
'jue'zhi'ci'shi'yao'gong'xing 绝知此事要躬行
'jue'zhi'zhi'xing 觉知之性
'kan'yan 勘验
'ke'chen 客尘
'ke'lian'min'zhe 可怜愍者
'kuang'luan'du'tou 狂乱独头
'leng'yan'jing 楞严经
'li'chen'wu'ti 离尘无体
'li'ming'jue'xiang 离名绝相
'ling'duo 凌夺
'ling'shan 灵山
'ling'zhi'bu'mei 灵知不昧
'liu'chen 六尘
'liu'chen'yuan'ying 六尘缘影
'liu'cu'san'xi 六粗三细
'liu'jing 六精
'liu'shi 六识
'lun'nie 轮涅
'lv'ting 旅亭
'man'han'long'tong 颟顸笼统
'meng'zhong'du'tou 梦中独头
'mi'huo'bu'wu 迷惑不悟
'mi'zhi 迷执
'miao'ji'chang'heng 妙寂常恒
'miao'ming 妙明
'miao'ming'zhen'jing 妙明真精
'miao'ming'zhen'jing'miao'xin'zhong'suo'xian'wu 妙明真精妙心中所现物
'miao'ming'zhen'xing 妙明真性
'miao'zhan'bu'dong 妙湛不动
'ming'di 冥谛
'ming'liao'shi 明了识
'ming'ran 冥然
'ming'ran'zhi'xing 冥然之性
'ming'shi'bu'fu 名实不符
'ming'xing 冥性
'ming'yao 明曜
'ming'zhao'bu'mei 明照不昧
'ming'zhao'xu'ling 明照虚灵
'mo'deng'jia'nv 摩登伽女
'mo'ni'bao 摩尼宝
'nan'fang'zeng'zhang'tian'wang 南方增长天王
'nei'shou'you'xian 内守幽闲
'neng'suo'wan'ran 能所宛然
'nian'hua'wei'xiao 拈花微笑
'pan'yuan 攀缘
'pi'luo'zhi 毘罗胝
'qi'chu'zheng'xin 七处征心
'qi'kuang 欺诳
'qian'chen 前尘
'qian'liu'shi 前六识
'qu'quan 屈拳
'qu'ye'xiang 取业相
'quan'jiao'suo'zong 权教所宗
'ran'fa 染法
'san'shi'er'xiang 三十二相
'san'wei'du'tou 散位独头
'se'jing 色境
'shan'gen 善根
'she'chang'wei 舍尝味
'she'wei'guo 舍卫国
'shen'jing'wang'jian 身境妄见
'shen'shou'chu 身受触
'shen'xin'wu'gui 身心无归
'shi'fan'xian'jian 十番显见
'shi'jian'xi'lun 世间戏论
'shi'jian'xiang'wei 世间相违
'shi'jing 识精
'shi'jing'yuan'ming 识精元明
'shi'jing'yuan'ming 识精圆明
'shi'zhi'pu'ti 实智菩提
'si'di 四谛
'si'huo 思惑
'ti'xiang 体相
'ti'xing'shang'mei'you'xu'wang'ti'wu'wei'wang 体性上没有虚妄体无伪妄
'tian'long'chan'shi 天龙禅师
'ting'zhu'wu'qu 亭主无去
'tuo'si'shi 拖死尸
'wai'dao 外道
'wai'jing 外境
'wan'fa'wei'xin 万法唯心
'wan'xu 顽虚
'wang'ben 妄本
'wang'ren 妄认
'wang'se 妄色
'wang'shi 妄识
'wang'xin 妄心
'wen'xing 闻性
'wu'du'ru'mang 五度如盲
'wu'ju'yi'shi 五俱意识
'wu'lun'zhi 五轮指
'wu'ming 无明
'wu'ming'huo 无明惑
'wu'sheng'fa'ren 无生法忍
'wu'shi 无始
'wu'shi'pu'ti'nie'pan'yuan'qing'jing'ti 无始菩提涅槃元清净体
'wu'shi'wu'ming 无始无明
'wu'wang'zhen'xin 无妄真心
'wu'wei 五唯
'wu'xiang 物相
'xi'fang'guang'mu'tian'wang 西方广目天王
'xi'xing 喜性
'xian'jian'shi'xin 显见是心
'xian'xiang 显相
'xiang'fen 相分
'xiang'xiang'wei'shen 想相为身
'xiang'xu'xiang 相绪相
'xin'fen'ming'an 心分明暗
'xin'nai'wu'zhu 心乃无著
'xin'qian'yan'gen 心潜眼根
'xin'wei'xing'yong 心为性用
'xin'zai'shen'nei 心在身内
'xin'zai'shen'wai 心在身外
'xin'zai'zhong'jian 心在中间
'xin'ze'sui'you 心则随有
'xing'fei'sheng'mie 性非生灭
'xing'jing'nie'pan 性净涅槃
'xing'ke 行客
'xing'wei'xin'ti 性为心体
'xing'wu'za'ran 性无杂染
'xiu'xing 嗅性
'xu'kong 虚空
'xu'kong'fen'sui 虚空粉碎
'xu'kong'yun'he'sui'ru'zhi'zhuo 虚空云何随汝执捉
'xu'ling 虚灵
'xun'chen'miu'jian 寻尘谬见
'yan'jian'se 眼见色
'ye'dao 业道
'ye'xi'ku'xiang 业系苦相
'ye'xiang 业相
'yi'bao 依报
'yi'bo 衣钵
'yi'dao'shen'guang'miao'zhan'xian 一道神光妙湛闲
'yi'kong'he'kong 以空合空
'yi'qing 疑情
'yi'xin'suo'xian 一心所现
'yi'zhang'mo'kong'qi'yi'zi'lao 以掌摩空祇益自劳
'yi'zhi'chan 一指禅
'yi'zhi'fa 意知法
'you'an 幽暗
'yu'xiang 欲相
'yu'yu'tu'bei 纡郁土孛
'yuan'chang 元常
'yuan'ding 圆定
'yuan'kong 圆空
'yuan'qi 圆器
'yuan'qing'jing'ti 元清净体
'yuan'xin 缘心
'yuan'ying 圆影
'yuan'ying 缘影
'zan'zhi'bian'qu 暂止便去
'zeng'yi 增意
'zhan'ran 湛然
'zhen'ben 真本
'zhen'xin'wu'hai 真心无还
'zhen'xing'pu'ti 真性菩提
'zheng'bao 正报
'zheng'wu 证悟
'zhi'guang 智光
'zhi'jie'zong'tu 知解宗徒
'zhi'qu'xiang 执取相
'zhi'shang'de'lai'zhong'jue'qian 纸上得来终觉浅
'zhi'xiang 智相
'zhou'bian'yuan'man 周遍圆满
'zhu'fo 诸佛
'zhuan'xiang 转相
'zi'yu'xiang'wei 自语相违
'zi'zheng'ti 自证体
