'bai'lu'bu'xia 白露不下
'sheng'ren'chun'xia'yang'qiu'dong'yang'yin 圣人春夏养秋冬养阴
'sheng'ren'xing'zhi'yu'zhe'pei'zhi 圣人行之愚者佩之
'shi'fei'qi'qing 使肺气清
'shi'hua'ying'cheng'xiu 使华英成秀
'shi'qi'de'xie 使气得泄
'shi'qi'ji'duo 使气亟夺
'shi'qiu'qi'ping 使秋气平
'shi'wei'de'dao 是谓得道
'shi'wei'nei'ge 是谓内格
'shi'zhi'an'ning 使志安宁
'shi'zhi'ruo'fu'ruo'ni 使志若伏若匿
'shi'zhi'wu'nu 使志无怒
'shou'lian'shen'qi 收敛神气
'shui'bing'di'che 水冰地坼
'si'qi'tiao'shen'da'lun 四气调神大论
'si'sheng'zhi'ben'ye 死生之本也
'tian'di'ju'sheng 天地俱生
'tian'di'qi'jiao 天地气交
'tian'di'si'shi'bu'xiang'bao 天地四时不相保
'tian'ming'ze'ri'yue 天明则日月
'tian'qi'qing'jing'guang'ming'zhe'ye 天气清净光明者也
'tian'qi'yi'ji 天气以急
'wan'wu'bu'shi 万物不失
'wan'wu'hua'shi 万物华实
'wan'wu'ming'gu'bu'shi 万物命故不施
'wan'wu'yi'rong 万物以荣
'wan'wu'zhi'gen'ben'ye 万物之根本也
'wan'wu'zhi'zhong'shi'ye 万物之终始也
'wei'sheng'ren'cong'zhi 唯圣人从之
'wu'rao'hu'yang 无扰乎阳
'wu'wai'qi'zhi 无外其志
'wu'xie'pi'fu 无泄皮肤
'wu'yan'yu'ri 无厌于日
'xia'san'yue'ci'wei'fan'xiu 夏三月此谓蕃秀
'xia'wei'han'bian 夏为寒变
'xin'qi'nei'dong 心气内洞
'yang'cang'zhi'dao'ye 养藏之道也
'yang'chang'zhi'dao'ye 养长之道也
'yang'qi'zhe'bi'se 阳气者闭塞
'yang'sheng'zhi'dao'ye 养生之道也
'yang'shou'zhi'dao'ye 养收之道也
'ye'wo'zao'qi 夜卧早起
'yi'cong'qi'gen 以从其根
'yi'huan'qiu'xing 以缓秋刑
'yi'shi'zhi'sheng 以使志生
'yu'dao'xiang'shi 与道相失
'yu'er'wu'duo 予而勿夺
'yu'ji'ju'xing 与鸡俱兴
'yun'wu'bu'jing 云雾不精
'zao'wo'wan'qi 早卧晚起
'zao'wo'zao'qi 早卧早起
'ze'shang'ying'bai'lu'bu'xia 则上应白露不下
'ze'wan'gao'bu'rong 则菀槁不荣
'ze'wei'yang'jue'mie 则未央绝灭
'zei'feng'shu'zhi 贼风数至
