'a'mu 阿牧
'yi'jie'sheng'ren 异界生人
'yi'jie'wen'shen'shou 异界纹身兽
'yi'jie'zhi'shi 异界执事
'yi'shi'jie 异世界
'yi'yu 异域
'yi'yu'an'cheng 异域暗城
'yi'yu'chong'sheng'lu 异域重生路
'yi'yu'jin'di 异域禁地
'yi'yu'tong'ling'si 异域统领司
'yi'yu'zhi'zhu 异域之主
'yin'mang 银蟒
'yin'nv'xue 阴女血
'yin'zhui 银锥
'ying'gou 嬴勾
'yong'dao 甬道
'you'ying'lun'zhuan 游影轮转
'zai'o'na 崽噢娜
'zha'la 扎拉
'zha'lei'jian 炸雷箭
'zhang'jun'ning 张钧宁
'zhang'mo'shi 掌墨师
'zhao'huan'fu 召唤符
'zhao'huan'shi 召唤师
'zhe'bi'yin 遮蔽音
'zhen'mu'shou 镇墓兽
'zhen'ying'ding 镇影钉
'zhi'gu'bian 指骨鞭
'zhi'gu'shou'huan 指骨手环
'zhi'xin'yu 知心玉
'zhu'di 竹笛
'zhu'di'dao 竹笛刀
'zhu'di'dun 竹笛盾
'zhu'di'gong 竹笛弓
'zhu'di'jian 竹笛剑
'zhu'rong'shi 祝融石
'zhu'rong'xuan'shi 祝融玄石
'zhu'si'ma'jia 蛛丝马甲
'zi'ji 自己
