'ai'shi'zu 爱士卒
'chang'zhu'wen'zhang'zi'yu 常著文章自娱
'chao'er'wang 朝而往
'che'liu'qi'bai'cheng 车六七百乘
'chen'ben'bu'yi 臣本布衣
'chen'bu'sheng'shou'en'gan'ji 臣不胜受恩感激
'chen'jian'da'wang'zhi'bi'shang'yi'er'bu'de 臣见大王之必伤义而不得
'chen'qi'dong'zheng'duo 晨起动征铎
'chen'she'shao'shi 陈涉少时
'chen'she'shi'jia 陈涉世家
'chen'she'tai'xi'yue 陈涉太息曰
'chen'sheng'nai'li'wei'wang 陈胜乃立为王
'chen'sheng'wang 陈胜王
'chen'sheng'wu'guang'jie'ci'dang'xing 陈胜吴广皆次当行
'chen'sheng'wu'guang'nai'mou'yue 陈胜吴广乃谋曰
'chen'sheng'wu'guang'xi 陈胜吴广喜
'chen'sheng'yue 陈胜曰
'chen'sheng'zhe 陈胜者
'chen'sheng'zi'li'wei'jiang'jun 陈胜自立为将军
'chen'sheng'zuo'zhi 陈胜佐之
'chen'shi'yi'wu'qing'ye 臣是以无请也
'chen'shou'ling'jie'bu'zai'du'shou'cheng'yu'zhan'qiao'men'zhong 陈守令皆不在独守丞与战谯门中
'chen'wei'chang'wen'ye 臣未尝闻也
'chen'yi'wang'zhi'gong'song'ye 臣以王之攻宋也
'chen'zhou'ce'pan'qian'fan'guo 沉舟侧畔千帆过
'cheng 成
'cheng'da'chu 称大楚
'cheng'fei'bu'gao'ye 城非不高也
'cheng'ru'shi 诚如是
'cheng'yi'kai'zhang'sheng'ting 诚宜开张圣听
'chi'bi 赤壁
'chi'fei'bu'shen'ye 池非不深也
'chi'jie'yun'zhong 持节云中
'chi'ru'yu'nu'li'zhi'shou 祇辱于奴隶之手
'chi'shang'bi'tai'san'si'dian 池上碧苔三四点
'chong'ru'xie'wang 宠辱偕忘
'chong'sheng'xin'tou'lv'chuang'sha 虫声新透绿窗纱
'chou'le'tian'yang'zhou'chu'feng'xi'shang'jian'zeng 酬乐天扬州初逢席上见赠
'chou'yun'can'dan'wan'li'ning 愁云惨淡万里凝
'chu'er'yuan'shi 俶尔远逝
'chu'jiang'hu'zhi'yuan'ze'you'qi'jun 处江湖之远则忧其君
'chu'ren'lian'zhi 楚人怜之
'chu'ren'you'ye 滁人游也
'chu'shi'biao 出师表
'chu'wang'wen'qi'gu 楚王问其故
'chu'wang'yue 楚王曰
'chu'ze'wu'di'guo'wai'huan'zhe 出则无敌国外患者
'chu'zhong'yu'wen'di'ce 初中语文第册
'chuang'tou'wu'lou'wu'gan'chu 床头屋漏无干处
'chun'jiao'kou'zao'hu'bu'de 唇焦口燥呼不得
'chuo'geng'shang'long'shang 辍耕上垄上
'ci'chen'suo'yi'bao'xian'di'er'zhong'bi'xia'zhi'zhi'fen'ye 此臣所以报先帝而忠陛下之职分也
'ci'cheng'bu'ke'yu'zheng'feng 此诚不可与争锋
'ci'cheng'wei'ji'cun'wang'zhi'qiu'ye 此诚危急存亡之秋也
'ci'dai'tian'suo'yi'zi'jiang'jun 此殆天所以资将军
'ci'hou'han'suo'yi'qing'tui'ye 此后汉所以倾颓也
'ci'jiao'wo'xian'wei'zhong'er 此教我先威众耳
'ci'jie'liang'shi 此皆良实
'ci'ke'yi'wei'yuan'er'bu'ke'tu'ye 此可以为援而不可图也
'ci'le'he'ji 此乐何极
'ci'ren'ke'jiu'jian 此人可就见
'ci'san'zi'zhe 此三子者
'ci'shen'chang'da 辞甚畅达
'ci'shi'gu'nan'quan 此事古难全
'ci'shou 词首
'ci'wei'he'ruo'ren 此为何若人
'ci'wu'shou 词五首
'ci'xi'zhen'liang'si'jie'zhi'chen 此悉贞良死节之臣
'ci'xian'han'suo'yi'xing'long'ye 此先汉所以兴隆也
'ci'yong'fu'zhi'nu'ye 此庸夫之怒也
'ci'yong'wu'zhi'guo 此用武之国
'ci'you'jin'xiu'zhi'yu'duan'he'ye 此犹锦绣之与短褐也
'ci'you'liang'rou'zhi'yu'kang'zao'ye 此犹粱肉之与糠糟也
'ci'you'wen'xuan'zhi'yu'bi'yu'ye 此犹文轩之与敝舆也
'ci'ze'yue'yang'lou'zhi'da'guan'ye 此则岳阳楼之大观也
'ci'zhi'wei'shi'qi'ben'xin 此之谓失其本心
'ci'zhong'you'zhen'yi 此中有真意
'cong'liu'piao'dang 从流飘荡
'cong'min'yu'ye 从民欲也
'cong'xiao'qiu'xi'xing'bai'er'shi'bu 从小丘西行百二十步
'cu'er'er'yu'zhi 蹴尔而与之
'cu'zhong'wang'wang'yu 卒中往往语
'cui'shi'er'xiao'sheng 崔氏二小生
'cun'nan'cun'bei'xiang'qiao'che 村南村北响缲车
'da'bi'tian'xia'han'shi'ju'huan'yan 大庇天下寒士俱欢颜
'da'wang'chang'wen'bu'yi'zhi'nu'hu 大王尝闻布衣之怒乎
'da'xue'shen'shu'chi 大雪深数尺
'da'zui 大醉
'dai'zhu'ying'bao'shi'zhi'mao 戴朱缨宝饰之帽
'dan'ri 旦日
'dan'xi'xia'ri'chang 但惜夏日长
'dan'yuan'ren'chang'jiu 但愿人长久
'dang'ci'shi 当此时
'dang'jiang'lv'san'jun 当奖率三军
'dang'li'zhe'nai'gong'zi'fu'su 当立者乃公子扶苏
'dang'yu'zhi'cong'shi'ye 当余之从师也
'dao'bu'tong 道不通
'dao'lu'zu'qie'chang 道路阻且长
'dao'xiang'fan'si'lan'ke'ren 到乡翻似烂柯人
'de'dao'duo'zhu 得道多助
'de'dao'zhe'duo'zhu 得道者多助
'de'wu'yi'hu 得无异乎
'de'you'bu'cheng'zhe 德有不成者
'de'yu'fu'zhong'shu 得鱼腹中书
'de'zhi'xin'er'yu'zhi'jiu'ye 得之心而寓之酒也
'de'zhi'ze'sheng 得之则生
'deng'lou 登楼
'deng'si 等死
'deng'si'lou'ye 登斯楼也
'di'li'bu'ru'ren'he 地利不如人和
'di'qi'hu 低绮户
'di'si'dan'yuan 第四单元
'di'wu'dan'yuan 第五单元
'dian'piao'lv'kong 簟瓢屡空
'ding'zhuang'zai'nan'gang 丁壮在南冈
'dong'feng'bu'yu'zhou'lang'bian 东风不与周郎便
'dong'feng'shi'zuo 冻风时作
'dong'li'ba'jiu'huang'hun'hou 东篱把酒黄昏后
'dong'lian'wu'hui 东连吴会
'dong'yang'ma'sheng'jun'ze'zai'tai'xue'yi'er'nian 东阳马生君则在太学已二年
'dou'zhe'she'xing 斗折蛇行
'du'fu 杜甫
'du'hu'tie'yi'leng'nan'zhe 都护铁衣冷难着
'du'mu 杜牧
'du'yi'shi'qi 度已失期
'du'yi'wang'jiang'lou 独倚望江楼
'du'zhuo'wu'xiang'qin 独酌无相亲
'duan'he'chuan'jie 短褐穿结
'dui'ying'cheng'san'ren 对影成三人
'duo'er'sha'wei 夺而杀尉
'duo'hui'yu'ci 多会于此
'duo'qi'lu 多歧路
'duo'zhu'zhi'zhi 多助之至
'e'qi'ti'fu 饿其体肤
'e'qing'feng'ding'yun'mo'se 俄顷风定云墨色
'er'an'ling'yi'wu'shi'li'zhi'di'cun'zhe 而安陵以五十里之地存者
'er'bo'le'bu'chang'you 而伯乐不常有
'er'bu'zhi'ren'zhi'le 而不知人之乐
'er'bu'zhi'tai'shou'zhi'le'qi'le'ye 而不知太守之乐其乐也
'er'bu'zu'yu'min 而不足于民
'er'cheng'ju'zhe'wei'zhi'zhi'ye 而城居者未之知也
'er'fei'yu'bei'hai 而飞于北海
'er'hou'yu 而后喻
'er'hou'zuo 而后作
'er'huo'chang'yan'yi'kong 而或长烟一空
'er'jun'ni'gua'ren'zhe 而君逆寡人者
'er'jun'yi'wu'shi'li'zhi'di'cun'zhe 而君以五十里之地存者
'er'lai'er'shi'you'yi'nian'yi 尔来二十有一年矣
'er'le'yi'wu'qiong'ye 而乐亦无穷也
'er'nian'you'zui'gao 而年又最高
'er'qi'zhu'bu'neng'shou 而其主不能守
'er'shi'san'nian'qi'zhi'shen 二十三年弃置身
'er'shi'sha'zhi 二世杀之
'er'shi'yuan'nian'qi'yue 二世元年七月
'er'shu'si'zhe'gu'shi'liu'qi 而戍死者固十六七
'er'si'yu'an'le'ye 而死于安乐也
'er'tong'jin'dong'zheng 儿童尽东征
'er'wen'wo 而问我
'er'wu'che'ma'xuan 而无车马喧
'er'xia'wo'xie 而吓我邪
'er'xie'chu'yu'liang'feng'zhi'jian'zhe 而泄出于两峰之间者
'er'yu'qie'zhi 而欲窃之
'er'yue 而曰
'er'zhe'bu'ke'de'jian 二者不可得兼
'er'zheng'suo'you'yu 而争所有余
'er'zhi'shu'duan'qian 而智术短浅
'fa'jie'zhan 法皆斩
'fa'lv'zuo'shi'shu'yu'yang'jiu'bai'ren 发闾左适戍渔阳九百人
'fa'wu'dao 伐无道
'fa'yu'sheng 发于声
'fa'zhu'qu'dao 伐竹取道
'fan'bao'sha'zhi'niao 凡曝沙之鸟
'fan'san'wang 凡三往
'fan'suo'yi'you'zhi'shu'jie'ji'yu'ci 凡所宜有之书皆集于此
'fan'zhong'yan 范仲淹
'fang'wu'bai'li 方五百里
'fang'wu'qian'li 方五千里
'fei'du'xian'zhe'you'shi'xin'ye 非独贤者有是心也
'fei'li'quan'bu'yin 非醴泉不饮
'fei'lian'shi'bu'shi 非练实不食
'fei'niao'xiang'yu'hai 飞鸟相与还
'fei'ruo'shi'ye 非若是也
'fei'shi'zhi'nu'ye 非士之怒也
'fei'si'fei'zhu 非丝非竹
'fei'tian'zhi'zhi'bei 非天质之卑
'fei'wei'tian'shi 非惟天时
'fei'wu'tong'bu'zhi 非梧桐不止
'fen'fen'mu'xue'xia'yuan'men 纷纷暮雪下辕门
'fen'hui'wei 忿恚尉
'feng'che'hong'qi'dong'bu'fan 风掣红旗冻不翻
'feng'hui'lu'zhuan 峰回路转
'feng'li'sui'shang'jing 风力虽尚劲
'feng'luan'ru'ju 峰峦如聚
'feng'ming'yu'wei'nan'zhi'jian 奉命于危难之间
'feng'shuang'gao'jie 风霜高洁
'feng'yan'ju'jing 风烟俱净
'feng'yu'bu'dong'an'ru'shan 风雨不动安如山
'feng'zhu'chen'xiang'hua'yi'jin 风住尘香花已尽
'fou 否
'fu'de'ze'si 弗得则死
'fu'gan'yi 弗敢易
'fu'gu'he'dan'si 妇姑荷箪食
'fu'guang'yue'jin 浮光跃金
'fu'han'wei'mie'wang 夫韩魏灭亡
'fu'huan'er'gong'zhi 夫环而攻之
'fu'lao'si'wu'ren 父老四五人
'fu'li'chu'guo'zhi'she'ji 复立楚国之社稷
'fu'mu'sui'you'qiu'ge'zhi'yi 父母岁有裘葛之遗
'fu'qie'ye'xi 负箧曳屣
'fu'shen'qing'er'yi'qing 俯身倾耳以请
'fu'sheng 弗胜
'fu'shi'bai'wan 伏尸百万
'fu'shi'er'ren 伏尸二人
'fu'shi'jing'shang 负势竞上
'fu'shuo'ju'yu'ban'zhu'zhi'jian 傅说举于版筑之间
'fu'su'yi'shu'jian'gu 扶苏以数谏故
'fu'yan'man'hui'tang 凫雁满回塘
'fu'you'pin'fu'ren 复有贫妇人
'fu'yuan'chu'fa'yu'nan'hai 夫鹓雏发于南海
'fu'yun'bi'bai'ri 浮云蔽白日
'fu'zhi'dai 弗之怠
'fu'zhuan'zhu'zhi'ci'wang'liao'ye 夫专诸之刺王僚也
'fu'zi'he'ming'yan'wei 夫子何命焉为
'ga'lang'zhi'lin 呷浪之鳞
'gai'yu'zhi'qin'qie'jian'ku'ci 盖余之勤且艰苦此
'gai'zhui'xian'di'zhi'shu'yu 盖追先帝之殊遇
'gan'ge'liao'luo'si'zhou'xing 干戈寥落四周星
'gan'ji'er'bei'zhe'yi 感极而悲者矣
'gao'chu'bu'sheng'han 高处不胜寒
'gao'liu'jia'ti 高柳夹提
'gao'zhe'gua'juan'chang'lin'shao 高者挂罥长林梢
'gao'zu'yin'zhi'yi'cheng'di'ye 高祖因之以成帝业
'ge'ba'yang'tian'tan 歌罢仰天叹
'ge'huang'zhu 隔篁竹
'ge'tian'shi'zhi'min'yu 葛天氏之民欤
'ge'zai'tian'yi'ya 各在天一涯
'geng'shen'yue'se'ban'ren'jia 更深月色半人家
'geng'zhu'feng'he'yu 更著风和雨
'gong'chen 攻陈
'gong'chou'jiao'cuo 觥筹交错
'gong'da'ze'xiang 攻大泽乡
'gong'deng'yu'yu 公等遇雨
'gong'geng'yu'nan'yang 躬耕于南阳
'gong'gu 龚古
'gong'qin'qi'zhi'suo'pan 攻亲戚之所畔
'gong'que'wan'jian'dou'zuo'le'tu 宫阙万间都做了土
'gong'ran'bao'mao'ru'zhu'qu 公然抱茅入竹去
'gong'ru'pi'li'xian'jing 弓如霹雳弦惊
'gong'shu 公输
'gong'shu'pan'bu'yue 公输盘不悦
'gong'shu'pan'fu'zi 公输盘服子
'gong'shu'pan'jiu'she'gong'cheng'zhi'ji'bian 公输盘九设攻城之机变
'gong'shu'pan'qu 公输盘诎
'gong'shu'pan'wei'chu'zao'yun'ti'zhi'xie 公输盘为楚造云梯之械
'gong'shu'pan'wei'wo'wei'yun'ti 公输盘为我为云梯
'gong'shu'pan'yue 公输盘曰
'gong'shu'pan'yue'bu'ke 公输盘曰不可
'gong'shu'pan'zhi'gong'xie'jin 公输盘之攻械尽
'gong'shu'zi'zhi'yi 公输子之意
'gong'yi'chang'wen'tian'zi'zhi'nu'hu 公亦尝闻天子之怒乎
'gong'yi'wei'wang 功宜为王
'gong'zhi'zan'ku'zhe'qiao 攻铚酂苦柘谯
'gong'zhong'fu'zhong 宫中府中
'gong'zi'zhen 龚自珍
'gou'fu'gui 苟富贵
'gou'quan'xing'ming'yu'luan'shi 苟全性命于乱世
'gu'bu'cuo'yi'ye 故不错意也
'gu'bu'duo'de'liang'li 孤不度德量力
'gu'bu'wei'gou'de'ye 故不为苟得也
'gu'bu'zhi'zi'yi 固不知子矣
'gu'guo'bu'yi'shan'xi'zhi'xian 固国不以山溪之险
'gu'huan'you'suo'bu'bi'ye 故患有所不避也
'gu'jun'zi'you'bu'zhan 故君子有不战
'gu'lin'beng'ji'chen'yi'da'shi'ye 故临崩寄臣以大事也
'gu'sui'you'ming'ma 故虽有名马
'gu'tian'jiang'jiang'da'ren'yu'shi'ren'ye 故天将降大任于是人也
'gu'wu'yue'du'hu 故五月渡沪
'gu'yi'guai'zhi'yi 固以怪之矣
'gu'yu'sui'yu 故余虽愚
'gu'yue 故曰
'gu'zhi'you'kong'ming 孤之有孔明
'gu'zi'hao'yue'zui'weng'ye 故自号曰醉翁也
'gua'ren'wu'ji 寡人无疾
'gua'ren'yi'wu'bai'li'zhi'di'yi'an'ling 寡人以五百里之地易安陵
'gua'ren'yu'yi 寡人谕矣
'gua'ren'yu'yi'wu'bai'li'zhi'di'yi'an'ling 寡人欲以五百里之地易安陵
'gua'zhu'zhi'zhi 寡助之至
'guan'bing'jian 观冰坚
'guan'yi'mai 观刈麦
'guan'yi'wu'ju'yu'shi 管夷吾举于士
'guan'yu'zhang'fei'deng'bu'yue 关羽张飞等不悦
'guang'gu'shu'yan'yu'wang 广故数言欲亡
'guang'qi 广起
'gui'lai'yi'zhang'zi'tan'xi 归来倚杖自叹息
'guo'heng'wang 国恒亡
'guo'jin'qian'fan'jie'bu'shi 过尽千帆皆不是
'guo'ling'ding'yang 过零丁洋
'guo'xian'er'min'fu 国险而民附
'hai'yu'jiu'du 还于旧都
'han'hai'lan'gan'bai'zhang'bing 瀚海阑干百丈冰
'han'shi'gu'tui 汉室顾颓
'han'shi'ke'xing'yi 汉室可兴矣
'han'yu 韩愈
'hang'hang'zhong'hang'hang 行行重行行
'hang'hang'zhong'hang'hang'wu'ming'shi 行行重行行无名氏
'hao'dang'li'chou'bai'ri'xie 浩荡离愁白日斜
'hao'du'shu 好读书
'hao'hao'shang'shang 浩浩汤汤
'hao'jie'bing'qi 豪杰并起
'hao'ling'zhao'san'lao'hao'jie'yu'jie'lai'kuai'ji'shi 号令召三老豪杰与皆来会计事
'hao'niao'xiang'ming 好鸟相鸣
'hao'wei'liang'fu'yin 好为梁父吟
'hao'wei'zhang'chu 号为张楚
'hao'yue'qian'li 皓月千里
'he'chu'wang'shen'zhou 何处望神州
'he'fu'gui'ye 何富贵也
'he'ri'qian'feng'tang 何日遣冯唐
'he'shi'chang'xiang'bie'shi'yuan 何事长向别时圆
'he'shi'yan'qian'tu'wu'jian'ci'wu 何时眼前突兀见此屋
'he'si'zai'ren'jian 何似在人间
'he'ye 何也
'he'zai 何哉
'he'zhi'yu'ci 何至于此
'heng'ke'shang'bi 横柯上蔽
'heng'wu'ji'ya 横无际涯
'heng'yang'yan'qu'wu'liu'yi 衡阳雁去无留意
'heng'yu'lv 衡于虑
'hong'zhuang'er'jian'zhe 红装而蹇者
'hou'tian'xia'zhi'le'er'le'hu 后天下之乐而乐乎
'hou'zhe'ying 后者应
'hou'zhi'qing'fu 后值倾覆
'hu'bu'jian'wo'yu'wang 胡不见我于王
'hu'bu'yi'hu 胡不已乎
'hu'er'er'yu'zhi 呼尔而与之
'hu'fu'cheng'zhou'meng'ri'bian 忽复乘舟梦日边
'hu'ma'yi'bei'feng 胡马依北风
'hu'ming'hu'yue'da'chu'xing 狐鸣呼曰大楚兴
'hu'qin'pi'pa'yu'qiang'di 胡琴琵琶与羌笛
'hu'qiu'bu'nuan'jin'qin'bao 狐裘不暖锦衾薄
'hu'ru'yi'ye'chun'feng'lai 忽如一夜春风来
'hu'tian'ba'yue'ji'fei'xue 胡天八月即飞雪
'hu'xiang'xuan'miao 互相轩邈
'hu'xiao'yuan'ti 虎啸猿啼
'hu'ye'luo'shan'lu 槲叶落山路
'hua'jian'yi'hu'jiu 花间一壶酒
'hua'zhao'jie'hou 花朝节后
'hua'zuo'chun'ni'geng'hu'hua 化作春泥更护花
'huai'jiu'kong'yin'wen'di'fu 怀旧空吟闻笛赋
'huai'nu'wei'fa 怀怒未发
'huan'chu'jie'shan'ye 环滁皆山也
'huan'du'xiao'ran 环堵萧然
'huan'er'gong'zhi'er'bu'sheng 环而攻之而不胜
'huan'hou'bu'ying 桓侯不应
'huan'hou'gu'shi'ren'wen'zhi 桓侯故使人问之
'huan'hou'sui'si 桓侯遂死
'huan'hou'ti'tong 桓侯体痛
'huan'hou'you'bu'ying 桓侯又不应
'huan'hou'you'bu'yue 桓侯又不悦
'huan'hou'yue 桓侯曰
'huan'xi'sha 浣溪沙
'huan'yin'da'dan 欢饮达旦
'huang'kong'tan'tou'shuo'huang'kong 惶恐滩头说惶恐
'hui'hong'zhi'shi'zhi'qi 恢弘志士之气
'hui'mian'an'ke'zhi 会面安可知
'hui'ming'bian'hua'zhe 晦明变化者
'hui'tian'da'yu 会天大雨
'hui'wan'diao'gong'ru'man'yue 会挽雕弓如满月
'hui'xing'xi'yue 彗星袭月
'hui'zi'kong 惠子恐
'hui'zi'xiang'liang 惠子相梁
'hui'zi'yue 惠子曰
'huo'ji'zhi'suo'ji'ye 火齐之所及也
'huo'wei'hui'zi'yue 或谓惠子曰
'huo'yi'er'zhe'zhi'wei 或异二者之为
'huo'yi'wei'si 或以为死
'huo'yi'wei'wang 或以为亡
'huo'yu'qi'chi'duo 或遇其叱咄
'huo'zhi'jiu'er'zhao'zhi 或置酒而招之
'ji'hai'za'shi 己亥杂诗
'ji'jia'guan 既加冠
'ji'liao'wu'ren 寂寥无人
'ji'mo'kai'wu'zhu 寂寞开无主
'ji'ri'yi'huan 计日以还
'ji'sheng'mao'dian'yue 鸡声茅店月
'ji'tuan'shen'jian 急湍甚箭
'ji'yi'wei'shou 祭以尉首
'ji'yi'zhi'wu'zhi'zhi 既已知吾知之
'ji'zui'er'tui 既醉而退
'jia'an'gao'shan 夹岸高山
'jia'jie'you'chong'yang 佳节又重阳
'jia'mu'xiu'er'fan'yin 佳木秀而繁阴
'jia'pin 家贫
'jia'tian'shu'shui'jin 家田输税尽
'jia'zhu'ren'er'hou'jian'ye 假诸人而后见也
'jian'chen'qie'ming 奸臣窃命
'jian'gong'shu'pan 见公输盘
'jian'huai'zi'you 兼怀子由
'jian'nan'kui'shen'qing 艰难愧深情
'jian'wen'shui'sheng'chan'chan 渐闻水声潺潺
'jiang'cheng'zi'mi'zhou'chu'lie 江城子密州出猎
'jiang'deng'tai'hang'xue'man'shan 将登太行雪满山
'jiang'han'zhi'yu'bie'yuan'tuo'wei'tian'xia'fu 江汉之鱼鳖鼋鼍为天下富
'jiang'jun'bai'fa'zheng'fu'lei 将军白发征夫泪
'jiang'jun'ji'di'shi'zhi'zhou 将军既帝室之胄
'jiang'jun'jiao'gong'bu'de'kong 将军角弓不得控
'jiang'jun'qi'you'yi'hu 将军岂有意乎
'jiang'jun'qi'yuan'jian'zhi'hu'xian'zhu 将军岂愿见之乎先主
'jiang'jun'shen'lv'yi'zhou'zhi'zhong'chu'yu'qin'chuan 将军身率益州之众出于秦川
'jiang'jun'shen'pi'jian'zhi'rui 将军身被坚执锐
'jiang'jun'xiang'chong 将军向宠
'jiang'jun'zhi'wang'jia'gu'zhi 将军直枉驾顾之
'jiang'wei'zui 将尉醉
'jiang'yi'gong'song 将以攻宋
'jiao'er'e'wo'ta'li'lie 娇儿恶卧踏里裂
'jiao'ge'ju'yu'yu'yan'zhi'zhong 胶鬲举于鱼盐之中
'jie'bu'yi'zhi'shi'ye 皆布衣之士也
'jie'di'ling'wu'zhan 借第令毋斩
'jie'fu 嗟夫
'jie'hu 嗟乎
'jie'lu'zai'ren'jing 结庐在人境
