'an'mo 按摩
'kang'fu'ping'ding 康复评定
'kang'fu'ren'yuan 康复人员
'kang'fu'ren'yuan'pei'xun'zhong'xin 康复人员培训中心
'kang'fu'she'bei 康复设备
'kang'fu'shi'dian 康复试点
'kang'fu'wen'ti 康复问题
'kang'fu'yi'jian 康复意见
'kang'fu'yi'shi 康复医师
'kang'fu'yi'shi'pei'xun'ji'di 康复医师培训基地
'kang'fu'yi'xue 康复医学
'kang'fu'yi'xue'de'gong'zuo'fang'shi 康复医学的工作方式
'kang'fu'yi'xue'ding'yi'fan'wei 康复医学定义范围
'kang'fu'yi'xue'dui'wu 康复医学队伍
'kang'fu'yi'xue'fa'zhan'shi 康复医学发展史
'kang'fu'yi'xue'fan'wei 康复医学范围
'kang'fu'yi'xue'gai'lun 康复医学概论
'kang'fu'yi'xue'gong'zuo 康复医学工作
'kang'fu'yi'xue'ke 康复医学科
'kang'fu'yi'xue'shi'ye 康复医学事业
'kang'fu'yi'yuan 康复医院
'kang'fu'yu'fang 康复预防
'kang'fu'yu'fang'san'ceng'ci 康复预防三层次
'kang'fu'zhi'liao 康复治疗
'kang'fu'zhi'liao'fang'an 康复治疗方案
'kang'fu'zhi'liao'shi 康复治疗士
'kang'fu'zhi'liao'zu 康复治疗组
'kang'fu'zhong'xin 康复中心
'ke'ni 可逆
'li'liao'shi 理疗士
'li'liao'shi 理疗师
'lu'nao'sun'shang 颅脑损伤
'lun'yi 轮椅
'man'xing'ji'bing 慢性疾病
'man'xing'teng'tong 慢性疼痛
'men'zhen 门诊
'min'zheng'bu 民政部
'nao'xue'guan'yi'wai 脑血管意外
'pei'xun'ji'di 培训基地
'qi'guan'shui'ping 器官水平
'qi'ta'can'ji 其他残疾
'qian'zai 潜在
'qing'du'can'ji 轻度残疾
'quan'mian'kang'fu 全面康复
'ri'chang'sheng'huo'huo'dong 日常生活活动
'ruo'zhi 弱智
'san'ji'yu'fang 三级预防
'shang'men'kang'fu'fu'wu 上门康复服务
'she'hui'gong'zuo'zhe 社会工作者
'she'hui'kang'fu 社会康复
'she'hui'shui'ping 社会水平
'she'hui'xing 社会性
'she'hui'zhi'neng 社会职能
'she'qu'kang'fu 社区康复
'she'qu'kang'fu'shi'dian 社区康复试点
'she'qu'zi'yuan 社区资源
'shen'jing'xi'tong'ji'bing'he'shang'can 神经系统疾病和伤残
'shen'xin'she'hui'gong'neng'zhang'ai 身心社会功能障碍
'sheng'wu'fan'kui'liao'fa 生物反馈疗法
'sheng'yin'yi'chang 声音异常
'shi'ying'he'dai'chang 适应和代偿
'shou'gong'cao'zuo'lao'dong 手工操作劳动
'shou'sun'shang 手损伤
'si'zhi'tan 四肢瘫
'song'chi'liao'fa 松弛疗法
'sun'shang 损伤
'suo'zai'she'qu 所在社区
'ti'gao'gong'neng'shui'ping 提高功能水平
'ti'gao'sheng'huo'zhi'liang 提高生活质量
'ti'liao'shi 体疗士
'ti'liao'shi 体疗师
'wei'sheng'bu 卫生部
'wen'ti'huo'dong 文体活动
'wen'ti'zhi'liao 文体治疗
'wen'ti'zhi'liao'shi 文体治疗师
'wu'li'liao'fa 物理疗法
'wu'li'yin'zi'liao'fa 物理因子疗法
'wu'pin'ming'ming'lian'xi 物品命名练习
'xian'cun 现存
'xian'tian'fa'yu'zhang'ai 先天发育障碍
'xiao'er'ma'bi 小儿麻痹
'xin'li'fu'dao'yu'zhi'liao 心理辅导与治疗
'xin'li'zhi'liao'shi 心理治疗师
'xin'li'zi'xun 心理咨询
'xing'tai'gong'neng'zhang'ai 形态功能障碍
'xing'wei'liao'fa 行为疗法
'xun'lian 训练
'yan'jiu'dui'xiang 研究对象
'yan'yu'jiao'zhi'shi 言语矫治师
'yao'tui'tong 腰腿痛
'yi'ji'yu'fang 一级预防
'yi'liao'ji'hua 医疗计划
'yi'liao'kang'fu 医疗康复
'yi'liao'si'xiang 医疗思想
'yi'xue'mo'shi 医学模式
'yi'yuan'nei'kang'fu 医院内康复
'yi'zhuan'duo'neng 一专多能
'yin'yue'liao'fa 音乐疗法
'yu'fang 预防
'yu'fang'kang'fu 预防康复
'yu'yan'jiao'zhi 语言矫治
'yu'yan'liu'chang'du'yi'chang 语言流畅度异常
'yu'yan'yi'chang 语言异常
'yu'yan'zhi'liao'shi 语言治疗士
'yu'yan'zhi'liao'shi 语言治疗师
'yuan'fa'xing'gao'xue'ya'bing 原发性高血压病
'yun'dong'liao'fa 运动疗法
'zao'qi'shi'bie 早期识别
'zhao'gu 照顾
'zheng'gui'xun'lian 正规训练
'zheng'ti'kang'fu 整体康复
'zhi'li'zhang'ai 智力障碍
'zhi'liao'hou'qi 治疗后期
'zhi'liao'jin'qi 治疗近期
'zhi'liao'zhong'qi 治疗中期
'zhi'ye'kang'fu 职业康复
'zhong'guo'can'ji'ren'lian'he'hui 中国残疾人联合会
'zhong'guo'chuan'tong'zhi'liao 中国传统治疗
'zhong'guo'kang'fu'yi'xue 中国康复医学
'zhou'wei'shen'jing'ji'bing'he'sun'shang 周围神经疾病和损伤
'zhou'wei'xue'guan'ji'bing 周围血管疾病
'zhu'yuan 住院
'zhuan'ke'kang'fu'men'zhen 专科康复门诊
'zhuan'ke'kang'fu'yi'yuan 专科康复医院
'zhuan'ke'kang'fu'zhong'xin 专科康复中心
'zhuan'ye'ji'shu'shui'ping 专业技术水平
'zhuan'ye'ren'yuan 专业人员
'zi'zhu'ju 自助具
'zong'he'xie'tiao 综合协调
'zong'he'yi'yuan'kang'fu'yi'xue'ke'guan'li'gui'fan 综合医院康复医学科管理规范
'zui'jia'zhuang'tai 最佳状态
'zuo'ye'liao'fa 作业疗法
'zuo'ye'zhi'liao'shi 作业治疗士
'zuo'ye'zhi'liao'shi 作业治疗师
