'a'bo'luo 阿波羅
'ai'wei'si 艾維斯
'ai'ya'te 艾亞特
'ai'zhen'cheng 艾珍城
'ai'zhi'na'si 艾治拿斯
'ai'zhi'na'si'ai'te'la 艾治拿斯艾特拉
'an'dao'san'jian 廣島三箭
'an'de'lie'zhi 安德列治
'an'di'ya'si'bao 安迪亞斯堡
'an'gao'ping 安高平
'an'ge'si 安格斯
'an'hui'jiu'fang 安徽九方
'an'ka'la'gao'gu 安卡拉高古
'an'ka'la'shi'bang 安卡拉士邦
'an'ke'na 安科納
'an'luo'ke'sa'si 安羅科薩斯
'an'na'ba 安納巴
'an'na'ji'ye 安拿吉耶
'an'nan'ti'yu'kuai 安南體育會
'an'qi'er'he'ma'shi 安其爾何馬士
'an'shan'ha'li'lu'ya 安山哈利路亞
'an'shi'yun'ge 廣士雲格
'an'tan'di 安坦迪
'an'te'wei'pu 安特衛普
'an'tu'fa'jia'si'ta 安圖法加斯塔
'an'zhi 安芝
'an'zhou'yi'yao 廣州醫藥
'ao'bai'hou'xun 奧柏侯遜
'ao'da'si 奧達斯
'ao'dan'si 奧丹斯
'ao'di'li'ka'er'dun 奧地利卡爾頓
'ao'di'li'lu'si'deng'luo 奧地利路斯登洛
'ao'di'li'wei'ye'na 奧地利維也納
'ao'di'li'wei'ye'na'qing'nian'dui 奧地利維也納青年隊
'ao'du'ba'lei 奥杜巴雷
'ao'ha'wa'li 奧哈瓦里
'ao'ji'di 奧基迪
'ao'lei'bu'luo 奧雷布洛
'ao'li'wei'lun'si 奧利維倫斯
'ao'lian'te 奧連特
'ao'lin'bi'ke 奧林比克
'ao'lin'bi'si 奧林比斯
'ao'lin'bi'ya'gao'si 奧林比亞高斯
'ao'lin'mo'si 奧林莫斯
'ao'lin'pi'ya 奧林匹亞
'ao'lin'pi'ya'ba'er'di 奧林匹亞巴爾蒂
'ao'liu 奧陸
'ao'luo'mo'ke 奧羅莫克
'ao'mo'ni'ya 奧摩尼亞
'ao'ni'he'er 奧尼禾爾
'ao'pa'hua 奧帕華
'ao'sha'xin'na 奧沙辛拿
'ao'si'bao 奧斯堡
'ao'si'ji'ke 奧斯積克
'ao'si'na'bu'ke 奧斯拿布克
'ao'si'tai'hua 奧斯泰華
'ao'si'tan'de 奧斯坦德
'ao'si'te'si'pa 奧斯特斯帕
'ao'suo'nuo 奧索諾
'ao'tai'si 奧泰斯
'ao'te'ge'ning'lan 奧特格寧蘭
'ao'te'na 奧特拿
'ao'xian 奧咸
'ba'er'nao'er'dai'na'mo 巴爾瑙爾戴拿模
'ba'hai'ya 巴海亞
'ba'la'fu'te 巴拉福特
'ba'le'mo 巴勒莫
'ba'li 巴里
'ba'li'mi'na 巴利米納
'ba'li'sheng'ri'men 巴黎聖日門
'ba'lu'li 巴路里
'ba'na'te'si 巴納特斯
'ba'sai'long'na 巴塞隆拿
'ba'si'di'ya 巴斯蒂亞
'ba'su'li 巴素利
'ba'suo'fu 巴索夫
'ba'te'li 巴特里
'ba'te'na 巴特納
'ba'ti'ka 巴提卡
'ba'xi'gu'dang 巴西古當
'ba'yi'nan'chang'heng'yuan 八一南昌衡源
'ba'yu'ke 巴域克
'bai'di'ya 柏迪亞
'bai'duo'hua 柏多華
'bai'la'na 柏拉拿
'bai'lan'en 白蘭恩
'bai'lei'su'er 柏雷素爾
'bai'li'dun 白禮頓
'bai'ni 拜尼
'bai'qing'cheng 白青城
'bai'ren'mu'ni'hei 拜仁慕尼黑
'bai'sa'shi'bang 柏薩士邦
'bai'sha'ka 柏沙卡
'bai'si'bo'li'si 柏斯波曆斯
'bai'si'di'ka 拜斯迪卡
'ban'du'li 班度裡
'ban'fei'te 班菲特
'ban'lie'te 班列特
'ban'ni 般尼
'ban'ni'mao'fu 般尼茅夫
'ban'ni'wen'tuo 班尼文托
'ban'nu 般奴
'ban'shi'li 班士利
'bang'bi 邦比
'bang'di'bi'da 邦迪比達
'bang'ke'fu'luo 邦克福洛
'bang'sa'la'gao'si 邦薩拉高斯
'bao'dun 保頓
'bao'dun'ai'er'bin 保頓艾爾賓
'bao'luo'fu'shi'ti'fen 保羅夫史提芬
'bei'de'ou'xi 貝德歐西
'bei'di'fu 貝迪夫
'bei'di'si 貝迪斯
'bei'gu'ya 貝賈亞
'bei'jing'guo'an 北京國安
'bei'jing'hong'deng 北京宏登
'bei'jing'li'gong 北京理工
'bei'le'si'di'er 貝勒斯蒂爾
'bei'lei'da'bi'li'ke 貝雷達比歷克
'bei'li 貝利
'bei'lin'zuo'na 貝林佐納
'bei'lu'zha'da 貝魯扎達
'bei'luo 貝羅
'ben'da'dai'na'mo 奔达戴拿模
'ben'guo'lian'dui 本國聯隊
'bi'da 比達
'bi'da'di'hua'ma'ka'bi 彼達迪華馬卡比
'bi'da'ti'ke'wa'xia'pu 彼達提克瓦夏普
'bi'da'ye'lu'sa'leng 比達耶路撒冷
'bi'de'bao 彼德堡
'bi'de'ke 彼得克
'bi'er 畢爾
'bi'er'bao 畢爾包
'bi'er'shu'hua'xia'pu'er 比爾舒華夏普爾
'bi'hua'lun 比華倫
'bi'la'ma 比拉馬
'bi'la'si'sa 比拉斯薩
'bi'lan'lun'si 比蘭倫斯
'bi'le'fei'er'de 比勒費爾德
'bi'lu'pu 比路樸
'bi'luo'si 彼羅斯
'bi'mo'zhi 比摩治
'bi'sa 比薩
'bi'shi'tuo'er'si 比士托爾斯
'bi'si'cha 比斯查
'bi'si'ka'la 比斯卡拉
'bi'si'te'dai'na'mo 比斯特戴拿模
'bi'tuo'mu 比托姆
'bi'xi'da'si 比錫達斯
'bi'ya'hua'si 比雅華斯
'biao'zhun'lie'zhi 標準列治
'bin'cheng 檳城
'bin'dun 賓頓
'bin'fei'jia 賓菲加
'bin'fu'te 賓福特
'bin'gao 賓高
'bin'gao'cheng 賓高城
'bo'di'meng'ni'si 波蒂蒙尼斯
'bo'du'ji'lin'te 波杜基林特
'bo'duo'li'ge'dao'min 波多黎各島民
'bo'duo'li'si'ke'yong'shi 波多利斯克勇士
'bo'er'duo 波爾多
'bo'er'qie'tu 博爾切圖
'bo'la'gen'sen 伯拉根森
'bo'lai'si'la'fu 博萊斯拉夫
'bo'li'shi 玻璃市
'bo'li'suo'fu'ba'di 波里索夫巴迪
'bo'luo'ni'ya 博洛尼亞
'bo'ming'han 伯明翰
'bo'qin 波琴
'bo'shi'nuo'duo 波史諾多
'bo'ta'fu'ge 博塔福格
'bo'tan'cha 波坦察
'bo'te'lan'mu'cai 波特蘭木材
'bo'te'nuo 波特諾
'bo'tu 波圖
'bo'tu'ge'lu'luo 波圖格魯洛
'bo'tu'jia'sha 波圖加沙
'bo'wei'si'ta 博維斯塔
'bu'di'zu'huai'si 布迪祖懷斯
'bu'er'jia'si 布爾加斯
'bu'ge'le'si'te'dai'na'mo 布格勒斯特戴拿模
'bu'ge'le'si'te'xing'dui 布格勒斯特星隊
'bu'ge'le'si'te'xun'su 布格勒斯特迅速
'bu'la'ge'bu'xian'mei'en'si 布拉格布咸美恩斯
'bu'la'ge'si'ba'da 布拉格斯巴達
'bu'la'ge'si'la'wei'ya 布拉格斯拉維亞
'bu'la'jia 布拉加
'bu'la'ma 布拉馬
'bu'la'xi'lai'en'si 布拉希萊恩斯
'bu'lei 布雷
'bu'lei'si'te 布雷斯特
'bu'lei'xi'ya 布雷西亞
'bu'li'ban'liu'lang 布力般流浪
'bu'li'da 卜利達
'bu'li'si'tuo'cheng 布里斯托城
'bu'li'si'tuo'liu'lang 布里斯托流浪
'bu'liang'si'ke'dai'na'mo 布良斯克戴拿模
'bu'lu'ri 布魯日
'bu'lu'sai'er 布魯塞爾
'bu'luo'nei 布羅內
'bu'nuo'ma'bo'ya'na 布諾馬博亞納
'bu'xian'mai'en'si 布咸麥恩斯
'bu'xian'mei'en'si 布咸美恩斯
'can'mei'er 燦美爾
'cao'jin'wen'quan 草津溫泉
'cao'meng 草蜢
'cha'er'dun 查爾頓
'cha'er'si'dun'dian'chi 查爾斯頓電池
'cha'lu 查路
'cha'luo'mo'li 查洛摩利
'cha'nei'er 查內爾
'cha'nuo'mo'si 查諾莫斯
'cha'nuo'mo'si'nuo'wa 查諾莫斯諾瓦
'chang'chun'ya'tai 長春亞泰
'chang'sha'jin'de 長沙金德
'chang'yuan 昌原
'cheng'du'xie'fei'lian 成都謝菲聯
'cheng'nan'yi'he'tian'ma 城南一和天馬
'chuan'di 川迪
'chuan'qi'qian'feng 川崎前鋒
'da'ban'fei'jue 大阪飛腳
'da'ban'ying'hua 大阪櫻花
'da'bi'jun 打比郡
'da'fen'san'shen 大分三神
'da'gao'si 達高斯
'da'gong'song'shu 大宮松鼠
'da'la'si 達拉斯
'da'lian'shi'de 大連實德
'da'ning'dun 達寧頓
'da'si'ya 達斯亞
'da'tian'shi'min 大田市民
'da'yuan'xue'yuan'nv'zi 大原學園女子
'dai'ge'fu'si 戴戈福斯
'dan'bin'ni'liu'lang'dui 淡濱尼流浪隊
'dan'bo'si'zhi 丹博斯治
'dan'ni'si'ni'shi'bang 丹尼斯尼士邦
'dan'ni'zi 丹尼茲
'dang'ni'si'ke'mi'da'lei'zhi 當尼斯克米達雷治
'dang'sa'le 當薩勒
'de'dao'wo'di 德島沃堤
'de'la'wa 德拉瓦
'de'li'cheng 德利城
'de'te'jie'de 德特捷德
'deng'ba'dun 登巴頓
'deng'da 鄧打
'deng'di 登地
'deng'di'lian 登地聯
'deng'fu'mu'lin 鄧弗姆林
'deng'gan'ning 登甘寧
'deng'ke'er'ke 登克爾克
'di'bi'xin'ni 迪比辛尼
'di'ge'lei 堤格雷
'di'jia'shi'zhuo'pu 迪加史卓普
'di'kang'sai'pu'sen 迪康塞普森
'di'li'gu 迪利古
'di'mi'suo'la 蒂米索拉
'di'ni'pu 迪尼普
'di'ou'ge'la'si 迪歐格拉斯
'di'ou'si'jie'er 迪歐斯捷爾
'di'xin'si 迪辛斯
'di'zhuo'en 迪卓恩
'ding'jia'nu 丁加奴
'dong'bai'nei 東柏內
'dong'jing 東京
'dong'jing'dian'li'nv'zi 東京電力女子
'dong'jing'ri'shi 東京日視
'du'an 杜安
'du'bi'ni'ka 杜比尼卡
'du'bo'lin'da'xue 都柏林大學
'du'gen'xian 杜根咸
'du'gu 杜古
'du'ke'la'bu'la'ge 杜克拉布拉格
'du'ke'sa 杜可薩
'du'li'dui 獨立隊
'du'xi'da'lian 杜希達聯
'du'yi'si'bao 杜伊斯堡
'duo'ji'zhi 多積治
'duo'li'si'he'a'ta'ke 多里斯河阿塔克
'duo'lun'duo'ke'luo'di'ya 多倫多克羅地亞
'duo'meng'te 多蒙特
'en'bo'li 恩波里
'en'gao'si'da'te 恩高斯達特
'en'hao'yun 恩浩雲
'en'hua'li'si 恩華利斯
'fa'ken'bai'er 法肯柏爾
'fa'lan'ke'fu 法蘭克福
'fa'lin'ming'gao 法林明高
'fa'que'ke 法雀克
'fa'sa'ba'xia'pu'er 法薩巴夏普爾
'fa'wu'er 法烏爾
'fei'bu'lei'nuo 费布雷諾
'fei'de'lie'si'da 費德列斯達
'fei'en'xia'pu 費恩夏普
'fei'er'da 菲爾達
'fei'gu'lun'si 費古倫斯
'fei'he'wa 費赫瓦
'fei'ji'ya 費基亞
'fei'lei'bao 費雷堡
'fei'lei'mu'de 費雷姆德
'fei'li 費利
'fei'lin 費林
'fei'lun'ba'zhi 費倫巴治
'fei'lun'si 費倫斯
'fei'lun'tian'na 費倫天拿
'fei'yan'nuo 飛燕諾
'fen'ge'er 芬格爾
'fu'cha'da'bi'de 弗查達比德
'fu'er'jia 伏爾加
'fu'er'nei'ke 富爾內克
'fu'gang'huang'feng 福岡黃蜂
'fu'lan'hou'sa'si'tan 弗蘭候薩斯坦
'fu'lei'de'li'xi'ya 弗雷德里西亞
'fu'lei'mu'lei'ke'cha'yu'ke 弗雷姆雷克查域克
'fu'li'nuo 弗利諾
'fu'luo'xin'nuo'nei 弗洛辛諾內
'fu'ming'ni'si 富明尼斯
'fu'shan'ou'xiang 釜山偶像
'fu'shan'yun'shu 釜山運輸
'fu'ta'lei'sa 福塔雷薩
'fu'xian 富咸
'fu'zuo'ni 富佐尼
'gai'si 瓂斯
'gan'bai'lian'dui 甘柏聯隊
'gan'di'ya'sa 甘地亞薩
'gan'ma'lei'si 甘馬雷斯
'gan'mei'ao 甘美奧
'gan'na'si'ya 甘拿斯亞
'gan'shi'bi 甘士比
'gan'ya'shi'bang 干亞士邦
'gang'duo'ma 剛多瑪
'gao'bai 高柏
'gao'gui'nv'zi 高槻女子
'gao'ju'shi'da 高車士打
'gao'li'ning 高利寧
'gao'long 高隆
'gao'mei'er 高美爾
'gao'ning'gen 高寧根
'gao'shi'li'si'bao 高士里斯堡
'gao'shi'lu 高士路
'gao'yun'di'li 高雲地利
'ge'ben'ha'gen 哥本哈根
'ge'deng'bao 哥登堡
'ge'dong'ni 哥東尼
'ge'du'ba 哥杜巴
'ge'du'er'gu'si 葛度爾古斯
'ge'er'wei 戈爾韋
'ge'la'ci 格拉茨
'ge'la'si'ge'liu'lang 格拉斯哥流浪
'ge'la'te'huo'fu 格拉特霍夫
'ge'li'di'ba 哥里迪巴
'ge'li'fu'ke 格力夫克
'ge'li'ka 哥里卡
'ge'li'ya 哥利亞
'ge'li'ya'bu'sha 哥利亞布沙
'ge'lian'dai'yu'ke 格連戴域克
'ge'lian'sen'lin 格連森林
'ge'lian'tai'si 哥連泰斯
'ge'lin'pu'li 格林普里
'ge'lun'bu'ji'yun 哥倫布機員
'ge'lun'du'lan 格倫杜蘭
'ge'luo'bao 格洛堡
'ge'luo'se'tuo 格羅瑟托
'ge'ni'te 格尼特
'ge'rui'ke'long 格瑞科隆
'ge'rui'si 葛瑞司
'ge'suo 哥索
'gong'niu'sa'er'si'bao 紅牛薩爾斯堡
'gong'niu'sa'er'si'bao'qing'nian'dui 紅牛薩爾斯堡青年隊
'gu'bi'si 古比斯
'gu'bu'lang'ni 賈布朗尼
'gu'di'bi 古迪比
'gu'ge'nu 古格奴
'gu'kui'si 賈奎斯
'gu'pa'si 古帕斯
'gu'te'er 賈特爾
'gua'da'la'ha'la 瓜達拉哈拉
'gua'la'mu'la 瓜拉姆拉
'gua'la'ni 瓜拉尼
'guang'zhou'shang'wu 光州尚武
'guo'ji'mi'lan 國際米蘭
'guo'ji'sa'pei'si'ke 國際薩佩斯克
'guo'ji'ti'yu'kuai 國際體育會
'guo'min'dui 國民隊
'ha'de'si'fei'er'de 哈德斯菲爾德
'ha'hua'bo'lin 哈化柏林
'ha'ken 哈肯
'ha'la'de'si 哈拉德斯
'ha'la'zhi 哈拉治
'ha'ma'bi 哈馬比
'ha'sa'long 哈薩隆
'ha'si'te'pa 哈斯特帕
'ha'te'er'pu 哈特爾浦
'ha'ya'lin 哈亞林
'hai'fa'ma'ka'bi 海法馬卡比
'hai'fa'xia'pu'er 海法夏普爾
'hai'lun'wei'en 海倫維恩
'hai'wei'duo'wa 海維多瓦
'hai'ya 海牙
'han'bao 漢堡
'han'cheng 漢城
'han'guo'chao'gong'dui 韓國超紅隊
'han'nuo'wei 漢諾威
'han'wei'de 漢維德
'he'chuang 河床
'he'er'xin'ji 赫爾辛基
'he'fen'xian 賀芬咸
'he'hua'gao'si 荷華高斯
'he'jing 禾京
'he'la'dai'ke 賀拉戴克
'he'li'huo'te 荷利霍特
'he'luo'na 赫羅納
'he'nan'jian'ye 河南建業
'he'si 赫斯
'he'te 禾特
'he'zi'li'ya'ma'ka'bi 赫茲立亞馬卡比
'hei'chi 黑池
'heng'bin'shui'shou 橫濱水手
'heng'ke 亨克
'hong'chuan'jun 洪川郡
'hong'ka 洪卡
'hou'ge'sen'de 候格森德
'hou'ka'er 候卡爾
'hou'ni'huo'si 侯尼霍斯
'hou'sen'si 侯森斯
'hou'si'dun'dai'na'mo 侯斯頓戴拿模
'hu'sen 胡森
'hua'cheng'xin'yu'dian'zi 華城信宇電子
'hua'di'si 華迪斯
'hua'du'zi 華杜茲
'hua'hua 花花
'hua'la'du'lie 華拉度列
'hua'li'jian'nu 華歷簡奴
'hua'lu 華路
'hua'lun'dan 華倫丹
'hua'lun'xi'en'si 華倫西恩斯
'hua'lun'xi'ya 華倫西亞
'hua'na'lun'jia 華拿倫加
'hua'na'si'ba'da 華納斯巴達
'hua'qi'ba'tuo 華奇巴托
'hua'sa'si 華薩斯
'hua'sen 華森
'hua'sha 華沙
'hua'sha'pu'long'ni'ya 華沙普隆尼亞
'hua'sheng'dun'lian'dui 華盛頓聯隊
'hua'si'gao 華斯高
'hua'si'lan'de 華斯蘭德
'hua'su'er 華素爾
'hua'yu'ke 華域克
'huang'jia'ma'de'li 皇家馬德里
'huang'jia'su'si'da 皇家蘇斯達
'huang'jia'tai'jun 皇家泰軍
'huang'jia'yan'hu'cheng 皇家鹽湖城
'huo'zhi'ya 霍治亞
'ji'ao'li 吉奧利
'ji'bo 吉波
'ji'da 吉打
'ji'er'de'er'jun 基爾德爾郡
'ji'fu'a'xian'nu 基輔阿仙奴
'ji'fu'dai'na'mo 基輔戴拿模
'ji'lan'dan 吉蘭丹
'ji'long'po 吉隆坡
'ji'ma'nuo'ke 基馬諾克
'ji'ning'xian 基寧咸
'ji'si'ao'ma 基斯奧馬
'ji'wei'xin'di 基維辛迪
'ji'xi'li'shi'bang 基錫里士邦
'ji'xi'na'wu'xue'shu 基希納烏學術
'ji'ya'lian'na 基亞連拿
'ji'ying'kan 吉英坎
'ji'zhou'lian'dui 濟洲聯隊
'jia'di 加迪
'jia'fei'lai 加費萊
'jia'fu'wei'fu'rui 甲府維弗瑞
'jia'la'di 加拉迪
'jia'lai 加來
'jia'si'ma'ha'la 加斯馬哈拉
'jia'si'mei'deng 加斯梅登
'jia'tai 加泰
'jia'xin'ta'shi'bang 加辛塔士邦
'jian'qiao'lian 劍橋聯
'jiang'ling 江陵
'jiang'su'shun'tian 江蘇舜天
'jiao'ke'ping'suo'da 喬科平所達
'jiao'zhi'luo'ni'ya 喬治羅尼亞
'jin'bao'er 金堡爾
'jin'hai 金海
'jin'zhou'huang'tu 金州黃土
'jing'da'mi'shi'te 京達米士特
'jing'du'bu'si'niao 京都不死鳥
'jing'du'tu'zi'nv'zi 京都兔子女子
'jing'sai'kuai 競賽會
'jing'shi'bai 京士柏
'jing'si'lan'de 京斯蘭德
'jing'ying'dui 精英隊
'ju'dun'xian 車頓咸
'ju'lu'shi 車路士
'ju'shi'da 車士打
'ju'shi'da'fei'te 車士打菲特
'ju'yue'bu 俱樂部
'ka'ang 卡昂
'ka'ao'na'si 卡奧拿斯
'ka'bai'li 卡拜里
'ka'bo'si'wa 卡伯司瓦
'ka'di 卡迪
'ka'di'fu'cheng 卡迪夫城
'ka'duo'rui'ya 卡多瑞亞
'ka'er'dun 卡爾頓
'ka'er'la 卡爾拉
'ka'fen'bao 卡芬堡
'ka'fu'ba'si 卡夫巴斯
'ka'hua'la 卡華拉
'ka'la'ao'hua'da'xue 卡拉奧華大學
'ka'li'di'ya 卡利地亞
'ka'li'lu 卡里魯
'ka'li'ya'li 卡利亞里
'ka'luo'lai'na'ying 卡羅來納鷹
'ka'ma'dun 卡馬頓
'ka'ma'si 卡馬斯
'ka'ma'ya 卡馬亞
'ka'man 卡曼
'ka'na'fen 卡納芬
'ka'nei'si 卡內思
'ka'pa 卡帕
'ka'pa'di'li'fu 卡帕堤利夫
'ka'si'di'long 卡斯迪隆
'ka'si'lu'e 卡斯魯厄
'ka'su'er 卡素爾
'ka'tan'ni'ya 卡坦尼亞
'ka'tuo'li'ka 卡托利卡
'ka'wei'na 卡維納
'ka'wei'xi 卡維西
'ka'xi'si 卡西斯
'ka'ya'shi'wei'si 卡亞士維斯
'kai'fu'la'wei'ke 凱夫拉維克
'kai'luo'a'xiu'ta 開羅阿修塔
'kai'mei 凱美
'kai'sha'luo'dun 凱沙羅頓
'kai'te'ning 凱特寧
'kang'ge'di'ya 康戈迪亞
'kang'na'si'ma'tou 康納斯碼頭
'kang'sai'pu'sen 康塞普森
'kao'deng'bi'ya'fu 考登比亞夫
'ke'bu'lei'luo 科布雷洛
'ke'bu'lei'suo 科布雷索
'ke'bu'lun'ci 科布倫茨
'ke'bu'man'bu'zhe'dui 科布漫步者隊
'ke'er'ding 科爾丁
'ke'gao'la 科高拉
'ke'hua'ti'yu'kuai 科化體育會
'ke'ji'la 克基拉
'ke'ke'bang'bu'la 可可邦布拉
'ke'ke'cheng 科克城
'ke'la'ke'fu 克拉科夫
'ke'la'ke'wei'ya 克拉科維亞
'ke'la'lei'zhen 克拉雷鎮
'ke'la'ma'gan 克拉瑪甘
'ke'la'ma'ta 科拉馬塔
'ke'la'nuo 克拉諾
'ke'lai'fu 克萊夫
'ke'lai'mo'te 科萊莫特
'ke'lei'di 克雷迪
'ke'lei'meng'ni'si 科雷蒙尼斯
'ke'li'dong'wei'la 克理東維拉
'ke'li'kai'ya 克裏凱亞
'ke'long 科隆
'ke'lu 克魯
'ke'lu'ri 克盧日
'ke'luo'ke'luo 科洛科洛
'ke'luo'la 科羅拉
'ke'luo'la'duo'ji'liu 科羅拉多急流
'ke'luo'yi'si 克羅依斯
'ke'mai'li'ke 科麥立克
'ke'pa'wo'gu 科帕沃古
'ke'si'ke'mi'ti 科斯克米提
'ke'te'bu'si 科特布斯
'ke'te'lai'ke 科特賴克
'ke'wei'la 科維拉
'ke'xi'si 柯西斯
'ke'xia'ji'fu 克夏基夫
'ke'ying'bu'la'da'xue 科英布拉大學
'ke'zhi 科治
'ken'sa'si'wu'shi 肯薩斯巫師
'kong'zhong'ba'shi 空中巴士
'ku'ban 庫班
'ku'lu'bu 庫魯布
'ku'sha'da'si 庫莎達斯
'kui'wei'ding 奎維丁
'kui'ya'si 奎亞斯
'kun'shi'bai'liu'lang 昆士柏流浪
'la'di 拉迪
'la'er 拉爾
'la'hua'er 拉華爾
'la'ke'lu'ni'ya 拉科魯尼亞
'la'lu'si 拉魯斯
'la'ma'te'gan'xia'pu'er 拉馬特甘夏普爾
'la'na'ka 拉納卡
'la'na'na'xia'pu'er 拉那那夏普爾
'la'rui'sha 拉瑞沙
'la'si'peng'ma'si 拉斯彭馬斯
'la'su 拉素
'la'wen'na 拉文納
'la'xia'de'fang 拉夏德芳
'lai'bo'ni 萊伯尼
'lai'ke 萊克
'lai'ke 萊可
'lai'ni'lei'ke'cha'yu'ke 萊尼雷克查域克
'lai'ni'ya'nuo 萊尼亞諾
'lai'qie 萊切
'lan'da'si 蘭達斯
'lan'ge'fei'ni'zhen 蘭格費尼鎮
'lan'li'ni 蘭利尼
'lan'si'gan'na 蘭斯干拿
'lan'xi'an'nu 蘭西安奴
'lang'dui 狼隊
'lang'fu'te'cheng 朗福特城
'lang'si 朗斯
'le'ha'fei'er 勒哈費爾
'lei'ding 雷丁
'lei'en 雷恩
'lei'ji'ya'na 雷吉亞那
'lei'ke'si'ou'si 雷克斯歐斯
'lei'tu'er 雷圖爾
'lei'wei'si 雷威斯
'lei'xi'fu 雷席夫
'li'ang 里昂
'li'ao'a'wei 里奧阿維
'li'ao'ben 里奧本
'li'ba'yu 利巴域
'li'bo 裏波
'li'bo'tai'de 利伯泰德
'li'de 里德
'li'en 利恩
'li'er 利爾
'li'gu'na 里賈納
'li'he'nu 利禾奴
'li'hua'gu'xun 利華古遜
'li'ji'ya 歷基亞
'li'ma'si'su'er 利馬斯素爾
'li'mi'ni 里米尼
'li'ni'shi'te'lang 利尼史特朗
'li'si'bu'en 里斯布恩
'li'si'te'cheng 李斯特城
'li'si'ti'de 里斯提德
'li'wen'ge'te'nu 利文哥特奴
'li'wen'si 利文斯
'li'wo'fu 利沃夫
'li'wu'pu 利物浦
'li'ya'na 利亞拿
'li'ya'si 利亞斯
'li'ye'ka 里耶卡
'li'yun'da'gao'si 利雲達高斯
'li'yun'si'dun 利雲斯頓
'li'yun'te 利雲特
'lian'fei'te 連菲特
'liao'ning'dui 遼寧隊
'lie'di'si'luo'wei'zhi 列迪斯洛維治
'lie'si'lian 列斯聯
'lie'zhi 列治
'lie'zhi'ya 列治亞
'lin'ken'cheng 林肯城
'liu'lang'zhe 流浪者
'long'mei'xin'ni 隆美辛尼
'long'mu 隆姆
'long'se 龍瑟
'lu'bin'ka'zan 魯賓卡讚
'lu'da'wa'lun 魯達瓦倫
'lu'dao'lu'jiao 鹿島鹿角
'lu'dun 盧頓
'lu'en'si'ji'er 盧恩斯基爾
'lu'er'dao'ya'chi'nv'zi 鹿兒島鴨池女子
'lu'jia'nuo 盧加諾
'lu'jie'nuo'ti'yu'kuai 盧捷諾體育會
'lu'ke'qiu'luo 路克丘羅
'lu'sen 盧森
'lu'sen'bi'luo'ke 魯森比洛克
'lu'si'deng'luo 路斯登洛
'lu'si'dun'zuan'shi 魯斯頓鑽石
