'ai'er'bu'chou 哀而不愁
'bi'yi'hou'zhi'zhi'zhu 必贻后至之诛
'bi'yi'qing 必以情
'bi'yi'shui'su 腷臆谁诉
'bi'yi'sui 比一岁
'bi'yi'wei'hua 俾夷为华
'bi'yi'xiao'tong'shu'zi'wei'zhi 必以萧同叔子为质
'bi'yi'xin 必以信
'bi'yi'xu'xu'wei'ren 彼以煦煦为仁
'bi'yi'yi'hou'xuan'duo'zhi'nan 敝邑以侯宣多之难
'bi'yi'yi'zheng'xing'zhi'bu'xiu 敝邑以政刑之不修
'bi'yi'you'wang 敝邑有亡
'bi'yi'yuan'zhi 毕议愿知
'bi'yi'zhi'xing 敝邑之幸
'bi'yong'ci'wei'wu 必用此为务
'bi'you'bei'xin 必有悖心
'bi'you'guo'ren'zhi'jie 必有过人之节
'bi'you'jiang'shi'qi'zi'nv'chan'qie'wei 彼又将使其子女谗妾为
'bi'you'jun'gu 必有浚谷
'bi'you'lao'si'er'shi'mo'jian'zhe 必有老死而世莫见者
'bi'you'neng'bian'zhi'zhe 必有能辨之者
'bi'you'ran'er'dong'xia'si 必悠然而动遐思
'bi'you'shen'tan 必有深潭
'bi'you'sheng'ren'zai'hu'wei 必有圣人在乎位
'bi'you'shi'de'zhi'chen'hou'shi'er'bu 必有世德之臣厚施而不
'bi'you'shi'ke'shou'yi'dai'zhong'sang 彼有食可守以待终丧
'bi'you'suo'dai'er'bu'hui'zhe 彼有所待而不悔者
'bi'you'suo'hai 必有所害
'bi'you'tian'yang 必有天殃
'bi'you'xiong'nian 必有凶年
'bi'you'yi'jiu'zhi'en 必有异旧之恩
'bi'you'yi'su'zhi'lei 必有遗俗之累
'bi'you'yu'wu'zhi'nei 彼游于物之内
'bi'yu'bi'nian'xiang'ruo'ye 彼与彼年相若也
'bi'yu'li'yang 逼于黎阳
'bi'yue 必曰
'bi'zai'bao'er'chao 必载宝而朝
'bi'ze'ju'er'xie'yi'mou'wo 彼则惧而协以谋我
'bi'ze'si'ran'er'wei'di 彼则肆然而为帝
'bi'ze'you'shi'ye 璧则犹是也
'bi'zhi'fu'xiao'zi'xiu'zhi'de'bo'neng 俾知夫小子修之德薄能
'bi'zhi'fu'zhe'ben'er'you 彼执斧者奔而右
'bi'zhi'ju'zhe'qu'er'zuo 彼执锯者趋而左
'bi'zhi'lin 必知麟
'bi'zhi'shi'shi'tu'li'zhi 俾执事实图利之
'bi'zhi'shi'zhi 臂之使指
'bi'zhi'yu'cheng'ren 俾至于成人
'bi'zhong'wo'gua 彼众我寡
'bi'zhu'wei'shi'zhe 彼主为室者
'bi'zi'cheng'wei'yi'shang'bian'zhi'si'ren 彼自丞尉以上遍置私人
'bi'zi'shi'shi'yi 必自是始矣
'bi'zuo'tian'zi'xiang'tian'xia'zhe 彼佐天子相天下者
'bian'bu'lin'qi'xue 窆不临其穴
'bian'de'yi'shan 便得一山
'bian'deng'lie 辨等列
'bian'feng'jian'er'wei'jun'xian 变封建而为郡县
'bian'fu'xiang'lu 便扶向路
'bian'gan'zhu'hou 遍干诸侯
'bian'gu'jin'shi'dang'fou 辨古今事当否
'bian'hua'er'bu'ke'ce'zhe 变化而不可测者
'bian'hua'feng'yu 变化风雨
'bian'hua'shu'hu 变化倏忽
'bian'jian'lun 辨奸论
'bian'jun'ye'hu 边军夜呼
'bian'qie'zhong'qi 变且中起
'bian'ren'ji'gu 砭人肌骨
'bian'ru'jia'yi'er'shu'bu'shu 辨如贾谊而术不疏
'bian'se'er'que'bu 变色而却步
'bian'she'chuan'cong'kou'ru 便舍船从口入
'bian'sheng'si'qi 边声四起
'bian'tian'zi 贬天子
'bian'tu'can'lie 边土惨裂
'bian'xin'ran'wang'shi 便欣然忘食
'bian'yan'wei'fu 辩言伟服
'bian'yao'huan'jia 便要还家
'bian'yi'wei'er'qian'shi'kai'fa 编以为二千石楷法
'bian'yu'tian'xia 遍于天下
'bian'yu'yin'hai 便欲引还
'bian'zhi'ji 辨之疾
'bian'zhi'ye 贬之也
'bian'zu'yi'yi'wan'wu 辩足以移万物
'bian'zuo'jia'shi 便作佳士
'biao'dong'hai'zhe 表东海者
'biao'jian'qi'wen 表见其文
'biao'shang 表上
'bie'xian'yi 别嫌疑
'bin'cong'you'dai 宾从有代
'bin'fu'zhe'xiang 宾服者享
'bin'jian'wu'shi 宾见无时
'bin'mei'ren'zhi'lu 宾媚人致赂
'bin'ru'ru'gui 宾入如归
'bin'zhi'ru'gui 宾至如归
'bin'zhu'jin'dong'nan'zhi'mei 宾主尽东南之美
'bing'che'rou'cu 兵车蹂蹴
'bing'cuo'di'xue 兵挫地削
'bing'fa'cheng'lao 兵法乘劳
'bing'fa'xiu'lie 兵法修列
'bing'fa'zhi'jiao 兵法之教
'bing'fei'tu'zhong'ye 病非徒瘇也
'bing'fu'cang'yu'wo'nei 兵符藏于卧内
'bing'ge'bu'cang 兵革不藏
'bing'ge'wei'xi 兵革未息
'bing'guo'er'shi 并国二十
'bing'jia'yi'zu 兵甲已足
'bing'jia'yu'qi 兵甲愈起
'bing'jie'yu'qian 并揭于阡
'bing'jin'shi'qiong 兵尽矢穷
'bing'jiu'suo'cang 并旧所藏
'bing'lie'zhi'wei'feng 并列之为风
'bing'ling'shou'ru'sang 并令守汝丧
'bing'lou 病偻
'bing'nai'chu 兵乃出
'bing'qi'yu'ren 病奇于人
'bing'qiang'ze'shi'yong 兵强则士勇
'bing'ri'er'shi 并日而食
'bing'shen 丙申
'bing'shi'su'jun'yi'wei'he'ru'ye 并示苏君以为何如也
'bing'shou'huo'bai'zhi'ru 并受祸败之辱
'bing'shou'qi'fu 并受其福
'bing'shou'xie'zuo 并手偕作
'bing'tong'can'da 病痛惨怛
'bing'tun'ba'huang'zhi'xin 并吞八荒之心
'bing'wei'jing'ni 并为鲸鲵
'bing'xian'jin'suo'wei'fu'zhi'fu'yi'xia 并献近所为复志赋以下
'bing'yi'ran'zi'le 并怡然自乐
'bing'you'chang'duan 兵有长短
'bing'zhe'yi'yu 病者以愈
'bo'ai'zhi'wei'ren 博爱之谓仁
'bo'e'wo'gui 波恶涡诡
'bo'fu'chou'yi 驳复仇议
'bo'fu'lian 薄赋敛
'bo'lan'bu'jing 波澜不惊
'bo'le'sui'shan'zhi'ma 伯乐虽善知马
'bo'le'yi'guo'ji'bei'zhi'ye 伯乐一过冀北之野
'bo'le'zhi'ma 伯乐知马
'bo'liu'jin'guan 波流浸灌
'bo'lu'zhu'ru 欂栌侏儒
'bo'luan'shi'fan'zhi'zheng 拨乱世反之正
'bo'luan'zhu'bao 拨乱诛暴
'bo'mu 薄暮
'bo'mu'ming'ming 薄暮冥冥
'bo'ri'yue 薄日月
'bo'shang'zi'yi'shou'jie 薄赏子以守节
'bo'sheng'ji'bu'xiu'wo'shang 犦牲鸡卜羞我觞
'bo'shi'bu'chu'er'tu'wu'jun 伯氏不出而图吾君
'bo'shi'gou'chu'er'tu'wu'jun 伯氏苟出而图吾君
'bo'shuo'fei'tu 博硕肥腯
'bo'sui'wan'ming'bu'ling 伯虽顽冥不灵
'bo'wen'qiang'zhi 博闻强志
'bo'wu 薄午
'bo'ya'zhong'shen'bu'fu'gu'qin 伯牙终身不复鼓琴
'bo'ye 伯也
'bo'yi'lie'zhuan 伯夷列传
'bo'yi'shu'qi 伯夷叔齐
'bo'yi'shu'qi'kou'ma'er'jian'yue 伯夷叔齐叩马而谏曰
'bo'yi'shu'qi'sui'xian 伯夷叔齐虽贤
'bo'yi'yue 伯夷曰
'bo'zao'chuo'li 餺糟啜醨
'bo'zhe'mo'gao'yu'qi'huan 伯者莫高于齐桓
'bo'zhi'sheng'shi 播之声诗
'bo'zhou'fei'ren'suo'ju 播州非人所居
'bu'ai'qi'qu 不爱其躯
'bu'ai'si 不爱死
'bu'ai'zhen'qi'zhong'bao'fei'rao'zhi'di 不爱珍器重宝肥饶之地
'bu'bai 不拜
'bu'bi'feng'ri 不蔽风日
'bu'bi'jie'cong'yu'ji'chu 不必皆从于己出
'bu'bi'qi'fei 补敝起废
'bu'bi'shan'cheng 不必善成
'bu'bi'shan'zhong 不必善终
'bu'bu'zu 补不足
'bu'chan'yu'qin 不产于秦
'bu'cheng'qi'zhi'qi 不称其志气
'bu'chi'xiang'shi 不耻相师
'bu'chu 不出
'bu'chu'yu'jia 不畜于家
'bu'dai'gan'zhi 不待甘旨
'bu'dai'qi'xi'er'he'yi'cheng'zhi'ye 不待其戏而贺以成之也
'bu'dai'qing'nuan 不待轻暖
'bu'dai'sheng'er'cun 不待生而存
'bu'dai'zhi'zhe'er'hou'zhi'ye 不待智者而后知也
'bu'dan'zheng'shan'yi'dai'qin'ming 不惮征缮以待秦命
'bu'dan'zheng'shan'yi'li'yu'ye 不惮征缮以立圉也
'bu'dang'feng'xie 不当封邪
'bu'dang'zhi'chan'ye 不当治产业
'bu'de 不德
'bu'de'jian'jiu'yi 不得见久矣
'bu'de'ming 不得命
'bu'de'qi'chuan'yan 不得其传焉
'bu'de'qi'qing'ze'yu 不得其情则予
'bu'de'qi'yan'ze'qu 不得其言则去
'bu'de'qi'zhi'ze'qu 不得其职则去
'bu'de'ru'yu'lu 不得入于鲁
'bu'de'tong'qi'dao 不得通其道
'bu'de'tong'qi'dao'ye 不得通其道也
'bu'de'yi'er'qi 不得已而起
'bu'de'yu'chao 不得于朝
'bu'de'yu'tian'xia'zhi'xin 不得于天下之心
'bu'de'yu'yu'ku'qi'zhi'ai 不得与于哭泣之哀
'bu'de'zhao'xi'ji'jian 不得朝夕继见
'bu'de'zhi 不得志
'bu'di'yu'jian 不底于奸
'bu'di'yu'zhou'cheng'zhi'nan'qi'li 卜地于州城之南七里
'bu'di'zhe'ze'li'xiang'qing'jia 不地着则离乡轻家
'bu'dian'qing'shang 布奠倾觞
'bu'dong'sheng'se 不动声色
