'ba'gua'kong'zhang 八卦空掌
'rou'dan'zhan'che 肉弹战车
'rou'dan'zhen'zhan'che 肉弹针战车
'rou'quan 柔拳
'ru'yu'lu'qian'ben 如鱼露千本
'san'ri'yue'zhi'wu 三日月之舞
'se'you'zhi'shu 色诱之术
'sha'bao'song'zang 沙暴送葬
'sha'fu'jiu 砂缚柩
'sha'fu'lao 砂缚牢
'sha'shou'li'jian 沙手里剑
'shen'luo'tian'zheng 神罗天征
'shen'xin'zhuan'huan'shu 身心转换术
'shi'gui'feng'jin 尸鬼封尽
'shi'gui'jie'wen 尸鬼接吻
'shi'gui'zhuan'shen 尸鬼转身
'shi'yan'luo'mo'shu 矢阎罗魔术
'shi'zhi'chuan'dan 十指穿弹
'shi'zi'lian'tan 狮子连弹
'shou'bo'lie'feng'zhang 兽波烈风掌
'shou'bo'zhang 兽波掌
'shou'li'jian'ying'fen'shen 手里剑影分身
'shou'ren'fen'shen 兽人分身
'shou'ren'ti'shu'ao'yi'ya'tong'ya 兽人体术奥义牙通牙
'shou'wei'ba'gua'liu'shi'si'zhang 守卫八卦六十四掌
'shu'fu'shu 束缚术
'shu'jie'jiang'dan 树界降诞
'shuang'she'xiang'sha 双蛇相杀
'shui'dun'bo'luan'wan'zheng 水遁波乱万蒸
'shui'dun'da'pu'bu'zhi'shu 水遁大瀑布之术
'shui'dun'long'hu'zhi'shu 水遁泷壶之术
'shui'dun'po'ben'liu 水遁破奔流
'shui'dun'pu'shui'chong'bo 水遁瀑水冲波
'shui'dun'she'zhi'kou 水遁蛇之口
'shui'dun'shui'dai'na'yuan 水遁水殆拿原
'shui'dun'shui'jiao'dan'zhi'shu 水遁水蛟弹之术
'shui'dun'shui'long'dan'zhi'shu 水遁水龙弹之术
'shui'dun'shui'qing'bo 水遁水清波
'shui'dun'shui'zhen'bi 水遁水阵壁
'shui'dun'shui'zhen'bi 水遁睡阵壁
'shui'dun'tie'pao'dan 水遁铁炮弹
'shui'dun'xie'zhi'kou 水遁邪之口
'shui'fen'shen 水分身
'shui'lao'shu 水牢术
'si'hun'zhi'shu 死魂之术
'si'jiao'zhi'shu 四脚之术
'si'zi'yan'zhen 四紫炎阵
'ti'shen'shu 替身术
'ti'shu'li'lian'hua 体术里莲华
'ti'shu'mu'ye'xuan'feng 体术木叶旋风
'tian'zhao 天照
'tie'sha'jie'fa 铁砂界法
'tong'ling'shu'san'chong'luo'sheng'men 通灵术三重罗生门
'tong'ling'shu'zhan'zhan'wu 通灵术斩斩舞
'tong'ling'zhi'shu 通灵之术
'tu'dun'huang'quan'zhao 土遁黄泉沼
'tu'dun'jiu'ji'chuang'sheng'zhi'shu 土遁究极创生之术
'tu'dun'ni'fa'shi 土遁泥法师
'tu'dun'tu'liu'bi 土遁土流壁
'tu'dun'tu'liu'cheng'bi 土遁土流城避
'tu'dun'tu'liu'cheng'bi 土遁土流城壁
'tu'dun'tu'liu'da'yang 土遁土流大洋
'tu'dun'tu'long'dun 土遁土龙遁
'tu'dun'tu'long'qiang 土遁土隆枪
'tu'dun'tu'zhong'ying'yu'zhi'shu 土遁土中映鱼之术
'tu'dun'xin'zhong'zhan'shou'zhi'shu 土遁心中斩首之术
'tu'dun'yan'ban'jiu 土遁岩板柩
'tu'dun'yan'qie'gun 土遁岩窃棍
'tu'dun'yan'yin'zhi'shu 土遁岩隐之术
'tu'dun'yan'zhu'lao 土遁岩柱牢
'tu'dun'yan'zhu'qiang 土遁岩柱枪
'tu'dun'yi'di'yu 土遁蚁地狱
'tu'dun'you'wei'zhuan'bian 土遁有为转变
'wai'dao'lun'hui'tian'sheng'zhi'shu 外道轮回天生之术
'wan'xiang'tian'yin 万象天引
'wu'xing'feng'yin 五行封印
'wu'xing'jie'yin 五行解印
'wu'ying'zhi'shu 雾影之术
'xian'fa'da'yu'luo'xuan'wan 仙法大玉螺旋丸
'xian'fa'wu'you'wei'men 仙法五右卫门
'xiang'ming'chuan 响鸣穿
'xiang'zhuan'zhi'shu 象转之术
'xiao'xie'yan'zhi'shu 消写颜之术
'xie'fa'feng'yin 邪法封印
'xu'zuo'zhi'nan 须佐之南
'ya'lang'ya 牙狼牙
'ya'tong'ya 牙通牙
'yi'shi 仪式
'yi'shu 艺术
'ying'fen'shen'zhi'shu 影分身之术
'ying'feng'shu 影缝术
'ying'shou'li'jian'zhi'shu 影手里剑之术
'ying'wu'ye 影舞叶
'ying'zhao'huan'zhi'shu 影召唤之术
'ying'zi'jiao'shou'shu 影子绞首术
'ying'zi'mo'fang'shou'li'jian'zhi'shu 影子模仿手里剑之术
'yuan'yan'jing'zhi'shu 远眼镜之术
'yue'du 月读
'zao'jue'zhi'wu 早撅之舞
'zhan'kong'bo 斩空波
'zhan'kong'ji'bo 斩空极波
'zhang'xian'shu 掌仙术
'zhi'fen'shen 纸分身
'zhou'yin'shu 咒印术
'zhuan'shen'zhi'shu 转身之术
'zui'quan 醉拳
