'a'kun 阿鲲
'fu'wen'da'shi 符文大师
'fu'wen'sui'pian 符文碎片
'fu'wen'wai'pi 符文外披
'gai'ming'ka 改名卡
'gan'dian 感电
'gan'ying'hua 肝硬化
'ge'bu'lin'chi'mao 哥布林吃矛
'ge'bu'lin'chui'bao 哥布林锤爆
'ge'bu'lin'hao'jiao 哥布林号角
'ge'bu'lin'man'tou 哥布林馒头
'ge'bu'lin'zha'ren 哥布林炸仁
'ge'li'ni'de'rui'zhao 戈里尼的锐爪
'ge'te'chang'qun 哥特长裙
'gong'hui 公会
'gong'hui'gong'xian 公会贡献
'gong'hui'lie'xi 公会裂隙
'gong'hui'zi'jin 公会资金
'gong'ji'pin'lv 攻击频率
'gong'ji'ping'fen 攻击评分
'gong'su 攻速
'gong'xian'shang'dian 贡献商店
'gou'huo'mo'xiang 篝火魔像
'gou'nan 狗男
'gou'nan'nv 狗男女
'gou'nv 狗女
'gu'dai'shen 古代神
'guai'qi'da'fa'shi 怪奇大法师
'guan'guan'bo'shi 罐罐博士
'guang'mang'chong'ji 光芒冲击
'guang'mang'ji'she 光芒激射
'gui'huo 鬼火
'gui'mu 鬼牧
'gui'pao'yi 鬼袍衣
'gui'shu'wan'ou 诡术玩偶
'gui'zhua 鬼爪
'gun'shi'zhan'shi 滚石战士
'gun'shou 滚兽
'hai'de'la 海德拉
'hai'di'shi'jie 海底世界
'hai'ren 海忍
'hai'shen'shi'xiang 海神石像
'hai'zhan 海战
'han'bing'fa'shi 寒冰法师
'han'bing'ji'ju'xie 寒冰寄居蟹
'han'bing'sui'pian 寒冰碎片
'han'dong'bao'jun 寒冬暴君
'han'dong'wai'pi 寒冬外披
'hao'huo 豪火
'he'lu'si 荷鲁斯
'he'ping'shi'zhe 和平使者
'he'quan 和泉
'he'xin'fu'wen 核心符文
'he'xin'fu'wen'sui'pian 核心符文碎片
'he'xin'qun 核心群
'hei'ji'nv'huang 黑棘女皇
'hei'se'ji'guang'fu'er'gan 黑色极光伏尔甘
'hong'long'jia'mian 红龙假面
'hong'zhi'zhu 红蜘蛛
'hou'jing'pian 厚镜片
'hu'dun'shang'hai 护盾伤害
'hu'dun'zhi 护盾值
'hu'jia 护甲
'hu'jia'chuan'tou 护甲穿透
'hu'lao'shi 糊老师
'hu'li 槲栎
'hu'shen'dou'peng 护身斗篷
'hu'xin 护心
'hua'yao'chu'shou 花妖触手
'hua'yao'wang 花妖王
'hua'zhi'rui 花之蕊
'huan'hua'shi 幻化石
'huang'feng'hou 黄蜂后
'huang'jin'shi'lai'mu 黄金史莱姆
'hui'fu 回复
'hui'jin'shi'tu 灰烬使徒
'hui'mie'zhong'pao 毁灭重炮
'hui'xuan'biao 回旋镖
'hui'yin'bian'fu 回音蝙蝠
'hun'dun'shi 混沌石
'hun'ka 魂卡
'huo'biao'zhan'shi 火镖战士
'huo'fa 火法
'huo'gong 火攻
'huo'huo'shan 活火山
'huo'jian'zhan'shi 火箭战士
'huo'jing'ling 火精灵
'huo'kang 火抗
'huo'ling'shi 火灵石
'huo'mao'zhan'shi 火矛战士
'huo'mu 火牧
'huo'quan'tian'jiang 火拳天降
'huo'ren 火忍
'huo'ren'zhan'shi 火刃战士
'huo'shan 火山
'huo'wen'mian'yang 火纹绵羊
'huo'xing'du'su 活性毒素
'huo'xing'yuan'su'shi 活性元素石
'huo'yan'dan 火焰弹
'huo'yan'lian'tan 火焰连弹
'huo'yan'lie'bian 火岩裂变
'huo'yan'ling'zhu 火焰领主
'huo'zhan 火战
'huo'zhi'zhu 火蜘蛛
'ji'dian'hei'sha 极电黑鲨
'ji'dong'xian'sheng 急冻先生
'ji'gong'zhi'fu 技工制服
'ji'han'mo'ri 极寒末日
'ji'neng'bi 技能币
'ji'neng'shang'hai 技能伤害
'ji'pao 鸡炮
'ji'qiang'bing'du'yan 机枪兵独眼
'ji'qiao'shi'lian 技巧试炼
'ji'qu'xiang'lian 汲取项链
'ji'xie'you'xia 机械游侠
'ji'yi'lei'dong 极意雷动
'ji'yi'zhan'lei 极意斩雷
'ji'ying 极影
'jia'su'chi'lun 加速齿轮
'jian'mie 歼灭
'jiang'bing'da'wang 姜饼大王
'jiao'ren 蕉人
'jin'bi 金币
'jin'ji'zhi'liao 紧急治疗
'jing'dian'li'chang 静电力场
'jing'ji'chang 竞技场
'jing'ji'hu'dun 荆棘护盾
'jing'jie'ji'bing 警戒机兵
'jing'ling 晶灵
'jing'ling'ke'yin 精灵刻印
'jing'ling'long'juan 精灵龙卷
'jing'ling'qiu 精灵球
'jing'qi'hu'fu 精气护符
'jiu'meng 旧梦
'jiu'yuan'xin'hao 救援信号
'jiu'zhan'xiong'jia 久战胸甲
'ju'du'gong'chang 剧毒工厂
'ju'xia 狙侠
'jue'dou'jia'mian 角斗假面
'kang'na'de'bu'lie 康纳的捕猎
'ke'er'su'cheng'de 克尔苏乘德
'ke'luo'sai'er 克罗塞尔
'ke'xue'jia 科学家
'kuai'le'xing'xing'shu 快乐星星树
'kuang'feng'bao'yu 狂风暴雨
'kuang'long'kui 狂龙盔
'kuang'qi'xiang'lian 狂气项链
'kuang'xi 狂袭
'kuang'zhan'ge'si 狂战格斯
'la'ji'tong 垃圾桶
'lang'ren'pi'feng 浪人披风
'lao'han'tui 老寒腿
'lao'jiu'de'shu'pi 老旧的树皮
'lei'bao 雷暴
'lei'dian'xin'xing 雷电新星
'lei'fa 雷法
'lei'guang 雷光
'lei'mu 雷牧
'lei'qiang'shu 雷枪术
'lei'ren 雷忍
'lei'ting 雷霆
'leng'que'suo'jian 冷却缩减
'leng'xue 冷血
'leng'yue'o 冷月哦
'li'li 梨梨
'lian'gong'xie 练功鞋
'lian'huan'bao'dan 连环爆弹
'lian'shi 连矢
'lian'zhan 连斩
'liang'ji 两极
'liang'yi 两仪
'liang'yi'fa 两仪法
'lie'du 烈毒
'lie'huo'wu 烈火舞
'lie'la'jin 列拉金
'lie'xi 裂隙
'lie'yan'feng'che 烈焰风车
'lie'yan'fu'sheng 烈焰复生
'lin'dong'bao'jun 凛冬暴君
'lin'huo 磷火
'lin'huo'pen'she'qi 磷火喷射器
'ling'chen 凌宸
'ling'feng 凌风
'ling'hun'chong'ji 灵魂冲击
'ling'hun'sui'pian 灵魂碎片
'ling'mu'qian'yu 灵目千羽
'ling'mu'you'xia 灵目游侠
'ling'neng'beng'fa 灵能迸发
'ling'neng'chang'pao 灵能长袍
'ling'neng'mu 灵能牧
'ling'qiao'zhi'su 灵巧之速
'ling'shi'dou'mao 灵视兜帽
'ling'yu 领域
'liu'xing'bao'fa 流星爆发
'liu'xue 流血
'liu'ying'biao 流影镖
'long'dao 龙刀
'long'shen'chuan'jiang 龙神船桨
'long'ya'zhi'huan 龙牙指环
'luo'huang'nan'min 落荒难民
'luo'yan'bing'qi 螺岩兵器
'luo'yan'cheng'jiao'ben 螺湮城教本
'luo'ying'shan 落樱扇
'man'yue 满月
'mao'mi'lao'shi 猫咪老师
'mei'du'sha 美杜莎
'meng'kan 猛砍
'meng'meng'zi 檬檬子
'mi'fa'bu'diao 秘法步调
'mi'jing 秘境
'mi'shu'chang'xue 秘术长靴
'mi'wu'zhi'ying'hai'de'la 迷雾之影海德拉
'miao'miao'quan 喵喵拳
'mie'hun'zhe'ha'di'si 灭魂者哈迪斯
'mie'huo'qi 灭火器
'mie'shi 灭世
'ming'wang'gong 冥王弓
'mo'fa'gong'fang 魔法工坊
'mo'jian'shu 魔剑术
'mo'la'ge'si 莫拉格斯
'mo'li'ji'dang 魔力激荡
'mo'nv 魔女
'mo'shen'zhi'yan 魔神之眼
'mu'gong 木攻
'mu'huan 木环
'mu'kang 木抗
'mu'mian'dun 木面盾
'mu'ren 木忍
'mu'shi 牧师
'mu'xing 牧星
'mu'yang'ren 牧羊人
'mu'zhan 木战
'mu'zhuang 木桩
'neng'liang'fu'wen 能量符文
'neng'liang'fu'wen'sui'pian 能量符文碎片
'neng'liang'hui'fu 能量回复
'neng'liang'shang'xian 能量上限
'neng'liang'zhi'huan 能量之环
'ning'bing'dou'peng 凝冰斗篷
'nu'yan'tou'guan 怒焰头冠
'nv'pu'la'mu 女仆菈姆
'nv'wu'ai'wa 女巫爱娃
'nv'wu'deng'long 女巫灯笼
'pang'shou'ren 胖兽人
'pao'pao'qiang 泡泡枪
'pi'lao 疲劳
'ping'guo 苹果
'ping'lan'chou'chang 凭栏惆怅
'ping'tou'fa'xing 平头发型
'po'bing'yi'ji 破冰一击
'po'ji'pao 迫鸡炮
'po'mo'fa'yin 破魔法印
'po'zi'zhen'yan 破字真言
'pu'gong'shang'hai 普攻伤害
'pu'luo'mi'xiu'si'de'ku'nan 普罗米修斯的苦难
'qi'bing'chang'xue 骑兵长靴
'qi'cai'tian'tian'quan 七彩甜甜圈
'qi'huan'sen'lin 奇幻森林
'qi'miao'mo'gu'bao 奇妙蘑菇堡
'qi'shi 启示
'qi'yu'zhi'xue 奇遇之靴
'qi'zhan 旗战
'qian'shui'fu 潜水服
'qiang'zhe'zhi'lv 强者之履
'qing'dian 擎电
'qing'long'yan'yue'dao 青龙偃月刀
'qing'tong'bi'shou 青铜匕首
'qu'dong'qi'shi 驱动骑士
'quan'shang'hai 全伤害
'quan'yu'chong'zhuang 痊愈重装
'ran'shao'meng'chong 燃烧猛冲
'ran'xue'pi'feng 染血披风
're'qing'nan'gua 热情南瓜
're'xue'ku'lou 热血骷髅
're'xue'xiao'gu'tou 热血小骨头
'ren'ou 人偶
'ren'ya'zhi'huan 刃牙之环
'ren'zhe 忍者
'rong'he'zhan'jia 融合战甲
'rong'huo'zhi'xi 熔火之息
'rong'yan'zha'dan 熔岩炸弹
'sa'man'wang 萨满王
'sai'ya'ren'jia'fa 赛亚人假发
'san'dan'qiang 散弹枪
'san'se'sheng'dai 三色圣代
'sha'bao'bi'ri 沙暴蔽日
'sha'mo'fei'xu 沙漠废墟
'sha'sha'shui'qiang 鲨鲨水枪
'shan'dian'hu'dun 闪电护盾
'shan'guang'zhi'chen 闪光之尘
'shan'xian'chong'ji 闪现冲击
'shang'cheng 商城
'shao'ta'you'xia 哨塔游侠
'she'shou'pi'feng 射手披风
'shen'ci'zhi'li 神赐之礼
'shen'fa'nu'lei 神罚怒雷
'shen'jing'du'su 神经毒素
'shen'sheng'fen'nu 神圣愤怒
'shen'sheng'qi'qiu 神圣祈求
'shen'sheng'shen'pan 神圣审判
'shen'shu'jing'po 神树精魄
'shen'you'bao'shi 神佑宝饰
'shen'yuan'da'shi 深渊大师
'shen'yuan'shou'lie 深渊狩猎
'shen'yuan'sui'pian 深渊碎片
'shen'yuan'tan'xian 深渊探险
'sheng'cun'ping'fen 生存评分
'sheng'guang'zhang 圣光杖
'sheng'hua 圣华
'sheng'li'hui'xiang 圣力回响
'sheng'ling'dan 圣灵弹
'sheng'ling'fa'zhen 圣灵法阵
'sheng'ming 生命
'sheng'ming'yu'xi'sheng 生命与牺牲
'sheng'yan 盛宴
'shi'hun'gui'zhua 噬魂鬼爪
'shi'hun'zhi'lian 噬魂之镰
'shi'lai'mu'yan'qiu 史莱姆眼球
'shi'lian'bi 试炼币
'shi'ling'zhe 噬灵者
'shi'shi 史诗
'shi'tu'wai'yi 使徒外衣
'shi'wen'zi 十文字
'shi'zhong'jian 石中剑
'shou'ji 受击
'shou'ling'shang'hai 首领伤害
'shou'qiang'mi'si'da 手枪米四达
'shou'shang 受伤
'shu'ye'wai'yi 树叶外衣
'shua'xin'bi 刷新币
'shuang'ji 霜迹
'shuang'pi'lao 双疲劳
'shuang'ya 霜牙
'shui'di'shi'lai'mu 水滴史莱姆
'shui'gong 水攻
'shui'kang 水抗
'shui'lao'shu 水牢术
'shui'long'tou 水龙头
'shui'mu 水牧
'shui'qiang 水枪
'shui'ren 水忍
'shun'bu'ju'ji 瞬步狙击
'si'ling'dun 死灵盾
'si'shen'lian'dao 死神镰刀
'si'tuo'la'si 斯托拉斯
'su'xing'zhe'ye'meng'jia'de 苏醒者耶梦加得
'sui'pian'hu'zeng 碎片互赠
'suo'luo'men 所罗门
'ta'na'tuo'si'de'di'yu 塔纳托斯的低语
'tan'ce'qi 探测器
'tan'huang'gai'zao'ren 弹簧改造人
'tan'xi'zhi'qiang 叹息之墙
'tang'hu'hu 唐糊糊
'tang'hu'lu 糖葫芦
'tang'yuan 汤圆
'tao'zi'sai'gao 桃子赛高
'te'shu'zhan'dou'yuan 特殊战斗员
'ti'shen'shu 替身术
'tian'fa 天罚
'tian'fu 天赋
'tian'fu'ren'ou 天赋人偶
'tian'gou 天狗
'tian'rang'jie'huo 天壤劫火
'tian'shi'xing'tai 天使形态
'tian'zhao 天照
'tian'zhui'sha'zhen 天坠杀阵
'tie'duan'hu'jie 铁锻护戒
'tie'jiang'duo'li'an 铁匠多利安
'ting'zhen'qi 听诊器
'tong'ling'shui'jing 通灵水晶
'tou'mao'shou'lie'gu 投矛手猎骨
'tou'mao'shou'pi'gu 投矛手屁骨
'tou'qiu'shou'xue'gao 投球手雪高
'tou'yun'yan'hua 头晕眼花
'tu'fu 屠夫
'tu'fu'gou'lian 屠夫钩镰
'tu'mo'bao'dao 屠魔宝刀
'tun'lan 吞蓝
'tun'tun'pai'qiu 豚豚排球
'wa'dun'shu 蛙遁术
'wa'wa 娃娃
'wan'fa 玩法
'wan'jian'qi'fa 万箭齐发
'wan'xiang'feng'jin 万象封禁
'wang'ling'cheng'bao 亡灵城堡
'wei'neng'fu'shi 威能符石
'wo'de'yong'zhe 我的勇者
'wu'nv'chang'pao 巫女长袍
'wu'pin'shi'qu'fan'wei 物品拾取范围
'wu'qi'bi 武器币
'wu'shuang 无双
'wu'ying'jian 无影剑
'wu'yong'tou'jin 无用头巾
'xi'you 稀有
'xia'na 夏娜
'xia'ri'zi'xuan 夏日自选
'xian'chen 纤尘
'xian'ding 限定
'xian'jing 陷阱
'xian'qu'zhe 先驱者
'xian'ren'zhang 仙人掌
'xian'wang 仙王
'xian'xue'hu'fu 鲜血护符
'xian'yu 咸鱼
'xiang'jiao 香蕉
'xiang'long'fa'jie 翔龙法戒
'xiao'yang 小羊
'xie'shi 邪噬
'xie'wang'zhen'zu 邪王真足
'xin'xian'shui'guo'pan 新鲜水果盘
'xin'zang 心脏
'xing'chen 星沉
'xing'hong'ju'jian 腥红巨剑
'xing'xing'shu 星星树
'xiu'shi'bian'xie 修士便鞋
'xu'kong'jie'jing 虚空结晶
'xu'zuo'neng'hu 须佐能乎
'xu'zuo'xing'tai 须佐形态
'xue'feng 雪风
'xue'guai 雪怪
'xue'lu 血戮
'xue'qiu 雪球
'xue'qiu'qi'shi 雪球骑士
'xue'ren'gou'lian 血刃勾镰
'xue'shan'tu'fu 雪山屠夫
'xue'shang 雪殇
'xue'ying'gang'quan 血影钢拳
'xue'yuan'kuang 血缘矿
'xun'zhang 勋章
'yan'bao'qiang 炎爆枪
'yan'mie 炎灭
'yan'mo 炎魔
'yan'mo'xin'zang 炎魔心脏
'yan'neng'ji'yong 炎能激涌
'yan'qie 炎切
'yan'wu'dan 烟雾弹
'yan'xi 炎息
'yan'yu'sheng'cai 炎域圣裁
'yao'sai'jing 要塞鲸
'yao'shi 钥匙
'yao'shi 钥石
'ye'huo'fa'jiu 业火发鬏
'ye'man'zhi'li 野蛮之力
'ye'meng'jia'de 耶梦加得
'ye'mu'sen'lin 夜幕森林
'ye'ren 夜刃
'ye'shou'gu'xie 野兽骨鞋
'ye'xi 夜袭
'ye'xiao 夜枭
'yi'dong'su'du 移动速度
'yi'shang 易伤
'yin'bai'diao'zhui 银白吊坠
'yin'du'zhe'he'er'mo'si 引渡者赫尔墨斯
'yin'ying'qian'xing 阴影潜行
'yin'ying'yi'wu 阴影遗物
'yin'zhen'zhi'huan 银针指环
'ying'chong'liao'luan 樱冲缭乱
'ying'guang'wu'zei 荧光乌贼
'ying'huo'mo'gu 萤火蘑菇
'yong'zhe'wa 勇者蛙
'you'ling 幽灵
'you'ling'wang 幽灵王
'you'qing'zhi 友情值
'you'xia 游侠
'you'xia'duan'xue 游侠短靴
'yu'he 欲壑
'yu'jian'shu 御剑术
'yu'ren'qi'shi 鱼人骑士
'yuan'su'jie'jing 元素结晶
'yuan'su'jing'hua 元素精华
'yuan'su'san'chong'zou 元素三重奏
'yuan'su'zhi'xi 元素之息
'yuan'su'zhi'zhi 元素之智
'yue'ka 月卡
'yue'xia'wu'ying'jian 月下无影剑
'yun'bing'shu 陨冰术
'yun'wu 云雾
'za'jiao'ren 杂交忍
'zan'mei'shi 赞美诗
'zang'song'shan 葬送闪
'zha'dan'shou'bao'gu 炸弹手爆骨
'zhan'lan'jun'mao 湛蓝军帽
'zhan'shi 战士
'zhan'shi'pi'feng 战士披风
'zhan'you'zhao'mu 战友招募
'zhang'ai 障碍
'zhang'zhang'yang'san 章章阳伞
'zhao'mu 招募
'zhen'yan'chi'ling 真言敕令
'zhen'yan'zi'jue 真言字诀
'zhi'jia'dao 指甲刀
'zhi'yan'lun'hui 炙焰轮回
'zhi'ye 职业
'zhi'zhao 执照
'zhong'chui 重锤
'zhu'dian 逐电
'zhu'fu'wai'yi 祝福外衣
'zhu'rong'de'cai'jue 祝融的裁决
'zhuan'tou 砖头
'zhuo're'tu'xi 灼热吐息
'zhuo'yan'chu'peng 灼炎触碰
'zi'cang 子藏
'zi'ran'zhi'chu 自然之触
'zi'xuan 自选
'zong'shi'zhi'guan 宗师之冠
'zu'zhou'gu'shu 诅咒古树
'zuan'shi 钻石
