'a'bu'ha 阿布哈
'fei're'le 菲惹勒
'fei'ta'kan 费塔坎
'fen'lie'zhe'ji 分裂者级
'feng'huang'ji 凤凰级
'fu'ci'cha'ge 弗茨查格
'fu'er'ge 伏尔戈
'fu'er'ge'xing'yu 伏尔戈星域
'fu'fan'jing'shi 富凡晶石
'fu'jia'zhuang'jia 附加装甲
'fu'jia'zhuang'jia'zeng'xiao'she'bei 附加装甲增效设备
'fu'la'er 夫拉尔
'fu'le'hua 富勒化
'fu'le'hua'fan'ying 富勒化反应
'fu'leng'ti'ke'si 弗冷提克斯
'fu'li'bo'di 弗里波迪
'fu'rui'ji 弗瑞吉
'fu'si'ku'lun 夫斯库仑
'fu'wei'xi 夫维希
'fu'zhu'neng'yuan'he'xin 辅助能源核心
'ga'ke'le'mu 伽克勒姆
'ga'ma'jing'ti 伽玛晶体
'gai'lun'te 盖伦特
'gai'lun'te'bian'jing'di'qu 盖伦特边境地区
'gan'jiao'yan 干焦岩
'gan'ying'zeng'qiang'she'bei 感应增强设备
'gang'hua'jiao 钢化胶
'gao'su'dian'rong 高速电容
'ge'duo'er 戈多洱
'ge'han 格汉
'ge'kun'ta'mi 格昆塔米
'ge'la'mu 戈拉姆
'ge'li'an'ka'ni 格里安卡尼
'ge'ma'ti 格马提
'ge'mo'di 格莫迪
'ge'ni 格尼
'ge'rui'te'xi'er 格瑞特西尔
'ge'se 镉铯
'gong'ye'chuan 工业船
'gu'si'ta 古斯塔
'guan'xing'wen'ding'qi 惯性稳定器
'gui'dao'tan 轨道弹
'gui'suan'yan'bo'li 硅酸盐玻璃
'ha'bi'lun 哈比伦
'ha'ge'ke'en 哈格科恩
'ha'sa'di'mu 哈萨蒂姆
'ha'si'na'li 哈斯那利
'ha'te 哈特
'ha'xi'er 哈希尔
'hai'de 海德
'hao'fu 郝夫
'hao'la'la 郝拉拉
'he'cheng'fang'zhi'pin 合成纺织品
'he'ping'ai'ma 和平艾玛
'he'wa'ka 赫瓦卡
'he'zi'dan 核子弹
'hei'niao'ji 黑鸟级
'hei'yuan'xing'yu 黑渊星域
'hei'zhe'shi 黑赭石
'heng'tuo'jia'la 恒托加拉
'hong'wai'jing'ti 红外晶体
'hou'zhi'fan'jing'shi 厚质凡晶石
'hu'dun 护盾
'hu'dun'chuan'song 护盾传送
'hu'dun'fang'da'she'bei 护盾放大设备
'hu'er'tuo'ken 胡尔托肯
'hu'na 胡纳
'hu'wei'er'ma 胡威尔玛
'huan'ji 獾级
'huan'ji'ma'ke 獾级马克
'huan'zhuang'tai 环状钛
'hui'yan 灰岩
'hui'zhan'she'bei 会战设备
'hui'zhan'xing 会战型
'hui'zhuan'wen'ding'she'bei 回转稳定设备
'hun'he'wu'qi 混合武器
'huo'gui'cang 货柜舱
'huo'gui'cang'sao'miao'she'bei 货柜舱扫描设备
'huo'jian'fa'she'qi 火箭发射器
'huo'sha 霍沙
'huo'si'te'ni 霍斯特尼
'huo'te'mao'wu 霍特毛乌
'ji'an'ti 吉安提
'ji'bu'er'sha 基布尔沙
'ji'er'la'si 基尔拉斯
'ji'er'ma'de 基尔马的
'ji'er'ze'en 基尔泽恩
'ji'fu'duan'yan 基腹断岩
'ji'le'xi'si 吉勒西斯
'ji'ni'zu 基尼祖
'ji'nuo 吉诺
'ji'sa'na 基萨娜
'ji'shu'er 吉舒尔
'ji'si'ke'ken 吉斯克肯
'ji'su'kuai'di 疾速快递
'ji'su'pao 疾速炮
'ji'suo'jia 基索加
'jia'da'li 加达里
'jia'da'li'bian'jing'di'qu 加达里边境地区
'jia'en'jia'er 加恩加尔
'jia'er'ke 加尔克
'jia'er'zha'la'de 加尔扎拉德
'jia'ka'na'er'wei 贾卡纳尔维
'jia'ke'mu'xi 贾科姆西
'jia'leng'de 加冷德
'jia'li'ran'shao'shi 加力燃烧室
'jia'mi'si 加密斯
'jia'mo'er 加莫尔
'jia'na'si 加纳斯
'jia'ri'zha 贾日扎
'jia'shu'er'ci 加舒尔茨
'jia'ta'te 贾塔特
'jia'te 加特
'jia'te'lin 加特林
'jian'zhu'yu'zhi'kuai 建筑预制块
'jie'ji'jian 截击舰
'jie'mei'hui 姐妹会
'jie'ni'le'bu 杰尼勒布
'jie'si'bei 杰斯贝
'jie'ti 杰逖
'jie'ya 羯亚
'jin'na'ze 金纳泽
'jing'hua'zhi'yu 精华之域
'jing'ji'gu'xing'yu 静寂谷星域
'jing'lian'zhen'lie 精炼阵列
'jing'ti'fu'he'wu 晶体复合物
'jing'zhuang'shi'ying'he'yan 晶状石英核岩
'ju'bian'tan 聚变弹
'ju'niao'ji 巨鸟级
'ka'bi 卡比
'ka'che'xing'yu 卡彻星域
'ka'duo'er'xing'yu 卡多尔星域
'ka'ka 卡卡
'ka'la 卡拉
'ka'la'ji'ta 卡拉吉塔
'ka'la'ji'ta'ji'tuan 卡拉吉塔集团
'ka'lan'jin 卡兰金
'ka'li 卡利
'ka'luo'er 卡罗尔
'ka'ni'di'xing'yu 卡尼迪星域
'ka'nuo'la 咖诺拉
'ka'si'la'si 卡斯拉斯
'ka'zi'na 卡兹纳
'kai'bo 凯波
'kai'meng 凯蒙
'kai'nuo'kai 凯诺凯
'kai'sha'ge 凯莎戈
'kan'ke'ni'di'ya 坎克尼迪亚
'kan'ta'lun 坎塔伦
'kao'sa'jia 考萨贾
'ke'er'si 柯尔斯
'ke'la'la 克拉拉
'ke'la'shi'xing'fen'ji 克拉什兴奋剂
'ke'liao'te 柯廖特
'ke'luo'ji'shi 克洛基石
'ke'nuo'ba'na'la 科诺巴纳拉
'ke'shen'luo 克什罗
'ke'xi'na 克希娜
'ke'yi'ka'ken 科伊卡肯
'kong'jian'rao'luan'qi 空间扰乱器
'ku'er'si'ji 库尔斯基
'ku'ha'la'he 库哈拉赫
'kuang'ye'bo'chuan 矿业驳船
'la'che'lie'si 拉彻列斯
'la'shi'xi'ya 拉什希亚
'la'xie'er 拉谢尔
'lai'dai 莱戴
'lai'rui 赖瑞
'lai'yi'sen 莱伊森
'lan'de 兰德
'lan'jie'tan'fa'she'qi 拦截弹发射器
'le'dan 乐丹
'le'mo'rui 勒莫瑞
'le'sa'wu'dun 勒萨乌敦
'le'wei'ya'tan'ji 勒维亚坦级
'le'yi 勒伊
'lei'jing'ti'jiao'kuang 类晶体胶矿
'lei'yin'chao'jin'shu 类银超金属
'li'duo'ken 利多肯
'li'er'ma'de 里尔玛的
'li'fen'da 里芬达
'li'zi'li'chang'tou'she'qi 离子力场投射器
'lie'ku'li 列库里
'lie'na 列娜
'lie'ri'er 列日珥
'lin'yin'ji 林荫级
'lu'ci'ji 鸬鹚级
'lu'ken 鲁肯
'lu'mi'da 鲁米达
'lue'neng'qi 掠能器
'luo'bo'le 罗伯勒
'luo'le'la 罗勒拉
'luo'lun'di 罗伦蒂
'luo'sa'en'ting 罗萨恩汀
'luo'xi'ya 罗西亚
'luo'xia'le'en 罗夏勒恩
'ma'de'mu 玛德姆
'ma'er 玛尔
'ma'er'ti'ya 马尔提雅
'ma'ha'di 马哈蒂
'ma'ji'li'mi 玛几利米
'ma'jia'ma'er 玛加玛尔
'ma'la'ri'ya 玛拉日雅
'ma'la'ta 玛拉塔
'ma'luo'xi'er 马洛希尔
'ma'mo'na 玛莫纳
'ma'ni 马尼
'ma'sen'de 马森德
'ma'si'pa 玛斯帕
'ma'si'ta'ke'meng 马斯塔克蒙
'ma'te'ya'si 马特亚斯
'ma'ti'si'ta 玛提斯塔
'ma'wu'na'si 玛乌纳斯
'ma'yi'la 马伊拉
'ma'zha'ke 玛扎克
'mai'chong'bo 脉冲波
'mai'chong'she'bei 脉冲设备
'man'na'ge 曼那格
'mei'ci'rui 梅茨瑞
'mei'ni'ge'fu 梅尼格夫
'mei'te'bo'li'si 美特伯里斯
'meng'gui'ji 猛鲑级
'mi'ci'lun 密茨伦
'mi'fu'la'ta 米弗拉塔
'mi'lu 米鲁
'mi'ma'ta'er 米玛塔尔
'mi'meng 米蒙
'mi'mi'mei 米迷梅
'mi'mi'xi'ya 米米西亚
'mi'na'en 米呐恩
'mi'sai 米赛
'mi'se'yue'ya 米瑟约亚
'mi'si'lie'deng 密斯列登
'mi'wo'la 米沃拉
'mo'bi'te 莫比忒
'mo'ci 莫茨
'mo'deng'he'si 摩登赫斯
'mo'dun 默顿
'mo'fa 莫伐
'mo'ha'se 莫哈瑟
'mo'ka'shi'ta'de 莫卡什塔德
'mo'sha'si 莫莎斯
'mo'ti'de 莫提德
'mo'ya 摩亚
'mu'ben'lv 木本吕
'mu'wo'lai'lun 姆沃莱伦
'na'di're 纳迪惹
'na'fu'li'wei'ke 纳夫李维克
'na'fu'mei 纳夫梅
'na'ga'sai'ken 纳伽赛肯
'na'ji'de 纳基德
'na'ka'he 纳卡赫
'na'se'sha'la'fa 纳瑟沙拉法
'na'shen'lin 那什林
'na'xia 纳夏
'na'ze'ge'te 纳泽格特
'ne'he'ji'ya 讷赫吉亚
'nei'fan'da 内凡达
'neng'liang'chuan'shu'tian'xian 能量传输天线
'neng'liang'fang'hu'zhao 能量防护罩
'neng'liang'rao'duan'she'bei 能量扰断设备
'neng'liang'wu'qi 能量武器
'neng'liang'xi'shi'she'bei 能量吸食设备
'ni'er'bi 尼尔比
'ni'ke 尼克
'ni'ke'su'si 尼克苏斯
'ni'man'ba'er 尼曼巴尔
'ni'ya'bai'lun 尼亚拜伦
'ning'huan'ji 狞獾级
'ning'jing'zhi'yu 宁静之域
'nong'suo'he'jin 浓缩合金
'nong'suo'zhuo'shao'yan 浓缩灼烧岩
'nu'er'wa'kai'ken 努尔瓦凯肯
'nu'zha'yi'er 努扎义尔
'nuo'gao 诺高
'nuo'ma'er 诺玛尔
'nuo'mo 诺莫
'nuo'suo'de'ni'si 诺索德尼斯
'ou'bei 欧贝
'ou'deng'suo'fu 欧登索夫
'ou'di'bo 欧迪博
'ou'di'li'si 欧迪里斯
'ou'er'da'te 欧尔达特
'ou'er'wa 欧尔瓦
'ou'jia'ba'ri 欧加巴日
'ou'ke'la 欧克拉
'ou'ke'le'en 欧克勒恩
'ou'ke'meng 欧柯蒙
'ou'ku'lun 欧库仑
'ou'la'nie'nei 欧拉涅内
'ou'luo 欧罗
'ou'na'ze'er 欧纳泽尔
'ou'nuo 欧诺
'ou'si'meng 欧斯蒙
'ou'ta'mai'lun 欧塔迈伦
'ou'ta'nuo'mi 欧塔诺米
'ou'ta'tuo 欧塔托
'ou'te'se'la 欧特色拉
'ou'ti'tuo 欧提托
'ou'tu'ni 欧图尼
'ou'yi'ci'ya 欧伊茨亚
'ou'yi'ni'ken 欧伊尼肯
'ou'yue'lun 欧约伦
'pa'er'la 帕尔拉
'pa'la 帕拉
'pa'lu'de 帕鲁德
'pa'nuo'la'de 帕诺拉德
'pa'sa'sha 帕萨沙
'pei'ge'si 佩戈斯
'pei'ke'ang'ji'tuan 佩克昂集团
'pei'la 佩腊
'pei'ting'ke 佩汀克
'pei'ye 培耶
'pi'er'dan 皮尔丹
'pi'er'mi'te 皮尔米特
'pi'luo'xi'ding 皮洛西丁
'pi'mei'bei'ka 皮梅北卡
'pi'ta'nen 皮塔嫩
'pian'zhen'guang'shu 偏振光束
'pin'lv'jing'ti 频率晶体
'pin'you'dan 贫铀弹
'po'sui'xing'yu 破碎星域
'pu'er'qiao'la 普尔乔拉
'pu'lin 普林
'pu'luo'wei'deng'si 普罗维登斯
'pu'mu'suo 普姆索
'qian'zhi 铅质
'qiao'fa'en 乔法恩
'qiao'na'er 乔纳尔
'qiao'ni'nuo'er 乔尼诺尔
'qiao'sa'mi'tuo 乔萨密陀
'qiao'si 乔斯
'qing'dian'chi 氢电池
'qu'su 曲速
'qu'su'yue'jin'gan'rao'tan'zhen 曲速跃进干扰探针
'quan'xi'ji'yi'pan 全息记忆盘
'ri'la 日旯
'rong'liu'leng'ning'wu 熔流冷凝物
'rui'di'ma 瑞蒂玛
'rui'la'mi'ya 瑞拉米娅
'sa'ba'tuo'bu 萨巴托布
'sa'ga'yin 萨伽因
'sa'ji'kai'lun 萨基凯伦
'sa'jia'lan 萨贾兰
'sa'kan'lan 萨坎兰
'sa'le'ku'wa 撒了库瓦
'sa'li 萨里
'sa'mi'ni'er 萨米尼尔
'sa'na'yi 萨娜伊
'sa'si'ta 萨斯塔
'sa'teng'pa 萨藤帕
'sai'la 塞拉
'sai'ta'de'er 赛塔德洱
'sai'xi'ao 赛西奥
'san're'cao 散热槽
'san'tai'he'jin 三钛合金
'sao'miao'tan'zhen 扫描探针
'se'la'de 瑟拉德
'se'mi'ji 瑟米吉
'se'mo 瑟莫
'se'mo'shen 瑟莫什
'se'sha'te 瑟沙特
'se'yi'er 瑟依尔
'sen'da'ya 森达雅
'sha'che 莎彻
'sha'la 莎拉
'sha'lu'wei'er 沙鲁维尔
'sha'ma'xi 沙玛希
'sha'ri'er 沙日耳
'sha'rui'ou'si 莎瑞欧斯
'shan'ci'di 姗茨迪
'shan'ma'ta'er 姗玛塔尔
'shang'hai'kong'zhi 伤害控制
'she'duo 舍多
'she'le'la 舍勒拉
'she'te 舍特
'shen'hu'ken 什胡肯
'shen'ji'an'quan'mi'ma'ji'zhuang'xiang 审计安全密码集装箱
'shen'jing'chong'ji 神经冲击
'shi'fang'qi 释放器
'shi'jiu'ji 狮鹫级
'shi'yao'ji 狮妖级
'shu'la'sa'na 舒拉撒拿
'shu'si'ran 舒斯然
'shuang'duo'te'shi 双多特石
'shuang'tong'dao 双通道
'shui'peng'sha 水硼砂
'si'ku'wei'ta'ji'tuan 斯库维塔集团
'si'le'en 斯勒恩
'si'ta'da'ke'long 斯塔达克隆
'si'wei'pa 斯维帕
'su'bi 苏比
'su'cha 苏查
'su'ma 苏马
'su'pa'yi'en 素帕伊恩
'su'si'sa'yi'er 苏斯撒伊尔
'su'zhuang'gong'ye 速装工业
'suo'ba'se'ji 索巴色基
'suo'di'ji'suan'ji 索敌计算机
'suo'di'rao'duan'qi 索敌扰断器
'suo'mi 索米
'suo'sa 索萨
'suo'sha'li'er 索沙里尔
'suo'shen'en 索什恩
'suo'te'ta'yi'la 所特塔伊拉
'ta'da'wen 塔达文
'ta'lu 塔鲁
'ta'sa'bi'shen 塔萨比什
'ta'se'ti 塔瑟提
'ta'shen'ka'lai 塌什喀莱
'ta'shi'meng'gong'zhong'xin 塔什蒙贡中心
'ta'shi'mo'gong 塔什莫贡
'tai'er'rui'er 泰尔瑞尔
'tai'he'jin'sa'bo'tan 钛合金萨博弹
'tai'tan 泰坦
'tan'hua'fei'er'nai're'he'jin 碳化菲尔耐热合金
'tan'hua'tai 碳化钛
'tan'hua'wu 碳化钨
'tan'ou 坦欧
'tan'qian'dan 碳铅弹
'tao'sheng'cang 逃生舱
'te'bu'te'xing'yu 特布特星域
'te'shen'ka'te 忒什卡特
'te'you 忒尤
'teng'di'ye'si 腾迪耶斯
'ti'da'cha 提达查
'ti'er'ban 提尔班
'ti'wei'du 提为度
'tie'ci'liu'ti 铁磁流体
'ting'zhi'chan'rao'guang'shu 停滞缠绕光束
'tong'wei'ju'he'ti 同位聚合体
'tong'wei'yuan'kuang 同位原矿
'tou'she'wu'qi 投射武器
'tu'ji'jian 突击舰
'tu'jiu'ji 秃鹫级
'tu'wu'rui'na 图乌瑞纳
'tu'zhi 钍质
'tun'ta'la'si 吞塔拉斯
'tuo'le'ke'si'ji 托勒克斯级
'wa'an'ka'lun 瓦安卡伦
'wa'er'jia'ta 瓦尔加塔
'wa'er'wa'lin 瓦尔瓦林
'wa'hu'nuo'mi 瓦胡诺米
'wa'sa'la 瓦萨拉
'wa'tuo'lun 瓦托伦
'wa'wu'er'te 瓦乌尔特
'wai'tuo'ke 崴砣柯
'wan'ze'yin 万泽因
'wei'bo'jing'ti 微波晶体
'wei'da'du'er 维达杜尔
'wei'er'ai'le 维尔埃勒
'wei'ge'wen'duo 维格温铎
'wei'la'de 维拉德
'wei'la'xi'da 维拉希达
'wei'le'kui'te 维勒奎特
'wei'si'tuo 维斯拖
'wei'xing'qu'yue'tui'jin'qi 微型曲跃推进器
'wen'ding'she'bei 稳定设备
'wen'ka 温卡
'wen'nu'si 温努斯
'wen'te'fa 温特法
'wo'si'ji'ao 沃斯基奥
'wu'bi'te'si 乌比特斯
'wu'cha'shen 乌查什
'wu'en'pa'si 乌恩帕斯
'wu'er'lun 乌尔仑
'wu'he'duo 乌赫多
'wu'ka'lun 乌卡伦
'wu'ke'mi'chao'dao'ti 乌克米超导体
'wu'ma'man 乌玛曼
'wu'mi'na'si 乌米纳斯
'wu'mi'xia'yi'sen 乌米夏伊森
'wu'ou'si 乌欧斯
'wu'ou'su'suo'ke 乌欧苏索科
'wu'ren'ji 无人机
'wu'ren'ji'gua'cang 无人机挂舱
'wu'ren'ji'kong'zhi'she'bei 无人机控制设备
'wu'sa'sai 乌萨塞
'wu'si'luo 乌斯洛
'wu'te'la 乌特拉
'wu'ti'la 乌提拉
'wu'wei'jian 无畏舰
'wu'ya'ji 乌鸦级
'wu'zhi 钨质
'wu'zi'si'tu'en 乌兹斯图恩
'xi'bi 西比
'xi'dun 西顿
'xi'er'se'xin 希尔瑟新
'xi'er'ta'meng 希尔塔蒙
'xi'ka'ta 西卡塔
'xi'la'ban 希拉班
'xi'ma'te'er 西玛特尔
'xi'mo'fei'te 希莫非特
'xi'si 西斯
'xi'tu'ju 稀土钜
'xi'yi 希伊
'xi'zha'mo'de 希扎莫德
'xiang'wei'bian'ji'qi 相位变极器
'xiao'shi'zuo 小市座
'xiao'ying'ji 小鹰级
'xie'er'sha 谢尔沙
'xin'di 辛迪
'xin'gong'hua 新汞化
'xin'ka'da'li 新卡达利
'xing'men 星门
'xing'yu 星域
'xue'xi'zhe 血袭者
'xue'zhao 血爪
'ya'di 亚蒂
'ya'ma'si 亚玛斯
'ya'nu'er 亚努尔
'ya'su'de 雅素德
'yang'ge 杨格
'yao'yan'li'chang 耀眼力场
'ye'de'er 耶德尔
'ye'ke'ti 耶克提
'ye'man 耶曼
'ye'si'ta'dan 耶斯塔但
'ye'ya'ma 耶雅玛
'ye'ze'er 耶泽尔
'yi'ba'li'ya 伊巴利亚
'yi'en'ao'si'ta 伊恩奥斯塔
'yi'er'en'ta 以尔恩塔
'yi'ge'nuo'yi'dun 伊格诺伊顿
'yi'ha'er 伊哈尔
'yi'ha'kan'na 以哈坎拿
'yi'ha'ta'luo 以哈塔罗
'yi'jia'xi 伊加西
'yi'ka'mi 伊卡密
'yi'ke'xi'le 抑柯锡乐
'yi'ku'qi 伊库奇
'yi'la'he'de 伊拉赫德
'yi'la'se 伊拉瑟
'yi'lie'sha 伊列莎
'yi'lu'ka 伊卢卡
'yi'luo 伊洛
'yi'mei'sha'sa 伊梅沙撒
'yi'mu'lu'ka 伊姆鲁卡
'yi'sen'na'luo'si 伊森纳洛斯
'yi'shen'nong 伊什农
'yi'shen'suo'meng 伊什索蒙
'yi'shen'ta 伊什塔
'yi'shi'ka'de 伊始卡德
'yi'si'ke'mi 伊斯科米
'yi'si'ta'ka 伊斯塔卡
'yi'si'wa 伊斯瓦
'yi'suo'ma 伊索马
'yi'ta'mo 伊塔莫
'yi'wan'na'te 伊万纳特
'yi'wei'he 伊维赫
'yi'xi'la'ken 伊西拉肯
'yi'zhi 铱质
'yi'zhu'hu 异株湖
'yi'zu'she'bei 抑阻设备
'yin'ke'mu 因科姆
'yin'li'ji 引力计
'yin'na'ya 因纳亚
'yin'shen'she'bei 隐身设备
'you'an'zhi'yu 幽暗之域
'you'duo'fo 尤多佛
'you'jie'di 尤杰迪
'you'ling'jiu 幽灵酒
'you'meng 尤蒙
'you'pu'lin'gu'er 尤普林古尔
'you'si'ku'lun 尤斯库仑
'you'zhi 铀质
'yu'lei'fa'she'qi 鱼雷发射器
'yu'ying'ji 鱼鹰级
'yue'qian'he'xin'wen'ding'qi 跃迁核心稳定器
