'an'ji'che'gang 按及车缸
'bi'da'han'chu 必大汗出
'bi'duan'qi'er'ji'ye 必短气而极也
'bi'fa'ben'tun 必发奔豚
'bi'fa're'ye 必发热也
'bi'fei'zhong'feng 痹非中风
'bi'ju'ji 必拘急
'bi'jue 必厥
'bi'ke'zhi 必可治
'bi'qing'nong'xue 必清脓血
'bi'se'qing'ti'chu 鼻塞清涕出
'bi'sheng'e'chuang 必生恶疮
'bi'tou'se'qing 鼻头色青
'bi'tou'se'wei'hei'se 鼻头色微黑色
'bi'tu'xie 必吐血
'bi'xia'bei'xing 痹侠背行
'bi'xiao'bian'bu'li 必小便不利
'bi'xin'xia'jian 必心下坚
'bi'xuan 必眩
'bi'yi'niao 必遗尿
'bi'you'feng'leng 必有风冷
'bi'you'fu'yin 必有伏饮
'bi'yu'mao 必郁冒
'bi'zao 鼻燥
'bi'zhi 必痔
'bi'zhi'tu'xie 必致吐血
'bi'zhi'yong'nong 必致痈脓
'bi'zi 必自
'bi'zuo'cun'bai'chong 必作寸白虫
'bian'chang'gou 便肠垢
'bian'cheng'bai'chong 变成白虫
'bian'cheng'ke'zhe 变成渴者
'bian'dou 扁豆
'bian'fa're'zhe 变发热者
'bian'ke'yu'zhi 便可与之
'bian'ru'xuan'bei 边如旋杯
'bian'ru'xuan'pan 边如旋盘
'bian'wei'li'jie'ye 便为历节也
'bian'wei'wei'fan 变为胃反
'bian'yue'chun'bu'shi'gan'zhe 辩曰春不食肝者
'biao'wu'ta'bing 表无他病
'bie'jia'jian'wan'fang 鳖甲煎丸方
'bie'mu'ao'xian'zhe 鳖目凹陷者
'bing'an'qi'fu 并按其腹
'bing'dang'zai'hou 病当在后
'bing'fu'jue 病趺蹶
'bing'fu'man 病腹满
'bing'fu'tong'you'chong 病腹痛有虫
'bing'huang'dan 病黄疸
'bing'jie 并解
'bing'jie'neng'shi 病解能食
'bing'jin'chuang 病金疮
'bing'ke'ni 病咳逆
'bing'leng'zhong'shang'qi 并冷肿上气
'bing'li'jie'bu'ke'qu'shen 病历节不可屈伸
'bing'mai'zhong'shi'zhi 并麦中食之
'bing'nue 病疟
'bing'ren'bi'wei'jue 病人必微厥
'bing'ren'bu'ke'shi'hu'sui'ji'huang'hua'cai 病人不可食胡荽及黄花菜
'bing'ren'chang'yi'shou'zhi'bi'zhong'dong 病人常以手指臂肿动
'bing'ren'chi 冰人齿
'bing'ren'mai'fu'zhe'zai'qian 病人脉浮者在前
'bing'ren'mai'shu 病人脉数
'bing'ren'mian'wu'xue'se 病人面无血色
'bing'ren'xiong'man 病人胸满
'bing'ren'xiong'zhong'si'chuan'bu'duan 病人胸中似喘不端
'bing'ren'you'qi'se'jian'yu'mian'bu 病人有气色见于面部
'bing'ren'yu'sheng'ji'ran'xi'jing'hu'zhe 病人语声寂然喜惊呼者
'bing'ren'yu'tu'zhe 病人欲吐者
'bing'sha'ren 并杀人
'bing'shu'xia'jiao 病属下焦
'bing'shui'fu'da 病水腹大
'bing'sui 病虽
'bing'tan'yin'zhe 病痰饮者
'bing'xia'li'hou 病下利后
'bing'xing'ru'chu'zhe 病形如初者
'bing'xuan'yin'zhe 病悬饮者
'bing'yi'yin'zhe 病溢饮者
'bing'you'ben'tun 病有奔豚
'bing'you'dou'jin 病由都尽
'bing'you'ji'dang'jiu'li'jiu'biao'zhe 病有急当救里救表者
'bing'you'ji'you'ju'you'xin'qi 病有积有聚有馨气
'bing'zai'ge'shang'zhe'tu'nong'xue 病在膈上者吐脓血
'bing'zai'tou'zhong'han'shi 病在头中寒湿
'bing'zai'wai'zhe'ke'zhi 病在外者可治
'bing'ze'wu'you'ru'qi'cou'li 病则无由入其腠理
'bing'zhe 病者
'bing'zhe'dan'xia'zhong 病者但下重
'bing'zhe'fu'man 病者腹满
'bing'zhe'ku'shui 病者苦水
'bing'zhe'mai'fu 病者脉伏
'bing'zhe'ru're'zhuang 病者如热状
'bing'zhe'su'bu'ying'shi 病者素不应食
'bing'zhe'wei'huang 病者痿黄
'bing'zhe'yi'shen'jin'teng 病者一身尽疼
'bing'zhi'dan'fu'bu'de'wo 并治但伏不得卧
'bing'zhi'fu'zhong'han'shan'xu'lao'bu'zu 并治腹中寒疝虚劳不足
'bo'fu'ji 薄覆脊
'bo'mu'ji'fa 薄暮即发
'bu'bu'zu 补不足
'bu'chong'zhe 不冲者
'bu'chu'bai'ri 不出百日
'bu'chu'she'zhe 不出舌者
'bu'da'bian 不大便
'bu'de'jie'sheng 不得截绳
'bu'de'leng'shui'xi'zhe'shen 不得冷水洗着身
'bu'de'mian 不得眠
'bu'de'ni 不得溺
'bu'de'wo 不得卧
'bu'de'wo'zhe 不得卧者
'bu'de'xiao'bian 不得小便
'bu'de'yin'leng'shui 不得饮冷水
'bu'de'zhuan'ce 不得转侧
'bu'e'feng 不恶风
'bu'e'feng'zhe 不恶风者
'bu'han'geng'fu 不汗更服
'bu'jie'shi'pi 不解实脾
'bu'jing'tu'xia'fa'han 不经吐下发汗
'bu'ke 不渴
'bu'ke'chu're 不可除热
'bu'ke'fa'han 不可发汗
'bu'ke'gong'qi'biao 不可攻其表
'bu'ke'he'quan'rou'shi'zhi 不可合犬肉食之
'bu'ke'jiu 不可救
'bu'ke'ni'ji'che'gang 不可泥及车缸
'bu'ke'qu'shen 不可屈伸
'bu'ke're'yin 不可热饮
'bu'ke'shi 不可食
'bu'ke'shi'de'leng 不可使得冷
'bu'ke'shi'tu'rou'shan'yang'rou'ji'bie'ji'ya 不可食兔肉山羊肉及鳖鸡鸭
'bu'ke'shi'zhi 不可食之
'bu'ke'xia'ye 不可下也
'bu'ke'xia'zhi 不可下之
'bu'ke'yi'si'qi'ru'gan 不可以死气入肝
'bu'ke'yin'zhi 不可饮之
'bu'ke'zhe 不渴者
'bu'ke'zhi 不可治
'bu'ke'zhi'ou 不可治呕
'bu'li'ren 不利人
'bu'ling'xie'feng'gan'chu'jing'luo 不令邪风干杵经络
'bu'man'zhe'bi'bian'nan 不满者必便难
'bu'neng'qi 不能起
'bu'neng'que 不能却
'bu'neng'shi 不能食
'bu'neng'shi'yin 不能食饮
'bu'neng'xiao'gu 不能消谷
'bu'neng'zi'jin'zhi 不能自禁制
'bu'neng'zi'zhuan'ce 不能自转侧
'bu'ou'bu'ke 不呕不渴
'bu're'zhe'wei'wu'nong 不热者为无脓
'bu'shi 不食
'bu'wen'xiang'chou'suan'xin 不闻香臭酸辛
'bu'xia'zhe 不下者
'bu'xian'tiao'she 不闲调摄
'bu'xiao 不消
'bu'xu'zhi 不须治
'bu'yi'xing'ti'you'shuai 不遗形体有衰
'bu'yin'jiu 不饮酒
'bu'yong'suan 补用酸
'bu'yu'yan 不欲咽
'bu'yu'yin'shi 不欲饮食
'bu'yue'san'tiao 不越三条
'bu'zai'qi'zhong 不在其中
'bu'zhi 不治
'bu'zhi'shi'he'bing'fang 不知是何病方
'bu'zhi'shi'wei 不知食味
'bu'zhi'wu'wei 不知五味
'bu'zu'si 不卒死
'cai'zhong'you'shui'lang'dang 菜中有水莨菪
'cang'bing'ye 藏病也
'cang'fu'jing'luo'xian'hou'bing'mai'zheng'di'yi 藏府经络先后病脉证第一
'cang'jian'pi'bu'zhi 藏坚癖不止
'ceng'jing'ban'chan 曾经半产
'chai'hu'gui'zhi'tang'fang'zhi'xin'fu'cu'zhong'tong'zhe 柴胡桂枝汤方治心腹卒中痛者
'chai'hu'jiang'gui'tang'zhi'nue'han'duo 柴胡姜桂汤治疟寒多
'chan'fu'fu'tong 产妇腹痛
'chan'fu'yu'mao 产妇郁冒
'chan'hou 产后
'chan'hou'bai'bing'xi'zhu'zhi 产后百病悉主之
'chan'hou'feng 产后风
'chan'hou'fu'tong 产后腹痛
'chan'hou'fu'zhong'teng'tong 产后腹中疼痛
'chan'hou'qi'ba'ri 产后七八日
'chan'hou'xia'li'xu'ji 产后下利虚极
'chan'hou'yi'ke'fu 产后亦可服
'chan'hou'yi'yue'ri 产后一月日
'chang'mo'mo 常默默
'chang'pu'xie 菖蒲屑
'chang'xian'xian'wu'zong'zhi 常弦弦勿纵之
'chang'yi'leng'shi 常宜冷食
'chang'yong'zhe 肠痈者
'chang'yong'zhi'wei'bing 肠痈之为病
'chao'shi'mu'tu 朝食暮吐
'che'tong'bu'de'shen'qu 掣痛不得伸屈
'che'xin'zhong'fen'fen'ran'wu'nai'zhe 彻心中愤愤然无奈者
'chen'fu'xiang'bo 沉伏相搏
'chen'ji'wei'shen 沉即为肾
'chen'ji'zhu'gu 沉即主骨
'chen'jin'xiang'bo 沉紧相搏
'chen'wei'shui 沉为水
'chen'xian'zhe'xian'xia'zhi 沉弦者先下之
'chen'ze'mai'luo'xu 沉则脉络虚
'chen'ze'wei'shi 沉则为实
'chen'ze'wei'shui 沉则为水
'chen'zhe'si 沉者死
'cheng'e'xie'bing 成恶邪病
'cheng'huo'luan 成霍乱
'cheng'jia'bing 成瘕病
'cheng'qing'zhi 澄清汁
'cheng'zou'zhu 成走疰
'chi'bu'he'zhe 翅不合者
'chi'ji'wei'lao 迟即为劳
'chi'mai'fu'wei'shang'shen 尺脉浮为伤肾
'chi'mai'wei 尺脉微
'chi'mai'ze'qian 迟脉则潜
'chi'nong'zhu'zhi'yin'zhi 豉浓煮汁饮之
'chi'wan'fang 赤丸方
'chi'wan'zhu'zhi 赤丸主之
'chi'xiao'dou'dang'gui'san'fang 赤小豆当归散方
'chi'xiao'dou'dang'gui'san'zhu'zhi 赤小豆当归散主之
'chi'ze'wei'han 迟则为寒
'chi'zhong 尺中
'chi'zhong'xiao'jin 尺中小紧
'chi'zhong'yi'wei'er'se 尺中亦微而涩
'chi'zhong'zi'se'zhe 尺中自涩者
'chong'qi'fu'fa'zhe 冲气复发者
'chong'qi'ji'di 冲气即低
'chong'yi'shi'zhi'zhe 虫蚁食之者
'chou'yu 臭鱼
'chu'jian'you'tou'zu 出见有头足
'chu're'fang 除热方
'chu'wei'san 杵为散
'chuan'bu'de'wo 喘不得卧
'chuan'er'tou'tong 喘而头痛
'chuan'er'zao'zhe 喘而躁者
'chuan'ming'po'sai 喘鸣迫塞
'chuan'xi'ke'tuo 喘息咳唾
'chuan'zhe'jia'ma'huang'ban'liang 喘者加麻黄半两
'chuang'jia 疮家
'chuang'yong'chang'yong'jin'yin'bing'mai'zheng'bing'zhi'di'shi'ba 疮痈肠痈浸淫病脉证并治第十八
'chui'zao'jia'mo'bi'zhong 吹皂荚末鼻中
'chun'bu'shi'gan 春不食肝
'chun'duo'bing 莼多病
'chun'kou'gan'zao 唇口干燥
'chun'kou'qing 唇口青
'chun'qiu'er'shi 春秋二时
'chun'wei'she'qing 唇痿舌青
'chun'xia'ju 春夏剧
'chuo're'zhou'fa'zhi 啜热粥发之
'ci'bing'shang'yu'han'chu'dang'feng 此病伤于汗出当风
'ci'bing'shu'dai'xia 此病属带下
'ci'chang'jian'you'shui'qi 此肠间有水气
'ci'e'lu'bu'jin 此恶露不尽
'ci'fa'zui'shan 此法最善
'ci'gu'qi'zhi'shi'ye 此谷气之实也
'ci'han'ye 此寒也
'ci'jie'dai'xia 此皆带下
'ci'jie'nan'zhi 此皆难治
'ci'jie'wei'zheng'jia 此结为症瘕
'ci'jie'yin'jiu'han'chu'dang'feng'suo'zhi 此皆饮酒汗出当风所致
'ci'jin'xue'ye 此近血也
'ci'lao'qi'ye 此劳气也
'ci'ming'shi'bi 此名湿痹
'ci'ming'wei'ge 此名为革
'ci'ming'yue'ge 此名曰革
'ci'ming'zhuan'bao'bu'de'ni'ye 此名转胞不得溺也
'ci'nv'lao'zhi'bing 此女劳之病
'ci'ren'du'zhong'han 此人肚中寒
'ci'ren'shen'ti'mu'run'mu'run'zhe 此人身体目闰目闰者
'ci'shu'li'jie 此属历节
'ci'shu'yin'jia 此属饮家
'ci'shu'zhi'yin 此属支饮
'ci'shui'ye 此水也
'ci'si'bu'bing 此四部病
'ci'tai'yang'jing'shang'ye 此太阳经伤也
'ci'tang'zhu'zhi 此汤主之
'ci'wang'jin'ye 此亡津液
'ci'wei'bi 此为痹
'ci'wei'biao'he'li'shi 此为表和里实
'ci'wei'cang'han 此为藏寒
'ci'wei'dao'lu'qiong 此谓道路穷
'ci'wei'fei'yong 此为肺痈
'ci'wei'fei'zhang 此为肺胀
'ci'wei'fei'zhong'leng 此为肺中冷
'ci'wei'feng'shui 此为风水
'ci'wei'fu'nei'you'yong'nong 此为腹内有痈脓
'ci'wei'fu'zhong'you'gan'xue'zhe'qi'xia 此为腹中有干血着脐下
'ci'wei'han 此为寒
'ci'wei'huang'han 此为黄汗
'ci'wei'ji'xu 此为极虚
'ci'wei'jing 此为痉
'ci'wei'lao'shi'zhi'ran 此为劳使之然
'ci'wei'liu'yin'yu'qu'gu'ye 此为留饮欲去故也
'ci'wei'mo'zhi'er'zhi'ye 此为末至而至也
'ci'wei'ni 此为逆
'ci'wei'nv'lao'de'zhi 此为女劳得之
'ci'wei'pi'shui 此为皮水
'ci'wei'pi'zhang 此为脾胀
'ci'wei're'ru'xue'shi 此为热入血室
'ci'wei're'ru'xue'shi'ye 此为热入血室也
'ci'wei'shi'ye 此为实也
'ci'wei'shui'yu'xue'ju'jie'zai'xue'shi'ye 此为水与血俱结在血室也
'ci'wei'wei're'shang'chong'xun'qi'mian 此为胃热上冲熏其面
'ci'wei'wei'shi 此为胃实
'ci'wei'xin'cang'shang'suo'zhi'ye 此为心藏伤所致也
'ci'wei'yin'zhuang 此为阴状
'ci'wei'you'yang'wu'yin 此为有阳无阴
'ci'wei'yu'jie 此为欲解
'ci'wei'zhi'er'bu'qu'ye 此为至而不去也
'ci'wei'zhi'er'tai'guo'ye 此为至而太过也
'ci'wei'zu'jue 此为卒厥
'ci'xia'da'huang 次下大黄
'ci'xin'qi'shi 此心气实
'ci'xu'han'cong'xia'shang'ye 此虚寒从下上也
'ci'yi'fu'yue'shang'leng'shui 此以复月伤冷水
'ci'yi'wei'ni 此亦为逆
'ci'yin'ji'yin'guo'du'suo'zhi'ye 此因极饮过度所致也
'ci'you'su'shi 此有宿食
'ci'yu'zuo'gu'dan 此欲作谷疸
'ci'yu'zuo'shui 此欲作水
'ci'yuan'xue'ye 此远血也
'ci'yue'duan'ru'er'cun 刺月端入二寸
'ci'zhi'gan'bu'pi'zhi'yao'miao'ye 此治肝补脾之要妙也
'cong'jiu'chu'sheng'ya'zhe 葱韭初生芽者
'cong'kou'liu'xiang'si'zhi'zhe 从口流向四肢者
'cong'kou'qi'liu'xiang'si'zhi'zhe'ke'zhi 从口起流向四肢者可治
'cong'kou'ru'zhe 从口入者
'cong'qiu'zhi'dong 从秋至冬
'cong'shao'fu'qi 从少腹起
'cong'shi'de'zhi 从湿得之
'cong'si'zhi'liu'lai'ren'kou'lao 从四肢流来人口老
'cong'si'zhi'liu'lai'ru'kou'zhe'bu'ke'zhi 从四肢流来入口者不可治
'cong'tou'zhi'zu 从头至足
'cong'yao'xia'ru'bing 从腰下如冰
'cong'yao'yi'shang'wei'he 从腰以上为和
'cong'yao'yi'xia'zhong 从腰以下重
'cou'li'kai 腠理开
'cou'zhe 腠者
'cu'he'lao'shi'zhi 醋合酪食之
'cui'shi'ba'wei'wan'zhi'jiao'qi'shang'ru 崔氏八味丸治脚气上入
'cun'kou'chen'er'jin 寸口沉而紧
'cun'kou'guan'shang'wei 寸口关上微
'cun'kou'ji'zai'xiong'zhong 寸口积在胸中
'cun'kou'mai'chen'er'chi 寸口脉沉而迟
'cun'kou'mai'chen'er'ruo 寸口脉沉而弱
'cun'kou'mai'chen'hua'zhe 寸口脉沉滑者
'cun'kou'mai'chi'er'huan 寸口脉迟而缓
'cun'kou'mai'chi'er'se 寸口脉迟而涩
'cun'kou'mai'dong'er'ruo 寸口脉动而弱
'cun'kou'mai'dong'zhe 寸口脉动者
'cun'kou'mai'fu'er'chi 寸口脉浮而迟
'cun'kou'mai'fu'er'da 寸口脉浮而大
'cun'kou'mai'fu'er'huan 寸口脉浮而缓
'cun'kou'mai'fu'er'jin 寸口脉浮而紧
'cun'kou'mai'fu'wei'er'se 寸口脉浮微而涩
'cun'kou'mai'wei'er'shu 寸口脉微而数
'cun'kou'mai'xian'er'da 寸口脉弦而大
'cun'kou'mai'xian'er'jin 寸口脉弦而紧
'cun'kou'mai'xian'zhe 寸口脉弦者
'cun'mai'chen 寸脉沉
'cun'mai'chen'da'er'hua 寸脉沉大而滑
'cun'mai'fan'fu'shu 寸脉反浮数
'da'ban'xia'tang'fang 大半夏汤方
'da'ban'xia'tang'zhu'zhi 大半夏汤主之
'da'bian'bi'hei 大便必黑
'da'bian'bi'jian 大便必坚
'da'bian'bu'tong 大便不通
'da'bian'dang'ru'qi 大便当如漆
'da'bian'fan'jian 大便反坚
'da'bian'fan'kuai 大便反快
'da'bian'jian 大便坚
'da'bian'ze'jian 大便则坚
'da'bian'zheng'hei 大便正黑
'da'chai'hu'tang'fang 大柴胡汤方
'da'chang'you'han'zhe 大肠有寒者
'da'cheng'qi'tang'fang 大承气汤方
'da'cheng'qi'tang'fang'xia'li'zhan'yu'zhe 大承气汤方下利谵语者
'da'cheng'qi'tang'zhu'zhi 大承气汤主之
'da'chuang'dan'fu'zhi 大疮但服之
'da'dou'nong'jian'zhi'yin'zhi 大豆浓煎汁饮之
'da'dou'nong'zhu'zhi 大豆浓煮汁
'da'dou'zhu'zhi 大豆煮汁
'da'han'chu'zhe 大汗出者
'da'huang'fu'zi'tang'fang 大黄附子汤方
'da'huang'gan'cao'tang'fang 大黄甘草汤方
'da'huang'gan'cao'tang'zhu'zhi 大黄甘草汤主之
'da'huang'gan'sui'tang'fang 大黄甘遂汤方
'da'huang'gan'sui'tang'zhu'zhi 大黄甘遂汤主之
'da'huang'mu'dan'tang'fang 大黄牡丹汤方
'da'huang'mu'dan'tang'zhu'zhi 大黄牡丹汤主之
'da'huang'xiao'shi'tang'fang 大黄硝石汤方
'da'huang'zhe'chong'wan'fang 大黄蟅虫丸方
'da'huang'zhe'chong'wan'zhu'zhi 大黄蟅虫丸主之
'da'ji 大忌
'da'jian'zhong'tang'fang 大建中汤方
'da'jian'zhong'tang'zhu'zhi 大建中汤主之
'da'mai'jiu'shi 大麦久食
'da'mai'zhou'fu'zhi 大麦粥服之
'da'qi'yi'zhuan 大气一转
'da'qing'long'tang'fang 大青龙汤方
'da'qing'long'tang'zhu'zhi 大青龙汤主之
'da'wu'tou'jian'fang 大乌头煎方
'da'wu'tou'jian'zhu'zhi 大乌头煎主之
'da'xie'zhong'biao 大邪中表
'da'yan 大验
'da'yin'dang'yang'bu'yang 大阴当养不养
'da'yue'ci'fa'dang'bing'shui 答曰此法当病水
'da'yue'ruo'shen'you'chuang 答曰若身有疮
'da'ze'wei'kou 大则为芤
'dai'fei'chang'qing'suo'ji 殆非常情所及
'dai'xia'jing'shui'bu'li 带下经水不利
'dan'dang'li'qi'xiao'bian 但当利其小便
'dan'er'bu'ke'zhe 疸而不渴者
'dan'er'ke'zhe 疸而渴者
'dan'feng'qi'qu 但风气去
'dan'jian'jian'qiang'qu'zhi 但渐渐强屈之
'dan'ku'chuan'duan'qi 但苦喘短气
'dan'ku'shao'qi 但苦少气
'dan'ku'tong 但苦痛
'dan'li'qi'xiao'bian 但利其小便
'dan'li'xiao'bian'ze 但利小便则
'dan'she'niu'rou'sha'ren 啖蛇牛肉杀人
'dan'she'zhe 啖蛇者
'dan'tou'han'chu 但头汗出
'dan'tou'xuan'zhe 但头眩者
'dan'wei'wei'si'yu'chu'han'zhe 但微微似欲出汗者
'dan'yi'mai'zi'wei'se 但以脉自微涩
'dan'yu'shu'shui 但欲漱水
'dan'yu'yin're 但欲饮热
'dan'zhi'mu 旦至暮
'dan'zuo'bu'de'mian 但坐不得眠
'dang'ban'shen'bu'sui 当半身不遂
'dang'ci'qi'men 当刺期门
'dang'ci'xie'lao'gong'ji'guan'yuan 当刺泻劳宫及关元
'dang'cong'xiao'bian'qu'zhi 当从小便去之
'dang'fa'han'nai 当发汗乃
'dang'fa'qi'han 当发其汗
'dang'fa'qi'yong 当发其痈
'dang'fu'zhong'ming 当腹中鸣
'dang'gui'bei'mu'ku'shen'wan'fang 当归贝母苦参丸方
'dang'gui'jian'zhong'tang 当归建中汤
'dang'gui'san'fang 当归散方
'dang'gui'san'liang'sheng'jiang'wu'liang'yang'rou'yi'jin 当归三两生姜五两羊肉一斤
'dang'gui'shao'yao'san'fang 当归芍药散方
'dang'gui'shao'yao'san'zhu'zhi 当归芍药散主之
'dang'gui'sheng'jiang'yang'rou'tang'fang 当归生姜羊肉汤方
'dang'gui'sheng'jiang'yang'rou'tang'zhu'zhi 当归生姜羊肉汤主之
'dang'han'chu'er'bu'han'chu 当汗出而不汗出
'dang'li'qi'xiao'bian 当利其小便
'dang'li'xiao'bian 当利小便
'dang'qi'tiao 当脐跳
'dang'shi'ru'xiao'chai 当时如小差
'dang'sui'qi'suo'de'er'gong'zhi 当随其所得而攻之
'dang'tu'hui 当吐蛔
'dang'tu'ru'nong 当吐如脓
'dang'tu'zhi 当吐之
'dang'wei'ke'chuan 当微咳喘
'dang'wei'li'zhe 当微利者
'dang'xia'qi'han 当下其寒
'dang'xia'qi'zheng 当下其症
'dang'xia'xue 当下血
'dang'xia'zhi 当下之
'dang'xia'zhi'ji 当下之即
'dang'xian'gong'ji'chong'qi'ling'zhi 当先攻击冲气令止
'dang'xian'shi'pi 当先实脾
'dang'xian'zhi'qi'tu'dan'mo 当先治其吐诞沫
'dang'xian'zhi'qi'zu'bing 当先治其卒病
'dang'xiao'gu'yin'shi 当消谷引食
'dang'xiao'han 当小汗
'dang'xu'xia'zhi 当须下之
'dang'yi'fu'zi'tang'wen'qi'cang 当以附子汤温其藏
'dang'yi'han'jie'zhi 当以汗解之
'dang'yi'shi'ba'ri'wei'qi 当以十八日为期
'dang'yi'shi'wu'ri 当以十五日
'dang'yi'wen'jing'tang'zhu'zhi 当以温经汤主之
'dang'yi'wen'yao'he'zhi 当以温药和之
'dang'you'nong'xue 当有脓血
'dang'you'suo'qu 当有所去
'dang'you'xue 当有血
'dang'yu'wen'yao 当与温药
'dang'yu'xu'lao'xiao'jian'zhong'tang 当与虚劳小建中汤
'dang'yue'jin'jie 当月尽解
'dang'ze'you'shui 当责有水
'dao'fu'fang'cun'bi 捣服方寸匕
'dao'xie'zhi'guan'er'zhong 捣薤汁灌耳中
'de'fu'si'wu'ji'wei'shan 得服四五剂为善
'de'kuai'xia'hou 得快下后
'de'leng'bian'si 得冷便死
'de'qi'ba'ri 得七八日
'de're'geng'shen 得热更甚
'de're'ni'tu 得热泥土
'de'shi'er'ou 得食而呕
'de'yao'ze'ju'tu'li 得药则剧吐利
'de'zhi'shu'shi'ri 得之数十日
'di'dang'tang'fang 抵当汤方
'di'dang'tang'zhu'zhi 抵当汤主之
'di'dang'wu'tou'gui'zhi'tang'zhu'zhi 抵当乌头桂枝汤主之
'dong'bing 动病
'dong'bu'shi'shen 冬不食肾
'dong'gua'zhi 冬瓜汁
'dong'ji'wei'jing 动即为惊
'dong'xia'nan'zhi 冬夏难治
'dong'zhi'ji 动痔疾
