'a'luo'han'neng'zuo'shi'nian 阿罗汉能作是念
'ci'ren'yi'shi'yin'yuan 此人以是因缘
'da'cheng'zheng'zong'fen 大乘正宗分
'dan'fan'fu'zhi'ren'tan'zhu'qi'shi 但凡夫之人贪著其事
'dan'zhu'heng'he'shang'duo'wu'shu 但诸恒河尚多无数
'dang'de'a'nou'duo'luo'san'miao'san'pu'ti 当得阿耨多罗三藐三菩提
'dang'de'zuo'fo 当得作佛
'dang'he'ming'ci'jing 当何名此经
'dang'lai'zhi'shi 当来之世
'dang'sheng'ru'shi'xin 当生如是心
'dang'wei'ru'shuo 当为汝说
'dang'zhi'ci'chu 当知此处
'dang'zhi'ci'chu'ze'wei'shi'ta 当知此处则为是塔
'dang'zhi'shi'jing'yi'bu'ke'si'yi 当知是经义不可思议
'dang'zhi'shi'ren 当知是人
'dang'zhi'shi'ren'cheng'jiu'zui'shang'di'yi'xi'you'zhi'fa 当知是人成就最上第一希有之法
'dang'zhi'shi'ren'shen'wei'xi'you 当知是人甚为希有
'de'a'nou'duo'luo'san'miao'san'pu'ti 得阿耨多罗三藐三菩提
'de'cheng'yu'ren 得成于忍
'de'fu'duo'bu 得福多不
'de'fu'shen'duo 得福甚多
'de'wen'ru'shi'yan'shuo'zhang'ju 得闻如是言说章句
'de'wen'shi'jing 得闻是经
'de'zhi'ba'bai'si'qian'wan'yi'na'you'ta'zhu'fo 得值八百四千万亿那由他诸佛
'di'ba'pin 第八品
'di'er'pin 第二品
'di'er'shi'ba'pin 第二十八品
'di'er'shi'er'pin 第二十二品
'di'er'shi'jiu'pin 第二十九品
'di'er'shi'liu'pin 第二十六品
'di'er'shi'pin 第二十品
'di'er'shi'qi'pin 第二十七品
'di'er'shi'san'pin 第二十三品
'di'er'shi'si'pin 第二十四品
'di'er'shi'wu'pin 第二十五品
'di'er'shi'yi'pin 第二十一品
'di'jiu'pin 第九品
'di'liu'pin 第六品
'di'qi'pin 第七品
'di'san'pin 第三品
'di'san'shi'er'pin 第三十二品
'di'san'shi'pin 第三十品
'di'san'shi'yi'pin 第三十一品
'di'shi'ba'pin 第十八品
'di'shi'er'pin 第十二品
'di'shi'jiu'pin 第十九品
'di'shi'liu'pin 第十六品
'di'shi'pin 第十品
'di'shi'qi'pin 第十七品
'di'shi'san'pin 第十三品
'di'shi'si'pin 第十四品
'di'shi'wu'pin 第十五品
'di'shi'yi'pin 第十一品
'di'si'pin 第四品
'di'wu'pin 第五品
'di'yi'pin 第一品
'dong'fang'xu'kong'ke'si'liang'bu 东方虚空可思量不
'er'bai'fo'yan 而白佛言
'er'ci'fu'de'sheng'qian'fu'de 而此福德胜前福德
'er'fan'fu'zhi'ren'yi'wei'you'wo 而凡夫之人以为有我
'er'ming'xu'pu'ti'shi'le'a'lan'na'xing 而名须菩提是乐阿兰那行
'er'shi 尔时
'er'shi'wu'bu'lai 而实无不来
'er'shi'wu'wang'lai 而实无往来
'er'suo'guo'tu'zhong 尔所国土中
'er'wu'suo'ru 而无所入
'er'wu'you'yi'zhong'sheng'shi'mie'du'zhe 而无有一众生实灭度者
'fa'a'nou'duo'luo'san'miao'san'pu'ti'xin 发阿耨多罗三藐三菩提心
'fa'a'nou'duo'luo'san'miao'san'pu'ti'xin'zhe 发阿耨多罗三藐三菩提心者
'fa'a'nou'duo'luo'san'miao'san'pu'ti'zhe 发阿耨多罗三藐三菩提者
'fa'hui'yin'you'fen 法会因由分
'fa'jie'tong'hua'fen 法界通化分
'fa'shang'ying'she 法尚应舍
'fa'shen'fei'xiang'fen 法身非相分
'fan'fu'zhe 凡夫者
'fan'shi'qi 饭食讫
'fan'suo'you'xiang 凡所有相
'fei'bu'zhong'sheng 非不众生
'fei'di'yi'bo'luo'mi 非第一波罗蜜
'fei'shi'jie 非世界
'fei'shuo'suo'shuo'fen 非说所说分
'fo'de'a'nou'duo'luo'san'miao'san'pu'ti 佛得阿耨多罗三藐三菩提
'fo'gao'xu'pu'ti 佛告须菩提
'fo'ke'yi'ju'zu'se'shen'jian'bu 佛可以具足色身见不
'fo'shi'jie'ru'shi 佛世界如是
'fo'shuo 佛说
'fo'shuo'bo're'bo'luo'mi 佛说般若波罗蜜
'fo'shuo'fei'shen 佛说非身
'fo'shuo'ru'shi'shen'shen'jing'dian 佛说如是甚深经典
'fo'shuo'shi'sha'bu 佛说是沙不
'fo'shuo'wo'de'wu'zheng'san'mei 佛说我得无诤三昧
'fo'shuo'wo'jian'ren'jian'zhong'sheng'jian'shou'zhe'jian 佛说我见人见众生见寿者见
'fo'yan 佛言
'fo'yu'ran'deng'fo'suo 佛于然灯佛所
'fo'zai'she'wei'guo'zhi'shu'gei'gu'du'yuan 佛在舍卫国祗树给孤独园
'fo'ze'bu'shuo'shi'wei'chen'zhong 佛则不说是微尘众
'fu'ci 复次
'fu'de'yi'fu'ru'shi'bu'ke'si'liang 福德亦复如是不可思量
'fu'zhi'wu'bi'fen 福智无比分
'fu'zuo'er'zuo 敷座而坐
'gu'ming'ru'lai 故名如来
'guang'wei'ren'shuo 广为人说
'guo'bao'yi'bu'ke'si'yi 果报亦不可思议
'guo'qu'xin'bu'ke'de 过去心不可得
'hai'zhi'ben'chu 还至本处
'hao'shi'jia'mou'ni 号释迦牟尼
'he'kuang'fei'fa 何况非法
'he'kuang'qi'sha 何况其沙
'he'kuang'shu'xie'shou'chi'du'song'wei'ren'jie'shuo 何况书写受持读诵为人解说
'he'kuang'you'ren'jin'neng'shou'chi'du'song 何况有人尽能受持读诵
'he'yi'gu 何以故
'he'zhang'gong'jing'er'bai'fo'yan 合掌恭敬而白佛言
'heng'he'zhong'suo'you'sha 恒河中所有沙
'hou'ri'fen'yi'yi'heng'he'sha'deng'shen'bu'shi 后日分亦以恒河沙等身布施
'hou'wu'bai'sui 后五百岁
'hu'yi'bu'xin 狐疑不信
'hua'wu'suo'hua'fen 化无所化分
'hui'ming'xu'pu'ti'bai'fo'yan 慧命须菩提白佛言
'huo'you'ren'wen 或有人闻
'ji'bu'ming'pu'sa 即不名菩萨
'ji'de'a'nou'duo'luo'san'miao'san'pu'ti 即得阿耨多罗三藐三菩提
'ji'fei'bo're'bo'luo'mi 即非般若波罗蜜
'ji'fei'fo'fa 即非佛法
'ji'fei'ju'zu 即非具足
'ji'fei'ju'zu'se'shen 即非具足色身
'ji'fei'pu'sa 即非菩萨
'ji'fei'shen'xiang 即非身相
'ji'fei'shi'jie 即非世界
'ji'fei'wei'chen'zhong 即非微尘众
'ji'fei'wo'jian'ren'jian'zhong'sheng'jian'shou'zhe'jian 即非我见人见众生见寿者见
'ji'fei'yi'he'xiang 即非一合相
'ji'fei'yi'qie'fa 即非一切法
'ji'fei'zhong'sheng 即非众生
'ji'fei'zhuang'yan 即非庄严
'ji'jian'ru'lai 即见如来
'ji'shi'bu'ke'shuo 即是不可说
'ji'shi'fei'xiang 即是非相
'ji'shi'yi'he'xiang 即是一合相
'ji'wei'bang'fo 即为谤佛
'ji'wei'fei'da'shen 即为非大身
'ji'wei'fei'zhu 即为非住
'ji'wei'zhu'wo'ren'zhong'sheng'shou'zhe 即为著我人众生寿者
'ji'wu'suo'jian 即无所见
'ji'zhu'fa'ru'yi 即诸法如义
'ji'zhu'fo'a'nou'duo'luo'san'miao'san'pu'ti'fa 及诸佛阿耨多罗三藐三菩提法
'ji'zhu'wo'ren'zhong'sheng'shou'zhe 即著我人众生寿者
'jian'zhong'zhong'se 见种种色
'jie'bu'ke'qu'bu'ke'shuo'fei'fa'fei'fei'fa 皆不可取不可说非法非非法
'jie'cong'ci'jing'chu 皆从此经出
'jie'da'huan'xi 皆大欢喜
'jie'de'cheng'jiu'wu'liang'wu'bian'gong'de 皆得成就无量无边功德
'jie'shi'xu'wang 皆是虚妄
'jie'yi'wu'wei'fa'er'you'cha'bie 皆以无为法而有差别
'jie'ying'gong'jing 皆应恭敬
'jie'ying'gong'yang 皆应供养
'jin'gang'bo're'bo'luo'mi'jing 金刚般若波罗蜜经
'jing'xin'xing'shan'fen 净心行善分
'jiu'jing'wu'wo'fen 究竟无我分
'ju'zu'se'shen 具足色身
'kai'jing'ji 开经偈
'ke'yi'san'shi'er'xiang'guan'ru'lai'bu 可以三十二相观如来不
'ke'yi'san'shi'er'xiang'jian'ru'lai'bu 可以三十二相见如来不
'ke'yi'shen'xiang'jian'ru'lai'bu 可以身相见如来不
'li'se'li'xiang'fen 离色离相分
'li'xiang'ji'mie'fen 离相寂灭分
'li'yi'qie'zhu'xiang 离一切诸相
'miao'xing'wu'zhu'fen 妙行无住分
'mie'du'yi'qie'zhong'sheng'yi 灭度一切众生已
'mo'zuo'shi'nian 莫作是念
'mo'zuo'shi'shuo 莫作是说
'na'mo'ben'shi'shi'jia'mou'ni'fo 南无本师释迦牟尼佛
'nai'zhi'shou'chi'si'ju'ji'deng 乃至受持四句偈等
'nai'zhi'si'ju'ji'deng 乃至四句偈等
'nai'zhi'suan'shu'pi'yu'suo'bu'neng'ji 乃至算数譬喻所不能及
'nai'zhi'yi'nian'sheng'jing'xin'zhe 乃至一念生净信者
'nan'xi'bei'fang'si'wei'shang'xia'xu'kong'ke'si'liang'bu 南西北方四维上下虚空可思量不
'neng'jing'ye'zhang'fen 能净业障分
'neng'shou'chi'du'song'ci'jing 能受持读诵此经
'neng'yu'ci'jing'shou'chi'du'song 能于此经受持读诵
'ning'wei'duo'bu 宁为多不
'pi'ru'ren'shen'zhang'da 譬如人身长大
'pi'ru'you'ren 譬如有人
'pian'tan'you'jian 偏袒右肩
'po'you'zhong'sheng 颇有众生
'pu'sa'dan'ying'ru'suo'jiao'zhu 菩萨但应如所教住
'pu'sa'suo'zuo'fu'de 菩萨所作福德
'pu'sa'wei'li'yi'yi'qie'zhong'sheng 菩萨为利益一切众生
'pu'sa'wu'zhu'xiang'bu'shi 菩萨无住相布施
'pu'sa'xin'bu'ying'zhu'se'bu'shi 菩萨心不应住色布施
'pu'sa'yi'ru'shi 菩萨亦如是
'pu'sa'ying'li'yi'qie'xiang 菩萨应离一切相
'pu'sa'ying'ru'shi'bu'shi 菩萨应如是布施
'pu'sa'yu'fa 菩萨于法
'pu'sa'zhuang'yan'fo'tu'bu 菩萨庄严佛土不
'qi'fu'de'bu'ke'si'liang 其福德不可思量
'qi'fu'shen'duo 其福甚多
'qi'fu'sheng'bi 其福胜彼
'qi'you'zhong'sheng 其有众生
'qian'wan'yi'fen'nai'zhi'suan'shu'pi'yu'suo'bu'neng'ji 千万亿分乃至算数譬喻所不能及
'ran'deng'fo'ze'bu'yu'wo'shou'ji 然灯佛则不与我授记
'ren'ru'bo'luo'mi 忍辱波罗蜜
'ren'shen'zhang'da 人身长大
'ren'xiang'zhong'sheng'xiang'shou'zhe'xiang 人相众生相寿者相
'ren'zhong'zui'wei'di'yi 人中最为第一
'ri'guang'ming'zhao 日光明照
'ru'dang'feng'chi 汝当奉持
'ru'deng'bi'qiu 汝等比丘
'ru'deng'wu'wei'ru'lai'zuo'shi'nian 汝等勿谓如来作是念
'ru'fa'shou'chi'fen 如法受持分
'ru'fa'yu'zhe 如筏喻者
'ru'fo'ta'miao 如佛塔庙
'ru'heng'he'zhong'suo'you'sha'shu 如恒河中所有沙数
'ru'jin'di'ting 汝今谛听
'ru'lai'bu'shuo'de'fu'de'duo 如来不说得福德多
'ru'lai'bu'yi'ju'zu'xiang'gu 如来不以具足相故
'ru'lai'bu'ying'yi'ju'zu'se'shen'jian 如来不应以具足色身见
'ru'lai'bu'ying'yi'ju'zu'zhu'xiang'jian 如来不应以具足诸相见
'ru'lai'chang'shuo 如来常说
'ru'lai'de'a'nou'duo'luo'san'miao'san'pu'ti 如来得阿耨多罗三藐三菩提
'ru'lai'de'a'nou'duo'luo'san'miao'san'pu'ti'ye 如来得阿耨多罗三藐三菩提耶
'ru'lai'ke'shuo 如来可说
'ru'lai'ke'yi'ju'zu'zhu'xiang'jian'bu 如来可以具足诸相见不
'ru'lai'mie'hou 如来灭后
'ru'lai'ruo'lai'ruo'qu'ruo'zuo'ruo'wo 如来若来若去若坐若卧
'ru'lai'shan'hu'nian'zhu'pu'sa 如来善护念诸菩萨
'ru'lai'shuo 如来说
'ru'lai'shuo'de'fu'de'duo 如来说得福德多
'ru'lai'shuo'di'yi'bo'luo'mi 如来说第一波罗蜜
'ru'lai'shuo'fei'ren'ru'bo'luo'mi 如来说非忍辱波罗蜜
'ru'lai'shuo'fei'wei'chen 如来说非微尘
'ru'lai'shuo'fei'zhong'sheng 如来说非众生
'ru'lai'shuo'ji'fei'fa'xiang 如来说即非法相
'ru'lai'shuo'ji'fei'shan'fa 如来说即非善法
'ru'lai'shuo'ming'zhen'shi'pu'sa 如来说名真是菩萨
'ru'lai'shuo'san'shi'er'xiang 如来说三十二相
'ru'lai'shuo'shi'jie 如来说世界
'ru'lai'shuo'shi'sha 如来说是沙
'ru'lai'shuo'ze'fei'fan'fu 如来说则非凡夫
'ru'lai'suo'de'a'nou'duo'luo'san'miao'san'pu'ti 如来所得阿耨多罗三藐三菩提
'ru'lai'suo'de'fa 如来所得法
'ru'lai'suo'shuo'fa 如来所说法
'ru'lai'suo'shuo'san'qian'da'qian'shi'jie 如来所说三千大千世界
'ru'lai'suo'shuo'shen'xiang 如来所说身相
'ru'lai'wei'fa'da'cheng'zhe'shuo 如来为发大乘者说
'ru'lai'wu'suo'shuo 如来无所说
'ru'lai'xi'zai'ran'deng'fo'suo 如来昔在然灯佛所
'ru'lai'xi'zhi 如来悉知
'ru'lai'xi'zhi'shi'ren 如来悉知是人
'ru'lai'xi'zhi'xi'jian 如来悉知悉见
'ru'lai'you'fa'yan 如来有法眼
'ru'lai'you'fa'yan'bu 如来有法眼不
'ru'lai'you'fo'yan 如来有佛眼
'ru'lai'you'fo'yan'bu 如来有佛眼不
'ru'lai'you'hui'yan 如来有慧眼
'ru'lai'you'hui'yan'bu 如来有慧眼不
'ru'lai'you'rou'yan 如来有肉眼
'ru'lai'you'rou'yan'bu 如来有肉眼不
'ru'lai'you'suo'shuo'fa 如来有所说法
'ru'lai'you'suo'shuo'fa'bu 如来有所说法不
'ru'lai'you'suo'shuo'fa'ye 如来有所说法耶
'ru'lai'you'tian'yan 如来有天眼
'ru'lai'you'tian'yan'bu 如来有天眼不
'ru'lai'yu'ran'deng'fo'suo 如来于然灯佛所
'ru'lai'zai'ran'deng'fo'suo 如来在然灯佛所
'ru'lai'ze'you'wo'ren'zhong'sheng'shou'zhe 如来则有我人众生寿者
'ru'lai'zhe 如来者
'ru'li'shi'jian'fen 如理实见分
'ru'lu'yi'ru'dian 如露亦如电
'ru'meng'huan'pao'ying 如梦幻泡影
'ru'ren'ru'an 如人入暗
'ru'ren'you'mu 如人有目
'ru'ru'bu'dong 如如不动
'ru'ru'suo'shuo 如汝所说
'ru'ruo'zuo'shi'nian 汝若作是念
'ru'she'wei'da'cheng'qi'shi 入舍卫大城乞食
'ru'shi 如是
'ru'shi'deng'qi'bao'ju 如是等七宝聚
'ru'shi'jian 如是见
'ru'shi'mie'du'wu'liang'wu'shu'wu'bian'zhong'sheng 如是灭度无量无数无边众生
'ru'shi'ren'deng 如是人等
'ru'shi'sha'deng'heng'he 如是沙等恒河
'ru'shi'wo'wen 如是我闻
'ru'shi'wu'liang'bai'qian'wan'yi'jie'yi'shen'bu'shi 如是无量百千万亿劫以身布施
'ru'shi'xiang'fu'qi'xin 如是降伏其心
'ru'shi'xin'jie 如是信解
'ru'wo'jie'fo'suo'shuo'yi 如我解佛所说义
'ru'wo'xi'wei'ge'li'wang'ge'jie'shen'ti 如我昔为歌利王割截身体
'ru'wu'wei'ru'lai'zuo'shi'nian 汝勿谓如来作是念
'ru'yi'heng'he'zhong'suo'you'sha 如一恒河中所有沙
'ru'yu'lai'shi 汝于来世
'ruo'a'luo'han'zuo'shi'nian 若阿罗汉作是念
'ruo'dang'lai'shi 若当来世
'ruo'fu'de'you'shi 若福德有实
'ruo'fu'you'ren 若复有人
'ruo'fu'you'ren'de'wen'shi'jing 若复有人得闻是经
'ruo'fu'you'ren'zhi'yi'qie'fa'wu'wo 若复有人知一切法无我
'ruo'gan'zhong'xin 若干种心
'ruo'jian'zhu'xiang'fei'xiang 若见诸相非相
'ruo'le'xiao'fa'zhe 若乐小法者
'ruo'luan'sheng'ruo'tai'sheng'ruo'shi'sheng'ruo'hua'sheng 若卵生若胎生若湿生若化生
'ruo'pu'sa'bu'zhu'xiang'bu'shi 若菩萨不住相布施
'ruo'pu'sa'tong'da'wu'wo'fa'zhe 若菩萨通达无我法者
'ruo'pu'sa'xin'bu'zhu'fa'er'xing'bu'shi 若菩萨心不住法而行布施
'ruo'pu'sa'xin'zhu'yu'fa'er'xing'bu'shi 若菩萨心住于法而行布施
'ruo'pu'sa'you'wo'xiang'ren'xiang'zhong'sheng'xiang'shou'zhe'xiang 若菩萨有我相人相众生相寿者相
'ruo'pu'sa'zuo'shi'yan 若菩萨作是言
'ruo'qu'fa'xiang 若取法相
'ruo'qu'fei'fa'xiang 若取非法相
'ruo'ren'yan 若人言
'ruo'ren'yi'ci'bo're'bo'luo'mi'jing 若人以此般若波罗蜜经
'ruo'shan'nan'zi'shan'nv'ren 若善男子善女人
'ruo'shi'jie'shi'you 若世界实有
'ruo'shi'jing'dian'suo'zai'zhi'chu 若是经典所在之处
'ruo'shi'wei'chen'zhong'shi'you'zhe 若是微尘众实有者
'ruo'wei'ren'qing'jian 若为人轻贱
'ruo'xin'you'zhu 若心有住
'ruo'yi'san'shi'er'xiang'guan'ru'lai'zhe 若以三十二相观如来者
'ruo'yi'se'jian'wo 若以色见我
'ruo'you'ci'jing 若有此经
'ruo'you'fa'de'a'nou'duo'luo'san'miao'san'pu'ti 若有法得阿耨多罗三藐三菩提
'ruo'you'ren'neng'shou'chi'du'song 若有人能受持读诵
'ruo'you'ren'yan 若有人言
'ruo'you'se'ruo'wu'se 若有色若无色
'ruo'you'shan'nan'zi'shan'nv'ren 若有善男子善女人
'ruo'you'shan'nan'zi'shan'nv'ren'fa'pu'ti'xin'zhe 若有善男子善女人发菩提心者
'ruo'you'wo'xiang'ren'xiang'zhong'sheng'xiang'shou'zhe'xiang 若有我相人相众生相寿者相
'ruo'you'xiang'ruo'wu'xiang'ruo'fei'you'xiang'fei'wu'xiang 若有想若无想若非有想非无想
'ruo'you'zhong'sheng'ru'lai'du'zhe 若有众生如来度者
'ruo'zun'zhong'di'zi 若尊重弟子
'ruo'zuo'shi'yan 若作是言
'san'qian'da'qian'shi'jie'suo'you'wei'chen 三千大千世界所有微尘
'shan'fu'zhu'zhu'pu'sa 善付嘱诸菩萨
'shan'nan'zi'shan'nv'ren 善男子善女人
'shan'xian'qi'qing'fen 善现启请分
'shan'zai 善哉
'shen'da 甚大
'shen'duo 甚多
'shen'jie'yi'qu 深解义趣
'shen'ru'xu'mi'shan'wang 身如须弥山王
'sheng'shi'xin'bu 生实信不
'sheng'xin'xin'bu 生信心不
'shi'bu'ming'pu'sa 是不名菩萨
'shi'di'yi'li'yu'a'luo'han 是第一离欲阿罗汉
'shi'fa'ping'deng 是法平等
'shi'fu'de'ji'fei'fu'de'xing 是福德即非福德性
'shi'gu'bu'ying'qu'fa 是故不应取法
'shi'gu'fo'shuo 是故佛说
'shi'gu'ming'yi'qie'fa 是故名一切法
'shi'gu'ran'deng'fo'yu'wo'shou'ji 是故然灯佛与我授记
'shi'gu'ru'lai'shuo 是故如来说
'shi'gu'ru'lai'shuo'fu'de'duo 是故如来说福德多
'shi'gu'ru'lai'shuo'ming'shi'xiang 是故如来说名实相
'shi'gu'shuo'bu'shou'fu'de 是故说不受福德
'shi'gu'xu'pu'ti 是故须菩提
'shi'jing'ming'wei'jin'gang'bo're'bo'luo'mi 是经名为金刚般若波罗蜜
'shi'ming'a'na'han 是名阿那含
'shi'ming'a'nou'duo'luo'san'miao'san'pu'ti 是名阿耨多罗三藐三菩提
'shi'ming'da'shen 是名大身
'shi'ming'di'yi'bo'luo'mi 是名第一波罗蜜
'shi'ming'fa'xiang 是名法相
'shi'ming'ju'zu'se'shen 是名具足色身
'shi'ming'ren'ru'bo'luo'mi 是名忍辱波罗蜜
'shi'ming'san'shi'er'xiang 是名三十二相
'shi'ming'shan'fa 是名善法
'shi'ming'shi'jie 是名世界
'shi'ming'shuo'fa 是名说法
'shi'ming'si'tuo'han 是名斯陀含
'shi'ming'wei'chen 是名微尘
'shi'ming'wei'chen'zhong 是名微尘众
'shi'ming'wei'xin 是名为心
'shi'ming'wo'jian'ren'jian'zhong'sheng'jian'shou'zhe'jian 是名我见人见众生见寿者见
'shi'ming'xu'tuo'huan 是名须陀洹
'shi'ming'yi'he'xiang 是名一合相
'shi'ming'zhong'sheng 是名众生
'shi'ming'zhu'xiang'ju'zu 是名诸相具足
'shi'ming'zhuang'yan 是名庄严
'shi'ren'bu'jie'ru'lai'suo'shuo'yi 是人不解如来所说义
'shi'ren'bu'jie'wo'suo'shuo'yi 是人不解我所说义
'shi'ren'jie'wo'suo'shuo'yi'bu 是人解我所说义不
'shi'ren'suo'de'fu'de 是人所得福德
'shi'ren'xian'shi'zui'ye 是人先世罪业
'shi'ren'xing'xie'dao 是人行邪道
'shi'ren'yi'shi'yin'yuan 是人以是因缘
'shi'ren'ze'wei'di'yi'xi'you 是人则为第一希有
'shi'shen'wei'da'bu 是身为大不
'shi'shi'xiang'zhe 是实相者
'shi'wei'chen'zhong'ning'wei'duo'bu 是微尘众宁为多不
'shi'wei'duo'bu 是为多不
'shi'wu'you'fa 实无有法
'shi'wu'you'fa'ming'a'luo'han 实无有法名阿罗汉
'shi'wu'you'fa'ming'wei'pu'sa 实无有法名为菩萨
'shi'wu'you'zhong'sheng'ru'lai'du'zhe 实无有众生如来度者
'shi'wu'zhong'sheng'de'mie'du'zhe 实无众生得灭度者
'shi'zhu'heng'he'sha'ning'wei'duo'bu 是诸恒河沙宁为多不
'shi'zhu'heng'he'suo'you'sha'shu 是诸恒河所有沙数
'shi'zhu'zhong'sheng'de'ru'shi'wu'liang'fu'de 是诸众生得如是无量福德
'shi'zhu'zhong'sheng'ruo'xin'qu'xiang 是诸众生若心取相
'shi'zun 世尊
'shi'zun'er'shuo'ji'yan 世尊而说偈言
'shi'zun'shi'shi 世尊食时
'shi'zun'shuo 世尊说
'shou'chi'du'song 受持读诵
'shou'chi'du'song'ci'jing 受持读诵此经
'shou'chi'du'song'wei'ta'ren'shuo 受持读诵为他人说
'shou'yi'bo 收衣钵
'shuo'fa'zhe 说法者
'shuo'zhu'fa'duan'mie 说诸法断灭
'si'tuo'han'ming'yi'wang'lai 斯陀含名一往来
'si'tuo'han'neng'zuo'shi'nian 斯陀含能作是念
'sui'shuo'shi'jing 随说是经
'suo'de'gong'de 所得功德
'suo'wei'bu'zhu'se'bu'shi 所谓不住色布施
'suo'wei'fo'fa'zhe 所谓佛法者
'suo'yan'fa'xiang'zhe 所言法相者
'suo'yan'shan'fa'zhe 所言善法者
'suo'yan'yi'qie'fa'zhe 所言一切法者
'suo'yi'zhe'he 所以者何
'suo'ying'gong'yang 所应供养
'suo'you'yi'qie'zhong'sheng'zhi'lei 所有一切众生之类
'suo'you'zhong'sheng 所有众生
'ti'lei'bei'qi 涕泪悲泣
'wei'ceng'de'wen'ru'shi'zhi'jing 未曾得闻如是之经
'wei'chen'zhong 微尘众
'wei'fa'zui'shang'cheng'zhe'shuo 为发最上乘者说
'wei'lai'xin'bu'ke'de 未来心不可得
'wei'ran 唯然
'wei'ren'yan'shuo 为人演说
'wei'ta'ren'shuo 为他人说
'wei'wu'suo'de'ye 为无所得耶
'wei'yi'ji'jing'fen 威仪寂净分
'wen'ci'jing'dian 闻此经典
'wen'fo'suo'shuo 闻佛所说
'wen'shi'zhang'ju 闻是章句
'wen'shuo'shi'fa 闻说是法
'wo'bu'zuo'shi'nian 我不作是念
'wo'cong'xi'lai'suo'de'hui'yan 我从昔来所得慧眼
'wo'dang'du'zhong'sheng 我当度众生
'wo'dang'mie'du'wu'liang'zhong'sheng 我当灭度无量众生
'wo'dang'you'suo'shuo'fa 我当有所说法
'wo'dang'zhuang'yan'fo'tu 我当庄严佛土
'wo'dei'a'luo'han'dao 我得阿罗汉道
'wo'dei'a'luo'han'dao'bu 我得阿罗汉道不
'wo'dei'a'na'han'guo'bu 我得阿那含果不
'wo'dei'si'tuo'han'guo'bu 我得斯陀含果不
'wo'dei'xu'tuo'huan'guo'bu 我得须陀洹果不
'wo'deng'yun'he'feng'chi 我等云何奉持
'wo'jian'ren'jian'zhong'sheng'jian'shou'zhe'jian 我见人见众生见寿者见
'wo'jie'ling'ru'wu'yu'nie'pan'er'mie'du'zhi 我皆令入无余涅盘而灭度之
'wo'jin'de'wen'ru'shi'jing'dian 我今得闻如是经典
'wo'jin'jian'wen'de'shou'chi 我今见闻得受持
'wo'jin'shi'yan'gao'ru 我今实言告汝
'wo'nian'guo'qu'wu'liang'a'seng'zhi'jie 我念过去无量阿僧祗劫
'wo'ruo'ju'shuo'zhe 我若具说者
'wo'ruo'zuo'shi'nian 我若作是念
'wo'shi'li'yu'a'luo'han 我是离欲阿罗汉
'wo'xiang'ji'shi'fei'xiang 我相即是非相
'wo'ying'mie'du'yi'qie'zhong'sheng 我应灭度一切众生
'wo'yu'er'shi 我于尔时
'wo'yu'wang'xi'jie'jie'zhi'jie'shi 我于往昔节节支解时
'wu'de'wu'shuo'fen 无得无说分
'wu'duan'wu'mie'fen 无断无灭分
'wu'fa'ke'de'fen 无法可得分
'wu'fa'ke'shuo 无法可说
'wu'fa'xiang 无法相
'wu'kong'guo'zhe 无空过者
'wu'shang'shen'shen'wei'miao'fa 无上甚深微妙法
'wu'suo'cong'lai 无所从来
'wu'wei'fu'sheng'fen 无为福胜分
