'a'bie 阿别
'an'quan'di'dai 安全地带
'an'sha 暗杀
'ba'de'le 八德乐
'ba'le'tu 巴勒图
'ba'le'tu'de'qing'qiu 巴勒图的请求
'ba'na'de'cao'yuan 巴那德草原
'ba'shi'nian'yao'cao'di 八十年药草地
'ba'te 巴特
'ba'te'si 巴特斯
'ba'ti 巴缇
'ba'ti'bo'shi'de'hua'xue'yan'jiu 巴缇博士的化学研究
'ba'wang 霸王
'ba'yi'lan 巴一岚
'bai'cao'tang 百草堂
'bai'er 柏儿
'bai'gong'di 白工地
'bai'gong'ji 白公鸡
'bai'hu'wei'ba 白虎尾巴
'bai'ke'ke'shu'guo 白柯柯树果
'bai'lang 白狼
'bai'lang'ren 白狼人
'bai'lang'ren'de'jiao'zhi'jia 白狼人的脚趾甲
'bai'lang'ren'jiao'zhi'jia 白狼人脚趾甲
'bai'lang'zhi'wei 白狼之尾
'bai'lao'hu 白老虎
'bai'lie'quan 百裂拳
'bai'mian'yang 白绵羊
'bai'nian'jie'geng 百年桔梗
'bai'nian'yao'cao'di 百年药草地
'bai'qiao'ke'li 白巧克力
'bai'rui'de 白瑞德
'bai'se'ji'dan 白色鸡蛋
'bai'se'jing'sui 白色精髓
'bai'se'tu'zi'bian'shen'yao'shui 白色兔子变身药水
'bai'se'wai'xing'ren'de'diao'xiang 白色外星人的雕像
'bai'se'yao'shui 白色药水
'bai'se'yao'wan 白色药丸
'bai'sha'sha'mo 白砂沙漠
'bai'shan'yang 白山羊
'bai'shu 白鼠
'bai'wai'xing'ren'dui'zhang 白外星人队长
'bai'wai'xing'ren'si'ling 白外星人司令
'bai'wai'xing'ren'si'ling'de'biao'zhi 白外星人司令的标志
'bai'wai'xing'ren'wei'bing 白外星人卫兵
'bai'wai'xing'ren'zhang'guan 白外星人长官
'bai'xue'ren 白雪人
'bai'xue'ren'jiao 白雪人角
'bai'xue'ren'zhuang'shi'pin 白雪人装饰品
'bai'yun'lu'tai 白云露台
'bai'zhan'qi'lue 百战奇略
'bai'zhi'zhang 白纸张
'ban'ren'ma'de'gu'tou 半人马的骨头
'ban'ren'ma'de'huo'hua 半人马的火花
'ban'ren'ma'de'jing'shui 半人马的净水
'ban'yue'ti 半月踢
'bang'bang'bing 棒棒冰
'bang'bang'guo 棒棒果
'bang'mang'xie'zuo'ye 帮忙写作业
'bang'zhu'fei'qi'du'shi'ju'min'men 帮助废弃都市居民们
'bang'zhu'fei'qi'jiao'shi'ju'min'men 帮助废弃教市居民们
'bao'bei'long 宝贝龙
'bao'feng'jian'yu 暴风箭雨
'bao'feng'lu'tai 暴风露台
'bao'feng'she'sha 暴风射杀
'bao'hu'nai'luo 保护奈洛
'bao'hu'yue'miao 保护月妙
'bao'mu'er'ma 保姆珥玛
'bao'shui 包税
'bao'za 包扎
'bao'zha'jian 爆炸箭
'bao'zhu 爆竹
'bao'zi 包子
'bei'bu'sen'lin'tong'dao 北部森林通道
'bei'bu'sen'lin'xun'lian'chang 北部森林训练场
'bei'ding 贝丁
'bei'du'zhu'de'shen'hai'dao'lu 被堵住的深海道路
'bei'feng'yin'de'gang'zi 被封印的缸子
'bei'feng'yin'de'gua'zhong 被封印的挂钟
'bei'feng'yin'de'jiang'shi'wa'wa 被封印的僵尸娃娃
'bei'gan 贝干
'bei'sha'mo'zhi'lu 北沙漠之路
'bei'wu'ran'de'mi'gong 被污染的迷宫
'bei'yi'wang'de'long'zhi'chao'xue 被遗忘的龙之巢穴
'bei'yi'wang'de'shan'qiu 被遗忘的山丘
'bei'yi'wang'de'xian'ren 被遗忘的仙人
'bei'yin 贝音
'bei'yin'cang'de'long'miao 被隐藏的龙庙
'bei'zu'zhou'de'si'yuan 被诅咒的寺院
'beng'dai 绷带
'bi'er 比尔
'bi'ge'si 比格斯
'bi'ge'si'wu'pin'shou'ji 比格斯物品收集
'bi'hu'chu'mo'di'dai 壁虎出没地带
'bi'huan 鼻环
'bi'quan 鼻圈
'bi'sheng 必胜
'bi'te 彼特
'bi'xiu'si 比休斯
'bian'fu 蝙蝠
'bian'fu'chi'bang 蝙蝠翅膀
'bian'fu'dong 蝙蝠洞
'bian'fu'guai 蝙蝠怪
'bian'fu'guai'de'yu'shou 蝙蝠怪的御守
'bian'fu'mo 蝙蝠魔
'bian'pao 鞭炮
'bian'shen'xiao'gui'guai 变身小鬼怪
'bian'tai'ha'men 变态哈闷
'bian'tai'ha'men'de'ni'tu 变态哈闷的泥土
'bian'xing'bai'xue'ren 变型白雪人
'bian'xing'bai'xue'ren 变形白雪人
'bian'xing'hei'xue'ren 变形黑雪人
'bian'xing'xiao'bai'xue'ren 变形小白雪人
'bian'xing'xiao'hei'xue'ren 变形小黑雪人
'bian'zhong'xiao'xi'yi 变种小蜥蜴
'bian'zhong'zhu'ru'guai 变种侏儒怪
'bian'zhong'zhu'ru'guai'de'pai'di 变种侏儒怪的排笛
'biao'fei 标飞
'biao'pei'jian 表配件
'bie'jia 别加
'bie'ti 别踢
'bin'feng 彬锋
'bing'bei'ke 冰背壳
'bing'dong'shu 冰冻术
'bing'du'yan'shou 冰独眼兽
'bing'du'yan'shou'dong'xue 冰毒眼兽洞穴
'bing'du'yan'shou'zhi'wei 冰独眼兽之尾
'bing'fa'er'shi'zhang 兵法二十章
'bing'fa'juan'zhou 兵法卷轴
'bing'fa'san'shi'liu'ji 兵法三十六计
'bing'fa'shu 兵法书
'bing'feng'huang 冰凤凰
'bing'feng'xue'yu 冰峰雪域
'bing'gan 饼干
'bing'huo'zhan'chang 冰火战场
'bing'ji 冰肌
'bing'ji'ling'long'zhang 冰肌玲珑杖
'bing'ji'mu 冰积木
'bing'kuai 冰块
'bing'lei 冰雷
'bing'lei 冰泪
'bing'lei'fa'shi 冰雷法师
'bing'lei'he'ji 冰雷合击
'bing'lei'kang'xing 冰雷抗性
'bing'lei'mo'dao'shi 冰雷魔导师
'bing'lei'wu'shi 冰雷巫师
'bing'leng'de'yao'lan 冰冷的摇篮
'bing'leng'si'wang'zhan'chang 冰冷死亡战场
'bing'long 冰龙
'bing'ma 冰马
'bing'mian 冰面
'bing'pao'xiao 冰咆哮
'bing'qiang 冰枪
'bing'shi'qiu 冰石球
'bing'shi'qiu'de'shi'pian 冰石球的石片
'bing'shu 冰书
'bing'xue'shan'qiu 冰雪山丘
'bing'xue'xia'gu 冰雪峡谷
'bo'da 波达
'bo'da'de'qing'qiu 波达的请求
'bo'li'xie 玻璃鞋
'bo'luo'tang 波罗糖
'bo'ni 波尼
'bo'te 波特
'bu'ji'neng 不技能
'bu'lu'si 布鲁斯
'bu'yao 补药
'bu'yao'zuo 不要做
'cai'hong'cun 彩虹村
'cai'hong'cun'dong'jiao'ping'yuan 彩虹村东郊平原
'cai'hong'cun'min'zhai 彩虹村民宅
'cai'hong'cun'xi'jiao'ping'yuan 彩虹村西郊平原
'cai'hong'dao 彩虹岛
'cai'hong'se'wo'niu'ke 彩虹色蜗牛壳
'cai'hong'se'wo'niu'ke'er 彩虹色蜗牛壳儿
'can'ji'tang 参鸡汤
'can'ku'de'shi'shi 残酷的事实
'can'ting 餐厅
'cang'hai'xue'ban 沧海雪板
'cang'jing'ge 藏经阁
'cang'ku'guan'li'yuan 仓库管理员
'cang'ku'lao'ban 仓库老板
'cao'cong'da'lie'chang 草丛打猎场
'cao'mei'nai'you'dan'gao 草莓奶油蛋糕
'cao'mei'tang 草莓糖
'cao'mei'xian'nai'you'dan'gao 草莓鲜奶油蛋糕
'ce'huang'yi 测谎仪
'ce'wo 测我
'ce'wo'xia 测我下
'ce'xia 测下
'cha'dao 岔道
'cha'li'zhong'shi'de'jiao'huan 查理中士的交换
'cha'tou 插头
'chang'jing'ping 长颈瓶
'chang'qiang'niu'mo'wang 长枪牛魔王
'chang'qiang'niu'mo'wang'zhi'jiao 长枪牛魔王之角
'chang'zhang'zhi'zuo'fu'zhu'ji 长杖制作辅助剂
'chang'zhang'zhi'zuo'juan'zhou 长杖制作卷轴
'chao'ji 超级
'chao'ji'bian'shen 超级变身
'chao'ji'gao'su'zhi 超级高速指
'chao'ji'ke'lian'de'qu'yuan 超级可怜的屈原
'chao'ji'shui'ling 超级水灵
'chao'ji'wo'tu'po'si 超级沃土珀斯
'chao'ji'yao'shui 超级药水
'chao'ji'zha'dan'hai'ou 超级炸弹海鸥
'chao'ji'zhang'yu'pao'tai 超级章鱼炮台
'chao'neng'liang 超能量
'chao'ren'bian'xing 超人变形
'chao'zi'ran'huo'dong'bao'gao 超自然活动报告
'che'deng 车灯
'chen'dao'ren'de'shui'jing'qiu 陈道人的水晶球
'chen'jin'zai'bei'shang'zhong'de'yao'jing 沉浸在悲伤中的妖精
'chen'nian'lao'gu'tou 陈年老骨头
'chen'shui'de'sha'mo 沉睡的沙漠
'chen'tian'qiao 陈天桥
'cheng'men'shou'men'ren 城门守门人
'cheng'se'yao'shui 橙色药水
'cheng'se'yao'wan 橙色药丸
'cheng'shi'zi'gu'gu 城市紫菇菇
'cheng'zhi 橙汁
'cheng'zi 橙子
'chi'cong'lin 赤丛林
'chi'long 赤龙
'chi'lun 齿轮
'chi'ping'guo 吃苹果
'chi're'de'sha'mo 炽热的沙漠
'chi'xue'xue'ban 赤血雪板
'chi'zhu 赤珠
'chong'feng'dui'zhang 冲锋队长
'chong'wu'gong'yuan 宠物公园
'chong'wu'shi'pin 宠物食品
'chong'wu'zhi'ling'shuo'ming'shu 宠物指令说明书
'chong'xin'huo'de'ka'pa'lai'te'pi'feng 重新获得卡帕莱特披风
'chong'xin'huo'de'meng'te'jiu'pi'feng 重新获得蒙特鸠披风
'chu'ji'xiu'lian'chang 初级修炼场
'chu'ru'zheng 出入证
'chuan'ci'jian 穿刺箭
'chuan'da'gei'jin'bo'shi'de'xin'xi 传达给金博士的信息
'chuan'lao'da 船老大
'chuan'shuo'zhong'de'gu'xiang 传说中的故乡
'chuan'tou'jian 穿透箭
'chuan'zhang 船长
'chuan'zhang'de'mao'zi 船长的帽子
'chui'pao'pao'shuang'yu 吹泡泡双鱼
'chui'pao'pao'shuang'yu'wu'zi'qi'shi 吹泡泡双鱼五子棋石
'chui'pao'pao'yu 吹泡泡鱼
'chui'pao'pao'yu'huang 吹泡泡鱼皇
'chun'juan 春卷
'ci'ke 刺客
'ci'mo'gu 刺蘑菇
'ci'mo'gu'gai 刺蘑菇盖
'ci'mo'gu'tong'ji'pai 刺蘑菇通缉牌
'ci'qi'yu 刺鳍鱼
'ci'qi'yu'chuan 刺鳍鱼串
'ci'qi'yu'zhi'wu 刺鳍鱼之屋
'ci'shi 磁石
'ci'wei'de'ci 刺猬的刺
'ci'yan'jian 刺眼箭
'ci'zhen 刺针
'cong'di'tu'zhong'shi'zong'de'cun'zhuang 从地图中失踪的村庄
'cu'yu'mao 粗羽毛
'cun'zhang'ta'ta'man 村长塔塔曼
'cun'zhang'zhi'jia 村长之家
'da'dang'jia'de'si'fang'cai 大当家的私房菜
'da'e'ling'fu'shen'de'wa'wa 大恶灵附身的娃娃
'da'fen'bian 大粪便
'da'fo'de'xie'hou 大佛的邂逅
'da'fu 大副
'da'gu'mian'zi'de'hui'fu 打鼓免子的恢复
'da'gu'tu'zi 打鼓兔子
'da'hai'de'yu'nan'zhe 大海的遇难者
'da'hai'ma 大海马
'da'hai'shou 大海兽
'da'hai'zei 大海贼
'da'hai'zei'de'fan 大海贼的帆
'da'hai'zei'wang 大海贼王
'da'hai'zei'wang'de'mao'zi 大海贼王的帽子
'da'hei'shui'lei 大黑水雷
'da'hua'cao 大花草
'da'huo'ji 打火机
'da'jian 大剑
'da'ke'lu'de'fen'shen 达克鲁的分身
'da'li'yao'shui 大力药水
'da'li'zhong 大立钟
'da'long'xia 大龙虾
'da'mu'lin 大木林
'da're'gou 大热狗
'da'ting 大厅
'da'tou'ya 大头鸭
'da'wan'ju'you'ling 大玩具幽灵
'da'wang'wu'gong 大王蜈蚣
'da'xiong'bao'dian 大雄宝殿
'da'you'ling 大幽灵
'da'you'ling'xiang'pi'ca 大幽灵橡皮擦
'da'yu 大宇
'da'yu'xia'gu 大鱼峡谷
'dai'na'zha'tou 带拿扎头
'dai'xi 带吸
'dan'bai'shi 蛋白石
'dan'bai'shi'mu'kuang 蛋白石母矿
'dan'chao'fan'shuang'bei 蛋炒饭双倍
'dan'chao'mian 蛋炒面
'dan'gao 蛋糕
'dan'guo 蛋锅
'dan'ke'sui'pian 蛋壳碎片
'dan'shou'dun'qi 单手钝器
'dan'shou'dun'qi'zhi'zuo'fu'zhu'ji 单手钝器制作辅助剂
'dan'shou'dun'qi'zhi'zuo'juan'zhou 单手钝器制作卷轴
'dan'shou'fu 单手斧
'dan'shou'fu'zhi'zuo'fu'zhu'ji 单手斧制作辅助剂
'dan'shou'fu'zhi'zuo'juan'zhou 单手斧制作卷轴
'dan'shou'jian 单手剑
'dan'shou'jian'zhi'zuo'fu'zhu'ji 单手剑制作辅助剂
'dan'shou'jian'zhi'zuo'juan'zhou 单手剑制作卷轴
'dao'cao'wan'ou 稻草玩偶
'dao'dong'xi 倒东西
'dao'fei 刀飞
'dao'fu 道符
'dao'gong 道功
'dao'hang 导航
'dao'hang'fu'zhu 导航辅助
'dao'huo'xian 导火线
'dao'le 倒了
'dao'mi'bang 捣米棒
'dao'zha 倒扎
'dao'zhuan 倒转
'de'lang'bo'shi 德朗博士
'de'lang'bo'shi'de'ji'shi'ben 德朗博士的记事本
'de'lang'bo'shi'shi'shui 德朗博士是谁
'deng'long'gui 灯笼鬼
'di'di'de'wan'fan 弟弟的晚饭
'di'er'ge'mi'gong'de'shui'jing'yao'shi 第二个迷宫的水晶钥匙
'di'er'ge'xiao'sui'pian 第二个小碎片
'di'er'gong'cheng 第二工程
'di'er'jun'ying 第二军营
'di'mian 地面
'di'qiu'fang'yu'ben'bu 地球防御本部
'di'san'ge'mi'gong'de'shui'jing'yao'shi 第三个迷宫的水晶钥匙
'di'san'jun'ying 第三军营
'di'si'ge'mi'gong'de'shui'jing'yao'shi 第四个迷宫的水晶钥匙
'di'tan'shi'kong'xi 地毯式空袭
'di'te'he'luo'yi 迪特和罗伊
'di'tie'yi'hao'xian 地铁一号线
'di'wu'ge'mi'gong'de'shui'jing'yao'shi 第五个迷宫的水晶钥匙
'di'wu'ge'xiao'sui'pian 第五个小碎片
'di'yi'ge'mi'gong'de'shui'jing'yao'shi 第一个迷宫的水晶钥匙
'di'yi'ge'xiao'sui'pian 第一个小碎片
'di'yi'gong'cheng 第一工程
'di'yi'jun'ying 第一军营
'dian'chi 电池
'dian'ti 电梯
'dian'xian'bao 电线包
'dian'zi'ji'qi'ren 电子机器人
'diao'le 掉了
'ding'man 丁满
'ding'zhen 顶针
'diu'shi'de'kong'jian 丢失的空间
'dong'bu'yan'shan 东部岩山
'dong'fang'shen'zhou 东方神州
'dong'hai'cha'lu 东海叉路
'dong'li'ji'fang 动力机房
'dong'qu'wai 东区外
'dong'wu'pi 动物皮
'dong'wu'yuan 动物园
'dong'wu'yuan'bai'lang 动物园白狼
'dong'wu'yuan'bai'xue'ren 动物园白雪人
'dong'wu'yuan'bian'fu'guai 动物园蝙蝠怪
'dong'wu'yuan'piao'piao'zhu 动物园漂漂猪
'dong'wu'yuan'zhu'zhu 动物园猪猪
'dou'dou'piao 豆豆票
'dou'gun'si'ben'bu 都滚斯本部
'dou'gun'si'ben'bu'ru'kou 都滚斯本部入口
'dou'ji 斗鸡
'dou'qi'ji'zhong 斗气集中
'dou'shi 斗士
'du'gu 毒菇
'du'jiao'shi'ying'jiao 独角狮硬角
'du'jiao'xiao'chou'yu 独角小丑鱼
'du'sen'lin'ai'ren 毒森林矮人
'du'shi'tou'chong 毒石头虫
'du'tai'xian'mu'yao 毒苔藓木妖
'du'wu'shu 毒雾术
'du'xing'ke 独行客
'du'yan'bian'fu 独眼蝙蝠
'du'yan'bian'fu'zhi'yi 独眼蝙蝠之翼
'du'yan'shou'dong'xue 独眼兽洞穴
'duan'dao 短刀
'duan'dao'xi'yi 短刀蜥蜴
'duan'diao'de'jiao 断掉的角
'duan'hun'jian 断魂箭
'duan'jian 短剑
'duan'jian'zhi'zuo'fu'zhu'ji 短剑制作辅助剂
'duan'jian'zhi'zuo'juan'zhou 短剑制作卷轴
'duan'lie'de'jiao 断裂的角
'duan'pao 短跑
'duan'qiang'zhi'zuo'fu'zhu'ji 短枪制作辅助剂
'duan'zao 锻造
'duan'zao'jie'shao'shu 锻造介绍书
'duan'zhang 短杖
'duan'zhang'zhi'zuo'fu'zhu'ji 短杖制作辅助剂
'duan'zhang'zhi'zuo'juan'zhou 短杖制作卷轴
'dui'kang'zhan 对抗战
'dui'shua 对刷
'dun'fang'jing'tong 盾防精通
'dun'pai 盾牌
'dun'pai'zhi'zuo'fu'zhu'ji 盾牌制作辅助剂
'duo'chong'fei'biao 多重飞镖
'duo'duo 多多
'duo'er 多尔
'duo'luo'zhe'de'sheng'shu 堕落者的圣书
'e'e 鳄鳄
'e'e'de'pi 鳄鳄的皮
'e'la'si'ka 呃拉斯卡
'e'ling'fu'shen'de'wa'wa 恶灵附身的娃娃
'e'long'fu'shen 恶龙附身
'e'mo'biao'zhi 恶魔标识
'e'mo'mian'yang 恶魔绵羊
'e'mo'mian'yang'wei'ba 恶魔绵羊尾巴
'e'mo'shui'ling 恶魔水灵
'e'mo'zhi'fu 恶魔之父
'e'mo'zhi'mu 恶魔之母
'e'yu 鳄鱼
'e'yu'pi 鳄鱼皮
'e'yu'ren'wu 鳄鱼任务
'e'yu'tan 鳄鱼潭
'er'duan'tiao 二段跳
'er'huan 耳环
'er'lian'ji 二连击
'er'lian'she 二连射
'er'xue 二血
'er'zhao'bi'hu 耳罩壁虎
'er'zhuan 二转
'fa'lan'ken 法兰肯
'fa'shi 法师
'fan'dun 反盾
'fan'qie'tian 番茄田
'fan'tuan 饭团
'fan'tuan'ming'tai'yu'zi 饭团明太鱼子
'fan'tuan'qing'yu 饭团青鱼
'fang'bo'shi 芳博士
'fang'bo'shi'de'hua'shi'yan'jiu 芳博士的化石研究
'fang'ce 防测
'fang'jian 房间
'fang'ju'lei 防具类
'fang'yu'beng'huai 防御崩坏
'fang'yu'li 防御力
'fang'yu'mo 防御膜
'fang'yu'suo'ding 防御锁定
'fei'chang'ke'lian'de'qu'yuan 非常可怜的屈原
'fei'cui'jiao'zi 翡翠饺子
'fei'du'bei'fang'gong'di 废都北方工地
'fei'du'bei'ru'kou 废都北入口
'fei'du'jiu'ba 废都酒吧
'fei'du'nan'fang'gong'di 废都南方工地
'fei'du'sen'lin 废都森林
'fei'ji'fa'dong'ji 飞机发动机
'fei'ji'kong'zhi'qi 飞机控制器
'fei'ji'tui'jin'qi 飞机推进器
'fei'kuang 废矿
'fei'kuang'qu 废矿区
'fei'long 肥龙
'fei'long'chong'ji'bo 飞龙冲击波
'fei'long'de'chi'bang 飞龙的翅膀
'fei'long'de'sai 飞龙的腮
'fei'long'de'xia'gu 飞龙的峡谷
'fei'long'de'xiang'shui 飞龙的香水
'fei'long'de'zhi'jia 飞龙的指甲
'fei'long'ju'jian 飞龙巨剑
'fei'qi 废弃
'fei'qi'du'shi 废弃都市
'fei'qi'du'shi'hui'cheng'juan 废弃都市回城卷
'fei'qi'du'shi'wu'qi'dian'lao'ban 废弃都市武器店老板
'fei'qi'zu'dui'ren'wu 废弃组队任务
'fei'xia 飞侠
'fei'xing'que 飞行雀
'fei'zei'hu'shou 飞贼护手
'fei'zei'tui'dai 飞贼腿带
'fei'zhi 废纸
'fen'hong'bin'bin 粉红缤缤
'fen'hong'tu'zi'bian'shen'yao'shui 粉红兔子变身药水
'fen'lang 粉浪
'fen'nu'de'lao'hai'dao 愤怒的老海盗
'fen'nu'de'li'fu 愤怒的里弗
'fen'nu'zhi'huo 愤怒之火
'fen'se'jing'sui 粉色精髓
'fen'shen'shu 分身术
'feng'du'yan'shou 风独眼兽
'feng'du'yan'shou'zhi'wei 风独眼兽之尾
'feng'hao 封号
'feng'kuang'de'ku'lou 疯狂的骷髅
'feng'lao'tou 疯老头
'feng'lao'tou'de'chu'ru'zheng 疯老头的出入证
'feng'lao'tou'de'ji'yi 疯老头的记忆
'feng'lao'tou'de'shi'yan'shi 疯老头的实验室
'feng'mi 蜂蜜
'feng'mi'guan 蜂蜜罐
'feng'ye 枫叶
'feng'ye'bang'bang'tang 枫叶棒棒糖
'feng'ye'qiang 枫叶枪
'feng'ye'zhang 枫叶仗
'feng'yin'shu 封印术
'feng'yin'zhu'shen'mi'wei'xian'zhi'li'de'yi'shi 封印住神秘危险之力的仪式
'feng'zhi'chi'bang 风之翅膀
'fu'mu'yao 斧木妖
'fu'shi'de 浮士德
'fu'tou 斧头
'gai'ya 盖亚
'gan'bu 干部
'gan'ku'de'sha'mo 干枯的沙漠
'gan'lao'dan'gao 干酪蛋糕
'gan'si'dui'ming'yu'dui'yuan'de'xiang'zheng 敢死队名誉队员的象征
'gang'jia'ye'zhu 钢甲野猪
'gang'jia'zhu 钢甲猪
'gang'jia'zhu'kui'jia 钢甲猪盔甲
'gang'kou'tong'dao 港口通道
'gang'tie 钢铁
'gang'tie'gong'shi 钢铁弓矢
'gang'tie'mu'kuang 钢铁母矿
'gang'tie'nu'shi 钢铁弩矢
'gang'tie'sui'pian 钢铁碎片
'gang'zhi'hei'guai'zhi'di 钢之黑怪之地
'gao'deng'dan'bai'shi 高等蛋白石
'gao'deng'hai'lan'bao'shi 高等海蓝宝石
'gao'deng'hei'an'shui'jing 高等黑暗水晶
'gao'deng'hei'shui'jing 高等黑水晶
'gao'deng'huang'jing 高等黄晶
'gao'deng'lan'bao'shi 高等蓝宝石
'gao'deng'li'liang'shui'jing 高等力量水晶
'gao'deng'min'jie'shui'jing 高等敏捷水晶
'gao'deng'shi'liu'shi 高等石榴石
'gao'deng'wu'cai'shui'jing 高等五彩水晶
'gao'deng'xing'yun'shui'jing 高等幸运水晶
'gao'deng'zhi'hui'shui'jing 高等智慧水晶
'gao'deng'zi'shui'jing 高等紫水晶
'gao'deng'zu'mu'lv 高等祖母绿
'gao'deng'zuan'shi 高等钻石
'gao'ji 高级
'gao'ji'da'li'zhong 高级大立钟
'gao'jia'shou 高价收
'gao'tiao'xue 高跳靴
'ge'diao'de'shan'yang'jiao 割掉的山羊角
'ge'lei'juan'zhou 各类卷轴
'ge'rui'fen'duo'de'jiao 格瑞芬多的角
'ge'rui'fen'duo'jiao 格瑞芬多角
'ge'rui'fen'duo'sen'lin 格瑞芬多森林
'gei'ge'hua 给个花
'gei'ge'huo 给个火
'gei'qi'ni'de'li'wu 给琦尼的礼物
'gei'si'pi'luo'na'song'can 给斯皮罗纳送餐
'gong'ji'li 攻击力
'gong'ji'shen'shui 攻击神水
'gong'ji'yao'wan 攻击药丸
'gong'jian'shou 弓箭手
'gong'ren'biao'de'dian'chi 工人表的电池
'gong'sha'sha'tu 公沙沙兔
'gong'shi 弓矢
'gong'shou 弓手
'gong'zhi'zuo'fu'zhu'ji 弓制作辅助剂
'gong'zhi'zuo'juan'zhou 弓制作卷轴
'gong'zuo'mei'wen'ti 工作没问题
'gong'zuo'ren'yuan 工作人员
'gou'bi'zi 狗鼻子
'gu'dai'shen'she 古代神社
'gu'dai'tou'kui 古代头盔
'gu'dan'bai'xue'ren 孤单白雪人
'gu'dan'hei'qi'e'wang 孤单黑企鹅王
'gu'dan'hei'xue'ren 孤单黑雪人
'gu'dan'qi'e'wang 孤单企鹅王
'gu'gan'gong'cheng 骨干工程
'gu'guan'ji 骨贯击
'gu'hai'yu 骨骸鱼
'gu'ju'ji 鼓具鸡
'gu'lao'de'shu 古老的树
'gu'li'de'shi'di 孤立的湿地
'gu'li'de'wu'zi 孤立的屋子
'gu'mu'shu'ye 古木树液
'gu'mu'yao 古木妖
'gu'pen 骨盆
'gu'shi'shu 故事书
'gu'shi'shu'bing'feng'de'mo'fa'shu 故事书冰封的魔法书
'gu'shi'shu'fa'yue'du'de'shu 故事书法阅读的书
'gu'shi'shu'gu'lao'de'shu 故事书古老的书
'gu'shi'shu'hei'ben'zi 故事书黑本子
'gu'shi'shu'ran'shao'de'huo'yan'shu 故事书燃烧的火焰书
'gu'shi'shu'wu'yun'zhi'zuo'fa 故事书乌云制作法
'gu'tou 骨头
'gu'tou'long 骨头龙
'gua'hu'dao 刮胡刀
'gua'hua 挂花
'gua'huo 挂火
'gua'le 挂了
'gua'sha'you 刮痧油
'gua'zhong'de'bai'tuo 挂钟的拜托
'guai'chong'di'bo 怪虫迪波
'guai'chong'di'bo'zhi'jiao 怪虫迪波之角
'guai'mao 怪猫
'guai'mao'da'lie'chang 怪猫打猎场
'guai'mao'de'ling'tu 怪猫的领土
'guai'mao'de'yan 怪猫的眼
'guai'pi'qi'sen'lin 怪脾气森林
'guai'shou'di'qu 怪兽地区
'guai'wu'ka 怪物卡
'guai'wu'ying'ye'yuan'te'an'ke 怪物营业员特安可
