'a'duo'nuo 阿多诺
'hei'ge'er'zhu'yi 黑格尔主义
'huo'ke'hai'mo 霍克海默
'ji'ben'mao'dun 基本矛盾
'ji'ben'nei'he 基本内核
'ji'ben'wen'ti 基本问题
'ji'bian'lun 激变论
'jie'ji'dou'zheng 阶级斗争
'jie'ji'fen'xi'fa 阶级分析法
'jie'ji'jie'gou 阶级结构
'jie'ji'xing 阶级性
'jie'ji'yi'shi 阶级意识
'jing'ji'dou'zheng 经济斗争
'jing'ji'fan'chou 经济范畴
'jing'ji'ji'chu 经济基础
'jing'ji'jue'ding'lun 经济决定论
'jing'ji'zhe'xue 经济哲学
'jing'yan'lun 经验论
'jing'yan'zhu'yi 经验主义
'jing'yuan'zhe'xue 经院哲学
'jue'dui'zhen'li 绝对真理
'jun'heng'lun 均衡论
'kao'ci'ji 考茨基
'ke'bian'zi'ben 可变资本
'ke'er'shi 科尔施
'ke'guan'bi'ran'xing 客观必然性
'ke'guan'shi'zai'xing 客观实在性
'ke'neng'xing 可能性
'ke'ti'de'fei'dui'xiang'hua 客体的非对象化
'ke'ti'zhu'ti'hua 客体主体化
'ke'xi'ke 科西克
'ke'xue'xing 科学性
'ke'xue'zhi'ke'xue 科学之科学
'ke'zhi'lun 可知论
'kong'xiang'she'hui'zhu'yi 空想社会主义
'la'bu'li'ao'la 拉布里奥拉
'la'fa'ge 拉法格
'lai'yin'bao 莱茵报
'lao'dong'de'dui'xiang'hua 劳动的对象化
'lao'nian'ma'ke'si 老年马克思
'li'bu'ke'nei'xi 李卜克内西
'li'shi'ben'ti'lun 历史本体论
'li'shi'fan'chou 历史范畴
'li'shi'jue'ding'lun 历史决定论
'li'shi'wei'wu'zhu'yi 历史唯物主义
'li'shi'zhu'yi 历史主义
'li'xing'ju'ti 理性具体
'li'xing'ren'shi 理性认识
'lian'he'ti 联合体
'liang'dian'lun 两点论
'lu'ge 卢格
'lu'ka'qi 卢卡奇
'lu'sen'bao 卢森堡
'ma'er'ku'sai 马尔库塞
'ma'ke'si'zhu'yi'ren'xue 马克思主义人学
'ma'ke'si'zhu'yi'zheng'zhi'jing'ji'xue 马克思主义政治经济学
'man'hai'mu 曼海姆
'mao'dun 矛盾
'neng'dong'xing 能动性
'ou'ran'xing 偶然性
'ou'wen 欧文
'pi'pan'de'ma'ke'si'zhu'yi'zhe'xue 批判的马克思主义哲学
'pi'pan'de'she'hui'li'lun 批判的社会理论
'ping'heng'lun 平衡论
'pu'lie'han'nuo'fu 普列汉诺夫
'pu'lu'dong 普鲁东
'pu'na'lu'ya 普纳路亚
'pu'su'bian'zheng'fa 朴素辩证法
'pu'su'wei'wu'zhu'yi 朴素唯物主义
'qi'ze'ke 齐泽克
'qing'nian'hei'ge'er'pai 青年黑格尔派
'qing'nian'ma'ke'si 青年马克思
'quan'li'jie'shi'xue 权力解释学
'qun'zhong'guan'dian 群众观点
'qun'zhong'lu'xian 群众路线
'ren'dao'zhu'yi'de'ma'ke'si'zhu'yi 人道主义的马克思主义
'ren'de'ben'zhi 人的本质
'ren'de'jie'fang 人的解放
'ren'hua 人化
'ren'hua'de'zi'ran 人化的自然
'ren'hua'zi'ran 人化自然
'ren'kou'yin'su 人口因素
'ren'lei'xue'bi'ji 人类学笔记
'ren'shi'lu'xian 认识路线
'ren'xue 人学
'sa'te 萨特
'sha'fu 沙夫
'shang'ceng'jian'zhu 上层建筑
'she'hui'ge'ming 社会革命
'she'hui'guan'xi'ben'ti'lun 社会关系本体论
'she'hui'li'lun 社会理论
'she'hui'wu'zhi'sheng'huo'tiao'jian 社会物质生活条件
'she'hui'xin'li 社会心理
'she'hui'xing'tai 社会形态
'she'hui'xue'da'gang 社会学大纲
'she'hui'yi'shi'xing'shi 社会意识形式
'sheng'chan'fang'shi 生产方式
'sheng'chan'guan'xi 生产关系
'sheng'chan'guan'xi'ben'ti'lun 生产关系本体论
'sheng'chan'li 生产力
'sheng'chan'shi'jian 生产实践
'sheng'cheng'xing 生成性
'sheng'cun'lun 生存论
'sheng'huo'shi'jie 生活世界
'sheng'tai'zhu'yi'de'ma'ke'si'zhu'yi 生态主义的马克思主义
'sheng'xi'men 圣西门
'sheng'yu'jia'zhi 剩余价值
'sheng'yu'jia'zhi'gui'lv 剩余价值规律
'sheng'yu'jia'zhi'lv 剩余价值率
'shi'di'na 施蒂纳
'shi'jian'ben'ti'lun 实践本体论
'shi'jian'wei'wu'zhu'yi 实践唯物主义
'shi'jian'xing 实践性
'shi'jian'yi'yuan'lun 实践一元论
'shi'jie'hua 世界化
'shi'jie'li'shi'li'lun 世界历史理论
'shi'te'lao'si 施特劳斯
'shi'xing 诗性
'shi'xing'de'li'shi 诗性的历史
'si'da'lin 斯大林
'si'wei'de'fei'zhi'shang'xing 思维的非至上性
'si'wei'de'zhi'shang'xing 思维的至上性
'si'xiang'dou'zheng 思想斗争
'si'xiang'zheng'zhi 思想政治
'si'you'zhi 私有制
'sou'ji'cai'liao 搜集材料
'suo'you'zhi 所有制
'tai'le'si 泰勒斯
'tong'yi'xing 同一性
'wei'li'lun 唯理论
'wei'ming'lun 唯名论
'wei'shi'lun 唯实论
'wei'te'lin 魏特林
'wei'wu'bian'zheng'fa 唯物辩证法
'wei'wu'shi'guan 唯物史观
'wei'wu'zhu'yi 唯物主义
'wei'xin'bian'zheng'fa 唯心辩证法
'wei'xin'shi'guan 唯心史观
'wei'xin'zhu'yi 唯心主义
'wei'yi'zhe 唯一者
'wen'hua'pi'pan 文化批判
'wen'hua'zheng'zhi'xue 文化政治学
'wu'chan'jie'ji'zhuan'zheng 无产阶级专政
'wu'hua 物化
'wu'tuo'bang 乌托邦
'wu'xian'xing 无限性
'wu'zhi 物质
'wu'zhi'ben'ti'lun 物质本体论
'wu'zhi'yi'yuan'lun 物质一元论
'xian'shi'xing 现实性
'xian'yan'lun 先验论
'xiang'dui'zhen'li 相对真理
'xiang'dui'zhu'yi 相对主义
'xie'lin 谢林
'xing'er'shang'xue'wei'wu'zhu'yi 形而上学唯物主义
'xing'shi'zhi'liao'shuo 形式质料说
'ya'xi'ya'sheng'chan'fang'shi 亚细亚生产方式
'yang'qi 扬弃
'yi'hua'lao'dong 异化劳动
'yi'shi 意识
'yi'shi'xing'tai 意识形态
'you'ji'gou'cheng 有机构成
'you'xian'xing 有限性
'yu'zhou'guan 宇宙观
'yu'zhou'zhi'zhuan 宇宙之砖
'zeng'zhi 增殖
'zhe'xue 哲学
'zhe'xue'de'ji'ben'wen'ti 哲学的基本问题
'zhe'xue'de'pin'kun 哲学的贫困
'zhe'xue'hua 哲学化
'zhe'zhong'zhu'yi 折衷主义
'zhen'li'xing 真理性
'zhen'zheng'de'she'hui'zhu'yi 真正的社会主义
'zheng'hou'yue'du'fa 症候阅读法
'zheng'li'cai'liao 整理材料
'zheng'zhi'dou'zheng 政治斗争
'zheng'zhi'shang'ceng'jian'zhu 政治上层建筑
'zheng'zhi'zhe'xue 政治哲学
'zhi'shi'she'hui'xue 知识社会学
'zhong'dian'lun 重点论
'zhong'jie'xing 中介性
'zhu'ti'de'dui'xiang'hua 主体的对象化
'zhu'ti'ke'ti'hua 主体客体化
'zhu'yao'mao'dun 主要矛盾
'zhu'yao'mao'dun'fang'mian 主要矛盾方面
'zi'ben'de'you'ji'gou'cheng 资本的有机构成
'zi'ben'de'zeng'zhi 资本的增殖
'zi'ran'de'ren'hua 自然的人化
'zi'ran'guan 自然观
'zi'ran'zhe'xue 自然哲学
'zi'wo'yi'shi 自我意识
'zi'you'ren'lian'he'ti 自由人联合体
'zi'you'wang'guo 自由王国
'zong'ti'bian'zheng'fa 总体辩证法
'zong'ti'xing'bian'zheng'fa 总体性辩证法
