'an'jian 案件
'cheng'ben 成本
'cheng'du 程度
'cheng'du'cheng'xiang'tong'chou'shi'yan'qu 成都城乡统筹试验区
'cheng'fang'fu'bai'ti'xi 惩防腐败体系
'cheng'gong 成功
'cheng'guo 成果
'cheng'ji 成绩
'cheng'shi'xin'yong 诚实信用
'cheng'wei 成为
'cheng'xiao 成效
'cheng'xin 诚信
'cheng'xu 程序
'cheng'xu'hua 程序化
'cheng'yuan'qi'ye 成员企业
'cheng'zhi'wei 称之为
'chi'gu 持股
'chi'ming'shang'biao 驰名商标
'chi'xu 持续
'chi'you 持有
'chi'zhao 持照
'chi'zhao'ye'hu 持照业户
'chong'fen 充分
'chong'shi 充实
'chong'xin 重新
'chou'bei 筹备
'chou'chu 抽出
'chou'tao'zi'jin 抽逃资金
'chu'bu 初步
'chu'chai 出差
'chu'dong 出动
'chu'fa 出发
'chu'fa 处罚
'chu'ju 出具
'chu'ju'gui'mo 初具规模
'chu'lai 出来
'chu'li 处理
'chu'qu 出去
'chu'tai 出台
'chu'zhang 处长
'chu'zhi 出质
'chu'zhi 处置
'chu'zi 出资
'chuan'bo 传播
'chuan'tong 传统
'chuan'xiao'he'bian'xiang'chuan'xiao 传销和变相传销
'chuan'xiao'zu'zhi'zhe 传销组织者
'chuang'jian 创建
'chuang'jian'wu'chuan'xiao'she'qu 创建无传销社区
'chuang'jian'xing'ji'wen'ming'gui'fan 创建星级文明规范
'chuang'kou 窗口
'chuang'xin 创新
'chuang'xin'ji'zhi 创新机制
'chuang'xin'xiao'fei'wei'quan'ji'zhi 创新消费维权机制
'chuang'xin'xing 创新性
'chuang'ye 创业
'chuang'zao 创造
'chuang'zao'xing 创造性
'ci'wai 此外
'cong'da'ju'chu'fa 从大局出发
'cong'er 从而
'cong'shi 从事
'cu'fang 粗放
'cu'jin 促进
'cu'jin'ge'lei'shi'chang'zhu'ti'jian'kang'fa'zhan 促进各类市场主体健康发展
'cu'jin'he'xie 促进和谐
'cu'jin'jing'ji'she'hui'you'hao'you'kuai'fa'zhan 促进经济社会又好又快发展
'cu'jin'jiu'ye 促进就业
'cu'jin'jiu'ye'zai'jiu'ye 促进就业再就业
'cu'jin'le 促进了
'cu'jin'yi'fa'xing'zheng 促进依法行政
'cu'shi 促使
'cuo'shi 措施
'da'bu'fen 大部分
'da'bu'zhi 大部制
'da'dao 达到
'da'dao'kuo'fu 大刀阔斧
'da'fan'wei 大范围
'da'fu 大幅
'da'huan'jing'xia 大环境下
'da'ji'chuan'xiao 打击传销
'da'ji'chuan'xiao'gong'zuo 打击传销工作
'da'ji'xiao'guo 打击效果
'da'jia 大家
'da'jian 搭建
'da'ju 大局
'da'ju'yi'shi 大局意识
'da'juan 答卷
'da'kai 打开
'da'kun'gong'guan 打捆攻关
'da'li 大力
'da'lian'shi'gong'shang'xing'zheng'guan'li'ju 大连市工商行政管理局
'da'lian'shi'ju 大连市局
'da'liang 大量
'da'po 打破
'da'po'liao 打破了
'da'shi'chang 大市场
'da'tai 搭台
'da'ti 答题
'da'ting 大厅
'da'tuan'jie 大团结
'da'xie'zuo 大协作
'da'yin 打印
'da'yu 大于
'da'zao 打造
'da'zhe 打着
'dai'ban 代办
'dai'chu'li 待处理
'dai'lai 带来
'dai'lai'le 带来了
'dai'li 代理
'dai'li'ren 代理人
'dai'zou 带走
'dan'dong'shi'gong'shang'xing'zheng'guan'li'ju 丹东市工商行政管理局
'dan'dong'shi'ju 丹东市局
'dan'wei 单位
'dan'xiang 单项
'dan'ye 单页
'dang'an 档案
'dang'an'ku 档案库
'dang'di 当地
'dang'qian 当前
'dang'shi 当时
'dang'tian 当天
'dang'wei 党委
'dang'zu 党组
'dang'zu'cheng'yuan 党组成员
'dang'zu'shu'ji 党组书记
'dao'da 到达
'dao'hang'xi'tong 导航系统
'dao'lu 道路
'dao'lu'shang 道路上
'dao'wei 到位
'de'dao 得到
'de'dao'le 得到了
'de'yi 得以
'deng'di 等地
'deng'fang'mian 等方面
'deng'guan'fen'li 登管分离
'deng'ji 登记
'deng'ji 等级
'deng'ji'fei 登记费
'deng'ji'guan'li 登记管理
'deng'ji'ji'guan 登记机关
'deng'ji'jian'guan'mo'shi 登记监管模式
'deng'ji'jian'guan'shui'ping 登记监管水平
'deng'ji'ping'ding 等级评定
'deng'ji'shi'quan 登记事权
'deng'ji'zheng 登记证
'deng'ji'zhu'ce 登记注册
'di'ba 第八
'di'er 第二
'di'er'bu'fen 第二部分
'di'er'zhong 第二种
'di'fang 地方
'di'fang'jing'ji 地方经济
'di'fang'xing'fa'gui 地方性法规
'di'fang'zheng'fu 地方政府
'di'jiao 递交
'di'jiu 第九
'di'li 地理
'di'li'wei'zhi 地理位置
'di'lian 低廉
'di'liu 第六
'di'qi 第七
'di'qu 地区
'di'san 第三
'di'shi 地市
'di'shi 第十
'di'si 第四
'di'tu 地图
'di'wei 地位
'di'wu 第五
'di'yi 第一
'di'yi'bu'fen 第一部分
'di'yi'wei 第一位
'di'yi'yao'yi 第一要义
'di'yi'ze'ren'ren 第一责任人
'di'yi'zhong 第一种
'di'yu 地域
'di'zhen 地震
'dian'bao 电报
'dian'ding 奠定
'dian'ding'le 奠定了
'dian'hua 电话
'dian'ji 奠基
'dian'lu 电路
'dian'nao 电脑
'dian'shi 电视
'dian'xing 典型
'dian'xing'an'jian 典型案件
'dian'xing'an'li 典型案例
'dian'ying 电影
'dian'ying'dian'shi 电影电视
'dian'zi 电子
'dian'zi'dang'an 电子档案
'dian'zi'di'tu 电子地图
'dian'zi'jian'cha 电子监察
'dian'zi'jian'guan 电子监管
'dian'zi'shu'ju'jiao'huan 电子数据交换
'dian'zi'tai'zhang 电子台账
'dian'zi'zheng'wu 电子政务
'diao'cha'qu'zheng 调查取证
'diao'dong 调动
'diao'du 调度
'diao'xiao 吊销
'diao'xiao'ying'ye'zhi'zhao 吊销营业执照
'diao'yan 调研
'ding'an 定案
'ding'wei 定位
'ding'wei'zai 定位在
'dong'jian'shi 董监事
'dong'li 动力
'dong'shi 董事
'dong'shi'jian'shi'jing'li 董事监事经理
'dong'tai 动态
'dong'tai'hua 动态化
'dou'shi 都是
'dou'zai 都在
'du'ban 督办
'du'jue 杜绝
'du'jue'le 杜绝了
'du'li 独立
'du'te 独特
'duan'duan 短短
'duan'lian 锻炼
'duan'lian'le 锻炼了
'dui'she'hui 对社会
'dui'wu 队伍
'dui'wu'jian'she 队伍建设
'dui'wu'su'zhi 队伍素质
'dui'wu'xing'xiang 队伍形象
'dui'xia 对下
'dui'xiang 对象
'dui'yu 对于
'duo'ci 多次
'duo'ge 多个
'duo'gong'neng 多功能
'duo'jian 多见
'duo'jian 多件
'duo'mei'ti 多媒体
'duo'xiang 多项
'e'zhi'wei'fa'guang'gao'fan'tan 遏制违法广告反弹
'er'ci 二次
'er'qie 而且
'er'shi 而是
'er'shi 二是
'fa'bu 发布
'fa'ding'dai'biao'ren 法定代表人
'fa'dong 发动
'fa'gui 法规
'fa'hui 发挥
'fa'lv 法律
'fa'ren 法人
'fa'sheng 发生
'fa'song'dao 发送到
'fa'xian 发现
'fa'zhan 发展
'fa'zhan'guan 发展观
'fa'zhan'qu'shi 发展趋势
'fa'zhao 发照
'fa'zhi 法制
'fa'zhi 法治
'fa'zhi'gong'shang 法制工商
'fa'zhi'hua 法治化
'fan'chou 范畴
'fan'kui 反馈
'fan'long'duan 反垄断
'fan'long'duan'he'fan'bu'zheng'dang'jing'zheng 反垄断和反不正当竞争
'fan'long'duan'zhi'fa 反垄断执法
'fan'shi 凡是
'fan'ti 繁体
'fan'tian 翻天
'fan'tian'fu'di 翻天覆地
'fan'wei 范围
'fan'xing'fen'ji 反兴奋剂
'fan'ying 反应
'fan'ying'ling'min 反应灵敏
'fan'yue 翻阅
'fan'zheng 反正
'fan'zhu'san'hai'xia'xi'an'jing'ji'qu'jiao'zhi'fa'he'zuo 泛珠三海峡西岸经济区角执法合作
'fan'zhu'san'jiao'qu'yu 泛珠三角区域
'fang'an 方案
'fang'bian 方便
'fang'bian'le 方便了
'fang'fa 方法
'fang'mian 方面
'fang'shi 方式
'fang'shi'fang'fa 方式方法
'fang'xiang 方向
'fang'xin'xiao'fei 放心消费
'fang'zhen'zheng'ce 方针政策
'fen'bie 分别
'fen'bo 分拨
'fen'bu 分布
'fen'bu'shi'shi 分步实施
'fen'ceng 分层
'fen'ceng'fen'lei'jian'guan 分层分类监管
'fen'fa'jin'qu 奋发进取
'fen'fa'you'wei'gong'zuo 奋发有为工作
'fen'gong'si 分公司
'fen'guan 分管
'fen'jie 分解
'fen'ju 分局
'fen'lei 分类
'fen'xi 分析
'feng'fu 丰富
'feng'yu 风雨
'fu'ben 副本
'fu'gai 覆盖
'fu'he 符合
'fu'she 辐射
'fu'shun 抚顺
'fu'shun'shi'gong'shang'xing'zheng'guan'li'ju 抚顺市工商行政管理局
'fu'shun'shi'ju 抚顺市局
'fu'wu 服务
'fu'wu'fa'zhan'neng'li 服务发展能力
'fu'wu'he'xie'she'hui'jian'she 服务和谐社会建设
'fu'wu'jing'ji'she'hui'fa'zhan 服务经济社会发展
'fu'wu'she'hui 服务社会
'fu'wu'ti'xi 服务体系
'fu'wu'xing 服务型
'fu'wu'xing'ji'guan 服务型机关
'fu'wu'xing'zheng'fu 服务型政府
'fu'wu'zhi'liang 服务质量
'fu'xin'shi'gong'shang'xing'zheng'guan'li'ju 阜新市工商行政管理局
'fu'xin'shi'ju 阜新市局
'fu'yi 辅以
'fu'yi 复议
'fu'yin 复印
'fu'yin'jian 复印件
'fu'ze 负责
'fu'ze'ren 负责人
'fu'zhu 辅助
'gai'bian 改变
'gai'dong 改动
'gai'ge 改革
'gai'ge'kai'fang 改革开放
'gai'jin 改进
'gai'jin'guan'li 改进管理
'gai'jin'jian'du'guan'li 改进监督管理
'gai'shan'le 改善了
'gai'shan'min'sheng 改善民生
'gai'xi'tong 该系统
'gai'zao 改造
'gan'bu 干部
'gan'bu'dui'wu 干部队伍
'gan'bu'kao'he 干部考核
'gan'dao 赶到
'gan'dao 感到
'gan'huo 干活
'gang'xing 刚性
'gang'yao 刚要
'gao'biao'zhun 高标准
'gao'duan 高端
'gao'hao 搞好
'gao'ke'ji 高科技
'gao'qi'dian 高起点
'gao'shui'ping 高水平
'gao'su'zhi 高素质
'gao'xiao 高效
'gao'xiao 高校
'gao'xiao'bi'ye'sheng 高校毕业生
'gao'xiao'bian'jie'fu'wu 高效便捷服务
'gao'xiao'kuai'jie 高效快捷
'ge'di 各地
'ge'ge 各个
'ge'ji 各级
'ge'lei 各类
'ge'lei'shi'chang'zhu'ti 各类市场主体
'ge'men 哥们
'ge'ming 革命
'ge'ren'du'zi 个人独资
'ge'ren'du'zi'qi'ye 个人独资企业
'ge'shi 各市
'ge'shi'ju 各市局
'ge'ti 个体
'ge'ti'gong'shang'hu 个体工商户
'ge'ti'lao'dong'zhe'xie'hui 个体劳动者协会
'ge'xian 各县
'ge'xiang 各项
'ge'xiang'zhi'du 各项制度
'ge'xie 个协
'ge'yan 格言
'gei'yu 给予
'gen'ben 根本
'gen'ju 根据
'geng'gai 更改
'geng'gao 更高
'geng'hao'de 更好地
'geng'jia 更加
'geng'wei 更为
'geng'xin 更新
'geng'you'li 更有力
'gong'ben'fei 工本费
'gong'cheng 工程
'gong'fu 功夫
'gong'gao 公告
'gong'gong 公共
'gong'gong'an'quan 公共安全
'gong'gong'fu'wu'shui'ping 公共服务水平
'gong'hui 工会
'gong'ju 工具
'gong'kai 公开
'gong'neng 功能
'gong'ping 公平
'gong'shang 工商
'gong'shang'bu'men 工商部门
'gong'shang'di'wei'zuo'yong 工商地位作用
'gong'shang'dui'wu 工商队伍
'gong'shang'fen'ju 工商分局
'gong'shang'gong'zuo 工商工作
'gong'shang'hu 工商户
'gong'shang'ji'guan 工商机关
'gong'shang'ju 工商局
'gong'shang'ren 工商人
'gong'shang'shi'ye 工商事业
'gong'shang'suo 工商所
'gong'shang'xi'tong 工商系统
'gong'shang'xing'xiang 工商形象
'gong'shang'xing'zheng 工商行政
'gong'shang'xing'zheng'guan'li'bu'men 工商行政管理部门
'gong'shang'xing'zheng'guan'li'ju 工商行政管理局
'gong'shang'ye'wu 工商业务
'gong'shang'zhi'neng 工商职能
'gong'shi 共识
'gong'si 公司
'gong'tong 共同
'gong'tong'fa'zhan 共同发展
'gong'wen 公文
'gong'xiang 共享
'gong'xiang'lian'dong 共享联动
'gong'xin'li 公信力
'gong'ye 工业
'gong'yi'guang'gao 公益广告
'gong'zhang 公章
'gong'zheng 公正
'gong'zhong 公众
'gong'zuo 工作
'gong'zuo'gui'fan 工作规范
'gong'zuo'ji'zhi 工作机制
'gong'zuo'li'nian 工作理念
'gong'zuo'ren'wu 工作任务
'gong'zuo'ren'yuan 工作人员
'gong'zuo'ri 工作日
'gong'zuo'xiao'lv 工作效率
'gong'zuo'zhong 工作中
'gou'fang 购房
'gou'jian 构件
'gou'jian 构建
'gou'jian'chang'xiao'guan'li'ji'zhi 构建长效管理机制
'gou'jian'he'xie'she'hui 构建和谐社会
'gou'zao 构造
'gou'zao'le 构造了
'gu'dao 孤岛
'gu'dong 股东
'gu'fen'he'zuo 股份合作
'gu'fen'he'zuo'zhi 股份合作制
'gu'fen'he'zuo'zhi'qi'ye'fa'ren 股份合作制企业法人
'gu'fen'you'xian'gong'si 股份有限公司
'gu'gan 骨干
'gu'gan'fen'zi 骨干分子
'gu'quan 股权
'gu'quan'chu'zhi 股权出质
'gu'quan'chu'zi 股权出资
'gua'shuai 挂帅
'guai'bu'de 怪不得
'guan'che 贯彻
'guan'che'luo'shi 贯彻落实
'guan'che'luo'shi'ke'xue'fa'zhan'guan 贯彻落实科学发展观
'guan'jian'shi 关键是
'guan'li 管理
'guan'lian 关联
'guan'nian 观念
'guan'tong 贯通
'guan'xi 关系
'guan'yu 关于
'guan'zhu'he'gai'shan'min'sheng 关注和改善民生
'guan'zhu'min'sheng 关注民生
'guang'da 广大
'guang'dong 广东
'guang'fa'wang'zhan 广发网站
'guang'fan 广泛
'guang'fan'yun'yong 广泛运用
'guang'gao 广告
'guang'gao'fa'bu'qian'zi'xun'zhi'du 广告发布前咨询制度
'guang'gao'jian'ce 广告监测
'guang'gao'jian'guan 广告监管
'guang'gao'jian'guan'chang'xiao'ji'zhi 广告监管长效机制
'guang'gao'jian'guan'lian'xi'hui'yi'zhi'du 广告监管联席会议制度
'guang'gao'jian'kong'ping'tai 广告监控平台
'guang'gao'lian'he'jian'guan'gong'zuo'ji'zhi 广告联合监管工作机制
'guang'gao'shen'cha'ti'shi'zhi'du 广告审查提示制度
'guang'gao'shi'chang'jian'guan'ji'zhi 广告市场监管机制
'guang'gao'xie'hui 广告协会
'guang'hui 光辉
'guang'kuo 广阔
'guang'pan 光盘
'guang'xian'jie'ru 光纤接入
'gui'bi'le 规避了
'gui'ding 规定
'gui'fan 规范
'gui'fan'deng'ji'fu'wu'zhi'du 规范登记服务制度
'gui'fan'deng'ji'guan'li'cheng'xu 规范登记管理程序
'gui'fan'deng'ji'zhu'ce'xing'wei 规范登记注册行为
'gui'fan'gao'xiao 规范高效
'gui'fan'hua 规范化
'gui'fan'hua'jian'she 规范化建设
'gui'fan'le 规范了
'gui'fan'xing 规范性
'gui'fan'xing'wen'jian 规范性文件
'gui'fan'you'xu 规范有序
'gui'fan'zhi'fa 规范执法
'gui'ji 归集
'gui'ze 规则
'guo'cheng 过程
'guo'cheng'zhong 过程中
'guo'duan'de 果断地
'guo'ji'guo'nei'xing'shi 国际国内形势
'guo'ji'zhi'liang'ti'xi 国际质量体系
'guo'jia 国家
'guo'jia'gong'shang'xing'zheng'guan'li'zong'ju 国家工商行政管理总局
'guo'jia'ju 国家局
'guo'jia'shang'biao'ju 国家商标局
'guo'jia'zong'ju 国家总局
'guo'qi 过期
'guo'qu 过去
'guo'wai'dian'zi'yin'hang 国外电子银行
'guo'wu'yuan 国务院
'guo'ying 过硬
'guo'you'du'zi 国有独资
'guo'you'du'zi'gong'si 国有独资公司
'guo'you'du'zi'qi'ye 国有独资企业
'guo'you'qi'ye 国有企业
'hai'jiang 还将
'hai'ke'yi 还可以
'hai'shi 还是
'hai'xia'xi'an'jing'ji'qu 海峡西岸经济区
'hai'yao 还要
'hai'zai 还在
'han'gai 涵盖
'han'gai'le 涵盖了
'han'zi 汉子
'hang'shi 夯实
'hang'ye 行业
'hang'ye'feng'xian 行业风险
'hao'ma 号码
'hao'yi'si 好意思
'hao'yi'zhen 好一阵
'he'ding 核定
'he'fa 核发
'he'fa'quan'yi 合法权益
'he'ji 合计
'he'li 合理
'he'tong 合同
'he'tong'bang'nong 合同帮农
'he'tong'qi'zha 合同欺诈
'he'tong'shi'fan'wen'ben 合同示范文本
'he'tong'zhang 合同章
'he'xie'she'hui 和谐社会
'he'xie'you'xu 和谐有序
'he'xin'ye'wu 核心业务
'he'zhun 核准
'he'zi'qi'ye 合资企业
'hei'pai 黑牌
'hen'hao 很好
'hong'dun 红盾
'hong'dun'hu'nong 红盾护农
'hong'dun'jing'shen 红盾精神
'hong'tai'jia'ge 哄抬价格
'hou'lai 后来
'hu'dong 互动
'hu'dong'xing 互动型
'hu'jiao 呼叫
'hu'lian 互联
'hu'lian'wang 互联网
'hu'lu'dao 葫芦岛
'hu'lu'dao'shi'gong'shang'xing'zheng'guan'li'ju 葫芦岛市工商行政管理局
'hu'lu'dao'shi'ju 葫芦岛市局
'hu'tong 互通
'hua'jie'le 化解了
'huan'deng'pian 幻灯片
'huan'fa 换发
'huan'jie 环节
'huan'jing 环境
'huan'jing'nian 环境年
'huan'ling 换领
'huan'man 缓慢
'huang'zi 幌子
'hui'bao 汇报
'hui'fu'jian'zhi 恢复建制
'hui'lai 回来
'hui'lai'le 回来了
'hui'tou 回头
'huo'de 获得
'huo'dong 活动
'huo'xu 或许
'ji'ben 基本
'ji'ceng 基层
'ji'ceng'gong'shang'zhi'fa'ren'yuan 基层工商执法人员
'ji'ceng'jian'she 基层建设
'ji'ceng'jian'she'fen'ji'zhi'biao'kao'ping 基层建设分级指标考评
'ji'ceng'zhi'fa'ren'cai 基层执法人才
'ji'cheng'hua 集成化
'ji'chu 基础
'ji'chu'jian'she 基础建设
'ji'chu'shang 基础上
'ji'chu'she'shi 基础设施
'ji'chu'xin'xi 基础信息
'ji'chu'xing 基础性
'ji'da 极大
'ji'da'de 极大地
'ji'di 基地
'ji'fang 机房
'ji'gou 机构
'ji'gou'ban 机构版
'ji'guan 机关
'ji'guan'guan'li 机关管理
'ji'guan'gui'fan'hua'jian'she 机关规范化建设
'ji'guan'jian'she 机关建设
'ji'guan'zuo'feng 机关作风
'ji'guan'zuo'feng'jian'she 机关作风建设
'ji'he 集合
'ji'hua 计划
'ji'ji 积极
'ji'ji'gong'xian 积极贡献
'ji'jian'shu'ji 纪检书记
'ji'jian'zu'chang 纪检组长
'ji'jiang 即将
'ji'li 激励
'ji'li'ji'zhi 激励机制
'ji'lu 记录
'ji'qi 及其
'ji'shi 及时
'ji'shi'fa'xian'he 及时发现和
'ji'shu 技术
'ji'shu'guo'ying 技术过硬
'ji'shu'luo'hou 技术落后
'ji'shu'zhi'cheng 技术支撑
'ji'suan'ji 计算机
'ji'suan'ji'guan'li 计算机管理
'ji'suan'ji'guan'li'yuan 计算机管理员
'ji'ti 集体
'ji'ti'suo'you'zhi 集体所有制
'ji'ti'suo'you'zhi'qi'ye 集体所有制企业
'ji'ti'suo'you'zhi'qi'ye'fa'ren 集体所有制企业法人
'ji'tian 几天
'ji'tuan 集团
'ji'tuan'cheng'yuan 集团成员
'ji'tuan'deng'ji'zheng 集团登记证
'ji'wei 极为
'ji'xiao 绩效
'ji'xiao'kao'he 绩效考核
'ji'xu 继续
'ji'yu 基于
'ji'yu 机遇
'ji'zhi 机制
'ji'zhi'shang 机制上
'ji'zhong 集中
'ji'zhong'shou'li 集中受理
'ji'zhong'shou'li'zhong'xin 集中受理中心
'jia'da 加大
'jia'da'le 加大了
'jia'gai 加盖
'jia'kuai 加快
'jia'mao'wei'lie 假冒伪劣
'jia'neng 佳能
'jia'qiang 加强
'jia'qiang'le 加强了
'jia'ru 假如
'jia'shang 加上
'jia'zhang 假账
'jia'zhi 价值
'jian'ce 检测
'jian'ce 监测
'jian'ce'she'bei 监测设备
'jian'cha 检查
'jian'cha'yan'shou 检查验收
'jian'che 见车
'jian'cheng 建成
'jian'cheng'le 建成了
'jian'chi 坚持
'jian'du 监督
'jian'du'guan'li 监督管理
'jian'du'jian'cha 监督检查
'jian'du'you'xiao 监督有效
'jian'gu 兼顾
'jian'guan 监管
'jian'guan'cha'chu'li'du 监管查处力度
'jian'guan'cuo'shi 监管措施
'jian'guan'fang'shi 监管方式
'jian'guan'fu'wu 监管服务
'jian'guan'fu'wu'dui'xiang 监管服务对象
'jian'guan'li'du 监管力度
'jian'guan'ling'yu 监管领域
'jian'guan'mo'shi 监管模式
'jian'guan'shou'duan 监管手段
'jian'guan'xiao'zu 监管小组
'jian'guan'zhi'du 监管制度
'jian'guan'zhi'fa 监管执法
'jian'guan'zhi'fa'shui'ping 监管执法水平
'jian'guan'zhong 监管中
'jian'hua 简化
'jian'jie 简介
'jian'kang 健康
'jian'kang'fa'zhan 健康发展
'jian'kong 监控
'jian'le 见了
'jian'li 建立
'jian'li 简历
'jian'li'jian'quan 建立健全
'jian'li'jian'quan'le 建立健全了
'jian'li'le 建立了
'jian'quan 健全
'jian'quan'le 健全了
'jian'shao 减少
'jian'she 建设
'jian'she'bu'fa 建设步伐
'jian'she'mian'xiang 建设面向
'jian'she'zhong 建设中
'jian'shi 坚实
'jian'shi 监事
'jian'shi'de 坚实的
'jian'yan 检验
'jian'zhang'li'zhi 建章立制
'jiang'di 降低
'jiao'cai 教材
'jiao'cheng 教程
'jiao'da 较大
'jiao'hao 较好
'jiao'huan 交换
'jiao'liu 交流
'jiao'xue 教学
'jiao'yi 交易
'jiao'yu'pei'xun 教育培训
'jie'da 解答
'jie'ding 界定
'jie'duan 阶段
'jie'duan'xing'cheng'guo 阶段性成果
'jie'duan'xing'cheng'xiao 阶段性成效
'jie'fang 解放
'jie'gou 结构
'jie'he 结合
'jie'jue 解决
'jie'lu 揭露
'jie'nan 解难
'jie'neng'jiang'hao 节能降耗
'jie'ting 接听
'jie'yue 节约
'jie'yue'wa'qian 节约挖潜
'jie'zhi'dao 截止到
'jie'zhu 借助
'jin'bu 进步
'jin'er 进而
'jin'huo'tai'zhang 进货台账
'jin'ji 紧急
'jin'ji'nian'lai 近几年来
'jin'jin 紧紧
'jin'mi 紧密
'jin'nian'lai 近年来
'jin'ru 进入
'jin'tian 今天
'jin'xian 仅限
'jin'xin'gong'cheng 金信工程
'jin'xing 进行
'jin'xing'de 进行的
'jin'xing'le 进行了
'jin'yi'bu 进一步
'jin'zhan 进展
'jin'zhou 锦州
'jin'zhou'shi'gong'shang'xing'zheng'guan'li'ju 锦州市工商行政管理局
'jin'zhou'shi'ju 锦州市局
'jing'de'zhu'kao'yan 经得住考验
'jing'fei 经费
'jing'ji 经济
'jing'ji 经纪
'jing'ji'fa'zhan 经济发展
'jing'ji'fa'zhan'fang'shi 经济发展方式
'jing'ji'fa'zhan'liang'hao'shi'tou 经济发展良好势头
'jing'ji'hu'kou 经济户口
'jing'ji'huo'nong 经纪活农
'jing'ji'jie'gou'tiao'zheng 经济结构调整
'jing'ji'mao'yi'qia'tan'hui 经济贸易洽谈会
'jing'ji'she'hui 经济社会
