'a'bo'er'nong'chang 阿伯尔农场
'fa'fu'ben 法副本
'fa'shi 法师
'fan'hui 返回
'fang'yu'li 防御力
'fei'xu'you'ling 废墟幽灵
'fen'nu'lian'he 愤怒联合
'fen'sai'er'lun'yan'jiu'suo 芬赛尔伦研究所
'feng'kuang'hui'xiong 疯狂灰熊
'feng'kuang'ye'zhu 疯狂野猪
'feng'zhi'cong'lin 风之丛林
'feng'zhi'cong'lin'chai'lang 风之丛林豺狼
'feng'zhi'cong'lin'da'ye'zhu 风之丛林大野猪
'feng'zhi'cong'lin'da'zong'xiong 风之丛林大棕熊
'feng'zhi'cong'lin'shan'yang 风之丛林山羊
'feng'zhi'cong'lin'shou'hu'shu'jing'ling 风之丛林守护树精灵
'feng'zhi'cong'lin'shu'jing'ling 风之丛林树精灵
'feng'zhi'cong'lin'xiao'er'chai'lang 风之丛林小耳豺狼
'feng'zhi'cong'lin'ye'zhu 风之丛林野猪
'feng'zhi'cong'lin'you'lang 风之丛林幼狼
'feng'zhi'cong'lin'zong'xiong 风之丛林棕熊
'fu'du'hua'ban'zhi'zhu 腐毒花斑蜘蛛
'fu'du'jiang'shi 腐毒僵尸
'gang'ya'hui'lang 刚牙灰狼
'ge'li'er 格利尔
'gong'ji'li 攻击力
'gong'jian 弓箭
'gu'dai'shen'chong'bai'zhe 古代神崇拜者
'gu'dai'shen'xin'feng'zhe 古代神信奉者
'gu'dai'shen'zu'zhou'mo'nv 古代神诅咒魔女
'gu'wen'ming'shou'bei'bing 古文明守备兵
'guang'zhi'tong'meng 光之同盟
'han'bing'qi'xi'nv'yao 寒冰气息女妖
'han'wu'qi'xi'nv'yao 寒雾气息女妖
'hang'hui 行会
'hei'an'qi'xi'ku'lou'shi'bing 黑暗气息骷髅士兵
'hei'an'qi'xi'lang'ren'shi'bing 黑暗气息狼人士兵
'hei'an'qi'xi'nv'yao 黑暗气息女妖
'hei'an'qi'xi'tuan'lue'duo'wu 黑暗气息团掠夺物
'hei'an'zhi'zhi'nv'yao 黑暗之指女妖
'hei'hu'zi'hai'dao'bao'xiang 黑胡子海盗宝箱
'hei'ren 黑人
'hei'she'ren 黑蛇人
'hong'se'qi'zhi'bu'si'fu'guan 红色旗帜不死副官
'hong'se'qi'zhi'bu'si'shi'bing 红色旗帜不死士兵
'hong'se'qi'zhi'bu'si'yong'shi 红色旗帜不死勇士
'hong'yan'hui'shu 红眼灰鼠
'hong'yao 红药
'hu'li 狐狸
'hu'wei 护卫
'huang'jin'xiang'zi 黄金箱子
'huang'jin'zhu 黄金猪
'hui'bi'lv 回避率
'hui'mie'zhi'yan'hei'bao 毁灭之焰黑豹
'hui'mie'zhi'yan'zhao'ya'lie'ren 毁灭之焰爪牙猎人
'hui'mie'zhi'yan'zhao'ya'shao'bing 毁灭之焰爪牙哨兵
'hui'mie'zhi'yan'zhao'ya'yong'shi 毁灭之焰爪牙勇士
'hui'mie'zhi'yan'zhao'ya'zhan'jiang 毁灭之焰爪牙战将
'hui'mie'zhi'yan'zhao'ya'zhan'shi 毁灭之焰爪牙战士
'hun'ya'zhao'ze'da'qing'wa 昏鸦沼泽大青蛙
'hun'ya'zhao'ze'ju'xing'du'qing'wa 昏鸦沼泽巨型毒青蛙
'hun'ya'zhao'ze'qing'wa 昏鸦沼泽青蛙
'hun'ya'zhao'ze'xiao'qing'wa 昏鸦沼泽小青蛙
'huo'li 活力
'ji'neng'dian 技能点
'ji'si 祭司
'ji'tan'shou'bei'bing 祭坛守备兵
'jia'dian 加点
'jia'hong 加红
'jia'lan 加蓝
'jian'ren'yu'ye'ji 坚刃羽野鸡
'jian'wei'yu'ren'mo'fa'shi 剑尾鱼人魔法师
'jian'wei'yu'ren'shao'bing 剑尾鱼人哨兵
'jian'wei'yu'ren'zhan'dou'bing 剑尾鱼人战斗兵
'jian'wei'yu'ren'zhan'jiang 剑尾鱼人战将
'jian'ya'ye'zhu 尖牙野猪
'jian'zui'ye'ji 尖嘴野鸡
'jing'shen 精神
'ju'du'you'chong 巨毒幼虫
'ju'xing'rou'shi'chan'chu 巨型肉食蟾蜍
'jue'dou 决斗
'ka'er'luo'si'ying'di 卡尔罗斯营地
'kai'shi'lang'ren'dui'zhang 开石狼人队长
'kai'shi'lang'ren'jing'bei'bing 开石狼人警备兵
'kai'shi'lang'ren'lao 开石狼人劳
'kai'shi'lang'ren'zhan'dou'bing 开石狼人战斗兵
'ke'lao'lun'chao'xue 克劳伦巢穴
'ke'lao'lun'cong'lin 克劳伦丛林
'ke'lao'lun'ge'bu'lin 克劳伦葛布林
'ke'lu'pu'he 克鲁普河
'ke'luo'si 科洛斯
'ke'luo'te'ai'ren'zhan'shi 克洛特矮人战士
'ke'luo'te'jing'bei'bing 克洛特警备兵
'ke'luo'te'kuang'gong 克洛特矿工
'ke'luo'te'kuang'shan 克洛特矿山
'ke'luo'te'lao'gong 克洛特劳工
'ke'luo'te'shu'lian'gong 克洛特熟练工
'ke'wei'er'cong'lin 科威尔丛林
'ke'wei'er'cong'lin'chan'chu 科威尔丛林蟾蜍
'ke'wei'er'cong'lin'da'jiao'shan'yang 科威尔丛林大角山羊
'ke'wei'er'cong'lin'da'you'ling'lang 科威尔丛林大幽灵狼
'ke'wei'er'cong'lin'jiang'shi 科威尔丛林僵尸
'ke'wei'er'cong'lin'you'ling'lang 科威尔丛林幽灵狼
'ke'wei'er'cong'lin'zong'xiong 科威尔丛林棕熊
'ke'wei'er'fei'xu 科威尔废墟
'kun'nan 困难
'lai'te'sheng'dan'ju'mo 赖特圣诞巨魔
'lan'yao 蓝药
'lei'ao'si'shan'gu 雷奥斯山谷
'lei'na'er 雷纳尔
'li'jiao'shan'yang 利角山羊
'li'liang 力量
'li'ren'zui'ye'ji 利刃嘴野鸡
'li'shui'bian'jing 丽水边境
'li'ya'hui'lang 利牙灰狼
'li'ya'qun'ju'chai'lang 利牙群居豺狼
'li'ya'ye'zhu 利牙野猪
'li'zhua'xiong 利爪熊
'lie'ren 猎人
'lie'ren'ying'di 猎人营地
'lie'shi'chan'chu 猎食蟾蜍
'lie'shi'you'chong 猎食幼虫
'lie'shi'zhi'zhu 猎食蜘蛛
'ling'hun'he'xin 灵魂核心
'liu'nong'jiang'shi 流脓僵尸
'lu'pi'si 卢皮斯
'mai'fu'ben 麦副本
'min'jie 敏捷
'ming'zhong'lv 命中率
'mo'fa 魔法
'mo'fa'pi'ge 魔法皮革
'mo'fa'shi 魔法师
'mo'fa'shi'de'xiang'zi 魔法师的箱子
'mo'fa'xiang'zi 魔法箱子
'mo'gui'he'xin 魔鬼核心
'mo'li 魔力
'mu'shi 牧师
'nong'chang'di'bo'ling 农场地搏灵
'nv'shen 女神
'nv'shen'zhu'fu 女神祝福
'pei'dian 配点
'pi'nuo'te 匹诺特
'pin'ji'di'da'ye'zhu 贫瘠地大野猪
'pin'ji'di'xiao'ye'zhu 贫瘠地小野猪
'pu'le'si'cong'lin 普勒斯丛林
'pu'luo'lin'bian'jing 普罗林边境
'pu'luo'lin'gu'wen'ming'shi'zhu 普罗琳古文明石柱
'pu'luo'lin'ji'tan'diao'xiang 普罗琳祭坛雕像
'pu'luo'lin'yi'ji'diao'xiang 普罗琳遗迹雕像
'pu'luo'si'ke'cheng 普罗斯克城
'pu'tong 普通
'qi'shi 骑士
'qian'xing'zhe 潜行者
'qiang'dao'zhu 强盗猪
'qun'ju'chai'lang'tou'mu 群居豺狼头目
'qun'ju'chai'lang'xue'ya 群居豺狼血牙
'ren'lei 人类
'sai'er'ma'yi'mu 赛尔玛依姆
'sha'chen'ye'niu 沙尘野牛
'shan'di'zong'xiong 山地棕熊
'shan'ji'da'zong'xiong 山脊大棕熊
'shan'ji'hui'lang 山脊灰狼
'shan'yang'tou'mu 山羊头目
'shan'ying'hui'lang 山影灰狼
'shan'zhu 山猪
'she'ren'e'mo'chong'bai'zhe 蛇人恶魔崇拜者
'she'ren'e'mo'shou'hu'zhe 蛇人恶魔守护者
'shen'mi'de'xiang'zi 神秘的箱子
'shen'qi 神泣
'sheng'qi'shi 圣骑士
'shi'bing'you'chong 士兵幼虫
'shi'ren'lang 食人狼
'shi'ren'ye'ji 食人野鸡
'shi'zhu'ge'bu'lin'wu'shi 石筑葛布林巫师
'shi'zhu'ge'bu'lin'zhan'jiang 石筑葛布林战将
'shi'zhu'ge'bu'lin'zhan'shi 石筑葛布林战士
'shi'zhu'ge'bu'lin'zhui'zong'zhe 石筑葛布林追踪者
'shi'zhu'ge'bu'lin'zu'zhang 石筑葛布林族长
'shu'xing'dian 属性点
'shu'ying'hou 树影猴
'si'wang 死亡
'sui'shi'ge'bu'lin'dao'fu'shou 碎石葛布林刀斧手
'sui'shi'ge'bu'lin'shao'bing 碎石葛布林哨兵
'sui'shi'ge'bu'lin'zhou'shu'shi 碎石葛布林咒术师
'sui'shi'ge'bu'lin'zhui'zong'zhe 碎石葛布林追踪者
'te'la'kan'de'yao'cao'xiang'zi 特拉莰的药草箱子
'ti'li 体力
'ti'zhi 体制
'tou'zhi'shou'yu'ren'jing'ling'shu'shi 投掷手鱼人精灵术士
'tou'zhi'shou'yu'ren'shu'shi 投掷手鱼人术士
'tou'zhi'shou'yu'ren'yong'shi 投掷手鱼人勇士
'tou'zhi'shou'yu'ren'zhan'shi 投掷手鱼人战士
'wan'jiao'ye'niu 弯角野牛
'wei'ni'ting 威尼庭
'wu'li 物理
'wu'ran'zhi'di'jiang'shi 污染之地僵尸
'wu'shi 巫师
'xi'er'wa 西尔瓦
'xi'mao'hua'ban'zhi'zhu 细毛花斑蜘蛛
'xi'xie'ye'ji 吸血野鸡
'xiao'dao'zei'hou 小盗贼猴
'xiao'er'xiong 小耳熊
'xie'e'de'gu'dai'shi'ti 邪恶的古代尸体
'xing'yun 幸运
'xue'lei'di'bo'ling 血泪地搏灵
'ye'cao'cong'zhi'zhu 野草丛蜘蛛
'ye'man'ren 野蛮人
'ye'sheng'shan'yang 野生山羊
'ye'sheng'zong'xiong 野生棕熊
'ye'zhu 野猪
'yi'ji'shou'bei'bing 遗迹守备兵
'ying'bi'ye'zhu 硬鼻野猪
'ying'mao'ye'zhu 硬毛野猪
'ying'pi'ye'zhu 硬皮野猪
'yong'bing'a'la'ke'ni 佣兵阿拉克尼
'you'chong 幼虫
'you'dang'da'zong'xiong 游荡大棕熊
'you'dang'shi'ti 游荡尸体
'you'dang'zhao'ya'zhan'jiang 游荡爪牙战将
'yu'cun 渔村
'za'mao'chai'lang 杂毛豺狼
'za'mao'hei'bao 杂毛黑豹
'za'mao'shan'yang 杂毛山羊
'za'mao'wei'ba'hu'li 杂毛尾巴狐狸
'zha'er'duo 渣尔多
'zhan'chang 战场
'zhan'ren'bu'zu'xiang'zi 战刃部族箱子
'zhan'shi 战士
'zhang'lao'de'xiang'zi 长老的箱子
'zhang'ya'hei'bao 长牙黑豹
'zhi'li 智力
'zhui'zong'zhe'lang'ren 追踪者狼人
'zu'dui 组队
