'an'zhi'fei'ren'zhi'zen'su 安知非人之谮诉
'ni'yuan'er'yong'an'jian 匿怨而用暗箭
'qi'ji'shen'jia 岂计身家
'qi'ju'zhi'er'jie 器具质而洁
'qi'qie'qie'ji'yan'zhuang 妻妾切忌艳妆
'qi'shi'zhang'fu 岂是丈夫
'qing'ting'fa'yan 轻听发言
'qu'xi'qiu'shu'nv 娶媳求淑女
'qu'zhi'lao'cheng 屈志老成
'ren'you'huo'huan 人有祸患
'ren'you'xi'qing 人有喜庆
'sa'sao'ting'chu 洒扫庭除
'san'gu'liu'po 三姑六婆
'shan'yu'ren'jian 善欲人见
'shi'hui'wu'nian 施惠无念
'shi'yin'dao'zhi'mei 实淫盗之媒
'shou'en'mo'wang 受恩莫忘
'shou'fen'an'ming 守分安命
'shu'hu'jin'yan 庶乎近焉
'shun'shi'ting'tian 顺时听天
'song'ze'zhong'xiong 讼则终凶
'sui'yong'sun'bu'ji 虽饔飧不济
'tian'di'zi'xiang'bao 天地自相保
'ting'fu'yan 听妇言
'tong'pu'wu'yong'jun'mei 童仆勿用俊美
'tui'duo'zi'gan 颓惰自甘
'wa'fou'sheng'jin'yu 瓦缶胜金玉
'wei'guan'xin'cun'jun'guo 为官心存君国
'wei'ren'ruo'ci 为人若此
'wu'ji'hou'lian 勿计厚奁
'wu'lin'ke'er'jue'jing 毋临渴而掘井
'wu'mou'liang'tian 勿谋良田
'wu'shi'shi'li'er'ling'bi'gu'gua 勿恃势力而凌逼孤寡
'wu'suo'zhong'pin 毋索重聘
'wu'tan'kou'fu'er'zi'sha'sheng'qin 毋贪口腹而恣杀生禽
'wu'tan'yi'wai'zhi'cai 勿贪意外之财
'wu'yin'guo'liang'zhi'jiu 勿饮过量之酒
'wu'ying'hua'wu 勿营华屋
'wu'zhan'pian'yi 毋占便宜
'xia'ni'e'shao 狎昵恶少
'xin'hao'ming'bu'hao 心好命不好
'xin'hao'ming'you'hao 心好命又好
'xin'ke'wan'hu'ming 心可挽乎命
'xin'ming'bu'xiu'xin 信命不修心
'xin'ming'ju'bu'hao 心命俱不好
'xiong'di'shu'zhi 兄弟叔侄
'xiu'xin'yi'ting'ming 修心一听命
'xu'fen'duo'run'gua 须分多润寡
'xu'jia'wen'xu 须加温恤
'xu'ping'xin'an'xiang 须平心暗想
'yan'duo'bi'shi 言多必失
'yan'ke'qie'wu'liu'lian 宴客切勿流连
'yan'zhi'fei'wo'zhi'bu'shi 焉知非我之不是
'yao'nei'wai'zheng'jie 要内外整洁
'yi'fa'su'ci'yan 宜法肃辞严
'yi'wei'yu'er'chou'mou 宜未雨而绸缪
'yi'you'yu'huan 亦有余欢
'yi'zhou'yi'fan 一粥一饭
'yin'shi'xiang'zheng 因事相争
'yin'shi'yue'er'jing 饮食约而精
'yin'yang'kong'xu'jiao 阴阳恐虚矫
'yu'jian'tiao'mao'yi 与肩挑贸易
'yu'pin'qiong'er'zuo'jiao'tai'zhe 遇贫穷而作骄态者
'yuan'shu'yu'zhen'xiu 园蔬愈珍馐
'zao'yang'qie'pin'yao 遭殃且贫夭
'zhang'you'nei'wai 长幼内外
'zhong'zi'cai 重资财
'zi'de'zhi'le 自得至乐
'zi'feng'bi'xu'jian'yue 自奉必须俭约
'zi'sun'sui'yu 子孙虽愚
'zu'zong'sui'yuan 祖宗虽远
'zui'ke'chi 最可耻
'zui'yao'cun'ren'dao 最要存仁道
