'bei'ren'ni'sha 被人溺杀
'que'jiang'da'shang'chu'zuo'zhi'ming 却将打伤处作致命
'que'wei'fang'xiang'da'le 却为方相打了
'ran'hou'zi'xi'kan'yao'hai'zhi'ming'chu 然后仔细看要害致命处
'ran'you'le'sha'lei'hu'zi'yi 然有勒杀类乎自缢
'ren'li'nv'shi'yin'bei'chui'ta 人力女使因被捶挞
'reng'xu'gen'jiu 仍须根究
'ru'ci'zhe 如此者
'ru'jin'you'deng'gao'chu'huo'ni 如近有登高处或泥
'ru'nan'zi 如男子
'ru'ren'wu'suo'shang'tong'guo'zhe 如刃物所伤通过者
'ru'shi'shou'lan 如尸首烂
'ru'you'xian'ji'zhong 如有涎及肿
'ruo'duo'you'ren'xiang'dou'ou'le 若多有人相斗殴了
'ruo'wu'ci'lei 若无此类
'ruo'yi'qing'du'qing 若以情度情
'san'hou 散后
'shang'kun'fa 尚困乏
'shang'you'gu'xian 尚有辜限
'she'shang'kong'you'jiao'po'hen 舌上恐有嚼破痕
'shen'ze'wu 深则无
'shi'huo'fu'wo 尸或覆卧
'shi'wu'hen'er'si'ye 是无痕而死也
'shi'wu'hen'ye 是无痕也
'shi'zhi'jia'ge'hei'an'se 十指甲各黑黯色
'shi'zhi'jia'nei'you'sha'ni 十指甲内有沙泥
'shou'bu'bian'ye 手不便也
'sui'er'zhu'fen'ming 虽二主分明
'sui'shen'yi'fu'bing'zai 随身衣服并在
'sui'wen'guan 遂闻官
'sui'wen'zhou 遂闻州
'tou'mian'ge'you'ren'shang'hen 头面各有刃伤痕
'tou'shui 投水
'wan'wu'shi'yi 万无失一
'wei'jian'tou'shang'shang'sun 为见头上伤损
'wei'mian'se'you'qing'an 唯面色有青黯
'wu'shang'sun'chu 无伤损处
'xi'tou'mian'shang'xue 洗头面上血
'xi'you'jia'yi'tong'hang 昔有甲乙同行
'xian'an'ming 县案明
'xian'bei'shang'er'si 先被伤而死
'xian'ceng'yin'jiu'zhi'zui 先曾饮酒至醉
'xian'yan'qi'shi'shou'lie'da'xiao 先验其尸瘦劣大小
'xiao'chu'wei'tong'guo'chu 小处为通过处
'xie'chou'bing'sha'liang'ren 挟仇并杀两人
'xiong'qian'chi'se 胸前赤色
'xu'kan'ding'xin 须看顶心
'xu'kan'nei'wai'chuang'kou 须看内外疮口
'xu'kan'qi'yuan'yi'fu 须看其原衣服
'xu'kan'shen'shang'you'wu'cai'wu 须看身上有无财物
'xu'kan'yin'men 须看阴门
'xu'yong'wen'cu'tang'zhan'yi'fu'huo'mian'xu'zhi'lei 须用温醋汤蘸衣服或绵絮之类
'xu'you'zang'zheng 须有赃证
'yan'de'zhi'shi'luo'shui'yan'si'fen'ming 验得只是落水淹死分明
'yan'guan'dao'di'tou 验官到地头
'yan'yi'fan'jiu 罨一饭久
'yi'guan'ci'yan 以观此验
'yi'lie'er'wei'jia'zhi'suo'zhi'yu'shui'er'zhi'si 乙劣而为甲之所执于水而致死
'yi'ran 亦然
'yi'shi'zai'mao'she'nei 一尸在茅舍内
'yi'shou'wu'zhi 以手捂之
'yi'xiang 宜详
'yi'yan'guan'du'yue 一验官独曰
'yi'you'sui'shen'yi'wu 乙有随身衣物
'yin'zhang'fu'nian'lao 因丈夫年老
'you'nao'hou'ge'you'ren'shang'hen 右脑后各有刃伤痕
'you'nao'hou'ren'hen'ke'yi 右脑后刃痕可疑
'you'wu'sun'dong'chu 有无损动处
'you'yi'xiang'min 有一乡民
'you'you'nian'lao'ren 又有年老人
'yu'du 欲渡
'yu'hen'wu'yi'ji'ke'wei'jian'yan 余痕无疑即可为检验
'yuan'da'shang'sui'zai'yao'hai'chu 缘打伤虽在要害处
'zai'nei'zhe 在内者
'zai'wai'zhe 在外者
'zai'zhu'jia'zi'hai'zi'yi'zhi'lei 在主家自害自缢之类
'ze'qi'shang'xia'wei'you'xue'qin 则脐上下微有血沁
'ze'sui'you'hen'shang 则虽有痕伤
'zheng'ji'dian 正极典
'zhi'ding'zuo'luo'shui'zhi'ming 只定作落水致命
'zhi'jia'ji'bi'kong'nei'ge'you'sha'ni 指甲及鼻孔内各有沙泥
'zhi'qi'jue'er'si'ye 致气绝而死也
'zhi'zhao'zui'ren'fan'yi'bu'jue 致招罪人翻异不绝
'zhi'zheng'dou'shi'you'suo'chu'fan 至争斗时有所触犯
'zhong'liu 中流
'zhong'yue 众曰
'zhu'ta'gu'wei'bie'zeng'yu'huan'er'si'zhe 注他故谓别增余患而死者
'zi'hou'zhi'qi'xia'zhe 自喉至脐下者
'zi'ya'zi'shang 自压自伤
'zi'yi 自缢
'zui'jie 最捷
'zuo'liang'xiang'bing'sha'er'si 作两相并杀而死
'zuo'xiang'xia 左项下
