'ai'wen 艾文
'gui'zu'zhan'shi 鬼族战士
'hai'yang'zhi'xin 海洋之心
'hai'yue'kai'jia 海月铠甲
'he'pan'tu'ji 河畔突击
'he'yuan'mu'chang 河源牧场
'hei'tie 黑铁
'hei'tie'bo'jue 黑铁伯爵
'hei'tie'jian 黑铁剑
'hei'tie'ta'dun 黑铁塔盾
'hei'yao'shi'nv'wang'zhi'xiang 黑曜石女王之像
'hong'wen'chou 虹纹绸
'hu'ji'sheng'de'guo'shi 槲寄生的果实
'hu'ji'sheng'mu 槲寄生木
'hu'ji'sheng'shen'xiang 槲寄生神像
'hu'ji'sheng'ye 槲寄生叶
'hu'ji'sheng'zi 槲寄生籽
'hu'ze'mu 湖泽木
'hu'ze'mu'shen'xiang 湖泽木神像
'hua'nan'mu 华南木
'hua'nan'mu'shen'xiang 华楠木神像
'hua'zhuang 化妆
'hua'zhuang'shi 化妆师
'hui'fu 恢复
'hui'sheng'jing'hua 回生精华
'hui'wen'tie 灰纹铁
'hui'ya'shi 灰牙石
'hun'luan 混乱
'huo'li'tou'zi 活力投资
'huo'yan 火焰
'huo'yan'zhi'hun 火焰之魂
'ji'en'jun'jun'fu 吉恩军军服
'ji'neng'miao'shu 技能描述
'ji'neng'she'cheng 技能射程
'ji'neng'wei'li 技能威力
'ji'qi'tang'lang 机器螳螂
'ji'qi'xie'zi 机器蝎子
'ji'si'shen'he'xie'hui 祭司审核协会
'jia'zheng'zhi'ling 家政指令
'jian'ren 坚韧
'jian'shen 健身
'jian'shen'jiao'lian 健身教练
'jian'ti'jing'hua 健体精华
'jiao'qiao'xiao'hu'shi 娇俏小护士
'jie'du'jing'hua 解毒精华
'jing'dian'bei'ju'ju'ben'ji 经典悲剧剧本集
'jing'hua 净化
'jing'jie'fu 警戒服
'jing'ling'hu'po 精灵湖泊
'ka'er 卡尔
'ka'fei'guan 咖啡馆
'kai'jia 铠甲
'kuang'dong'di'ying 矿洞敌影
'la'ge'wo'ke'yu'lu 拉格沃克语录
'lang'shou'wei 狼守卫
'lang'wang'kai'jia 狼王铠甲
'lang'wang'tou'kui 狼王头盔
'lang'wang'zhan'xue 狼王战靴
'lei'dian 雷电
'lei'zhi'shou'hu'zhe 雷之守护者
'leng'que'shi'jian 冷却时间
'li'ya 莉亚
'li'ya'de'diao'xiang 莉亚的雕像
'li'yi 礼仪
'liao'shang'jing'hua 疗伤精华
'ling'hun'chen'ai 灵魂尘埃
'ling'hun'mo'chen 灵魂魔尘
'ling'hun'mo'shi'sui'pian 灵魂魔石碎片
'ling'hun'mo'shi'yuan'jing 灵魂魔石元晶
'ling'hun'xi'mo'fa 灵魂系魔法
'ling'hun'xi'mo'fa'gao'ji 灵魂系魔法高级
'ling'hun'xi'mo'fa'ru'men 灵魂系魔法入门
'ling'hun'xi'mo'fa'zhong'ji 灵魂系魔法中级
'ling'hun'xi'mo'fa'zhuan'jia'ji 灵魂系魔法专家级
'liu'li'yue'se 琉璃月色
'long'lin'ge 龙鳞革
'long'lin'kai'jia 龙鳞铠甲
'long'lin'shi 龙鳞石
'long'lin'tou'kui 龙鳞头盔
'long'lin'zhan'xue 龙鳞战靴
'long'qi'shi'kai'jia 龙骑士铠甲
'long'ya'shi 龙牙石
'long'ya'shou'zhang 龙牙手杖
'luo'ke 洛克
'mao'niang'you'huo 猫娘诱惑
'mao'zi 帽子
'mi'yin 秘银
'mi'yin'lian'jia 秘银链甲
'mi'yin'long'wei 秘银龙威
'mi'yin'qing'xue 秘银轻靴
'mi'yin'tou'kui 秘银头盔
'mi'yu'hua'yuan 蜜语花园
'ming'xiang 冥想
'mo'fa'dian'shu 魔法点数
'mo'fa'yan'jiu'suo 魔法研究所
'mo'fa'yan'jiu'yuan 魔法研究员
'mo'fa'yuan'li 魔法原理
'mo'nv'zhuang 魔女装
'mo'shi'dian 魔石店
'mo'shi'jia'gong 魔石加工
'mo'shi'jia'gong'shi 魔石加工师
'mo'zu'xiao'chi'dian 魔族小吃店
'mo'zu'xing'gong 魔族行宫
'mu'chang 牧场
'mu'diao 木雕
'mu'dun 木盾
'mu'ke'shi 木刻诗
'na'pa'ge 纳帕革
'nai'niu 奶牛
'nai'niu'zhuang 奶牛装
'nan'feng'zhi'zhang 南风之杖
'nian'ye'guai 黏液怪
'ning'gu'de'yue'guang 凝固的月光
'nong'chang 农场
'nv'hai'de'you'ling 女孩的幽灵
'nv'pu'zhuang 女仆装
'nv'wang'de'hua'shang 女王的华裳
'peng'ke'zhuang 朋克装
'pi'ge 皮革
'pi'xie'hu'li'tao'zhuang 皮鞋护理套装
'qiang'ren'ti'zhi 强韧体质
'qing'xin 清心
'qu'bing'jing'hua 祛病精华
'ran'shao'hu'dun 燃烧护盾
'ren'hua'pi'ge 韧化皮革
'rou'hua'pi'ge 柔化皮革
'ru'he'yu'mo'sheng'ren'shuo'hua 如何与陌生人说话
'san'yue'zhi'yu 三月之羽
'sha'bao 沙暴
'shan'wei'cao'yu'yi 扇尾草浴衣
'shang'gu'mo'shi'shen'xiang 上古魔石神像
'she'ying 蛇影
'shen'xiang 神像
'sheng'dian'qi'shi 圣殿骑士
'sheng'ming'hun'xi'mo'fa 生命魂系魔法
'sheng'ming'mo'chen 生命魔尘
'sheng'ming'mo'shi'sui'pian 生命魔石碎片
'sheng'ming'mo'shi'yuan'jing 生命魔石元晶
'sheng'ming'shu'guo'shi 生命树果实
'sheng'ming'xi'mo'fa 生命系魔法
'sheng'ming'xi'mo'fa'chu'ji 生命系魔法初级
'sheng'ming'xi'mo'fa'gao'ji 生命系魔法高级
'sheng'ming'xi'mo'fa'ru'men 生命系魔法入门
'sheng'ming'xi'mo'fa'zhong'ji 生命系魔法中级
'sheng'ming'xi'mo'fa'zhuan'jia'ji 生命系魔法专家级
'sheng'ming'zhen'ji 生命震击
'sheng'ming'zhi'hua 生命之花
'sheng'ming'zhi'ya 生命之芽
'sheng'ming'zhi'zhong 生命之种
'sheng'qi'de'shao'nv 生气的少女
'sheng'tie 生铁
'sheng'zhe'shou'zhang 圣者手杖
'shi'fu 狮蝠
'shi'hua'pi'fu 石化皮肤
'shi'xi'sheng'fa'zhang 实习生法杖
'shi'xi'sheng'kai'jia 实习生铠甲
'shi'xi'sheng'shou'zhang 实习生手杖
'shi'xi'sheng'tou'kui 实习生头盔
'shi'xi'sheng'zhan'xue 实习生战靴
'shi'yan'ping'yuan 誓言平原
'shu'ding'lv'dian 树顶旅店
'shu'ren 树人
'shui'bian'de'nv'hai 水边的女孩
'shui'jing'feng'ling 水晶风铃
'shui'shou'fu 水手服
'shui'shou'zhi'jia 水手之家
'si'chou 丝绸
'si'juan 丝绢
'si'juan'yuan'shi 丝绢原石
'tai'yang'shi 太阳石
'tao'mu 桃木
'tao'mu'dun 桃木盾
'tao'mu'fa'zhang 桃木法杖
'tao'mu'shen'xiang 桃木神像
'tao'mu'shou'zhang 桃木手杖
'ti'cao 体操
'ti'cao'zhu'jiao 体操助教
'tie'jiang 铁匠
'tou'mian'bao'de'zei 偷面包的贼
'wan'yu'de'zun'wang 万羽的尊王
'wei'mian'shi'bu 维棉市布
'wei'mian'shi'mu 维棉市木
'wei'ya 威压
'wu'dao 舞蹈
'wu'dao'yan'yuan 舞蹈演员
'wu'hui 舞会
'wu'hui'hui'chang 舞会会场
'xi'ju'yan'yuan 戏剧演员
'xiang'liao'feng'zhi'yu 香料风之语
'xiang'liao'gu'shu'de'qing'ge 香料古树的轻歌
'xiang'liao'guo'pan 香料果盘
'xiang'liao'meng'jing 香料梦境
'xiang'liao'si'yu 香料丝雨
'xiang'liao'tian'tang'de'shu'guang 香料天堂的曙光
'xiang'liao'yao'jing'hua'yuan 香料妖精花园
'xiang'yun'ling 香云绫
'xiao'gou'wan'ou 小狗玩偶
'xiao'hao'yuan'su 消耗元素
'xiao'hao'yuan'su'mo'fa'dian'shu 消耗元素魔法点数
'xiao'ti'qin'xian 小提琴弦
'xie'ji'sheng'mu 榭寄生木
'xin'ling'gong'ji 心灵攻击
'xin'ling'tun'shi 心灵吞噬
'xin'yue'wu'hui 新月舞会
'xing'luo'mu 星落木
'xing'luo'mu'shen'xiang 星落木神像
'xing'tie 星铁
'xiu'nv'fu 修女服
'xiu'xi'yao'qiu 修习要求
'xuan'wu'mu 玄武木
'xue'fang 雪纺
'xue'lian'hua'gai 血炼华盖
'xue'yue'tou'kui 血月头盔
'xue'zi 靴子
'yan'long'de'yi'zhi 岩龙的意志
'yan'zhi'shou'hu'zhe 炎之守护者
'yan'zou 演奏
'yao'ji'dian 药剂店
'yao'jing'de'hua'huan 妖精的花环
'yao'jing'de'qing'xue 妖精的轻靴
'yao'jing'sen'lin 妖精森林
'yao'shui'lian'zhi 药水炼制
'yi'he'can'shang 伊贺参上
'yi'zhi'zhi'dun 意志之盾
'yin'yue'zhan'xue 银月战靴
'ying'hua'bu'dao 樱花步道
'yong'quan'zhi'zhang 涌泉之杖
'yong'yao'heng'xing 永耀恒星
'yu'lin'si 羽鳞丝
'yu'wen'luo 雨纹罗
'yuan'shi 原石
'yuan'su'mo'chen 元素魔尘
'yuan'su'mo'shi'bing 元素魔石冰
'yuan'su'mo'shi'di 元素魔石地
'yuan'su'mo'shi'huo 元素魔石火
'yuan'su'mo'shi'lei 元素魔石雷
'yuan'su'mo'shi'sui'pian 元素魔石碎片
'yuan'su'mo'shi'yuan'jing 元素魔石元晶
'yuan'su'xi'mo'fa 元素系魔法
'yuan'su'xi'mo'fa'chu'ji 元素系魔法初级
'yuan'su'xi'mo'fa'gao'ji 元素系魔法高级
'yuan'su'xi'mo'fa'zhong'ji 元素系魔法中级
'yuan'su'xi'mo'fa'zhuan'jia 元素系魔法专家
'yue'cheng'gong'cheng'bing 月城工程兵
'yue'cheng'zhen'cha'bing 月城侦察兵
'yue'guang'ba'yin'he 月光八音盒
'yue'guang'lang'wang 月光狼王
'yue'guang'lang'wang'de'hu'jia 月光狼王的护甲
'yue'guang'shi 月光石
'yue'mian'hua'fen 月棉花粉
'yue'mian'hua'zi 月眠花籽
'yue'ming'shi'ha'ha'jing 月鸣石哈哈镜
'yue'shen'dian 月神殿
'yue'shou 乐手
'yun'si'cao'de'zhi'ye 云丝草的汁液
'yun'si'cao'fen 云丝草粉
'za'huo'dian 杂货店
'zhai'nan'de'bi'ji'ben 宅男的笔记本
'zhan'bu'shi 占卜师
'zhan'shi'de'bu'jia 战士的布甲
'zhan'shi'de'ma'xue 战士的马靴
'zhan'shi'de'tou'kui 战士的头盔
'zhao'huan 召唤
'zhi'liao 治疗
'zhi'liao'zhi'lian 治疗之链
'zhi'ye'zhuang 职业装
'zhi'yu'jing'hua 治愈精华
'zhi'zhuo'hui'xing 执着彗星
'zhuan'shun'liu'xing 转瞬流星
'zi'shan'mu 紫杉木
'zi'shan'mu'shen'xiang 紫杉木神像
'zi'yu'shi 紫雨石
