'an'fa'yi'chuan 按法以传
'bei'fang'hei'di'ling'bao'chi'shu'yu'pian 北方黑帝灵宝赤书玉篇
'bei'fang'wu'hei'xuan'tian 北方五黑玄天
'bei'fang'wu'qi'xuan'tian 北方五炁玄天
'bei'fang'xiong'bo'e'shou'du'shi'jie'bu'sheng'hai'xin 北方凶勃恶兽毒螫皆不生害心
'bei'fang'xuan'tian 北方玄天
'bei'fang'zi'bin 北方自宾
'bei'feng 北酆
'bei'feng'san'guan 北酆三官
'bei'feng'suo'bu 北酆所部
'bei'ji'zhen'gong 北极真公
'bei'shan'shen'zhou 北山神咒
'bei'shang'yu'shan'yin'yuan'tai 北上玉山阴元台
'bei'she'feng'shan 北摄酆山
'bei'shou'ba'men 备守八门
'ben'ming'mou'chen 本命某辰
'ben'she'ji'jian 奔蛇击剑
'bi'xia'yu'lei 碧霞郁垒
'bi'zong'qi'xing 璧总七星
'bian'yu'bu'zheng 边域不争
'biao'guo'ming'xian 表裹明鲜
'biao'jian'xuan'xu 表见玄虚
'biao'ming'ling'wen 表明灵文
'bing'ben'ming'ri'zhu'shu 并本命日朱书
'bing'bing'bing'xing 兵病并行
'bing'bu'xing 兵不兴
'bing'cheng'wu'se'qiong'lun 并乘五色琼轮
'bing'de'dao'ren'ming 并得道人名
'bing'huo'xi'zhi 兵火息止
'bing'qi'cheng'ren 并起成人
'bing'ye'yu'wu'ying'zhi'guan 禀液于五英之关
'bing'yi'wu'fang'se'shu'zhi 并依五方色书之
'bing'zai'dang'min 兵灾荡民
'bing'zai'liu'xing 兵灾流行
'bing'zai'qu'chu 兵灾驱除
'bu'de'bian'chuan 不得便传
'bu'de'dai'zong 不得怠纵
'bu'de'kui'wen 不得窥闻
'bu'de'qing'xie 不得轻泄
'bu'fan'jin'ji 不犯禁忌
'bu'fan'jing'jie 不犯经戒
'bu'fan'ke'jin 不犯科禁
'bu'fan'ke'lv 不犯科律
'bu'jiao'zi'xing 不教自行
'bu'ke'xun'xiang 不可寻详
'bu'lu'nian'ming'suan'ji 簿录年命筭籍
'bu'mian'san'tu'wu'ku'zhi'zhong 不免三涂五苦之中
'bu'shen'ling'bao'wu'pian'yu'wen 不审灵宝五篇玉文
'bu'sheng'hai'xin 不生害心
'bu'shou'zhong'heng 不受众横
'bu'shu'bu'bing 不暑不冰
'bu'si'zhi'yao 不死之药
'bu'xing'fan'shu 不行凡庶
'bu'yu'li'shen'xing'xu'yu'er 不欲离身形须臾尔
'cai'liu'xia'yu'shang'gong 采流霞于上宫
'can'zong'dou'kui 参总斗魁
'cang'long'lai'xiang 苍龙来翔
'cha'xiao'xue'shi'zhao'min'gong'guo'qing'zhong 察校学士兆民功过轻重
'chang'bao'jia'guo 长保家国
'chang'jia'bai'long 常驾白龙
'chang'jia'cang'long 常驾苍龙
'chang'jia'dan'long 常驾丹龙
'chang'jia'hei'long 常驾黑龙
'chang'jia'huang'long 常驾黄龙
'chang'sheng'si'ma 长生司马
'chang'wei'zhen'ren 长为真人
'chang'wei'zhong'min 长为种民
'chang'wei'zui'min 长为罪民
'chang'yi'chun'fen'zhi'ri 常以春分之日
'chang'yi'dong'zhi'zhi'ri 常以冬至之日
'chang'yi'geng'shen'ri 常以庚申日
'chang'yi'jia'zi'ri 常以甲子日
'chang'yi'li'chun'zhi'ri 常以立春之日
'chang'yi'li'dong'zhi'ri 常以立冬之日
'chang'yi'li'qiu'zhi'ri 常以立秋之日
'chang'yi'li'xia'zhi'ri 常以立夏之日
'chang'yi'qiu'fen'zhi'ri 常以秋分之日
'chang'yi'sui'shen 常以随身
'chang'yi'xia'zhi'zhi'ri 常以夏至之日
'chang'yi'yue'ba'ri 常以月八日
'chang'yi'yue'er'shi'ba'ri 常以月二十八日
'chang'yi'yue'er'shi'jiu'ri 常以月二十九日
'chang'yi'yue'er'shi'san'ri 常以月二十三日
'chang'yi'yue'er'shi'si'ri 常以月二十四日
'chang'yi'yue'san'shi'ri 常以月三十日
'chang'yi'yue'shi'ba'ri 常以月十八日
'chang'yi'yue'shi'si'ri 常以月十四日
'chang'yi'yue'shi'wu'ri 常以月十五日
'chang'yi'yue'yi'ri 常以月一日
'chang'yu'shen'ming'xiang'dang 常与神明相当
'chang'zhai'bai'ri 长斋百日
'chang'zhai'xiu'xing'er'shi'si'nian 长斋修行二十四年
'chao'li'tian'wen 朝礼天文
'chao'li'yu'ting 朝礼玉庭
'chao'qing'tian'zhen 朝庆天真
'chao'qun'cui'er'ling'pan 超羣萃而凌盻
'chao'wei'ling'wen'yu'yu'shan'zhi'zhong 朝卫灵文于玉山之中
'chen'guo'cheng'wei'tian'zhi'xian 臣过承未天之先
'chen'ji'qi'dan 晨鸡启旦
'chen'shi'fei'hun 沉尸飞魂
'chen'xu'chou'wei'zhi'nian 辰戌丑未之年
'cheng'bai'long 乘白龙
'cheng'beng'shan'zhi'zhui'hu 乘崩山之坠虎
'cheng'di'zhou'zhi'nian 乘地轴之辇
'cheng'huang'long 乘黄龙
'cheng'ji'ying'hui 乘机应会
'cheng'qi'bu'fei 承炁捕非
'cheng'qing'gao'xu 澄清高虚
'cheng'qing'long 乘青龙
'cheng'sheng'wu'xing 成生五行
'cheng'shi'mou'di'mou'jia'yuan'shi'zhi'zhang 承师某帝某甲元始之章
'cheng'tian'guang'fu 成天广覆
'cheng'tian'li'di 成天立地
'cheng'wei'zhen'ren 称为真人
'cheng'xuan'long 乘玄龙
'cheng'yun'nian'yu'xu'wu 骋云辇于虚无
'cheng'yun'qiu'yi'qi'zhen 乘云虬以启真
'chi'di'gui'mo'yuan'she'ba'wan'li 赤帝鬼魔远舍八万里
'chi'di'qi'ying'hu 勑地祇营护
'chi'di'shen'ren'cheng'zhu'feng 赤帝神人乘朱凤
'chi'di'shou'ci'wen'yi'zhen'nan'yue 赤帝受此文以镇南岳
'chi'di'xing'pei'ci'wen'du'qi'zai 赤帝行佩此文度其灾
'chi'di'yong'shi 赤帝用事
'chi'di'yu'tang 赤帝玉堂
'chi'di'zhen'ren'xia'shi 赤帝真人下世
'chi'jie'chao'li 持戒朝礼
'chi'qi'fou 赤炁否
'chi'qi'shi 赤炁食
'chi'she'bei'di 敕摄北帝
'chi'shu'fu'ming 赤书符命
'chi'shu'hei'zeng 赤书黑缯
'chi'shu'huang'zeng'shang'pei'shen 赤书黄缯上佩身
'chi'shu'suo'gao 赤书所告
'chi'shu'yu'zi 赤书玉字
'chi'wen'ming'ling 赤文命灵
'chi'wen'yu'shu 赤文玉书
'chi'xia'di'guan'ying'wei'you'hu 勑下地官营卫佑护
'chi'xia'san'jie'shen'ling'shi'wei 勑下三界神灵侍卫
'chou'chua'zhi'jian 鯈欻之间
'chu'bai'di'zhen'wen'pian 出白帝真文篇
'chu'chi'di'xia'yuan'fu'ming 出赤帝下元符命
'chu'chi'di'zhen'wen'pian 出赤帝真文篇
'chu'ci'wen'xuan'du'gong 出此文玄都宫
'chu'ci'wen'yi'du'xue'zhe'ren'shen 出此文以度学者人身
'chu'ci'wen'yi'gu'tian'qi 出此文以固天炁
'chu'ci'xia'yuan'fu 出此下元符
'chu'hei'di'zhen'wen'pian 出黑帝真文篇
'chu'huang'di'zhen'wen'pian 出黄帝真文篇
'chu'ling'bao'bai'di'shang'yuan'fu'ming 出灵宝白帝上元符命
'chu'ling'bao'bai'di'xia'yuan'fu'ming 出灵宝白帝下元符命
'chu'ling'bao'bai'di'zhong'yuan'fu'ming 出灵宝白帝中元符命
'chu'ling'bao'chi'di'shang'yuan'fu'ming 出灵宝赤帝上元符命
'chu'ling'bao'chi'di'xia'yuan'fu'ming 出灵宝赤帝下元符命
'chu'ling'bao'chi'di'zhong'yuan'fu'ming 出灵宝赤帝中元符命
'chu'ling'bao'hei'di'shang'yuan'fu'ming 出灵宝黑帝上元符命
'chu'ling'bao'hei'di'xia'yuan'fu'ming 出灵宝黑帝下元符命
'chu'ling'bao'hei'di'zhong'yuan'fu'ming 出灵宝黑帝中元符命
'chu'ling'bao'huang'di'shang'yuan'fu'ming 出灵宝黄帝上元符命
'chu'ling'bao'huang'di'xia'yuan'fu'ming 出灵宝黄帝下元符命
'chu'ling'bao'huang'di'zhong'yuan'fu'ming 出灵宝黄帝中元符命
'chu'ling'bao'qing'di'shang'yuan'fu'ming 出灵宝青帝上元符命
'chu'ling'bao'qing'di'xia'yuan'fu'ming 出灵宝青帝下元符命
'chu'ling'bao'qing'di'zhong'yuan'fu'ming 出灵宝青帝中元符命
'chu'qing'di'zhen'wen'pian 出青帝真文篇
'chu'ru'min'wen 出入民问
'chu'ru'xing'lai 出入行来
'chu'ru'you'xing 出入游行
'chu'xia'yuan'fu'ming 出下元符命
'chu'xuan'du'zi'wei'gong'shang'yuan'ge'zhong 出玄都紫微宫上元格中
'chu'xuan'du'zi'wei'gong'xia'yuan'ge'zhong 出玄都紫微宫下元格中
'chu'xuan'du'zi'wei'guan'zhong'yuan'ge'zhong 出玄都紫微官中元格中
'chu'yu'dan'wu'liang'xuan'yuan'zi'wei'tai'bei'xuan'zhi'shu 出郁单无量玄元紫微台北轩之书
'chu'yu'kong'dong'zi'ran'zhi'zhong 出于空洞自然之中
'chu'yu'shang'tian'zhi'zhong 处于上天之中
'chu'yuan'shi'chi'shu'yu'pian'zhen'wen'ling'bao'shang'jing 出元始赤书玉篇真文灵宝上经
'chu'yuan'shi'qing'ming'shang'guang'qi'hou'chi'shu'si'jie 出元始青明上光气后赤书四劫
'chu'yuan'shi'tong'jing'xuan'guang'qi'hou'chi'shu'wu'jie 出元始通景玄光气后赤书五劫
'chui'fu'ba'fang 垂覆八方
'chui'yin'fu'liu 垂荫福流
'chui'yin'mi'fu'shi'tian 垂荫弥覆十天
'ci'bai'di'da'yang'jiu 此白帝大阳九
'ci'chi'di'da'yang'jiu 此赤帝大阳九
'ci'da'zong'zhi'ye 此大宗之业
'ci'er'fu 此二符
'ci'fa'yun'qi 此法运讫
'ci'fu'yi'ming'hua'xing'quan 此符一名化形券
'ci'hei'di'da'yang'jiu 此黑帝大阳九
'ci'huang'di'da'yang'jiu 此黄帝大阳九
'ci'shi'chi'jing'shou'tian'qi'hou 此是赤精受天炁后
'ci'shi'er'bao 此十二报
'ci'tian'qi'bo'yu'huo'gong 此天炁勃于火宫
'ci'tian'qi'ji'yu'jin'gong 此天炁激于金宫
'ci'wen'gu'tian'san'yuan'zhi'qi 此文固天三元之炁
'ci'wen'jie'shu'bei'dan'yu'jue'yuan'zhi'tai 此文皆书北单郁绝元之台
'ci'wen'jie'ti'jiu'tian'jin'que'san'tu'zhi'wan 此文皆题九天金阙三图之绾
'ci'wen'jie'ti'xuan'du'zhi'tai'si'bi'ye 此文皆题玄都之台四壁也
'ci'wen'yi'du'xue'zhe'ren'shen 此文以度学者人身
'ci'yi'shi'er'nian 此一十二念
'ci'yuan'shi'zhi'xuan'gen 此元始之玄根
'ci'ze'bai'di'xiao'yang'jiu 此则白帝小阳九
'ci'ze'chi'di'xiao'yang'jiu 此则赤帝小阳九
'ci'ze'hei'di'xiao'yang'jiu 此则黑帝小阳九
'ci'ze'huang'di'xiao'yang'jiu 此则黄帝小阳九
'ci'zhi'zhen'zhi'wen 此至真之文
'cong'liu'bing'liu'ding 从六丙六丁
'cong'shen'bing'ding'guan'jiang'san'shi'wan'ren 从神丙丁官将三十万人
'cong'shen'geng'xin'guan'jiang'qi'shi'wan'ren 从神庚辛官将七十万人
'cong'shen'jia'yi'guan'jiang'jiu'shi'wan'ren 从神甲乙官将九十万人
'cong'shen'ren'gui'guan'jiang'wu'shi'wan'ren 从神壬癸官将五十万人
'cong'shen'wu'ji'guan'jiang'shi'er'wan'ren 从神戊己官将十二万人
'cong'wu'di'shen'xian 从五帝神仙
'cui'yun'shang'qi 催运上炁
'cun'zhi'zhe'bu'zhong 存之者不终
'cun'zhuo'qi'yu'kou 存浊炁于口
'da'bai'liu 大百六
'da'bai'liu'chou'wei 大百六丑未
'da'bai'liu'mao 大百六卯
'da'bai'liu'wu 大百六午
'da'bai'liu'you 大百六酉
'da'bai'liu'zi 大百六子
'da'ci'zhi'de 大慈之德
'da'jie'chen'xu 大劫辰戌
'da'jie'hong'zai 大劫洪灾
'da'jie'hong'zai'zhi'shu 大劫洪灾之数
'da'jie'jiao'zhou 大劫交周
'da'jie'wu'yun'zhou 大劫午运周
'da'jie'you 大劫酉
'da'jie'zhi'jiao 大劫之交
'da'jie'zhong 大劫终
'da'jie'zi 大劫子
'da'shen'deng 大神等
'da'xiao'bai'liu 大小百六
'da'xiao'bai'liu'tian'di'yun'du 大小百六天地运度
'da'xiao'jie'hui'zhi'zai 大小劫会之灾
'da'yang'jiu'chen'xu 大阳九辰戌
'da'yang'jiu'da'bai'liu 大阳九大百六
'da'yang'jiu'hai 大阳九亥
'da'yang'jiu'shen 大阳九申
'da'yang'jiu'si 大阳九巳
'da'yang'jiu'yin 大阳九寅
'da'you'zhi'wen 大有之文
'da'yun'jiao 大运交
'da'yun'jiao'hui 大运交会
'da'zai'ling'bao 大哉灵宝
'da'zai'yong'shui 大灾涌水
'dan'bi'shu'wen 丹笔书文
'dan'jing'xin'gong'feng 但精心躬奉
'dan'ling'nan'ji'zhen'ren 丹灵南极真人
'dan'pei'ci'wen 但佩此文
'dan'shu'bai'su 丹书白素
'dan'tai'lao'zi 丹台老子
'dang'bai'bi'shu 当白笔书
'dang'chi'shu'qing'shi'shang 当赤书青石上
'dang'ci'ri 当此日
'dang'ci'zhi'shi 当此之时
'dang'ci'zhi'yue 当此之月
'dang'dang'da'hua 荡荡大化
'dang'dang'wu'ai 荡荡无碍
'dang'ling'bao'da'zhai'zhi'ri 当灵宝大斋之日
'dang'lu'yu'shang'guan 当录于上馆
'dang'qi'zhai'ri 当其斋日
'dang'you'san'wan'liu'qian'zhong'dao 当有三万六千种道
'dang'zhu'bi'shu'wen 当朱笔书文
'dang'zhu'shu'bai'shi'shang 当朱书白石上
'dang'zhu'shu'chi'shi'shang 当朱书赤石上
'dang'zhu'shu'hei'shi'shang 当朱书黑石上
'dang'zhu'shu'huang'shi'shang 当朱书黄石上
'dao'bao'zi'ran 道报自然
'dao'cheng'de'man 道成德满
'dao'de'ri'long 道德日隆
'dao'de'zhang'ren 道德丈人
'dao'nai'xing'yan 道乃行焉
'dao'qi'zhang'ren 道气丈人
'dao'shi'ming'shu'bei'yue 道士命属北岳
'dao'shi'ming'shu'dong'yue 道士命属东岳
'dao'shi'ming'shu'nan'yue 道士命属南岳
'dao'shi'ming'shu'xi'yue 道士命属西岳
'dao'shi'ming'shu'zhong'yue 道士命属中岳
'dao'shi'shu'wen'zhi'bei'fang 道士书文置北方
'dao'shi'shu'wen'zhi'nan'fang 道士书文置南方
'dao'shi'shu'wen'zhi'xi'fang 道士书文置西方
'dao'shi'shu'wen'zhi'zhong'yang 道士书文置中央
'dao'shi'suo'yi'pian'de'pei'ci'wen'zhe 道士所以偏得佩此文者
'dao'shi'tun'zhi 道士吞之
'dao'shi'yin'xue 道士隐学
'dao'shi'yu'shi'jie'zhe 道士欲尸解者
'dao'shou'kai'ming'zhi'si 叨受开明之司
'dao'wu'qi'yi'yu'min 导五气以育民
'dao'yun'liu'qian 悼运流迁
'dao'zai'ze'zun 道在则尊
'dao'zhong'zhi'dao 道中之道
'de'bao'zi'ran 德报自然
'de'gan'tian'zhen 德感天真
'de'guan'zhu'tian 德冠诸天
'de'guo'tai'yang'jiu 得过太阳九
'de'jian'tai'ping 得见太平
'de'jian'zhen'jun 得见真君
'de'pei'ci'fu 得佩此符
'de'pei'ci'wen 得佩此文
'de'wei'zhen'ren 得为真人
'de'wei'zhong'min 得为种民
'deng'ming'wu'lao'shang'zhen 登命五老上真
'di'bao'shan'yue'yu'gou'mang 地保山岳于句芒
'di'fa'er'shi'si'ying 地发二十四应
'di'fang'xin'wei 氐房心尾
'di'hao'zhi'bao 地号之宝
'di'ling'shen'gui'zhi'shi 地灵神鬼之事
'di'mi'zhi'yi'zhi'an 地秘之以致安
'di'qi'shi'wei 地祇侍卫
'di'qi'suo'yang 地祇所仰
'di'shang'di'xia 地上地下
'di'shang'mo'bu'zhen'su 地上莫不振肃
'di'shang'shen'qi 地上神祇
'di'shang'shen'qi'mo'bu'zhen'su 地上神祇莫不振肃
'di'shen'feng'ying 地神奉迎
'di'shen'ying'hu 地神营护
'di'shen'zhi'wei 地神直卫
'di'si'zou'ren'shan'gong 地司奏人善功
'di'tu'ke'jian 帝图刻简
'di'wu'wu'wen 地无五文
'di'zang'fa'xie 地藏发泄
'dian'lu'xuan'tu 典录玄图
'dong'da'wu'qiong 洞达无穷
'dong'fang'an'bao'hua'lin 东方安宝华林
'dong'fang'an'bao'hua'lin'qing'ling'shi'lao 东方安宝华林青灵始老
'dong'fang'an'bao'hua'lin'qing'ling'shi'lao'jun'fu'ming 东方安宝华林青灵始老君符命
'dong'fang'jiu'qi 东方九气
'dong'fang'jiu'qi'qing'tian 东方九炁青天
'dong'fang'qing'di'ling'bao'chi'shu'yu'pian 东方青帝灵宝赤书玉篇
'dong'ji'lao'ren 东极老人
'dong'shan'shen'zhou 东山神咒
'dong'wang'gong 东王公
'dong'xia'sheng'hua 冬夏生华
'dong'xuan'di'zi'mou'yue'xian'sheng'nv'ren 洞玄弟子某岳先生女人
'dong'yang'qi'chi 洞阳气赤
'dong'yang'tai'ling'jun 洞阳太灵君
'dong'ying'shang'qing 洞映上清
'dou'niu'wei'fei 斗牛卫扉
'du'de'dao'zhi'ren 度得道之人
'du'hong'liu'da'shui'zhi'zai 度洪流大水之灾
'du'hong'zai 度洪灾
'du'hui'yi'ru'zhi 度会亦如之
'du'jia'shen'da'shui'hong'zai 度甲申大水洪灾
'du'jiu'ren'yi'bu'xian'guan 度九人以补仙官
'du'qi'ren'yi'bu'xian'guan 度七人以补仙官
'du'san'ren'yi'bu'xian'guan 度三人以补仙官
'du'shi'er'ren'yi'bu'xian'guan 度十二人以补仙官
'du'wu'ren'yi'bu'xian'guan 度五人以补仙官
'du'xiong'e'yu'qiong'nian 度凶厄于穷年
'du'xue'zhe'shen 度学者身
'du'xue'zhe'zhi'shen 度学者之身
'du'yang'jiu'bai'liu'zhi'hui 度阳九百六之会
'du'yang'yu'ming'gan'zhi'hun 覩阳于冥感之魂
'e'sai'gui'men 遏塞鬼门
'e'zhong'de'mian 厄中得免
'en'run'fu'hu 恩润覆护
'er'fu 二符
'er'nai'feng'wu'jing'han 尔乃凤舞景汉
'er'nai'hong'bu'ba'yu 尔乃虹步八域
'er'nai'long'mian'kong'dong 尔乃龙眄空洞
'er'nai'peng'ju'jiu'xia 尔乃鹏举九遐
'er'nian'dao'zun'de'gui 二念道尊德贵
'er'pian'de'fu'er'shi'ba'tiao 二篇德福二十八条
'er'pian'shi'en'zhi'gong'er'shi'liu'tiao 二篇施恩置功二十六条
'er'pian'shi'nian'huo'bao'er'shi'si'tiao 二篇施念获报二十四条
'er'qi'wen'bao'gu'tian'gen 而其文保固天根
'er'shi'er'zhe'tian'zhen'di'lie 二十二者天震地裂
'er'shi'san'zhe'di'sheng'lian'hua 二十三者地生莲华
'er'shi'si'shen'ren'jun 二十四神人君
'er'shi'si'shen'ren'zhang'ren 二十四神人丈人
'er'shi'si'zhe'wu'yue'dong'kai 二十四者五岳洞开
'er'shi'yi'zhe'di'zang'fa'xie 二十一者地藏发泄
'er'shi'zhe'fu'nv'huai'ren 二十者妇女怀妊
'er'wei'zi'sun 二为子孙
'er'yi'dai'zhi'yi'fen 二仪待之以分
'er'you'yi'shi'er'bao 而有一十二报
'er'zhe'ming'sheng'yuan'zhe 二者名声远着
'er'zhe'qi'de'ru'xu'yuan 二者其德如虚元
'er'zhe'san'wan'liu'qian'ri'yue 二者三万六千日月
'er'zhe'shi'shi'er'xiang'fen'yi 二者是时二象分仪
'er'zhe'wan'mo'xiang'fu 二者万魔降伏
'er'zhe'zhi'fu'que'huo 二者致福却祸
'fa'hu'shi'qing'zhi'tian'er'se'wu'ding'fang 发乎始青之天而色无定方
'fa'hua'gao'da 法化高大
'fa'jiao'wei'yan 法教威严
'fa'zi'ran'tian'xin 发自然天心
'fan'e'wei'fei 犯恶为非
'fan'guang'hua'yu'wan'chun 反光华于万春
'fan'ku'xiu'er'ying'hai 反枯朽而婴孩
'fan'shan'ren'ren 反善仁人
'fan'shi'xiu'zhai'chi'jie 凡是修斋持戒
'fan'tong'zhi'er'fang'sheng 反童稚而方升
'fan'wei'xue'zhe 凡为学者
'fan'zhao'xia'zhi'shi'meng 反朝霞之始萌
'fan'zhen'xian'yu'tai'wei 返真仙于太微
'fang'wu'cun 方五寸
'fang'yang'jiu 防阳九
'fang'yuan'san'qian'liu'bai'li'zhong 方圆三千六百里中
'fei'gui'shen'suo'wen 非鬼神所闻
'fei'kong'bu'xu 飞空步虚
'fei'long'du'shou 飞龙毒兽
'fei'suo'ru'he 非所如何
'fei'wu'yong'yong 飞呜邕邕
'fei'xian'tian'duan 飞掀天端
'fei'xiang'ba'cou 飞香八凑
'feng'ci'fa 奉此法
'feng'huang'lai'you 凤凰来游
'feng'huo'wu'jian 风火无间
'feng'huo'yi'chuan 风火驿传
'feng'jie'chi'zhai 奉戒持斋
'feng'sa'lan'lin 风洒兰林
'feng'shan'hu'yun 封山呼云
'feng'xiu'ling'wen 奉修灵文
'feng'yi'tong'jiu'ling'dong'shi 封一通九灵洞室
'feng'yi'tong'nan'huo'zhi'a 封一通南霍之阿
'feng'yi'tong'yu'jin'xue'jiu'ye'dong'zhong 封一通于金穴九掖洞中
'feng'yi'tong'yu'xuan'yin'dong'shi 封一通于玄阴洞室
'feng'zhai'chao'tian'wen 奉斋朝天文
'feng'zhai'chao'tian'zhen 奉斋朝天真
'fu'bao'ru'zhi 福报如之
'fu'hong'tian'yuan 敷弘天元
'fu'ji'chu 符即出
'fu'ji'chu'er'si'ye 符既出而死也
'fu'ji'gao'kang 抚几高抗
'fu'jiao'zhu'si'lian'cha'wan'min'shan'e 覆校诸司廉察万民善恶
'fu'jing'bing'chu 符经并出
'fu'lu'guang'heng 福禄光亨
'fu'nian'qun'sheng 抚念羣生
'fu'qing'ri'long 福庆日隆
'fu'qing'ri'sheng 福庆日升
'fu'qing'ri'zhen 福庆日臻
'fu'qing'wu'qiong 福庆无穷
'fu'shui'shang'long 符水上龙
'fu'tu'jing'wen 符图经文
'fu'wei'shang'zhen 辅卫上真
'fu'xi'suo'tao 符檄所讨
'fu'yan'xuan'jiao 敷演玄教
'fu'yan'xuan'yi 敷演玄义
'fu'you'wu'yue 浮游五岳
'fu'yun'lin'zhi'cui'luo 服云林之翠罗
'gan'you'gan'shi 敢有干试
'gan'you'ji'yan 敢有稽延
'gao'bu'chang'jin 高步长津
'gao'shang'da'sheng'zhong 高上大圣众
'gao'shang'yu'di 高上玉帝
'gao'xia'san'guan'shen'ling'shi'wei 告下三官神灵侍卫
'gao'xia'tian'shen'di'qi'shi'wei'ying'hu 告下天神地祇侍卫营护
'ge'fu'yi'wen'an'zhen'wu'yue 各付一文安镇五岳
'ge'qian'tian'zhen'wei'shen 各遣天真威神
'ge'xiu'mie'er'fang'qing 革休灭而方清
'ge'you'suo'shu 各有所属
'gei'huang'su'yu'nv'shi'er'ren 给黄素玉女十二人
'gei'qing'yao'yu'nv'jiu'ren 给青腰玉女九人
'gei'tai'su'yu'nv'liu'ren 给太素玉女六人
'gei'tai'xuan'yu'nv'wu'ren 给太玄玉女五人
'gei'zhu'ling'yu'nv'ba'ren 给朱陵玉女八人
'geng'zi'zhi'nian 庚子之年
'gong'de'wei'bei 功德未备
'gong'guo'qing'zhong'da'xiao 功过轻重大小
'gong'ji'kao'jiao'san'guan 共集考校三官
'gong'ji'san'guan'wu'di 功记三官五帝
'gong'ji'tui'xiao'ri'yue'xing'chen'fen'du 共集推校日月星辰分度
'gong'ji'xiao'deng'ren'min'lu'ming'chang'duan 共集校等人民禄命长短
'gong'ji'xiao'ding 共集校定
'gong'mao'zhu'tian 功懋诸天
'gong'ye'qing'zhong 功业轻重
'gu'di'qi 固地炁
'gu'hao'chi'shu 故号赤书
'gu'san'jing'yu'xuan'gen 固三景于玄根
'gu'san'yuan'zhi'qi 故三元之炁
'gu'tian'qi 固天炁
'gu'xue'fen'li 骨血分离
'gu'yang'shu'zhi'jiu'wei'zhi'yang'jiu 故阳数之九谓之阳九
'gu'yang'yuan'ze 鼓洋渊泽
'gu'yue'ling'bao 故曰灵宝
'gu'yun'chi'er'yu'bo 鼓云池而郁勃
