'ai'lao'zhi'cheng 矮老支撑
'ding'xiang'gui 顶箱柜
'dou'cheng'pan 都承盘
'duan'mu 椴木
'duan'tie'jiang 短铁匠
'duo'bao'ge 多宝格
'e'bo'qian'shen 鹅脖前伸
'fa'lang'xiang'qian 珐琅镶嵌
'fang'cai 方材
'fang'cai 枋材
'fang'deng 方凳
'fang'fu 防腐
'fang'jiao'gui 方角柜
'fang'sheng'wen 方胜纹
'fang'xian 放线
'fang'yang 放样
'fang'yang'shi 放样师
'fang'zhu 防蛀
'fang'zhuo 方桌
'fang'zuo 方作
'fei'zhou'lian 非洲楝
'feng'bian 封边
'feng'mu 枫木
'fu'she'song 辐射松
'fu'tou 斧头
'fu'zi'li 斧子利
'gan'cheng'jie'gou 赶枨结构
'gan'suo 干缩
'gan'zao 干燥
'ge'jian'sun 格肩榫
'ge'jiao'sun 格角榫
'ge'mu 格木
'gong'an 供案
'gong'zuan 弓钻
'gou'gua'sun 勾挂榫
'gou'gua'xie 勾挂楔
'gou'tou'sun 勾头榫
'gou'xiao 勾销
'gu'mu'xiang'qian 骨木镶嵌
'gu'tong'zuo 箍桶作
'gu'tui'peng'ya 鼓腿彭牙
'gu'tui'peng'ya 鼓腿膨牙
'gua'mo 刮磨
'gua'mo'shi 刮磨师
'gua'ni 刮腻
'gua'sun 挂榫
'gua'xiao 挂销
'gua'xie 挂楔
'gua'xie'xiao 挂楔销
'gua'yi'ban 挂衣板
'guai'zi'wen 拐子纹
'guan'pi'xiang 官皮箱
'gui'bai 桧柏
'gui'fang 归方
'gui'mu 桧木
'gui'xian 规线
'gui'zu 龟足
'guo'bai'chi 过白尺
'guo'tui'zuo 裹腿做
'hai'shui'jiang'ya 海水江崖
'han'shui 含水
'he'tao 核桃
'he'zhang'sun 合掌榫
'hei'hu'tao 黑胡桃
'hei'tan 黑檀
'heng'dang 横档
'hong'dou'shan 红豆杉
'hong'mei'gui 红玫瑰
'hong'song 红松
'hong'tan 红檀
'hong'wan 烘弯
'hong'xiang'mu 红橡木
'hou'ban 厚板
'hu'ban'mu 虎斑木
'hu'men'hu'xian 壶门弧线
'hu'men'kai'guang 壶门开光
'hu'men'qu'bian 壶门曲边
'hu'men'quan'kou 壶门券口
'hu'men'ya'ban 壶门牙板
'hu'zhao 虎爪
'hua'an 画案
'hua'bai 花柏
'hua'jia 花架
'hua'li 花梨
'hua'mu 桦木
'hua'qian 画签
'hua'xian 划线
'hua'ye 花叶
'huai'mu 槐木
'huang'bo'luo 黄菠萝
'huang'hua'li 黄花梨
'huang'hua'li'wen 黄花梨纹
'huang'jin'zhang 黄金樟
'huang'mei'gui 黄玫瑰
'huang'yang 黄杨
'hui'wen 回纹
'hui'yi'zhuo 会议桌
'huo'ti'chai'zhuang 活屉拆装
'huo'yan 火焰
'ji'chi 鸡翅
'ji'chi'mu 鸡翅木
'ji'chi'mu'ying 鸡翅木影
'jia'ju'zuo 家具作
'jia'sun 夹榫
'jia'tou'sun 夹头榫
'jia'tou'xie 夹头楔
'jia'xie 夹楔
'jia'zi'chuang 架子床
'jian'ji'han'guang 剑脊含光
'jian'ji'leng 剑脊棱
'jian'ji'leng'xian 剑脊棱线
'jian'pu'zhai'hei'suan'zhi 柬埔寨黑酸枝
'jiang'xiang'mu 降香木
'jiao'chi 角尺
'jiao'he 胶合
'jiao'jia 脚架
'jiao'ya 角牙
'jiao'yi 交椅
'jiao'zhi 矫直
'jie'mu 解木
'jie'tou 截头
'jie'zi 节子
'jin'pao 浸泡
'jin'si'li 金丝李
'jin'si'nan 金丝楠
'jin'si'tan 金丝檀
'jin'si'you 金丝柚
'jing'guang 净光
'jing'jia 镜架
'jing'liao 净料
'jiu'gui 酒柜
'ju'cai 锯材
'ju'deng 锯凳
'ju'fang 锯枋
'ju'mu 榉木
'ju'sun 锯榫
'ju'tiao 锯条
'juan'cao'wen 卷草纹
'juan'kou'ya'tou 卷口牙头
'juan'zhu 卷珠
'kai'guang'tao'huan 开光绦环
'kai'liao 开料
'kai'mao 开卯
'kai'qi 揩漆
'kai'qi'zuo'se 揩漆作色
'kai'sun 开榫
'kang'zhuo 炕桌
'kao'bei'yi 靠背椅
'ke'hua 刻花
'keng'gui 坑柜
'keng'ji 坑几
'kun'men'dong'tian 壸门洞天
'kun'men'lun'kuo 壸门轮廓
'kun'men'qu'xian 壸门曲线
'kun'men'quan'kou 壸门券口
'kun'men'shi'lun'kuo 壸门式轮廓
'kun'men'shi'yang 壸门式样
'kun'men'ya'tiao 壸门牙条
'kun'men'ya'zi 壸门牙子
'la'dang 拉档
'lao'wo'hua'li 老挝花梨
'leng'shan 冷杉
'li'kou'shou'xian 里口收线
'li'mu 栎木
'li'ting 立梃
'lian'ban 莲瓣
'lian'bang'gun'ding 联邦棍顶
'lian'bang'gun'shi 联帮棍式
'liang'chu'tou 两出头
'liang'ge'gui 亮格柜
'liang'jiao 亮脚
'liang'mu'fen'zuo 两木分做
'lie'feng 裂缝
'ling'zhi 灵芝
'liu'an 柳安
'liu'mu 柳木
'long'bai 龙柏
'long'feng'sun 龙凤榫
'long'feng'xie 龙凤楔
'long'feng'xie'ding 龙凤楔钉
'long'nao'xiang 龙脑香
'long'zhua 龙爪
'lu'ban'chi 鲁班尺
'lu'jun'song 陆均松
'luo'dian'xiang'qian 螺钿镶嵌
'luo'guo'cheng 罗锅枨
'luo'guo'cheng'tuo 罗锅枨托
'luo'han'chuang 罗汉床
'luo'tang'cai'gu 落堂踩鼓
'luo'tang'qi'gu 落堂起鼓
'luo'ye'song 落叶松
'lv'tan 绿檀
'ma'deng 马凳
'ma'li'mu 麻栎木
'ma'ti'nei'fan 马蹄内翻
'ma'ti'ta'di 马蹄踏地
'ma'ti'wai'fan 马蹄外翻
'ma'ti'zu 马蹄足
'ma'wei'song 马尾松
'ma'zha'tan'hai 蚂蚱探海
'ma'zha'tui 蚂蚱腿
'ma'zha'tui'xing 蚂蚱腿形
'mao'liao 毛料
'mei'gui'yi 玫瑰椅
'men'guang'chi 门光尺
'men'shi'ya'ban 门式牙板
'men'sun 闷榫
'mian'ban 面板
'mian'dian'hua'li 缅甸花梨
'mian'pen'jia 面盆架
'mo'dou 墨斗
'mo'guang'zuo'se 磨光作色
'mo'shi 磨石
'mo'xian 墨线
'mo'xian'zhi 墨线直
'mu'bu'li'fen 木不离分
'mu'cuo 木锉
'mu'fang 木方
'mu'fen 木粉
'mu'gong'jia 木工夹
'mu'he 木盒
'mu'jia'dou 木荚豆
'mu'jiang'yan 木匠眼
'mu'kuai 木块
'mu'pen 木盆
'mu'pi 木皮
'mu'pian 木片
'mu'sheng 母生
'mu'tiao 木条
'mu'tong 木桶
'mu'wen 木纹
'mu'xia 木匣
'mu'xian 木线
'mu'xie 木屑
'nan'guan'mao'yi 南官帽椅
'nan'mei'suan'zhi 南美酸枝
'nan'mu 楠木
'nan'mu'ying 楠木瘿
'nan'mu'ying'wen 楠木瘿纹
'nei'fan'ma'ti 内翻马蹄
'niao'bao 鸟刨
'nie'jiao'cang'feng 捏角藏锋
'nie'jiao'leng'xian 捏角棱线
'nie'jiao'xian 捏角线
'pao'tong 泡桐
'pen'jia 盆架
'pen'mian'shi 喷面式
'peng'tui'wai'fan 膨腿外翻
'peng'ya'gu'tui 彭牙鼓腿
'peng'ya'wai'fan 彭牙外翻
'peng'zhang 膨胀
'pi'hui'zuo'di 披灰作地
'pi'ma'gua'hui 披麻挂灰
'pi'shui'ya 披水牙
'pi'tiao'xian 皮条线
'pi'tiao'xian'jiao 皮条线脚
'pi'tiao'yin'xian 皮条隐现
'piao'jian'sun 飘肩榫
'piao'jian'xie 飘肩楔
'piao'sun 飘榫
'piao'xiao 飘销
'pin'ban 拼板
'ping'di'shen'diao 平地深雕
'ping'feng 屏风
'ping'heng 平衡
'ping'tou'an 平头案
'po'ban 破板
'po'lei 坡垒
'po'tou'xie 破头楔
'qi'di'fu'diao 起地浮雕
'qi'gan 气干
'qi'kou 企口
'qi'mu 槭木
'qi'xian 起线
'qi'zuo'shi 漆作师
'qia'zi'hua'shi 卡子花饰
'qian'zuan 牵钻
'qiao'qu 翘曲
'qiao'tou'an 翘头案
'qing'mu 轻木
'qiu'mu 楸木
'qu'chi 曲尺
'qu'zhi 取直
'quan'kou 圈口
'quan'kou'ya'tiao 券口牙条
'quan'kou'ya'zi 圈口牙子
'quan'yi 圈椅
'ruan'mu 软木
'ruan'ti'chuan'teng 软屉穿藤
'sai'jiao 塞角
'san'mu'cuan'jie 三木攒接
'san'nian'fu 三年斧
'san'peng'jian 三碰肩
'san'wan'bao'yue 三弯抱月
'san'wan'tui 三弯腿
'san'wan'wai'fan 三弯外翻
'sha'bi'li 沙比利
'sha'bu 砂布
'sha'fa 沙发
'sha'guang 砂光
'sha'mu 杉木
'shan'mao'ju 山毛榉
'shan'mian'xing'zuo 扇面形座
'shan'wen 山纹
'shang'la 上蜡
'shao'mu 梢木
'she'wen'mu 蛇纹木
'shen'diao'qian'ke 深雕浅刻
'sheng'qi 生漆
'shi'di'song 湿地松
'shi'di'wen 柿蒂纹
'shi'jian'sun 实肩榫
'shi'nian'zao 十年凿
'shi'zhang 湿胀
'shi'zhao 狮爪
'shi'zi'cheng 十字枨
'shi'zi'cheng'dang 十字枨档
'shou'bian 收边
'shou'ju 手锯
'shou'suo 收缩
'shou'zu 兽足
'shou'zuan 手钻
'shu'bei'yi 梳背椅
'shu'chu 书橱
'shu'gui 书柜
'shu'yao 束腰
'shu'zhuo 书桌
'shuang'mian'tou'diao 双面透雕
'shui'qu'liu 水曲柳
'si'chu'tou 四出头
'si'chu'tou'yi 四出头椅
'si'mian'ping'shi 四面平式
'si'mu'cuan'bian 四木攒边
'si'ti'gu'ding 死屉固定
'song'mu 松木
'suan'zhi 酸枝
'sun'mao'shi 榫卯师
'ta'li 塔利
'tai'shi'yi 太师椅
'tan'hua 炭化
'tan'xiang 檀香
'tan'xiang'mu 檀香木
'tang'la 烫蜡
'tang'la'pao'guang 烫蜡抛光
'tang'yi 躺椅
'tao'hua'xin 桃花芯
'tao'huan'ban'xin 绦环板心
'tao'sun 套榫
'ti'he 提盒
'ti'lan 提篮
'tiao'an 条案
'tiao'ji 条几
'tie'li 铁力
'tie'li'mu 铁力木
'tie'li'mu'wen 铁力木纹
'tie'shan 铁杉
'tong'sun 通榫
'tong'xie 通楔
'tou'diao'shuang'mian 透雕双面
'tou'diao'shuang'mian'gong 透雕双面工
'tou'sun 透榫
'tu'qi 涂漆
'tu'zhuang 涂装
'tuan'hua 团花
'tui'bao 推刨
'tuo'dang 托档
'tuo'jiao'sun 托角榫
'tuo'ni 托泥
'tuo'zhi 脱脂
'wa'que 挖缺
'wa'tang'du 洼堂肚
'wa'tang'du'shi 洼膛肚式
'wa'tang'du'xian 洼膛肚线
'wa'tang'xu'shi 洼膛蓄势
'wa'xian'ao'xian 洼线凹陷
'wai'fan'ma'ti 外翻马蹄
'wai'kou'ya'bian 外口压边
'wan'chu 碗橱
'wang'ban 望板
'wo'wen 涡纹
'wu'mu 乌木
'wu'mu'hei'jin 乌木黑筋
'wu'nian'bao 五年刨
'xia'liao 下料
'xian'bao 线刨
'xian'jiao 线脚
'xian'ke'yang'wen 线刻阳纹
'xian'ke'yin'wen 线刻阴纹
'xian'mu 蚬木
'xiang'bi 象鼻
'xiang'ji 香几
'xiang'mu 橡木
'xiang'xia 箱匣
'xiao'jie'yi 小姐椅
'xiao'mu'zuo 小木作
'xie'ding'sun 楔钉榫
'xie'ding'xiao 楔钉销
'xie'gui 鞋柜
'xie'jia 鞋架
'xie'wen 斜纹
'xiu'bian 修边
'xiu'dun 绣墩
'xu'jian'sun 虚肩榫
'xuan'guan'gui 玄关柜
'xuan'liao 选料
'xuan'mu 旋木
'xue'tan 血檀
'ya'ban 牙板
'ya'di'yin'wen 压地隐纹
'ya'tou 牙头
'yan'wei'sun 燕尾榫
'yan'wei'xie 燕尾楔
'yang'mu 杨木
'yang'sheng 养生
'yang'xian'tu'qi 阳线凸起
'yao'gan 窑干
'yao'yi 摇椅
'yi'gui 衣柜
'yi'jia 衣架
'yi'liao'san'xian 一料三线
'yi'mao'jia 衣帽架
'yi'mu'lian'zuo 一木连作
'yi'mu'lian'zuo 一木连做
'yi'mu'zheng'wa 一木整挖
'yi'pan'kuang'jia 椅盘框架
'yin'chen'mu 阴沉木
'yin'du'zi'tan 印度紫檀
'yin'ni'hei'tan 印尼黑檀
'yin'xing 银杏
'ying'li 应力
'ying'mu 瘿木
'ying'mu 硬木
'ying'mu'liu'ba 瘿木瘤疤
'ying'tao'mu 樱桃木
'ying'ti'tie'xi 硬屉贴席
'ying'zhao 鹰爪
'you'mu 柚木
'you'shi 油石
'yu'men'dong 鱼门洞
'yu'mu 榆木
'yu'shi'xiang'qian 玉石镶嵌
'yuan'deng 圆凳
'yuan'jiao'gui 圆角柜
'yuan'mu 原木
'yuan'mu'zuo 圆木作
'yuan'zhuo 圆桌
'yue'nan'huang'hua'li 越南黄花梨
'yun'shan 云杉
'yun'tou 云头
'yun'wen 云纹
'zai'xiao 栽销
'zao'kong 凿孔
'zao'zi 凿子
'zao'zi'zhun 凿子准
'zha'sun 扎榫
'zhan'ya'di'zu 站牙抵足
'zhan'ya'kai'guang 站牙开光
'zhang'mu 樟木
'zhang'nao'mu 樟脑木
'zhang'xian'shi 掌线师
'zhang'zi'song 樟子松
'zhao'ping 找平
'zhe'die'yi 折叠椅
'zhe'mu 柘木
'zhe'zhi 折枝
'zheng'mu'tou'diao 整木透雕
'zheng'mu'wa'xue 整木挖削
'zheng'wa'tou'guang 整挖透光
'zheng'wan 蒸弯
'zheng'zhu 蒸煮
'zhi'cheng 直枨
'zhi'cheng'lian'jie 直枨连接
'zhi'wen 直纹
'zhou'mu 椆木
'zhu'jie'mu 竹节木
'zhuan'yi 转椅
'zhuo'se 着色
'zi'jing 子京
'zi'tan 紫檀
'zi'tan'mu 紫檀木
'zi'tan'zuo'se 紫檀作色
'zi'xin'mu 紫心木
'zong'jiao'jiao'jie 粽角交结
'zong'jiao'sun 粽角榫
'zou'ma'xiao 走马销
'zou'ma'xiao'jie 走马销接
'zou'ma'xie 走马楔
'zou'xiao 走销
'zuo'li'mu 柞栎木
'zuo'mian'teng'bian 座面藤编
'zuo'mu 柞木
