'ao'ba'jia'zu 奥巴家族
'dou'zhe'wu'xing 斗者五星
'dou'zhe'yi'xing 斗者一星
'dou'zhi'qi 斗之气
'dou'zhi'qi'ba'duan 斗之气八段
'dou'zhi'qi'er'duan 斗之气二段
'dou'zhi'qi'jiu'duan 斗之气九段
'dou'zhi'qi'liu'duan 斗之气六段
'dou'zhi'qi'qi'duan 斗之气七段
'dou'zhi'qi'san'duan 斗之气三段
'dou'zhi'qi'si'duan 斗之气四段
'dou'zhi'qi'wu'duan 斗之气五段
'dou'zhi'qi'xuan 斗之气旋
'dou'zhi'qi'yi'duan 斗之气一段
'dou'zong 斗宗
'dou'zong'qiang'zhe 斗宗强者
'dou'zun 斗尊
'dou'zun'dian'feng 斗尊巅峰
'dou'zun'qiang'zhe 斗尊强者
'dou'zun'zhi'dian 斗尊之巅
'du'jing 毒经
'du'shi 毒师
'du'zong 毒宗
'e'nan'du'ti 厄难毒体
'er'jie'mo'shou 二阶魔兽
'er'pin'lian'yao'shi 二品炼药师
'er'xing'da'dou'shi 二星大斗师
'er'xing'dou'huang 二星斗皇
'er'xing'dou'ling 二星斗灵
'er'xing'dou'sheng 二星斗圣
'er'xing'dou'shi 二星斗师
'er'xing'dou'wang 二星斗王
'er'xing'dou'zhe 二星斗者
'er'xing'dou'zong 二星斗宗
'er'xing'dou'zun 二星斗尊
'er'zhang'lao'xiao'ying 二长老萧鹰
'fa'ma 法犸
'fan'jing 凡境
'fan'lao 范痨
'fan'ling 范凌
'fan'shi 反噬
'fang'shi 坊市
'fang'zhu 坊主
'fei'xing'dou'ji 飞行斗技
'fei'xing'mo'shou 飞行魔兽
'fen'jue 焚决
'fen'tian'lian'qi'ta 焚天炼气塔
'fen'xue 焚血
'fen'yan'gu 焚炎谷
'fen'yan'gu'gu'zhu 焚炎谷谷主
'feng'guang'ren 风光刃
'feng'juan'jue 风卷决
'feng'lei'ge 风雷阁
'feng'lei'nu'yan 风雷怒焰
'feng'lei'nu'yan 风雷怒焱
'feng'ming'ding 凤鸣鼎
'feng'qing'er 凤清儿
'feng'ren 风刃
'feng'ren'dao'wu 风刃刀舞
'feng'sha'zhi 风杀指
'feng'shu'xing 风属性
'feng'tui'shi 风推势
'feng'xian 风闲
'feng'xiang'bu 风翔步
'feng'yin'shu 封印术
'feng'zhi'ji'yun'sha 风之极陨杀
'feng'zun'zhe 风尊者
'feng'zun'zhe'feng'xian 风尊者风闲
'fo'nu'huo'lian 佛怒火莲
'fu'ling'qing'dan 茯苓青丹
'gao'ji'ban'sheng 高级半圣
'gao'jie'dou'huang 高阶斗皇
'gao'jie'dou'zong 高阶斗宗
'gao'jie'mo'shou 高阶魔兽
'ge'la 戈剌
'ge'ye 葛叶
'gong'fa 功法
'gu'he 古河
'gu'huang'xue'jing 古凰血精
'gu'ling'leng'huo 骨灵冷火
'gu'long'dao 古龙岛
'gu'ni 谷尼
'gu'ni'da'shi 谷尼大师
'gu'qing'yang 古青阳
'gu'wen'xin 古文心
'gu'xun'er 古熏儿
'gu'yao 古妖
'gu'you'sheng'zhe 骨幽圣者
'gu'yuan 古元
'gu'zhu'bing'he 谷主冰河
'gu'zu 古族
'gu'zu'zu'zhang 古族族长
'gui'ling'di'huo 龟灵地火
'gui'xi'dan 龟息丹
'hai'bo'dong 海波东
'hai'ling'ding 海灵鼎
'hai'xin'yan 海心焰
'han'bing'jing 寒冰精
'han'bing'wang'zuo 寒冰王座
'han'feng 韩枫
'han'shan'shan 韩珊珊
'he'er'da'shi 荷尔大师
'he'meng 赫蒙
'he'yuan 合猿
'hei'huang'zong 黑皇宗
'hei'jiao'yu 黑角域
'hei'meng 黑盟
'hei'ming'ding 黑冥鼎
'hei'mo 黑魔
'hei'mo'ding 黑魔鼎
'hei'mo'lei 黑魔雷
'hei'qing 黑擎
'hei'shi'bei 黑石碑
'hei'yan 黑岩
'hei'yan'cheng 黑岩城
'hei'yan'cheng'lian'yao'shi'gong'hui 黑岩城炼药师工会
'hei'yan'jun 黑湮军
'hei'yan'zi'yun'diao 黑焰紫云雕
'hong'lian'ye'huo 红莲业火
'hu'jia 琥嘉
'hu'kou 虎口
'hu'po'ding 虎魄鼎
'hu'qian 琥乾
'hua'sheng'huo 化生火
'hua'xing'dan 化形丹
'hua'zong 花宗
'huang'jie'di'ji 黄阶低级
'huang'jie'dou'ji 黄阶斗技
'huang'jie'dou'qi'gong'fa 黄阶斗气功法
'huang'jie'gao'ji 黄阶高级
'huang'jie'zhong'ji 黄阶中级
'huang'lian'jing 黄莲精
'huang'quan'ge 黄泉阁
'huang'quan'yao'sheng 黄泉妖圣
'huang'quan'zun'zhe 黄泉尊者
'huang'tian 凰天
'huang'xuan 凰轩
'hui'chun'san 回春散
'hui'ling'chi'guo 回灵赤果
'hui'mie'huo'lian 毁灭火莲
'hui'qi'dan 回气丹
'hun'dian 魂殿
'hun'dian'dian'zhu 魂殿殿主
'hun'duan'jian 魂断涧
'hun'dun'sheng'ding 混沌圣鼎
'hun'dun'sheng'yan 混沌圣焱
'hun'feng 魂风
'hun'li 魂厉
'hun'mie'sheng 魂灭生
'hun'qian'mo 魂千陌
'hun'tian'di 魂天帝
'hun'xu'zi 魂虚子
'hun'ya 魂崖
'hun'ying'yao'shu 魂婴妖树
'hun'yu 魂玉
'hun'yuan'tian 魂元天
'hun'zu 魂族
'hun'zu'zu'zhang 魂族族长
'huo'kou 火口
'huo'lang 火狼
'huo'nu 火奴
'huo'qi'guo 活气果
'huo'shan'shi'yan 火山石焰
'huo'shu'xing 火属性
'huo'xuan 火炫
'huo'yao 火耀
'huo'yun 火云
'huo'yun'shui'yan 火云水焱
'huo'zhi 火稚
'ji'guan'shu 机关术
'jia'lie'ao 加列奥
'jia'lie'bi 加列毕
'jia'lie'jia'zu 加列家族
'jia'lie'ke'ao 加列可奥
'jia'lie'ku 加列库
'jia'lie'nu 加列怒
'jia'ma'di'guo 加玛帝国
'jia'ma'di'guo'huang'shi 加玛帝国皇室
'jia'ma'huang'shi 加玛皇室
'jia'ma'san'ju'tou 加玛三巨头
'jia'nan'xue'yuan 迦南学院
'jia'nan'xue'yuan'nei'yuan 迦南学院内院
'jia'nan'xue'yuan'wai'yuan 迦南学院外院
'jia'xing'tian 加刑天
'jian'zun'zhe 剑尊者
'jian'zun'zhe'xiao'jian 剑尊者小剑
'jin'di'fen'tian'yan 金帝焚天炎
'jin'shou'zhi 金手指
'jin'shu'nei'jia 金属内甲
'jin'yin'er'lao 金银二老
'jing'gang'tie'gun 精钢铁棍
'jing'lian'yao'huo 净莲妖火
'jing'lian'yao'sheng 净莲妖圣
'jing'mai 经脉
'jiu'jie'mo'shou 九阶魔兽
'jiu'long'lei'gang'huo 九龙雷罡火
'jiu'pin'bao'dan 九品宝丹
'jiu'pin'jin'dan 九品金丹
'jiu'pin'xuan'dan 九品玄丹
'jiu'xing'da'dou'shi 九星大斗师
'jiu'xing'dou'huang 九星斗皇
'jiu'xing'dou'ling 九星斗灵
'jiu'xing'dou'sheng 九星斗圣
'jiu'xing'dou'shi 九星斗师
'jiu'xing'dou'wang 九星斗王
'jiu'xing'dou'zhe 九星斗者
'jiu'xing'dou'zong 九星斗宗
'jiu'xing'dou'zun 九星斗尊
'jiu'xing'yi'ti 九星一体
'jiu'xuan'jin'lei 九玄金雷
'jiu'yin'huang'quan'dan 九阴黄泉丹
'jiu'you'di'ming'mang'zu 九幽地冥蟒族
'jiu'you'feng'yan 九幽风炎
'jiu'you'huang'quan 九幽黄泉
'jiu'you'jin'zu'huo 九幽金祖火
'ju'ling'cao 聚灵草
'ju'qi'san 聚气散
'ke'li 岢立
'ke'lu 克鲁
'ke'xue'zhang 柯学长
'kong'jian'nuo'wei 空间挪位
'kuang'shi'nu'gang 狂狮怒罡
'lan'fu'ren 蓝夫人
'lan'hua'jiu'guan 蓝花酒馆
'lan'ying 蓝鹰
'lang'chong'die 浪重叠
'lang'tou'yong'bing'tuan 狼头佣兵团
'lang'ya 狼牙
'lei'jie'dan 雷劫丹
'lei'zu 雷族
'lei'zu'zu'zhang 雷族族长
'lei'zun'zhe 雷尊者
'leng'mian'ren'xiao'han 冷面人萧旱
'li'fei 莉菲
'lian'huo'fen 炼火焚
'lian'yao'shi 炼药师
'lian'yao'shi'xie'hui 炼药师协会
'lian'yao'shi'xie'hui'hui'zhang 炼药师协会会长
'liang'kou'zhi'ding 两口之鼎
'liao'shang'yao 疗伤药
'lie'feng'xuan'wu 裂风旋舞
'lie'zhao'ji 裂爪击
'lin'dun 林顿
'lin'fei 琳菲
'lin'nan 林喃
'lin'xiu'ya 林修崖
'lin'yan 林焱
'ling'hun'gan'zhi'li 灵魂感知力
'ling'hun'ling'jing'zhe 灵魂灵境者
'ling'hun'ti 灵魂体
'ling'jing 灵境
'ling'lin 灵琳
'ling'quan 翎泉
'ling'shi 凌师
'ling'ying 凌影
'ling'zu 灵族
'ling'zu'zu'zhang 灵族族长
'liu'dao'lun'hui'yan 六道轮回炎
'liu'jie'mo'shou 六阶魔兽
'liu'li'lian'xin'huo 琉璃莲心火
'liu'pin'lian'yao'shi 六品炼药师
'liu'qing 柳擎
'liu'xi 柳席
'liu'xing'da'dou'shi 六星大斗师
'liu'xing'dou'huang 六星斗皇
'liu'xing'dou'ling 六星斗灵
'liu'xing'dou'sheng 六星斗圣
'liu'xing'dou'shi 六星斗师
'liu'xing'dou'wang 六星斗王
'liu'xing'dou'zhe 六星斗者
'liu'xing'dou'zong 六星斗宗
'liu'xing'dou'zun 六星斗尊
'long'feng'yan 龙凤焱
'long'huang'ben'yuan'guo 龙凰本源果
'long'huang'jing'ceng 龙凰晶层
'long'hun'ding 龙魂鼎
'lun'hui'tian'zun 轮回天尊
'lun'hui'zun'zhe 轮回尊者
'luo'bu 罗布
'lv'man 绿蛮
'ma'si 马四
'mai'men 脉门
'mang'tian'chi 邙天尺
'mei'du'sha 美杜莎
'mei'du'sha'nv'wang 美杜莎女王
'meng'yan'tian'wu 梦魇天雾
'meng'zhu 盟主
'mi'te'er'jia'zu 米特尔家族
'mi'te'er'teng'shan 米特尔腾山
'mie'lei'chui 灭雷锤
'ming'she'di'mai 冥蛇地脉
'mo'cheng 墨承
'mo'du'ban 魔毒斑
'mo'he 魔核
'mo'he'wu'qi 魔核武器
'mo'jiao 墨胶
'mo'jin'zuan 魔金钻
'mo'jing 魔晶
'mo'lang 魔狼
'mo'she 魔蛇
'mo'shi'bei 魔石碑
'mo'shou 魔兽
'mo'shou'jia'zu 魔兽家族
'mo'shou'san'da'zu 魔兽三大族
'mo'shou'shan'mai 魔兽山脉
'mo'shou'xiao'zhen 魔兽小镇
'mo'tian'xing 莫天行
'mo'tie'yong'bing'tuan 漠铁佣兵团
'mo'tie'yong'bing'tuan'er'tuan'zhang 漠铁佣兵团二团长
'mo'tie'yong'bing'tuan'tuan'zhang 漠铁佣兵团团长
'mo'ya 莫崖
'mo'yan'gu 魔炎谷
'mo'ye'lian 墨叶莲
'mo'yuan 魔猿
'mo'zhu 墨竹
'mu'chen 木辰
'mu'gu 慕骨
'mu'gu'lao'ren 慕骨老人
'mu'li 穆力
'mu'qing'luan 慕青鸾
'mu'she 穆蛇
'mu'shu'xing 木属性
'mu'xi 木系
'mu'zhi'ying'hua 木之硬化
'na'jie 纳戒
'na'lan 纳兰
'na'lan'jia'zu 纳兰家族
'na'lan'jie 纳兰桀
'na'lan'shi'jie 纳兰师姐
'na'lan'su 纳兰肃
'na'lan'yan'ran 纳兰嫣然
'na'shi 纳石
'nei'jia 内甲
'nei'shi 内视
'nei'yuan 内院
'ning'xue'cao 凝血草
'ning'xue'san 凝血散
'nong'yan'jue 弄炎决
'nu'shi'kuang'gang 怒狮狂罡
'pa'shan'hu 爬山虎
'pan'men 磐门
'pei'en 佩恩
'pi'shan'zhang 劈山掌
'pi'shi'tui 劈石腿
'po'yan'zhi'fu 破魇之符
'pu'ti'hua'ti'xian 菩提化体涎
'qi'cai'du'jing 七彩毒经
'qi'cai'tun'tian'mang 七彩吞天蟒
'qi'feng'shan 栖凤山
'qi'jie'mo'shou 七阶魔兽
'qi'xing'da'dou'shi 七星大斗师
'qi'xing'dou'huang 七星斗皇
'qi'xing'dou'ling 七星斗灵
'qi'xing'dou'sheng 七星斗圣
'qi'xing'dou'shi 七星斗师
'qi'xing'dou'wang 七星斗王
'qi'xing'dou'zhe 七星斗者
'qi'xing'dou'zong 七星斗宗
'qi'xing'dou'zun 七星斗尊
'qi'xuan 气旋
'qi'ye'hua 七叶花
'qian'bai'er'lao 千百二老
'qian'li'zhi 潜力值
'qie'ke'jia'zu 切克家族
'qing'feng'xuan'quan 青风旋拳
'qing'lian'di'xin'huo 青莲地心火
'qing'lian'huo 青莲火
'qing'lian'zuo 青莲座
'qing'lin 青鳞
'qing'ming'you'yan'jue 青冥幽炎决
'qing'mu'jian'jue 青木剑诀
'qing'mu'shu 青木鼠
'qing'shan'zhen 青山镇
'qu'chong'san 驱虫散
'ru'sheng 入圣
'ruo'lin 若琳
'ruo'lin'dao'shi 若琳导师
'san'jie'mo'shou 三阶魔兽
'san'pin'lian'yao'shi 三品炼药师
'san'qian'lian'xin'huo 三千莲心火
'san'qian'xing'kong'ti'zhi 三千星空体质
'san'qian'xing'kong'yan'yan'huo 三千星空焱炎火
'san'qian'yan'yan'huo 三千焱炎火
'san'xing'da'dou'shi 三星大斗师
'san'xing'dou'huang 三星斗皇
'san'xing'dou'ling 三星斗灵
'san'xing'dou'sheng 三星斗圣
'san'xing'dou'shi 三星斗师
'san'xing'dou'wang 三星斗王
'san'xing'dou'zhe 三星斗者
'san'xing'dou'zong 三星斗宗
'san'xing'dou'zun 三星斗尊
'shan'rong'ding 山熔鼎
'shao'tuan'zhang 少团长
'she'nv 蛇女
'she'nv'yue'mei 蛇女月媚
'she'ren 蛇人
'she'ren'bu'luo 蛇人部落
'she'ren'zu 蛇人族
'she'wei'bao 蛇尾豹
'she'xian'guo 蛇涎果
'she'yu'guo 蛇欲果
'shen'fa'dou'ji 身法斗技
'shen'hai'zhi'ling 深海之灵
'shen'nong'lao'ren 神农老人
'shen'yun 沈云
'sheng'gu'hua 生骨花
'sheng'ling'zhi'yan 生灵之焱
'sheng'yao'ding 圣耀鼎
'shi'mo'cheng 石漠城
'shi'shan'lie 狮山裂
'shi'shi'mo'yi 噬石魔蚁
'shi'shi'yi 噬尸蚁
'shi'shu'xing 石属性
'shi'xue'shu 嗜血鼠
'shou'huo 兽火
'shou'xi'pai'mai'shi 首席拍卖师
'shuang'di'zhi'zhan 双帝之战
'shuang'tou'huo'ling'she 双头火灵蛇
'shuang'yue'tong'xian 双月同现
'shui'man'tuo'luo 水曼陀罗
'shui'shu'xing 水属性
'shui'xi 水系
'si'fang'ge 四方阁
'si'ji'zhi'men 死寂之门
'si'jie'mo'shou 四阶魔兽
'si'pin'lian'yao'shi 四品炼药师
'si'xing'da'dou'shi 四星大斗师
'si'xing'dou'huang 四星斗皇
'si'xing'dou'ling 四星斗灵
'si'xing'dou'sheng 四星斗圣
'si'xing'dou'shi 四星斗师
'si'xing'dou'wang 四星斗王
'si'xing'dou'zhe 四星斗者
'si'xing'dou'zong 四星斗宗
'si'xing'dou'zun 四星斗尊
'song'qing 宋清
'song'qing 宋青
'su'qian'zhang'lao 苏千长老
'sui'shi'zhang 碎石掌
'ta'ge'er'da'sha'mo 塔戈尔大沙漠
'tai'shang'zhang'lao 太上长老
'tai'shang'zhang'lao'huo'yun 太上长老火云
'tai'xu'gu'long 太虚古龙
'tai'xu'gu'long'zu 太虚古龙族
'tai'xu'gu'long'zu'zu'zhang 太虚古龙族族长
'tang'huo'er 唐火儿
'tang'ying 唐鹰
'tang'zhen 唐震
'te'lan'cheng 特兰城
'te'mi'er'jia'zu 特米尔家族
'te'mi'er'pai'mai'chang 特米尔拍卖场
'te'mi'er'pai'mai'hui 特米尔拍卖会
'tian'can'tu'dou 天蚕土豆
'tian'di'chao'xi 天地潮汐
'tian'di'xuan'huang 天地玄黄
'tian'ding 天鼎
'tian'ding'bang 天鼎榜
'tian'du'xie'long'shou 天毒蝎龙兽
'tian'fen'lian'qi'ta 天焚炼气塔
'tian'fu'lian'meng 天府联盟
'tian'gang'dian 天罡殿
'tian'huang 天凰
'tian'huang'zu'hun 天凰祖魂
'tian'hun'rong'xue'dan 天魂融血丹
'tian'huo'zun'zhe 天火尊者
'tian'jie'di'ji 天阶低级
'tian'jie'dou'ji 天阶斗技
'tian'jie'dou'qi'gong'fa 天阶斗气功法
'tian'jie'gao'ji 天阶高级
'tian'jie'zhong'ji 天阶中级
'tian'jing 天境
'tian'jing'zhe 天境者
'tian'long 天龙
'tian'luo'feng'mo'zhen 天罗封魔阵
'tian'ming'zi 天冥子
'tian'ming'zong 天冥宗
'tian'mo'mang 天魔蟒
'tian'mu'shan'mai 天目山脉
'tian'mu'zhi'hun 天墓之魂
'tian'shan'xue'tan 天山血潭
'tian'she'di'guo 天蛇帝国
'tian'she'fu 天蛇府
'tian'yao'huang'zu 天妖凰族
'tie'jian'zun'zhe 铁剑尊者
'tie'shan'quan 铁山拳
'tu'long'jian 屠龙剑
'tu'shu'xing 土属性
'tun'ling'zu 吞灵族
'tun'ling'zu'zu'zhang 吞灵族族长
'tun'mu'hu 吞木狐
'tun'shi'yi'huo 吞噬异火
'tuo'she'gu'di 陀舍古帝
'wan'huo'zhang'lao 万火长老
'wan'jian'ge 万剑阁
'wan'shou'ding 万兽鼎
'wan'shou'ling'huo 万兽灵火
'wan'shou'zhi'hun 万兽之魂
'wan'shou'zhi'xue 万兽之血
'wan'yao'zhai 万药斋
'wang'chen 王尘
'wang'hun'shan'mai 亡魂山脉
'wen'yang'mai'luo 温养脉络
'wu'hao 吴昊
'wu'jie'mo'shou 五阶魔兽
'wu'pin'lian'yao'shi 五品炼药师
'wu'tan'cheng 乌坦城
'wu'wen'zi'jin'ka 五纹紫金卡
'wu'xing'da'dou'shi 五星大斗师
'wu'xing'dou'huang 五星斗皇
'wu'xing'dou'ling 五星斗灵
'wu'xing'dou'sheng 五星斗圣
'wu'xing'dou'shi 五星斗师
'wu'xing'dou'wang 五星斗王
'wu'xing'dou'zhe 五星斗者
'wu'xing'dou'zong 五星斗宗
'wu'xing'dou'zun 五星斗尊
'xi'bei'da'lu 西北大陆
'xi'gu'hua 洗骨花
'xi'zhang 吸掌
'xiao'chen 萧晨
'xiao'ding 萧鼎
'xiao'fang'zhu 小坊主
'xiao'han 萧旱
'xiao'jia'zu'hui 萧家族徽
'xiao'ke 萧克
'xiao'lan 小岚
'xiao'li 萧力
'xiao'li 萧厉
'xiao'lin 萧霖
'xiao'mei 萧媚
'xiao'men 萧门
'xiao'ning 萧宁
'xiao'xiao 萧潇
'xiao'xuan 萧玄
'xiao'xun'er 萧薰儿
'xiao'yan 萧炎
'xiao'yao'nv 小妖女
'xiao'yi'xian 小医仙
'xiao'ying 萧鹰
'xiao'yu 萧玉
'xiao'zhan 萧战
'xiao'zu 萧族
'xiao'zu'zhang 萧族长
'xie'li'shui'jing 卸力水镜
'xin'hao'dan 信号弹
'xin'huo 心火
'xing'yun'ge 星陨阁
'xing'yun'ge'ge'zhu 星陨阁阁主
'xiu'lian'zuo'bi'qi 修炼作弊器
'xu'li'wan 蓄力丸
'xu'wu'tun'yan 虚无吞炎
'xuan'huang'yan 玄黄炎
'xuan'jie'di'ji 玄阶低级
'xuan'jie'dou'ji 玄阶斗技
'xuan'jie'dou'qi'gong'fa 玄阶斗气功法
'xuan'jie'gao'ji 玄阶高级
'xuan'jie'zhong'ji 玄阶中级
'xuan'ming'zong 玄冥宗
'xuan'yi 玄衣
'xuan'zhong'chi 玄重尺
'xue'dao'sheng'zhe 血刀圣者
'xue'hu 雪狐
'xue'hun'yin'ji 血魂印记
'xue'jia 血枷
'xue'jian'wu'hao 血剑吴昊
'xue'jing'yao'guo 血精妖果
'xue'li 雪梨
'xue'lian'dan 血莲丹
'xue'lian'jing 血莲精
'xue'lian'zi 雪莲子
'xue'mei 雪魅
'xue'ni 雪妮
'xue'yuan'yao'nv 学院妖女
'xue'zong 血宗
'xun'er 薰儿
'ya'fei 雅妃
'yan'di 炎帝
'yan'di'xiao'yan 炎帝萧炎
'yan'er 炎儿
'yan'fan'ji 燕返击
'yan'fen'shi'lang'chi 焰分噬浪尺
'yan'huo 炎火
'yan'jin 炎烬
'yan'meng 炎盟
'yan'ri 炎日
'yan'she 岩蛇
'yan'yun'xuan'tie 焰陨玄铁
'yan'zi'yun'diao 焰紫云雕
'yan'zu 炎族
'yan'zu'zu'zhang 炎族族长
'yang'huo 阳火
'yang'huo'gu'tan 阳火古坛
'yang'qi'san 养气散
'yao'cai 药材
'yao'chen 药尘
'yao'dian'da'hui 药典大会
'yao'ding 药鼎
'yao'hua'xie'jun 妖花邪君
'yao'huang'sheng'xiang 妖凰圣像
'yao'huang'zhong 妖凰钟
'yao'huo'jiang'shi 妖火降世
'yao'huo'kong'jian 妖火空间
'yao'lao 药老
'yao'ming 妖暝
'yao'nv 妖女
'yao'sheng'yao'chen 药圣药尘
'yao'sheng'zhe 药圣者
'yao'sheng'zhe'yao'chen 药圣者药尘
'yao'tian 药天
'yao'tian'huo 曜天火
'yao'wan'gui 药万归
'yao'xian'sheng 姚先生
'yao'xiao'tian 妖啸天
'yao'xing'ji 药星极
'yao'yan 药岩
'yao'zu 药族
'yao'zu'zu'zhang 药族族长
'yao'zun'zhe 药尊者
'yao'zun'zhe'yao'chen 药尊者药尘
'ye'jia 叶家
'ye'lan 夜岚
'ye'ming'zhu 夜明珠
'yi'huo 异火
'yi'huo'bang 异火榜
'yi'huo'guang'chang 异火广场
'yi'jie'mo'shou 一阶魔兽
'yi'pin'lian'yao'shi 一品炼药师
'yi'shi 医师
'yi'xing'da'dou'shi 一星大斗师
'yi'xing'dou'huang 一星斗皇
'yi'xing'dou'ling 一星斗灵
'yi'xing'dou'sheng 一星斗圣
'yi'xing'dou'shi 一星斗师
'yi'xing'dou'wang 一星斗王
'yi'xing'dou'zhe 一星斗者
'yi'xing'dou'zong 一星斗宗
'yi'xing'dou'zun 一星斗尊
'yin'gu 音谷
'yin'te'er'jia'zu 因特尔家族
'yin'yang'ming'hun'dan 阴阳命魂丹
'ying'su'hua 罂粟花
'ying'zhi'yi 鹰之翼
'yong'bing 佣兵
'yong'bing'tuan 佣兵团
'you'ming'zhang 幽冥杖
'you'quan 幽泉
'yu'chi 羽翅
'yu'er 玉儿
'yu'pai 玉牌
'yu'wang'hua 欲望花
'yuan'gu'ba'zu 远古八族
'yuan'gu'feng'huang 远古凤凰
'yue'bai'qun'pao 月白裙袍
'yue'guang'shi 月光石
'yue'mei 月媚
'yun'lan'shan 云岚山
'yun'lan'zong 云岚宗
'yun'lan'zong'shao'zong'zhu 云岚宗少宗主
'yun'lan'zong'zong'zhu 云岚宗宗主
'yun'leng 云棱
'yun'luo'xin'yan 陨落心炎
'yun'luo'zhi'dian 陨落之巅
'yun'shan 云山
'yun'xing'ding 陨星鼎
'yun'yan'fu'ri'zhen 云烟覆日阵
'yun'yun 云韵
'yun'zhi 云芝
'yun'zhi'lan 云之岚
'zao'hua'sheng'zhe 造化圣者
'zeng'qi'san 增气散
'zhai'xing'lao'gui 摘星老鬼
'zhen'gu'gong'fa 镇谷功法
'zhen'gui'guan 镇鬼关
'zhong'ji'ban'sheng 中级半圣
'zhong'zhou 中州
'zhong'zhou'ji 重肘击
'zhong'zhou'ming'mian'shi'li 中州明面势力
'zhong'zhou'si'fang'ge 中州四方阁
'zhong'zhou'yin'cang'shi'li 中州隐藏势力
'zhu'ji'ling'ye 筑基灵液
'zhu'kun 烛坤
'zi'jing 紫晶
'zi'jing'feng'yin 紫晶封印
'zi'jing'yi'shi'wang 紫晶翼狮王
'zi'lan'ye 紫蓝叶
'zi'ling'jing 紫灵晶
'zi'ling'shi 紫灵石
'zi'yan 紫妍
'zi'yan 紫研
'zi'ye'lan'cao 紫叶兰草
'zi'yuan'ding 紫渊鼎
'zi'yun'yi 紫云翼
'zong'zhu 宗主
'zu'ren 族人
